字	聲母	韻母	調類	解釋
丑	tsʰ	ɤ	5	
臭	tsʰ	ɤ	5	
收	s	ɤ	1	
搜	s	ɤ	1	
蒐	s	ɤ	1	
餿	s	ɤ	1	
手	s	ɤ	3	
守	s	ɤ	3	
首	s	ɤ	3	
瘦	s	ɤ	5	
獸	s	ɤ	5	
嗽	s	ɤ	5	
綢	z	ɤ	2	
稠	z	ɤ	2	
籌	z	ɤ	2	
仇	z	ɤ	2	
讎	z	ɤ	2	
酬	z	ɤ	2	
愁	z	ɤ	2	
壽	z	ɤ	6	
籌	z	ɤ	6	
受	z	ɤ	6	
授	z	ɤ	6	
售	z	ɤ	6	
宙	z	ɤ	6	
紂	z	ɤ	6	
𥣙	z	ɤ	6	
哥	k	ɤ	1	
勾	k	ɤ	1	
鉤	k	ɤ	1	
溝	k	ɤ	1	
狗	k	ɤ	3	
苟	k	ɤ	5	
夠	k	ɤ	5	
構	k	ɤ	5	
購	k	ɤ	5	
摳	kʰ	ɤ	1	
瞘	kʰ	ɤ	1	
扣	kʰ	ɤ	5	
釦	kʰ	ɤ	5	
寇	kʰ	ɤ	5	
藕	ŋ	ɤ	6	
偶	ŋ	ɤ	6	
佝	h	ɤ	1	
曲	h	ɤ	1	
背	h	ɤ	1	
吼	h	ɤ	5	
鱟	h	ɤ	5	
虹	h	ɤ	5	
侯	ɦ	ɤ	2	
猴	ɦ	ɤ	2	
喉	ɦ	ɤ	2	
后	ɦ	ɤ	6	
後	ɦ	ɤ	6	
厚	ɦ	ɤ	6	
候	ɦ	ɤ	6	
歐	∅	ɤ	1	
區	∅	ɤ	1	
姓	∅	ɤ	1	
嘔	∅	ɤ	3	
毆	∅	ɤ	3	
流	l	ɤ	2	
劉	l	ɤ	2	
留	l	ɤ	2	
榴	l	ɤ	2	
硫	l	ɤ	2	
琉	l	ɤ	2	
溜	l	ɤ	3	
柳	l	ɤ	6	
酒	ts	iɤ	3	
秋	tsʰ	iɤ	1	
鞦	tsʰ	iɤ	1	
修	s	iɤ	1	
秀	s	iɤ	5	
鏽	s	iɤ	5	
繡	s	iɤ	5	
就	z	iɤ	6	
袖	z	iɤ	6	
九	tɕ	iɤ	3	
玖	tɕ	iɤ	3	
久	tɕ	iɤ	3	
韭	tɕ	iɤ	3	
灸	tɕ	iɤ	3	
救	tɕ	iɤ	5	
究	tɕ	iɤ	5	
丘	tɕʰ	iɤ	1	
邱	tɕʰ	iɤ	1	
鰍	tɕʰ	iɤ	1	
恘	tɕʰ	iɤ	1	
揪	tɕʰ	iɤ	5	
求	dʑ	iɤ	2	
球	dʑ	iɤ	2	
仇	dʑ	iɤ	2	
舅	dʑ	iɤ	6	
臼	dʑ	iɤ	6	
舊	dʑ	iɤ	6	
咎	dʑ	iɤ	6	
牛	ȵ	iɤ	2	
扭	ȵ	iɤ	3	
紐	ȵ	iɤ	6	
休	ɕ	iɤ	1	
朽	ɕ	iɤ	5	
羞	ɕ	iɤ	5	
悠	∅	iɤ	1	
優	∅	iɤ	1	
憂	∅	iɤ	1	
幽	∅	iɤ	1	
幼	∅	iɤ	5	
又	∅	iɤ	5	
右	∅	iɤ	5	
佑	∅	iɤ	5	
由	ɦ	iɤ	2	
油	ɦ	iɤ	2	
遊	ɦ	iɤ	2	
游	ɦ	iɤ	2	
猶	ɦ	iɤ	2	
有	ɦ	iɤ	6	
友	ɦ	iɤ	6	
酉	ɦ	iɤ	6	
誘	ɦ	iɤ	6	
搬	p	ø	1	
般	p	ø	1	
半	p	ø	5	
潘	pʰ	ø	1	
判	pʰ	ø	5	
盤	b	ø	2	
瀊	b	ø	2	
叛	b	ø	6	
拌	b	ø	6	
絆	b	ø	6	
伴	b	ø	6	
畔	b	ø	6	
饅	m	ø	2	
㒼	m	ø	2	
瞞	m	ø	2	
滿	m	ø	6	
端	t	ø	1	
短	t	ø	3	
貪	tʰ	ø	1	
探	tʰ	ø	5	
蛻	tʰ	ø	5	
潭	d	ø	2	
譚	d	ø	2	
團	d	ø	2	
糰	d	ø	2	
摶	d	ø	2	
斷	d	ø	6	
段	d	ø	6	
緞	d	ø	6	
囡	n	ø	1	
男	n	ø	2	
囡	n	ø	2	
暖	n	ø	6	
卵	l	ø	6	
亂	l	ø	6	
簪	ts	ø	1	
占	ts	ø	1	
氈	ts	ø	1	
鑽	ts	ø	1	
展	ts	ø	3	
轉	ts	ø	3	
戰	ts	ø	5	
鑽	ts	ø	5	
攛	tsʰ	ø	1	
餐	tsʰ	ø	1	
參	tsʰ	ø	1	
氽	tsʰ	ø	1	
慘	tsʰ	ø	5	
篡	tsʰ	ø	5	
竄	tsʰ	ø	5	
酸	s	ø	1	
痠	s	ø	1	
閂	s	ø	1	
栓	s	ø	1	
拴	s	ø	1	
陝	s	ø	3	
閃	s	ø	3	
扇	s	ø	5	
算	s	ø	5	
蒜	s	ø	5	
蠶	z	ø	2	
然	z	ø	2	
燃	z	ø	2	
傳	z	ø	2	
染	z	ø	2	
傳	z	ø	2	
善	z	ø	6	
膳	z	ø	6	
禪	z	ø	6	
纏	z	ø	6	
傳	z	ø	6	
單	z	ø	6	
甘	k	ø	1	
泔	k	ø	1	
柑	k	ø	1	
乾	k	ø	1	
干	k	ø	1	
肝	k	ø	1	
官	k	ø	1	
觀	k	ø	1	
冠	k	ø	1	
疳	k	ø	1	
蓋	k	ø	3	
感	k	ø	3	
敢	k	ø	3	
竿	k	ø	3	
杆	k	ø	3	
桿	k	ø	3	
稈	k	ø	3	
趕	k	ø	3	
管	k	ø	3	
館	k	ø	3	
貫	k	ø	5	
灌	k	ø	5	
罐	k	ø	5	
冠	k	ø	5	
堪	kʰ	ø	1	
寬	kʰ	ø	1	
看	kʰ	ø	1	
看	kʰ	ø	5	
砍	kʰ	ø	5	
刊	kʰ	ø	5	
侃	kʰ	ø	5	
款	kʰ	ø	5	
岩	ŋ	ø	2	
巖	ŋ	ø	2	
岸	ŋ	ø	6	
歡	h	ø	1	
蝦	h	ø	1	
漢	h	ø	5	
罕	h	ø	5	
含	ɦ	ø	2	
函	ɦ	ø	2	
寒	ɦ	ø	2	
韓	ɦ	ø	2	
完	ɦ	ø	2	
丸	ɦ	ø	2	
玩	ɦ	ø	2	
豌	ɦ	ø	2	
汗	ɦ	ø	6	
換	ɦ	ø	6	
庵	∅	ø	1	
安	∅	ø	1	
鞍	∅	ø	1	
皖	∅	ø	3	
碗	∅	ø	3	
暗	∅	ø	5	
闇	∅	ø	5	
按	∅	ø	5	
案	∅	ø	5	
捐	tɕ	yø	1	
娟	tɕ	yø	1	
鵑	tɕ	yø	1	
卷	tɕ	yø	3	
捲	tɕ	yø	3	
眷	tɕ	yø	5	
絹	tɕ	yø	5	
鱖	tɕ	yø	5	
圈	tɕʰ	yø	1	
勸	tɕʰ	yø	5	
券	tɕʰ	yø	5	
犬	tɕʰ	yø	5	
權	dʑ	yø	2	
拳	dʑ	yø	2	
顴	dʑ	yø	2	
倦	dʑ	yø	6	
元	ȵ	yø	2	
原	ȵ	yø	2	
源	ȵ	yø	2	
願	ȵ	yø	6	
楦	ɕ	yø	3	
圓	ɦ	yø	2	
員	ɦ	yø	2	
袁	ɦ	yø	2	
猿	ɦ	yø	2	
園	ɦ	yø	2	
眩	ɦ	yø	2	
懸	ɦ	yø	2	
緣	ɦ	yø	2	
遠	ɦ	yø	6	
院	ɦ	yø	6	
冤	ɦ	yø	1	
縣	ɦ	yø	5	
怨	ɦ	yø	5	
疤	p	uˠ	1	
巴	p	uˠ	1	
芭	p	uˠ	1	
把	p	uˠ	1	
壩	p	uˠ	5	
霸	p	uˠ	5	
把	p	uˠ	5	
怕	pʰ	uˠ	5	
扒	b	uˠ	2	
爬	b	uˠ	2	
耙	b	uˠ	2	
琵	b	uˠ	2	
杷	b	uˠ	2	
巴	b	uˠ	2	
麻	m	uˠ	2	
罵	m	uˠ	6	
馬	m	uˠ	6	
碼	m	uˠ	6	
朵	t	uˠ	3	
喌	t	uˠ	5	
拿	n	uˠ	1	
遮	ts	uˠ	1	
蔗	ts	uˠ	1	
渣	ts	uˠ	1	
榨	ts	uˠ	5	
炸	ts	uˠ	5	
詐	ts	uˠ	5	
叉	tsʰ	uˠ	1	
杈	tsʰ	uˠ	1	
釵	tsʰ	uˠ	1	
錯	tsʰ	uˠ	1	
岔	tsʰ	uˠ	1	
車	tsʰ	uˠ	1	
衩	tsʰ	uˠ	5	
沙	s	uˠ	1	
紗	s	uˠ	1	
賒	s	uˠ	1	
痧	s	uˠ	1	
捨	s	uˠ	3	
曬	s	uˠ	5	
舍	s	uˠ	5	
茶	z	uˠ	2	
查	z	uˠ	2	
蛇	z	uˠ	2	
乍	z	uˠ	6	
昨	z	uˠ	6	
社	z	uˠ	6	
射	z	uˠ	6	
瓜	k	uˠ	1	
寡	k	uˠ	3	
卦	k	uˠ	5	
褂	k	uˠ	5	
掛	k	uˠ	5	
挎	kʰ	uˠ	1	
可	kʰ	uˠ	5	
跨	kʰ	uˠ	5	
胯	kʰ	uˠ	5	
瓦	ŋ	uˠ	6	
花	h	uˠ	1	
化	h	uˠ	5	
蛙	∅	uˠ	1	
椏	∅	uˠ	1	
丫	∅	uˠ	1	
鴉	∅	uˠ	1	
椏	∅	uˠ	1	
華	ɦ	uˠ	2	
劃	ɦ	uˠ	2	
划	ɦ	uˠ	2	
啞	∅	uˠ	3	
亞	∅	uˠ	3	
廈	∅	uˠ	5	
話	∅	uˠ	5	
畫	ɦ	uˠ	6	
下	ɦ	uˠ	6	
夏	ɦ	uˠ	6	
幫	p	ɒ̃	1	
邦	p	ɒ̃	1	
榜	p	ɒ̃	3	
謗	p	ɒ̃	3	
綁	p	ɒ̃	3	
滂	pʰ	ɒ̃	1	
胖	pʰ	ɒ̃	5	
髈	pʰ	ɒ̃	5	
旁	b	ɒ̃	2	
傍	b	ɒ̃	2	
防	b	ɒ̃	2	
棒	b	ɒ̃	6	
忙	m	ɒ̃	2	
芒	m	ɒ̃	2	
茫	m	ɒ̃	2	
網	m	ɒ̃	6	
望	m	ɒ̃	6	
忘	m	ɒ̃	6	
妄	m	ɒ̃	6	
莽	m	ɒ̃	6	
黃	f	ɒ̃	1	
荒	f	ɒ̃	1	
慌	f	ɒ̃	1	
方	f	ɒ̃	1	
芳	f	ɒ̃	1	
肪	f	ɒ̃	1	
紡	f	ɒ̃	3	
仿	f	ɒ̃	3	
訪	f	ɒ̃	3	
謊	f	ɒ̃	3	
放	f	ɒ̃	5	
況	f	ɒ̃	5	
房	v	ɒ̃	2	
亡	v	ɒ̃	2	
望	v	ɒ̃	6	
忘	v	ɒ̃	6	
妄	v	ɒ̃	6	
當	t	ɒ̃	1	
襠	t	ɒ̃	1	
擋	t	ɒ̃	3	
黨	t	ɒ̃	3	
當	t	ɒ̃	5	
湯	tʰ	ɒ̃	1	
躺	tʰ	ɒ̃	5	
倘	tʰ	ɒ̃	5	
趟	tʰ	ɒ̃	5	
燙	tʰ	ɒ̃	5	
堂	d	ɒ̃	2	
唐	d	ɒ̃	2	
糖	d	ɒ̃	2	
塘	d	ɒ̃	2	
搪	d	ɒ̃	2	
蕩	d	ɒ̃	6	
盪	d	ɒ̃	6	
囊	n	ɒ̃	2	
郎	l	ɒ̃	2	
狼	l	ɒ̃	2	
廊	l	ɒ̃	2	
螂	l	ɒ̃	2	
朗	l	ɒ̃	6	
浪	l	ɒ̃	6	
㫰	l	ɒ̃	6	
臧	ts	ɒ̃	1	
贓	ts	ɒ̃	1	
莊	ts	ɒ̃	1	
裝	ts	ɒ̃	1	
章	ts	ɒ̃	1	
樟	ts	ɒ̃	1	
葬	ts	ɒ̃	5	
壯	ts	ɒ̃	5	
倉	tsʰ	ɒ̃	1	
瘡	tsʰ	ɒ̃	1	
蒼	tsʰ	ɒ̃	1	
窗	tsʰ	ɒ̃	1	
闖	tsʰ	ɒ̃	5	
創	tsʰ	ɒ̃	5	
唱	tsʰ	ɒ̃	5	
倡	tsʰ	ɒ̃	5	
桑	s	ɒ̃	1	
喪	s	ɒ̃	1	
商	s	ɒ̃	1	
霜	s	ɒ̃	1	
傷	s	ɒ̃	1	
雙	s	ɒ̃	1	
爽	s	ɒ̃	3	
床	z	ɒ̃	2	
牀	z	ɒ̃	2	
藏	z	ɒ̃	2	
嘗	z	ɒ̃	2	
嚐	z	ɒ̃	2	
償	z	ɒ̃	2	
裳	z	ɒ̃	2	
臟	z	ɒ̃	6	
狀	z	ɒ̃	6	
上	z	ɒ̃	6	
尚	z	ɒ̃	6	
撞	z	ɒ̃	6	
藏	z	ɒ̃	6	
剛	k	ɒ̃	1	
鋼	k	ɒ̃	1	
缸	k	ɒ̃	1	
綱	k	ɒ̃	1	
崗	k	ɒ̃	1	
岡	k	ɒ̃	1	
江	k	ɒ̃	1	
肛	k	ɒ̃	1	
扛	k	ɒ̃	1	
豇	k	ɒ̃	1	
講	k	ɒ̃	3	
港	k	ɒ̃	3	
降	k	ɒ̃	5	
糠	kʰ	ɒ̃	1	
康	kʰ	ɒ̃	1	
抗	kʰ	ɒ̃	5	
囥	kʰ	ɒ̃	5	
慷	kʰ	ɒ̃	5	
戇	g	ɒ̃	6	
骯	∅	ɒ̃	1	
肮	∅	ɒ̃	1	
絎	ɦ	ɒ̃	2	
行	ɦ	ɒ̃	2	
航	ɦ	ɒ̃	2	
杭	ɦ	ɒ̃	2	
降	ɦ	ɒ̃	2	
項	ɦ	ɒ̃	6	
旺	∅	iɒ̃	5	
光	k	uɒ̃	1	
廣	k	uɒ̃	3	
眶	kʰ	uɒ̃	1	
筐	kʰ	uɒ̃	5	
礦	kʰ	uɒ̃	5	
況	kʰ	uɒ̃	5	
狂	g	uɒ̃	2	
晃	h	uɒ̃	5	
汪	∅	uɒ̃	1	
往	∅	uɒ̃	3	
枉	∅	uɒ̃	3	
王	ɦ	uɒ̃	2	
黃	ɦ	uɒ̃	2	
皇	ɦ	uɒ̃	2	
蝗	ɦ	uɒ̃	2	
旺	ɦ	uɒ̃	6	
浜	p	ɛ̃	1	
繃	p	ɛ̃	1	
迸	p	ɛ̃	5	
烹	pʰ	ɛ̃	1	
碰	pʰ	ɛ̃	5	
朋	b	ɛ̃	2	
彭	b	ɛ̃	2	
膨	b	ɛ̃	2	
棚	b	ɛ̃	2	
龐	b	ɛ̃	2	
碰	b	ɛ̃	6	
甏	b	ɛ̃	6	
蚌	b	ɛ̃	6	
盲	m	ɛ̃	2	
咩	m	ɛ̃	3	
孟	m	ɛ̃	6	
猛	m	ɛ̃	6	
橫	v	ɛ̃	2	
橫	v	ɛ̃	6	
打	t	ɛ̃	3	
蕩	d	ɛ̃	6	
宕	d	ɛ̃	6	
趤	d	ɛ̃	6	
冷	l	ɛ̃	6	
張	ts	ɛ̃	1	
章	ts	ɛ̃	1	
障	ts	ɛ̃	1	
樟	ts	ɛ̃	1	
睜	ts	ɛ̃	1	
爭	ts	ɛ̃	1	
掌	ts	ɛ̃	3	
長	ts	ɛ̃	3	
仗	ts	ɛ̃	5	
漲	ts	ɛ̃	5	
帳	ts	ɛ̃	5	
賬	ts	ɛ̃	5	
脹	ts	ɛ̃	5	
撐	tsʰ	ɛ̃	1	
暢	tsʰ	ɛ̃	5	
倡	tsʰ	ɛ̃	5	
廠	tsʰ	ɛ̃	5	
牚	tsʰ	ɛ̃	5	
生	s	ɛ̃	1	
牲	s	ɛ̃	1	
甥	s	ɛ̃	1	
笙	s	ɛ̃	1	
商	s	ɛ̃	1	
傷	s	ɛ̃	1	
聲	s	ɛ̃	1	
省	s	ɛ̃	3	
賞	s	ɛ̃	3	
長	z	ɛ̃	2	
腸	z	ɛ̃	2	
場	z	ɛ̃	2	
嘗	z	ɛ̃	2	
裳	z	ɛ̃	2	
償	z	ɛ̃	2	
盛	z	ɛ̃	6	
上	z	ɛ̃	6	
尚	z	ɛ̃	6	
丈	z	ɛ̃	6	
攘	z	ɛ̃	6	
壤	z	ɛ̃	6	
嚷	z	ɛ̃	6	
讓	z	ɛ̃	6	
羹	k	ɛ̃	1	
耕	k	ɛ̃	1	
庚	k	ɛ̃	1	
粳	k	ɛ̃	1	
更	k	ɛ̃	1	
根	k	ɛ̃	1	
哽	k	ɛ̃	3	
梗	k	ɛ̃	3	
埂	k	ɛ̃	3	
鯁	k	ɛ̃	3	
坑	kʰ	ɛ̃	1	
硬	ŋ	ɛ̃	6	
夯	h	ɛ̃	1	
亨	h	ɛ̃	1	
櫻	∅	ɛ̃	1	
鸚	∅	ɛ̃	1	
行	ɦ	ɛ̃	2	
杏	∅	ɛ̃	5	
兩	n	iɛ̃	6	
良	l	iɛ̃	2	
涼	l	iɛ̃	2	
量	l	iɛ̃	2	
糧	l	iɛ̃	2	
粱	l	iɛ̃	2	
梁	l	iɛ̃	2	
樑	l	iɛ̃	2	
兩	l	iɛ̃	6	
將	ts	iɛ̃	1	
漿	ts	iɛ̃	1	
蔣	ts	iɛ̃	3	
獎	ts	iɛ̃	3	
槳	ts	iɛ̃	3	
醬	ts	iɛ̃	5	
將	ts	iɛ̃	5	
槍	tsʰ	iɛ̃	1	
搶	tsʰ	iɛ̃	5	
相	s	iɛ̃	1	
箱	s	iɛ̃	1	
廂	s	iɛ̃	1	
襄	s	iɛ̃	1	
鑲	s	iɛ̃	1	
想	s	iɛ̃	3	
鯗	s	iɛ̃	3	
相	s	iɛ̃	5	
牆	z	iɛ̃	2	
薔	z	iɛ̃	2	
詳	z	iɛ̃	2	
祥	z	iɛ̃	2	
象	z	iɛ̃	6	
橡	z	iɛ̃	6	
像	z	iɛ̃	6	
匠	z	iɛ̃	6	
姜	tɕ	iɛ̃	1	
薑	tɕ	iɛ̃	1	
僵	tɕ	iɛ̃	1	
殭	tɕ	iɛ̃	1	
疆	tɕ	iɛ̃	1	
江	tɕ	iɛ̃	1	
講	tɕ	iɛ̃	3	
降	tɕ	iɛ̃	5	
羌	tɕʰ	iɛ̃	1	
腔	tɕʰ	iɛ̃	1	
𪉨	tɕʰ	iɛ̃	1	
嗆	tɕʰ	iɛ̃	5	
強	tɕʰ	iɛ̃	5	
強	dʑ	iɛ̃	2	
強	dʑ	iɛ̃	6	
娘	ȵ	iɛ̃	2	
孃	ȵ	iɛ̃	2	
仰	ȵ	iɛ̃	3	
釀	ȵ	iɛ̃	3	
讓	ȵ	iɛ̃	6	
香	ɕ	iɛ̃	1	
鄉	ɕ	iɛ̃	1	
響	ɕ	iɛ̃	3	
享	ɕ	iɛ̃	3	
秧	∅	iɛ̃	1	
央	∅	iɛ̃	1	
殃	∅	iɛ̃	1	
羊	ɦ	iɛ̃	2	
洋	ɦ	iɛ̃	2	
楊	ɦ	iɛ̃	2	
揚	ɦ	iɛ̃	2	
陽	ɦ	iɛ̃	2	
烊	ɦ	iɛ̃	2	
漾	∅	iɛ̃	5	
映	∅	iɛ̃	5	
樣	∅	iɛ̃	5	
養	ɦ	iɛ̃	6	
癢	ɦ	iɛ̃	6	
氧	ɦ	iɛ̃	6	
橫	ʋ	ɛ̃	1	
奔	p	ɤŋ	1	
崩	p	ɤŋ	1	
畚	p	ɤŋ	1	
本	p	ɤŋ	3	
撥	p	ɤŋ	3	
烹	pʰ	ɤŋ	1	
盆	b	ɤŋ	2	
朋	b	ɤŋ	2	
笨	b	ɤŋ	6	
坌	b	ɤŋ	6	
門	m	ɤŋ	2	
蚊	m	ɤŋ	2	
聞	m	ɤŋ	2	
盟	m	ɤŋ	2	
燜	m	ɤŋ	5	
悶	m	ɤŋ	5	
問	m	ɤŋ	6	
昏	f	ɤŋ	1	
婚	f	ɤŋ	1	
葷	f	ɤŋ	1	
分	f	ɤŋ	1	
紛	f	ɤŋ	1	
芬	f	ɤŋ	1	
粉	f	ɤŋ	3	
糞	f	ɤŋ	5	
奮	f	ɤŋ	5	
魂	v	ɤŋ	2	
餛	v	ɤŋ	2	
文	v	ɤŋ	2	
紋	v	ɤŋ	2	
墳	v	ɤŋ	2	
焚	v	ɤŋ	2	
聞	v	ɤŋ	2	
渾	v	ɤŋ	6	
混	v	ɤŋ	6	
吻	v	ɤŋ	6	
憤	v	ɤŋ	6	
份	v	ɤŋ	6	
問	v	ɤŋ	6	
墩	t	ɤŋ	1	
登	t	ɤŋ	1	
燈	t	ɤŋ	1	
蹲	t	ɤŋ	1	
頓	t	ɤŋ	3	
等	t	ɤŋ	3	
凳	t	ɤŋ	5	
吞	tʰ	ɤŋ	1	
汆	tʰ	ɤŋ	5	
飩	d	ɤŋ	2	
臀	d	ɤŋ	2	
騰	d	ɤŋ	2	
謄	d	ɤŋ	2	
藤	d	ɤŋ	2	
鈍	d	ɤŋ	6	
盾	d	ɤŋ	6	
遁	d	ɤŋ	6	
鄧	d	ɤŋ	6	
能	n	ɤŋ	2	
嫩	n	ɤŋ	6	
論	l	ɤŋ	2	
輪	l	ɤŋ	2	
侖	l	ɤŋ	2	
崙	l	ɤŋ	2	
論	l	ɤŋ	6	
針	ts	ɤŋ	1	
珍	ts	ɤŋ	1	
真	ts	ɤŋ	1	
診	ts	ɤŋ	1	
疹	ts	ɤŋ	1	
肫	ts	ɤŋ	1	
增	ts	ɤŋ	1	
憎	ts	ɤŋ	1	
曾	ts	ɤŋ	1	
枕	ts	ɤŋ	3	
准	ts	ɤŋ	3	
準	ts	ɤŋ	3	
鎮	ts	ɤŋ	5	
振	ts	ɤŋ	5	
震	ts	ɤŋ	5	
證	ts	ɤŋ	5	
症	ts	ɤŋ	5	
癥	ts	ɤŋ	5	
村	tsʰ	ɤŋ	1	
春	tsʰ	ɤŋ	1	
蠢	tsʰ	ɤŋ	1	
皴	tsʰ	ɤŋ	1	
稱	tsʰ	ɤŋ	1	
趁	tsʰ	ɤŋ	5	
襯	tsʰ	ɤŋ	5	
寸	tsʰ	ɤŋ	5	
逞	tsʰ	ɤŋ	5	
秤	tsʰ	ɤŋ	5	
深	s	ɤŋ	1	
身	s	ɤŋ	1	
伸	s	ɤŋ	1	
申	s	ɤŋ	1	
孫	s	ɤŋ	1	
僧	s	ɤŋ	1	
升	s	ɤŋ	1	
昇	s	ɤŋ	1	
生	s	ɤŋ	1	
牲	s	ɤŋ	1	
聲	s	ɤŋ	1	
參	s	ɤŋ	1	
蔘	s	ɤŋ	1	
沈	s	ɤŋ	3	
瀋	s	ɤŋ	3	
嬸	s	ɤŋ	3	
損	s	ɤŋ	3	
筍	s	ɤŋ	3	
榫	s	ɤŋ	3	
遜	s	ɤŋ	5	
聖	s	ɤŋ	5	
沉	z	ɤŋ	2	
陳	z	ɤŋ	2	
辰	z	ɤŋ	2	
晨	z	ɤŋ	2	
臣	z	ɤŋ	2	
娠	z	ɤŋ	2	
塵	z	ɤŋ	2	
人	z	ɤŋ	2	
仁	z	ɤŋ	2	
存	z	ɤŋ	2	
唇	z	ɤŋ	2	
脣	z	ɤŋ	2	
純	z	ɤŋ	2	
城	z	ɤŋ	2	
成	z	ɤŋ	2	
誠	z	ɤŋ	2	
盛	z	ɤŋ	2	
呈	z	ɤŋ	2	
程	z	ɤŋ	2	
淳	z	ɤŋ	2	
澄	z	ɤŋ	2	
承	z	ɤŋ	2	
丞	z	ɤŋ	2	
乘	z	ɤŋ	2	
繩	z	ɤŋ	2	
層	z	ɤŋ	2	
曾	z	ɤŋ	2	
甚	z	ɤŋ	6	
任	z	ɤŋ	6	
妊	z	ɤŋ	6	
紉	z	ɤŋ	6	
陣	z	ɤŋ	6	
慎	z	ɤŋ	6	
腎	z	ɤŋ	6	
忍	z	ɤŋ	6	
刃	z	ɤŋ	6	
認	z	ɤŋ	6	
順	z	ɤŋ	6	
潤	z	ɤŋ	6	
閏	z	ɤŋ	6	
剩	z	ɤŋ	6	
鄭	z	ɤŋ	6	
根	k	ɤŋ	1	
跟	k	ɤŋ	1	
更	k	ɤŋ	1	
耕	k	ɤŋ	1	
今	k	ɤŋ	1	
耿	k	ɤŋ	3	
更	k	ɤŋ	5	
肯	kʰ	ɤŋ	5	
懇	kʰ	ɤŋ	5	
亨	h	ɤŋ	1	
脝	h	ɤŋ	1	
很	h	ɤŋ	3	
擤	h	ɤŋ	5	
恩	∅	ɤŋ	1	
恒	ɦ	ɤŋ	2	
恆	ɦ	ɤŋ	2	
衡	ɦ	ɤŋ	2	
恨	ɦ	ɤŋ	6	
彬	p	iŋ	1	
賓	p	iŋ	1	
殯	p	iŋ	1	
鬢	p	iŋ	1	
冰	p	iŋ	1	
兵	p	iŋ	1	
丙	p	iŋ	3	
餅	p	iŋ	3	
柄	p	iŋ	5	
摒	p	iŋ	5	
拼	pʰ	iŋ	1	
姘	pʰ	iŋ	1	
品	pʰ	iŋ	5	
聘	pʰ	iŋ	5	
貧	b	iŋ	2	
頻	b	iŋ	2	
憑	b	iŋ	2	
平	b	iŋ	2	
評	b	iŋ	2	
萍	b	iŋ	2	
屏	b	iŋ	2	
病	b	iŋ	6	
並	b	iŋ	6	
名	m	iŋ	2	
明	m	iŋ	2	
鳴	m	iŋ	2	
民	m	iŋ	2	
閩	m	iŋ	3	
敏	m	iŋ	3	
皿	m	iŋ	3	
冥	m	iŋ	3	
抿	m	iŋ	6	
命	m	iŋ	6	
憫	m	iŋ	6	
閔	m	iŋ	6	
丁	t	iŋ	1	
叮	t	iŋ	1	
盯	t	iŋ	1	
釘	t	iŋ	1	
頂	t	iŋ	3	
鼎	t	iŋ	3	
訂	t	iŋ	5	
釘	t	iŋ	5	
濎	t	iŋ	5	
聽	tʰ	iŋ	1	
汀	tʰ	iŋ	1	
廳	tʰ	iŋ	1	
聽	tʰ	iŋ	5	
艇	tʰ	iŋ	5	
挺	tʰ	iŋ	5	
亭	d	iŋ	2	
停	d	iŋ	2	
廷	d	iŋ	2	
庭	d	iŋ	2	
蜓	d	iŋ	2	
定	d	iŋ	6	
拎	l	iŋ	1	
林	l	iŋ	2	
淋	l	iŋ	2	
臨	l	iŋ	2	
鄰	l	iŋ	2	
鱗	l	iŋ	2	
陵	l	iŋ	2	
凌	l	iŋ	2	
淩	l	iŋ	2	
菱	l	iŋ	2	
靈	l	iŋ	2	
鈴	l	iŋ	2	
伶	l	iŋ	2	
零	l	iŋ	2	
領	l	iŋ	6	
嶺	l	iŋ	6	
齡	l	iŋ	6	
令	l	iŋ	6	
另	l	iŋ	6	
津	ts	iŋ	1	
晶	ts	iŋ	1	
精	ts	iŋ	1	
睛	ts	iŋ	1	
腈	ts	iŋ	1	
井	ts	iŋ	3	
浸	ts	iŋ	5	
進	ts	iŋ	5	
晉	ts	iŋ	5	
俊	ts	iŋ	5	
侵	tsʰ	iŋ	1	
親	tsʰ	iŋ	1	
清	tsʰ	iŋ	1	
蜻	tsʰ	iŋ	1	
青	tsʰ	iŋ	1	
請	tsʰ	iŋ	5	
寢	tsʰ	iŋ	5	
心	s	iŋ	1	
辛	s	iŋ	1	
新	s	iŋ	1	
薪	s	iŋ	1	
星	s	iŋ	1	
腥	s	iŋ	1	
詢	s	iŋ	1	
醒	s	iŋ	3	
省	s	iŋ	3	
信	s	iŋ	5	
迅	s	iŋ	5	
訊	s	iŋ	5	
尋	z	iŋ	2	
秦	z	iŋ	2	
旬	z	iŋ	2	
循	z	iŋ	2	
巡	z	iŋ	2	
晴	z	iŋ	2	
情	z	iŋ	2	
盡	z	iŋ	6	
靜	z	iŋ	6	
淨	z	iŋ	6	
蕈	z	iŋ	6	
殉	z	iŋ	6	
今	tɕ	iɤŋ	1	
金	tɕ	iɤŋ	1	
斤	tɕ	iɤŋ	1	
襟	tɕ	iɤŋ	1	
巾	tɕ	iɤŋ	1	
筋	tɕ	iɤŋ	1	
均	tɕ	iɤŋ	1	
鈞	tɕ	iɤŋ	1	
菌	tɕ	iɤŋ	1	
君	tɕ	iɤŋ	1	
軍	tɕ	iɤŋ	1	
京	tɕ	iɤŋ	1	
經	tɕ	iɤŋ	1	
莖	tɕ	iɤŋ	1	
