字	聲母	韻母	調類	解釋
梨	l	iᶽ	2	
厘	l	iᶽ	2	
釐	l	iᶽ	2	
罹	l	iᶽ	2	
鸝	l	iᶽ	2	
蘺	l	iᶽ	2	
蠡	l	iᶽ	2	
漓	l	iᶽ	2	
灕	l	iᶽ	2	
驪	l	iᶽ	2	
酈	l	iᶽ	2	
黧	l	iᶽ	2	
黎	l	iᶽ	2	
貍	l	iᶽ	2	
例	l	iᶽ	6	
勵	l	iᶽ	6	
厲	l	iᶽ	6	
礪	l	iᶽ	6	
濿	l	iᶽ	6	
洌	l	iᶽ	6	
麗	l	iᶽ	6	
戾	l	iᶽ	6	
捩	l	iᶽ	6	
禮	l	iᶽ	6	
澧	l	iᶽ	6	
醴	l	iᶽ	6	
利	l	iᶽ	6	
痢	l	iᶽ	6	
李	l	iᶽ	6	
裏	l	iᶽ	6	
裡	l	iᶽ	6	
里	l	iᶽ	6	
理	l	iᶽ	6	
鯉	l	iᶽ	6	
娌	l	iᶽ	6	
濾	l	iᶽ	6	
荔	l	iᶽ	6	
蠡	l	iᶽ	6	
蒞	l	iᶽ	6	
祭	ts	iᶽ	5	
際	ts	iᶽ	5	
擠	ts	iᶽ	5	
濟	ts	iᶽ	5	
霽	ts	iᶽ	5	
鯽	ts	iᶽ	5	
妻	tsʰ	iᶽ	1	
淒	tsʰ	iᶽ	1	
悽	tsʰ	iᶽ	1	
萋	tsʰ	iᶽ	1	
砌	tsʰ	iᶽ	5	
西	s	iᶽ	1	
棲	s	iᶽ	1	
棲	s	iᶽ	1	
洗	s	iᶽ	3	
死	s	iᶽ	3	
細	s	iᶽ	5	
婿	s	iᶽ	5	
絮	s	iᶽ	5	
齊	z	iᶽ	2	
臍	z	iᶽ	2	
薺	z	iᶽ	2	
徐	z	iᶽ	2	
雞	tɕ	iᶽ	1	
饑	tɕ	iᶽ	1	
飢	tɕ	iᶽ	1	
肌	tɕ	iᶽ	1	
几	tɕ	iᶽ	1	
幾	tɕ	iᶽ	1	
機	tɕ	iᶽ	1	
譏	tɕ	iᶽ	1	
箕	tɕ	iᶽ	1	
基	tɕ	iᶽ	1	
幾	tɕ	iᶽ	3	
翨	tɕ	iᶽ	3	
計	tɕ	iᶽ	5	
繼	tɕ	iᶽ	5	
冀	tɕ	iᶽ	5	
記	tɕ	iᶽ	5	
紀	tɕ	iᶽ	5	
己	tɕ	iᶽ	5	
既	tɕ	iᶽ	5	
季	tɕ	iᶽ	5	
溪	tɕʰ	iᶽ	1	
欺	tɕʰ	iᶽ	1	
啓	tɕʰ	iᶽ	5	
啟	tɕʰ	iᶽ	5	
契	tɕʰ	iᶽ	5	
器	tɕʰ	iᶽ	5	
棄	tɕʰ	iᶽ	5	
起	tɕʰ	iᶽ	5	
氣	tɕʰ	iᶽ	5	
汽	tɕʰ	iᶽ	5	
去	tɕʰ	iᶽ	5	
炁	tɕʰ	iᶽ	5	
奇	dʑ	iᶽ	2	
騎	dʑ	iᶽ	2	
祁	dʑ	iᶽ	2	
其	dʑ	iᶽ	2	
棋	dʑ	iᶽ	2	
旗	dʑ	iᶽ	2	
期	dʑ	iᶽ	2	
琪	dʑ	iᶽ	2	
麒	dʑ	iᶽ	2	
蘄	dʑ	iᶽ	2	
祺	dʑ	iᶽ	2	
碁	dʑ	iᶽ	2	
萁	dʑ	iᶽ	2	
妓	dʑ	iᶽ	6	
技	dʑ	iᶽ	6	
伎	dʑ	iᶽ	6	
忌	dʑ	iᶽ	6	
及	dʑ	iᶽ	6	
徛	dʑ	iᶽ	6	
泥	ȵ	iᶽ	2	
尼	ȵ	iᶽ	2	
