#备注：《武鸣县城官话调查报告》 陆淼焱		调号	调类
#符号说明：-白		7a	高入
#调值	[1]³³ [2]²¹ [3]⁵⁵ [5]²⁴ [7a]⁵⁵ [7b]²¹ [9]³⁵	7b	低入
#ɿ		9	借入调
t	[1]都{都城；都是}[2]笃督[3]堵赌肚{鱼肚}[5]杜肚{腹肚}度渡镀		
tʰ	[2]徒屠途涂图突秃[3]土[5]吐{吐痰；呕吐}兔		
n	[2]奴[3]努[5]怒		
ɬ	[1]苏酥[3]数{动词}[5]素诉数{名词}漱{漱口}		
l	[1]□{转~~：团团转}[2]庐炉芦鸬庐鹿禄录[3]鲁橹虏卤[5]路赂露鹭		
ts	[1]租[2]续族筑逐轴祝续[3]祖组阻嘱[5]助		
tsʰ	[1]粗初[2]锄猝畜{畜牲}促触[3]楚础[5]醋错{错误}		
s	[1]梳疏{疏远}[2]速肃宿叔粟俗赎束属		
k	[1]姑孤估牯[3]古鹽股鼓[5]故固锢雇顾		
kʰ	[1]箍枯窟[3]苦[5]库裤酷		
x	[1]呼乎[2]胡湖狐壶瓠胡忽[3]虎浒[5]戽户沪互护		
ʔ	[1]乌污坞巫诬[2]吴蜈吾梧无物勿屋[3]五伍午武舞侮鹉[5]误悟恶{可恶}务		

#u			
n	[3]女		
ɬ	[1]须		
l	[2]驴[3]履		
ts	[1]猪诸诛蛛株朱硃珠[3]褚煮拄主[5]著{显著}聚驻注柱住注蛀铸		
tsʰ	[1]□{~出来，伸出来}[2]徐除厨雏[3]储{储蓄}处{相处}取娶[5]处{处所}		
s	[1]蔬疏{注疏}书舒须需枢戍输{运输}殊绥戍[2]薯{白薯}术{白术}術{手術}[3]暑鼠署{专署}蜀[5]絮序叙绪庶恕竖树恤述畜蓄{储蓄}		
k	[1]居车{车马炮}拘驹[2]菊[5]锯{锯子}俱句具惧剧{剧烈；戏剧}劇		
kʰ	[1]蛆{生蛆}趋区{区域}驱[2]瞿屈曲{曲折；歌曲}[5]趣		
x	[1]墟{墟市}虚嘘{吹嘘}[3]许雨		
ʔ	[2]鱼渔吁迂于盂[3]语宇禹羽[5]御禦芋域郁欲慾浴		
Ǿ	[2]余馀儒		

#a			
p	[1]巴芭疤[2]八拔[3]把{把手}[5]霸欛{柄}坝{堤坝；平川}壩{堤壩}罢[9]爸		
pʰ	[2]爬琶杷钯{钯子}耙[5]怕		
m	[1]妈双{训读，双生}[2]麻痳蟆{蛤蟆}[3]马码{码子}[5]骂		
f	[2]法{法子}乏发伐筏罚		
t	[2]答搭达[3]打[5]大{【大夫、大黄】同读此音}		
tʰ	[1]他踏		
n	[2]拿纳[3]哪{那个}[5]那捺{撇捺}		
l	[1]拉[2]腊[9]□{kʰa²¹～，屁股}		
ts	[1]楂渣[2]扎{用针扎}闸炸{用油炸}煠札扎铡{铡刀}[5]诈榨{榨油}炸{炸弹}乍		
tsʰ	[1]叉杈{枝杈}差{差别}岔{三岔路}[2]茶搽茬查{调查}插擦察		
s	[1]沙纱[2]萨杀[3]洒洒撒{撒手}		
k	[3]尬{尴尬}		
kʰ	[2]□{~la³⁵，屁股}		
ŋ	[1]桠{桠杈}[2]□{~ŋaŋ³⁵，犟}		
x	[1]哈[2]蛤		
Ǿ	[1]阿{阿胶；阿哥}		

#ia			
k	[1]家加痂嘉傢{傢俱}佳[2]夹{夹衣}甲胛{肩胛}[3]假{真假}贾{姓}假{放假}[5]架驾嫁稼价		
kʰ	[1]掐[2]洽[5]恰		
x	[1]虾{鱼虾；虾蟆}[2]霞瑕遐暇狭峡匣{箱匣}辖{管辖}[5]下{底下}夏{姓}厦{厦门}下{下降}夏{春夏}		
Ǿ	[1]鸦丫{丫头}[2]牙芽衙伢{小孩子}砑{砑平}鸭押压轧{被车轧}[3]厦{偏厦}雅哑[5]亚		

#ua			
ts	[1]抓		
tsʰ	[2]刷[3]耍		
k	[1]瓜[3]寡剐[5]挂卦		
kʰ	[1]夸[2]跨[3]垮		
x	[1]花[2]华{中华；华山、兴}铧划{划船}猾{狡猾}[5]化桦{桦树}画{名词；动词}话划		
Ǿ	[1]蛙洼蛙挖[3]瓦{名词；动词}		

#e			
p	[1]鳖[2]别{区别；离别}憋		
pʰ	[3]□{扑克}		
m	[1]□{背}[2]灭		
f	[9]□{ʔəŋ³³~~，得意洋洋}		
t	[1]爹[2]跌		
n	[1]□{~~，乳房}[2]业孽		
ɬ	[3]写[5]泻谢		
l	[1]□{tsʰe³³～婆，话多的女人}[2]猎列烈劣[9]□{形容女人爱出风头}		
ts	[1]遮[2]哲[3]姐者[5]借藉{借故}蔗		
tsʰ	[1]车{马车}[2]笡{斜}斜邪彻[3]且扯[5]翅妾		
s	[1]些奢赊畲{姓}蝎[2]蛇谐摄涉舌设[3]舍[5]卸射麝{麝香}赦舍社懈解{姓氏}泄{泄露}屑{不屑；木屑}射		
k	[2]捷劫杰揭洁		
kʰ	[2]茄{茄子}怯{畏怯}		
ŋ	[1]□{哭~~，哭个不停}		
x	[2]携胁协		

#ie			
Ǿ	[1]耶[2]爷页[3]惹也{也是}野[5]夜		

#ye			
ɬ	[2]雪		
s	[1]薛[2]说{说话}		
k	[2]厥决诀掘倔{倔强}[5]掘		
kʰ	[2]缺		
x	[2]穴		
Ǿ	[1]曰[2]悦阅粤		

#ə			
p	[2]北百柏伯白		
pʰ	[2]迫魄		
m	[2]陌{陌生}麦脉[3]不		
t	[2]得德		
l	[2]肋		
ts	[2]辙浙则泽择{择菜}宅摘责		
tsʰ	[2]厕{厕所}撤侧测策册		
s	[2]瑟色啬{吝啬}		
k	[2]阁革		
kʰ	[2]刻{时刻}克客[5]去{来去}		
ŋ	[2]鄂额扼		
x	[2]黑赫核{审核}		
ʔ	[5]二贰		
Ǿ	[2]儿而[3]尔耳饵		

#uə			
Ǿ	[9]□{语气词，无意义}		

#ɔ			
p	[1]波菠{菠菜}玻{玻璃}[2]薄{薄荷}钵勃饽{面饽}博泊{梁山泊；停泊}驳帛[3]簸{簸一簸；颠簸} 		
pʰ	[1]颇坡[2]婆[5]破		
m	[1]摸[2]魔磨{磨刀}摩馍模{模子，模范}摹{摹仿}末沫没{沉没；没有}莫膜寞墨默[5]磨{石磨}		
f	[2]佛		
t	[1]多[2]夺铎踱[3]朵躲[5]舵剁惰桗{柴桗}		
tʰ	[1]拖[2]驼驮{驮起来；驮子}[3]妥椭{椭圆}[5]唾{唾液}		
n	[1]□{搓}[2]□{~ne³³，蜻蜓}[5]糯{糯米}诺[9]蠚{蜂蠚人}		
ɬ	[1]蓑梭{织布梭}唆{啰嗦}莎{莎草}[2]傻塑{塑像}削[3]锁琐{琐碎}		
l	[1]啰{啰嗦}[2]罗锣箩骡螺{螺蛳}脶{手指脶}摞{摞起来}落烙骆酪洛络乐{【音乐】同读此音}略掠[3]裸{裸体}		
ts	[2]拙作{工作}昨酌芍{芍药花}桌卓琢浊捉镯{镯子}[3]左佐[5]坐座做		
tsʰ	[1]搓撮{一撮米}[5]锉措{措置}错{错杂}绰{宽绰}		
s	[2]朔[3]所索{绳索}		
k	[1]歌哥锅戈戟[2]蛤{蛤蜊}鸽葛各搁胳{胳膊}郭国[3]果裹馃[5]个{个人}过		
kʰ	[1]科棵[2]括{包括}阔廓扩{扩充}[3]可颗{一颗珠}[5]课		
ŋ	[2]蛾鹅俄卧[3]我[5]饿饥{饥饿}		
x	[2]荷{薄荷}河何荷{荷花}和{和气}禾和{和面}喝{喝彩}豁{豁然}活鹤或合{合计}[3]火伙喝{喝酒}[5]贺货祸霍藿{藿香}惑获		
ʔ	[2]握		
Ǿ	[1]倭窝蜗[5]沃		

#iɔ			
n	[2]虐		
k	[2]觉{知觉}		
kʰ	[2]却		
x	[2]学		
Ǿ	[2]若弱约跃岳嶽		

#uɔ			
Ǿ	[9]□{口语词，无意义}		

#yɔ			
ts	[2]爵		
tsʰ	[2]雀{麻雀}鹊{喜鹊}		
kʰ	[2]确		
			
#iu			
Ǿ	[2]育[3]辱褥		

#ai			
p	[1]跛-{~足；~腿：瘸腿}[3]摆[5]拜稗败		
pʰ	[2]排牌[5]派		
m	[2]埋[3]买[5]卖迈		
t	[1]呆獃[5]戴贷待怠殆代袋带		
tʰ	[1]胎[2]臺台苔{青苔；舌苔}抬[5]态太泰		
n	[3]乃奶[5]耐奈		
l	[2]来[5]赖癞		
ts	[1]灾栽斋[3]宰载{年载}[5]再载{载重}在载{满载}债寨		
tsʰ	[1]猜钗差{出差}[2]才材财裁豺柴[3]彩采睬[5]菜蔡		
s	[1]腮鳃筛{筛子}[5]赛晒		
k	[1]该皆阶街[3]改解{解开}涯{天涯}解{晓也}[5]概溉盖丐{乞丐}介界芥疥届戒械		
kʰ	[1]开[3]凯楷[5]慨{慷慨}		
ŋ	[1]哀埃{尘埃}挨{挨住}[2]捱{捱打}[3]蔼{和蔼}矮[5]碍爱艾隘		
x	[2]孩鞋[3]海[5]亥害骇{惊骇}		

#iai			
Ǿ	[2]崖{山崖}		

#uai			
tsʰ	[3]揣{揣度}		
s	[1]衰摔[5]帅率{率领}蟀		
k	[1]乖[3]拐[5]怪		
kʰ	[3]块[5]会{会计}刽桧{乔木名；秦桧}快筷		
x	[2]怀槐淮[5]坏		
Ǿ	[1]歪[5]外		

#əi			
p	[1]杯碑卑[5]贝辈揹倍背{背诵}被{被子；被打}悲		
pʰ	[1]胚{胚胎}坯{土坯}[2]培陪赔裴焙{焙干}[5]沛配佩		
m	[2]梅枚媒煤楣霉[3]每美[5]妹昧媚寐		
f	[1]非飞妃[2]肥[3]匪翡{翡翠}[5]废肺吠痱{痱子}费{费用}		
t	[1]堆[5]对兑		
tʰ	[1]推[3]腿[5]退队蜕褪		
n	[5]内		
ɬ	[5]岁		
l	[2]雷累{累赘}[3]屡儡{傀儡}垒[5]累{极困；连累}类泪		
ts	[2]贼[3]嘴[5]罪最缀{点缀}醉		
tsʰ	[5]脆翠		
s	[1]虽[5]碎瑞		
k	[2]□{~马脚，一种游戏}[3]给{供给}琴		
ŋ	[1]□{不断地请求}□{肮脏}		

#uəi			
ts	[1]追锥[5]赘坠		
tsʰ	[1]催崔吹炊[2]垂槌锤		
s	[2]髓随遂谁[3]水[5]税秽睡粹{纯粹}隧{隧道}穗		
k	[1]闺规龟归[3]诡轨鬼[5]鳜桂跪柜贵		
kʰ	[1]盔亏窥[2]魁傀{傀儡}奎癸逵葵[5]溃{溃脓}愧		
x	[1]恢灰麾挥辉[2]回茴[3]悔毁[5]贿晦汇会{会议}绘惠慧讳彙		
Ǿ	[1]煨微威[2]桅{船桅杆}杆危为{作为}维惟唯违围苇{芦苇}[3]伪萎{气萎}委尾伟纬[5]卫为{为什么}位未味魏畏慰胃谓猬		
			
#yəi			
Ǿ	[3]乳蕊[5]芮{姓}锐		

#au			
p	[1]包胞[3]褒{褒奖}保堡宝饱[5]报抱暴豹爆鲍{姓；鲍鱼}曝		
pʰ	[1]抛[2]袍刨刨[3]跑[5]炮{枪炮}泡{泡在水里}雹		
m	[2]毛茅锚矛[3]卯[5]冒帽貌茂贸		
t	[1]刀叨{唠叨}[3]祷岛倒{打倒}导[5]到倒{倒水}道稻盗		
tʰ	[1]滔掏{掏出来}涛[2]桃逃淘{淘汰}陶萄曹槽[3]讨[5]套		
n	[2]铙挠[3]脑恼[5]闹		
l	[1]捞{捞钱；打捞}[2]劳牢唠{唠叨}[3]老[5]涝{旱涝}		
ts	[1]遭糟朝{今朝}召昭招[3]早枣蚤澡爪{爪子}找笊{笊篱}沼{沼气}[5]躁糙{粗糙}皂造{建造}罩赵兆照诏		
tsʰ	[1]操{操作}抄{抄写}钞{钞票}超[2]巢朝{朝代}潮[3]草炒吵[5]□{骂人话}		
s	[1]骚臊{臊气}梢{树梢}捎{捎带}烧[2]韶{韶关}勺{勺子}[3]扫{扫地}嫂扫少{多少}[5]潲{猪食；潲雨}少{少年}绍邵		
k	[1]高膏篙{进船竿}羔糕膏{膏油}[3]稿搞[5]告		
kʰ	[1]敲[3]考烤[5]靠犒		
ŋ	[2]熬[3]袄咬[5]傲懊{懊恼}奥懊{懊悔}坳{山坳}		
x	[1]蒿{蓬蒿}薅{除田草}[2]豪壕毫号{呼号}[3]好{好坏}郝{姓}[5]好{喜好}耗浩号{号数}		

#iau			
p	[1]臕{肥臕}标彪[3]表錶		
pʰ	[1]飘漂鳔[2]瓢嫖{嫖赌}[5]票{车票}漂{漂亮}		
m	[1]猫貓[2]苗描[3]藐渺秒[5]庙妙谬		
t	[1]刁貂雕[5]钓吊掉调{音调；调动}		
tʰ	[1]挑[2]条调{调和}[5]跳		
n	[1]□{指物体粘性大}[2]□{形容人或物瘦弱}[3]鸟[5]尿		
l	[1]撩[2]燎{【火燎眉毛】同读此音}疗聊辽瞭[3]了{了结}[5]料廖{姓}		
tɕ	[1]蕉{芭蕉}椒[2]噍嚼[5]□{数量词，同“口”，如：捱蜜蜂叮了一~}		
ɕ	[1]稍消宵霄硝销萧箫[3]小[5]笑		
k	[1]交郊胶教{教书}焦娇浇[3]绞狡铰搅剿绕{绕线}矫{矫诈}缴{上缴}侥{侥幸}饺{饺子}[5]教{教育}校{校对}较窖觉{睡觉}骄轿叫		
kʰ	[1]锹悄{静悄悄}[2]樵瞧乔侨桥荞[3]巧[5]俏鞘{刀鞘}窍		
x	[1]嚣[3]晓[5]酵孝效校{学校；上校}		
Ǿ	[1]妖邀腰要{要素}幺{幺二三}吆{吆喝}[2]肴淆饶摇谣窑姚鹞{鹞鹰}尧[3]扰绕{围绕}舀{舀水}杳{杳无音信}[5]要{重要}耀		

#əu			
pʰ	[1]剖		
m	[1]蹲{训读}[2]谋[3]某亩牡		
f	[3]否		
t	[1]兜[3]斗抖陡[5]斗豆逗		
tʰ	[1]偷[2]头投[3]□{~气，呼吸}[5]透		
n	[1]□{不好}[2]□{水浑浊}		
ɬ	[1]搜飕馊{饭馊了}搜[5]嗽{咳嗽}瘦		
l	[1]搂{搂取}[2]楼[3]缕{丝缕}耧{农具}篓搂{搂抱}[5]漏陋		
ts	[1]邹周舟州洲[2]肘[3]走帚[5]奏昼纣{桀纣}宙皱绉骤咒		
tsʰ	[1]抽搊{搊起来}[2]绸稠筹愁仇酬[3]丑醜[5]凑臭{香臭}		
s	[1]收[3]叟手首守[5]兽受寿授售		
k	[1]沟[2]□{量词，块，团}[3]狗苟[5]够构购勾{勾当}		
kʰ	[1]抠[3]口[5]叩{叩头}扣{扣住}寇		
ŋ	[1]勾钩欧瓯殴[3]藕偶{配偶；偶然}[5]沤{久浸水中}怄{怄气}		
x	[2]侯喉猴瘊{瘊子}[3]吼[5]后厚後候		
Ǿ	[3]呕{呕吐}		

#iəu			
t	[1]丢		
n	[1]□{形容植物蔫儿的样子}[2]牛[3]纽扭		
ɬ	[1]修		
l	[1]溜[2]流刘留榴{石榴}硫{硫磺}琉{琉璃}馏[3]柳		
tɕ	[3]酒灸{针灸}[5]就		
tɕʰ	[1]秋{秋天}鞦{鞦韆}		
ɕ	[1]羞[3]朽[5]秀绣宿锈{铁锈}袖嗅{用鼻子闻}		
k	[1]鸠阄{拈阄}纠{纠缠}究咎纠[3]九久韭[5]救臼舅旧柩		
kʰ	[1]丘[2]囚泅{泅水}求球仇{姓}		
x	[1]休		
Ǿ	[1]忧优悠{悠悠}幽[2]柔揉尤邮由油游犹[3]有友酉莠[5]又右佑诱柚鼬{黄鼬}釉幼		

#in			
p	[1]彬宾槟{槟榔}[5]殡鬓		
pʰ	[2]贫频{频繁}[3]品		
m	[2]民[3]闽{闽越}悯敏抿皿		
ɬ	[1]心辛新薪[5]信讯		
l	[2]林淋{淋湿}临邻鳞磷[5]赁{租赁}吝{吝啬}		
ts	[1]针斟津珍榛臻真贞侦[3]枕{动词；名词}诊疹[5]尽{尽前}进晋尽镇阵振震俊		
tsʰ	[1]侵亲[2]沉岑沉秦陈尘娠臣旬[3]寝[5]亲{亲家}趁衬		
s	[1]森参{人身}深身申伸[2]寻神辰晨循巡唇[3]审婶[5]渗{水渗透}葚{桑葚}甚肾慎衅迅殉		
k	[1]今金襟巾斤筋君军[3]锦紧仅谨[5]禁{禁不住；禁止}近		
kʰ	[1]钦禽[2]勤芹[5]揿{按}擒		
x	[1]欣		
Ǿ	[1]音阴荫{屋子很荫}因姻殷[2]壬任{姓}吟淫人仁银寅[3]饮{饮酒；米汤；饮马}忍引隐允尹永[5]任{责任}纴{缝纫}刃认韧印		
			
#un			
k	[3]滚[5]棍		
kʰ	[1]昆昆坤[3]捆[5]困		
x	[1]昏婚荤[2]魂馄{混沌}浑{浑浊}[5]混{相混}		
			
#yn			
ts	[3]准準		
tsʰ	[1]椿{椿树}春[3]蠢		
s	[2]荀纯醇{酒味醇}[5]逊顺舜训		
k	[1]均钧[5]肫{肫肝}菌郡		
kʰ	[2]群裙		
x	[1]熏勋燻		
Ǿ	[1]晕[2]匀云雲[5]润闰熨韵运孕		

#an			
p	[1]班斑颁般[3]扳板版扳[5]扮瓣办		
pʰ	[1]攀[5]盼		
m	[1]□{用力向下扯}[2]蛮[5]慢馒{馒头}漫幔蔓{瓜蔓子}		
f	[1]帆藩翻番{几番}藩[2]凡烦矾繁[3]反[5]泛範范犯贩饭		
t	[1]耽担{担任}丹单{单独}[3]胆掸{鸡毛掸子}[5]担{挑担}淡旦诞但弹{子弹}蛋		
tʰ	[1]贪坍{坍下来}滩摊[2]探{试探}潭谭塔榻塌谈痰檀坛弹{弹琴}[3]毯坦[5]炭叹		
n	[2]南男难{难易}[5]难{苦难}		
ɬ	[1]三		
l	[2]蓝篮兰拦栏[3]览揽榄{橄榄}缆懒[5]滥烂		
ts	[1]簪[2]杂[3]斩盏[5]暂站{立；车站}赚赞绽{破绽}栈战		
tsʰ	[1]参搀餐[2]蚕惭谗馋残缠蝉禅{禅宗；禅让}[3]惨铲产[5]杉灿颤		
s	[1]衫珊山删[3]散{鞋带散了}伞[5]散{分散}		
k	[1]堪甘柑泔{泔水}尴{尴尬}肝干{干湿；天干}乾[3]感敢橄{橄榄}竿{竹竿}杆秆{稻秆}擀{擀面}赶[5]干{干活}幹		
kʰ	[1]龛勘{勘误；勘探}刊[3]坎砍[5]看{看守；看见}		
ŋ	[1]庵安鞍[2]岩[5]揞{揞住}暗岸按案晏{晚也}		
x	[1]憨酣鼾{睡时鼾声}[2]函寒韩还{还有}[3]喊罕[5]撼憾汉旱汗焊{焊铁壶}翰		

#uan			
k	[1]关[5]惯		
x	[2]桓还{还原}环		
Ǿ	[1]豌弯湾[2]玩{古玩；游玩}完丸{肉丸}顽{顽皮}[3]皖{安徽}晚挽[5]万		
			
#ɔn			
p	[1]搬[5]半绊伴拌		
pʰ	[1]潘[2]盘[5]判叛		
m	[2]瞒[3]满		
t	[1]端[3]短[5]断{决断；断绝}锻{锻炼}断段缎椴		
tʰ	[2]团团		
n	[3]暖		
ɬ	[1]酸[5]算蒜		
l	[1]钻{动词}[2]鸾卵[3]乱		
k	[1]官棺观{参观}冠{衣冠}鳏{鳏寡}[3]管馆[5]贯灌罐观{寺观}冠{冠军}		
kʰ	[1]宽[3]款		
x	[1]欢[3]缓[5]唤焕换幻患宦		

#uɔn			
Ǿ	[3]碗腕宛		

#ən			
p	[1]奔[3]本[5]笨		
pʰ	[1]喷{喷水}[2]盆[5]喷{喷香}		
m	[2]门[5]闷		
f	[1]分{分开}芬纷[2]焚坟[3]粉[5]粪奋愤忿份{一份两份}		
t	[1]敦{敦厚}墩扽[5]顿沌盾{矛盾}钝遁盾{矛盾}		
tʰ	[1]吞饨{馄饨}[2]屯豚臀囤[5]□{移动}		
n	[1]□{肉~，让人不舒服，起鸡皮疙瘩}[5]嫩[3]□{捏}		
ɬ	[2]□{发抖，害怕}[3]笋榫{榫头}		
l	[1]□{在嘴里把水果的果肉和核剥离，如：~龙眼}[2]论仑伦沦轮[5]论{议论}		
ts	[1]尊遵		
tsʰ	[1]参{参差}村[2]存橙橙{橙子}[5]寸称{相称}		
s	[1]孙[3]损		
k	[1]跟根[5]□{~子，这样}		
kʰ	[3]恳垦龈{老鼠龈}		
ŋ	[1]恩[3]□{坐下或躺下感觉有东西硌着}		
x	[2]痕[3]很[5]恨		

#uən			
Ǿ	[1]温瘟[2]文纹蚊闻[3]稳吻刎[5]问		

#en			
p	[1]鞭编边蝙[2]便{便宜}[3]贬扁匾[5]变辨辩汴便{方便}遍{一遍；遍地}辫		
pʰ	[1]篇偏[5]骗{欺骗}片		
m	[2]绵棉眠[3]免勉娩{分娩}缅[5]面麵		
t	[1]掂{掂掇}颠[3]点典[5]店电殿奠佃垫{垫钱}		
tʰ	[1]添天[2]甜田填[3]舔㮇腆		
n	[1]黏{黏米}粘{粘贴}拈{拈起来}蔫{食物不新鲜；花萎}研[2]聂{姓}鲇{鲇鱼}年[3]碾辇捻{以指捻碎}撵[5]验念		
ɬ	[1]先		
l	[2]廉镰帘连联怜莲[3]敛敛脸[5]殓练炼楝{楝树}恋		
ts	[1]尖沾瞻簪煎毡[3]剪展[5]占{占卜}占灒{溅}箭溅{溅一身水}践贱饯{践行}荐		
tsʰ	[1]歼{歼灭}签迁笺千[2]潜钱前[3]浅		
s	[1]疝{疝气}仙鲜{新鲜}搧[3]陕{陕西}闪鲜{鲜少}[5]线膻扇善膳单{姓}		
k	[1]监{监察；国子监}兼艰间{中间；间断}奸肩坚[3]减鹻碱检俭简柬拣锏{车锏}茧[5]鉴舰渐剑谏涧犍{犍为县；犍子}件建键健腱见		
kʰ	[1]谦牵[2]蟹蚶钳搛{搛菜}干{乾坤}虔掮[3]遣[5]嵌欠歉		
x	[1]掀[2]咸鹹衔嫌闲涎贤弦[3]险显[5]陷馅限苋{苋菜}羡宪献现县		

#ien			
Ǿ	[1]淹阉腌焉{心不在焉}烟渊[2]炎盐阎檐盐{腌}严颜然燃延筵言沿铅[3]染冉掩魇俨{俨然}眼演[5]厌艳焰雁谚堰砚燕{燕京，姓；燕子}咽宴		

#yen			
ɬ	[1]宣[3]选		
ts	[1]专砖[3]转{转送；转螺丝}[5]纂{编纂}钻{木工用具}撰篆传{传记}		
tsʰ	[1]川穿[2]全泉传{传达}椽船[3]喘[5]窜篡串		
s	[1]轩闩拴喧楦{鞋楦}[2]旋鏇{鏇牀}玄悬眩[3]癣[5]涮{涮洗}		
k	[1]绢捐[3]捲{捲起}卷[5]眷圈{猪圈}倦		
kʰ	[1]圈{圆圈}[2]拳权颧{颧骨}[3]犬[5]劝券		
Ǿ	[1]冤[2]圆员缘元原源袁辕园援{援救}[3]软阮远[5]院愿怨		

#əm			
m	[1]□{~~，童语，指饭食}		
t	[3]蘸{蘸酱油}		
n	[1]□{差}[2]漤□{食物软烂}[3]□{思考}		
l	[1]□{塌}[2]□{以重叠形式形容动作一直持续或做动作的人多}		
ts	[5]浸		
x	[2]含		
ʔ	[1]□{把食物捂起来，或把东西埋起来}		

#aŋ			
p	[1]帮邦[3]榜绑[5]谤棒蚌蚌		
pʰ	[2]滂{滂沱}旁螃{螃蟹}庞[5]傍胖		
m	[2]忙茫亡芒{麦芒}盲虻{牛虻}[3]莽蟒		
f	[1]方芳[2]肪{脂肪}妨{妨害}房防[3]仿{仿效；相似；仿佛}纺彷{彷彿}访[5]放		
t	[1]当{当时}[3]党挡[5]当{当作}荡{放荡}宕{延宕}		
tʰ	[1]汤[2]堂棠螳{螳螂}唐糖塘[3]倘{倘使}躺[5]烫趟{一趟}		
n	[2]囊瓤{瓜瓤}		
l	[2]郎廊狼蜋[3]朗[5]浪		
ts	[1]赃脏{不干净}髒张章樟[3]长{生长}涨掌[5]葬藏{西藏}脏{内脏}臟帐账胀丈仗杖障{保障}瘴{瘴气}		
tsʰ	[1]仓苍昌菖{菖蒲}[2]藏{隐藏}长{长短}肠场常尝偿[3]厂[5]畅唱倡{提倡}		
s	[1]桑丧{婚丧}商伤[2]裳{衣裳}[3]嗓搡赏晌{晌午}[5]丧{丧失}上{上山}尚上{上面}		
k	[1]冈刚纲钢缸钢{刀钝了}[3]岗港{港口}[5]杠逛豇{豇豆}		
kʰ	[1]康糠慷{慷慨}[2]扛[5]抗炕		
ŋ	[2]昂[9]□{ŋa2²¹~，形容脾气犟}		
x	[2]行{行列}航杭[5]项巷		

#iaŋ			
n	[2]娘[5]酿		
ɬ	[1]相{互相}箱厢湘襄镶霜[3]想[5]相{相貌}象		
l	[2]良凉量{量长短}粮梁粱[3]两{两个；几两几钱}[5]亮谅辆量{数量}		
