	說明：-白讀，=文讀
tʰ	[1]滔𭚧拖叨[2]桃=橢沓-[3]討-妥[5]䖳{水母}□{豬“拱”物}[6]塔-
n	[3]腦=瑙惱=[5]□{閃現}[6]□{物件}
l	[2]羅{姓}蘿邏=牢勞痔澇拉{～屎}□{驅逐}[3]老=裸[5]□{略曬}[6]□{夠}
ts	[1]渣-遭[2]曹槽=閘-鍘-[3]左佐早皂{～尖：中藥}[5]炸-{速煮即撈起：～面}[6]紮{捆、纏：～蚊帳}□{折舊買賣}
tsʰ	[1]叉-杈釵-操-{～勞}蹉[2]柴[3]草=吵-炒-[5]造岔糙噪挫[6]插□{攙扶}操{曹～；～行}
ɬ	[1]紗-搔騷唆梭-臊=[2]煠{放水中煮：～蛋}[3]嫂=瑣鎖=藻[5]燥躁掃=□{鷹“抓”雞}
k	[1]哥=歌=膠-鉸{～剪}家{親～}傢{～俬}戈={干～}羔=糕=高=膏=皋尻{～川}[2]牙芽伢{牛～：經紀人}衙俄峨娥莪{～朮：中藥}訛[3]果=裹=假-{～裝}稿=絞[5]告=過=假-{放～}價-架-駕-嫁-教-漖{飯稀}[6]臥餓下{量詞}傲咬-甲-䘥{～國：背心}胛{背部}蓋{～被子}□{搭配}
kʰ	[1]科苛軻=戈{量詞}顆骹{腳}[3]考考拷烤[5]個={～人}叩-靠課稿□{“剪”頭髮}
h	[1]呵{咳}哈{～a52：哈欠}[2]河=何=荷禾和蝦{～背：鴕背}霞{紅～天}毫蠔=壕=豪□{“捆”稻草}[3]好=火=夥[5]好{愛～}耗孝{帶～}[6]賀=號=禍下-{～手}浩皓□{運載}
ŋ	[3]我=
∅	[1]啊={不～}萵{～苣}窩=蝸渦=[2]霞{～苑，地名}[3]啞{～口：啞巴}拗{～斷}奧澳懊[6]下-{～面}押-鴨-廈-{～門}
#o	
p	[1]褒{奉承}[2]無-婆薄{不厚}巫={安～：給嬰兒壓驚}[3]保-堡-母-拇-寶-[5]報-□{肯定詞，“要”}[6]帽-磨-{～米}
pʰ	[6]抱粕-{渣，蔗～}
t	[1]刀-都{～翁：地名}[2]躲-□{～稱盤}[3]倒{～下}[5]倒{～水}[6]卓-{姓}桌
tʰ	[2]桃-萄[3]討-[5]套
n	[3]腦{樟～}惱{煩～}
l	[2]囉{～嗦}鑼醪{濁也}落{～雨}
ts	[1]之芝資姿咨茲滋孳孜輜淄[2]慈磁瓷[3]子=仔=棗梓紫姊[5]做恣[6]字=自座□{租：推～}□{堵：～水}
tsʰ	[1]臊{腥～}差{參～}搓[2]雌疵[3]此□{暗算}[5]次刺=糙□{臉色不溫和}
ɬ	[1]私=司={～令}師=思斯廝={互相～打}嗦[2]詞祠槽-昨辭=鐲-[3]死=嫂-鎖-史使=駛=徙={遷～}[5]四=賜思={意～}泗駟=[6]似侍伺飼巳士仕俟事嗣索-
k	[1]哥-{人名}羔-糕-高-{大～帽}篙-{竹～}膏-睾{豬～}[2]熬{～油}□{裝穀的“閣樓”}[3]稿{莖杆}[5]告-過□{量詞，次}[6]餓-郭
kʰ	[1]柯{樹名}科{內～}□{估算}[2]□{詞綴，凍～～}[3]洘{液體“稠”}[5]□{“缺乏”物，水等}
h	[3]好-[3]貨-[6]號-賀-{～禮}
∅	[1]窩-鍋-{油～}□{烙}□{阿～：母親}[2]河-蠔-學-[6]惡{不易：～做}
#e	
p	[1]□{船“漿”}□{量詞，片}[2]排-牌-迷謎[3]買-陛[5]閉敝蔽[6]賣-幣弊第第鱉{～甲、中藥}□{躲藏}癟□{不會}
pʰ	[1]批𠜱{削}[3]□{喙～：臉頰}[5]稗□{電鋸剖木}
m	[1]啡[6]□{扁}
t	[1]爹低[2]提堤題蹄疊[3]抵砥底□{玉～：璽}[5]帝滯締[6]弟第遞隸{～書}逮{～捕}
tʰ	[2]梯=[2]摕{拿}[3]體[5]替涕[6]帖貼-
n	[3]奶-{娘～：母親}
l	[2]犁黎籬{園～笆}麗{高～}[3]裂-[3]禮詈{咒罵}[6]厲礪勵蠣例荔=麗{美～}儷鱺隸{奴～}□{癟，不實}
ts	[1]劑擠{排～}□{一種粿}[2]齊薺摺{～戲}[5]濟際制祭漈瘵纃{麻線}[6]節{過～}
tsʰ	[1]妻淒棲差={火～}尺-{民間樂譜}[3]扯-{～平：相等}[5]粞{米麥磨成的粉}[6]鑔{樂器，小鈸}
ɬ	[1]西犀棲{拍～：松枝}茜{～草}[2]□{切}[3]洗[5]世=細勢婿=[6]□{多}誓=逝□{塞}
k	[1]家{頭～：頭子}圭奎街雞羈{栓}閨階-[2]個{量詞}傀{姓}霓□{醃制的東西，蚮～}[3]解{對付}詣[5]疥芥-計桂繼[6]藝䥛{柴刀}夾-挾潔{澈～：乾淨}
kʰ	[1]溪稽[3]啟[5]契喫{啃}毽{毽子}[6]□{擠}篋{抽屜}□{鼎～：銀巴}□{閉眼擾}
h	[2]攜□{裂開}[5]廢[6]系係繫血-彗慧惠蟹
∅	[1]挨{推}[2]鞋蛙耶[3]矮[5]縊{自～}翳{目～}瞖隘[6]衛會{訓“解”}解{會}
#ø	
t	[3]短[5]戴{姓}袋苎埭吸啄-
tʰ	[1]胎-推□{謎語}[5]退-
l	[2]螺腡□{平推}[3]□{掏}[5]鑢□{倒坍}
ts	[1]災{瘟，雞～}□{指人不精明}[3]阻詛[5]晬{小孩周歲}絕{～戶}[6]助□{“擰”人}罪-{～過}
tsʰ	[1]初[3]楚礎髓{骨～}[5]脆-擦
ɬ	[1]疏-{雜～}蔬梳□{以沙土吸水}[3]所黍[5]賽疏{師出讀～}[6]雪坐-
k	[3]改
kʰ	[2]□{不靈}
h	[2]□{煮物暫停火}[6]歇-
∅	[2]噦{嘔吐}[3]□{掏}
#ɛ	
ts	[3]這
k	[6]給
h	[3]□{那}
∅	[3]□{我“的”，助詞”的”}[6]會{不單說，“使哩”，即“可以”}
#i	
p	[1]卑碑婢蜱{牛～：牛虻}悲啡{嗎～}□{塵垢}[2]眉楣嵋唯惟維帷脾{肝～}糜-微薇彌枇琵篾[3]米比{～較}彼靡[5]費痹痺□{蝨～}秘泌庇譬沸=[6]未味備婢蓖算箅{煎～：炊具}沕{“潛”水}比={～及}□{“挽”袖子}鼻-{嗅}
pʰ	[1]胚-披=砒□{攤平}[2]皮=疲[3]鄙否=痞丕疕{痂}□{極小}[5]鼻{～小}[6]被□{～油}
m	[1]□{阿～：嬰兒昵稱}[5]□{小孩昵稱}
t	[1]知蜘嘀[2]池馳弛遲持碟-挃{要}[5]戴-{～帽}蒂致置智[6]弟-治痔稚
tʰ	[1]黐{粘，～粘：喻囉嗦}[2]啼{吼～～：哭啼}[3]恥[5]剃[6]雉{雞，野雉}鐵-□{來得及}
n	[1]怩{不大方}[2]尼呢{～布}泥林-{姓}[3]你[6]𱳅
l	[1]□{風～：微風}[2]來-離{距～}籬{笊～}璃梨厘狸[3]裏理鯉李[5]離{～婚}利莉痢吏厲內-膩
ts	[1]支{又}之芝脂[2]兒而擠{用力向下壓}[3]紫=娣-旨指=子=止址趾爾耳=只=枳{實}籽紙-[5]志誌至=[6]字-二貳接-
tsʰ	[1]癡鰓嗤[2]蠘{梭子蟹}□{潮濕}[3]侈齒嗤[5]刺{名詞}飼-熾翅[6]市□{糞池～：鳥名}□{“冷水”淋鍋等}
ɬ	[1]屍絲施{姓}詩司-{火～}撕{扯}俬{傢～}[2]時糍匙辭-蝕{～本}[3]死-始矢豕=[5]四-試世-{出～}肆-駟-薛{姓}[6]是寺氏舐示視恃嗜巳-侍=市-{買}
k	[1]支枝肢饑飢肌譏機規嘰基箕梔姬乩{迷信活動}[2]其淇棋祺琪旗麒奇綺琦崎歧祈沂圻宜誼疑葵逵儀耆畦{量詞，一～秧}[3]己几{茶～}紀杞蟻議擬指{動詞}[5]記寄=既季悸冀痣暨[6]義伎技妓忌跽毅砌-
kʰ	[1]欹{不正}欺窺[2]蜞{胡～：螞蟥}芪{黃～}騎=□{粘，～布}[3]起豈齒-企=[5]氣{受～}汽棄器[6]柿缺-騎=
h	[1]飛=非菲霏啡{咖～}匪希稀晞羲曦妃犧禧=熙施{～捨}[2]嘻{笑～}肥={合～}[3]喜[5]戲肺費吠={蜀犬～日}[6]耳惠-{～安}
∅	[1]衣依銥伊{他}醫[2]夷姨胰蛇=怡貽頤肄遺飴{～粿：年糕}[3]以已椅倚[5]億憶意臆懿[6]易{容易}異矣
#u	
p	[1]□{雨～：毛毛雨}[2]無=蕪巫=誣瓠{南瓜}炰{焙，～番薯}[3]武鵡舞侮[5]富-{發財}[6]務霧孵婦-{新～：媳婦}瞀{模糊不清}
pʰ	[2]浮-□{油炸}[3]殕{黴}□{模糊不清，引為輕視}[6]□{噴灑：～水}□{量詞，一～：叢}□{氣～～：氣呼呼}
t	[1]蛛-拄{遇著}[3]□{抵消}[6]□{浸泡}□{困～～：睡很死}
tʰ	[1]□{下滑}[2]□{傻，不靈}[6]□{用棍子“插”}
n	[2]奴{～家：戲}[6]□{旦子的步法}
l	[1]□{滑倒}
ts	[1]□{堆及”冒失”}[2]□{吻}[6]嗍{吮}
ɬ	[2]□{勒}[6]欶{吸}
k	[1]龜-[2]牛-[3]久-韭[5]句灸-{鍼～}[6]舊-臼-舅-
kʰ	[1]丘-邱-坵[2]跍{蹲}□{溫火久煮}
h	[1]□{風聲}夫=伕膚孚敷灰{禾～：草木灰}□{哨子}[2]扶=符芙俘[3]甫斧=釜府俯腑腐撫父{漁～}[5]付咐富=副訃赴賦[6]附婦={～女}負父={～親}阜傅輔
∅	[1]□{膽小}[2]于{姓}竽盂[5]污[6]有-
#y	
t	[1]豬嘟{車鳴聲}誅株[2]除躇{道～：麻煩}[3]女={織～}汝{你}建[5]著[6]箸{筷子}
tʰ	[1]誅□{斜}[2]鋤儲啼-{雞～}[3]苎貯=
l	[2]驢□{雜亂}[3]呂{姓}侶女-{婦～}旅縷屢{～教不改}[6]慮濾
ts	[1]書-珠=諸蛛=[2]如茹儒孺瑜愉=俞=渝逾[3]煮主=乳愈癒汝=[5]注=註=駐蛀=鑄[6]住=柱=拄裕聚喻諭
tsʰ	[1]芻趨雛蛆舒{～鋪：鋪床}[2]廚[3]處{～理}取鼠[5]處{～所}趣娶{繼～：娶已婚女人}[6]□{從口袋破口“漏”出}
ɬ	[1]書=舒=須需輸[2]徐蜍薯[3]署曙緒褚墅[5]恕絮庶□{“鋪”煙葉}[6]嶼樹豎署序敘□{理睬}
k	[1]居裾車{～炮}[2]漁=渠愚娛虞瞿衢[3]舉語矩禦御□{飽漲}[5]鋸據踞苣[6]具俱懼寓遇巨拒距炬語{動詞}
kʰ	[1]區驅駒拘嶇軀樞[5]去祛
h	[1]虛噓墟[2]魚漁-[3]許
∅	[1]淤迂盂□{尿，小兒用語}□{寬裕}[2]餘於輿[3]雨羽宇禹予與{連詞}[5]煦[6]預豫譽與{參～}輿
#ia	
p	[6]壁
pʰ	[2]□{拖～：偏屋}[6]避-僻-闢-辟-
t	[1]爹[2]糴[3]□{哪裏}
tʰ	[6]拆
l	[2]□{大簸箕：曬具}掠-{抓}□{～布：麻布}[6]□{“脫”皮}□{手腳利索}□{分～：分清楚}
ts	[1]嗟遮[3]者姐{小～}惹□{這兒}[5]蔗炙{～草：制甘草}笊{～籬}[6]隻{量詞}借=藉跡{腳～}
tsʰ	[1]車□{滾動}□{湯～了：湯潑了}赤{紅赤赤}刺{動詞}
ɬ	[1]些奢賒[2]斜邪佘食-[3]捨{割～}寫[5]舍{宿～}瀉赦卸泄[6]社射謝誓{咒～：發～}削-錫-麝{～香}
k	[2]額{夠：有～}[6]□{次等}
h	[2]狹[6]□{不親近}
∅	[2]爺曳{招手，又，～扇：搧扇}□{裝嬌}[3]野也冶易{姓}[6]益夜豔
#ua	
p	[2]磨-{～刀}末-{藥～}博{～錢：賭博}跋{摔倒}[5]簸-[6]拔抹{～藥}
pʰ	[2]□{量詞，一～水：一桶水}[5]破派{“開”田水}[6]潑-
m	[2]麻-
t	[5]帶-□{（坐得）住}[6]大-
tʰ	[1]拖-[6]□{賴著不治病}□{搓洗}
l	[2]籮辣-捋□{～頭：梳頭}[6]賴-□{搓（繩子）}
ts	[1]抓查{調查瞭解}[2]□{相差}[5]債-
tsʰ	[5]蔡{姓}[6]擦{“搓”洗}銼
ɬ	[1]沙-鯊-砂-[2]□{虼～：蟑螂}[3]灑-耍[5]□{動作快}[6]薩{菩～}煞{停止}
k	[1]瓜柯-{姓}呱過-{菜不嫩}□{順便到某處}[2]□{樹名}[3]我-寡[5]芥{～菜}掛=卦褂蓋-{名詞}[6]外-割-
kʰ	[1]誇夸垮[5]□{倚靠}跨[6]闊{寬}
h	[1]花華{龍～：地名}□{～話：謊話}[2]華{中～}鏵樺□{過稱}[5]化□{淘氣}[6]喝{喊}嘩{水聲}
∅	[1]窪娃蛙=剮[2]何-{姓}河-{～溪：銀河}活-[3]瓦=倚{梯“靠”牆}[5]□{水“化”石灰}[6]畫話
#ya	
t	[6]蚮{替，海蠣}蠣{海蠣}著{活著，健在}
tʰ	[6]獺-
n	[3]□{“揉”面}[6]□{臀部“移動”}
ts	[3]紙
tsʰ	[2]斜弱-[5]□{帶領}或[6]□{薯類“刮”成絲條}
ɬ	[2]蛇-[3]□{慢爬}[5]續{接續}
k	[2]鵝-蜈{～蚣}屐-{柴～：木屐}攑{舉}桸{水勺}[5]寄-
kʰ	[1]奇-{單數}[2]騎-[5]□{豎立}[6]徛{站立}
h	[1]靴□{小魚網}□{勺子}[3]□{那裏}[5]艾[6]瓦-蟻-
∅	[3]□{嘔出}[6]□{撒}
#ai	
p	[2]眉-楣-埋=排□{～兄：二哥}□{筏}[3]擺掰跛□{起來：爬起合音}[5]拜[6]敗
pʰ	[3]痞{不好}否{不好}[5]派
m	[1]□{小，嬰孩昵稱，俗字}[3]買=[6]賣=邁□{嘗嘗}
t	[1]呆[2]臺{～灣}埋{埋葬}□{小蟲}[3]□{行走不穩}[5]帶=戴=[6]大=代貸岱黛待怠殆豸-事-{～致：事情}□{最：“第一”的合音}
tʰ	[1]台{天～}苔胎=篩[2]治{殺，宰}抬[5]太泰態汰
n	[3]乃奶={夫人：～～}□{應答：幹嘛}[6]奈耐鼐
l	[2]來=萊徠梨{王～：菠蘿}[6]利-{不鈍}賴癩籟睞
ts	[1]災{～害}知-齋栽哉[1]道[2]才{人～}材財豺臍裁[3]宰滓載{三年五～}指{名詞，手～}[5]再載{～重}債={～務}[6]在寨
tsʰ	[1]差釵猜[2]才{～～：剛剛}[3]采彩睬採[5]菜踩
ɬ	[1]西-徙{移}師-{～傅}獅[3]使-駛-屎-[5]婿-[6]侍祀{“沒”善薩}
k	[1]該階=皆[2]㾏{壞，凶，醜}[3]改=解=[5]界蓋=介芥=價□{自個兒}屆丐鈣戒誡械
kʰ	[1]開=揩[3]凱鎧楷[5]溉概慨愾
h	[1]□{姐姐}[2]孩諧[3]海嗨[6]亥駭骸{形～}害懈解{姓}
ŋ	[6]礙
∅	[1]哀埃挨=唉[2]哎[3]唉{嘆氣聲}靄藹[5]愛曖□{～去：再去}
#ui	
p	[2]肥-[5]沸-[6]吠-
pʰ	[5]屁
m	[1]乜{甚～：什麼}[2]糜{飲～：稀粥}□{～nɔ31：東西}[5]妹
t	[1]堆追[2]捶{輕搗}[5]對=兌碓[6]隊墜
tʰ	[1]推梯-[2]捶{～煉}錘{鐵～}槌{鼓～}[3]腿[5]啐[6]縋
l	[1]□{錢的別稱}[2]雷擂{研磨：～藥}鐳[3]壘蕊儡累{果實～～}屢{連～～}□{小竹藍}餒[6]累{連～}類淚擂{～臺}
ts	[2]隹{鳥名}椎錐□{隆；不扁：鼻～}[3]水-[5]醉贅{疣}[6]瘁萃悴
tsʰ	[1]催[3]髓{精～}啐{戲}[5]碎脆=喙{嘴}翠粹
ɬ	[1]雖蓑{棕～}荽{芫～}綏縗{纓子}[2]垂隋隨誰[3]水=[5]睡穗祟漱{～口}[6]遂隧燧邃瑞
k	[1]歸皈機-{布～}規-{定～}□{嗦子}龜=[2]危巍[3]幾{～個}蟣{蝨～}軌鬼癸詭[5]貴瑰季{量～，～豬仔}[6]櫃偽魏跪饋□{有孕：彌～}
kʰ	[1]開-虧[3]傀[5]愧潰氣-{～味}
h	[1]揮暉輝徽麾[2]瓷{訓，瓷器}[3]毀誹[5]諱緯-{經～}□{往下拽}
∅	[1]威□{磨損}[2]為{作～}圍違[3]委韋偉葦萎猥[5]畏尉蔚慰[6]胃謂渭為{因～}位□{月～：月蝕}
#au	
p	[1]包苞[2]矛茅{姓}胞疱袍[3]卯□{承包}[5]鮑豹[6]貌
pʰ	[1]泡{腫脹：面～～}拋[2]刨[3]跑[5]炮泡{浸～}[6]抱{怀～}
m	[1]□{總～：總包攬}[2]□{不果斷}[3]□{估計}[6]□{無齒嘴扁狀}
t	[1]兜蔸{量詞，一～菜}[2]投骰[3]斗{谷～}[5]晝{上～：上午}罩□{豆腐}[6]豆脰{脖子}
tʰ	[1]偷[2]頭[3]敨{解開}[5]透毒-{～老鼠}
n	[1]□{皺：面～～}[6]鬧={～事}□{吃}
l	[1]嘮{呼～～：囉嗦}撈[2]留-樓-劉流-□{肉～～：不結實}[5]落{葉～}[6]老-漏-鬧-{～熱}
ts	[1]糟[2]找{～對象}□{～～：馬～虎～}[3]走-{跑}蚤找{～錢}[5]奏灶
tsʰ	[1]抄操={早～}鈔□{弄混雜}□{褲～：短褲}[3]草-吵□{力～：力氣}[5]湊
ɬ	[1]□{交媾}[3]□{美麗}[5]掃{～地}哨嗽
k	[1]交蛟勾-溝-鉤郊艽{秦～：中藥}膠={阿～：中藥}[2]□{能幹}爻{六～子：色子}猴-[3]九-狗-玖-狡絞=咬={程～金}搞垢-[5]夠教=較校{～對}遘□{提斗}[6]厚-窖{～肥}
kʰ	[1]摳□{雕}鬮-[2]□{～相：照相}[3]口={戶～}巧-[5]扣-銬哭{～靈：罵人話}
h	[1]酵哮[2]肴{菜～}淆候-{稍等}[3]吼-{哭}[5]孝=鱟[6]校{學～}效後
∅	[1]區{姓}歐毆甌{小碗}[2]喉-{曲不高～}[3]拗折嘔□{生～：半生熟}[5]拗{淘氣；壞：～人}□{物腐，不結實：柴～}
#ɔu	
p	[1]夫{大～：男人}埔{草～：草坪}□{木腐，引為“差勁”：功夫～}[2]漠-{沙～}模膜蟆蒲{昌～，中藥}□{罩～霧}□{量詞，朵}[3]補畝斧-脯某牡捕□{妻}[5]布傅{姓}播{～蔸秧苗}怖佈晡{昨～：昨天}[6]步戊部暮慕募埠哺𧌓
pʰ	[1]鋪{床～}[2]菩莆{～田}扶-□{蔗～，舊蔗坊}[3]普埔={黃～}浦圃譜溥[5]鋪{十里}[6]簿
m	[1]摸□{暗～～：天很黑}[5]墓
t	[1]都={首～}[2]途塗{糊～}途圖徒屠荼[3]肚堵賭睹[5]住-注{一～錢}妒[6]度渡鍍杜墿怒=
tʰ	[2]塗{泥土}[3]土凸[5]兔吐
n	[2]奴{～才}[3]努[5]怒-
l	[2]盧廬爐鸕顱蘆□{～草：拔草}[3]魯櫓鹵虜擄[5]露[6]鹵{鹽～：鹵水}路鷺賂□{晃動，搖動}
ts	[1]朱{姓}珠硃{～砂}租[2]俞-{姓}□{雞毛～：雞皮疙瘩}[3]主-祖組[5]註{～音}鑄[6]祚{～肉}
tsʰ	[1]粗[5]厝醋措-{～施}
ɬ	[1]蘇翳酥穌輸-{～贏}[3]數[5]訴素塑數{～學}[6]□{墊}
k	[1]姑菇蛄枯鴣辜孤[2]吳吾梧蜈糊-[3]古估牯沽五=伍=午賈{商～}鼓股䀇{茶～：茶壺}[5]固錮故顧僱[6]誤悟晤
kʰ	[1]呼{～雞}箍□{地生～：花生餅}[3]苦[5]庫褲
h	[1]呼[2]胡湖=糊=瑚蝴葫壺乎狐弧=何{～嶺：山名}□{撈}[3]虎唬滸[5]戽[6]戶護={保～}滬互雨怙穫{收～}
ŋ	[6]五伍
∅	[1]烏嗚塢鎢[2]弧-湖{～洋：地名}[3]摀{掘}[5]惡{可～}污{舊指女人身上穢氣}[6]芋護-{偏袒}
#iu	
p	[1]彪[6]謬□{綻}
pʰ	[2]渺{小，引為蔑視：看～～：看不起}
t	[1]丟張{量詞}□{徛～～：站立狀}[2]籌疇躊櫥稠惆綢=[3]□{“撐”牆}[5]胄宙晝=[6]紂稻{水稻}□{～菜：“點種”菜}
tʰ	[1]抽[2]綢[3]醜紐={～約}[6]柱-
n	[2]箬{葉子}[3]扭
l	[1]溜[2]瀏留榴瘤流琉硫□{～屎：踩上屎}[3]柳鈕[5]□{用力蹬}[6]熘餾遛{到處走}
ts	[1]舟州洲周珠{目～：眼睛}[2]柔揉[3]酒守-[5]咒[6]就鷲
tsʰ	[1]秋鞦鬚{鬍子}羞{～臉}[2]□{動作慢}[3]手-[5]樹[6]□{量詞，一“泡”屎，尿}
ɬ	[1]收修羞[2]泅售酬讎[3]手=首守狩帚[5]秀繡鏽獸宿{星～}岫[6]受授壽袖
k	[1]勼{縮}鰍{湖～：泥鰍}[2]求球裘牛=仇[3]久=玖=九=糾[6]救究咎灸{針～}[6]臼=舅=舊=柩
kʰ	[1]丘坵邱龜{～板：中藥}鬮=[2]□{瘋～：癱瘓}[3]□{拉}[5]䊆{韌}
h	[1]休悠[3]朽[6]□{不脆不爛}
∅	[1]優憂幽[2]由油郵遊尤魷猶酋[3]友酉有=莠誘[5]幼[6]又右祐佑柚釉鈾
#ieu	
p	[1]標鏢飈[2]苗描瞄錨謀貿{外～}牟眸繆{綢～}[3]表婕裱母=渺=藐[6]廟妙茂
pʰ	[1]飄漂縹胚{～胎好：人才好}[2]瓢嫖薸{田～}[3]秒剖殍□{一種針法}[5]票漂{～亮}鰾
m	[1]喵{貓叫聲}
t	[1]刁貂凋雕彫碉朝{～氣}[2]著{該，要}朝潮嘲調{～和}投=[3]貯{盛，裝}斗={北～}陡抖={～擻}[5]吊鬥{～爭}釣掉[6]兆召抖-{發～}趙調{～動}肇
tʰ	[1]挑{～擔}超偷=餿[2]頭=迢□{輕鬆}[3]挑{～戰}調{換}[6]跳眺糶
n	[1]貓[3]鳥裊
l	[1]□{逃跑}[2]遼僚寮燎繚嘹獠療樓=聊□{～油：豬油}□{～人：“招”婿}□{設法弄到}[3]潦了[5]尥{踢}[6]尿料療{姓}陋漏=料□{攪拌}
ts	[1]焦蕉礁椒招鄒昭釗□{梨～：犁罐頭}[2]饒擾剿樵憔皺{面皮～}[3]爪鳥少-走=沼[5]照奏=詔皺□{～碗：整碗}[6]借-驟
tsʰ	[1]抄{～家}□{動物發情：雞公～}[2]愁蓆-瞧撨{移動}[5]笑-臭峭俏[6]尺-蟄
ɬ	[1]肖{姓}消宵霄硝銷䘯艄燒蕭簫羞{～恥}搜{～東西}[2]韶石-褿{均稱}□{瞟}[3]小=少={多～}叟痟{瘋}[5]少{～少}笑=肖{不～}數={～目}[6]紹邵惜{疼愛}
k	[1]勾=溝=姣膠=嬌□{混雜}[2]喬橋僑蕎堯茄驍□{半挨“坐”}翹{銀～：中藥}[3]狗=枸=苟偶藕皎餃矯繳[5]叫構購媾垢=[6]轎腳{～色}□{起來}
kʰ	[1]敲蹺翹{尾～～}□{骹～：人“死”}[2]□{小孩“哭鬧”}[3]口=巧={聰明靈俐}[5]數{動詞，～錢}扣=叩=寇蔻竅□{水～：接水筒}[6]□{棟，抬}
h	[1]僥{否認，不認帳}囂邀枵=[2]候喉=猴=浮={人～於事}[3]否曉[6]後=厚=候□{往後靠}
ŋ	[1]□{胳肢}[2]□{蠕動：蟲等}
∅	[1]夭妖要{～求}腰枵-{餓}□{哺育小孩；帶小孩：～囝}鷂{老～：老鷹}[2]搖謠瑤遙窯姚藥-鑰-[3]舀杳窈□{摜打}[5]要[6]耀躍
#uoi	
p	[1]飛-杯緋{～紅}[2]賠陪梅酶煤媒枚玫裴{姓}輩{下～：晚輩}末-{面～：麵粉}襪-糜{糜爛}[3]尾每[5]貝壩褙□{背上的“瘡”}背{名詞，軀～駝子}[6]背{動詞，～人}培倍焙佩珮未-昧狽
pʰ	[1]坯胚-□{～比：商量}[2]皮-[5]配沛杮{量詞，塊}[6]被-
t	[5]對-{絕～}綴{縫：～被}
l	[2]捼{搓揉：～衫}[3]□{下去：“落裏”的合音}[6]內=
ts	[5]最贅[6]罪=銳
tsʰ	[1]崔吹炊摧[2]箠[5]𢶀吹={鼓～}[6]啜{喝}□{出去：出內之合音}
ɬ	[1]衰蓑𤸬摔[2]甩□{量行}[5]稅帥歲=率{坦～}說={遊～}[6]說={解釋}
k	[1]乖□{洋～～：小蝌蚪}[2]月-[3]果{～子}粿拐□{踮}[5]怪會{～計}劊償檜膾髻[6]外=
kʰ	[1]魁恢盔□{栗～：板栗}[3]傀蒯[5]塊快筷[6]□{“缺少”，欠缺}
h	[1]灰-[2]回茴蛔徊懷槐淮[3]火-悔賄[5]歲-誨晦[6]會={開～}繪匯壞=發-髪-□{嘆詞}
∅	[1]歪[3]歪{一拐一拐}[5]□{傳染}[6]□{話“傳歪”}
#aŋ	
p	[1]班斑頒邦幫搬=般=崩-[2]房-縫{～衫}[3]板坂=版販扁-{～食}匾{～額}[5]放扮[6]辦瓣範{模子}
pʰ	[1]芳-{香}蜂-峰-{中～橋：地名}扳攀[2]帆=捧篷-龐[3]紡-[5]縫-{～隙}
m	[1]幔{“蒙”一層}[2]閩蠻饅龐{姓}[3]晚挽娩蠓{蚊子}[5]夢[6]萬網曼漫=慢=蔓
t	[1]單=丹擔={負～}冬-東-耽=顛-{～倒}[2]談痰同-銅-彈筒-檀壇□{潮濕}[3]疸膽=[5]旦=擔={重～}凍-蛋-𧡍□{閉眼}恫{～杖：哭與捧}[6]淡=氮啖誕但重-{輕～}動-
