單字	(沙塘)聲母	(沙塘)韻母	(沙塘)聲調	備註																																													
虎	f	u	2																																														
苦	f	u	2																																														
肥	f	ui	4																																														
吠	f	ui	6																																														
彗	f	ui	6																																														
惠	f	ui	6																																														
慧	f	ui	6																																														
蕙	f	ui	6																																														
喙	f	ui	6																																														
妃	f	ui	1																																														
扉	f	ui	1																																														
菲	f	ui	1																																														
非	f	ui	1																																														
飛	f	ui	1																																														
廢	f	ui	1																																														
沸	f	ui	1																																														
肺	f	ui	1																																														
芾	f	ui	1	蔽芾																																													
費	f	ui	1																																														
徽	f	ui	1																																														
揮	f	ui	1																																														
暉	f	ui	1																																														
輝	f	ui	1																																														
菲	f	ui	2	菲林																																													
匪	f	ui	2																																														
悱	f	ui	2																																														
斐	f	ui	2																																														
翡	f	ui	2																																														
毀	f	ui	2																																														
卉	v	ui	2																																														
伏	f	uk	6																																														
匐	f	uk	6																																														
服	f	uk	6																																														
袱	f	uk	6																																														
復	f	uk	6	復原																																													
斛	f	uk	6																																														
幅	f	uk	2																																														
福	f	uk	2																																														
蝠	f	uk	2																																														
輻	f	uk	2																																														
復	f	uk	2	回復																																													
腹	f	uk	2																																														
複	f	uk	2																																														
覆	f	uk	2																																														
馥	f	uk	2																																														
墳	f	un	4																																														
焚	f	un	4																																														
桓	f	un	4																																														
分	f	un	6	本分																																													
份	f	un	6																																														
忿	f	un	6																																														
分	f	un	1	分開																																													
氛	f	un	1																																														
紛	f	un	1																																														
芬	f	un	1																																														
婚	f	un	1																																														
昏	f	un	1																																														
勛	f	un	1																																														
燻	f	un	1																																														
薰	f	un	1																																														
醺	f	un	1																																														
訓	f	un	1																																														
吩	f	un	1																																														
粉	f	un	2																																														
縫	f	ung	4																																														
逢	f	ung	4																																														
馮	f	ung	4	姓馮																																													
篷	f	ung	4																																														
蓬	f	ung	4																																														
奉	f	ung	6																																														
鳳	f	ung	6																																														
丰	f	ung	1																																														
封	f	ung	1																																														
峯	f	ung	1																																														
楓	f	ung	1																																														
烽	f	ung	1																																														
蜂	f	ung	1																																														
豐	f	ung	1																																														
鋒	f	ung	1																																														
風	f	ung	1																																														
瘋	f	ung	1																																														
諷	f	ung	2																																														
俸	f	ung	2																																														
奮	f	ut	5																																														
憤	f	ut	5																																														
糞	f	un	6																																														
佛	f	ut	6	佛教																																													
弗	f	ut	6																																														
拂	f	ut	6																																														
芾	f	ut	2																																														
佛	f	ut	2	彷彿																																													
彿	f	ut	2																																														
忽	f	ut	2																																														
惚	f	ut	2																																														
囫	f	ut	2																																														
窟	f	ut	2																																														
蝦	h	aa	5	蝦米																																													
下	h	aa	5	下去																																													
扒	h	aa	4																																														
瑕	h	aa	4																																														
遐	h	aa	4																																														
霞	h	aa	4																																														
廈	h	aa	6																																														
暇	h	aa	6																																														
下	h	aa	6	下面																																													
夏	h	aa	6																																														
趴	h	aa	1																																														
怕	h	aa	1																																														
他	h	aa	1																																														
她	h	aa	1																																														
它	h	aa	1																																														
牠	h	aa	1																																														
祂	h	aa	1																																														
哈	h	aa	2																																														
蛤	h	aa	2	蛤蟆																																													
蝦	h	aa	2	蝦蟆																																													
懈	h	aai	5																																														
堤	h	aai	4																																														
孩	h	aai	4																																														
骸	h	aai	4																																														
排	h	aai	4																																														
牌	p	aai	4																																														
啼	h	aai	4																																														
提	h	aai	4																																														
蹄	h	aai	4																																														
題	h	aai	4																																														
諧	h	aai	4																																														
鞋	h	aai	4																																														
解	h	aai	6	姓解																																													
係	h	aai	6																																														
系	h	aai	6																																														
繫	h	aai	6																																														
械	h	aai	6																																														
邂	h	aai	6																																														
貸	h	aai	1																																														
批	h	aai	1	白讀																																													
批	p	aai	1	文讀																																													
太	h	aai	1																																														
態	h	aai	1																																														
汰	h	aai	1																																														
泰	h	aai	1																																														
梯	h	aai	1																																														
剃	h	aai	1																																														
替	h	aai	1																																														
兮	h	aai	1																																														
涕	h	aai	1																																														
屜	h	aai	1																																														
嗨	h	aai	1																																														
體	h	aai	2																																														
蟹	h	aai	2																																														
俳	p	aai	4																																														
棒	p	aak	5																																														
賀	h	aak	6																																														
客	h	aak	1	客人																																													
嚇	h	aak	1																																														
赫	h	aak	2																																														
黑	h	aak	2																																														
喀	h	aak	2																																														
可	h	aak	2	可汗																																													
克	h	aak	2																																														
刻	h	aak	2																																														
剋	h	aak	2																																														
客	h	aak	2	客家																																													
咯	h	aak	1	咯血																																													
函	h	aam	4																																														
含	h	aam	4																																														
涵	h	aam	4																																														
潭	h	aam	4																																														
痰	h	aam	4																																														
罈	h	aam	4																																														
談	h	aam	4																																														
譚	h	aam	4	同“谈”																																													
咸	h	aam	4																																														
銜	h	aam	4																																														
鹹	h	aam	4																																														
陷	h	aam	6																																														
餡	h	aam	6																																														
嵌	h	aam	6																																														
撼	h	aam	6																																														
憾	h	aam	6																																														
喊	h	aam	1																																														
勘	h	aam	1																																														
堪	h	aam	1																																														
坎	h	aam	2																																														
崁	h	aam	1																																														
瞰	h	aam	1																																														
貪	h	aam	1																																														
探	h	aam	1																																														
龕	h	aam	1																																														
酣	h	aam	1																																														
憨	h	aam	1																																														
砍	h	aam	2																																														
壇	h	aan	4																																														
檀	h	aan	4																																														
嫻	h	aan	4																																														
閒	h	aan	4																																														
恨	h	aan	6																																														
限	h	aan	6																																														
攤	h	aan	1																																														
灘	h	aan	1	搶灘																																													
癱	h	aan	1																																														
嘆	h	aan	1																																														
歎	h	aan	1																																														
炭	h	aan	1																																														
盼	h	aan	1																																														
碳	h	aan	1																																														
很	h	aan	2																																														
狠	h	aan	2																																														
刊	h	aan	2																																														
墾	h	aan	2																																														
灘	h	aan	2	沙灘																																													
坦	h	aan	2																																														
毯	h	aan	2																																														
袒	h	aan	2																																														
忐	h	aan	2																																														
懇	h	aan	2																																														
馮	p	aang	4	暴虎憑河																																													
恆	h	aang	4																																														
衡	h	aang	4																																														
朋	h	aang	4																																														
疼	h	aang	4																																														
籐	h	aang	4																																														
藤	h	aang	4																																														
騰	h	aang	4																																														
行	h	aang	4	行路																																													
行	h	aang	6	品行																																													
倖	h	aang	6																																														
幸	h	aang	6																																														
杏	h	aang	6																																														
哼	h	aang	1																																														
坑	h	aang	1																																														
鏗	h	aang	1																																														
炕	h	aang	1																																														
肯	h	aang	2																																														
啃	h	aang	2																																														
亨	h	aang	2																																														
烹	h	aang	2																																														
盒	h	aap	5																																														
潭	h	aap	5	水潭																																													
譚	h	aap	5	姓譚																																													
合	h	aap	6																																														
閤	h	aap	6	閤眼																																													
闔	h	aap	6																																														
嗑	h	aap	6																																														
匣	h	aap	6																																														
瞌	h	aap	2																																														
磕	h	aap	2																																														
恰	h	aap	2																																														
塔	h	aap	2																																														
掐	h	aap	2																																														
拓	h	aap	2	拓本																																													
榻	h	aap	2																																														
塌	h	aap	2																																														
痕	h	aat	5																																														
劾	h	aat	6																																														
核	h	aat	6																																														
轄	h	aat	6																																														
黠	h	aat	6																																														
瞎	h	aat	6																																														
駭	h	aat	6																																														
乞	h	aat	2																																														
吃	h	aat	2																																														
訖	h	aat	2																																														
扢	h	aat	2																																														
䰴	h	aat	2																																														
迄	h	aat	2																																														
兀	h	aat	2																																														
屹	h	aat	2																																														
厚	h	aau	5																																														
頭	h	aau	5	石頭																																													
侯	h	aau	4																																														
喉	h	aau	4																																														
猴	h	aau	4																																														
投	h	aau	4																																														
頭	h	aau	4																																														
晧	h	aau	6																																														
暤	h	aau	6																																														
皓	h	aau	6																																														
候	h	aau	6																																														
后	h	aau	6																																														
後	h	aau	6																																														
孝	h	aau	6																																														
效	h	aau	6																																														
校	h	aau	6																																														
逅	h	aau	6																																														
䞧	h	aau	6																																														
酵	h	aau	1																																														
拋	h	aau	1																																														
泡	h	aau	1	泡打粉																																													
炮	p	aau	1																																														
砲	p	aau	1																																														
偷	h	aau	1																																														
透	h	aau	1																																														
哮	h	aau	1																																														
刨	p	aau	4																																														
皰	p	aau	1																																														
烤	h	aau	2																																														
考	h	aau	2																																														
口	h	aau	2																																														
跑	h	aau	2																																														
剖	h	aau	2																																														
吼	h	aau	2																																														
拷	h	aau	2																																														
抱	h	o	5																																														
泡	h	o	5	泡沫																																													
嚎	h	o	4																																														
毫	h	o	4																																														
蠔	h	o	4																																														
豪	h	o	4																																														
號	h	o	4	哀號																																													
袍	h	o	4																																														
掏	h	o	4																																														
啕	h	o	4																																														
桃	h	o	4																																														
淘	h	o	4																																														
萄	h	o	4																																														
逃	h	o	4																																														
陶	h	o	4																																														
浩	h	o	5																																														
號	h	o	6	號碼																																													
好	h	o	1	好客																																													
耗	h	o	1																																														
滔	h	o	1																																														
濤	h	o	1																																														
套	h	o	1																																														
蒿	h	o	1																																														
絛	h	o	1																																														
好	h	o	2	好事																																													
可	h	o	2																																														
討	h	o	2																																														
禱	h	o	2																																														
蚌	h	ok	5																																														
殼	h	ok	5																																														
塘	h	ok	5	沙塘																																													
鶴	h	ok	6																																														
學	h	ok	6																																														
托	h	ok	1																																														
託	h	ok	1																																														
泡	h	ok	2	燈泡																																													
膀	p	ong	4																																														
杭	h	ong	4																																														
航	h	ong	4																																														
降	h	ong	4	投降																																													
旁	h	ong	4																																														
唐	h	ong	4																																														
堂	h	ong	4																																														
塘	h	ong	4																																														
棠	h	ong	4																																														
糖	h	ong	4																																														
螳	h	ong	4																																														
行	h	ong	4	銀行																																													
膛	h	ong	4																																														
巷	h	ong	6																																														
項	h	ong	6																																														
康	h	ong	1																																														
腔	h	ong	1																																														
湯	h	ong	1																																														
燙	h	ong	1																																														
吭	h	ong	1																																														
骯	h	ong	1																																														
躺	h	ong	2																																														
趟	h	ong	2																																														
倘	h	ong	2																																														
淌	h	ong	2																																														
被	h	ei	5	白讀																																													
被	p	ei	5	文讀																																													
疲	h	ei	5																																														
婢	p	ei	5																																														
皮	h	ei	4	白讀																																													
皮	p	ei	4	文讀																																													
脾	p	ei	4																																														
陂	p	ei	4	黃陂																																													
邳	p	ei	4																																														
披	p	ei	1																																														
屁	h	ei	1																																														
譬	h	ei	1	白讀																																													
譬	p	ei	1	文讀																																													
欺	h	ei	1																																														
器	h	ei	1																																														
憩	h	ei	1																																														
棄	h	ei	1																																														
氣	h	ei	1																																														
汽	h	ei	1																																														
嘻	h	ei	1																																														
嬉	h	ei	1																																														
希	h	ei	1																																														
曦	h	ei	1																																														
烯	h	ei	1																																														
熙	h	ei	1																																														
熹	h	ei	1																																														
犧	h	ei	1																																														
稀	h	ei	1																																														
羲	h	ei	1																																														
禧	h	ei	1																																														
戲	h	ei	1																																														
鄙	h	ei	2																																														
嘿	h	ei	2																																														
豈	h	ei	2																																														
起	h	ei	2																																														
喜	h	ei	2																																														
圮	h	ei	2																																														
否	p	ei	2	否極泰來																																													
坏	h	ei	2																																														
胚	p	ei	2																																														
剔	h	eak	2																																														
惕	h	eak	2																																														
忑	h	eak	2																																														
欠	h	eam	1																																														
芡	h	eam	1																																														
欽	h	eam	1																																														
貧	p	ean	4	文讀																																													
貧	h	ean	4	白讀																																													
欣	h	ean	1																																														
蘋	h	eang	4																																														
坪	p	eang	4	沙坪																																													
平	h	eang	4	開平																																													
萍	h	eang	4																																														
評	h	eang	4																																														
亭	h	eang	4																																														
停	h	eang	4																																														
婷	h	eang	4																																														
庭	h	eang	4																																														
廷	h	eang	4																																														
蜓	h	eang	4																																														
霆	h	eang	4																																														
胼	p	in	4																																														
拚	p	eang	1																																														
拼	p	eang	1																																														
氫	h	eang	1																																														
輕	h	eang	1	文讀																																													
慶	h	eang	1																																														
挺	h	eang	1																																														
興	h	eang	1																																														
兄	h	eang	1																																														
汀	h	eang	1																																														
馨	h	eang	1																																														
罄	h	eang	1																																														
丘	h	eau	1																																														
蚯	h	eau	1																																														
邱	h	eau	1																																														
休	h	eau	1																																														
朽	h	eau	2																																														
坪	h	iaak	5	坪頂																																													
艇	h	iaak	5																																														
喫	h	iaak	1																																														
燩	h	iaak	1																																														
𢶡	h	iaak	1																																														
𣪠	h	iaak	1																																														
𠿊	h	iaak	1																																														
𥍰	h	iaak	1																																														
𢿣	h	iaak	1																																														
𢞒	h	iaak	1																																														
䍊	h	iaak	1																																														
踢	h	iaak	1																																														
平	h	iaang	4	平整																																													
輕	h	iaang	1	減輕																																													
廳	h	iaang	1																																														
聽	h	iaang	1																																														
鄉	h	iaang	1																																														
香	h	iaang	1																																														
向	h	iaang	1																																														
嚮	h	iaang	1																																														
卿	h	iaang	1																																														
晌	h	iaang	2																																														
享	h	iaang	2																																														
響	h	iaang	2																																														
饗	h	iaang	2																																														
甜	h	im	4																																														
謙	h	im	1																																														
添	h	im	1																																														
險	h	im	2																																														
填	h	in	4																																														
田	h	in	4																																														
闐	h	in	4																																														
片	h	in	1																																														
牽	h	in	1																																														
縴	h	in	1																																														
勸	h	in	1																																														
天	h	in	1																																														
掀	h	in	1																																														
憲	h	in	1																																														
獻	h	in	1																																														
騫	h	in	1																																														
軒	h	in	1																																														
鶱	h	in	1																																														
䡣	h	in	1																																														
蓒	h	in	1																																														
䞿	h	in	1																																														
譴	h	in	2																																														
遣	h	in	2																																														
圈	h	in	2																																														
犬	h	in	2																																														
券	h	in	2																																														
顯	h	in	2																																														
俠	h	ip	6																																														
峽	h	ip	6																																														
狹	h	ip	6																																														
協	h	ip	6																																														
挾	h	ip	6																																														
脅	h	ip	6																																														
姭	h	ip	6																																														
綊	h	ip	6																																														
叶	h	ip	6	叶音																																													
劦	h	ip	6																																														
勰	h	ip	6																																														
貼	h	ip	1																																														
歉	h	ip	2																																														
帖	h	ip	2																																														
怯	h	ip	2																																														
愜	h	ip	2																																														
瞥	h	it	1																																														
鐵	h	it	1																																														
血	h	it	1																																														
票	h	iu	5																																														
調	h	iu	4	調整																																													
條	h	iu	4																																														
跳	h	iu	4	跳起來																																													
迢	h	iu	4																																														
挑	h	iu	1																																														
跳	h	iu	1																																														
眺	h	iu	1																																														
蹺	h	iu	1																																														
竅	h	iu	1																																														
囂	h	iu	1																																														
曉	h	iu	2																																														
婆	p	u	5	老婆																																													
婆	h	u	5	老婆																																													
妥	h	u	5																																														
橢	h	u	5																																														
唾	h	u	5																																														
何	h	u	4																																														
河	h	u	4																																														
荷	h	u	4																																														
婆	h	u	4																																														
匍	h	u	4																																														
菩	h	u	4																																														
葡	h	u	4																																														
圖	h	u	4																																														
屠	h	u	4																																														
徒	h	u	4																																														
途	h	u	4																																														
佗	h	u	4																																														
沱	h	u	4																																														
跎	h	u	4																																														
陀	h	u	4																																														
馱	h	u	4																																														
駝	h	u	4																																														
鴕	h	u	4																																														
舵	h	u	4																																														
荼	h	u	4																																														
荷	h	u	6																																														
頗	h	u	1																																														
破	h	u	1																																														
鋪	h	u	1	白讀																																													
鋪	p	u	1	文讀																																													
吐	h	u	1																																														
兔	h	u	1																																														
菟	h	u	1																																														
拖	h	u	1																																														
普	h	u	2	白讀																																													
普	p	u	2	文讀																																													
譜	h	u	2																																														
土	h	u	2																																														
倍	h	oi	5	白讀																																													
倍	p	oi	5	文讀																																													
培	h	oi	4																																														
賠	h	oi	4																																														
陪	h	oi	4																																														
台	h	oi	4	天台																																													
抬	h	oi	4																																														
檯	h	oi	4																																														
臺	h	oi	4																																														
苔	h	oi	4																																														
颱	h	oi	4																																														
蓓	h	oi	4																																														
亥	h	oi	6																																														
害	h	oi	6																																														
開	h	oi	1																																														
佩	v	oi	1																																														
沛	p	oi	1																																														
珮	p	oi	1																																														
配	h	oi	1	白讀																																													
配	p	oi	1	文讀																																													
胎	h	oi	1																																														
海	h	oi	2																																														
賄	h	oi	2																																														
凱	h	oi	2																																														
皚	h	oi	2																																														
侃	h	on	2																																														
鼾	h	on	4																																														
寒	h	on	4																																														
韓	h	on	4																																														
汗	h	on	4	可汗																																													
翰	h	on	4																																														
蹣	h	on	4																																														
盤	h	on	4																																														
蟠	p	on	4																																														
團	h	on	4																																														
糰	h	on	4																																														
汗	h	on	6																																														
瀚	h	on	6																																														
銲	h	on	6																																														
悍	h	on	6																																														
番	h	on	1	番禺																																													
漢	h	on	1																																														
看	h	on	1																																														
潘	p	on	1																																														
判	h	on	1																																														
罕	h	on	2																																														
斷	h	ot	5	白讀																																													
旱	h	ot	5																																														
褐	h	ot	6																																														
喝	h	ot	1																																														
渴	h	ot	1																																														
潑	h	ot	1																																														
脫	h	ot	1																																														
墟	h	ui	5																																														
頹	h	ui	4																																														
去	h	ui	1																																														
蛻	h	ui	1																																														
退	h	ui	1																																														
褪	h	ui	1																																														
虛	h	ui	1																																														
吁	h	ui	1																																														
噓	h	ui	1																																														
腿	h	ui	2																																														
栩	h	ui	2																																														
許	h	ui	2																																														
煦	h	ui	2																																														
酷	h	uk	6																																														
哭	h	uk	2																																														
臀	h	un	4																																														
吞	h	un	1																																														
鼕	h	ung	4																																														
洪	h	ung	4																																														
紅	h	ung	4																																														
虹	h	ung	4																																														
訌	h	ung	4																																														
鴻	h	ung	4																																														
仝	h	ung	4																																														
僮	h	ung	4	書僮																																													
同	h	ung	4																																														
彤	h	ung	4																																														
桐	h	ung	4																																														
童	h	ung	4																																														
茼	h	ung	4																																														
銅	h	ung	4																																														
