来源：	杨述祖 王艾录1984《祁县方言志》；Forward 27增补修订																
说明：	代表城关音系																
#符号说明：-白=文*俗?待考																	
tɕ	[1]蒋奖江姜僵缰将肩间奸监{~视}			[3]讲=简拣柬谏茧		[5]间鉴虹降将匠=酱=强											
tɕʰ	[1]铅枪=墙=疆羌强腔			[3]抢强{勉~}													
n	[1]颜-娘=	[3]眼	[5]雁														
ɕ	[1]衔=闲相=厢=箱=襄镶祥详厢湘乡香=降翔				[3]享响=想=		[5]限陷象=相=向=项=巷=										
Ø	[1]颜=央殃泱秧羊=阳=杨=扬=			[3]养=痒仰=		[5]样											
#uɑ̃																	
ts	[1]庄=装=妆桩=		[5]壮=撞赚														
tsʰ	[1]床窗=疮	[3]撞=闯=	[5]创														
s	[1]霜=孀双=闩栓拴		[3]爽=	[5]涮													
k	[1]关鳏光=	[3]广=	[5]逛=掼惯														
kʰ	[1]匡狂筐	[5]矿旷况															
x	[1]荒=慌=黄=皇隍湟蝗磺凰房=方=芳防=妨肪凡帆还环藩翻番烦樊繁寰						[3]反返恍=谎=纺=仿=彷访坊晃幌			[5]范犯饭贩泛梵贩幻宦放=患							
Ø	[1]顽玩湾弯王=汪		[3]晚挽往枉网=		[5]万忘=望旺妄												
#ə̃																	
p	[1]崩盆-绷	[3]本	[5]笨奔泵蹦迸														
pʰ	[1]喷盆=烹彭棚=膨澎蓬鹏朋篷抨怦蜂-{马~}				[3]捧	[5]碰											
m	[1]门蒙{~蔽}盟萌们焖		[3]猛=懵蒙{~古}		[5]梦孟闷												
t	[1]登灯疼-	[3]等	[5]凳邓瞪														
tʰ	[1]吞腾藤誊																
n	[1]农浓脓	[5]嫩															
l	[1]棱	[3]冷=垄-	[5]愣														
ts	[1]针真珍贞侦臻甄帧斟榛稹箴增秦-{~村}睁=正=蒸=筝争					[3]诊缜振震整=拯		[5]镇阵赈证症政枕正=朕赠									
tsʰ	[1]陈晨沉尘橙澄辰臣称=层曾参{~差}乘{~法}盛=城=诚程呈承称丞骋瞠						[3]惩	[5]趁称{相～}秤衬撑逞									
s	[1]森参{人~}深身伸申神绅僧生=牲升=声=甥=绳=					[3]审沈婶省	[5]甚渗慎肾剩=圣胜盛{茂~}										
ʐ	[1]人任仁壬妊		[3]扔仍忍	[5]认刃韧													
k	[1]更跟根羹=耕=庚		[3]耿亘梗鲠哽埂		[5]更												
kʰ	[1]坑吭铿	[3]肯啃垦恳															
ŋ	[1]恩																
x	[1]痕亨恒衡	[3]很狠	[5]恨														
Ø	[1]嗯																
#iə̃																	
p	[1]冰彬斌滨宾缤殡兵		[3]饼炳丙柄秉鬓禀		[5]并病=												
pʰ	[1]平评瓶凭屏萍坪苹频贫拼{~命}			[3]品	[5]聘												
m	[1]民明=名=铭鸣茗		[3]敏闽抿泯冥皿悯		[5]命=												
t	[1]丁叮盯钉=		[3]顶=鼎	[5]钉={~书机}定订锭													
tʰ	[1]听=亭停=汀厅庭廷婷艇霆蜓			[3]挺													
l	[1]临林邻淋琳霖拎麟磷鳞灵凌玲聆绫铃=零陵龄菱羚伶轮-					[3]岭=领=瓴翎凛廪		[5]赁吝蔺躏另令仑-论-									
tɕ	[1]金今津斤筋巾襟矜经=京精=惊晶=睛=茎泾兢荆痉旌菁=鲸					[3]景井=紧锦谨{勤~}瑾仅馑憬警				[5]近进晋尽浸烬妗觐劲禁噤净=敬靖径镜=静颈{脖~}竟竞							
tɕʰ	[1]亲秦=琴勤钦侵禽芹擒清=情青=轻氢擎卿蜻				[3]请寝顷倾	[5]庆磬亲{~家}											
n	[1]银宁凝佞柠		[3]拧	[5]硬=													
ɕ	[1]忻芯新心欣鑫辛馨锌薪歆兴行星=猩惺型刑邢形寻					[3]醒省腥	[5]杏=性姓幸信讯衅										
Ø	[1]音吟应孕因阴殷淫茵荫寅垠姻赢=英营=迎鹰膺莹樱盈荧莺萦瀛萤缨婴蝇=莹							[3]影=尹饮隐瘾引颖		[5]应{~当}饮{~马}映=窨印							
#ũm																	
t	[1]墩敦东冬铜-		[3]懂董顿	[5]顿盾钝炖遁动洞冻栋													
tʰ	[1]通铜=同童佟桐彤瞳潼僮屯臀囤豚				[3]统桶捅筒	[5]痛											
l	[1]轮=仑=伦=沦=龙隆笼聋珑			[3]垄陇拢=	[5]论={讨~}弄												
ts	[1]尊遵樽谆中钟仲忠衷盅宗棕综鬃重-虫-				[3]准总种中{射~}肿冢终踪			[5]众纵种重									
tsʰ	[1]村存春纯醇淳椿莼葱聪从丛匆冲充崇忡憧舂虫=重=					[3]宠蠢	[5]寸										
s	[1]孙松嵩淞	[3]损笋隼怂耸悚竦		[5]送宋诵讼顺瞬舜颂=逊唇													
ʐ	[1]容绒融蓉溶榕戎		[3]茸冗	[5]润闰													
k	[1]公工功宫攻恭龚蚣弓躬拱			[3]巩汞滚	[5]棍共供贡												
kʰ	[1]坤昆空	[3]孔恐捆啃	[5]困空{~余}控														
x	[1]风疯封峰丰冯逢缝枫锋枫分汾芬坟纷焚奉奋忿奋洪虹红宏鸿轰弘烘魂婚昏荤蜂=							[3]粉哄讽	[5]混{相~}份俸浑凤哄								
Ø	[1]文温纹瘟闻翁蚊		[3]稳吻紊刎	[5]问瓮													
#yũm																	
tɕ	[1]均君军钧穷-巩-		[3]囧炯窘迥菌炅		[5]俊骏郡峻粽												
tɕʰ	[1]群裙穷=琼穹																
ɕ	[1]询旬循薰熏巡荀勋胸凶匈汹			[5]讯训汛殉熊雄颂-													
Ø	[1]云耘匀晕允芸庸雍荣		[3]永勇涌泳咏陨拥俑蛹		[5]韵运孕蕴熨酝用												
#aʔ																	
p	[7]八捌扒剥拨钵驳			[8]拔跋魃毫脖博搏薄{~荷}膊													
pʰ	[7]勃渤帕泼仆{~人}濮朴{~素}																
m	[7]抹蚂{~蚱}摸膜末沫茉漠秣莫没{沉~}蟆																
t	[7]搭嗒褡瘩		[8]答达鞑														
tʰ	[7]塌踏塔拓榻脱-																
n	[7]捺衲纳呐钠糯儒诺喏																
l	[7]拉{～}落{降~伞}腊辣邋洛络={连~}乐{~快}						[8]喇										
