	注释：-白读，=文读
tʰ	[1]亲侵清=蜻青=[3]寝[5]凊{冷}衬
n	[2]宁[5]耳-
l	[1]清{稀}[2]林淋临怜邻鳞菱陵凌灵伶秦岑情潜澄停延庭蜓[3]凛懔[5]尽仑静朕[6]令吝另净定陈锭
ts	[1]津精晶[5]进
s	[1]心辛新薪[2]蝇寻=[5]信性姓=[6]讯迅
h	[3]品逞艇挺[5]聘听{～任}趁
#uiŋ	
p	[1]奔[3]本[6]笨
m	[2]门[6]问
β	[2]文纹闻[3]吻刎[5]盆-
t	[1]敦墩[6]盾遁顿炖钝断-
tʰ	[1]村[5]寸忖
n	[3]暖[6]嫩
l	[2]屯饨豚[6]论
ts	[5]钻转{～螺丝}
s	[1]孙酸[3]损[5]逊蒜[6]卵-
k	[3]滚[5]棍
kʰ	[1]昆崑[3]捆垦恳[5]困
x	[1]昏婚分纷荤[2]魂混芬焚坟痕[3]粉[5]忿愤奋[6]混份
h	[1]吞[5]褪{脱裳}
∅	[1]温瘟[3]稳
#yiŋ	
l	[2]全痊泉=传存[3]转[5]联{缝衣裳}[6]传{自～}断{～囝：流产}□{丢失}
ts	[1]尊遵专砖[6]旋{发～}
tsʰ	[1]川钏穿[5]串
s	[2]旋船=[3]选[6]羡
k	[1]涓绢斤根-筋[3]播[5]建眷卷券[6]近=倦=
kʰ	[1]圈[3]犬菌[5]劝
ŋ	[2]元原源言[3]软-[6]愿
x	[1]轩宣喧[2]玄眩弦悬[5]献宪
∅	[1]冤渊[2]丸完纨桓员圆沿铅缘援[3]䘼{手～：袖子}[5]怨
j	[2]权䧘{门～：门坎}[5]船-[6]倦-
#aiŋ	
p	[1]班斑颁崩冰浜[3]板版[5]扮[6]办
m	[2]闽[3]猛[6]慢孟
t	[1]灯钉{～子}丁瞪登沾[2]填藤[3]等[5]钉{～住}订凳[6]殿邓
tʰ	[2]田[5]衬撑倩
n	[2]能
l	[2]零滕腾謄曾{～经}[3]冷[5]层亭
ts	[1]臻榛曾{姓}憎僧争[3]剪盏[5]站[6]赠
s	[1]森参{人～}珊删生牲星腥甥[3]省=醒-
k	[1]间艰奸姦肩根跟耕庚更{～改}[3]柬简拣鹹粳耿哽[5]间{～接}拣更{～加}
kʰ	[1]牵铿刊[3]肯啃侃[5]看
ŋ	[2]颜[3]眼碾研[6]雁硬砚岸
x	[2]闲行{～列，～为}恒衡[3]罕很狠[6]限苋恨行{品～}幸
h	[1]蛏汀笕{引水管}亨烹[2]潭[6]瓣
∅	[1]恩莺鹦樱[5]晏
#uaiŋ	
p	[1]扳般搬[2]盘[5]半绊
m	[2]瞒馒[3]满[6]漫蔓幔
β	[1]崩[2]坂-槃明[3]皖宛苑碗腕豌晚娩婉[5]伴叛瓶旱[6]汗玩万
t	[1]丹端[3]短=[5]旦诞[6]断=
tʰ	[1]餐[5]篡纂灿
n	[2]难[6]难{患～}
l	[1]单[2]兰拦栏团鸾坛残[3]卵=阮[5]但□{口水}[6]弹{子～}烂段缎乱煅
ts	[5]赞
s	[3]伞[5]散线算霰
k	[1]干竿乾官观冠鳏[3]秆杆管馆[5]贯惯幹{～部}罐冠{～军}灌
kʰ	[1]宽[3]侃款
x	[1]欢番翻肝[2]邯鼾寒韩还环烦藩攀繁凡帆梵[3]反[5]贩[6]翰唤缓焕换幻患宦饭=泛范=
h	[1]滩摊潘[3]坦[5]炭叹判
∅	[1]安鞅[5]案
#yaiŋ	
ts	[2]泉-
tsʰ	[3]铲
s	[1]山[3]产[6]鳝
k	[1]关[2]墘{边缘}[3]囝[6]健键
ŋ	[2]顽
x	[2]园[3]䘆掀-
∅	[1]弯[2]袁[5]晏-
j	[3]远[6]县院
