#来源	由Pekkhak（啵啵）整理自《吴语处衢方言研究》
#符号说明	?待考
#调值	［1］³³［2］²⁴［3］⁴⁵［4］²²［5］⁵²［6］³¹［7］⁵［8］²³［0］⁰
#ɿ	
pʰ	［1］𠜱{剥白菜}［5］胚
b	［4］□{女阴}［6］□{势均力敌}
m	［2］磨{～刀}［4］□{雀～：阴茎}
f	［5］□{屁}□{无用的人}
t	［3］□{咬}［5］底{～西：什么}□{犟}
n	［3］奶{乳汁；乳房}［4］奶{乳汁；乳房}男?{～儿：男人}
l	［2］□{割}
ts	［1］姐{母亲}知{蚊虫～：知了}［3］指{戒～}□{～娘：纺织娘}［5］痣
tsʰ	［3］扯
dz	［2］□{拔}［4］雉{～鸡：野鸡}
s	［1］筛{名词}师狮蛳□{～周：一周岁}［3］使史驶［5］世{过～：逝世}势试［0］私{家～：家具}
z	［2］时{多～：很长时间}□{蚂～：蚂蝗}［4］柿市{发利～：始时}□{老～侬：老头子}［6］士仕事侍
k	［3］麂□{牛～儿：小牛}［5］记{～账}［0］个{的}
kʰ	［3］□{咳嗽}［5］契气{～息：气味}
ɡ	［2］□{～侬：杀价}
x	［1］□{不顾后果}□{水将开}
ɦ	［2］□{鸡、鸭身上的小虫子}□{～虫：孑孓}
#ie	
p	［3］把{百～个}
b	［2］婆{外～}爬{～上}［6］耙鐾避
m	［1］摸［2］磨{～刀}［6］磨{名词}骂［0］嫲{猪～：母猪}
t	［1］爹［3］底{碗～}［5］□{滴}
tʰ	［1］剃
d	［2］啼{哭}［4］底{下～：下面}弟［6］地
l	［4］鳢{乌～}里{夹～：里子}［6］离{～开}
tɕ	［1］遮栀［3］纸［5］借蔗□{苎～：苎麻的纤维}
tɕʰ	［1］车{骑～}且溪{大～：河}□{旋开}［3］鼠［5］刺{名词}
dʑ	［4］荠{□koŋ33～：荠菜}舐{狗舔}［6］箸［0］𧄔{蕃～：白薯}
ȵ	［2］泥{泥土}［4］惹
ɕ	［1］赊书［3］写［5］舍{～弗得}泻卸赦舍{宿～}细{～麦：小麦}嗉?{～子}豉{豆～}
ʑ	［2］邪斜畲匙［4］社［6］谢射麝
ɡ	［2］茄
x	［5］□{领子越穿越大}
∅	［2］耶爷{老天～}［3］煮［6］夜
#ye	
t	［3］□{动词，指}［5］拄{本字应为“柱”，《集韵》株遇切，刺也}
l	［2］驴［4］吕旅［6］虑滤
