临武城关片字表				备注
ta	˥	3	代[～表]待	
ta	˩	5	代[时～]袋贷戴带大怠	
ta	˥˧	7	答搭达	
tʰa	˧	1	胎	
tʰa	˩	5	太态泰汰	
tʰa	˥˧	7	塔沓踏塌榻蹋	
na	˧	1	纳挪呐	
na	˥	3	奶乃	
na	˩	5	纳娜	
na	˥˧	7	哪那	
la	˧	1	腊蜡辣拉捺啦垃	
la	˥	3	喇	
la	˩	5	耐奈□[烫]赖癞	
la	˥˧	7	粒	
tsa	˧	1	灾栽喳斋	
tsa	˥	3	宰	
tsa	˩	5	再载债	
tsa	˥˧	7	闸铡扎炸[油～]□[一～，很多]□[动词，密密麻麻地堆放]札眨轧□[溅]宅	
tsʰa	˧	1	杂钗差[出～]猜	
tsʰa	˩˧	2	才材财豺柴裁	
tsʰa	˥	3	采睬彩在踩	
tsʰa	˩	5	菜寨蔡	
tsʰa	˥˧	7	擦插搓獭	
sa	˧	1	萨[菩～]筛腮鳃酾[～酒]	
sa	˥	3	使[白]	
sa	˩	5	赛晒	
sa	˥˧	7	撒杀洒煞霎刹飒啥	
ka	˧	1	街该阶哥□[和，我～你]皆	
ka	˥	3	改解[～开]	
ka	˩	5	介界戒械尬解[～送]芥疥懈届诫	
ka	˥˧	7	夹甲荚颊钾	
kʰa	˧	1	开揩咖	
kʰa	˥	3	凯卡楷	
kʰa	˩	5	概慨溉	
kʰa	˥˧	7	□[掐，～手]卡	
ŋa	˩˧	2	挨癌皑涯崖	
ŋa	˩	5	艾	
xa	˧	1	盒匣哈	
xa	˩˧	2	鞋□[茅草刺激皮肤的不适感觉]谐孩	
xa	˥	3	海亥骇蟹	
xa	˩	5	害	
xa	˥˧	7	瞎□[抱住]辖	
a	˧	1	挨唉埃啊阿锕	
a	˥	3	矮	
a	˩	5	爱碍隘蔼霭亚	
a	˥˧	7	鸭押压	
pa	˧	1	跛	
pai	˧	1	杯	
pai	˩˧	2	培陪赔裴	
pai	˩	5	辈贝倍背焙狈	
pʰai	˧	1	坯胚	
pʰai	˩	5	佩配派沛	
mai	˧	1	慢[白]	
mai	˩˧	2	煤媒梅霉枚谋玫	
mai	˥	3	每□[琢磨，空想]某	
mai	˩	5	妹昧	
fai	˩˧	2	浮[文]俘	
fai	˥	3	否□[丑]	
tai	˧	1	兜蔸呆逗[白]	
tai	˩˧	2	投头	
tai	˥	3	陡斗堵[白]抖蚪歹	
tai	˩	5	豆斗痘逮逗[文]	
tʰai	˧	1	偷	
tʰai	˥	3	□[～气，呼吸]□[休息]	
tʰai	˩	5	透	
lai	˩˧	2	来楼娄莱	
lai	˥	3	篓□[你家的]搂缕	
lai	˩	5	漏陋	
tsai	˧	1	邹□[蹲的动作]	
tsai	˥	3	走仔籽	
tsai	˩	5	皱绉奏揍	
tsʰai	˧	1	□[端的动作]	
tsʰai	˩˧	2	愁	
tsʰai	˥	3	□[积攒]	
tsʰai	˩	5	凑	
sai	˧	1	馊	
sai	˩	5	瘦嗽	
kai	˧	1	钩沟勾	
kai	˥	3	狗苟	
kai	˩	5	够盖构购丐钙垢	
kai	˥˧	7	□[用不正当手段获取，窃取]	
kʰai	˧	1	抠圈[存疑]	
kʰai	˥	3	口	
kʰai	˩	5	扣叩寇	
ŋai	˥	3	藕偶	
xai	˧	1	开	
xai	˩˧	2	侯喉猴瘊吼	
xai	˥	3	厚□[～口（ke），用在句尾表示还是...算了]	
xai	˩	5	候后	
xai	˥˧	7	□[叹词]	
ai	˧	1	欧哀殴瓯哎鸥	
ai	˩˧	2	呆	
ai	˥	3	呕	
ai	˩	5	屋沤怄	
ai	˥˧	7	□[叹词]	
pau	˧	1	包胞苞褒	
pau	˩˧	2	浮[白]袍咆	
pau	˥	3	保堡宝饱	
pau	˩	5	报暴爆豹刨抱[文]	
pʰau	˧	1	抛泡[灯～]	
pʰau	˥	3	跑	
pʰau	˩	5	炮泡[水～]	
mau	˩˧	2	毛矛茅猫锚	
mau	˥	3	冇卯铆	
mau	˩	5	貌冒帽茂贸	
tau	˧	1	刀叨	
tau	˩˧	2	桃逃陶萄淘	
tau	˥	3	岛倒[打～]到[听～]祷蹈捣	
tau	˩	5	道稻盗到[～达]倒[～车]悼	
tʰau	˧	1	滔掏涛	
tʰau	˥	3	讨	
tʰau	˩	5	套导[又]	
lau	˧	1	唠	
lau	˩˧	2	牢劳捞	
lau	˥	3	老脑恼姥挠	
lau	˩	5	闹涝□[汤水稀薄]□[毒药，下毒，～药]酪	
tsau	˧	1	遭糟	
tsau	˥	3	早枣蚤澡□[丈夫]藻爪沼	
tsau	˩	5	灶罩躁皂噪	
tsau	˥˧	7	找□[～到，注意]	
tsʰau	˧	1	超操抄钞	
tsʰau	˩˧	2	曹槽巢	
tsʰau	˥	3	炒吵草	
tsʰau	˩	5	燥造糙躁[]	
sau	˧	1	搜筲骚臊搔	
sau	˥	3	嫂	
sau	˩	5	扫潲哨	
kau	˧	1	交胶糕膏高郊羔□[虹]	
kau	˥	3	搞稿搅镐	
kau	˩	5	告窖教觉[一～醒来]	
kʰau	˧	1	敲	
kʰau	˥	3	考烤拷	
kʰau	˩	5	靠铐	
ŋau	˩˧	2	熬鳌敖嗷獒螯遨摇[～匀]	
ŋau	˥	3	咬	
ŋau	˩	5	傲	
xau	˧	1	蒿篙薅	
xau	˩˧	2	毫豪壕嚎	
xau	˥	3	好郝	
xau	˩	5	孝较号好效校耗酵哮浩	
au	˧	1	□[仰头的动作]	
au	˩˧	2	鏖翱	
au	˥	3	拗袄	
au	˩	5	坳[枫树～，地名]奥懊澳	
au	˥˧	7	□[吃，小孩语]	
pã	˧	1	班斑颁般扳	
pã	˥	3	板版榜[又]	
pã	˩	5	办扮瓣	
pʰã	˧	1	潘攀	
pʰã	˩	5	绊袢盼畔	
mã	˩˧	2	蛮馒	
mã	˩	5	慢[文]漫幔曼蔓	
fã	˧	1	翻番藩	
fã	˩˧	2	凡帆繁矾烦樊	
fã	˥	3	反访[又]返	
fã	˩	5	犯范饭泛贩	
tã	˧	1	丹耽单担	
tã	˩˧	2	谭檀坛痰弹[物理性能]谈潭昙	
tã	˥	3	胆淡掸	
tã	˩	5	蛋旦担弹[人的动作]但诞氮	
tʰã	˧	1	摊滩贪坍瘫	
tʰã	˥	3	毯坦[～下村，地名]袒	
tʰã	˩	5	探炭叹碳	
nã	˩˧	2	兰栏拦蓝篮南男难澜	
nã	˥	3	懒揽览缆榄	
nã	˩	5	烂滥难浪[又]	
tsã	˧	1	簪沾瞻	
tsã	˥	3	盏斩攒砸咱崭	
tsã	˩	5	站栈赞绽醮	
tsʰã	˧	1	餐参掺搀	
tsʰã	˩˧	2	蚕残惭馋婵蝉禅	
tsʰã	˥	3	产铲惨阐	
tsʰã	˩	5	暂□[把小动物的出入通道用工具挡住的动作]灿	
sã	˧	1	山三桑珊删衫叁苫	
sã	˥	3	伞陕嗓闪	
sã	˩	5	疝散擅赡善[又]膳[又]	
kã	˧	1	肩奸间	
kã	˥	3	减碱简港[又读，香～]茧柬	
kã	˩	5	鉴监间降涧谏	
kʰã	˧	1	悭刊堪勘	
ŋã	˩˧	2	岩颜	
ŋã	˥	3	眼□[～线，刚刚好]	
ŋã	˩	5	岸雁谚	
xã	˧	1	牵[白]酣憨	
xã	˩˧	2	咸[又]闲[又]	
xã	˥	3	喊	
xã	˩	5	限苋陷夯撼憾	
ã	˥	3	□[被重物压到身体的局部]	
ã	˩	5	案[白]	
paŋ	˧	1	帮浜邦梆	
paŋ	˩˧	2	旁庞螃膀[～胱]	
paŋ	˥	3	榜绑膀[～子]	
paŋ	˩	5	傍蚌棒谤磅泵	
pʰaŋ	˧	1	胖[形容肿]乓	
pʰaŋ	˩	5	胖[肥～]	
maŋ	˧	1	□[蒙着]	
maŋ	˩˧	2	芒忙茫虻盲氓	
maŋ	˥	3	莽[～山，地名]蟒	
maŋ	˩	5	望[白]	
faŋ	˧	1	方芳坊	
faŋ	˩˧	2	防妨肪房仿	
faŋ	˥	3	访纺	
faŋ	˩	5	放	
taŋ	˧	1	当[～家]铛	
taŋ	˩˧	2	唐糖塘堂棠螳搪膛	
taŋ	˥	3	党挡档	
taŋ	˩	5	当[适～]荡	
tʰaŋ	˧	1	汤	
tʰaŋ	˥	3	趟躺倘淌	
tʰaŋ	˩	5	烫□[洗涤之后的清水漂洗]	
laŋ	˧	1	□[稀疏]	
laŋ	˩˧	2	郎狼瓤螂廊囊榔琅	
laŋ	˥	3	朗□[液体在容器中晃动]□[布料或塑料产生波动的状态]	
laŋ	˩	5	浪	
laŋ	˥˧	7	□[颤抖]	
tsaŋ	˧	1	张章樟障瘴赃脏彰	有将tsaŋ读tɕiaŋ者
tsaŋ	˥	3	掌涨长	有将tsaŋ读tɕiaŋ者
tsaŋ	˩	5	仗葬帐账胀脏[内～]	有将tsaŋ读tɕiaŋ者
tsʰaŋ	˧	1	昌倡菖仓苍沧舱猖	有将tsʰaŋ读tɕʰiaŋ者
tsʰaŋ	˩˧	2	场肠长常[又]敞	有将tsʰaŋ读tɕʰiaŋ者
tsʰaŋ	˥	3	丈厂杖	有将tsʰaŋ读tɕʰiaŋ者
tsʰaŋ	˩	5	唱畅□[...的样子]	有将tsʰaŋ读tɕʰiaŋ者
saŋ	˧	1	伤商丧	有将saŋ读ɕiaŋ者
saŋ	˩˧	2	常尝偿裳	有将saŋ读ɕiaŋ者
saŋ	˥	3	上赏晌	有将saŋ读ɕiaŋ者
saŋ	˩	5	上丧尚	有将saŋ读ɕiaŋ者
kaŋ	˧	1	刚纲钢江缸甘干[～杯]冈竿肛	
kaŋ	˥	3	感杆岗讲敢港橄	
kaŋ	˩	5	干[做事]杠虹杆[单～]	
kʰaŋ	˧	1	康龛	
kʰaŋ	˥	3	抗[又]慷砍坎	
kʰaŋ	˩	5	抗炕	
xaŋ	˧	1	糠	
xaŋ	˩˧	2	寒韩含[文]函行衔涵杭航咸[～阳]	
xaŋ	˥	3	项	
xaŋ	˩	5	汉巷烘[白]翰	
aŋ	˧	1	安鞍庵肮氨	
aŋ	˩˧	2	昂	
aŋ	˥	3	□[光照，日晒，～日头]□[看，～亲，～到]俺	
aŋ	˩	5	按案[文]暗盎	
po	˧	1	巴芭疤雹薄坡杷粑笆	
po	˩˧	2	耙琶爬脖	
po	˥	3	靶把[～握]	
po	˩	5	白[～饭]罢百薄[～荷]坝爸[单用，背称]播霸	
po	˥˧	7	剥钵博拨钹驳搏跋勃渤膊舶泊	
pʰo	˩	5	帕怕	
pʰo	˥˧	7	泼□[～风，扇风]朴	
mo	˧	1	摸寞摩[又]抹摹么吗莫漠	
mo	˩˧	2	麻魔模蟆膜馍	
mo	˥	3	马码玛蚂	
mo	˩	5	骂摩[又]茉陌	
mo	˥˧	7	□[往里缩，躲藏，～紧]□[没牙齿的人用牙床咀嚼的动作，～烂]沫末	
fo	˧	1	□[穿,～裤，～裙]佛[阿弥陀～]	
to	˧	1	□[～药，敷药]哆	
to	˥	3	打	
to	˩	5	夺[又]	
to	˥˧	7	□[副词形容很暗，暗～□]□[量词，摞]度[估计]踱夺	
tʰo	˥˧	7	脱托	
lo	˧	1	落[～雨]烙骆啰洛	
lo	˩˧	2	□[丢失]萝[菠～]	
lo	˩	5	乐络诺懦	
lo	˥˧	7	□[吮吸]砾	
tso	˧	1	遮渣楂	
tso	˩	5	蔗	
tso	˥˧	7	嘬	
tso	˥	3	□[～头，扎头发]	
tso	˩	5	只诈榨炸□[压住]乍栅	
tso	˥˧	7	桌捉着嘬卓酌灼茁昨作	
tsʰo	˧	1	浊叉杈车差[～距]着岔衩	
tsʰo	˩˧	2	茶搽查察茬碴	
tsʰo	˥	3	扯	
tsʰo	˩	5	尺拆[白]	
tsʰo	˥˧	7	触戳错凿绰	
so	˧	1	沙纱赊杉勺莎奢唆砂嗦	
so	˩˧	2	蛇芍	
so	˥	3	社舍[～得]□[歪的]	
so	˩	5	石[白]舍[屋～]	
so	˥˧	7	索硕铄朔烁	
ko	˧	1	加痂嘉瓜家佳枷戈	
ko	˥	3	寡贾假	
ko	˩	5	挂架价嫁驾稼胳卦褂	
ko	˥˧	7	各郭角割鸽搁葛阁廓	
kʰo	˧	1	掐夸	
kʰo	˩	5	客跨胯挎	
kʰo	˥˧	7	确阔扩壳[脑～]各磕	
ŋo	˧	1	我涡蜗	
ŋo	˩˧	2	牙芽伢蚜衙讹俄蛾	
ŋo	˩	5	讶	
ŋo	˥	3	瓦雅	
ŋo	˩	5	卧	
ŋo	˥˧	7	握渥沃	
xo	˧	1	花荷[薄～]学虾华[新～书店]	
xo	˥	3	下	
xo	˩	5	合划化画话学夏吓厦蛤	
xo	˥˧	7	渴壳鹤	
o	˧	1	丫桠	
o	˥	3	哑	
o	˩	5	鸦	
o	˥˧	7	恶遏腭鄂愕噩鳄	
pəu	˧	1	□[埋伏]	
pʰəu	˥˧	7	仆	
məu	˧	1	木目□[呆，没本事]穆沐	
fəu	˧	1	服肤袱	
fəu	˥˧	7	福复伏覆辐蝠腹幅	
təu	˧	1	毒读独牍	
təu	˥˧	7	督笃□[退缩]	
tʰəu	˥˧	7	□[全都，～是]□[抓住别人衣领的动作]	
ləu	˧	1	肉录陆鹿□[温热]辱褥柔揉蹂	
ləu	˥˧	7	□[那，～人]	
tsəu	˩	5	粥	有读tsəu为tɕiəu者
tsəu	˥˧	7	做祝竹筑烛族足[脚]	有读tsəu为tɕiəu者
tsʰəu	˥˧	7	促畜逐束□[呛]簇	有读tsʰəu为tɕʰiəu者
səu	˧	1	属[～于]赎熟艘	有读səu为ɕiəu者
səu	˥˧	7	缩俗叔肃速续属[家～]宿嘱淑粟秫蜀	有读səu为ɕiəu者
kəu	˥˧	7	谷□[沾满，～烂泥]	
kʰəu	˧	1	□[抓捕，～起]	
xəu	˧	1	□[凶吼]	
xəu	˥˧	7	哭	
əu	˥˧	7	□[闷热]	
poŋ	˧	1	崩绷	
poŋ	˩˧	2	朋棚彭膨蓬篷鹏硼澎	
poŋ	˥	3	抱[白]	
poŋ	˩	5	蹦□[凸出]	
poŋ	˥˧	7	□[头撞到硬物，撞～头]	
pʰoŋ	˧	1	蜂[白]怦砰烹	
pʰoŋ	˥	3	捧	
pʰoŋ	˩	5	□[撒粉末]碰	
moŋ	˩˧	2	蒙盟萌檬朦	
moŋ	˥	3	猛蠓懵锰	
moŋ	˩	5	孟梦	
foŋ	˧	1	风枫疯锋峰丰封蜂[文]	
foŋ	˩˧	2	冯逢缝[～补]	
foŋ	˥	3	讽	
foŋ	˩	5	奉凤俸缝[～隙]	
toŋ	˧	1	东冬	
toŋ	˩˧	2	同铜桐筒[又]童瞳彤	
toŋ	˥	3	董懂动	
toŋ	˩	5	冻栋洞	
tʰoŋ	˧	1	通	
tʰoŋ	˥	3	统桶捅筒[又]	
tʰoŋ	˩	5	痛	
loŋ	˧	1	聋	
loŋ	˩˧	2	龙笼农脓隆咙胧窿	
loŋ	˥	3	拢垅陇垄	
loŋ	˩	5	弄□[欺骗]	
tsoŋ	˧	1	终钟宗踪棕鬃综盅中忠衷	
tsoŋ	˥	3	总肿种[～子]	
tsoŋ	˩	5	众粽中种[～植]仲纵	
tsʰoŋ	˧	1	匆葱冲充聪舂囱	
tsʰoŋ	˩˧	2	虫从重枞丛崇[又]松[～树]	
tsʰoŋ	˥	3	宠重怂[～恿]	
tsʰoŋ	˩	5	铳	
soŋ	˧	1	松	
soŋ	˩˧	2	倯崇[又]	
soŋ	˥	3	㧐耸	
soŋ	˩	5	送宋讼诵颂	
koŋ	˧	1	弓躬宫恭工功公攻供蚣	
koŋ	˥	3	巩拱汞	
koŋ	˩	5	贡	
kʰoŋ	˧	1	空[天～]	
kʰoŋ	˥	3	孔[文]恐[文]	
kʰoŋ	˩	5	共[又]空[～闲]控	
xoŋ	˧	1	轰烘[文]	
xoŋ	˩˧	2	红洪鸿虹宏	
xoŋ	˥	3	哄	
xoŋ	˩	5	孔[白]	
oŋ	˧	1	翁□[埋]嗡	
oŋ	˥	3	凸	
oŋ	˩	5	瓮□[鼻子不灵]	
pə	˧	1	□[～头，扭绞稻草、藤条做的捆绳]	
pə	˩˧	2	蒲菩仆葡圃□[抱重物]	
pə	˥	3	补簿哺	
pə	˩	5	布部怖步埠菢[～鸡仔]	
pʰə	˧	1	铺[～床]扑	
pʰə	˥	3	普谱甫浦脯	
pʰə	˩	5	铺[药～]瀑	
mə	˧	1	模	
mə	˥	3	母亩□[思索]牡拇姆	
mə	˩	5	墓幕牧慕□[心里瞄准目标的动作]暮募睦	
fə	˧	1	夫麸敷	
fə	˩˧	2	符扶芙俘凫拂	
fə	˥	3	府腐辅斧釜抚俯腑	
fə	˩	5	付附副富赴父赋妇负阜负咐傅	
fə	˥˧	7	缚	
tə	˧	1	都秃	
tə	˩˧	2	途涂图徒屠突颓	
tə	˥	3	赌杜肚堵[文]睹	
tə	˩	5	度渡镀妒	
tʰə	˥	3	土	
tʰə	˩	5	兔吐	
lə	˧	1	捋	
lə	˩˧	2	奴卢炉芦庐□[～裤，提裤子]鸬颅儒蠕	
lə	˥	3	鲁虏努橹卤乳	
lə	˩	5	怒路露鹭赂	
tsə	˧	1	资姿滋租□[眼瞎]咨兹	
tsə	˥	3	止址趾旨指阻祖组纸子紫只脂梓旨趾姊滓仔	
tsə	˩	5	志至致制痔置痣秩帜挚掷窒滞	
tsʰə	˧	1	粗痴嗤	
tsʰə	˩˧	2	词祠饲持迟池辞瓷糍弛磁瓷慈雌	
tsʰə	˥	3	耻齿此似侈	
tsʰə	˩	5	醋砌治字次刺自制[又]翅稚赐寺志[又]厕	
sə	˧	1	斯撕师狮诗施尸私丝司豉匙思酥苏什[家～]嘶	
sə	˩˧	2	时	
sə	˥	3	史使[文]驶始屎死矢	
sə	˩	5	士逝誓市四肆试事是势示视世仕侍恃柿氏嗜诉塑溯	
kə	˧	1	孤箍姑估沽菇辜疙	
kə	˥	3	古牯鼓股	
kə	˩	5	顾故雇固锢	
kʰə	˧	1	枯	
kʰə	˩˧	2	□[涂掉]	
kʰə	˥	3	苦	
kʰə	˩	5	库裤酷	
xə	˧	1	呵	
ə	˧	1	乌坞污巫诬	
ə	˩˧	2	吴蜈胡糊无芜吾梧而	
ə	˥	3	耳舞武鹉饵侮尔□[拿，取，用，弄]	
ə	˩	5	务[虚词]雾二贰儿蚁	
kŋ	˧	1	官棺观[又]冠[又]甘柑干肝	
kŋ	˥	3	秆管馆赶馆	
kŋ	˩	5	灌罐观[道～]	
kŋ	˥˧	7	□[总是，接连]	
kʰŋ	˧	1	宽	
kʰŋ	˥	3	款	
xŋ	˧	1	欢	
xŋ	˥	3	旱罕	
xŋ	˩	5	汗焊捍	
ŋ	˥	3	五伍碗午	
ŋ	˩	5	误悟晤换[白]	
pi	˧	1	碑卑悲	
pi	˩˧	2	皮疲脾啤枇琵荸	
pi	˥	3	被[棉～]比匕秕彼	
pi	˩	5	蔽敝弊避辟臂备惫鼻箅痹婢蓖毙币闭被[～动]	
pʰi	˧	1	披批	
pʰi	˥	3	鄙丕痞	
pʰi	˩	5	屁庇譬僻	
mi	˧	1	眯咪	
mi	˩˧	2	眉楣迷谜弥糜靡	
mi	˥	3	米美尾[白]	
mi	˩	5	秘泌媚觅	
fi	˧	1	飞妃非菲啡	
fi	˩˧	2	肥	
fi	˥	3	匪翡诽	
fi	˩	5	肺废费沸吠	
ti	˧	1	低的嘀	
ti	˩˧	2	提[文]堤题蹄啼	
ti	˥	3	底抵砥弟	
ti	˩	5	地第弟递[又]滴帝谛蒂缔	
tʰi	˧	1	梯锑	
tʰi	˥	3	体	
tʰi	˩	5	剃涕递[又]替隶屉	
ni	˧	1	□[～纳，纠结]	
ni	˩˧	2	疑泥尼昵宜谊仪	
ni	˥	3	拟	
ni	˩	5	义议艺	
li	˧	1	哩	
li	˩˧	2	犁梨厘狸离璃篱漓黎	
li	˥	3	李礼理鲤里履	
li	˩	5	厉励砺沥雳荔吏丽利俐莉痢例	
tɕi	˧	1	支枝肢之芝知	
tɕi	˥	3	挤	
tɕi	˩	5	济剂知智际祭	
tɕʰi	˧	1	妻凄	
tɕʰi	˩˧	2	齐脐	
ɕi	˧	1	西栖犀	
ɕi	˥	3	洗铣	
ɕi	˩	5	细婿	
ki	˧	1	机饥肌几叽讥栀[～子花]枝[□～，树枝]支[量词，一～棍]吱稽圾畸箕基鸡	
ki	˥	3	几麂己纪	
ki	˩	5	季记寄继计既妓冀	
kʰi	˧	1	欺[文]溪奚	
kʰi	˩˧	2	其旗棋期奇崎骑鳍歧祈	
kʰi	˥	3	启起岂□[站立]	
kʰi	˩	5	气[又]汽[又]忌器技企契戏[又]弃	
xi	˧	1	希稀熙牺嬉兮	
xi	˩˧	2	携	
xi	˥	3	喜起[又]	
xi	˩	5	戏[又]气[又]汽[又]系	
i	˧	1	衣依医伊	
i	˩˧	2	移夷姨胰遗	
i	˥	3	椅倚以已	
i	˩	5	忆意易异翳	
pie	˥	3	瘪	
pie	˥˧	7	憋鳖逼必笔毕碧璧别	
pʰie	˥˧	7	撇匹	
mie	˧	1	篾蔑	
mie	˥˧	7	□[回缩，紧闭，～水，～紧嘴巴]	
tie	˧	1	爹敌狄	
tie	˥˧	7	跌的[目～]碟谍蝶喋嫡涤	
tʰie	˥˧	7	贴帖铁踢[文]惕剔□[泥～，猪胰脏]	
nie	˧	1	你里[屋～]业逆匿聂镊孽您	
nie	˥	3	捏捻	
lie	˧	1	栗立笠列烈裂咧力肋历	
tɕie	˧	1	□[逗弄胳肢窝使人发痒]唧	
tɕie	˥˧	7	接妾鲫唧哲浙折责绩辙则侧执蛰泽择织职积质节迹即炙脊[文]棘汁	
tɕʰie	˧	1	直值植贼截侄	
tɕʰie	˥˧	7	殖膝漆戚嘁七柒集疾嫉切窃□[翅膀，可能是“翼”]籍赤寂捷辑	
ɕie	˧	1	舌十拾蚀食实石[文]什[～锦]习	
ɕie	˥˧	7	息媳熄失恤塞饰式识泄湿惜屑啬虱适室释昔析悉晰习席袭楔皙拾[收～]拭蟋夕汐隙	
kie	˥˧	7	吉结洁桔秸激急揭竭谒击戟劫杰	
kʰie	˥˧	7	及级极吸乞迄泣	
xie	˥˧	7	协胁歇蝎	
ie	˧	1	日热也一翼耶椰叶页	
ie	˥˧	7	一乙益噎靥揖逸凹壹亦屹抑邑译绎奕弈疫役	
pʰia	˥˧	7	劈霹	
kia	˥˧	7	涩	
kʰia	˧	1	欺[白]	
kʰia	˥˧	7	吃[～亏]恰洽	
xia	˩˧	2	霞遐暇	
xia	˥˧	7	挟侠狭峡	
ia	˧	1	□[副词形容苦，苦～□]呀	
ia	˩˧	2	□[脏]	
ia	˥˧	7	□[母亲]	
kʰiau	˧	1	悄跷	
kʰiau	˥	3	巧	
kʰiau	˩	5	俏鞘峭窍翘撬	
pio	˩	5	壁	
tio	˩˧	2	提[白]	
tio	˩	5	笛	
tʰio	˥	3	舔	
tʰio	˩	5	踢[白]	
lio	˩˧	2	□[挨近，粘]粘黏	
lio	˥	3	□[舔而食之]惹	
lio	˩	5	弱溺略虐疟掠	
tɕio	˥	3	姐	
