聲調：陰平[44] 陽平[11] 陰上[35] 陽上陰去[13] 陽去[42] 陰入[5] 陽入[2] 高平變調[55]																																																	
1.i 2.u 3.y 4.a 5.ɛ 6.ɔ 7.œ 8.ə 9.ui 10.iu 11.ai 12.au 13.ɛi 14.iɛu 15.ɔi 16.əø 17.im 18.am  19.iɛm 20.in 21.un 22.an 23.iɛn 24.ɔn 25.yœn 26.aŋ 27.iaŋ 28.ɔŋ 29.yœŋ 30.əŋ 31.eŋ  32.ip 33.ap 34.iɛp 35.it 36.ut 37.at 38.iɛt 39.ɔt 40.yœt 41.ak 42.iak 43.ɔk 44.yœk 45.ək  46.ek 47.m																																																	
聲母：p pʰ m v t tʰ n l ʦ ʦʰ s ɬ k kʰ ŋ h j w ø																																																	
聲韻母	聲調																																																
k	[44]雞	[35]偈計	[13]計繼繫（~鞋帶）																																														
kʰ	[44]溪稽嵇蹊	[35]啟	[13]契																																														
ŋ	[11]倪霓	[42]藝毅詣																																															
h	[44]屄（陰部）	[42]系係繫																																															
j	[13]跩(不乖，調皮)																																																
ø	[13]翳(胸悶，氣悶）																																																
#iɛu																																																	
p	[44]飆彪錶標鏢膘	[35]表裱婊																																															
pʰ	[44]漂飄	[11]嫖瓢朴	[13]票鰾																																														
m	[44]貓	[11]苗描瞄錨	[35]秒藐	[13]渺	[42]廟妙繆（姓）																																												
t	[44]刁叼貂雕	[35]屌	[13]釣吊																																														
tʰ	[44]挑	[11]跳調（~節）條迢	[13]糶	[42]掉調																																													
n	[35]鳥裊	[42]尿																																															
l	[11]燎遼潦僚療撩聊寥	[35]了瞭料	[42]廖料																																														
ʦ	[44]焦蕉椒朝（~早）招昭	[35]剿沼	[13]照詔																																														
ʦʰ	[44]超悄	[11]樵膲（起皺；枯萎、發蔫）朝（~代）潮	[13]肖俏	[42]噍（咀嚼）趙召																																													
s	[44]燒	[11]韶	[35]少（多~）	[13]少（~爺）	[42]邵肇紹																																												
ɬ	[44]消宵霄硝銷蕭簫瀟	[35]小	[13]笑																																														
k	[44]驕嬌澆	[35]矯繳僥	[13]叫																																														
kʰ	[11]喬僑橋蕎	[35]巧	[42]轎竅撬翹																																														
ŋ	[44]要																																																
h	[44]囂梟	[35]曉																																															
j	[44]要（~求）腰夭妖邀	[11]搖遙瑤垚堯饒	[35]舀杳擾繞	[13]要（重~）	42]鷂耀																																												
#ɔi																																																	
p	[44]杯盃	[13]背輩貝焙																																															
pʰ	[44]胚	[11]陪培賠裴	[13]配沛倍吠	[42]佩背（~誦）焙																																													
m	[11]梅莓霉枚煤媒摩（白，做~：做完了）	[13]每	[42]妹昧																																														
