%	又音
？	存疑
tsʰɿ2	池她䪧馳𧂓（馳）趍踟倁踶篪䞾䶔䶵褫誃簃傂岻蚳𧎪𧏁𧏁𧏔貾𡎰遟墀遲邌（遲）謘彽阺坻莉荎菭泜持莉治（。直之切 理也 今特~魚如故）乿（治）𨌅茨？垐堲（垐）粢瓷𥿆餈糍薋𩜴𩆂𧓉齊（疾私切）薺澬䆅呲玼疵骴茈𣐑飺鴜胔慈磁糍濨礠鶿鷀茲𦱳（茲）茊（茲）兹次柌祠𥿆詞𧥝（詞）辝辤辭𤔧（辭）茬茌齹𪙐（齹）𦳚？𦑡？堤？忯？𣏚？姼？㖷？䈕？眂？提？禔？嗣台（嗣）孠（嗣）鍉㮛㔭匙豉𢻃
tsʰɿ3	恥褫祉搋褫𡳭𧖛玼此佌𠈈泚䳄𧺼𩢑𡘌欼㱀㓼𠟴移杝侈𠈎（侈）垑㢁㶴𧰲㢋袳袲鉹移懘哆𡚼剶鋑鐫朘奀
tsʰɿ5	𡳭杘𣐉訵呬（同訵）跮𦥊𧩼誺䰡𦥊誺眙佁朿刺刾㢀庛莿蛓𧧒䛋㡹次𦮏（次）𠕞（次）𠤣（次）佽𧊒絘𩾔䯸䳐䰍𣣌𧉠蛓螆蚝賜儩𧀩𩜮𢨒饎哆糦埴幟識卶痓翅翄𦐊䚢䀸傺䟷𧼪揥慸𨂰𥉻㑜𢘽跇滯掣𢜳痸銐𤸪瘛懘𤢻疵伺廁㥡
sɿ1	䌳虒斯𣂕（斯）㴲榹㒋凘𠗧（凘）禠䔮磃廝㽄燍𥕶蟴䫢鐁𪆁鼶𩆵謕菥蜤㾷螔傂厶㺨私俬𦮺鐁鋖司𤔲（司）思𠂺（思）𡴓（思）𢍄（思）𥄶恖絲楒禗罳㺇蕬噝𥯨緦𦃞（緦）𢆿（緦）鍶鷥偲伺（息茲切）覗𧕯欐篩簁釃褷襹篩師𠵀（師）𠦵（師）𢂖（師）𩇱（師）蒒獅鰤螄𪗪齝邿呞詩𧥳（詩）䀢䀵鸍𢻫𢻱施（申而反 式豉反）𢒃𠇜𠤒絁葹䙾𧠜䗐鍦䌳𪓿𦇲鉈𡰣尸屍蓍𦮂（蓍）鳲撕市（限 拖~子）事叓（事）𠭏（事）史（限 ~公祠）
sɿ2	漦旹峕時塒溡蒔榯鼭鰣鮨䱈（鮨）
sɿ3	死𠑾（死）𣥴（死）斯矖纚簁籭釃蓰屣縰𩌦漇躧𩎉史㕜（史）使𡥐（使）𠭆（使）㹬𧳅鉂駛𩰢弛豕𢁓（豕）𧰧（豕）𡰯（豕）阤矢𠓡（矢）𠂕𥬘屎𦳊始𠃭（始）乨（始）兘（始）𠙉（始）
sɿ5	峙思（慮也悲也道德純備也）恖（思）𠂺（思）𡴓（思）𢍄（思）笥覗亖四𦉭泗柶牭肂肆𦘨（肆）𢑨（肆）駟𧳙𩬶蕼𨽼㣈𠮇（㣈）𦞤鈶似𠚦（似）巳汜佀𢻰泤祀𥛴（祀）杞姒㚶（姒）㭒𦓨𥘰洍耜𪊍禩已攺䒨雉兕𠒃𠒅𧰽𤉡𧱅羠薙食（飯屬也糧也以食與人也）𩚃（食）餐（食）寺孠飤飼士仕𢨪柹枾𣐈柿戺事叓（事）𠭏（事）𩛌襹屣𩌦使（將命者曰使）+𡥐（使）+𠭆（使）+駛𩢲𩰢𣳪𧳅𨽄𥾩俟𢓪涘竢𥏳騃姼氏𤜣是𣆞（是）昰恀䟗徥踶諟媞褆市恃鈰畤眎眡視𥄙（視）𥄚（視）𥅭（視）𥉙（視）𤋇（視）+豉+𢻃䩃䊓鯷𢐂醏𩜼眂眎視𥄙（視）𥄚（視）𥅭（視）𥉙（視）𤋇（視）嗜呩（嗜）𨢍𩝙蒔侍秲卶翨施𢒃𠇜𠤒䗐鍦𤖻㒾䧴馶僿弑弒試屍䛈𤜣？𦧇舐舓示𥘅（示）眎諡謚貤蔱鎩㡜逝𦚨觢𣂯筮𧻸誓𣂶（誓）銴噬遾澨簭忕拽世卋（世）丗貰勢澌𣠩杫始（方始）𠃭（始）乨（始）兘（始）𠙉（始）佁水（！限 ~門汀）斯豎（，）伺
piᶽ1	婢斃？貝？
piᶽ3	㗗佊彼柀𠐌匕+比夶（比）𣬅（比）朼疕沘妣䃾秕舭髀俾𢔌𠬈𦸣𪐄𢳋鞞髀䠋箄崥娝啚𠴿（啚）+鄙+𠴿（鄙）+痞𤽊㪏
piᶽ5	陂藣賁披波佊貱詖跛㝿（跛）比夶（比）𣬅（比）䃾𦸣庇畀畁（畀）𢌿㪏閉閇箅嬖𦸣𠈺陛㙄梐𤙞䯗髀鐾𣘥薜𥴬𨢡𨫔䥍（𨬝之譌）庳婢埤（部靡切 部比切）䠋牝𠤎（牝）比夶（比）𣬅（比）䃾坒䫁𤹝襣芘枇䑄泌鄙𠴿（鄙）匕蓖（~麻子）
pʰiᶽ1	䪹呸怌丕不㔻伾秠豾鉟髬駓魾䫠苤悂㩺紕+𢞗𦀘𧧺帔披狓被㱟𤿎𤱍秛耚旇翍鈹鮍𤿎鈚𨻼批砒𠜱磇錍𪄆
pʰiᶽ2	罷犤皮𥬖（皮）𠰎（皮）陂郫疲頗㯅鈚比（房脂切）夶（比）𣬅（比）沘魮阰芘枇+肶毗毘𦊁蚍𣬈𨈚豼琵𦳈㮰膍貔𧑜𧖈𧖕仳鵧𪌈裨紕辟（蒲麋切）郫陴𡌨埤啤𦜉脾焷蜱㯅螷䴽𧓎蠯𩫫邳鉟魾䫠岯䲹鞞笓崥椑㼰膍鼙痹
pʰiᶽ3	吡疕庀仳䚹䠋諀疕𢻹秠𡺮嚭紴披翍（披）㱟䫌圮𡉏𢁦否𠘶（否）俖㩺𢻹𡉏圮仳痞𡺮䤏殍
pʰiᶽ5	濞淠𦤢䑄㿙嚊屁䊧濞渒𠞇埤睥𣹮媲䠘紕（俗又音）髀？
miᶽ1	謎渳昧寐
miᶽ2	𪎭𦗕糜？𩞁𩞇摩縻蘼㸏醿䊳𪎕冞𢏏弥𥹄䍘𨤐擟麊彌𢑀（彌）𥎖獼㜷镾㣆鸍𥸀䥸瀰𥉓咪迷𡝡𡝠𧠠醚䤍麛𪓬謎眯棉（鄉又）
miᶽ3	骳𦗕靡蘼𡬍𪎓𨇻咪芈羋侎弭𢏱（弭）辟（莫禮切）敉葞㥝瞇濔瀰咩䦵䖹蝆𡬍米洣脒䋛蔝䱊
miᶽ5	㩢
tiᶽ1	岻低㫝奃袛䧑㓳羝隄𥿄趆堤䐎𡰖磾鍉鞮氐𢎮（氐）柢揥腣眡䬫䚣屜地（限 ~頭）埊（地）𨻐（地）埅（地）𠏂（地）嶳（地）
tiᶽ2	題？
tiᶽ3	堤邸坻抵𠥯（抵）底弤柢牴㪆軧觝詆䏄
tiᶽ5	地埊（地）𨻐（地）埅（地）𠏂（地）嶳（地）墬弟𠂖（弟）𢦢（弟）娣㼵遞䑯媞悌逮逯（逮）軑髢杕弟𠂖（弟）𢦢（弟）娣第釱𢰂棣睇遞禘摕遰慸締乄（しめ）〆（しめ）踶𧫚𧡨題𪂿鯷𥶛鷤悌鬀㣇𡱃（㣇）墆屜
tʰiᶽ1	睇梯㔸𨁃䖙𩤽𠥸鷈謕
tʰiᶽ2	隄䧑（隄）𡰄䐎𡰖詆締鼶銻䖙厗𦯔㖒提徲啼罤崹遆稊𢔭媞瑅𣖅𧋘嗁㡗䬫𣹲綈䨑褆蕛𥉘蝭䬾緹趧醍𧡨蹄䚣鴺蹏謕踶題𨪉鮷鵜騠𪂿鯷䱱鶙𥶛鷤荑桋銕鮧折禔
tʰiᶽ3	緹醍𣈡軆𩪆䪆體挮涕
tʰiᶽ5	啻达楴暜𣧂戻鬄剃洟𪖦（洟）𥫵涕屜替𢝹𡲕𧛒𣤖殢𤾕㬱䎮鬀薙地（限 落~）埊（地）𨻐（地）埅（地）𠏂（地）嶳（地）遞䠠趆柢骶𤬵帝𢂇（帝）𠫦（帝）偙𦨢𢰂蒂䟡僀腣摕䩚蔕碲諦螮啑渧𣽢蝭嚏嚔疐蝃
niᶽ1	狸瓈璃離？
niᶽ2	呢妮尼怩𢘒（怩）䛏蚭跜䝚鈮𩚯柅聻伲抳狔旎柅柂㷰攡黐离𡴥（离）漓𢟢璃樆䅻褵罹篱縭醨謧離鵹蘺𪅆灕蠡𢍝（蠡）𥯵（蠡）㰚𢥗孋䍦𪖂劙矖𧕮穲籬𧕯驪鸝𣀷麗𠧥（麗）𠀙（麗）𪋘（麗）酈䕻倈厘（釐之俗）𠩬狸𣮉喱剺𠭰筣艃孷嫠貍犛𣁟𢟤𩭇釐𨤺（釐）斄㾖氂梩刕梨棃犂蜊蔾蟍𠠍䴻𢤂鯬鑗秜泥屔埿兒𠒆（兒）𠆵郳倪猊婗棿㪒䘽蜺輗貎觬霓鯢麑齯𣕁犁犂筣盠蔾𨛫黎𥠖㦒𨿯𦃇謧藜邌𤛿鯬𥌛黧廲𩧋驪莉瓈佴（氏也）櫚
niᶽ3	悝李杍里𨛋俚哩浬娌理㾖裡裏鋰鯉㸚峛邐薾檷禰瀰嬭𡇲（嬭）坭昵苨䛏𦰫𩋪䦵鑈𩍦𩯨㪒䘽觬掜晲堄婗盠蠡𢍝（蠡）𥯵（蠡）劙鱺礼豊澧禮𠃞𤔑𥴡醴欐𣀷鱧欚𦫈𩽵離
niᶽ5	䣵膩𦡸䁊琍𥝢利𥝤俐莅猁涖痢蒞䇐䬆鬁䚕𢟤哩吏離荔珕詈𥶾㿛例砅𢂥栵㾐厲勵巁癘濿𢤆櫔蠇犡禲礪蠣糲𩧃洌䅀𥟜（䅀）䮋鮤𥣭𧸱𢤇泥埿䛏迡濘霓堄睨𧡎甈盻𢏗離𠠫劙㸚欐丽沴戾𤡵（戾）盭（戾）荔珕栛㑦涖䓞唳悷蜧綟隷𣛒隸𩘡麗𠧥（麗）𠀙（麗）𪋘（麗）𤃀𣟌𥃏儷䕻𥶾㿛䚕𧢮捩蜦
ʔiᶽ1	㿄噫+𢤏（噫）+毉醫譩犄猗欹㾨禕戲漪檹𩕲椅旖陭衤衣依䧇㛄郼㥋銥譩繶㐆伊𦯴（伊）𠈽（伊）咿𧉅蛜黟黝矣𠤘（矣）
ʔiᶽ2	拸袲鉹它佗蛇施𢒃𠇜𠤒箷詑虵𣣢歋匜也（匜）杝䄬衪𠩗𤝻迻拪（迻）栘扅移柂椸暆𠗺搋㥴䔟𥠥䬁熪螔𠐀簃謻迆迤酏眱𥄿（眱）𥅣（眱）𡰥珆鴺洟𪖦（洟）羨夷䧅荑峓𢓡恞𡱐姨桋胰痍蛦羠跠鮧彞彝𦇚（彝）𢇏（彝）𧤋（彝）鏔𣟗㰘寅𦦚（寅）𡓵（寅）㝙（寅）𢁐（寅）𡩪（寅）蔩遺𨗮（遺）𨖽（遺）𨗭（遺）姬㚦（姬）𦣝洍台圯沶怡瓵巸戺𣢮眙宧弬㺿㼢𣐵𦚟貽䬮詒媐飴𩛛頤𩠞𩠢䱌鏔异姬
ʔiᶽ3	僾㥋庡扆偯靉奇猗倚旖輢猗譩醷㰻矣𠤘（矣）𦮸肔孈匜也（匜）衪㥴扡迆迤崺酏雉巳已以㠯苡笖佁攺𢻰苢綺（墟彼切 墟里切 語綺切）尾𡱕（尾）𡱓（尾）𡲵（尾）㞑
ʔiᶽ5	衣倚輢陭猗𠃸䵝意鐿鷾欭亄㙪撎饐䬥（饐）懿鷧㱲螠縊隶𥿫㣇𡱃（㣇）貤殔肄勩㡼食𩚃（食）餐（食）巳敡已异異𢄖（異）䔬廙潩㒾伿易貤㑥施𢒃𠇜𠤒移翼（！又）
tɕiᶽ1	丌姬㚦（姬）基𡉝（基）稘䇫箕𠀠（箕）𠴩（箕）䇧（箕）𦋊（箕）𥫶（箕）𠷛（箕）𠔋（箕）𥫚（箕）𠔛（箕）𡿸（箕）錤諅𧥽（諅）居㞐（居）㝒（居）朞𣍡（朞）𥟝（朞）𣇳（朞）期（同朞）𣅆（期）𠔸（期）諆其亓（其）萁𦬟（萁）姬机肌飢虮刏刉𣱞𣱚僟𦺬嘰璣機禨𧗇磯䟇譏鐖饑𩜆（饑）𩚮（饑）鞿幾𢆻（幾）𢆼（幾）榿蘄攲躸羇羈䩭（羈）掎妓㱦奇倚竒𧆌䂑齊隮賷櫅䪡躋𢁃（躋）䠁（躋）𤼥（躋）齎𩐒齏𧅱擠齌𨥳𢥎麡啙卟𥝌乩枅笄𠚙（笄）㮷稽𩠜（稽）䭫𨪴雞鷄䗗墼檵敧祭蜝蜞
tɕiᶽ2	吱？
tɕiᶽ3	庋剞攲踦掎㞆㱦机几䢳㞦𤜝㞛麂𪊨䂹己𢀒（己）𠮯妀紀幾𢆻（幾）𢆼（幾）穖蟣𩴆枳䍤癠𤸾（癠）夘㧗擠
tɕiᶽ5	翨馶溉漑機禨旡𠘸（旡）𣢆既旣蔇暨曁𦤌（曁）𠕨（曁）洎兾穊冀覬懻𩥉驥蘎（驥）記徛寄䐀其伎技妓徛䗁錡跽畁忌坖（忌）梞惎𢗏（惎）𥭜䋟誋諅𧥽（諅）鵋鱀𢍁帺𨙬𧳙幾𢆻（幾）𢆼（幾）䤒芰茤（芰）𦼽（芰）䛋䝸鬾騎輢汥㧘垍洎臮塈墍𡉙（墍）𡍳（墍）暨𣽍鱀曁𦤌（曁）𠕨（曁）季𡥞（季）𡦠（季）𩐄（季）𩐖（季）祭際穄穧鰶𩯰𩯷㦣彐彑𣯅罽蘮瀱𦇧訐狾猘𤝼（猘）偈隮躋𢁃（躋）䠁（躋）𤼥（躋）擠䶓濟（子禮切 子計切）泲（濟）㴉（濟）穧霽䰏𩶆癠𤸾（癠）鱭薺啙粢齍劑𠜸（劑）齌穧癠𤸾（癠）𨣧𪊆䶩嚌𠴧（嚌）齊亝（齊）懠轚計𨜒㲅+髻薊檕檵+繫繼蘻係紀屐左㡭氣（去旣切）
tɕʰiᶽ1	攲踦觭䗁㩻㥓㱦𤘌𦖊榿崎碕䫥娸欺僛䫏魌𠐾𪅾𪀩䶞𪗞（䶞）抾期𣅆（期）𠔸（期）齌妻𡜌（妻）𡜈（妻）郪凄萋淒悽緀霋鶈檕𤳤嵠溪磎螇谿鸂奚蹊棲栖
tɕʰiᶽ2	畁錤期𣅆（期）𠔸（期）亓其丌（其）𢍁𢃛萁𦬟（萁）淇琪棊棋祺𥘕（祺）碁綦𥾟（綦）䑴旗綨璂𧯯踑䟚（踑）禥藄𦪆𤪌騏䭼（騏）䭶（騏）櫀䳢蘄鯕麒䶞𪗞（䶞）翄伎𨙸芪岐𨙾（岐）㟚（岐）𡵨忯歧祇蚔支（翹移切 令~）𠦙（支）𢺶（支）𦭲𠁭疧蚑䉻𨱜䞚軝跂𩉬𢻚䲬示⺬礻𥘅（示）汥衹馶刏𣱚（刏）刉㙨畿𦠄幾𢆻（幾）𢆼（幾）蟣圻岓祈蚚旂崎碕頎𩴆𧰙玂𪙧俟弜鵸𢺷奇竒㩽琦碕鬾騎錡埼癠𤸾（癠）𨥦𨥳齊亝（齊）䶒懠臍蠐濟（前西切）泲（濟）㴉（濟）𪗍麡畸𨵤茨耆鬐䅲螧愭鰭祁鮨䱈（鮨）
tɕʰiᶽ3	觭㥓䞚碕婍㾨跂邔芑屺玘杞起𨑓（起）𡆡（起）𨑔（起）豈䔇亟䀈唭玼泚皉緀敧崎卟稽𩠜（稽）䭫启啟啓棨䏿晵䡔㒅綮䭬闙
tɕʰiᶽ5	掎㞆䀈气汽炁盵氣𣱛蚑跂企𠈮（企）𢺵𨑤吱弃㞓夡棄𢍞（棄）𨓋（棄）甭蟿器𡄛（器）揭愒𡳅甈䔾憩摖妻𡜌（妻）𡜈（妻）砌䀙𦕀𥉻䏅去（舊音）亟恝䏿契栔䁈𦩣𡢖𢢞䫔蟿罊屜
ɕiᶽ1	些㶼𣢑娭毐（娭）𠩺煕焈（煕）熙僖誒嘻嬉熹瞦譆歖禧釐媐忾屎𣢂䐅咦詑焁希𠬹（希）俙莃浠悕桸晞欷烯睎稀𧻶豨鵗桸焁䖒羲𢨛隵㚀𢹍曦巇𢋼犧㺣𤃪𣤴𧕆戲䚙羛卤栖𨵤嘶㽄𠧪西㢴（西）𠧧屖硒舾粞犀𠞂㾷㯕樨𤺊𧬊㡗忚䒊橀𦫬醯畦兮圾（俗字 近世，乖音 非）
ɕiᶽ5？	胿嵆嵇𡗞傒徯㜎榽螇豯貕鼷郋蒵騱𪓷
ɕiᶽ3	俙唏狶豨𪖥霼喜憘（喜）𢐭（喜）歖（喜）㐂憙蟢囍𪖪洒洗史（諱 姓氏用此音）㕜（史）蹝
ɕiᶽ5	𢟪摡塈墍𡉙（墍）𡍳（墍）䀈愾鎎氣𣱛唏欷忥犔熂䊠黖䮎𧱲餼霼䊠㕧呬侐𤡬䨳屓齂嬉憙戲嚱栖𣳦細𥿳殢㰥忚㚛𡘐瘛𦃟繫妎蒵系盻𦝜慀禊稧䐼㨙䦏喜（好也）+憘（喜）+𢐭（喜）+歖（喜）+匸攜
ʔiᶽ1	𦎣䚷㙠嫛䃜繄𧫦黟黳𣕁翳鷖倚崎食
ʔiᶽ2	溰沂听𠲻崖涯𧭖義（魚羈切）議（魚羈切）𧧼（同議之魚羈切）誼（同議之魚羈切）宐宜𡪀（宜）𡨆（宜）㝖𠣨儀䣡𥫃𥪺鸃䴊轙狋疑𦬦（疑）嶷觺施𢒃（施）𠇜（施）𠤒（施）
ʔiᶽ3	疑譺孴㘈（偶起切）擬懝薿𥣖儗蛾䰙螘㠖嶬錡檥礒艤轙齮羛螘顗𪕔䚷𠯋裏（鄉又）依
ʔiᶽ5	億䖁憶薏𦺳（薏）蟻譺豙儗㘈㽈䰯顡𢖫豙毅藙䉨𧅙𥫃竩義𧧼誼𩈭𧭖議劓艾乂刈𠛄（刈）㲼㣻䖊𩾘䢃㦣埶蓺槸褹藝秇（藝）䆿囈㓷䔽餲𦝲瘞𨻏（瘞）䋵㛳𦒎丿泄洩𤵺曳曵抴𠂆呭枻㑜㹭𢘽𤤺𢂼袣䄿跇䇩詍䎈裔𧘉（裔）𧘊（裔）靾勩㵩䕍㵝𪀕羿詣栺𦐧医㙠繄枍殹㝣㥷嫕𢟇㙪瞖殪𣨑（殪）𣩉（殪）曀縊翳豷𧬇蘙
ʔiᶽ0	易（限 羊益切 交~ 猶言事 交換之交易入聲）
nyᶽ1	□（以鈍器割）
nyᶽ2	蒘帤挐𣭠袽𣖹璷蘆㠠廬臚䰕閭䕡𤁵𢣻䥨藘𥶆驢䮉櫖爈瞜婁𡜰（婁）𡇔（婁）𡝨（婁）𡝤䣚蔞㺏慺𢡌（慺）膢䝏䱾摟㟺瘻鏤鹿氀𤗬鷜魚（限 木~）𤉯（魚 限 木~）
nyᶽ3	𡳐履（𡳐之譌）𡲟（履）𩕎（履）女𠨰（女）籹釹吕呂郘侣侶𢈚梠㭚旅𣥏（旅）𣃨（旅）魯（旅）𣥐（旅）祣絽鋁（新）膂𥰠儢穭僂𨻻蔞慺𢡌（慺）謱嶁漊簍𦳭㜢𪈜
nyᶽ5	女𠨰（女）絮𦊼慮勴𡾅濾櫖𩥆𥶌鑢鋁䥨𠣊𡀿
tɕyᶽ1	苴沮且𠀇（且）𠀃（且）蛆車𠦴（車）凥居㞐（居）㝒（居）𦱅崌涺𡨢琚椐腒裾蜛䝻鶋据㖩𡸨娵陬掫諏嗺俱岣拘捄枸眗痀跔𥇛駒𨞜鮈㪺仇䀠𥗫俥（くるま）懼
tɕyᶽ3	苴咀䃊？柜䢹去弆莒𧺹筥舉𥴧櫸𠢈枸椇䅓蒟聥踽𦐛萭楀
tɕyᶽ5	沮怚𧽟咀沮怚袓跙椐倨+豦踞𧣻據据（居御切 手病也 又通據）鋸澽䱟鐻渠（其據切 臼許切）巨𢀑（巨）㠪（巨）𠫕（巨）拒苣岠歫炬𦊐秬粔距𧣒詎鉅矩榘虡𧇆（虡）駏𧇽䶙鐻𦼫詎勮遽澽醵緅足疋（足）𤴕（足）聚鄹埾聚蒟句拘邭䀠𥉁䈮屨怐絇瞿窶𧂜貗具埧犋颶懼愳（懼）𢡔（懼）臞
tɕʰyᶽ1	椐去阹䒧㭕胠祛袪𥬔𢴮㠊魼圩虚趍騶趨取鯫嘔䢸苴狙砠疽雎𣻐沮坥趄伹䏣蛆𡳆蒩岨摳區䧢嶇敺軀驅鰸
tɕʰyᶽ2	余䣄俆徐蒣䍱邪腒𥴧豦懅醵鐻渠淭蕖璖𨞙𦼫磲螶𧝔璩㯫蟝𦄽䝣䆽蘧𠙢（蘧）䟊𨎶籧𪆫蚼眗句拘劬枸朐斪𠣪𡱺翑絇䞤葋軥鴝𪁖（鴝）𩿩（鴝）𩢳翵瞿𪓞鼩蘧𠙢（蘧）忂灈欋戵氍𥃔臞𥗫癯蠷衢𧾱躣蠼鑺鸜姁䧁
tɕʰyᶽ3	𥅗弆𧉧去+（羌擧切）麮𥿇取娶踽竘齲曲（顆羽切）
tɕʰyᶽ5	坥蜡䏣刞䁦覷覰䒧胠去？祛呿㰦㧁𩿟麮鼁趨趣𤛐驅敺（驅）
ɕyᶽ1	胥𦙃（胥）揟㥠楈稰蝑䈝諝䱬湑藇虚虛𣦄歔噓𥛳魖驉𪋯娶繻緰須需𩂉（需）蕦𢄼嬃𥪥𩓣鬚鑐隃荂𥈸虖𠌶吁𠮲（吁）𢖳旴盱𥃳㽳姁欨㰭嘔訏𧙆𥈈𣚏𦀒扜䣿雩䩒于墟綏夊（綏）
ɕyᶽ3	㥠楈稰諝𥚩糈醑湑許鄦𦄼䅡𠳲咻姁欨䧁珝栩冔𦀒詡喣煦祤數繏
ɕyᶽ5	胥𦙃（胥）彗蔧𥝩遺㒸遂𨒉（遂）𨔱（遂）𨓸（遂）𨔲（遂）𣔾隧𨽡（隧）𦼯澻𤎩𦂁璲檖燧𤑾（燧）穗穟䉌襚旞䡵鐆鐩𩏚𤓫𨎥絮抒序𡱣敘漵緒𥎗𨣦鱮藇嶼𡲁嘘噓尠姁呴昫+酗煦𧏺+續（辭屢切 續靷也）賡（辭屢切 續）壻婿
ʔyᶽ1	蓲䙔迂扜㝼陓虶紆䨕䣿䩽䩒芋（又音）唹淤箊扵唹（囎唹（そお）は鹿兒島縣の地名）
ʔyᶽ2	齵禺娛𨜖隅堣嵎湡虞𠈌（虞）吳（虞）愚㷒𧍪澞鍝髃𪃍鰅𩦢鸆䴁𠌶迂䣿于亏亐邘汙汚（汙）玗杅盂竽𧘘䢓𦏴𦱃雩釪䩒骬謣芋鄃䩱舀𦥝㤤㻀㬰𤜹臾兪茰俞𦚤萸𥑷㳛㥚隃𤧙堬揄楰崳𢔢逾㢏（逾）腴渝愉婾媮瑜楡榆𥔢牏㼶歈𣤏（歈）䛕𦺮𥯮窬褕蕍蝓諛羭䜽踰覦𢋅𨵦螸騟𧃠萮瘐瘉豫𠄛（豫）䱷衙魚𤉯（魚）䰻䁩𩺰𩼪鋙齬衙漁吾𠮣蜍擧鵌伃余除妤𤰩舁𦥠（舁）狳畬艅雓餘㺞嬩璵輿歟旟𧾚𤄕㶛𩦡予與𢌱（與）𦦲（與）𠔔（與）藇㦛𢗓（㦛）譽鸒𪋮愈（容朱切）癒瘉圍（限 又 ~巾）囗（圍）眙（限 又 盱~）？如於𣱏（於）𤕘（於）邪語吁舒
