#参考资料	《东至县志》																																		
#调值	[1]¹¹ [2]²⁴ [3]³⁵ [5]⁴¹ [7]⁵⁵																																		
#ɿ																																			
Ø	[1]央殃秧鞍[2]杨阳洋扬疡佯羊[3]养氧痒[1]样漾恙																																		
#yɑŋ																																			
tɕ	[1]装庄妆桩[5]壮																																		
tɕʰ	[1]窗疮[2]床[3]闯[5]创[1]撞幢																																		
ɕ	[1]双霜孀孺[3]爽																																		
#uɑŋ																																			
k	[1]光肤咣[3]广犷[5]逛																																		
kʰ	[1]框眶讴筐匡[2]狂[3]□{惹}[5]矿旷况																																		
x	[1]慌荒[2]黄皇煌蝗磺蝗横簧[3]幌谎恍[5]晃{闲晃}[1]幌																																		
Ø	[1]汪[2]王亡[3]网枉往[1]妄忘旺望																																		
#ioŋ																																			
tɕ	[3]炯迥窘																																		
tɕʰ	[2]穷琼弯																																		
ɕ	[1]凶兄胸匈汹[2]熊雄																																		
Ø	[1]拥庸雍佣臃雍[3]勇永咏泳蛹俑甬踊[1]用佣																																		
#uoŋ																																			
Ø	[1]翁嗡[5]瓮																																		
#n̩																																			
Ø	[3]你																																		
#yn																																			
tɕ	[1]军均君菌均腌谆[3]准[5]郡俊峻竣骏浚																																		
tɕʰ	[1]春[2]唇裙群醇鹤淳[3]蠢																																		
ɕ	[1]勋熏薰[2]询纯旬循巡荀[5]舜瞬训迅汛驯[1]殉顺																																		
Ø	[1]晕[2]匀云芸耘[3]允永陨[5]润韵[1]熨蕴酝运孕																																		
#m̩																																			
Ø	[3]姆																																		
