ID	声	韵	调	字	注释	声母序	韵母序	带注释的字	韵母
202	b	i	6	俾		3	2	俾	#i
203	b	i	6	被		3	2	被	#i
204	b	i	6	吠		3	2	吠	#i
4597	b	i	6	□	脚在地上蹭几下以抖掉鞋上的泥沙、尘土	3	2	□{脚在地上蹭几下以抖掉鞋上的泥沙、尘土}	#i
205	b	i	8	鼻		3	2	鼻	#i
206	b	i	8	弼		3	2	弼	#i
4598	b	i	8	□	追赶，跑	3	2	□{追赶，跑}	#i
208	m	i	1	咪		4	2	咪	#i
209	m	i	1	搣	指尖捻搓瀰(喝)一小口	4	2	搣{指尖捻搓瀰(喝)一小口}	#i
210	m	i	2	迷		4	2	迷	#i
211	m	i	2	谜		4	2	谜	#i
212	m	i	2	眉		4	2	眉	#i
213	m	i	2	楣		4	2	楣	#i
214	m	i	2	糜		4	2	糜	#i
215	m	i	2	弥		4	2	弥	#i
216	m	i	2	媚		4	2	媚	#i
217	m	i	4	米		4	2	米	#i
218	m	i	4	美		4	2	美	#i
219	m	i	4	靡		4	2	靡	#i
220	m	i	4	觅		4	2	觅	#i
221	m	i	5	尾		4	2	尾	#i
222	m	i	5	物	物～：东西	4	2	物{物～：东西}	#i
223	m	i	6	味		4	2	味	#i
224	m	i	6	媚		4	2	媚	#i
225	m	i	6	寐		4	2	寐	#i
226	m	i	6	未	还～	4	2	未{还～}	#i
227	m	i	8	密		4	2	密	#i
228	m	i	8	蜜		4	2	蜜	#i
229	m	i	8	觅		4	2	觅	#i
230	f	i	1	飞		5	2	飞	#i
231	f	i	1	非		5	2	非	#i
232	f	i	1	妃		5	2	妃	#i
233	f	i	1	榧		5	2	榧	#i
234	f	i	1	翡		5	2	翡	#i
235	f	i	3	匪		5	2	匪	#i
236	f	i	3	榧		5	2	榧	#i
237	f	i	5	废		5	2	废	#i
238	f	i	5	费		5	2	费	#i
239	f	i	5	痱		5	2	痱	#i
240	f	i	5	肺		5	2	肺	#i
241	f	i	5	吠		5	2	吠	#i
242	f	i	5	疿		5	2	疿	#i
243	v	i	1	微		6	2	微	#i
244	v	i	1	薇		6	2	薇	#i
245	v	i	1	肥	文	6	2	肥{文}	#i
246	v	i	2	微		6	2	微	#i
247	v	i	4	未	～来	6	2	未{～来}	#i
248	t	i	1	低		7	2	低	#i
249	t	i	1	滴	量词	7	2	滴{量词}	#i
250	t	i	1	爹		7	2	爹	#i
251	t	i	3	底		7	2	底	#i
252	t	i	3	抵		7	2	抵	#i
253	t	i	5	帝		7	2	帝	#i
254	t	i	5	蒂		7	2	蒂	#i
255	t	i	5	渧	滴水	7	2	渧{滴水}	#i
256	t	i	5	滴		7	2	滴	#i
257	t	i	7	嫡		7	2	嫡	#i
258	t	i	7	的	目～	7	2	的{目～}	#i
4600	t	i	7	□	指尖掐住皮肉	7	2	□{指尖掐住皮肉}	#i
260	tʰ	i	1	梯		8	2	梯	#i
261	tʰ	i	3	体		8	2	体	#i
262	tʰ	i	3	替		8	2	替	#i
4601	tʰ	i	3	□	垫	8	2	□{垫}	#i
264	tʰ	i	5	涕		8	2	涕	#i
265	tʰ	i	5	剃		8	2	剃	#i
266	tʰ	i	5	屉		8	2	屉	#i
267	tʰ	i	5	替		8	2	替	#i
268	tʰ	i	7	踢		8	2	踢	#i
269	tʰ	i	7	剔		8	2	剔	#i
270	d	i	2	题		9	2	题	#i
271	d	i	2	提		9	2	提	#i
272	d	i	2	堤		9	2	堤	#i
273	d	i	2	啼		9	2	啼	#i
274	d	i	2	蹄		9	2	蹄	#i
275	d	i	4	弟		9	2	弟	#i
276	d	i	4	第		9	2	第	#i
277	d	i	6	笫		9	2	笫	#i
278	d	i	6	递		9	2	递	#i
279	d	i	6	地		9	2	地	#i
280	d	i	8	笛		9	2	笛	#i
281	d	i	8	狄		9	2	狄	#i
282	d	i	8	敌		9	2	敌	#i
283	d	i	8	迪		9	2	迪	#i
284	d	i	8	涤		9	2	涤	#i
285	l	i	2	黎		11	2	黎	#i
286	l	i	2	犁		11	2	犁	#i
287	l	i	2	离		11	2	离	#i
288	l	i	2	璃		11	2	璃	#i
289	l	i	2	厘		11	2	厘	#i
290	l	i	2	梨	词组	11	2	梨{词组}	#i
291	l	i	2	来	白	11	2	来{白}	#i
292	l	i	2	狸		11	2	狸	#i
293	l	i	2	篙		11	2	篙	#i
294	l	i	2	荔		11	2	荔	#i
295	l	i	4	李		11	2	李	#i
296	l	i	4	里		11	2	里	#i
297	l	i	4	理		11	2	理	#i
298	l	i	4	礼		11	2	礼	#i
299	l	i	4	浬		11	2	浬	#i
300	l	i	4	鲤		11	2	鲤	#i
301	l	i	6	厉		11	2	厉	#i
302	l	i	6	励		11	2	励	#i
303	l	i	6	丽		11	2	丽	#i
304	l	i	6	荔		11	2	荔	#i
305	l	i	6	利		11	2	利	#i
306	l	i	6	娴		11	2	娴	#i
307	l	i	6	隶		11	2	隶	#i
308	l	i	6	泪	白	11	2	泪{白}	#i
309	l	i	6	痢		11	2	痢	#i
310	l	i	6	吏		11	2	吏	#i
311	l	i	8	立		11	2	立	#i
312	l	i	8	笠		11	2	笠	#i
313	l	i	8	粟		11	2	粟	#i
314	l	i	8	律		11	2	律	#i
315	l	i	8	力		11	2	力	#i
316	l	i	8	历		11	2	历	#i
318	l	i	8	粒	文	11	2	粒{文}	#i
319	l	i	8	率	效～	11	2	率{效～}	#i
320	l	i	8	栗		11	2	栗	#i
4602	l	i	8	□	指示代词	11	2	□{指示代词}	#i
4603	l	i	8	□	经受，堪梨单字	11	2	□{经受，堪梨单字}	#i
321	s	i	1	西		15	2	西	#i
322	s	i	1	赊		15	2	赊	#i
323	s	i	1	些		15	2	些	#i
324	s	i	1	奢		15	2	奢	#i
325	s	i	1	犀		15	2	犀	#i
326	s	i	3	写		15	2	写	#i
327	s	i	3	舍		15	2	舍	#i
328	s	i	3	洗		15	2	洗	#i
329	s	i	3	髓		15	2	髓	#i
330	s	i	3	徙		15	2	徙	#i
331	s	i	3	玺		15	2	玺	#i
332	s	i	5	泻		15	2	泻	#i
333	s	i	5	絮		15	2	絮	#i
334	s	i	5	细		15	2	细	#i
335	s	i	5	婿		15	2	婿	#i
336	s	i	5	世		15	2	世	#i
337	s	i	5	赦		15	2	赦	#i
338	s	i	5	势		15	2	势	#i
339	s	i	5	泄		15	2	泄	#i
340	s	i	5	髓		15	2	髓	#i
341	s	i	7	悉		15	2	悉	#i
342	s	i	7	息		15	2	息	#i
343	s	i	7	熄		15	2	熄	#i
344	s	i	7	识		15	2	识	#i
345	s	i	7	式		15	2	式	#i
346	s	i	7	饰		15	2	饰	#i
347	s	i	7	昔		15	2	昔	#i
348	s	i	7	惜		15	2	惜	#i
349	s	i	7	适		15	2	适	#i
350	s	i	7	析		15	2	析	#i
351	s	i	7	锡		15	2	锡	#i
352	s	i	7	释		15	2	释	#i
353	s	i	7	媳		15	2	媳	#i
354	z	i	2	斜		16	2	斜	#i
355	z	i	2	蛇		16	2	蛇	#i
356	z	i	2	徐		16	2	徐	#i
357	z	i	2	齐		16	2	齐	#i
358	z	i	2	邪		16	2	邪	#i
359	z	i	2	除		16	2	除	#i
360	z	i	2	匙		16	2	匙	#i
361	z	i	2	荠		16	2	荠	#i
362	z	i	2	脐		16	2	脐	#i
363	z	i	4	社		16	2	社	#i
364	z	i	4	籍		16	2	籍	#i
365	z	i	4	藉		16	2	藉	#i
366	z	i	6	射		16	2	射	#i
367	z	i	6	谢		16	2	谢	#i
368	z	i	6	麝		16	2	麝	#i
369	z	i	6	逝		16	2	逝	#i
370	z	i	6	誓		16	2	誓	#i
371	z	i	6	剂		16	2	剂	#i
372	z	i	8	席		16	2	席	#i
373	z	i	8	食		16	2	食	#i
374	z	i	8	石		16	2	石	#i
375	z	i	8	蚀		16	2	蚀	#i
376	z	i	8	夕		16	2	夕	#i
377	z	i	8	脐		16	2	脐	#i
378	z	i	8	寂		16	2	寂	#i
380	z	i	8	佘		16	2	佘	#i
