来源	《安徽巢湖方言同音字汇》，“胖丁”整理修改
j	②姨{阿~}宜{便~}
	#ɤuᵝ
p	③补捕⑤布埠{蚌~}部步簿佈怖
pʰ	①铺潽｛借字丨水溢出也丨借字｝豧｛~氣｝②菩浮｛~泅｝葡蒲③脯谱溥普蹼哺甫⑤铺埠訃
f	①夫敷麸孵②俘符扶袱芙浮③肤府腑俯斧腐辅阜⑤付傅赴父附富副妇负傅
ʔ	①梧乌污巫诬呜②吴芜吾蜈无③五伍武捂午焐舞侮鵡仵忤｛~逆｝⑤误悟务雾焐惡｛厭~｝戊晤
n	②廬｛文讀丨~劇｝盧爐蘆奴鱸艫③鲁卤櫓弩虏⑤怒路露潞璐賂
ts	①租③祖组阻诅俎⑤助
tsʰ	①粗③楚础⑤醋悇｛憂也｝
s	①疏｛「踈」俗字｝踈｛俗字「疏」｝蔬｛菜~｝蘇甦酥③楚{清~}⑤数{~学}塑漱诉素嗉遡｛俗字「溯」｝溯
tʂ	①都｛~市｝猪诸蛛株朱珠③煮主嘱渚肚堵睹赌⑤柱驻住注蛀铸著｛~書｝度渡杜箸
tʂʰ	①攄｛抒也丨予也丨通「捈」｝捈｛通「攄」｝姝②图徒涂蜍途屠除厨殊橱荼③褚處｛相~｝杵暑鼠拄署薯黍吐杜｛~狗｝⑤處｛~理｝吐兔
ʂ	①书舒抒输③曙⑤恕竖树墅署庶
ɻ	②如茹濡儒孺蠕③汝乳
k	①沽辜姑菇咕酤孤③估牯古鼓賈｛商~｝蠱股⑤固故雇顧錮棝崮僱
kʰ	①箍｛打~｝枯骷②糊{焦~}③苦⑤裤
x	①乎呼烀｛俗字丨烹也｝②湖糊狐壶葫弧胡湖③虎浒戽｛潑灑｝琥⑤户互護瓠扈滬
	#ʮ
ȵd	②廬｛白讀｝驢③女簍吕膂旅侣屢鋁縷褸⑤虑滤
ts	①車｛~馬炮｝居琚跔駒拘③举莒矩蒟櫸苣⑤句巨拒距劇據鋸踞懼颶聚俱具
tsʰ	①区驱蛆躯胥趋②瘸茄渠瞿衢徐｛姓｝③取娶⑤趣祛序去｛文讀｝覷
s	①需须嘘墟虚靴③许数{~数}⑤序絮绪煦敘酗
z	①於瘀淤②鱼余于與｛介詞｝予愉榆虞愚娱③雨语羽宇⑤誉御玉芋遇豫喻预與｛參~｝愈
	#o
p	①波菠坡玻播｛文讀：~放｝③跛簸｛動詞｝⑤簸｛~箕｝播｛~籽｝
pʰ	①坡②婆③颇⑤破
m	①摸｛~秋｝②魔磨膜｛又｝模摹馍蘑摩谋③某｛又｝母｛文讀｝牡｛文讀｝亩｛文讀｝姥拇｛文讀｝⑤磨墓幕
t	①多③躲朵⑤舵剁跺垛惰
tʰ	①拖②驼驮坨沱陀③妥椭⑤唾
l	①啰｛~嗦｝②箩萝罗螺锣骡挪娜哪{~吒}③裸⑤糯懦摞
ts	③左佐⑤坐座做柞
tsʰ	①飵｛相謁而食也｝搓磋初②矬昨锄⑤错措挫
s	①梳蓑｛~衣｝梭唆挱｛~開丨同挲｝挲｛~開丨同挱｝③鎖瑣所⑤潲{~雨}
k	①哥锅歌渦｛地名丨~陽｝戈过｛單用丨逾越也｝③果粿猓裹哿舸⑤过｛過分｝个個箇
kʰ	①棵科窠颗珂軻蝌稞柯③可⑤課嗑｛又音丨~瓜子｝
x	①呵②禾何河和荷｛~花｝龢③火伙夥⑤荷｛負~｝和｛附~｝禍賀貨
ŋ	③我⑤饿
	#ʷo
ʔ	①屙窝涡莴蜗渦｛旋~｝阿｛~膠｝②鹅俄蛾讹｛差也，誤也｝⑤卧
	#a
p	①巴芭疤扒趴笆粑{餅也}③把靶㞎｛俗字丨人穢｝⑤霸壩垻叭罷杷｛田具丨俗寫「䎱」｝爸｛俗字丨今用｝
pʰ	①爬葩②扒{~竊手}爬⑤怕
m	①蟆妈马②麻③马码蚂玛⑤骂
t	①爹｛父背稱｝③打⑤大
tʰ	①他她它
l	①啦拉垃②拿拏｛俗字「拿」｝摣｛俗字「拿」｝③哪喇⑤娜那{~么}
s	③洒
tʂ	①渣查｛姓｝楂碴拃｛一~丨手開之長也｝挓｛開也｝③鲊｛~肉｝⑤醡榨咤乍詐灹｛爆~丨俗寫「炸」｝炸｛「灹」俗字｝
tʂʰ	①差｛~錢｝叉杈□｛行難貌｝蹅｛借字丨踐也｝②茶塗｛又音｝茬查｛檢~｝⑤衩差杈䟕｛俗字「岔」｝岔｛「䟕」俗字｝衩
ʂ	①挱｛又音｝挲｛又音｝莎｛訛文讀：師加切為蟲名丨不為用也｝紗沙㸺砂鯊裟痧③傻⑤廈｛新音：大~｝□{灑落貌}
k	①家③尕｛俗字丨小也｝腉｛肉也丨《集韻》居佳切丨有疑丨俗用「朒」｝朒⑤界｛搭~｝尬
kʰ	①揢③卡□{~人：欺諞}冚｛覆也丨俗字丨本字不詳｝⑤髂{跨也丨又胯部也}跨｛訓｝
x	①哈颬｛~氣｝㰤｛氣出也｝呵｛同「㰤」丨氣出也｝罅{縫出也丨有疑}𨉣｛躬身也｝③下｛劣也｝⑤下（白讀）
ŋ	①丫{~头}②伢｛「孲」俗字丨子也｝牙孲｛俗字「伢」｝蚜③哑
ʔ	①阿{阿爷：父也}
	#ia
pʰ	③□｛謂兒童頑劣}
t	③嗲
tɕ	①加佳嘉稼枷｛~鎖｝袈③假贾｛姓｝⑤借价嫁架驾
tɕʰ	①掐{舒化丨有疑丨限于~腰}③卡{髮~}
ɕ	①虾罅{又音丨縫出也丨有疑}②霞斜（文讀）⑤下（文讀）廈夏
j	①鸦呀②芽蚜崖涯琊衙③耶雅⑤亚砑｛碾~｝
	#ua
tʂ	①摣｛俗字「抓」｝抯｛通「摣」｝抓｛「抯」俗字｝撾｛擊也又以今字抓｝③爪吒{哪~}
ʂ	③耍｛「傻」分化字丨動詞｝
k	①瓜蝸③寡剐⑤挂卦褂
kʰ	①夸誇③骻侉垮⑤跨挎胯
x	①花②华划驊⑤话化華｛姓｝画桦
	①哇蛙娲②娃｛口語不用｝③瓦｛~片｝搲⑤洼瓦{~匠}搲{~不到}
	#əi
p	①碑卑背悲杯③比⑤臂避备倍焙篦被背闭弊毙｛又音｝庇币辈贝
pʰ	①胚②陪赔裴⑤佩配
m	②媒煤黴莓眉霉｛「黴」俗字｝枚玫③美每镁⑤昧妹魅媚寐未｛白讀｝
f	①飞非菲妃②肥淝③翡匪诽⑤费废肺吠痱沸
t	①堆③抵⑤兑队碓對
tʰ	①推梯｛白讀：~子｝②頹③腿⑤退蜕
l	①㔣{~撞}②雷羸镭儡｛~同｝嫘擂｛動詞｝③累｛~計｝磊儡｛傀~｝絫壘誄耒餒蕾⑤累｛疲~｝淚擂｛~檯｝類內
ts	③嘴咀{地名}⑤最醉罪
tsʰ	①催崔摧炊{水壶}②随③璀⑤脆翠粹淬瘁
s	①虽睢荽尿②隋髓遂⑤歲碎遂隧邃穗祟
k	③给｛文讀｝
kʰ	②□{打也}
	#uəi
tʂ	①追锥椎⑤坠缀赘缒惴
tʂʰ	①炊吹②錘鎚垂陲棰搥
ʂ	②誰③水⑤睡瑞稅
ɻ	③蕊⑤睿锐芮
k	①闺规龟皈归③诡晷宄｛內~｝癸轨鬼⑤桂柜贵鳜
kʰ	①盔亏睽窥②葵奎魁逵夔馗⑤愧溃馈匮跪聵
x	①灰辉挥麾徽晖恢②茴溃｛~膿｝回蛔悔③悔毁虫｛以為「蟲」字丨非｝⑤汇烩惠會｛~晤｝諱賄慧卉繪
	①威煨②维微危桅苇围惟违为纬圩③伟韦委伪萎⑤为位喂味胃慰魏渭
	#ɛ
p	③摆⑤拜败稗
pʰ	②牌排⑤派
m	②埋霾③买⑤卖迈
f	①□｛呼痛｝
t	①懛｛俗字「呆」｝呆｛「懛」俗字丨又以為「嬯」｝③逮傣歹⑤待怠戴代贷殆岱袋带大｛~王｝汏｛淘洗｝呔｛俗字丨語氣詞丨呼人｝
tʰ	①胎台②抬臺檯苔跆薹⑤太泰态钛汰｛淘~丨分自「汏」｝
l	②来莱③乃廼嬭｛俗字「奶」｝扔｛引擢也：~草丨有疑｝奶｛「嬭」俗字｝⑤赖濑籁癞睐耐奈
ts	①灾栽哉③仔宰崽载⑤再在载
tsʰ	①猜②财材裁才纔③彩采採睬⑤菜蔡
s	①腮鳃揌｛予也，抒也｝⑤赛塞｛~外｝
tʂ	①斋遮蜘{~了丨蟬也}③赭者蔗{~糖}⑤债寨柘{地名丨柘皋}侧｛眼~｝樜｛同「柘」｝鷓
tʂʰ	①差｛出~｝钗车□{側也}②柴豺③撦扯｛「撦」俗字｝⑤虿
ʂ	①筛奢赊②蛇佘③捨⑤舍晒社射赦
k	①该街枷｛連~｝③改解（白讀）⑤介界戒盖钙丐溉芥庎{~栏丨碗橱也}
kʰ	①开揩③凯铠楷⑤慨概
x	②孩鞋③蟹海⑤害亥氦骇
ŋ	①唉挨哀埃②捱呆｛「獃」俗字｝獃｛鈍也丨必也｝③矮霭⑤爱艾暧礙
	#iɛ
ȵ	③奶｛「嬭」俗字｝嬭
tɕ	①皆阶稭⑤届诫械
ɕ	②谐⑤懈
j	①椰②癌③也冶⑤碍｛又音｝
	#uɛ
tʂ	③跩轉｛傲也丨字有疑｝⑤拽
tʂʰ	①搋③跐踩｛「跐」俗字｝揣⑤踹
ʂ	①衰摔③甩｛本字不詳｝⑤率｛俗｝帥｛將~｝蟀
k	①乖③拐踝｛骨~｝⑤怪
kʰ	③蒯⑤刽会快块筷侩
x	②淮槐怀③□{晃行貌}⑤坏
	①竵｛俗字歪丨曉蟹合二平訛為烏乖切｝歪②崴⑤外
	#ɔ
p	①包胞苞③保堡褒宝饱⑤抱报暴鲍豹爆刨菢鉋｛俗刨｝
pʰ	①泡脬抛鳔②跑齙袍⑤泡｛~飯｝炮礮皰駮
m	①猫②矛茅毛髦錨犛牦③茆鉚卯⑤貿｛文讀｝茂｛文讀｝貌帽冒
t	①刀③祷搗岛导｛又音｝倒到｛望~｝⑤到道倒｛~車｝盗稻悼導
tʰ	①韬掏弢韜饕②涛滔陶逃蹈桃萄淘③讨⑤套
l	①捞唠②牢劳挠痨③脑瑙恼老佬姥｛借字丨淮西人呼父之姊妹｝⑤涝闹淖{~泥，烂泥}腝｛同「臑」｝
ʦ	①糟遭③早澡枣藻⑤灶皂躁
ʦʰ	①操②槽曹疛｛腹不適曰~心｝漕③草⑤造燥糙㿷｛同「糙」｝
s	①骚缫搔③扫嫂⑤𢜶｛快也｝
tʂ	①朝｛今~｝招昭钊③找｛「抓」俗字｝抓｛同「找」字｝爪沼菬⑤召罩肇赵兆照著｛舒化丨應答語也｝
tʂʰ	①超抄钞焯②潮朝｛~向｝晁巢嘲③訬｛俗字「吵」｝吵｛「訬」俗字｝炒煼｛同「炒」｝⑤钞抄｛又音｝
ʂ	①烧稍梢筲{~箕}②韶绍{介~}③少｛多~｝⑤少｛年~｝邵哨
ɻ	①绕{~起来}②儿饶③而尔耳饵扰绕{缠~}⑤二绕{~路}
k	①交教高糕皋膏羔③搞攪｛白讀｝稿⑤叫{~花子}窖觉告郜
kʰ	①敲（白讀）③考烤拷⑤銬｛梏俗字｝靠犒
x	①蒿薅②嗥｛~叫｝毫豪嚎壕濠蚝③好｛~處｝⑤号耗浩昊皓好｛愛~｝
ŋ	②熬獒敖③袄咬｛「齩」訛字｝齩⑤奥懊{~悔}傲澳
	#iɔ
p	①标彪镖飙膘③表婊裱瀌⑤□{竊視也}
pʰ	①飘漂②瓢嫖③漂⑤票漂｛~亮｝
m	①喵②苗描瞄③秒渺藐淼⑤庙妙謬
t	①雕叼刁貂碉凋③鳥｛詈語丨俗字「屌」｝⑤調掉釣弔銚｛燒水~｝吊
tʰ	①挑□{湯匙}②调迢苕③挑{~釁}⑤跳眺糶｛~米丨售也｝粜｛「糶」俗字｝
ȵ	②燎疗聊撩僚潦镣③鸟袅䩍｛面白曰~｝⑤撂料廖鐐
tɕ	①浇椒骄焦郊娇胶蕉礁漅｛謂巢湖也｝③狡搅剿皎缴饺绞⑤校{學~}较轿噍｛咀嚼也｝叫教｛宗~｝
tɕʰ	①锹鍫｛俗字「鍬」｝蹺｛~腿｝②桥侨瞧樵谯荞乔③巧悄⑤撬窍翘俏
ɕ	①萧肖｛姓丨出自「蕭」｝潇消宵硝销消嚣逍澆｛「枵」本字丨薄也｝枵｛薄也丨本字「澆」｝②淆③小晓⑤酵笑孝效校笑哮啸肖
j	①腰邀妖腰要｛~求｝约{稱~}②摇瑶尧瑶窯谣窑｛「窯」俗字｝姚尧遥夭③舀杳⑤要耀躍｛大~進｝
	#ɯ
pʰ	①剖
ʦ	①绉诌③走⑤奏驟皺縐
tsʰ	②愁③瞅⑤凑
s	①嗖馊艘③搜叟⑤瘦嗽｛瘶俗字｝瘶｛欬~｝
tʂ	①周州洲舟③肘帚扭⑤咒轴昼纣胄
tʂʰ	①抽②仇筹稠酬绸畴惆踌③丑｛地支｝醜⑤臭
ʂ	①收③手首守⑤兽受售寿授狩绶
ɻ	②柔揉蹂⑤肉慪漚毆
k	①沟勾篝钩③狗苟垢枸⑤媾購夠構逅訽｛~病｝彀
kʰ	①抠眍③口⑤扣寇蔻叩
x	①齁②侯喉猴③吼候｛白讀丨單用｝⑤后厚後
ŋ	①欧殴鸥区｛姓｝③呕偶熰｛緩焚也｝藕⑤怄漚
	#iɯ
m	⑤谬
t	①丢兜都③陡抖斗⑤逗豆窦鬥鬭｛聚也合也｝痘
tʰ	①偷②头投⑤透
ȵ	②楼娄②髅镂③搂篓⑤漏陋
tɕ	①灸揪{揫俗字}揫｛俗字「揪」｝纠③久酒九鸠韭⑤就救臼舅旧疚咎究柩廄蹴
tɕʰ	①蚯秋邱丘阄｛「鬮」俗字丨拈~｝鬮煪｛熏也｝②囚求球仇｛姓｝裘③□{曳也}
ɕ	①修休羞貅③朽⑤秀绣袖锈溴臭
j	①幽悠忧优②油由游邮尤犹③有友酉莠⑤右又宥佑祐侑柚幼鼬釉
	ʏ
m	⑤谬｛又音｝
t	①丢｛又音｝兜｛又音｝都｛又音｝③陡｛又音｝抖｛又音｝斗｛又音｝⑤逗｛又音｝豆｛又音｝窦｛又音｝鬥｛又音｝鬭｛又音丨聚也合也｝痘｛又音｝
tʰ	①偷｛又音｝②头｛又音｝投｛又音｝⑤透｛又音｝
ȵ	②楼｛又音｝娄｛又音｝②髅｛又音｝镂｛又音｝③搂｛又音｝篓｛又音｝⑤漏｛又音｝陋｛又音｝
tɕ	①灸｛又音｝揪{又音丨「揫」俗字}揫｛又音丨俗字「揪」｝纠｛又音｝③久｛又音｝酒｛又音｝九｛又音｝鸠｛又音｝韭｛又音｝⑤就｛又音｝救｛又音｝臼｛又音｝舅｛又音｝旧｛又音｝疚｛又音｝咎｛又音｝究｛又音｝柩｛又音｝廄｛又音｝蹴｛又音｝
tɕʰ	①蚯｛又音｝秋｛又音｝邱｛又音｝丘｛又音｝阄｛又音丨「鬮」俗字丨拈~｝鬮｛又音｝煪｛又音丨熏也｝②囚｛又音｝求｛又音｝球｛又音｝仇｛又音丨姓｝裘｛又音｝③□{又音丨曳也}
ɕ	①修｛又音｝休｛又音｝羞｛又音｝貅｛又音｝③朽｛又音｝⑤秀｛又音｝绣｛又音｝袖｛又音｝锈｛又音｝溴｛又音｝臭｛又音｝
j	①幽｛又音｝悠｛又音｝忧｛又音｝优｛又音｝②油｛又音｝由｛又音｝游｛又音｝邮｛又音｝尤｛又音｝犹｛又音｝③有｛又音｝友｛又音｝酉｛又音｝莠｛又音｝⑤右｛又音｝又｛又音｝宥｛又音｝佑｛又音｝祐｛又音｝侑｛又音｝柚｛又音｝幼｛又音｝鼬｛又音｝釉｛又音｝
	#æ̃
p	①班斑颁扳癍③版坂阪板⑤办扮
pʰ	②爿⑤瓣襻｛~倒丨俗以為絆 非｝盼
m	①慢②蛮⑤曼
f	①帆翻藩幡②矾凡烦繁樊③反返⑤畈范犯泛販梵飯
t	①丹单耽担③胆疸掸⑤但旦弹｛~珠｝担｛一~｝淡诞蛋氮
tʰ	①贪滩摊瘫坍②谈弹｛~簧｝谭潭坛昙痰檀③坦毯袒⑤歎炭碳探
l	①□{語詞}②蓝拦兰栏岚阑澜斓婪男难｛困~｝南楠腩③懒揽览缆榄⑤烂滥难｛災~｝
ʦ	①簪②㜺{好看}③攒⑤赞蘸
tsʰ	①参餐②残蚕惭馋③惨⑤灿璨粲
s	①三叁③伞散馓⑤散
tʂ	①□{切，~菜，~肉}③斩盏崭辗⑤暂站湛栈绽
tʂʰ	①搀掺②蝉禅婵潺蟾③产铲⑤忏
ʂ	①山删衫珊杉
k	①监间（白讀）乾甘肝竿柑③减（白讀）拣敢感赶杆橄秆衦｛俗字擀｝擀｛衦俗字｝⑤幹赣
kʰ	①鹐｛禽鳥啄也｝看｛~門｝堪勘龕刊铅③砍坎槛侃⑤看｛~見｝阚瞰舰｛白讀｝
x	①憨酣鼾②咸｛鹹也｝鹹闲｛閒｝閒衔寒韩含函涵邯③喊罕｛「䍐」俗字｝䍐⑤汉苋翰焊旱瀚悍捍憾撼限{~定}
ŋ	①安淹庵鞍鹌③眼⑤暗按岸案黯晏
	#iæ̃
l	③两｛數詞丨~箇｝
tɕ	①间（文讀）奸艰③减（文讀）碱简茧柬⑤涧鉴舰｛文讀｝
ɕ	②娴咸｛地名：~陽｝⑤陷
j	②颜严⑤雁
	#uæ̃
tʂ	⑤赚
ʂ	①栓闩拴⑤涮疝
k	①关鳏⑤惯贯掼
kʰ	①圈□{固執}擐②環｛白讀｝踡鬈
x	②還鬟寰嬛⑤患幻豢
	①湾弯②顽玩｛訛音丨「頑」之俗也｝③晚挽⑤万
	#ɪ̃
tʂ	①毡沾粘詹③展{~昭}⑤占战{颤也｝颤
tʂʰ	②缠禅{褒~山}
ʂ	①扇煽③闪陕⑤善扇鳝膳鳝蟮
ɻ	②然燃③染冉苒
	#iɪ̃
p	①边鞭编③贬扁匾⑤变便辩辨辫汴
pʰ	①偏篇翩③□{屁眼二字之合}⑤片骗｛諞之訛｝遍
m	②棉绵眠③免勉冕⑤面麵缅
t	①颠癫巅滇敁｛俗字「掂」｝掂｛「敁」俗字｝踮③点典碘⑤殿店电奠甸垫惦淀
tʰ	天添②田填甜恬③舔腆
ȵ	①拈②年粘黏连怜莲帘廉联涟镰③撵蹨｛俗字攆｝碾捻脸敛⑤念廿恋练炼链
tɕ	①兼坚肩煎尖搛③践捡检俭剪茧戬⑤见建贱件渐剑荐箭健键
tɕʰ	①千迁牵谦铅殲签阡扦②前钱蕁｛~麻疹｝乾潜虔钳③遣浅谴缱⑤欠纤歉倩
ɕ	①掀先{~生}②嫌③显险⑤县｛縣｝献现羡线腺縣
j	①烟焉腌阉胭嫣②言延严岩檐炎盐沿③掩淹衍⑤燕厌宴验艳焰研焱苑
	#uɪ̃
ɻ	③软
	#yɪ̃
tɕ	①娟捐绢鹃涓③卷⑤卷｛試~｝倦眷毽
tɕʰ	②全权泉拳荃痊③犬⑤劝
ɕ	①宣轩｛稱末升曰~｝喧萱暄先仙鲜籼秈｛俗字「籼」｝②玄悬旋璇漩③选癣⑤旋眩炫
j	①渊鸢鸳冤②阎元原员缘园圆源袁猿媛援③远阮⑤愿怨院
	#ɯ̃
p	①搬般⑤半伴秚｛攪物和物也丨俗作「拌」｝絆
pʰ	①潘②盘蟠磐⑤判畔叛
m	①满②馒瞒⑤鰻幔蔓謾漫曼鳗
t	①端③短断⑤断｛兩~｝段锻缎
tʰ	①湍②团摶
l	②峦銮𢺈｛使聚之｝鸾圝孪③卵暖⑤乱糯
ʦ	①鑚｛動詞｝③纂｛集聚也｝⑤攥鑽｛器也｝
ʦʰ	①竄躥｛同「竄」｝⑤篡竄躥｛同「竄」｝
s	①酸痠｛腰~｝⑤算蒜
tʂ	①专砖颛毡（白讀）沾（白讀）粘（白讀）詹（白讀）③转⑤传｛~記｝转撰篆占（白讀）
tʂʰ	①穿川②船传｛~說｝椽缠③喘⑤穿｛俗字「串」｝钏
ʂ	①扇（白讀）煽（白讀）③闪（白讀）陕（白讀）⑤善（白讀）扇（白讀）鳝（白讀）膳（白讀）鳝（白讀）蟮（白讀）
ɻ	②然燃③软染（白讀）冉苒（白讀）
	#uɯ̃
k	①官观棺冠｛衣~｝③管莞馆⑤灌罐冠｛~軍｝盥串｛今與「穿」混｝觀｛道~｝
kʰ	①宽③款
x	①欢獾②桓横③缓⑤换焕唤浣涣宦
ʔ	①豌蜿剜②完丸烷纨玩{古~}③宛碗挽婉惋⑤腕
	#ən
p	①奔③本⑤笨迸
pʰ	①烹喷怦②盆
m	②门们⑤闷母{又音}
f	①分纷芬②坟焚③粉⑤奋愤粪份忿
t	①登灯蹬蹲吨墩③等⑤邓凳瞪顿遁盾钝炖
tʰ	①吞②疼腾藤滕誊屯臀囤豚⑤褪
l	②能棱輪倫侖③冷⑤愣嫩論
ʦ	①僧曾｛姓｝憎增尊遵樽鳟争睁筝③怎⑤赠挣｛新字丨分化自「爭」｝
ʦʰ	①皴𩞦｛飽食也｝村參｛~差不齊｝邨｛俗字村｝撐｛橕俗字｝牚｛又音｝瞠②岑曾｛~經｝存層蹲｛白讀｝③忖碜｛食有砂｝墋⑤寸蹭橕｛桌~丨又可「牚」｝牚
s	①森生笙牲甥参｛人~｝③損隼省筍瘮瘆｛瘮俗字｝⑤渗
tʂ	①诊真珍针贞斟甄侦砧征正｛~月｝蒸③枕缜稹整懲枕｛~頭｝拯⑤鎮陣朕震振正｛~式｝枕｛動詞｝賑政証䟴症證鄭圳｛深~｝
tʂʰ	①伸郴稱｛~重｝②臣陈尘宸沈成城沉｛沈俗字｝諶忱乘｛~法｝诚承盛程丞橙③惩逞⑤趁稱｛~心丨俗字「秤」｝
ʂ	①身深申绅声升②辰晨神什绳③沈审婶⑤甚肾蜃圣胜盛剩
ɻ	①扔②人任仁仍③忍⑤任认刃闰
k	①跟根更｛三~天｝耕庚羹③耿梗粳骾｛喉塞物也｝⑤亘更｛~加｝
kʰ	①坑鏗③肯齦｛俗字啃｝懇墾⑤錹｛俯首也｝搇｛按捺也｝
x	①哼｛「訇」俗字｝亨訇｛俗字「哼」｝②恆衡痕蘅③很哄狠⑤恨
ŋ	①恩樱②嚚{謂孩童頑劣不馴}⑤硬
	#əŋ
p	①崩绷⑤蹦
pʰ	①抨②蓬朋彭鹏棚篷澎膨③捧⑤掽｛俗字「碰」｝碰｛「掽」俗字｝
m	①闷蒙②蒙萌謀｛白讀｝朦檬③盟蒙｛~古｝某｛白讀｝猛畝｛白讀｝母｛白讀｝拇｛白讀｝牡｛白讀｝⑤梦孟貿｛白讀｝茂｛白讀｝
f	①风丰封峰蜂锋枫疯②冯逢缝⑤凤奉缝
t	①东冬③董懂⑤动洞冻栋
tʰ	①通②同铜童桐仝潼③统桶筒酮⑤痛
l	②龙笼隆聋胧侬浓躘｛~現不便｝侬脓③陇垄拢⑤弄
ʦ	①宗踪综樅鬃棕③总⑤纵粽
ʦʰ	①聪葱匆②从丛崇重｛~複｝
s	①松鬆嵩②□｛怯弱也丨無力也丨俗字「㞞」丨本字疑為「雄」｝③耸悚⑤送頌誦宋訟
k	①公功宫攻工恭弓龚蚣③拱巩贡⑤共贡供
kʰ	①空｛~氣｝崆箜穹③孔恐⑤控空｛~位｝
x	①轰烘薨②红弘洪鸿宏泓③叿｛俗字丨本字不定｝⑤訌
	#iən
p	①斌彬宾滨缤濒兵冰槟③饼禀丙秉炳柄⑤鬓殡病并
pʰ	①拼乒娉②贫频颦嫔平凭瓶萍苹评坪③品⑤聘
m	②民明名鸣冥铭茗③敏闵吻｛~嘴｝䐇｛~合｝闽⑤命
t	①丁钉叮③鼎顶⑤定订腚
tʰ	①听厅②亭庭廷停婷霆蜓③挺艇
ȵ	①拎②您宁凝柠林临邻麟鳞磷霖琳淋陵灵凌零菱龄玲铃聆③拧凛领岭⑤赁吝蔺令另
tɕ	①今金斤津巾筋经精惊京荆旌睛茎晶鲸肫｛鸡~皮｝③锦紧仅瑾谨景井警颈⑤尽进近晋禁浸劲敬静境镜竞靖
tɕʰ	①亲侵钦②秦琴勤禽擒芹寻③寝⑤凊親｛~家｝罄慶磬沁
ɕ	①心新辛欣薪馨莘锌馅芯兴｛作~｝星腥猩惺②行形邢刑型③省醒擤{~鼻子}⑤信姓性兴幸杏
j	①音阴因殷姻茵应英莺婴鹰缨鹦瑛②银吟淫寅飲｛~湯丨米湯｝迎营盈莹萤荧萦赢楹蝇③引隐饮荫瘾蚓影颍郢颖⑤饮印应映
	#iəŋ
tɕʰ	②穷穹
ɕ	①兄凶胸②熊雄｛文讀：英~｝
j	①庸②荣容雄｛白讀：雞~｝蓉融③雍勇蛹涌拥⑤用
	#uən
tʂ	①谆中｛~間｝终忠钟衷盅③准種｛~子｝肿⑤種｛動詞｝中｛~獎｝重｛~量｝眾仲
tʂʰ	①春椿充衝②鹑重｛又音｝蟲③蠢宠⑤衝｛嚇人也｝銃
