#符号说明	-白=文*俗?待考
#调值	［1］¹³［2］⁴⁴［3］³⁵［5］¹¹
#a	
tʰ	［1］帖{请～，辞～}贴铁□{太：～然坏嘎哩}［5］碟蝶谍叠敌帖{一～药}
l	［1］猎列律历［5］捩{扭转：～转面来}
ts	［1］接节即［3］㡹{挤}［5］□{～湿：很湿}
tsʰ	［1］切戚{姓}［3］□{钹}［5］捷绝辑缉截疾{～病}
s	［1］薛泄{～肚子}屑雪袭析
tɕ	［1］劫结洁揭级给剧戟击激吸
tɕʰ	［1］怯乞［5］去及极杰胁{～古：腋下}
ȵ	［1］聂孽{造～}匿逆热{～闹}业［5］热
ɕ	［1］歇［2］协
∅︀	［1］乙亦{也：我～姓王}热{闹～}𥣘{～谷}靥{酒～凼：酒窝儿}抑?{发～：发火儿}［5］翼{～胛：翅膀}葉页
#uɛ	
∅︀	［1］物悦阅曰粤域疫役越［3］□{～脱：掰断}
#ʯɛ	
ʈʂ	［1］决诀［3］□{胳肢；因胳肢而痒：～人}［5］□{形容词前缀：～绿}
ʈʂʰ	［1］缺屈掘［3］□{～脱：掰断}［5］穴{～位}
ɳ	［5］月
#œ	
m	［2］谋［3］某牡亩［5］妹茂贸
f	［2］浮［3］否
t	［1］兜逗{逗弄，逗引：～伢妹仔}［3］斗{升～}抖□{顿：～脚}［5］戴鬥{～闹：吵嘴；不和；～榫}
tʰ	［1］胎偷投［2］台苔抬头［3］腿㪗{抻～：平整}［5］待怠态代贷袋透豆痘{水～}
l	［1］𠞭{钻，挖：～古眼；～坨浆糊；～人：①吝啬而贪婪：该只人几～仔，蚊子过身都要掐只脚，②形容饥饿感}搂{～到只腰子}［2］来娄楼喽{～啰}［3］吕屡篓［5］内{～里：里面}漏陋□{～食：鱼饵}
ts	［1］灾栽邹［3］宰走崽［5］再载{万～县}奏皱
tsʰ	［1］搊{～一把}［2］才材财裁愁［3］采彩睬［5］在菜凑
s	［1］鳃搜馊［5］瘦帅
k	［1］该勾钩沟阄{拈～}［3］改狗苟枸{～杞}［5］盖丐够构购
kʰ	［1］开抠［3］凯口□{捉蒙蒙～：捉迷藏}［5］概慨扣寇
ŋ	［1］哀欧瓯{～子：小盅}［2］呆{～板}［3］藕偶呕［5］外{～婆}碍{～上～下}爱沤怄{～气}
h	［1］齁{～病：气管炎，扯～：气短}［2］孩侯喉猴［3］海吼［5］亥害后厚候
#uœ	
∅︀	［5］外{内～}
#ɿ	
ts	［1］资姿兹滋卒［3］紫姊子［5］𥿩{麻缕：绩～}□{鸡～：鸡窝}做
tsʰ	［1］雌刺{～刀}［2］瓷糍慈磁辞词祠［3］此［5］字牸刺{倒～}巳寺次自
s	［1］司丝思斯撕私师狮厕{东～：厕所}［3］史使驶死［5］似士仕事四
#ʅ	
ʈʂ	［1］知蜘{～蛛，或为“织蛛”}支枝肢栀{～子花}之芝𧌔{～虎仔：壁虎}执汁质织职指{～甲}只{～要}［3］纸旨指{～点}止址［5］制{～度}製{～造}知{～识}智致至置志痣蛰{惊～}
ʈʂʰ	［1］痴摛{～手：伸手}［2］池迟持治{～鸡～鸭：鸡鸭宰杀后的褪毛、开膛清洗过程}［3］耻齿□{理睬：不要～他}［5］痔治侄直值植赤?{打～嘎：赤身体}
ʂ	［1］施尸诗湿室识［2］时鲥匙{锁～：钥匙}［3］屎始［5］世势是誓氏豉示视试市柿十什{～锦}实食蚀式拾{收～}
#i	
p	［1］杯碑悲毕必逼碧背{～不起}陂{～坝}［3］彼比［5］贝闭辈背{～脊}秘滗{～药}
pʰ	［1］批坯披匹碑蓖{～麻}［2］培陪赔皮疲脾琵{～琶}枇{～杷}陂{五～下}［5］敝弊币毙倍背{～书}焙被避备鼻篦{～甲}佩屁痱
m	［1］眯［2］迷梅媒煤弥眉霉媚{射～眼：女性以眉目挑逗传情}脢{～肉：里脊肉}□{扬～：蜻蜓}［3］米每美［5］谜密蜜沕{栽～子：潜水}
f	［1］非飞恢灰挥辉徽［2］肥回茴［3］匪悔毁［5］废肺吠费汇绘惠慧会
t	［1］低堆的{目～}嫡{～亲}［3］底抵滴{一～仔：一点儿}［5］帝对碓队兑粒
tʰ	［1］推梯{新读}褪?{脱：～衣服}［2］堤题提{～问}蹄［3］体［5］梯{旧读}弟剃替屉第退隶
l	［1］立笠{斗～}栗□{形容词前缀：～壮}裏{内～：裏面}［2］雷梨犁黎离璃{玻～}厘驴［3］吕屡礼履李裏里理鲤旅狸{～猫}栗{上～}□{我～：我们}［5］虑滤例厉歷曆历励丽痢荔类泪累{疲}内力笠{～斗}栗{大～}
ts	［1］积迹{古～}绩挤{塞：～到袋仔里}［3］仔{词尾}嘴{插～}［5］祭际济最醉嘴
tsʰ	［1］蛆趋妻催崔七漆膝戚{亲～}［2］齐脐［3］取娶［5］聚趣砌罪脆碎翠集疾{残～}
s	［1］衰戌西犀悉息熄媳惜昔须需虽［2］徐随［3］洗玺些{有～，那～}［5］序叙绪絮细岁遂{～川县}习席{酒～}夕
tɕ	［1］鸡饥肌基机急吉计{伙～}屐{木～}杞{枸～}［3］己纪几幾杞{～木村}［5］计繫继季寄记
tɕʰ	［1］欺［2］奇骑岐{杨～乡}其棋期旗［3］启起岂喜［5］契徛{立}技妓器弃戏忌气汽
ȵ	［1］日［2］尼泥倪宜仪疑［3］蚁拟耳-{柄：锅～}［5］艺义议毅你
ɕ	［1］溪{芦～：地名}希稀熙{康～}［5］系繫{联～}係
∅︀	［1］伊医衣依揖入一逸益亦=译［2］移夷姨饴［3］倚椅已以［5］翳{～障：白翳}易{容～}意异忆亿
#u	
p	［1］不晡{夜～：晚上}［3］补□{打～：亲嘴}［5］布
pʰ	［1］铺{床～}潽{饭～哩}伏?{～倒睏：趴着睡}［2］蒲菩葡{～萄}［3］普谱甫辅［5］部簿步埠{上～：地名}铺{裏～}伏?{～到困：趴着睡}仆
m	［1］木目牧穆睦杌?{～子凳}［2］模摹{写～本：描红}［3］母姆{～～：伯母}［5］暮慕募墓
f	［1］福幅蝠夫復{～原}敷伕□{形容词前缀：～细，～嫩}［2］胡{姓}狐壶葫符扶芙乎孚{美～灯：带罩儿的煤油灯}蝴湖［3］虎浒府腑斧抚腐［5］戽{～水}互户沪付傅赴讣附腐{豆～}妇负富覆複{～杂}腹伏服栿{梁：楼～}
t	［1］都督厾［3］堵赌肚{猪～}［5］妒嘟{～嘴巴：撅嘴}
tʰ	［2］徒屠途涂图［3］土吐［5］杜肚{腹肚}兔度渡镀独读毒□{腻：肥肉～人}
l	［1］鹿禄绿绿?{锈：起哩～}录［2］奴卢炉芦鸬{～鹚}庐［3］努鲁卤［5］怒路露鹭{白～}陆六绿{～豆}
ts	［1］足租［3］组祖阻□{蹲}［5］做{又}
tsʰ	［1］粗初促［2］锄［3］楚础［5］助醋族
s	［1］苏酥梳疏{荒～}蔬粟肃宿□{油败}［3］数［5］素诉续数俗
ʈʂ	［1］周舟州洲竹筑烛嘱菊祝粥肘{掌～}篫{塞}［3］帚［5］昼咒
ʈʂʰ	［1］抽束曲畜轴蓄［2］绸筹仇酬［3］醜{～陋}丑{子～寅卯}［5］局臭
ʂ	［1］收叔淑［3］手首守［5］受寿兽熟属蜀赎
k	［1］姑孤箍骨谷［3］古牯{牛～}股鼓□{量词，块、团：一～肉}估［5］故雇固顾过{旧读}
kʰ	［1］哭枯𣗺{～饼}菇［3］苦［5］库裤
∅︀	［1］乌污巫诬屋［2］吴梧无鬍{～子}［3］伍午武舞{搞：～饭喫}鹉［5］恶{厌～}误悟务雾戊𣝗{～子：果核}
#ʯ	
ʈʂ	［1］猪诸诛朱珠蛛居车{～马炮}拘追锥橘俱［3］举煮主矩［5］著据注铸句赘坠□{量词，一～毛豆子}
ʈʂʰ	［1］吹炊出区［2］渠除储区驱瞿厨垂槌锤［3］处{～理}拄{手棍}［5］处巨拒距柜{旧读}住树柱具劬{sɛ¹¹～：疲极}
ɳ	［2］鱼{墨～}愚虞娱［3］女语［5］御玉寓遇
ʂ	［1］书舒虚墟输嘘殊［2］薯{本字应为𧄔}𧄔垂睡{扯鼾～：打呼噜}［3］暑鼠许水［5］庶恕署{专～}竖税瑞{～金县}
∅︀	［1］熨{～帖}［2］如余馀于於盂儒［3］乳尔耳雨宇禹羽［5］芋喻{姓}裕慰喂{～饭}
#m̩	
∅︀	［2］姆{～妈}
#ŋ̍	
∅︀	［3］五
#ai	
p	［1］跛{瘸}［3］摆{～架子，下～}［5］拜
pʰ	［2］排牌簰□{翘，抬：～起屁股}［3］败派
m	［2］埋［3］买［5］卖迈
f	［2］怀槐淮［5］坏
t	［3］歹［5］带
tʰ	［5］太大泰
l	［1］奶哪?{～个}［2］遗?{～记：遗忘：～尿：尿床}釐{～田，耘禾}［3］孻{～牯：男孩}［5］耐奈赖癞哪?{～里；～个（仅用于指人）；～仔：谁}
ts	［1］斋□{包块，疙瘩：鹅公～}［3］□{舂米}□{～脑壳：点头}［5］债
tsʰ	［1］猜差{出～}［2］豺{～狗}柴材{棺～}［3］踩［5］蔡寨□{～雨：淋雨}
s	［1］筛{～子，～酒}［3］洒［5］赛晒
k	［1］皆阶街楷{大～，～书}［3］解［5］界介芥尬疥届戒械概槩{划～：平斗斛的用具}解{押～}□{满，溢}□{上～：上午，下～：下午}
kʰ	［1］揩
ŋ	［1］埃挨［2］崖{山口～，地名}捱{～骂}［3］矮［5］艾雁
h	［2］还{～有}鞋［3］解{姓，～缙}蟹
#uai	
k	［1］乖［3］拐□{鲇～}□{蟹爬}□{石～：石鸡}［5］怪
kʰ	［3］块{量词，一～}［5］会{～计}快筷块{～～:到处}
∅︀	［1］歪□{踢}挖{～土}［2］怀{教化子炙秆火——望～里扒}
#ui	
k	［1］闺规龟归［3］诡轨鬼［5］鳜桂癸贵
kʰ	［1］盔亏［2］奎逵葵［3］跪［5］愧柜{新读}
∅︀	［1］煨萎威［2］桅危{～险}为{行～}维惟违围微［3］委伟苇纬尾{末～}［5］未味卫为{～昨个：为什么}位魏胃谓尾{～巴}危{姓}
#au	
p	［1］包胞［3］饱保堡宝［5］豹爆报□{一～仔：一会儿}
pʰ	［1］抛□{形容词前缀：～轻}炮{油炸：～馃子}［2］袍浮{打～泅：狗刨式游泳}刨{～子}［3］跑［5］暴炮{枪～}泡雹菢抱□{初来～到：初来乍到}
m	［1］猫毛{～雨}［2］茅锚矛毛［3］卯铆［5］貌冒帽冇{未；～得：没有}
t	［1］刀［3］岛捣祷倒到{放～：放着}［5］到{～街上去}倒{～刺}□{次，遍：洗哩三～}
tʰ	［1］滔稻［2］桃逃淘陶萄{葡～}涛掏［3］讨［5］道套盗导
l	［1］捞{触，拿：桌上东西你不要～}□{气味，特指臊气：鼻子打～：嗅觉灵；狐皮～：狐臭}□{～痂：锅巴}［2］挠{～人：饥饿的感觉}劳痨{～病}牢［3］老脑恼{～火}佬{炭牯～：煤矿工人}［5］闹捞{～子：笊篱}□{焯：～青菜}□{误：搞～哩}
ts	［1］䐬{脆}遭糟［3］找爪枣早澡蚤［5］罩燥灶躁
tsʰ	［1］抄钞筲{～箕}耖{～田犁：再耕用犁}［2］巢曹槽［3］炒吵草槽{ŋɔ̃³³～：药碾子}［5］造皂糙□{～火棍，烧柴灶拨火的棍子}
s	［1］骚臊［3］稍嫂［5］潲{猪～}哨扫臊{～子}□{～子：原委，端倪，如：还冇搞清～子}
ʈʂ	［1］朝昭招［5］照
ʈʂʰ	［1］超［2］朝潮［5］兆召赵
ʂ	［1］烧［2］韶{～关}［3］少［5］少{～年}绍邵
k	［1］交郊胶高糕膏篙羔茭{～笋}跤［3］搞稿绞［5］教较窖觉{睏～}铰{～链}告校{学～，～对}
kʰ	［1］敲［3］巧考拷烤［5］铐靠
ŋ	［1］□{～起脑壳：抬起头}［2］敖{姓}熬鳌{～洲，地名}拗{不正}［3］咬袄［5］傲奥嶅{高坡：推车上～}乐{～惜：喜好}
h	［1］蒿{茼～}［2］豪壕毫号{～歌：民歌之一种，又称夜歌仔，源于号丧堂之俗}□{卷折；交叉：～头裤（旧式折腰裤），～到手（叉着手）}［3］好［5］耗好效号孝
#iau	
p	［1］膘标彪镖［3］表裱婊［5］俵{～路钱：撒纸钱，～烟：散烟}
pʰ	［1］漂飘［2］瓢嫖［3］漂{～白}［5］票漂{～亮}
m	［1］猫［2］苗描瞄［3］秒渺藐［5］庙妙
t	［1］雕貂刁碉挑{剔：～地菜；～才手：提手旁}［3］鸟［5］掉调{～动，～查，～子}钓吊
tʰ	［1］挑{～担}［2］条跳调{～养}［3］掉{调换}［5］糶调{～皮}掉{摇：～尾巴}
l	［2］聊潦辽撩{招惹，逗弄}□{～叶：棕叶}［3］了{不得～}［5］廖料
ts	［1］焦蕉椒□{堆：一～柴}□{～湿：很湿}［3］剿［5］醮{打～}
tsʰ	［1］锹缲［2］樵［5］俏
s	［1］肖{姓}萧箫消宵硝销［3］小［5］笑肖
tɕ	［1］骄娇［3］缴［5］叫
tɕʰ	［2］乔侨桥荞［3］翘{抬，举：～起屁股}撬{～锁}［5］轿翘{不平，该块板子是～箇}藠
ȵ	［2］饶{上～}尧［5］尿
ɕ	［1］晓［5］皛{点燃：～棕榈油}
∅︀	［1］邀腰要{～求}幺妖［2］摇谣窑姚［3］扰绕舀［5］要耀鹞摇{松动：凳脚活活～；动弹：～得～不得}
#iu	
t	［1］丢
l	［1］溜{走箇走，～箇～}［2］流刘留硫琉{～璃}榴{手～弹}瘤□{sɛ¹¹～：因疲劳而肌肉酸麻的感觉}［3］柳榴{石～}［5］溜{～眼泪：因眼受外界刺激而流泪}
ts	［1］揪［3］酒［5］□{拧：～转面来，～紧瓶盖}
tsʰ	［1］秋［5］就袖鳅{鱼～}
s	［1］修羞粟［2］囚泅{打浮～：狗爬式游泳}［3］□{形容词前缀：～蓝}［5］秀锈绣
tɕ	［1］纠鸠［3］久九韭［5］救究
tɕʰ	［1］丘柩{出～}［2］求球［3］舅旧［5］肉玉-{用于人名}
ȵ	［2］牛［3］扭纽
ɕ	［1］休［3］朽
∅︀	［1］优忧悠幽育辱褥［2］尤邮由油游犹柔揉［3］有友酉［5］又右佑釉幼
#ã	
p	［1］班斑扳□{形容词前缀：～硬，～老：不嫩}［3］板版瓣{豆～酱}［5］扮摒{藏}□{～一跤：摔一跤}湴{～源乡}
pʰ	［1］攀□{形容词前缀：～滚：很烫，～䐬：很危脆}［2］彭棚{瓜～}［3］□{篾～：篾片}［5］盼襻瓣{一～柑子}办
m	［2］蛮{～行；把～：勉力去做力所不能及的事}［3］猛{这～仔：这么长}晚{排行最小的：～崽}［5］慢漫馒{～头}㿸{体垢}
f	［1］翻番帆{～布}［2］还{～原}环凡烦繁［3］反返□{“发痕”的合音：～吃，～做}［5］範范犯贩饭
t	［1］耽担{～担子}丹单［3］胆掸［5］担{～子}旦䋎?{～被窝，～扣子}
tʰ	［1］贪摊瘫探{～花}［2］潭燂{炙，烧：火～狗（宰杀烫毛后经火烧烤过的整只的狗）}谈痰檀坛弹{～琴}［3］毯坦［5］谭{姓}淡探{～亲}炭叹弹蛋
l	［1］篮{～子}［2］男南蓝难{～易}兰拦栏幱{～裙：围裙}［3］览揽懒冷［5］难{吃～肉：赴丧宴}烂
ts	［1］簪争㬹{脚～：足跟}［3］斩盏崭{～新}［5］站{立}赞灒{溅}䋎{～被窝}
tsʰ	［1］参搀餐撑{～伞}［2］蚕惭残{橙～子：柚子}馋涎?{～水：口水}［3］惨产铲［5］暂站{车～}栈赚牚{～到：支撑住}
s	［1］三衫删山生甥□{钩～隔子：有两个活动提梁的畚箕}［3］散伞省{节～}［5］散
ʈʂ	［1］正{～月}［3］整{～病：治病}［5］正{才，刚：～走；成：搞不～}
ʈʂʰ	［2］成{七～八～}［3］睈{～一眼珠：不经意地看一眼}□{～电火：闪电}［5］郑{姓}锃?{形容词前缀：～光}
ʂ	［1］声［2］生?{活的：～人}城{～隍}成{日中落雨落得～}
k	［1］尴{～尬}监艰间羹［3］减简拣碱柬{信～纸}［5］鉴监舰间{～断}
kʰ	［1］吭{～声}坑□{浅，不满}［3］㦿{～～：窗户}□{咳嗽}［5］嵌□{刚，正：～好，～～合式}
ŋ	［2］颜顽{～皮，儿～仔}［3］眼［5］晏雁硬□{～脚：硌脚}
h	［1］□{他}［2］咸闲衔行{～路}［3］喊［5］陷馅限苋
#iã	
p	［1］饼
pʰ	［2］平坪萍{～乡}［5］病
m	［2］明{～日}名［3］□{～箇：垂头丧气的样子}［5］命
t	［1］丁钉{～子}□{粘贴}疔［3］鼎{～罐}［5］钉{～钉子}□{扔}□{形容词前缀：～厚，～重}
tʰ	［1］听厅{～屋}［5］定{铁～；不～：不对，不妥}
l	［2］零灵{蛮～：很灵验}［3］领岭
ts	［1］精{～怪}□{荷叶～：带槽口的坛子}［3］井
tsʰ	［1］青{黑色：～布}清{水～}［2］晴［3］请［5］静{冷冷～～}
s	［1］星{～子}腥［3］醒［5］姓性{～子：脾气}
tɕ	［1］惊{揩～：收惊}［3］颈［5］镜
tɕʰ	［1］轻［5］磬{～子}儆{爱惜：～到穿，～到用}
ɕ	［1］兄{老～}
∅︀	［1］萦{收卷，绕：～线}［2］赢荣{姓}［3］影{～子}［5］䁐{～牛}荧{～火虫}□{剩}
#uã	
k	［1］关{～公，过～}［3］梗［5］惯□{形容词前缀：～绿}
kʰ	［1］关{～门}
∅︀	［1］弯湾豌{～豆}［2］玩{～具}顽{～固}完{～粮～税}横{～直}［3］晚挽［5］万玩{游山～水}横{～子：横档}
#ɔ̃	
p	［1］般搬邦帮梆［3］榜绑［5］半棒
pʰ	［1］潘拚{～命}［2］盘旁螃{～蟹}房{pai¹³～子：跳房子，一种儿童游戏}［5］伴拌叛蚌胖判
m	［1］望{～天狮子：喻人老仰着头，～起脑壳：仰起头}［2］瞒忙芒{～种}盲{鸡～眼：夜盲}［3］满莽蟒网［5］望{～到墙上}
f	［1］方芳荒慌枋{地～：门槛}欢［2］防妨黄{姓}簧皇凰隍{城～}惶坊房［3］缓仿彷纺访谎［5］放唤焕浣{上～：上旬}
t	［1］端当裆［3］短党挡［5］断{～定}当{～真，典～}档{～子：器具上起支撑稳固作用的木条}垱{地方：原～，别～}
tʰ	［1］汤［2］团堂棠唐糖塘［3］倘躺荡{～口：漱口}［5］烫趟荡凼段缎锻𩏇{～底：鞋垫}断{～暗：傍晚}
l	［1］朗{稀疏：头发～}［2］郎廊狼朗{～读}圞{圆，整：～桌，不要切，吃～箇}瓤［3］暖卵朗［5］乱浪㫰{～衣服}
ts	［1］髒{肮～}赃庄桩装钻妆［3］纂{编造：乱～}［5］葬钻壮
tsʰ	［1］仓苍疮窗汆闩［2］藏床［3］创［5］臟{内～}藏{西～}撞状
s	［1］酸栓桑丧双霜［3］嗓爽□{量词，截：一～蔗梗}［5］算蒜
ʈʂ	［1］张章樟障{～脚：碍脚，绊脚}□{～正：刚才}［3］长涨掌［5］帐账胀障瘴幛仗{打～}
ʈʂʰ	［1］昌娼倡［2］长场{赶～：赶集}肠裳［3］厂敞{～干，在通风处晾干}闯场{栏～：地方}［5］丈杖畅唱仗{倚～}尚{和～}
ʂ	［1］商伤［2］常尝嫦［3］赏上{～山，～班}［5］尚上{～里：上面}
k	［1］甘柑乾干肝冈刚纲钢缸豇{～豆}江扛杠{神～：厅堂内放牌位、香炉的条案}肛［3］感敢{新读}竿杆秆{稻草}赶讲港广{～柑}［5］虹杠{～子}降钢{～刀}幹
