單字	粵拼	聲母_定	韻母_定	聲調_定	IPA	聲母_定	韻母_定	聲調_定	備註
笨		b	an	6		p	ɐn	32	
繃		b	ang	1		p	ɐŋ	23	繃帶
崩		b	ang	1		p	ɐŋ	23	
蹦		b	ang	2		p	ɐŋ	45	
拔		b	at	8		p	ɐt	32	
跋		b	at	8		p	ɐt	32	
畢		b	at	7A		p	ɐt	45	
筆		b	at	7A		p	ɐt	45	
不		b	at	7A		p	ɐt	45	
嗶		b	at	7A		p	ɐt	45	
啤		b	e	1		p	ɛ	23	
卑		b	ei	1		p	ei	23	
臂		b	ei	1		p	ei	23	
碑		b	ei	1		p	ei	23	
庇		b	ei	1		p	ei	23	比較
悲		b	ei	1		p	ei	23	
泌		b	ei	1		p	ei	23	
祕		b	ei	1		p	ei	23	
痺		b	ei	1		p	ei	23	
秘		b	ei	1		p	ei	23	
彼		b	ei	2		p	ei	45	
比		b	ei	2		p	ei	45	被動
妣		b	ei	2		p	ei	45	
畀		b	ei	2		p	ei	45	
陂		b	ei	4		p	ei	21	
避		b	ei	6		p	ei	32	
被		b	ei	6		p	ei	32	
鼻		b	ei	6		p	ei	32	
備		b	ei	6		p	ei	32	
憊		b	ei	6		p	ei	32	
柄		b	iang	1		p	iɐŋ	23	
餅		b	iang	2		p	iɐŋ	45	
病		b	iang	6		p	iɐŋ	32	
壁		b	ik	7B		p	ɪk	23	
璧		b	ik	7B		p	ɪk	23	
碧		b	ik	7B		p	ɪk	23	
逼		b	ik	7B		p	ɪk	23	
迫		b	ik	7B		p	ɪk	23	
邊		b	in	1		p	in	23	
辮		b	in	1		p	in	23	
鞭		b	in	1		p	in	23	
變		b	in	1		p	in	23	
扁		b	in	2		p	in	45	扁平
匾		b	in	2		p	in	45	
貶		b	in	2		p	in	45	
邊		b	in	4		p	in	21	邊址
便		b	in	6		p	in	32	便利
汴		b	in	6		p	in	32	
辨		b	in	6		p	in	32	
辯		b	in	6		p	in	32	
兵		b	ing	1		p	ɪŋ	23	
冰		b	ing	1		p	ɪŋ	23	
乒		b	ing	1		p	ɪŋ	23	
柄		b	ing	2		p	ɪŋ	45	
丙		b	ing	2		p	ɪŋ	45	
秉		b	ing	2		p	ɪŋ	45	
炳		b	ing	2		p	ɪŋ	45	
摒		b	ing	2		p	ɪŋ	45	
屏		b	ing	2		p	ɪŋ	45	屏除
並		b	ing	6		p	ɪŋ	32	
并		b	ing	6		p	ɪŋ	32	
迸		b	ing	6		p	ɪŋ	32	
癟		b	it	8		p	it	32	
別		b	it	8		p	it	32	
必		b	it	7A		p	it	45	
彆		b	it	7B		p	it	23	
標		b	iu	1		p	iu	23	
飆		b	iu	1		p	iu	23	
鑣		b	iu	1		p	iu	23	
彪		b	iu	1		p	iu	23	
錶		b	iu	1		p	iu	23	
表		b	iu	2		p	iu	45	
錶		b	iu	2		p	iu	45	
波		b	o	1		p	ɔ	23	
播		b	o	1		p	ɔ	23	
簸		b	o	1		p	ɔ	23	
玻		b	o	1		p	ɔ	23	
坡		b	o	1		p	ɔ	23	
菠		b	o	1		p	ɔ	23	
菠		b	o	2		p	ɔ	45	
雹		b	ok	8		p	ɔk	32	
薄		b	ok	8		p	ɔk	32	
箔		b	ok	8		p	ɔk	32	
礴		b	ok	8		p	ɔk	32	
泊		b	ok	8		p	ɔk	32	
魄		b	ok	8		p	ɔk	32	旁魄
博		b	ok	7A		p	ɔk	45	
卜		b	ok	7A		p	ɔk	45	
搏		b	ok	7B		p	ɔk	23	
駁		b	ok	7B		p	ɔk	23	
博		b	ok	7B		p	ɔk	23	
膊		b	ok	7B		p	ɔk	23	
縛		b	ok	7B		p	ɔk	23	
邦		b	ong	1		p	ɔŋ	23	
幫		b	ong	1		p	ɔŋ	23	
榜		b	ong	2		p	ɔŋ	45	
綁		b	ong	2		p	ɔŋ	45	
膀		b	ong	2		p	ɔŋ	45	肩膀
傍		b	ong	6		p	ɔŋ	32	依山傍水
傍		b	ong	6		p	ɔŋ	32	傍晚
磅		b	ong	6		p	ɔŋ	32	一磅
布		b	ou	1		p	ou	23	
佈		b	ou	1		p	ou	23	
怖		b	ou	1		p	ou	23	
埔		b	ou	1		p	ou	23	
褒		b	ou	1		p	ou	23	
報		b	ou	1		p	ou	23	
煲		b	ou	1		p	ou	23	
補		b	ou	2		p	ou	45	
保		b	ou	2		p	ou	45	
葆		b	ou	2		p	ou	45	
堡		b	ou	2		p	ou	45	
褓		b	ou	2		p	ou	45	
寶		b	ou	2		p	ou	45	
煲		b	ou	4		p	ou	21	煲仔，變調
捕		b	ou	6		p	ou	32	
哺		b	ou	6		p	ou	32	
步		b	ou	6		p	ou	32	
部		b	ou	6		p	ou	32	
簿		b	ou	6		p	ou	32	
暴		b	ou	6		p	ou	32	凶暴
埠		b	ou	6		p	ou	32	埠頭
貝		b	ui	1		p	ui	23	
狽		b	ui	1		p	ui	23	
杯		b	ui	1		p	ui	23	
盃		b	ui	1		p	ui	23	
背		b	ui	1		p	ui	23	背後
輩		b	ui	1		p	ui	23	
悖		b	ui	1		p	ui	23	
背		b	ui	6		p	ui	32	背書
悖		b	ui	6		p	ui	32	
焙		b	ui	6		p	ui	32	
蹼		b	uk	8		p	ʊk	32	
暴		b	uk	8		p	ʊk	32	一暴十寒
僕		b	uk	8		p	ʊk	32	
瀑		b	uk	8		p	ʊk	32	
曝		b	uk	8		p	ʊk	32	
仆		b	uk	8		p	ʊk	32	
卜		b	uk	7A		p	ʊk	45	
般		b	un	1		p	un	23	
半		b	un	1		p	un	23	
搬		b	un	1		p	un	23	
本		b	un	2		p	un	45	
畚		b	un	2		p	un	45	
絆		b	un	6		p	un	32	
叛		b	un	6		p	un	32	
畔		b	un	6		p	un	32	
伴		b	un	6		p	un	32	
拌		b	un	6		p	un	32	
胖		b	un	6		p	un	32	肥胖
肨		b	un	6		p	un	32	
撥		b	ut	8		p	ut	32	
勃		b	ut	8		p	ut	32	
脖		b	ut	8		p	ut	32	
渤		b	ut	8		p	ut	32	
缽		b	ut	8		p	ut	32	
砵		b	ut	8		p	ut	32	
鉢		b	ut	8		p	ut	32	
缽		b	ut	8		p	ut	32	
詫		c	aa	1		ʦʰ	a	23	
奼		c	aa	1		ʦʰ	a	23	
差		c	aa	1		ʦʰ	a	23	差別
叉		c	aa	1		ʦʰ	a	23	
岔		c	aa	1		ʦʰ	a	23	
茶		c	aa	4		ʦʰ	a	21	
查		c	aa	4		ʦʰ	a	21	檢查
槎		c	aa	4		ʦʰ	a	21	
差		c	aai	1		ʦʰ	ai	23	出差
猜		c	aai	2		ʦʰ	ai	45	
踩		c	aai	2		ʦʰ	ai	45	
柴		c	aai	4		ʦʰ	ai	21	
參		c	aam	1		ʦʰ	am	23	
攙		c	aam	1		ʦʰ	am	23	參加
摻		c	aam	1		ʦʰ	am	23	
杉		c	aam	1		ʦʰ	am	23	
慘		c	aam	2		ʦʰ	am	45	
饞		c	aam	4		ʦʰ	am	21	
蠶		c	aam	4		ʦʰ	am	21	
慚		c	aam	4		ʦʰ	am	21	
巉		c	aam	4		ʦʰ	am	21	
餐		c	aan	1		ʦʰ	an	23	
璨		c	aan	1		ʦʰ	an	23	
燦		c	aan	1		ʦʰ	an	23	
鏟		c	aan	2		ʦʰ	an	45	
產		c	aan	2		ʦʰ	an	45	
剷		c	aan	2		ʦʰ	an	45	
殘		c	aan	4		ʦʰ	an	21	
插		c	aap	7B		ʦʰ	ap	23	
刷		c	aat	9		ʦʰ	at	21	
察		c	aat	7B		ʦʰ	at	23	
刷		c	aat	7B		ʦʰ	at	23	
獺		c	aat	7B		ʦʰ	at	23	
擦		c	aat	7B		ʦʰ	at	23	
抄		c	aau	1		ʦʰ	au	23	
吵		c	aau	2		ʦʰ	au	45	
抄		c	aau	2		ʦʰ	au	45	
鈔		c	aau	2		ʦʰ	au	45	
炒		c	aau	2		ʦʰ	au	45	
巢		c	aau	4		ʦʰ	au	21	
妻		c	ai	1		ʦʰ	ɐi	23	
萋		c	ai	1		ʦʰ	ɐi	23	
淒		c	ai	1		ʦʰ	ɐi	23	
悽		c	ai	1		ʦʰ	ɐi	23	
砌		c	ai	1		ʦʰ	ɐi	23	
切		c	ai	1		ʦʰ	ɐi	23	一切
棲		c	ai	1		ʦʰ	ɐi	23	
沏		c	ai	1		ʦʰ	ɐi	23	
齊		c	ai	4		ʦʰ	ɐi	21	整齊
隋		c	ai	4		ʦʰ	ɐi	21	
隨		c	ai	4		ʦʰ	ɐi	21	
賊		c	ak	9		ʦʰ	ɐk	21	
吒		c	ak	7A		ʦʰ	ɐk	45	叱吒
柵		c	ak	7B		ʦʰ	ɐk	23	木柵
測		c	ak	7B		ʦʰ	ɐk	23	
惻		c	ak	7B		ʦʰ	ɐk	23	
坼		c	ak	7B		ʦʰ	ɐk	23	
冊		c	ak	7B		ʦʰ	ɐk	23	
策		c	ak	7B		ʦʰ	ɐk	23	
賊		c	ak	7B		ʦʰ	ɐk	23	
拆		c	ak	7B		ʦʰ	ɐk	23	
侵		c	am	1		ʦʰ	ɐm	23	
參		c	am	1		ʦʰ	ɐm	23	參差
寢		c	am	2		ʦʰ	ɐm	45	
尋		c	am	4		ʦʰ	ɐm	21	
沉		c	am	4		ʦʰ	ɐm	21	
親		c	an	1		ʦʰ	ɐn	23	
村		c	an	1		ʦʰ	ɐn	23	
春		c	an	1		ʦʰ	ɐn	23	
鶉		c	an	1		ʦʰ	ɐn	23	鵪鶉
瞋		c	an	1		ʦʰ	ɐn	23	
趁		c	an	1		ʦʰ	ɐn	23	
襯		c	an	1		ʦʰ	ɐn	23	
蠢		c	an	2		ʦʰ	ɐn	45	
疹		c	an	2		ʦʰ	ɐn	45	
診		c	an	2		ʦʰ	ɐn	45	
旬		c	an	4		ʦʰ	ɐn	21	
巡		c	an	4		ʦʰ	ɐn	21	
循		c	an	4		ʦʰ	ɐn	21	
秦		c	an	4		ʦʰ	ɐn	21	
村		c	an	4		ʦʰ	ɐn	21	
陳		c	an	4		ʦʰ	ɐn	21	
塵		c	an	4		ʦʰ	ɐn	21	
瞠		c	ang	1		ʦʰ	ɐŋ	23	
鐺		c	ang	1		ʦʰ	ɐŋ	23	瓦鐺
撐		c	ang	1		ʦʰ	ɐŋ	23	
鎗		c	ang	1		ʦʰ	ɐŋ	23	
鋥		c	ang	1		ʦʰ	ɐŋ	23	
牚		c	ang	1		ʦʰ	ɐŋ	23	
鐺		c	ang	4		ʦʰ	ɐŋ	21	
橙		c	ang	4		ʦʰ	ɐŋ	21	
曾		c	ang	4		ʦʰ	ɐŋ	21	曾經
層		c	ang	4		ʦʰ	ɐŋ	21	
緝		c	ap	7A		ʦʰ	ɐp	45	
輯		c	ap	7A		ʦʰ	ɐp	45	
七		c	at	7A		ʦʰ	ɐt	45	
柒		c	at	7A		ʦʰ	ɐt	45	
漆		c	at	7A		ʦʰ	ɐt	45	
猝		c	at	7A		ʦʰ	ɐt	45	
出		c	at	7A		ʦʰ	ɐt	45	
齣		c	at	7A		ʦʰ	ɐt	45	
秋		c	au	1		ʦʰ	ɐu	23	
鰍		c	au	1		ʦʰ	ɐu	23	
湊		c	au	1		ʦʰ	ɐu	23	
糗		c	au	1		ʦʰ	ɐu	23	
抽		c	au	1		ʦʰ	ɐu	23	
臭		c	au	1		ʦʰ	ɐu	23	
嗅		c	au	1		ʦʰ	ɐu	23	
丑		c	au	2		ʦʰ	ɐu	45	
醜		c	au	2		ʦʰ	ɐu	45	
囚		c	au	4		ʦʰ	ɐu	21	
稠		c	au	4		ʦʰ	ɐu	21	
疇		c	au	4		ʦʰ	ɐu	21	
籌		c	au	4		ʦʰ	ɐu	21	
躊		c	au	4		ʦʰ	ɐu	21	
惆		c	au	4		ʦʰ	ɐu	21	
酬		c	au	4		ʦʰ	ɐu	21	
綢		c	au	4		ʦʰ	ɐu	21	
車		c	e	1		ʦʰ	ɛ	23	汽車
奢		c	e	1		ʦʰ	ɛ	23	
且		c	e	2		ʦʰ	ɛ	45	
扯		c	e	2		ʦʰ	ɛ	45	
邪		c	e	4		ʦʰ	ɛ	21	
斜		c	e	4		ʦʰ	ɛ	21	
糍		c	ei	4		ʦʰ	ei	21	丸糍、團糍
似		c	i	1		ʦʰ	i	23	
刺		c	i	1		ʦʰ	i	23	
賜		c	i	1		ʦʰ	i	23	
次		c	i	1		ʦʰ	i	23	
姒		c	i	1		ʦʰ	i	23	
痴		c	i	1		ʦʰ	i	23	
嗤		c	i	1		ʦʰ	i	23	
熾		c	i	1		ʦʰ	i	23	
恃		c	i	1		ʦʰ	i	23	
幟		c	i	1		ʦʰ	i	23	
廁		c	i	1		ʦʰ	i	23	
翅		c	i	1		ʦʰ	i	23	
差		c	i	1		ʦʰ	i	23	參差
儲		c	i	1		ʦʰ	i	23	
佇		c	i	1		ʦʰ	i	23	
杼		c	i	1		ʦʰ	i	23	
貯		c	i	1		ʦʰ	i	23	
處		c	i	1		ʦʰ	i	23	
杵		c	i	1		ʦʰ	i	23	
柱		c	i	1		ʦʰ	i	23	
雌		c	i	2		ʦʰ	i	45	
此		c	i	2		ʦʰ	i	45	
恥		c	i	2		ʦʰ	i	45	
齒		c	i	2		ʦʰ	i	45	
始		c	i	2		ʦʰ	i	45	
侈		c	i	2		ʦʰ	i	45	
疵		c	i	2		ʦʰ	i	45	
矢		c	i	2		ʦʰ	i	45	
扯		c	i	2		ʦʰ	i	45	
似		c	i	4		ʦʰ	i	21	東區音
祠		c	i	4		ʦʰ	i	21	
詞		c	i	4		ʦʰ	i	21	
辭		c	i	4		ʦʰ	i	21	
柿		c	i	4		ʦʰ	i	21	
雌		c	i	4		ʦʰ	i	21	
臍		c	i	4		ʦʰ	i	21	
持		c	i	4		ʦʰ	i	21	
慈		c	i	4		ʦʰ	i	21	
弛		c	i	4		ʦʰ	i	21	
池		c	i	4		ʦʰ	i	21	
馳		c	i	4		ʦʰ	i	21	
茨		c	i	4		ʦʰ	i	21	
瓷		c	i	4		ʦʰ	i	21	
遲		c	i	4		ʦʰ	i	21	
躇		c	i	4		ʦʰ	i	21	
署		c	i	4		ʦʰ	i	21	
廚		c	i	4		ʦʰ	i	21	
磁		c	i	4		ʦʰ	i	21	
櫥		c	i	4		ʦʰ	i	21	
茲		c	i	4		ʦʰ	i	21	龜茲，國名
匙		c	i	4		ʦʰ	i	21	茶匙，湯匙，一本作“瓷”
赤		c	iak	7A		ʦʰ	iɐk	45	又音
尺		c	iak	7B		ʦʰ	iɐk	23	
赤		c	iak	7B		ʦʰ	iɐk	23	
惜		c	iak	7B		ʦʰ	iɐk	23	疼愛，白讀
青		c	iang	1		ʦʰ	iɐŋ	23	青色，白讀
清		c	iang	1		ʦʰ	iɐŋ	23	水清，白讀
請		c	iang	2		ʦʰ	iɐŋ	45	白讀
醒		c	iang	2		ʦʰ	iɐŋ	45	瞓醒，白讀
情		c	iang	4		ʦʰ	iɐŋ	21	情願，白讀
晴		c	iang	4		ʦʰ	iɐŋ	21	晴水，白讀，天放晴
戚		c	ik	7A		ʦʰ	ɪk	45	
赤		c	ik	7A		ʦʰ	ɪk	45	赤小豆
斥		c	ik	7A		ʦʰ	ɪk	45	
敕		c	ik	7A		ʦʰ	ɪk	45	
叱		c	ik	7A		ʦʰ	ɪk	45	叱石，地名
籤		c	im	1		ʦʰ	im	23	
塹		c	im	1		ʦʰ	im	23	
纖		c	im	1		ʦʰ	im	23	
簽		c	im	1		ʦʰ	im	23	
諂		c	im	2		ʦʰ	im	45	
籤		c	im	4		ʦʰ	im	21	牙籤，變調
簽		c	im	4		ʦʰ	im	21	牙簽，變調
潛		c	im	4		ʦʰ	im	21	
千		c	in	1		ʦʰ	in	23	
仟		c	in	1		ʦʰ	in	23	
阡		c	in	1		ʦʰ	in	23	
遷		c	in	1		ʦʰ	in	23	
村		c	in	1		ʦʰ	in	23	
寸		c	in	1		ʦʰ	in	23	
川		c	in	1		ʦʰ	in	23	
穿		c	in	1		ʦʰ	in	23	
踐		c	in	1		ʦʰ	in	23	
串		c	in	1		ʦʰ	in	23	
竄		c	in	2		ʦʰ	in	45	
淺		c	in	2		ʦʰ	in	45	
忖		c	in	2		ʦʰ	in	45	
舛		c	in	2		ʦʰ	in	45	
喘		c	in	2		ʦʰ	in	45	
湍		c	in	2		ʦʰ	in	45	
揣		c	in	2		ʦʰ	in	45	
痊		c	in	4		ʦʰ	in	21	
詮		c	in	4		ʦʰ	in	21	
銓		c	in	4		ʦʰ	in	21	
拴		c	in	4		ʦʰ	in	21	
全		c	in	4		ʦʰ	in	21	
泉		c	in	4		ʦʰ	in	21	
傳		c	in	4		ʦʰ	in	21	傳播
前		c	in	4		ʦʰ	in	21	
錢		c	in	4		ʦʰ	in	21	
纏		c	in	4		ʦʰ	in	21	
存		c	in	4		ʦʰ	in	21	
青		c	ing	1		ʦʰ	ɪŋ	23	
蜻		c	ing	1		ʦʰ	ɪŋ	23	
清		c	ing	1		ʦʰ	ɪŋ	23	
稱		c	ing	1		ʦʰ	ɪŋ	23	稱呼
秤		c	ing	1		ʦʰ	ɪŋ	23	地秤
請		c	ing	2		ʦʰ	ɪŋ	45	
逞		c	ing	2		ʦʰ	ɪŋ	45	
騁		c	ing	2		ʦʰ	ɪŋ	45	
拯		c	ing	2		ʦʰ	ɪŋ	45	
情		c	ing	4		ʦʰ	ɪŋ	21	
晴		c	ing	4		ʦʰ	ɪŋ	21	
呈		c	ing	4		ʦʰ	ɪŋ	21	
程		c	ing	4		ʦʰ	ɪŋ	21	
懲		c	ing	4		ʦʰ	ɪŋ	21	
秤		c	ing	4		ʦʰ	ɪŋ	21	
澄		c	ing	4		ʦʰ	ɪŋ	21	
埕		c	ing	4		ʦʰ	ɪŋ	21	
綽		c	iok	7B		ʦʰ	iɔk	23	
桌		c	iok	7B		ʦʰ	iɔk	23	
卓		c	iok	7B		ʦʰ	iɔk	23	
槍		c	iong	1		ʦʰ	iɔŋ	23	
鏘		c	iong	1		ʦʰ	iɔŋ	23	
搶		c	iong	1		ʦʰ	iɔŋ	23	
悵		c	iong	1		ʦʰ	iɔŋ	23	
暢		c	iong	1		ʦʰ	iɔŋ	23	
昌		c	iong	1		ʦʰ	iɔŋ	23	
菖		c	iong	1		ʦʰ	iɔŋ	23	
猖		c	iong	1		ʦʰ	iɔŋ	23	
倡		c	iong	1		ʦʰ	iɔŋ	23	
唱		c	iong	1		ʦʰ	iɔŋ	23	
鎗		c	iong	1		ʦʰ	iɔŋ	23	
嗆		c	iong	1		ʦʰ	iɔŋ	23	
窗		c	iong	1		ʦʰ	iɔŋ	23	
搶		c	iong	2		ʦʰ	iɔŋ	45	
長		c	iong	4		ʦʰ	iɔŋ	21	長久
場		c	iong	4		ʦʰ	iɔŋ	21	
腸		c	iong	4		ʦʰ	iɔŋ	21	
薔		c	iong	4		ʦʰ	iɔŋ	21	
牆		c	iong	4		ʦʰ	iɔŋ	21	
戕		c	iong	4		ʦʰ	iɔŋ	21	
妾		c	ip	7B		ʦʰ	ip	23	
撮		c	it	7B		ʦʰ	it	23	
切		c	it	7B		ʦʰ	it	23	急切
設		c	it	7B		ʦʰ	it	23	
撤		c	it	7B		ʦʰ	it	23	
徹		c	it	7B		ʦʰ	it	23	
澈		c	it	7B		ʦʰ	it	23	
轍		c	it	7B		ʦʰ	it	23	
俏		c	iu	1		ʦʰ	iu	23	
峭		c	iu	1		ʦʰ	iu	23	
肖		c	iu	1		ʦʰ	iu	23	肖像
超		c	iu	1		ʦʰ	iu	23	
昭		c	iu	1		ʦʰ	iu	23	
鞘		c	iu	1		ʦʰ	iu	23	
悄		c	iu	2		ʦʰ	iu	45	
憔		c	iu	4		ʦʰ	iu	21	
樵		c	iu	4		ʦʰ	iu	21	
晁		c	iu	4		ʦʰ	iu	21	
朝		c	iu	4		ʦʰ	iu	21	朝廷
潮		c	iu	4		ʦʰ	iu	21	
瞧		c	iu	4		ʦʰ	iu	21	
錯		c	o	1		ʦʰ	ɔ	23	
挫		c	o	1		ʦʰ	ɔ	23	
搓		c	o	1		ʦʰ	ɔ	23	
磋		c	o	1		ʦʰ	ɔ	23	
蹉		c	o	1		ʦʰ	ɔ	23	
初		c	o	1		ʦʰ	ɔ	23	
雛		c	o	1		ʦʰ	ɔ	23	
坐		c	o	1		ʦʰ	ɔ	23	
楚		c	o	2		ʦʰ	ɔ	45	
礎		c	o	2		ʦʰ	ɔ	45	
鋤		c	o	4		ʦʰ	ɔ	21	
蔡		c	oi	1		ʦʰ	ɔi	23	
菜		c	oi	1		ʦʰ	ɔi	23	
塞		c	oi	1		ʦʰ	ɔi	23	塞外
賽		c	oi	1		ʦʰ	ɔi	23	
采		c	oi	2		ʦʰ	ɔi	45	
採		c	oi	2		ʦʰ	ɔi	45	
彩		c	oi	2		ʦʰ	ɔi	45	
綵		c	oi	2		ʦʰ	ɔi	45	
睬		c	oi	2		ʦʰ	ɔi	45	
才		c	oi	4		ʦʰ	ɔi	21	
材		c	oi	4		ʦʰ	ɔi	21	
財		c	oi	4		ʦʰ	ɔi	21	
裁		c	oi	4		ʦʰ	ɔi	21	
綽		c	ok	7B		ʦʰ	ɔk	23	
戳		c	ok	7B		ʦʰ	ɔk	23	
倉		c	ong	1		ʦʰ	ɔŋ	23	
蒼		c	ong	1		ʦʰ	ɔŋ	23	
滄		c	ong	1		ʦʰ	ɔŋ	23	
瘡		c	ong	1		ʦʰ	ɔŋ	23	
創		c	ong	1		ʦʰ	ɔŋ	23	
愴		c	ong	1		ʦʰ	ɔŋ	23	
艙		c	ong	1		ʦʰ	ɔŋ	23	
窗		c	ong	1		ʦʰ	ɔŋ	23	
闖		c	ong	2		ʦʰ	ɔŋ	45	
敞		c	ong	2		ʦʰ	ɔŋ	45	
廠		c	ong	2		ʦʰ	ɔŋ	45	
庠		c	ong	4		ʦʰ	ɔŋ	21	
祥		c	ong	4		ʦʰ	ɔŋ	21	
翔		c	ong	4		ʦʰ	ɔŋ	21	
床		c	ong	4		ʦʰ	ɔŋ	21	
詳		c	ong	4		ʦʰ	ɔŋ	21	
幢		c	ong	4		ʦʰ	ɔŋ	21	幡幢
藏		c	ong	4		ʦʰ	ɔŋ	21	收藏
醋		c	ou	1		ʦʰ	ou	23	
厝		c	ou	1		ʦʰ	ou	23	
措		c	ou	1		ʦʰ	ou	23	
錯		c	ou	1		ʦʰ	ou	23	同“措”
躁		c	ou	1		ʦʰ	ou	23	
澡		c	ou	1		ʦʰ	ou	23	
操		c	ou	1		ʦʰ	ou	23	
糙		c	ou	1		ʦʰ	ou	23	
噪		c	ou	1		ʦʰ	ou	23	
燥		c	ou	1		ʦʰ	ou	23	
聚		c	ou	1		ʦʰ	ou	23	聚錢，存錢
粗		c	ou	1		ʦʰ	ou	23	
娶		c	ou	2		ʦʰ	ou	45	娶老婆、娶新婦
草		c	ou	2		ʦʰ	ou	45	
槽		c	ou	4		ʦʰ	ou	21	
曹		c	ou	4		ʦʰ	ou	21	
嘈		c	ou	4		ʦʰ	ou	21	
脆		c	ui	1		ʦʰ	ui	23	
翠		c	ui	1		ʦʰ	ui	23	
蛆		c	ui	1		ʦʰ	ui	23	
趨		c	ui	1		ʦʰ	ui	23	
趣		c	ui	1		ʦʰ	ui	23	
崔		c	ui	1		ʦʰ	ui	23	
催		c	ui	1		ʦʰ	ui	23	
璀		c	ui	1		ʦʰ	ui	23	
吹		c	ui	1		ʦʰ	ui	23	
炊		c	ui	1		ʦʰ	ui	23	
衰		c	ui	1		ʦʰ	ui	23	齊衰
摧		c	ui	1		ʦʰ	ui	23	
覷		c	ui	1		ʦʰ	ui	23	
取		c	ui	2		ʦʰ	ui	45	
娶		c	ui	2		ʦʰ	ui	45	
處		c	ui	2		ʦʰ	ui	45	處理
隋		c	ui	4		ʦʰ	ui	21	
隨		c	ui	4		ʦʰ	ui	21	
錘		c	ui	4		ʦʰ	ui	21	鐵錘
槌		c	ui	4		ʦʰ	ui	21	
鎚		c	ui	4		ʦʰ	ui	21	
椎		c	ui	4		ʦʰ	ui	21	鐵椎
除		c	ui	4		ʦʰ	ui	21	
徐		c	ui	4		ʦʰ	ui	21	
處		c	ui	4		ʦʰ	ui	21	四處
蜍		c	ui	4		ʦʰ	ui	21	
廚		c	ui	4		ʦʰ	ui	21	
搥		c	ui	4		ʦʰ	ui	21	
櫥		c	ui	4		ʦʰ	ui	21	
蹙		c	uk	7A		ʦʰ	ʊk	45	
蹴		c	uk	7A		ʦʰ	ʊk	45	
蓄		c	uk	7A		ʦʰ	ʊk	45	
促		c	uk	7A		ʦʰ	ʊk	45	
簇		c	uk	7A		ʦʰ	ʊk	45	
速		c	uk	7A		ʦʰ	ʊk	45	
矗		c	uk	7A		ʦʰ	ʊk	45	
束		c	uk	7A		ʦʰ	ʊk	45	
