来源：北柯，前锋修订															
s	[1]蛇奢赊佘烧- [3]舍少- [5]麝赦射社舍{房~}绍-														
k	[1]歌哥高-糕- [3]稿- [5]个告-膏{油～}														
kʰ	[1]苛窠柯珂轲 [3]可考-烤- [5]可{~好}靠铐栲{~栳儿:一种面食}														
ʐ	[1]饶- [3]惹扰- [5]绕-														
x	[1]荷何河蒿-毫- [3]荷{拿}豁{~出去} [5]贺好{~吃菜}														
ŋ	[1]俄鹅蛾讹阿{~胶}峨厄熬-{~菜} [3]我 [5]饿颚鏊														
#uəɪ															
t	[3]朵躲垛{~口} [5]剁跺垛{~麦秸}														
tʰ	[3]妥椭 [5]唾														
ts	[5]坐=座=														
tsʰ	[1]搓=锉{动词} [3]搓{~泥} [5]挫措错=锉{~刀}厝														
s	[3]锁=														
k	[1]锅埚 [3]果裹戈 [5]过														
kʰ	[1]科蝌颗棵 [3]颗{~子：粒状物} [5]课骒阔{~气}嗑														
x	[1]和{~气}禾 [3]火伙 [5]祸货和{搅～}														
Ø	[1]倭窝莴蜗涡□{～断} [5]卧涴{弄脏}														
#yəɪ															
tɕ	[1]□{揪，拽} [5]座-坐-														
tɕʰ	[1]瘸														
ɕ	[1]蓑梭靴 [3]锁-琐														
Ø	[1]□{拟声词：吆喝牲口停住}														
#ai															
p	[1]白{徒然} [3]摆把{~门关上} [5]败拜稗														
pʰ	[1]牌排徘  [5]派														
m	[3]买 [5]迈卖														
t	[1]呆 [3]逮 [5]带=贷=大{~夫}代=														
tʰ	[5]太=态=泰														
n	[1]奶{吃～～} [3]奶乃 [5]内														
l	[1]来莱 [3]□{不～:晃动} [5]赖濑癞														
ts	[1]灾=斋栽=哉 [3]载宰□{「这一个」的合音}□{圪～～：首领} [5]再=在=寨债														
tsʰ	[1]才=材=财柴=揣{~在怀里} [3]踩 [5]蔡														
s	[1]筛酾□{～锣:使劲乱敲锣} [5]赛晒塞														
k	[1]该= [3]改= [5]丐盖=概溉														
kʰ	[1]开= [3]凯恺楷□{挤}														
ŋ	[1]哀埃 [3]矮蔼霭隘 [5]爱=艾=														
x	[1]孩=鞋-还{~要去} [3]海 [5]害=亥骇解{~不下:不懂}														
Ø	[1]唉哎														
#iai															
ȵ	[1]捱崖挨														
tɕ	[1]街秸皆阶 [3]解 [5]介芥疥戒诫械界届														
tɕʰ	[1]揩														
ɕ	[1]鞋= 谐{和~}[5]懈邂蟹														
#uai															
ts	[5]拽{~住}														
tsʰ	[1]揣{~测} [5]踹														
s	[1]摔衰 [3]甩 [5]帅率蟀														
k	[1]乖 [3]拐 [5]怪														
kʰ	[3]块㧟{~痒} [5]筷快														
x	[1]怀淮槐 [3]个- [5]坏														
Ø	[1]歪 [3]□{「兀个」的合音}														
#ṇ															
Ø	[1]呢{怎~:怎么}		[3]你												
#ei															
p	[1]背杯悲卑碑陪{~随:嫁妆}赔-培-埋- [5]倍辈贝焙惫悖背{~转}避=														
pʰ	[1]赔=培=裴胚坯= [3]裴沛 [5]佩配														
m	[1]枚梅莓媒玫霉酶埋= [3]每美煤{~炭} [5]妹寐魅昧														
t	[1]台{圪～～:台阶}□{藏} [3]歹逮-□{弄，搞}  [5]戴{~帽子}袋待{~要：乐意做某事}代=贷怠=带=														
tʰ	[1]台=抬=胎 [5]太=态=														
n	[5]耐奈														
ts	[1]贼栽灾- [5]在-再-才{刚~}														
tsʰ	[1]猜=裁才材 [3]采彩睬 [5]菜														
s	[1]些=腮-														
k	[1]该- [3]改- [5]钙-盖-														
kʰ	[1]开-														
ŋ	[5]爱-艾-														
x	[1]孩- [5]害-														
Ø	[1]儿而 [3]尔耳饵迩 [5]二														
#uei															
t	[1]堆 [5]对队兑碓														
tʰ	[1]推颓 [3]腿 [5]退蜕褪蜕														
l	[1]鹿{～儿}雷擂蕾礌 [3]垒=磊儡屡累 [5]累=泪=类														
ts	[1]追锥锤{秤~}粥{~儿} [3]嘴= [5]最罪醉=坠缀赘														
tsʰ	[1]崔催摧吹垂捶炊槌 [5]脆翠萃粹淬悴														
s	[1]随遂虽绥谁隋隧髓 [3]水 [5]岁=碎穗=祟睡税														
z	[5]瑞睿锐														
k	[1]归轨龟规圭硅闺□{刀～了：刀钝了}  [3]鬼诡给- [5]柜贵瑰桂														
kʰ	[1]亏奎魁葵盔{~~：小型家用陶器}窥揆睽 [3]傀溃{~烂} [5]愧刽跪馈														
x	[1]灰茴晖回辉扉恢麾诙飞非妃菲肥= [3]翡斐匪绯诽毁悔晦 [5]费=废沸肺狒会徽惠汇慧绘荟挥卉烩贿秽讳喙溃{~脓}														
Ø	[1]为微潍维惟帷唯薇巍威围危桅□{坟地} [3]伟委尾=玮炜违纬伪韦萎苇=猬猥 [5]位未味胃卫喂魏畏谓蔚慰尉渭遗外														
#au															
p	[1]包胞苞刨{~地} [3]保宝饱褒葆 [5]爆抱=暴报雹豹鲍刨{～花}曝														
pʰ	[1]袍剖{~转}抛脬 [3]跑 [5]炮泡														
m	[1]毛=猫茅矛髦锚 [3]卯铆峁 [5]冒帽茂贸貌袤懋□{扔}														
t	[1]刀叨{唠~}萄{葡~}桃淘{~米}岛 [3]倒导捣蹈祷稻 [5]到道盗倒{把水～了}悼														
tʰ	[1]涛焘饕韬滔掏陶逃 [3]讨 [5]套䵚{~黍：高粱}														
n	[1]挠=铙 [3]脑恼瑙□{扛} [5]闹														
l	[1]捞劳牢唠崂痨 [3]老佬栳□{吃～饭了} [5]烙酪落{~下来}骆{~驼}涝络{~线线}														
ts	[1]遭糟曹{姓氏}槽朝招=昭召钊沼 [3]早澡枣藻蚤找爪= [5]照=赵=兆=肇笊{~篱}造皂灶燥噪躁□{累}														
tsʰ	[1]巢超抄钞嘲潮=嘈漕操 [3]草吵炒= [5]造糙														
nz	[1]挠-{~痒}														
s	[1]骚搔梢烧=稍捎韶 [3]扫嫂炒-少=晌-{~午} [5]哨{花~}捎{~马子}臊{害～}扫{~帚}少{~年}绍邵														
ʐ	[1]饶= [3]扰=														
k	[1]高=糕= [3]搞稿= [5]告=郜														
kʰ	[3]考=烤=拷 [5]靠=铐=犒搞														
ŋ	[1]嗷 [3]袄 [5]傲拗懊{~悔}奥														
x	[1]豪嚎毫=蚝壕蒿= [3]好 [5]号皓昊耗{~子}														
Ø	[1]噢														
#iau															
p	[1]标=膘=彪 [3]表={～达}裱=婊=														
pʰ	[1]飘=瓢=嫖 [5]票=漂={~亮}														
m	[1]苗=描= [3]秒渺藐 [5]妙=														
t	[1]雕=刁=貂 [5]吊=														
tʰ	[1]挑={~剔}调={~试}														
l	[1]辽潦=镣缭 [3]了={~结} [5]料={材~}疗=尥														
tɕ	[1]交教{~书}跤姣茭郊蛟骄蕉椒焦=礁娇矫 [3]绞=饺铰狡 [5]教{~育}较校{~对}窖酵觉{睡~}														
tɕʰ	[1]悄=樵敲瞧锹憔 [3]巧 [5]俏=窍鞘=峭														
ȵ	[3]鸟咬 [5]尿=														
ɕ	[1]消=肖=硝宵霄潇=箫=骁逍硝枭淆崤萧嚣 [3]小=晓= [5]啸效校孝														
Ø	[1]腰=姚妖邀遥=瑶尧谣={~言}夭要={~求}爻肴 [5]耀														
#ou															
p	[1]钵{~子：木鱼类响器}														
t	[1]兜蔸头都= [3]斗抖蚪陡 [5]逗斗{争~}痘窦豆□{～争～土：使尘土散开}														
tʰ	[1]头=投偷 [5]透														
n	[1]奴 [3]努 [5]怒														
l	[1]楼娄蒌耧蝼喽搂{~柴}卢炉芦庐赂 [3]鲁卤橹陋搂{~抱}篓 [5]路露漏虏														
ts	[1]㨄{把物体从一端托起来}邹周舟州洲稠租□{端}诌{说大话} [3]走肘祖 [5]皱咒宙胄揍奏绉昼做就{~去}														
tsʰ	[1]粗□{～儿：套在牲口嘴部防治吃庄稼的网状物}□{从物体的一侧用力，使活动}抽筹酬愁=仇踌畴绸 [3]丑瞅酬 [5]凑臭醋														
nz	[1]扭-														
s	[1]苏酥稣愁-收搜艘馊 [3]守手首擞叟 [5]寿受授痩兽漱绶嗽{咳~}售素诉														
ʐ	[1]柔揉糅蹂 [5]肉														
k	[1]沟钩勾 [3]狗苟 [5]够购{采~}垢{污～}诟{～病}构媾														
kʰ	[1]抠 [3]口 [5]扣叩寇蔻□{米～了：米撒了}														
ŋ	[1]欧殴{~打}鸥{海～}瓯讴怄 [3]偶藕{~根}呕 [5]沤														
x	[1]猴瘊喉侯□{小} [3]吼 [5]后厚候逅														
Ø	[1]呕{应答声}														
#iou															
t	[1]丢														
l	[1]刘留瘤硫{~黄}流榴{石~} [3]柳绺 [5]骝馏镏{金～子}六														
tɕ	[1]阄㞗{男阴}究{~竟}纠厩{马~}揪赳鸠鹫 [3]九酒久灸韭□{~着：击着} [5]救就=究{讲~}舅旧臼蹴疚柩														
tɕʰ	[1]秋邱丘裘囚酋球求														
ȵ	[1]牛 [3]扭=纽忸 [5]拗														
ɕ	[1]修休羞馐宿{星~} [3]朽 [5]秀绣锈嗅袖														
Ø	[1]由油游优尤悠忧邮幽莜 [3]有友酉莠犹 [5]又右幼佑柚釉祐诱														
#ɿ															
p	[1]鄙屄 [3]饼-比=陛彼俾毖妣 [5]蔽币敝闭弊毙避=病-并-{折～:合并}														
pʰ	[1]皮批砒坯啤脾琵披平-{~地} [3]疲痞癖比- [5]屁僻														
m	[1]迷眯谜糜靡明-{月～:月亮}名-眉-{~毛}楣-弥猕 [3]米 [5]命-□{举手放到自己肩膀处}														
t	[1]低提-蹄堤{~坝}疔-钉-{~子}叮- [3]底抵诋邸砥顶-{~针} [5]蒂地帝缔第弟递钉-{~住}定-棣														
tʰ	[1]听-题提=啼梯停- [3]体挺- [5]替剃涕倜嚏屉														
l	[1]离黎梨犁璃{玻~}厘篱{~笆}铃-凌-{冬~:冰块}零-陵{武～村：地名} [3]里理李礼鲤履吕侣领-{~子} [5]丽俪利俐痢猁隶立粒戾厉励砺蛎詈例吏荔{~枝}另-														
ts	[1]机齐-骑-{~马}池鸡基肌饥几讥机畸枝支芝济脐-{肚不~：肚脐眼}姬资滋姿咨兹淄箕龇锱磁慈瓷-迟-睁-{~眼}睛-{眼~仁仁：瞳孔}精-{~明}蒸-晴{~天}惊-正-{~月} [3]几虮己辎挤紫籽仔梓姊子纸只祉止指脂旨酯趾芷址整-{~摞}井- [5]自字志至致制智置滞稚挚炙痔痣正-{~房}掷秩帜既寄继忌纪剂技冀祭际记计辑寂静-镜-{映~儿：照镜子}净-缯-{~口袋}掷□{量轻重，冷热等}														
tsʰ	[1]轻-倾-{把水～了：把水倒了}清-青-{～菜}祁其妻奇期齐=旗棋骑=栖漆欺凄祺歧企鳍瓷=词磁=池迟=驰弛持雌祠晴-痴 [3]此齿侈耻起启岂顷{一～地} [5]刺赐次伺=斥翅敕气器弃契汽砌														
nz	[1]宜尼泥妮呢倪霓 [3]你=拟 [5]腻匿泥{~墙:抹墙}														
s	[1]西辞词祠希溪稀{~饭}曦犀汐肥-兮牺奚斯丝思私撕司时鲥匙诗师施狮虱厮匙甥-{外～子}升-声-绳-{~绳}盛-{~饭}城-星{走～：流星}生-腥- [3]史使驶屎死施洗喜嬉擤-{~鼻涕} [5]世势费-{~电}誓逝是氏示侍视嗜市士事四寺似肆祀嗣饲戏细系剩-{~饭}伺栅{开～:地名}兴{广～:村名}噬泗婿-岁-														
Ø	[1]衣伊宜姨移怡仪夷谊胰{~子}医蝇-{苍~}赢-{输~}依营-盈- [3]椅蚁倚已以尾-影-{~虎儿：影子} [5]亦艺义易意毅亿忆毅臆癔薏意翼翌逸奕抑颐异役疫应-{答~}														
#i															
p	[1]标-膘- [3]表-{手~}婊-裱- [5]摽														
pʰ	[1]瓢-漂-{~流}飘- [3]漂-{~白}瞟-苤□{～叶子:打叶子} [5]票-														
m	[1]苗-{树~}描-瞄-□{地名「明阳」的合音} [5]庙-妙-														
t	[1]爹叼-刁-碉-调-{~味}笤-条-{布～～} [5]掉-钓-{~鱼}吊-调-{~动}铫-□{～一遭：去某处马上就回来}														
tʰ	[1]挑-{~拣}缲条= [3]挑{~担} [5]跳粜														
ȵ	[1]□{「你们家」的合音} [5]尿-□{恭维奉承}														
l	[1]燎-僚-辽- [3]燎了-{~结} [5]撂料-{调~}														
tɕ	[1]焦-椒-{辣~}浇-{~花}乔-荞{~面}桥- [3]左- [5]轿-窖-叫-														
tɕʰ	[1]桥=乔=悄-搓- [3]雀{~儿} [5]翘撬俏-窃														
ɕ	[1]销-消-硝-潇-箫-斜谐偕些邪 [3]小-晓-写 [5]笑谢卸泻														
Ø	[1]腰-窑-谣-遥-{平~}摇-吆-耶椰爷掖 [3]舀-也野冶 [5]要-鹞-液腋夜														
#u															
p	[1]葡-{~萄}脯 [3]补捕埠哺堡- [5]抱-部步布怖簿{作文～}														
pʰ	[1]铺蒲菩匍莆 [3]普浦谱璞 [5]瀑铺{~子}														
m	[1]谋毛-眸模牟 [3]姆亩母拇牡 [5]幕慕墓暮募牧														
ts	[1]猪朱珠诸株茱诛蛛厨{~房}储- [3]组阻主煮 [5]住驻助著注柱铸箸蛀伫苎炷杼														
tsʰ	[1]初橱除雏刍□{伸} [3]处{~理}楚杵矗储=褚□{把棍状物伸入或伸出} [5]处怵														
nz	[3]女														
s	[1]疏枢殊抒舒戍书输梳锄{~地}[3]蔬秫数{~数}暑署薯曙黍鼠[5]树庶数{~目}竖恕														
ʐ	[1]如茹 [3]汝乳濡儒蠕擩{伸} [5]□{递向，伸向}														
t	[1]嘟都= [3]堵赌肚{~子:胃}睹 [5]肚杜渡度妒镀蠹														
tʰ	[1]途徒屠涂图荼 [3]吐土 [5]兔菟吐{~沫}														
k	[1]姑箍咕{~儿：老鼠}沽咕蛄辜孤 [3]汩鼓古钴诂蛊股□{强迫别人做某件事} [5]雇顾故估固梏崮														
kʰ	[1]枯骷 [3]苦 [5]库裤														
x	[1]乎呼壶胡糊湖葫蝴猢瑚滹互弧狐夫麸孵芙扶孚浮苻蜉符 [3]虎琥唬否缶肤府俯腐甫辅抚腑脯{果~}斧釜滏笏阜浒 [5]糊户护沪扈敷傅富副赴讣赋父付附驸负														
Ø	[1]污巫诬恶{可~}乌呜钨无芜吾梧吴蜈毋 [3]武庑怃妩五捂忤舞午□{使物体在空中飞动} [5]误悟晤务雾坞鹜														
#ʮ															
l	[1]驴 [3]旅缕楼屡侣铝 [5]虑滤泪-														
ts	[1]驹渠苣拘居锔{~盆儿}据{拮~}车{:象棋棋子的一种}醉-瞿   [3]举嘴- [5]聚巨炬拒距矩具俱惧句据剧锯														
tsʰ	[1]蛆区岖躯驱蛐衢 [3]取娶= [5]去趣觑														
nz	[1]鱼宜-{~儿村：地名}														
s	[1]虚需须墟徐嘘兄-{~弟}岁-{~数}婿= [3]许诩 [5]叙序绪絮穗-														
Ø	[1]盂迂愚余俞渝榆臾腴萸予妪渔 [3]宇雨语屿舆虞禹羽舁 [5]誉玉与昱煜寓遇谕愈喻愉逾芋御豫预尉熨驭欲浴慰														
#ʊ															
p	[1]梆-邦-旁-庞-{姓氏}  [3]榜-膀-{肩～}绑-  [5]棒-														
pʰ	[1]耪  [5]胖-														
m	[1]芒-{~种}忙 [3]蟒-														
t	[1]当-{~家}裆  [3]挡 [5]当-{典~}荡□{~土：飞扬的尘土落到人身上}														
tʰ	[1]汤-{米~} 堂-糖-塘-搪- [3]躺-{~下} [5]烫-趟-														
n	[1]□{无用之人} [3]囊-攮-{~子}□{充足} [5]齉														
l	[1]狼-廊- [5]浪-														
ts	[1]庄-桩-脏-赃-装-妆-长-{~短}张-肠-{~子}场-{~院}掌-{巴~}匠-{木~}藏-{~起来} [3]长-{~大}涨-{上~}掌-{~柜} [5]丈- 仗-{炮~} 仗-{擀面~} 帐-{~蓬}胀-账-幛-状-□{增多}														
tsʰ	[1]长=常=床=双-窗= [3]场=撞-敞-{~开}厂-{工~} [5]唱-{~戏}														
nz	[3]□{推}														
s	[1]窗-疮-桑-{~树}伤-{~寒}常-裳-{衣~}尝- 霜- [3]嗓-{~子}所-垧-晌-{~午} [5]上-{~山}尚-{高~}														
ʐ	[1]瓤壤 [3]嚷□{～子花：轧过未弹的棉花}														
k	[1]刚-钢-缸-{水~}羔-哥-{兄}广{~兴:村名}  [5]杠-{~子}逛-□{使刀锋利}刚-{~走}														
kʰ	[1]康-糠-筐- [3]扛-{~东西} [5]炕-{土~}框														
x	[1]行-{银~}荒-慌-黄-簧-隍-蝗-惶-凰-方-房-防-坊-妨- [3]仿-纺-幌-谎- [5]巷-{~巷}放-晃-														
Ø	[1]王-汪-亡- [3]往-网-辋- [5]忘-妄-望-芒-{麦～}														
#iʊ															
ȵ	[1]娘- [3]仰-{~起来：抬起来}														
l	[1]量-{丈~}梁-凉-粮-{~食}粱-{高～}良-  [5]凉-{把水～一下}晾-{圪～:累}量-{数~}														
tɕ	[1]豇-僵-缰-墙-{院~}强-{比我～}将{~军}浆-姜- [3]桨-耩-{~地}讲-{～话} [5]酱-{~油}虹-犟{~嘴}														
tɕʰ	[1]呛-{~人}枪-腔-戗-悄- [3]抢-雀- [5]呛-{～嗓子}														
ɕ	[1]相-箱-香-镶- [3]想-响-享- [5]象-项-														
Ø	[1]央-秧-殃-杨-{~树}扬-羊-{放~}洋-阳- [3]痒养- [5]样-漾-{扔掉}														
#en															
p	[1]般搬盘- [5]半拌绊伴														
pʰ	[1]盘=潘蟠磐 [5]判叛畔														
m	[1]瞒馒蔓{~菁} [3]满 [5]墁														
ts	[1]沾毡占{~卜}粘詹缠-{盘~} [3]展瞻 [5]占战颤□{花生~}														
tsʰ	[1]缠=禅蝉蟾忏 [3]阐														
nz	[1]黏鲇拈 [3]碾{~压} [5]碾{~盘}														
s	[1]扇{~风}煽 [3]闪陕 [5]扇{~子}骟善膳鳝蟮缮擅赡苫单{姓氏}禅														
ʐ	[3]染然燃冉苒														
k	[1]甘干柑肝泔 [3]敢橄感赶杆秆擀 [5]干{主~}赣{李～}														
kʰ	[1]看{~门} [3]砍坎刊堪龛勘{~探}□{扔掉} [5]看瞰														
x	[1]寒酣鼾韩 [5]汗汉旱焊悍瀚罕翰憾撼捍														
ŋ	[1]安鞍庵 [3]揞 [5]按岸案暗黯鞍														
#uen															
t	[1]端{~五}团- [3]短 [5]断段锻缎煅□{追}														
tʰ	[1]团=抟														
l	[1]联恋=鸾栾峦銮孪挛 [3]卵□{拧} [5]乱														
ts	[1]专砖钻椽泉-{龙～:村名} [3]转 [5]钻{~石}篆传{～记}转{～圈}撰														
tsʰ	[1]川穿船传钏汆 [3]喘 [5]串窜蹿篡														
nz	[3]暖														
ʐ	[3]软阮														
k	[1]官观冠{鸡~}棺倌 [3]管馆莞 [5]贯灌罐冠{~军}观{寺~}盥														
kʰ	[1]宽 [3]款														
x	[1]欢桓 [3]缓 [5]焕换唤涣痪浣獾														
Ø	[1]完丸豌蜿顽{~皮}玩纨 [3]宛碗婉惋 [5]腕														
#in															
p	[1]鞭编边 [3]扁=匾蝙贬煸 [5]变遍辩辫辨便{方~}汴卞														
pʰ	[1]篇偏便{～宜} [3]谝片 [5]骗														
m	[1]绵棉眠 [3]免缅勉娩冕腼 [5]面														
t	[1]甜颠巅滇田-{耕~}填{~补}掂 [3]点典碘 [5]佃电店垫殿淀踮惦奠														
tʰ	[1]天添田= [3]舔恬腆□{脱～:脱去衣帽}														
ȵ	[1]年研- [3]辇撵捻 [5]念砚-酽-{~茶}廿														
l	[1]连涟莲鲢廉镰帘 [3]脸敛殓 [5]练链炼炼怜														
tɕ	[1]尖煎兼笺坚前-{~面}钱-菅腱 [3]减-捡俭检剪[5]见箭剑件渐贱溅践建键健踺荐毽														
tɕʰ	[1]𣔙钎千前=牵遣钳签潜谦阡虔迁钱=乾黔 [3]浅谴谴□{(短时间)等} [5]欠歉芡倩堑纤{拉～}														
ɕ	[1]先鲜仙掀暹贤嫌舷弦纤{~维} [3]险藓显 [5]县献宪线现羡														
Ø	[1]岩严延渊缘淹=腌=颜=炎阎盐檐焉嫣言烟咽{~喉}胭{~脂}芫-{~荽}沿 [3]偃演衍兖魇 [5]验宴燕咽{吞～}堰艳焰厌谚彦□{~火：烧柴火}														
#yn															
tɕ	[1]捐{~助}娟涓鹃泉- 拳-圈-[3]卷 [5]卷{~子}倦绢圈{羊~}眷														
tɕʰ	[1]泉=全拳=醛痊权圈=荃颧诠 [3]犬□{把人或动物关住} [5]劝														
ɕ	[1]轩宣玄悬萱喧煊暄酸 [3]选 [5]旋漩楦炫券{~门}算蒜														
Ø	[1]园圆源原元媛援冤员垣辕沅瑗 [3]远 [5]愿怨院苑														
#aŋ															
p	[1]班斑颁瘢扳邦=帮=梆= [3]板阪版坂榜=膀=绑=扁-{~担} [5]办瓣扮傍磅=磅棒=														
pʰ	[1]攀旁=庞=滂膀= [3]耪= [5]盼胖袢														
m	[1]蛮忙=芒=茫盲氓 [3]莽=蟒 [5]慢漫=幔=谩蔓														
t	[1]坛-担丹耽单诞惮郸弹-{～棉花}当=裆= [3]胆掸{～子}挡=党 [5]担淡旦但蛋殚弹-{子~}当=宕荡=														
tʰ	[1]堂=唐糖=棠搪=塘=螳汤=贪谭覃潭坍谈痰摊滩瘫弹={~性}坛=檀 [3]坦毯倘躺= [5]探炭叹烫=趟=														
n	[1]难男南楠囊=攮={~子} [5]齉=难{苦~}														
l	[1]岚蓝篮拦栏兰阑婪狼=郎廊=螂 [3]懒览揽缆朗 [5]浪=滥烂														
ts	[1]蚕簪脏=赃=章嶂彰樟漳獐张=沾咱 [3]斩盏攒长=涨=掌= [5]站暂赞蘸绽栈脏={五~}障瘴丈=杖=仗=帐=账=胀=□{多增}														
tsʰ	[1]参餐残孱潺馋=搀谗仓苍长=肠=常=尝=昌猖偿掺 [3]产铲惨场=厂=敞=  [5]怅惝倡唱=畅														
nz	[1]喃□{反复嚼韧性物} [3]□{大口咬} [5]□{地面松软，人走在上面}														
s	[1]三衫杉珊删姗山馋-桑丧商殇伤=裳= [3]散{分~}伞赏晌=嗓=搡 [5]散{发~}上=尚丧=														
ʐ	[1]瓤=壤= [3]攘嚷= [5]让=														
k	[1]肛岗冈缸=刚=纲=纲罡港=  [5]杠=														
kʰ	[1]康糠 [3]抗{~日}扛=慷= [5]炕=亢														
ŋ	[1]昂淹=肮{~脏} [3]舀-														
x	[1]含函涵咸行=杭航夯衔-{~住}咸-还{~有} [3]喊 [5]巷=														
#iaŋ															
l	[1]良=凉=量=梁=粱粮= [3]两=俩={伎～} [5]亮量{数~}晾=谅														
tɕ	[1]江姜僵=缰=疆将肩间奸监{~视}艰 [3]蒋奖讲=简拣柬谏茧碱减= [5]间{~隔}鉴虹=降{~落}将匠=酱=犟=涧绛														
tɕʰ	[1]铅锵枪=墙=疆羌强腔 [3]抢强{勉~}														
ȵ	[1]颜娘= [3]眼 [5]雁														
ɕ	[1]衔=闲相=厢=箱=襄镶祥详厢湘乡香=降{投~}翔咸= [3]享=响=想=饷 [5]限陷馅象=相向项=巷=														
Ø	[1]央=殃=泱秧=羊=阳=杨=扬=鸯 [3]养=痒=仰氧 [5]样=漾=恙=														
#uaŋ															
ts	[1]庄=装=妆=桩= [5]壮状=撞=赚														
tsʰ	[1]床窗=疮=床= [3]撞=闯=创爽=														
s	[1]霜孀双=闩栓拴 [3]□{～起一个泡：磨出一个泡} [5]涮														
k	[1]关鳏光= [3]广 [5]逛=掼惯														
kʰ	[1]匡狂筐= [5]矿旷况框=														
x	[1]荒=慌=黄=皇隍=湟=蝗=磺=簧=凰=房=方=芳防=妨=坊=肪凡帆还环藩翻番烦樊繁寰鬟 [3]反返恍=谎=纺=仿=彷访幌= [5]范犯饭贩泛梵贩幻宦豢放=晃=患														
Ø	[1]顽{~固}湾弯亡=王=汪= [3]晚挽往=网=辋= [5]万忘=望=旺妄=枉														
#əŋ															
p	[1]崩锛盆-绷={~紧}奔□{~头：额头}  [3]本绷{~着脸} [5]笨泵蹦														
pʰ	[1]喷盆=烹彭棚=膨澎蓬鹏朋篷抨怦蜂-{马~} [3]捧□{~上：遇上} [5]碰喷{~香}□{绽开}														
m	[1]门蒙{~蔽}檬萌们扪懵焖 [3]盟猛=蒙{~古} [5]梦孟闷□{泡一段时间}														
t	[1]登灯疼誊{~出} [3]等 [5]凳邓瞪														
tʰ	[1]吞豚腾藤滕 [3]□{傻}														
n	[1]能农浓脓 [5]嫩弄														
l	[1]楞棱 [3]冷= [5]愣														
ts	[1]陈-{姓氏}针真珍贞侦祯桢帧臻甄帧斟榛稹箴增睁=正=蒸=筝争挣疹诊惩 [3]缜整=拯赈 [5]镇振震阵证症政枕正=朕赠憎缯={扎}														
