ID	繁體	简体	聲韻	声母	韵母	聲調	注釋		声调：	
380	廚	厨	dzɿ	dz	ɿ	阳平				
381	忱	忱	dzaŋ	dz	aŋ	阳平				
382	慚	惭	dza	dz	a	阳平				
383	懲	惩	dzeŋ	dz	eŋ	阳平				
384	持	持	dzɿ	dz	ɿ	阳平				
385	搽	搽	dzo	dz	o	阳平				
386	摧	摧	dzai	dz	ai	阳平				
387	旗	旗	dzɿ	dz	ɿ	阳平				
388	曾	曾	dzaŋ	dz	aŋ	阳平	～經			
389	期	期	dzɿ	dz	ɿ	阳平				
390	查	查	dzo	dz	o	阳平				
391	棋	棋	dzɿ	dz	ɿ	阳平				
392	槌	槌	dzɿ	dz	ɿ	阳平				
393	槎	槎	dzo	dz	o	阳平				
394	橙	橙	dzeŋ	dz	eŋ	阳平				
395	橙	橙	dziɛ	dz	iɛ	阳平				
396	殘	残	dza	dz	a	阳平				
397	池	池	dzei	dz	ei	阳平				
398	沈	沈	dzaŋ	dz	aŋ	阳平				
399	沉	沉	dzaŋ	dz	aŋ	阳平				
400	淇	淇	dzɿ	dz	ɿ	阳平				
401	潺	潺	dza	dz	a	阳平				
402	澄	澄	dzeŋ	dz	eŋ	阳平				
403	澄	澄	dzeŋ	dz	eŋ	阳平				
404	爭	争	dziɛ	dz	iɛ	阳平	搶			
405	琦	琦	dzɿ	dz	ɿ	阳平				
406	畿	畿	dzɿ	dz	ɿ	阳平				
407	祁	祁	dzɿ	dz	ɿ	阳平				
408	祈	祈	dzɿ	dz	ɿ	阳平				
409	祺	祺	dzɿ	dz	ɿ	阳平				
410	程	程	dzeŋ	dz	eŋ	阳平				
411	箎	箎	dzei	dz	ei	阳平				
412	缶	缶	dzeŋ	dz	eŋ	阳平				
413	耆	耆	dzɿ	dz	ɿ	阳平				
414	臣	臣	dzaŋ	dz	aŋ	阳平				
415	茄	茄	dzɿ	dz	ɿ	阳平				
416	茬	茬	dzo	dz	o	阳平				
417	茶	茶	dzo	dz	o	阳平				
418	蓍	蓍	dzɿ	dz	ɿ	阳平				
419	蜍	蜍	dzɿ	dz	ɿ	阳平				
420	蜞	蜞	dzɿ	dz	ɿ	阳平				
421	讒	谗	dza	dz	a	阳平				
422	躇	躇	dzɿ	dz	ɿ	阳平				
423	遲	迟	dzɿ	dz	ɿ	阳平				
424	錘	锤	dzɿ	dz	ɿ	阳平				
425	除	除	dzɿ	dz	ɿ	阳平				
426	陳	陈	dzaŋ	dz	aŋ	阳平				
427	頎	颀	dzɿ	dz	ɿ	阳平				
428	饞	馋	dza	dz	a	阳平				
429	馳	驰	dzɿ	dz	ɿ	阳平				
430	騎	骑	dzɿ	dz	ɿ	阳平				
431	鰭	鳍	dzɿ	dz	ɿ	阳平				
432	丞	丞	zeŋ	z	eŋ	阳平				
433	乘	乘	zeŋ	z	eŋ	阳平				
434	人	人	zaŋ	z	aŋ	阳平				
435	仁	仁	zaŋ	z	aŋ	阳平				
436	仍	仍	zeŋ	z	eŋ	阳平				
437	佘	畲	zei	z	ei	阳平				
438	僝	僝	za	z	a	阳平				
439	儒	儒	zɿ	z	ɿ	阳平				
440	儕	侪	za	z	a	阳平				
441	匙	匙	zei	z	ei	阳平				
442	叢	丛	zoŋ	z	oŋ	阳平				
443	嘈	嘈	zɜ	z	ɜ	阳平				
444	城	城	zeŋ	z	eŋ	阳平				
445	塍	塍	zeŋ	z	eŋ	阳平				
446	塒	埘	zɿ	z	ɿ	阳平				
447	如	如	zɿ	z	ɿ	阳平				
448	妊	妊	zaŋ	z	aŋ	阳平				
449	娠	娠	zaŋ	z	aŋ	阳平				
450	存	存	zø	z	ø	阳平				
451	孱	孱	za	z	a	阳平	～弱			
452	孺	孺	zɿ	z	ɿ	阳平				
453	宸	宸	zaŋ	z	aŋ	阳平				
454	尋	寻	zaŋ	z	aŋ	阳平				
455	層	层	zaŋ	z	aŋ	阳平				
456	岑	岑	zaŋ	z	aŋ	阳平				
457	崇	崇	zoŋ	z	oŋ	阳平				
458	巉	巉	za	z	a	阳平				
459	巢	巢	zuɔ	z	uɔ	阳平				
460	徂	徂	zɤu	z	ɤu	阳平				
461	徐	徐	zei	z	ei	阳平				
462	情	情	zeŋ	z	eŋ	阳平				
463	愁	愁	zau	z	au	阳平				
464	慈	慈	zɿ	z	ɿ	阳平				
465	慚	惭	za	z	a	阳平				
466	戎	戎	zoŋ	z	oŋ	阳平				
467	成	成	zeŋ	z	eŋ	阳平				
468	承	承	zeŋ	z	eŋ	阳平				
469	斜	斜	zei	z	ei	阳平				
470	斜	斜	zo	z	o	阳平				
471	昨	昨	zo	z	o	阳平				
472	時	时	zɿ	z	ɿ	阳平				
473	晨	晨	zaŋ	z	aŋ	阳平				
474	晴	晴	zeŋ	z	eŋ	阳平				
475	曹	曹	zɜ	z	ɜ	阳平				
476	曾	曾	zaŋ	z	aŋ	阳平	～經			
477	材	材	ze	z	e	阳平				
478	柴	柴	za	z	a	阳平				
479	栭	栭	zɿ	z	ɿ	阳平				
480	槽	槽	zɜ	z	ɜ	阳平				
481	殂	殂	zɤu	z	ɤu	阳平				
482	殊	殊	zɿ	z	ɿ	阳平				
483	殘	残	za	z	a	阳平				
484	殳	殳	zɿ	z	ɿ	阳平				
485	洏	洏	zɿ	z	ɿ	阳平				
