ID	繁體	简体	聲韻	声母	韵母	聲調	注釋		声调：	
3225	鰾	鳔	biɛ	b	iɛ	阳上				
3226	□	□	tai	t	ai	阴上	<[阜-十]力>拉扯			
3227	丼	丼	taŋ	t	aŋ	阴上	坑			
3228	亶	亶	ta	t	a	阴上				
3229	倒	倒	tɜ	t	ɜ	阴上	打～			
3230	傣	傣	ta	t	a	阴上				
3231	典	典	ti	t	i	阴上				
3232	垛	垛	to	t	o	阴上				
3233	堵	堵	tøy	t	øy	阴上				
3234	島	岛	tɜ	t	ɜ	阴上				
3235	底	底	tei	t	ei	阴上				
3236	懂	懂	toŋ	t	oŋ	阴上				
3237	打	打	tiɛ	t	iɛ	阴上				
3238	抖	抖	tau	t	au	阴上				
3239	抯	抯	to	t	o	阴上	拿取			
3240	抵	抵	tei	t	ei	阴上				
3241	搗	捣	tɜ	t	ɜ	阴上				
3242	撢	撢	ta	t	a	阴上				
3243	擋	挡	tuɔ	t	uɔ	阴上				
3244	朵	朵	to	t	o	阴上				
3245	枓	枓	tau	t	au	阴上				
3246	柢	柢	tei	t	ei	阴上				
3247	歹	歹	ta	t	a	阴上				
3248	玷	玷	ti	t	i	阴上				
3249	疸	疸	ta	t	a	阴上				
3250	癉	瘅	ta	t	a	阴上	風疹			
3251	短	短	tø	t	ø	阴上				
3252	碘	碘	ti	t	i	阴上				
3253	礅	礅	tø	t	ø	阴上	石～			
3254	禱	祷	tɜ	t	ɜ	阴上				
3255	等	等	taŋ	t	aŋ	阴上				
3256	肚	肚	tøy	t	øy	阴上	豬～			
3257	膽	胆	ta	t	a	阴上				
3258	董	董	toŋ	t	oŋ	阴上				
3259	蚪	蚪	tau	t	au	阴上				
3260	詆	诋	tei	t	ei	阴上				
3261	賭	赌	tøy	t	øy	阴上				
3262	躲	躲	to	t	o	阴上				
3263	躲	躲	tɤu	t	ɤu	阴上				
3264	邸	邸	tei	t	ei	阴上				
3265	陡	陡	tau	t	au	阴上				
3266	頂	顶	teŋ	t	eŋ	阴上				
3267	鳥	鸟	tiɛ	t	iɛ	阴上				
3268	點	点	ti	t	i	阴上				
3269	黨	党	tuɔ	t	uɔ	阴上				
3270	鼎	鼎	teŋ	t	eŋ	阴上				
3271	□	□	tʰe	tʰ	e	阴上	<口台>音不正			
3272	倘	倘	tʰuɔ	tʰ	uɔ	阴上				
3273	儻	傥	tʰuɔ	tʰ	uɔ	阴上				
3274	吐	吐	tʰøy	tʰ	øy	阴上				
3275	噸	吨	tʰø	tʰ	ø	阴上	氣味襲人			
3276	土	土	tʰøy	tʰ	øy	阴上				
3277	坦	坦	tʰa	tʰ	a	阴上				
3278	妥	妥	tʰɤu	tʰ	ɤu	阴上				
3279	帑	帑	tʰuɔ	tʰ	uɔ	阴上				
3280	忝	忝	tʰi	tʰ	i	阴上				
3281	惝	惝	tʰuɔ	tʰ	uɔ	阴上				
3282	挑	挑	tʰiɛ	tʰ	iɛ	阴上	～選			
3283	挺	挺	tʰeŋ	tʰ	eŋ	阴上				
3284	捅	捅	tʰoŋ	tʰ	oŋ	阴上				
3285	敨	敨	tʰau	tʰ	au	阴上	舒氣；展開線團、紙團			
3286	殄	殄	tʰi	tʰ	i	阴上				
3287	毯	毯	tʰa	tʰ	a	阴上				
3288	淌	淌	tʰuɔ	tʰ	uɔ	阴上				
3289	疃	疃	tʰø	tʰ	ø	阴上				
3290	統	统	tʰoŋ	tʰ	oŋ	阴上				
3291	耥	耥	tʰuɔ	tʰ	uɔ	阴上				
3292	腆	腆	tʰi	tʰ	i	阴上				
3293	腿	腿	tʰai	tʰ	ai	阴上				
3294	舔	舔	tʰei	tʰ	ei	阴上				
3295	舔	舔	tʰi	tʰ	i	阴上				
3296	艇	艇	tʰeŋ	tʰ	eŋ	阴上				
3297	菼	菼	tʰa	tʰ	a	阴上				
3298	袒	袒	tʰa	tʰ	a	阴上				
3299	討	讨	tʰɜ	tʰ	ɜ	阴上				
3300	躺	躺	tʰuɔ	tʰ	uɔ	阴上				
3301	鉭	钽	tʰa	tʰ	a	阴上	元素名			
3302	钂	镋	tʰuɔ	tʰ	uɔ	阴上				
3303	體	体	tʰei	tʰ	ei	阴上				
3304	□	□	da	d	a	阳上	<竹/戾>竹器			
3305	動	动	doŋ	d	oŋ	阳上				
3306	啖	啖	da	d	a	阳上				
3307	啖	啖	da	d	a	阳上				
3308	噉	噉	da	d	a	阳上				
3309	囤	囤	dø	d	ø	阳上	倉～			
3310	堵	堵	dɤu	d	ɤu	阳上	垢物積聚			
3311	墊	垫	di	d	i	阳上	牙齒嚼到硬物			
3312	墮	堕	dɤu	d	ɤu	阳上				
3313	娣	娣	dei	d	ei	阳上				
3314	宕	宕	duɔ	d	uɔ	阳上	屋宕			
3315	弟	弟	dei	d	ei	阳上				
3316	待	待	de	d	e	阳上				
3317	怠	怠	de	d	e	阳上				
3318	惰	惰	dɤu	d	ɤu	阳上				
3319	掉	掉	diɛ	d	iɛ	阳上	～頭			
3320	斷	断	daŋ	d	aŋ	阳上	白			
3321	斷	断	dø	d	ø	阳上	～絕			
3322	杜	杜	døy	d	øy	阳上				
3323	桶	桶	doŋ	d	oŋ	阳上				
3324	殆	殆	de	d	e	阳上				
3325	氮	氮	da	d	a	阳上				
3326	沌	沌	daŋ	d	aŋ	阳上				
3327	淡	淡	da	d	a	阳上				
3328	澄	澄	deŋ	d	eŋ	阳上	水澄一澄			
3329	澹	澹	da	d	a	阳上				
3330	稻	稻	dɜ	d	ɜ	阳上				
3331	窕	窕	diɛ	d	iɛ	阳上				
3332	簟	簟	di	d	i	阳上				
3333	籪	簖	dø	d	ø	阳上				
3334	肚	肚	døy	d	øy	阳上	腹			
3335	舵	舵	dɤu	d	ɤu	阳上				
3336	萏	萏	da	d	a	阳上				
3337	蛹	蛹	doŋ	d	oŋ	阳上				
3338	袒	袒	da	d	a	阳上	出膊～裸			
3339	道	道	dɜ	d	ɜ	阳上				
3340	錠	锭	deŋ	d	eŋ	阳上				
3341	假	假	ko	k	o	阴上	真～			
3342	剮	剐	ko	k	o	阴上				
3343	剮	剐	ku	k	u	阴上				
3344	古	古	ku	k	u	阴上				
3345	哽	哽	kiɛ	k	iɛ	阴上				
3346	垢	垢	kau	k	au	阴上				
3347	埂	埂	kiɛ	k	iɛ	阴上				
3348	堿	碱	ka	k	a	阴上				
3349	寡	寡	ko	k	o	阴上				
3350	岣	岣	kau	k	au	阴上				
3351	廣	广	kuɔ	k	uɔ	阴上				
3352	感	感	ky	k	y	阴上				
3353	戇	戆	koŋ	k	oŋ	阴上	失去理性的猛烈行為			
3354	拱	拱	koŋ	k	oŋ	阴上				
3355	揀	拣	ka	k	a	阴上				
3356	搞	搞	kɜ	k	ɜ	阴上				
3357	擀	擀	ky	k	y	阴上				
3358	攪	搅	kuɔ	k	uɔ	阴上	～調，玩耍			
3359	攪	搅	ku	k	u	阴上	～糊兒：			
3360	改	改	ke	k	e	阴上				
3361	敢	敢	ky	k	y	阴上				
3362	斝	斝	ko	k	o	阴上				
3363	杲	杲	kɜ	k	ɜ	阴上				
3364	果	果	ku	k	u	阴上				
3365	枸	枸	kau	k	au	阴上				
3366	柬	柬	ka	k	a	阴上				
3367	梗	梗	kiɛ	k	iɛ	阴上				
3368	槁	槁	kɜ	k	ɜ	阴上				
3369	檟	槚	ko	k	o	阴上				
3370	橄	橄	ky	k	y	阴上				
3371	減	减	ka	k	a	阴上				
3372	港	港	kuɔ	k	uɔ	阴上				
3373	滾	滚	kaŋ	k	aŋ	阴上				
3374	牯	牯	ku	k	u	阴上				
3375	狗	狗	kau	k	au	阴上				
3376	狡	狡	ka	k	a	阴上	～猾			
3377	狡	狡	kuɔ	k	uɔ	阴上				
3378	管	管	ky	k	y	阴上				
3379	瘕	瘕	ko	k	o	阴上				
3380	皎	皎	kuɔ	k	uɔ	阴上				
3381	盬	盬	ku	k	u	阴上				
3382	瞽	瞽	ku	k	u	阴上				
3383	碬	碬	ko	k	o	阴上				
3384	稈	秆	ky	k	y	阴上				
3385	稿	稿	kɜ	k	ɜ	阴上				
3386	笱	笱	kau	k	au	阴上				
3387	筊	筊	kuɔ	k	uɔ	阴上				
3388	筦	筦	ky	k	y	阴上				
3389	管	管	kaŋ	k	aŋ	阴上				
3390	管	管	ky	k	y	阴上				
3391	簡	简	ka	k	a	阴上				
3392	絞	绞	kuɔ	k	uɔ	阴上				
3393	綆	绠	kiɛ	k	iɛ	阴上				
3394	緄	绲	kaŋ	k	aŋ	阴上				
3395	縞	缟	kɜ	k	ɜ	阴上				
3396	罟	罟	ku	k	u	阴上				
3397	羖	羖	ku	k	u	阴上				
3398	耇	耇	kau	k	au	阴上				
3399	耩	耩	kuɔ	k	uɔ	阴上				
3400	耿	耿	kiɛ	k	iɛ	阴上				
3401	股	股	ku	k	u	阴上				
3402	臌	臌	ku	k	u	阴上				
3403	苟	苟	kau	k	au	阴上				
3404	蠱	蛊	ku	k	u	阴上				
3405	袞	衮	kaŋ	k	aŋ	阴上				
3406	裹	裹	ku	k	u	阴上				
3407	襉	襉	ka	k	a	阴上				
3408	解	解	ka	k	a	阴上	～放			
3409	詁	诂	ku	k	u	阴上				
3410	講	讲	kuɔ	k	uɔ	阴上				
3411	賈	贾	ko	k	o	阴上	姓			
3412	賈	贾	ku	k	u	阴上	商～			
3413	趕	赶	ky	k	y	阴上				
3414	輨	輨	ky	k	y	阴上				
3415	鉸	铰	ka	k	a	阴上	～剪			
3416	鉸	铰	kuɔ	k	uɔ	阴上				
3417	鐧	锏	ka	k	a	阴上				
3418	鞏	巩	koŋ	k	oŋ	阴上				
3419	餃	饺	kuɔ	k	uɔ	阴上	～兒			
3420	館	馆	ky	k	y	阴上				
3421	鯁	鲠	kiɛ	k	iɛ	阴上				
3422	鼓	鼓	ku	k	u	阴上				
3423	㔶	㔶	kaŋ	k	aŋ	阴上	蓋			
3424	佧	佧	kʰa	kʰ	a	阴上	～佤族			
3425	侃	侃	kʰø	kʰ	ø	阴上				
3426	傀	傀	kʰai	kʰ	ai	阴上				
3427	凱	凯	kʰe	kʰ	e	阴上				
3428	剴	剀	kʰe	kʰ	e	阴上				
3429	卡	卡	kʰa	kʰ	a	阴上				
3430	口	口	kʰau	kʰ	au	阴上				
3431	可	可	kʰuɔ	kʰ	uɔ	阴上				
3432	坎	坎	kʰø	kʰ	ø	阴上				
3433	墾	垦	kʰaŋ	kʰ	aŋ	阴上				
3434	孔	孔	kʰoŋ	kʰ	oŋ	阴上				
3435	巧	巧	kʰuɔ	kʰ	uɔ	阴上				
3436	恐	恐	kʰoŋ	kʰ	oŋ	阴上				
3437	愷	恺	kʰe	kʰ	e	阴上				
3438	懇	恳	kʰaŋ	kʰ	aŋ	阴上				
3439	拷	拷	kʰɜ	kʰ	ɜ	阴上				
3440	捆	捆	kʰaŋ	kʰ	aŋ	阴上				
3441	栲	栲	kʰɜ	kʰ	ɜ	阴上				
3442	楷	楷	kʰa	kʰ	a	阴上				
3443	檻	槛	kʰa	kʰ	a	阴上				
3444	款	款	kʰø	kʰ	ø	阴上				
3445	欿	欿	kʰø	kʰ	ø	阴上				
3446	砍	砍	kʰø	kʰ	ø	阴上				
3447	窾	窾	kʰø	kʰ	ø	阴上				
3448	考	考	kʰɜ	kʰ	ɜ	阴上				
3449	肯	肯	kʰaŋ	kʰ	aŋ	阴上				
3450	艦	舰	kʰa	kʰ	a	阴上				
3451	苦	苦	kʰu	kʰ	u	阴上				
3452	鍇	锴	kʰa	kʰ	a	阴上				
3453	鎧	铠	kʰe	kʰ	e	阴上				
3454	闓	闿	kʰe	kʰ	e	阴上				
3455	□	□	gaŋ	g	aŋ	阳上	<氣頁>腫			
3456	□	□	gu	g	u	阳上	鈍刀來回割			
3457	厚	厚	gau	g	au	阳上				
3458	徛	徛	ge	g	e	阳上				
3459	獷	犷	guɔ	g	uɔ	阳上	獷客			
3460	荷	荷	ga	g	a	阳上	反手背人			
3461	解	解	ga	g	a	阳上	解木板			
3462	限	限	ga	g	a	阳上				
3463	頷	颔	gø	g	ø	阳上				
3464	鯁	鲠	giɛ	g	iɛ	阳上	義同見母以外，還有阻梗義			
3465	也	也	ʔjiɛ	ʔj	iɛ	阴上				
3466	俑	俑	ʔjyɔ	ʔj	yɔ	阴上				
3467	倚	倚	ʔji	ʔj	i	阴上				
3468	允	允	ʔjioŋ	ʔj	ioŋ	阴上				
3469	勇	勇	ʔjyɔ	ʔj	yɔ	阴上				
3470	夭	夭	ʔjiɛ	ʔj	iɛ	阴上				
3471	委	委	ʔvu	ʔv	u	阴上				
3472	婉	婉	ʔjy	ʔj	y	阴上				
3473	宛	宛	ʔjy	ʔj	y	阴上				
3474	尹	尹	ʔjioŋ	ʔj	ioŋ	阴上				
3475	幻	幻	ʔva	ʔv	a	阴上				
3476	影	影	ʔjiaŋ	ʔj	iaŋ	阴上				
3477	掩	掩	ʔji	ʔj	i	阴上				
3478	揾	揾	ʔvaŋ	ʔv	aŋ	阴上	色彩不鮮			
3479	擁	拥	ʔjioŋ	ʔj	ioŋ	阴上				
3480	旖	旖	ʔji	ʔj	i	阴上				
3481	杳	杳	ʔjiɛ	ʔj	iɛ	阴上				
3482	枉	枉	ʔjyɔ	ʔj	yɔ	阴上				
3483	椅	椅	ʔji	ʔj	i	阴上				
3484	永	永	ʔjioŋ	ʔj	ioŋ	阴上				
3485	泳	泳	ʔjioŋ	ʔj	ioŋ	阴上				
3486	湧	涌	ʔjyɔ	ʔj	yɔ	阴上				
3487	燕	燕	ʔji	ʔj	i	阴上	小稱			
3488	狁	狁	ʔjioŋ	ʔj	ioŋ	阴上				
3489	甬	甬	ʔjyɔ	ʔj	yɔ	阴上				
3490	皖	皖	ʔva	ʔv	a	阴上				
3491	碗	碗	ʔjy	ʔj	y	阴上				
3492	穩	稳	ʔjy	ʔj	y	阴上				
3493	窅	窅	ʔjiɛ	ʔj	iɛ	阴上				
3494	窈	窈	ʔjiɛ	ʔj	iɛ	阴上				
3495	綰	绾	ʔva	ʔv	a	阴上				
3496	腕	腕	ʔjy	ʔj	y	阴上				
3497	腕	腕	ʔva	ʔv	a	阴上				
3498	舀	舀	ʔjiɛ	ʔj	iɛ	阴上				
3499	苑	苑	ʔjy	ʔj	y	阴上				
3500	莞	莞	ʔva	ʔv	a	阴上				
3501	萎	萎	ʔvu	ʔv	u	阴上				
3502	蛹	蛹	ʔjyɔ	ʔj	yɔ	阴上				
3503	蜿	蜿	ʔjy	ʔj	y	阴上				
3504	詠	咏	ʔjioŋ	ʔj	ioŋ	阴上				
3505	諉	诿	ʔvu	ʔv	u	阴上				
3506	豌	豌	ʔjy	ʔj	y	阴上				
3507	踴	踊	ʔjyɔ	ʔj	yɔ	阴上				
3508	野	野	ʔjia	ʔj	ia	阴上	假			
3509	野	野	ʔji	ʔj	i	阴上				
3510	隱	隐	ʔjiaŋ	ʔj	iaŋ	阴上				
3511	飲	饮	ʔjiaŋ	ʔj	iaŋ	阴上				
3512	養	养	ʔji	ʔj	i	阴上				
3513	黝	黝	ʔjiau	ʔj	iau	阴上				
3514	不	不	fu	f	u	阴上				
3515	俯	俯	fu	f	u	阴上				
3516	俯	俯	føy	f	øy	阴上				
3517	匪	匪	fei	f	ei	阴上				
3518	反	反	fa	f	a	阴上				
3519	否	否	fɜ	f	ɜ	阴上				
3520	府	府	føy	f	øy	阴上				
3521	悔	悔	fai	f	ai	阴上				
3522	悱	悱	fei	f	ei	阴上				
3523	拊	拊	fu	f	u	阴上				
3524	撫	抚	fu	f	u	阴上				
3525	斧	斧	fu	f	u	阴上				
3526	朏	朏	fei	f	ei	阴上				
3527	榧	榧	fei	f	ei	阴上				
3528	殕	殕	føy	f	øy	阴上	白～：白色黴菌			
3529	滸	浒	fu	f	u	阴上				
3530	火	火	fu	f	u	阴上				
3531	燴	烩	fai	f	ai	阴上				
3532	父	父	fu	f	u	阴上	漁～			
3533	琥	琥	fu	f	u	阴上				
3534	甫	甫	fu	f	u	阴上				
3535	簠	簠	fu	f	u	阴上				
3536	粉	粉	faŋ	f	aŋ	阴上				
3537	脯	脯	fu	f	u	阴上				
3538	腑	腑	føy	f	øy	阴上				
3539	菲	菲	fei	f	ei	阴上	～薄			
3540	虎	虎	fu	f	u	阴上				
3541	誹	诽	fei	f	ei	阴上				
3542	賄	贿	fai	f	ai	阴上				
3543	輔	辅	fu	f	u	阴上				
3544	返	返	fa	f	a	阴上				
3545	釜	釜	fu	f	u	阴上				
3546	鈥	钬	fu	f	u	阴上				
3547	□	□	viɛ	v	iɛ	阳上	<天/明>～亮，天空明亮			
3548	□	□	viɛ	v	iɛ	阳上	<氵[/目]>～清，水清皃			
3549	予	予	vu	v	u	阳上				
3550	侮	侮	vu	v	u	阳上				
3551	刎	刎	vaŋ	v	aŋ	阳上				
3552	吠	吠	vei	v	ei	阳上	文			
3553	吻	吻	vaŋ	v	aŋ	阳上				
3554	唯	唯	vu	v	u	阳上				
3555	婦	妇	vøy	v	øy	阳上				
3556	嫵	妩	vu	v	u	阳上				
3557	宇	宇	vu	v	u	阳上				
3558	尾	尾	vei	v	ei	阳上	文			
3559	庾	庾	vu	v	u	阳上				
3560	廡	庑	vu	v	u	阳上				
3561	忿	忿	vaŋ	v	aŋ	阳上				
3562	怙	怙	vu	v	u	阳上				
3563	憤	愤	vaŋ	v	aŋ	阳上				
3564	戶	户	vu	v	u	阳上				
3565	扈	扈	vu	v	u	阳上				
3566	撔	撔	viɛ	v	iɛ	阳上	竿於空中劃動			
3567	晚	晚	va	v	a	阳上				
3568	樊	樊	va	v	a	阳上	姓			
3569	武	武	vu	v	u	阳上				
3570	氛	氛	vaŋ	v	aŋ	阳上				
3571	滬	沪	vu	v	u	阳上				
3572	煒	炜	vu	v	u	阳上				
3573	父	父	vøy	v	øy	阳上				
3574	犯	犯	va	v	a	阳上				
3575	瑋	玮	vu	v	u	阳上				
3576	瘐	瘐	vu	v	u	阳上				
3577	皖	皖	va	v	a	阳上				
3578	祜	祜	vu	v	u	阳上				
3579	禍	祸	vu	v	u	阳上				
3580	禹	禹	vu	v	u	阳上				
3581	範	范	va	v	a	阳上				
3582	缶	缶	vɜ	v	ɜ	阳上				
3583	羽	羽	vu	v	u	阳上				
3584	與	与	vu	v	u	阳上				
3585	舞	舞	vu	v	u	阳上				
3586	負	负	vu	v	u	阳上				
3587	負	负	vøy	v	øy	阳上				
3588	鄠	鄠	vu	v	u	阳上				
3589	阜	阜	vɜ	v	ɜ	阳上				
3590	雨	雨	vu	v	u	阳上				
3591	韙	韪	vu	v	u	阳上				
3592	鵡	鹉	vu	v	u	阳上				
3593	□	□	tsai	ts	ai	阴上	<氵再>驚而肉跳			
3594	主	主	tsɿ	ts	ɿ	阴上				
3595	井	井	tseŋ	ts	eŋ	阴上				
3596	仔	仔	tsɿ	ts	ɿ	阴上				
3597	傯	偬	tsoŋ	ts	oŋ	阴上				
3598	咫	咫	tsɿ	ts	ɿ	阴上				
3599	嘴	嘴	tsɿ	ts	ɿ	阴上				
3600	址	址	tsɿ	ts	ɿ	阴上				
3601	姊	姊	tsɿ	ts	ɿ	阴上				
3602	姐	姐	tsei	ts	ei	阴上				
3603	子	子	tsɿ	ts	ɿ	阴上				
3604	宰	宰	tse	ts	e	阴上				
3605	崽	崽	tse	ts	e	阴上				
3606	左	左	tsɤu	ts	ɤu	阴上				
3607	己	己	tsɿ	ts	ɿ	阴上				
3608	怎	怎	tso	ts	o	阴上				
3609	找	找	tsuɔ	ts	uɔ	阴上				
3610	拯	拯	tseŋ	ts	eŋ	阴上				
3611	指	指	tsɿ	ts	ɿ	阴上				
3612	撙	撙	tsø	ts	ø	阴上				
3613	整	整	tseŋ	ts	eŋ	阴上				
3614	斬	斩	tsa	ts	a	阴上				
3615	旨	旨	tsɿ	ts	ɿ	阴上				
3616	早	早	tsɜ	ts	ɜ	阴上				
3617	枕	枕	tsaŋ	ts	aŋ	阴上				
3618	梓	梓	tsɿ	ts	ɿ	阴上				
3619	棗	枣	tsɜ	ts	ɜ	阴上				
3620	止	止	tsɿ	ts	ɿ	阴上				
3621	沚	沚	tsɿ	ts	ɿ	阴上				
3622	滓	滓	tsɿ	ts	ɿ	阴上				
3623	澡	澡	tsɜ	ts	ɜ	阴上				
3624	煮	煮	tsei	ts	ei	阴上				
3625	爪	爪	tsuɔ	ts	uɔ	阴上				
3626	璪	璪	tsɜ	ts	ɜ	阴上				
3627	疹	疹	tsaŋ	ts	aŋ	阴上				
3628	盞	盏	tsa	ts	a	阴上				
3629	祉	祉	tsɿ	ts	ɿ	阴上				
3630	祖	祖	tsøy	ts	øy	阴上				
3631	稹	稹	tsaŋ	ts	aŋ	阴上				
3632	笫	笫	tsɿ	ts	ɿ	阴上				
3633	籽	籽	tsɿ	ts	ɿ	阴上				
3634	紀	纪	tsɿ	ts	ɿ	阴上				
3635	紙	纸	tsei	ts	ei	阴上				
3636	紫	紫	tsɿ	ts	ɿ	阴上				
3637	組	组	tsɤu	ts	ɤu	阴上				
3638	縝	缜	tsaŋ	ts	aŋ	阴上				
3639	總	总	tsoŋ	ts	oŋ	阴上				
3640	纂	纂	tsø	ts	ø	阴上				
3641	纘	缵	tsø	ts	ø	阴上				
3642	者	者	tse	ts	e	阴上				
3643	芷	芷	tsɿ	ts	ɿ	阴上				
3644	藻	藻	tsɜ	ts	ɜ	阴上				
3645	蚤	蚤	tsɜ	ts	ɜ	阴上				
3646	蟣	虮	tsɿ	ts	ɿ	阴上				
3647	診	诊	tsaŋ	ts	aŋ	阴上				
3648	赭	赭	tse	ts	e	阴上				
3649	走	走	tsau	ts	au	阴上				
3650	趾	趾	tsɿ	ts	ɿ	阴上				
3651	載	载	tse	ts	e	阴上	年載			
3652	阻	阻	tsɤu	ts	ɤu	阴上				
3653	鮓	鲊	tso	ts	o	阴上				
3654	麂	麂	tsɿ	ts	ɿ	阴上				
3655	且	且	tsʰei	tsʰ	ei	阴上				
3656	企	企	tsʰɿ	tsʰ	ɿ	阴上				
3657	侈	侈	tsʰɿ	tsʰ	ɿ	阴上				
3658	取	取	tsʰɿ	tsʰ	ɿ	阴上				
3659	吵	吵	tsʰuɔ	tsʰ	uɔ	阴上				
3660	啟	启	tsʰɿ	tsʰ	ɿ	阴上				
3661	圯	圯	tsʰɿ	tsʰ	ɿ	阴上				
3662	娶	娶	tsʰɿ	tsʰ	ɿ	阴上				
3663	寀	寀	tsʰe	tsʰ	e	阴上				
3664	寢	寝	tsʰaŋ	tsʰ	aŋ	阴上				
3665	廠	厂	tsʰe	tsʰ	e	阴上				
3666	忖	忖	tsʰø	tsʰ	ø	阴上				
3667	恥	耻	tsʰɿ	tsʰ	ɿ	阴上				
3668	慘	惨	tsʰø	tsʰ	ø	阴上				
3669	扯	扯	tsʰei	tsʰ	ei	阴上				
3670	攛	撺	tsʰø	tsʰ	ø	阴上	～掇			
3671	杞	杞	tsʰɿ	tsʰ	ɿ	阴上				
3672	杵	杵	tsʰei	tsʰ	ei	阴上				
3673	楚	楚	tsʰɤu	tsʰ	ɤu	阴上				
3674	此	此	tsʰɿ	tsʰ	ɿ	阴上				
3675	湊	凑	tsʰau	tsʰ	au	阴上	伺機			
3676	炒	炒	tsʰuɔ	tsʰ	uɔ	阴上				
3677	璀	璀	tsʰai	tsʰ	ai	阴上				
3678	產	产	tsʰa	tsʰ	a	阴上				
3679	睬	睬	tsʰe	tsʰ	e	阴上				
3680	礎	础	tsʰɤu	tsʰ	ɤu	阴上				
3681	礎	础	tsʰɿ	tsʰ	ɿ	阴上	磉礎			
3682	篡	篡	tsʰø	tsʰ	ø	阴上				
3683	綺	绮	tsʰɿ	tsʰ	ɿ	阴上				
3684	脆	脆	tsʰai	tsʰ	ai	阴上				
3685	草	草	tsʰɜ	tsʰ	ɜ	阴上	～木；～雞，雌雞			
3686	處	处	tsʰɿ	tsʰ	ɿ	阴上	～理			
3687	褫	褫	tsʰɿ	tsʰ	ɿ	阴上				
3688	請	请	tsʰeŋ	tsʰ	eŋ	阴上				
3689	豈	岂	tsʰɿ	tsʰ	ɿ	阴上				
3690	起	起	tsʰɿ	tsʰ	ɿ	阴上				
3691	踩	踩	tsʰe	tsʰ	e	阴上				
3692	逞	逞	tsʰeŋ	tsʰ	eŋ	阴上				
3693	鏟	铲	tsʰa	tsʰ	a	阴上				
3694	鼠	鼠	tsʰei	tsʰ	ei	阴上				
3695	齒	齿	tsʰɿ	tsʰ	ɿ	阴上				
3696	□	□	soŋ	s	oŋ	阴上	<扌送>順勢推去			
3697	使	使	sɿ	s	ɿ	阴上				
3698	傘	伞	sa	s	a	阴上				
3699	傻	傻	sa	s	a	阴上				
3700	冼	冼	sei	s	ei	阴上				
3701	叟	叟	sau	s	au	阴上				
3702	史	史	sɿ	s	ɿ	阴上				
3703	啥	啥	sa	s	a	阴上				
3704	喜	喜	sɿ	s	ɿ	阴上				
3705	嗓	嗓	suɔ	s	uɔ	阴上				
3706	嗩	唢	so	s	o	阴上				
3707	嗾	嗾	sau	s	au	阴上				
3708	始	始	sɿ	s	ɿ	阴上				
3709	嫂	嫂	sɜ	s	ɜ	阴上				
3710	嬸	婶	saŋ	s	aŋ	阴上				
3711	審	审	saŋ	s	aŋ	阴上				
3712	寫	写	sei	s	ei	阴上				
3713	屎	屎	sɿ	s	ɿ	阴上				
3714	徙	徙	sɿ	s	ɿ	阴上				
3715	慫	怂	soŋ	s	oŋ	阴上				
3716	所	所	so	s	o	阴上				
3717	損	损	sø	s	ø	阴上				
3718	搡	搡	suɔ	s	uɔ	阴上				
3719	擻	擞	sau	s	au	阴上				
3720	散	散	sa	s	a	阴上	～裝			
3721	數	数	sɤu	s	ɤu	阴上	～一～			
3722	數	数	sɿ	s	ɿ	阴上	～一～			
3723	死	死	sɿ	s	ɿ	阴上				
3724	水	水	sɿ	s	ɿ	阴上				
3725	沈	沈	saŋ	s	aŋ	阴上				
3726	洗	洗	sei	s	ei	阴上				
3727	潸	潸	sa	s	a	阴上				
3728	瀋	渖	saŋ	s	aŋ	阴上				
3729	灑	洒	sa	s	a	阴上				
3730	灑	洒	so	s	o	阴上				
3731	爽	爽	suɔ	s	uɔ	阴上				
3732	瑣	琐	so	s	o	阴上				
3733	璽	玺	sei	s	ei	阴上				
3734	瘦	瘦	sau	s	au	阴上				
3735	省	省	seŋ	s	eŋ	阴上	～親			
3736	省	省	siɛ	s	iɛ	阴上				
3737	眚	眚	siɛ	s	iɛ	阴上				
3738	瞍	瞍	sau	s	au	阴上				
3739	矢	矢	sɿ	s	ɿ	阴上				
3740	矧	矧	saŋ	s	aŋ	阴上				
3741	磉	磉	suɔ	s	uɔ	阴上				
3742	細	细	sai	s	ai	阴上	小			
3743	耍	耍	so	s	o	阴上				
3744	聳	耸	soŋ	s	oŋ	阴上				
3745	葸	葸	sɿ	s	ɿ	阴上				
3746	藪	薮	sau	s	au	阴上				
3747	豕	豕	sɿ	s	ɿ	阴上				
3748	跣	跣	sei	s	ei	阴上				
3749	迅	迅	saŋ	s	aŋ	阴上				
3750	醒	醒	seŋ	s	eŋ	阴上				
3751	銑	铣	sei	s	ei	阴上				
3752	鎖	锁	so	s	o	阴上				
3753	顙	颡	suɔ	s	uɔ	阴上				
3754	駛	驶	sa	s	a	阴上				
3755	駛	驶	sɿ	s	ɿ	阴上				
3756	髓	髓	sei	s	ei	阴上				
3757	黍	黍	sɿ	s	ɿ	阴上				
3758	□	□	dzɿ	dz	ɿ	阳上	刀劃開、刺進			
3759	企	企	dzɿ	dz	ɿ	阳上				
3760	妓	妓	dzɿ	dz	ɿ	阳上				
3761	峙	峙	dzɿ	dz	ɿ	阳上				
3762	技	技	dzɿ	dz	ɿ	阳上				
3763	朕	朕	dzaŋ	dz	aŋ	阳上				
3764	杼	杼	dzɿ	dz	ɿ	阳上				
