字頭	聲紐	呼	等	韻部	聲調	組	攝	聲母	韻母	聲調	備註	
蓓	並	合	一	灰	上	幫	蟹	bb	ui	3		0
埠	並	開	一	模	去	幫	遇	f	au	6		
乏	並	合	三	凡	入	幫	咸	f	ot	10		
伐	並	合	三	元	入	幫	山	f	ot	10		
筏	並	合	三	元	入	幫	山	f	ot	10		
罰	並	合	三	元	入	幫	山	f	ot	10		
帆	並	合	三	凡	平	幫	咸	f	on	4		
番	滂	合	三	元	平	幫	山	f	on	1	西洋的：~薯|~茄|~鬼	1
番	幫	合	一	桓	平	幫	山	p	un	1	~禺：地名，在廣東	1
蕃	並	合	三	元	平	幫	山	f	on	4		
藩	並	合	三	元	平	幫	山	f	on	4		
凡	並	合	三	凡	平	幫	咸	f	on	4		
煩	並	合	三	元	平	幫	山	f	on	4		
樊	並	合	三	元	平	幫	山	f	on	4		
繁	並	合	三	元	平	幫	山	f	on	4		
犯	並	合	三	凡	上	幫	咸	f	om	6		
犯	並	合	三	凡	上	幫	咸	f	om	5	白讀。阻礙，干擾；騷擾，冒犯；	
氾	並	合	三	凡	平	幫	咸	f	om	4	地名；河流名；姓	
氾	滂	合	三	凡	去	幫	咸	f	om	3	大水淹	
范	並	合	三	凡	上	幫	咸	f	om	6	姓	1959
梵	並	合	三	凡	去	幫	咸	f	on	6		
飯	並	合	三	元	上	幫	山	f	on	6		
範	並	合	三	凡	上	幫	咸	f	om	3	規~|模~|師~	
方	滂	合	三	陽	平	幫	宕	f	ong	1		1
坊	幫	合	三	陽	平	幫	宕	f	ong	2		0
防	並	合	三	陽	平	幫	宕	f	ong	4		
肪	並	合	三	陽	平	幫	宕	f	ong	1		0
房	並	合	三	陽	平	幫	宕	f	ong	4		
臂	幫	開	三	支A	去	幫	止	bb	i	3		1
祕	幫	開	三	脂B	去	幫	止	bb	i	3		
秘	幫	開	三	脂B	去	幫	止	bb	i	3		
分	並	合	三	文	去	幫	臻	f	an	6	成~	
氛	滂	合	三	文	平	幫	臻	f	an	1		1
焚	並	合	三	文	平	幫	臻	f	an	4		
墳	並	合	三	文	平	幫	臻	f	an	4		
憤	並	合	三	文	上	幫	臻	f	an	6		
蜂	滂	開	三	鍾	平	幫	通	f	ung	1		1
逢	並	合	三	鍾	平	幫	通	f	ung	4		
馮	並	合	三	東	平	幫	通	f	ung	4		
縫	並	合	三	鍾	平	幫	通	f	ung	4	動詞	
縫	並	合	三	鍾	去	幫	通	f	ung	6	名詞，見《玉林市志》	
奉	並	合	三	鍾	上	幫	通	f	ung	6		
鳳	並	合	三	東	去	幫	通	f	ung	6		
佛								f	at	7	仿~	
佛	並	合	三	文	入	幫	臻	f	at	9		
否	幫	開	三	有	上	幫	流	f	au	2		1
非	幫	合	三	微	平	幫	止	f	i	1		
圃	幫	開	一	模	上	幫	遇	p	u	2		
譜	幫	開	一	模	上	幫	遇	p	u	2		1
伏	並	合	三	尤	去	幫	流	f	uk	9		
賦	幫	合	三	虞	去	幫	遇	f	u	3		
怖	滂	開	一	模	去	幫	遇	bb	u	3		
服	並	合	三	東	入	幫	通	f	uk	9		
浮	並	合	三	尤	平	幫	流	f	au	4	輕~|~躁	
孵	滂	合	三	虞	平	幫	遇	f	u	1		
敷	滂	合	三	虞	平	幫	遇	f	u	1		
匐	並	合	三	東	入	幫	通	f	uk	9		
俘	滂	合	三	虞	平	幫	遇	f	u	1		
撫	滂	合	三	虞	上	幫	遇	f	u	5		
鋪	滂	合	一	虞	平	幫	遇	p	u	1	動詞	
鋪	滂	開	一	模	去	幫	遇	p	u	3	名詞	
復	並	合	三	尤	去	幫	流	f	uk	7		1
複	幫	開	三	屋	去	幫	通	f	uk	7		1
縛	並	開	一	歌	去	幫	果	f	ok	10		0
馥	並	合	三	東	入	幫	通	f	uk	9		
彷	並	開	一	唐	平	幫	宕	f	ong	1		0
癟	並	開	四	先	入	幫	山	m	et	8	訓讀	1
敗	並	開	二	夬	去	幫	蟹	b	oi	6		
伴	並	開	一	寒	上	幫	山	b	un	5		
伴	並	開	一	寒	上	幫	山	bb	on	3	帶上（某人），跟（某人）作伴：~我去	
拌	並	合	一	桓	上	幫	山	b	on	6	凉~粉	
拌	並	合	一	桓	上	幫	山	b	un	5	攪~	
辦	並	開	二	山	去	幫	山	b	on	6		
瓣	並	開	二	山	去	幫	山	b	on	6		
蚌	並	開	二	江	上	幫	江	b	ang	5		
傍	並	開	一	唐	去	幫	宕	b	ang	6	倚靠	
傍	並	開	一	唐	去	幫	宕	b	ong	6		
薄	並	開	一	唐	入	幫	宕	b	ok	10		
抱	並	開	一	豪	上	幫	效	b	eou	5		
暴	並	開	一	豪	去	幫	效	b	eou	6		
陪	並	合	一	灰	平	幫	蟹	bb	ui	1	連詞。就着……一起，跟……一塊儿	1
背	並	合	一	灰	去	幫	蟹	b	ui	6	動詞	
飛	幫	合	三	微	平	幫	止	f	i	1		
匪	幫	合	三	微	上	幫	止	f	i	2		
沸	幫	合	三	微	去	幫	止	f	i	3		
倍	並	合	一	灰	上	幫	蟹	b	ui	5		
疿	幫	合	三	微	去	幫	止	f	i	3		
鼻	並	開	三	脂A	去	幫	止	b	at	9	口語：~涕|~屎|~竉|~鼻(bi6)|嶺~	
費	幫	開	三	脂B	去	幫	止	f	i	3		
彼	幫	開	三	支B	上	幫	止	p	i	2	又讀	1
鄙	幫	開	三	脂B	上	幫	止	p	i	2		
扉	幫	合	三	微	平	幫	止	f	i	1		
芾	幫	合	三	微	去	幫	止	f	i	3	樹木枝幹、莖葉幼小的樣子	
泌	幫	開	三	脂B	去	幫	止	bb	i	3		
妃	滂	合	三	微	平	幫	止	f	i	1		
菲	滂	合	三	微	平	幫	止	f	i	1		
汴	並	開	三	仙B	去	幫	山	b	in	6		
便	並	開	三	仙A	平	幫	山	b	in	4	~宜	
便	並	開	四	仙A	去	幫	山	b	in	6	方~	
辨	並	開	三	仙B	上	幫	山	b	in	6		
辮	並	開	四	先	上	幫	山	b	in	5		
辯	並	開	三	仙B	上	幫	山	b	in	6		
別	並	開	三	仙B	入	幫	山	b	et	10		
並	並	開	四	青	上	幫	梗	b	ing	5		
病	並	開	三	庚	去	幫	梗	b	ing	6		
兩	來	開	三	陽	上	來	宕	l	aa	5	數目	
勃	並	合	一	魂	入	幫	臻	b	ot	10		
蔔	並	開	一	登	入	幫	曾	b	ak	9		1
浦	滂	開	一	模	上	幫	遇	p	u	2		
普	滂	開	一	模	上	幫	遇	p	u	2		
赴	滂	合	三	虞	去	幫	遇	f	u	3		
夫	幫	合	三	虞	平	幫	遇	f	u	1		1
夫	並	合	三	虞	平	幫	遇	f	u	4	文言中表示句首發語詞、指示詞、語氣詞	
杷	並	開	二	麻	平	幫	假	b	o	4		
爬	並	開	二	麻	平	幫	假	b	o	4		
耙	並	開	二	麻	去	幫	假	b	o	4		
琶	並	開	二	麻	平	幫	假	b	o	4		
排	並	開	二	皆	平	幫	蟹	b	oi	4		
焙	並	合	一	隊	去	幫	蟹	b	ui	6		
牌	並	開	二	佳	平	幫	蟹	b	oi	4		
盤	並	開	一	寒	平	幫	山	b	un	4		
蹣	並	開	一	寒	平	幫	山	b	on	4		
畔	並	開	一	寒	去	幫	山	b	un	5		
旁	並	開	一	唐	平	幫	宕	b	ong	4		
螃	並	開	一	唐	平	幫	宕	b	ang	4		
龐	並	開	二	江	平	幫	江	b	ang	4		
袍	並	開	一	豪	平	幫	效	b	eou	4		
泡	並	開	二	肴	平	幫	效	b	eou	5	泡沫	
徘	並	合	一	灰	平	幫	蟹	b	ui	4		
陪	並	合	一	灰	平	幫	蟹	b	ui	4	陪伴，伴隨	
培	並	合	一	灰	平	幫	蟹	b	ui	4		
盆	並	合	一	魂	平	幫	臻	b	un	4		
朋	並	開	一	登	平	幫	曾	b	ang	4		
兩	來	開	三	陽	上	來	宕	l	aa	2	重量單位	
魎	來	開	三	陽	上	來	宕	l	aa	5		
蓬	並	開	一	東	平	幫	通	b	ung	4	~草	
篷	並	開	一	東	平	幫	通	b	ung	4	~被	
亮	來	開	三	陽	去	來	宕	l	aa	3		
鵬	並	開	一	登	平	幫	曾	b	ang	4		
捧	並	開	三	鍾	平	幫	通	b	ung	4	文讀	
披	滂	開	三	支B	平	幫	止	p	i	1		
屁	滂	開	三	脂A	去	幫	止	p	i	3		
譬	滂	開	三	支A	去	幫	止	p	i	3		
悱	滂	合	三	微	上	幫	止	f	i	2		
瓢	並	開	三	宵A	平	幫	效	b	iu	5		
貧	並	開	三	真B	平	幫	臻	b	an	4		
頻	並	開	三	真A	平	幫	臻	b	an	4		
平	並	開	三	仙A	平	幫	山	b	ing	4		
坪	並	開	三	庚	平	幫	梗	b	ing	4		
瓶	並	開	四	青	平	幫	梗	b	ing	4		
萍	並	開	四	青	平	幫	梗	b	ing	4		
評	並	開	三	庚	平	幫	梗	b	ing	4		
