#《湖南慈利方言语音研究》	
#[35]1[213]2[53]3[33]5	调值符号后的//表示其后为入声字
#ɿ	
kʰ	[35]亏盔窥岿[213]奎魁愧溃馈匮葵睽癸逵馗
x	[35]灰恢辉挥晖徽非绯菲啡飞妃[213]回蛔肥费废肺痱[53]毁悔诲秽贿匪诽[33]晦会绘烩讳卉汇惠蕙慧彗溃{~脓}
∅	[35]威伪胃谓猬畏煨[213]为{行~、~什么}唯维帷惟韦苇违纬围危桅微薇喂{~猪}[53]委萎痿伟尾[33]位未味卫魏慰蔚尉
#ʯei	
tʂ	[35]追锥椎[213]坠缀赘
tʂʰ	[35]吹炊[213]垂锤捶陲槌
ʂ	[213]谁税瑞[53]水说{游~}[33]睡
ʐ	[35]锐睿芮蕊瑞=
#au	
p	[35]褒包胞苞鲍[213]豹报[53]宝保堡葆饱鸨[33]抱刨雹爆曝暴
pʰ	[35]抛泡{发~}[213]炮袍咆泡{~澡、~菜}□{十个为一~}[53]跑
m	[35]□{猛、帅}[213]毛矛茅猫锚[53]卯铆牡[33]冒帽茂贸貌
t	[35]刀叨[213]到倒{~水}[53]岛捣祷悼倒{打~}[33]道盗稻蹈导
tʰ	[35]涛焘掏韬滔[213]逃桃陶淘萄套[53]讨
l	[35]捞{偷东西}挠{~痒;修理}[213]牢劳捞{~钱}痨唠涝[53]老佬姥脑恼瑙垴[33]闹孬
ts	[35]遭糟[213]灶[53]枣早澡藻蚤[33]皂造
tsʰ	[35]操[213]曹槽嘈燥噪躁巢[53]草
s	[35]骚搔臊[213]扫{~帚}[53]嫂扫{打~}
tʂ	[35]招昭诏沼召肇钊朝{~夕}[213]兆罩笊[53]找爪{~牙}[33]赵
tʂʰ	[35]超抄钞//绰{~起一根棍子}焯[213]晁潮嘲朝{~代}[53]吵炒
ʂ	[35]烧捎梢艄稍{~微}[213]哨稍{~息}少{~年}苕//勺[53]少多[33]邵绍韶
ʐ	[213]饶娆[53]扰绕
k	[35]高篙膏糕羔睾[213]告诰教{-，~书}觉{-，困~子}[53]搞稿
kʰ	[35]敲-[213]靠铐[53]考烤拷犒
x	[35]蒿薅浩皓昊[213]豪嚎壕毫好{~吃懒做}耗[53]好{~歹}[33]号
ŋ	[35]熬{坚持：~得住}爊[213]奥澳懊敖鳌熬坳翱鏖熬{煎~}[53]袄咬[33]傲{骄~;喜好：~吃肉}
#iau	
p	[35]标彪飚飙镖膘[53]表裱婊
pʰ	[35]飘漂{~浮}[213]票漂{~亮}瓢嫖剽朴{姓}[53]瞟漂{~白}
m	[213]苗描瞄[53]秒渺淼藐[33]妙庙
t	[35]刁叼雕貂[213]掉吊钓[53]鸟-[33]调{~换}
tʰ	[35]挑{~选、~战}佻[213]条调{~和}迢眺跳[53]斢{交换}
l	[35]撩{~起个木马腿}[213]聊疗辽寥瞭燎僚撩{~拨}[53]了{~解}鸟=袅[33]撂料廖尥尿
tɕ	[35]交胶蛟姣郊矫娇骄焦蕉礁椒浇[213]叫教{=，~育}窖[53]较绞狡剿搅缴侥饺[33]轿藠嚼
tɕʰ	[35]翘跷悄鞘峭俏撬橇锹缲{~边}[213]乔桥侨荞憔瞧樵窍[53]巧
ɕ	[35]肖消销宵霄硝啸箫萧嚣枭淆[213]笑孝哮酵[53]小晓[33]效校
∅	[35]邀妖夭幺{~儿}吆腰要{~求}[213]摇遥谣窑瑶姚尧肴要{重~}[53]舀杳[33]耀鹞
#əu	
t	[35]兜蔸都{~是、首~}嘟逗//毒督[213]斗{~争}[53]斗{一~米}抖陡赌堵睹肚{猪~子}//笃[33]豆痘窦渎杜肚{~量}度渡镀妒//独窦读牍
tʰ	[35]偷透凸//突秃[213]头投图涂途兔徒屠[53]敨{抻~：伸展}土吐{~痰、呕~}
l	[35]麓戮//录禄绿陆鹿六[213]楼娄溇镂卢炉芦庐颅奴[53]搂篓卤鲁橹掳努弩[33]漏露陋路鹭赂怒
ts	[35]邹诌//足卒{士~}[213]奏揍做[53]走组祖诅[33]租助
tsʰ	[35]粗镞初骤//猝卒{~中}促族蹴[213]凑醋愁[53]楚础
s	[35]搜艘馊叟苏酥疏梳蔬//速肃宿{~舍、星~}缩续[213]嗽素愫嗉数{~目}薮瘦[53]数{~钱}擞[33]诉夙//俗赎
tʂ	[35]周州洲舟宙//竺粥竹祝筑嘱烛[213]昼咒纣绉[53]肘胄阻[33]妯//逐
tʂʰ	[35]抽雏//矗怵轴触畜搐束[213]臭仇畴筹绸稠酬锄售[53]丑{~时、~陋}
ʂ	[35]收//叔淑[53]手首守狩[33]兽寿受授黍//属蜀熟孰塾
ʐ	[35]//肉辱褥[213]柔揉糅蹂
k	[35]沟钩佝勾{~结、~当}句{~践}媾[213]够购构垢诟媾[53]狗苟枸
kʰ	[35]抠眍[213]扣叩寇蔻[53]口
x	[35]齁[213]侯猴喉篌候[53]吼[33]后{先~、皇~}逅厚
ŋ	[35]欧鸥殴讴区{姓}[213]沤怄[53]偶藕呕
∅	[33]□{叹词}
#iəu	
t	[35]丢
l	[35]溜{~冰}遛熘谬[213]刘浏留瘤榴流硫琉牛[53]柳绺扭钮纽杻拗[33]溜{~巴：擅长}
tɕ	[35]究揪纠赳阄咎鸠柩疚灸臼[213]救[53]久玖韭九酒[33]就旧舅
tɕʰ	[35]秋邱丘蚯鳅//曲{歌~、弯~、~酒}[213]求球裘囚泅酋遒仇{姓}
ɕ	[35]修休羞嗅旭//畜{~牧业}蓄粟[213]秀绣锈[53]朽□{得意}[33]袖
∅	[35]优忧幽攸悠诱幼囿//峪欲浴育狱[213]由油邮游尤犹[53]有友酉[33]又右佑祐釉柚
#an	
p	[35]班斑癍般搬颁扳[213]半[53]版板阪[33]办伴绊拌畔扮瓣
pʰ	[35]攀潘番{~禺}蹒盼[213]盘磐判叛
m	[213]蛮瞒馒[53]满螨[33]慢漫幔谩蔓曼
t	[35]单郸丹耽眈旦但端[213]担{~任、~子}石{量词，一~水}锻煅[53]胆疸掸惮诞短[33]淡蛋氮澹段缎断
tʰ	[35]摊滩瘫坍贪怹叹湍[213]谈痰炭碳坛谭潭弹{~性、子~}檀探团[53]坦袒毯忐
l	[213]蓝篮兰栏拦缆榄岚阑澜斓栾鸾峦孪婪男南楠难{困~}[53]懒览揽卵暖[33]烂滥乱难{灾~}
ts	[35]钻{~空子}[213]赞钻{~石}溅[53]攒趱崭[33]暂簪渐
tsʰ	[35]参餐窜蹿[213]残蚕惭篡泉-全-[53]惨灿璨粲
s	[35]三叁酸[213]散{~会}算蒜[53]散{~架}伞[33]旋-{~窝}风漩{~涡}
tʂ	[35]占{~便宜}沾粘毡詹瞻蘸[213]战站{~立}占{~领}绽颤{打~}[53]展辗斩盏[33]站{~台}栈湛
tʂʰ	[35]掺搀{~和}[213]搀{~扶}馋谗禅蝉阐缠蟾谄忏颤[53]产铲
ʂ	[35]山衫杉=姗膻[213]扇{~动、~子}搧煽[53]闪陕[33]善膳擅赡骟汕单{姓}
ʐ	[213]然燃[53]染冉髯
k	[35]甘柑尴肝干{~涉}奸-间-{一~屋}艰-[213]赣淦干{~部}[53]感敢橄杆秆竿赶擀减-
kʰ	[35]刊堪勘龛嵌[213]看{~见、~护}[53]砍坎{~坷}槛侃瞰
x	[35]憨酣鼾夯{打~}[213]含颔邯寒韩函涵翰汉咸-闲-衔-[53]喊罕[33]汗旱捍焊憾撼限陷苋
ŋ	[35]安鞍鹌[213]按案暗黯[53]眼-[33]岸庵
∅	[33]咹{叹词}
#ian	
p	[35]边编鞭卞[213]变[53]扁匾煸蝙贬[33]辩辨辫弁便{方~}
pʰ	[35]篇偏蹁[213]片谝骗便{~宜}遍[53]片{~锄：较宽的锄头}
m	[213]棉绵眠[53]免勉娩缅腼沔[33]面{~粉、脸~}
t	[35]颠癫巅掂[213]店惦踮殿[53]点典碘[33]电垫佃淀奠玷
tʰ	[35]天添[213]田甜填[53]舔恬腆殄
l	[35]拈蔫研[213]连莲鲢联廉镰帘怜年鲇[53]练炼脸敛{~财，收~}殓楝碾撵[33]恋链念捻廿验砚
tɕ	[35]兼尖坚肩煎监{~狱}艰=间={中~}奸=[213]见舰建健键毽鉴荐箭间{~接}[53]拣检捡剑敛{藏：把东西~起来}简涧锏谏柬剪剑茧碱笕枧[33]件贱践饯
tɕʰ	[35]千迁仟纤歼签牵谦歉铅悭虔笺[213]前钱乾黔钳黔掮欠[53]浅遣谴倩茜堑潜
ɕ	[35]先鲜{新~}仙籼[213]贤闲=娴嫌线宪献羡腺[53]显险鲜{朝~}癣[33]县现限=馅陷=
∅	[35]烟咽胭阉淹嫣焉偃燕{~国}//腌[213]言严颜盐延阎闫檐堰厌芫{~荽菜}[53]演掩眼=衍[33]燕艳焰雁赝彦谚晏宴炎
#uan	
k	[35]关官棺观冠{衣~}鳏[213]贯惯盥罐灌冠{~军}观{道~}[53]管馆
kʰ	[35]宽髋[53]款
x	[35]欢番翻[213]环桓还{~钱}獾幻{~灯}繁樊烦凡矾帆贩泛范{~围}[53]缓反返[33]换唤涣痪患幻{~想}宦饭犯范{姓}
∅	[35]弯湾豌[213]玩完顽丸俺[53]晚挽宛碗惋腕[33]万
#ʯan	
tʂ	[35]专砖[213]转{~圈}[53]转{~业}[33]赚撰篆传{~记}
tʂʰ	[35]穿川钏串[213]船椽传{~达}[53]喘
ʂ	[35]栓拴闩删珊姗[213]涮
ʐ	[53]软阮
#yan	
tɕ	[35]捐[213]卷试券[53]卷{~铺盖}[33]娟涓绢倦眷镌
tɕʰ	[35]圈蜷[213]全=诠痊泉=拳颧权劝[53]犬
ɕ	[35]轩宣喧渲掀锨[213]玄炫眩弦悬旋=璇[53]选[33]旋{黑~风}
∅	[35]冤怨鸳渊[213]元沅园圆员原源援媛袁猿缘垣沿[53]远[33]院愿苑
#ən	
p	[35]奔{~跑}犇崩{~溃}[213]奔{~头}[53]本[33]笨
pʰ	[35]喷{~洒}烹[213]盆彭膨澎
m	[35]闷{~起脑壳}[213]门扪们[33]闷{~热}焖懑
t	[35]蹲敦墩灯登瞪[213]吨钝盹炖顿屯囤盾遁凳[53]等戥磴[33]邓
tʰ	[35]吞[213]臀豚疼腾藤滕誊
l	[213]仑轮伦抡沦棱能[53]冷[33]论愣楞嫩
ts	[35]尊遵樽曾{姓}罾争挣睁[213]增憎赠甑臻[53]怎□{木料腐朽}
tsʰ	[35]参{~差}村皴蹭琛郴衬撑[213]岑寸忖存层曾{~经}[53]揿{按压}
s	[35]森孙狲僧参{人~}生{~活}牲甥[213]生{~蛋}逊[53]损笋榫省
tʂ	[35]针真镇{~长}珍诊疹帧侦贞甄斟砧正{~月}征{~求、~伐}蒸筝徵[213]证正{~确}政[53]震振枕朕整拯[33]阵镇{坐~}郑症
tʂʰ	[35]称{对~、~呼}抻瞠蛏[213]陈辰沉尘臣忱谌趁呈程澄橙成诚城盛{~饭}乘秤承丞骋[53]逞惩
ʂ	[35]深身申伸绅娠升声[213]神晨肾蜃绳胜圣塍[53]审婶沈慎[33]甚葚什{~么}渗盛{旺~}剩
ʐ	[213]人仁壬任{姓}[53]忍韧纫刃[33]认任{~务}妊扔仍
k	[35]跟根耕庚羹[213]更{半夜三~、~加}[53]亘梗埂粳耿
kʰ	[35]坑吭铿[53]肯啃恳垦
x	[35]哼[213]痕恒衡亨[53]很狠[33]恨
ŋ	[35]恩[53]摁{~人：硌脚}[33]硬
#in	
p	[35]斌濒宾缤槟殡斌彬濒冰兵[53]饼柄炳丙秉禀摒[33]并{合~、~且}病
pʰ	[35]拼姘[213]频贫频聘平评坪苹萍凭瓶屏[53]品乒
m	[213]民名铭明鸣[53]敏闽闵悯泯抿皿冥瞑酩[33]命
t	[35]丁钉{~子、~扣子}盯叮疔[213]勒[53]顶鼎[33]定锭腚碇订
tʰ	[35]听{~见、~任}厅汀[213]停婷亭庭廷[53]挺艇
l	[35]拎[213]林淋临邻磷麟鳞嶙灵零伶玲铃龄聆凌陵菱您宁{安~、~可}柠狞拧凝[53]凛檩岭领[33]蔺躏赁吝令另佞
tɕ	[35]今衿矜金斤津筋巾精睛京惊晶荆兢经茎痉颈径旌[213]进禁襟晋劲{~头、强~}境镜竟竞靖敬儆[53]仅紧锦谨瑾井阱警景憬[33]近尽烬静净
tɕʰ	[35]亲{~戚}钦清青轻卿[213]秦琴勤侵浸禽擒沁芹覃亲{~家}情晴擎磬庆[53]寝请
ɕ	[35]薪新辛芯心馨星腥猩兴{~旺}[213]信衅形刑型行性姓[53]醒擤[33]欣幸兴{~趣}
∅	[35]音喑姻茵因阴荫殷英瑛鹰膺樱缨鹦婴蝇[213]银垠吟淫寅印{~刷}赢迎应{~当、~答}盈楹映[53]引饮隐瘾影颍[33]印{~子:痕迹}
#uən	
k	[213]棍[53]滚磙辊
kʰ	[35]坤昆崑鹍[213]困[53]捆
x	[35]昏婚荤浑{~水}分{~手}芬纷[213]浑{~身是胆}横{~竖、蛮~}焚坟豮{~猪}粪[53]混{~合}馄粉[33]混{~日子}诨份氛分{~量}愤奋
∅	[35]温瘟酝{~酿}[213]文纹蚊炆闻[53]稳吻刎紊[33]问
#ʯən	
tʂ	[35]谆[53]准{~许、标~}
tʂʰ	[35]春椿[213]唇=[53]蠢
ʂ	[213]舜瞬吮淳醇唇-[33]顺
ʐ	[33]润闰
#yn	
tɕ	[35]军均钧君[213]俊骏峻竣[53]郡窘炯迥[33]菌{细~：~子：蘑菇}
tɕʰ	[35]倾顷[213]群裙琼
ɕ	[35]薰熏勋[213]旬荀询殉寻=巡循迅讯训驯
∅	[35]晕[213]云耘匀营萤莹萦荣-[53]允尹永[33]韵运陨殒熨孕蕴恽咏泳
#aŋ	
