	符號說明：-白，=文
∅	[1]挨{～近}[3]藹{和～}隘
#au	
p	[1]包胞[3]飽豹鮑{姓}
pʰ	[1]拋跑[2]袍刨{～地}[3]抱泡炮砲泡{～在水裏}雹[6]暴爆
m	[1]卯[2]茅[3]□{撞；擠}[6]冒貌藐
tʰ	[1]滔稻[2]陶=濤淘{～米}掏[3]套
n	[6]鬧
ts	[3]爪{～子}找[6]皂罩
tsʰ	[1]操{～作}[2]巢吵□{均勻}[3]澡躁抄{～寫}鈔炒
s	[1]騷臊稍
k	[1]膏交郊教{～書}絞狡鉸膠搞[3]教{～育}窖[6]較攪校{～對，上～}
kʰ	[3]考烤[6]靠
ŋ	[1]咬[2]熬肴淆[6]傲
h	[1]浩酵吼[3]好{喜～}孝[6]效
∅	[3]坳{山～}
#eu	
f	[2]浮[3]否
t	[1]兜[3]竇{窩}
tʰ	[1]偷[2]頭投[6]毒{毒殺}
n	[3]紐扭
l	[2]樓摟{～抱}耬{農具}[6]漏陋縷{絲～}
ts	[1]鄒掫[3]奏揍走
tsʰ	[3]湊驟
s	[1]搜[2]愁[3]叟嗽{咳～}瘦漱{～口}
tʃ	[1]朝{今～}昭招詔[3]照
tʃʰ	[1]超[2]朝{～代}潮[6]趙兆沼{～氣}
ʃ	[1]燒[3]少{多～，～年}[6]召韶{～關}紹邵
k	[1]勾溝鉤[3]夠[6]構購
kʰ	[1]摳箍[3]叩{～頭}扣寇
ŋ	[3]耦偶{配～，～然}
h	[2]侯喉猴[6]後厚后候
∅	[1]歐甌區{姓}[3]嘔{～吐}毆漚{久浸}
#oi	
p	[3]背{～誦，地方}[6]焙{～幹}
pʰ	[1]胚{～胎}坯{土～}[2]陪賠[6]培倍
m	[2]梅枚媒煤糜{稀飯}[3]妹覅{別，不要}
f	[1]灰恢盔
v	[6]□{不會}
t	[1]□{掉進}[3]碓
tʰ	[1]胎梯[2]台{天～}臺薹苔{青～，舌～}抬[6]態貸代袋
l	[2]來
ts	[1]脧{陽具}[2]才材
tsʰ	[3]采棌{橡樹}
s	[1]蓑衰腮鰓摔
tʃʰ	[1]吹炊
ʃ	[3]稅[6]睡
k	[2]□{容易}[3]改蓋
kʰ	[1]開[3]凱概溉
ŋ	[2]獃{～板}倪[6]礙
h	[3]海[6]害
∅	[1]哀娭{母親}[3]愛
#ia	
t	[1]爹
ts	[3]姐=借
tsʰ	[6]謝笡{斜}
s	[1]些[2]斜邪[3]寫瀉卸
kʰ	[2]擎
ŋ	[1]惹
h	[3]□{跑步}
∅	[1]耶也{～是}椰[2]爺[3]移{撒}[6]野夜
#iau	
p	[1]表錶
pʰ	[1]膘{肥～}臕標瓢謤彪漂[2]嫖漂{浮萍}[3]票漂{漂亮}剖鰾
m	[1]某畝[2]苗描謀[3]渺秒妙貿謬[6]廟牡
t	[1]貂雕鳥-[3]釣鳥{肏}屌[6]掉
tʰ	[1]挑[2]條調{～和，～動}[3]跳趒糶調{音～}
n	[1]鳥=[6]尿
l	[1]□{（腳尖）踢}[2]燎療遼撩聊了{～結}瞭[3]寥鷯{八哥}了{助詞}[6]料寥嬲{玩耍}
ts	[1]焦蕉樵椒[3]剿
tsʰ	[3]俏
s	[1]消銷宵霄硝捎悄{靜～～}蕭簫[3]小笑梢{樹～}鞘{刀～}
k	[1]驕嬌矯餃[3]繳叫
kʰ	[1]喬橋僑蕎[3]竅[6]轎
ŋ	[1]貓[2]堯撓鐃澆[6]饒繞{～線}
h	[1]僥{～幸}囂[2]曉
#ieu	
∅	[1]妖邀腰要{～求}么{～二三}吆{～喝}[2]搖謠瑤窯姚[3]舀{～水}要{想～}[6]鷂耀
#io	
k	[1]□{幾多}[2]茄{～子}
ŋ	[1]□揉搓
h	[1]靴
#iu	
k	[1]丟[6]宙帚
l	[1]溜餾柳[2]流劉留榴𨻧{～隍，地名}硫琉
ts	[3]酒縐皺
tsʰ	[1]秋{～天}鞦{～韆}[2]囚泅[3]餿[6]就袖
s	[1]羞饈修[3]秀繡鏽
tʃ	[1]州洲舟周颼[3]晝咒[6]肘
tʃʰ	[1]抽[2]讎綢稠籌售酬仇{姓}[3]醜丑紂{桀～}臭嗅獸
ʃ	[1]收[3]手首守[6]受授壽
k	[1]鳩[2]求球裘毬[3]九久韭救[6]究糾{～纏，～正}灸咎柩
kʰ	[1]丘邱臼舅[6]舊
h	[1]休[6]朽
∅	[1]有酉誘[2]尤優猶由油郵柔揉遊幽悠[3]友幼莠[6]又右祐柚釉鼬
#iui	
∅	[2]芮銳
#ua	
k	[1]瓜[3]卦掛剮寡
kʰ	[1]誇誇跨挎
ŋ	[3]瓦
#ue	
v	[6]話
kʰ	[3]□{饑餓}
∅	[3]會{能}
#ui	
