	本誌	趙氏	手冊	省誌	概況	資料
ʔia5	涯					
kua1	瓜（文）乖					
kua3	寡（文）拐					
kua5	掛（文）卦（文）掛（文）褂（文）怪					
kʰua3	蒯					
kʰua5	夸（文）誇（文）跨（文）垮（文）胯（文）快筷					
hua1	華花䔢竵					
hua5	化（文）					
ɦua2	華（文）嘩（文）驊鏵懷淮槐娃					
ɦua6	壞外（文）話（文）畫（文）					
ʔua1	哇漥窪竵（又）					
pʌ1	包苞					
pʌ3	葆褓保堡褒胞飽寶豹					
pʌ5	報爆（油~）					
pʰʌ1	拋泡（不結實）					
pʰʌ5	泡皰礮（~竹）					
mʌ2	貓毛矛（又）茅錨旄髦					
mʌ6	貌冒帽卯鉚茆牡					
bʌ2	雹袍刨咆庖跑					
bʌ4	抱					
bʌ6	暴爆（~發）鮑鉋					
tʌ1	刀					
tʌ3	倒擣禱島					
tʌ5	到倒					
tʰʌ1	滔叨（~光）韜饕					
tʰʌ3	討					
tʰʌ5	韜					
dʌ2	掏桃逃陶淘啕萄濤					
dʌ4	稻					
dʌ6	道盜導蹈悼					
nʌ2	撓					
nʌ4	惱					
nʌ6	腦瑙鬧					
lʌ1	撈					
lʌ2	牢勞嘮癆					
lʌ4	老佬					
tsʌ1	搔遭糟					
tsʌ3	早棗蚤澡藻找（~頭）爪（~牙,~子）					
tsʌ5	竈罩					
tsʰʌ1	操抄鈔					
tsʰʌ3	草艸炒吵					
tsʰʌ5	噪躁糙					
sʌ1	騷臊梢稍捎艄哨					
sʌ3	嫂掃（~地）					
sʌ5	掃（~帚）					
zʌ2	曹槽漕嘈巢					
zʌ4	造					
zʌ6	擾皁					
tʂʌ1	朝昭招沼找（~尋）詔					
tʂʌ5	照					
tʂʰʌ1	超					
dʐʌ2	朝嘲潮					
dʐʌ6	兆					
ʂʌ1	燒					
ʂʌ3	少					
ʂʌ5	少					
ʐʌ2	韶					
ʐʌ4	趙肇					
ʐʌ6	召（~集）紹					
kʌ1	高篙膏羔糕皋睾交膠					
kʌ3	藳攪絞鉸					
kʌ5	告教（白,~書)酵覺（困~）校（白,~場)					
kʰʌ1	拷烤敲					
kʰʌ3	攷考					
kʰʌ5	靠梏犒銬					
ɡʌ4	攪					
ɡʌ6	攪（~七拈三）					
ŋʌ2	敖嗷熬螯					
ŋʌ4	齩					
ŋʌ6	傲					
hʌ1	蒿耗薅					
hʌ3	好（~壞愛~）					
hʌ5	孝					
ɦʌ2	毫豪嚎壕濠					
ɦʌ6	號（~令~數）浩皓					
ʔʌ1	凹					
ʔʌ3	拗（~斷）					
ʔʌ5	奧澳懊㘭拗（~ロ）襖					
piʌ1	標鏢膘彪錶(手~)表(手~)					
piʌ3	表裱婊					
piʌ5	俵					
pʰiʌ1	縹飄漂(~流)					
pʰiʌ3	漂（~亮~白）瞟					
pʰiʌ5	票					
miʌ2	苗描瞄渺藐秒					
miʌ6	廟妙					
biʌ2	嫖瓢					
biʌ6	鰾殍					
tiʌ1	刁貂凋碉雕彫					
tiʌ3	鳥					
tiʌ5	釣弔					
tʰiʌ1	挑（~擔~撥）					
tʰiʌ3						
tʰiʌ5	跳眺糶					
diʌ2	條迢笤髫調（~和）					
diʌ4	調（~換）					
diʌ6	掉					
liʌ2	寥聊僚燎繚遼療嘹潦燎					
liʌ4	了					
liʌ6	料廖					
tsiʌ1	焦蕉礁椒					
tsiʌ3	剿					
tsiʌ5	醮					
tsʰiʌ1	繰悄（~然）瞧					
