来源：	郭贞彦 2010《山西文水裴会村话语音研究》；原作者提供字表数据，Hynuza 整理
pʰ	［1］培陪裴=赔=［3］胚［5］沛配佩
m	［1］梅枚媒煤［3］每美［5］妹昧媚
t	［1］台-［3］逮歹［5］戴-带-袋-待-
tʰ	［1］抬
n	［5］耐-
l	［1］来-
k	［1］该［3］改-［5］盖
ŋ	［5］艾爱-
x	［5］害-
ts	［1］灾-栽贼［3］宰-载-［5］再-在-
tsʰ	［1］猜财-裁［3］采-［5］菜
s	［1］腮-鳃
#uɛi	
t	［1］堆［5］对队兑
tʰ	［1］推［3］腿［5］退蜕
l	［1］雷［3］屡累垒［5］累类泪=
k	［1］闺规龟归［3］轨鬼［5］桂贵跪=
kʰ	［1］盔奎葵逵［5］溃跪-愧［1］恢灰回茴非飞妃肥挥辉徽
tʂ	［1］追槌锤［3］嘴=［5］罪最缀赘坠醉=
tʂʰ	［1］催崔吹炊垂［5］脆翠粹
ʂ	［1］谁虽隧随=［3］髓水［5］碎岁税睡穗=
ʐ	［3］蕊［5］芮锐瑞
Ø	［1］桅煨为维惟唯微威围违［3］伪萎委尾=违伟苇纬［5］外卫为位未味魏畏慰胃谓猬
#ɤu	
t	［1］都［3］肚堵赌［5］妒杜肚度渡镀
tʰ	［1］徒屠途涂图［3］吐土［5］兔
k	［1］姑孤箍［3］古估鼓［5］故固雇顾
kʰ	［1］枯［3］苦［5］库裤
x	［1］呼胡湖狐壶乎夫麸符扶芙［3］虎浒府腑俯斧腐辅否［5］户互护父付赋傅附妇负富副
tʂ	［1］猪诸诛蛛株朱珠［3］阻煮拄主帚［5］著箸助驻注柱住蛀铸
tʂʰ	［1］除初厨雏［3］褚储楚处［5］处
ʂ	［1］锄梳疏蔬书舒输殊［3］暑鼠黍署薯数［5］庶恕数竖树
ʐ	［1］如［3］汝儒乳擩
Ø	［1］吴蜈梧乌污无巫诬［3］午误悟武舞鹉［5］恶务雾
#iu	
p	［1］膘［3］裱
pʰ	［1］飘鳔漂-［5］票
m	［1］苗-描-［5］庙-
t	［1］条-调-［5］钓藋调
tʰ	［1］条-［3］挑-［5］跳-
ȵ	［5］尿
l	［3］燎
tɕ	［1］椒娇-荞浇桥-［3］绞［5］噍叫
tɕʰ	［1］悄-桥-
