#a				
pʰ	[1]潘{姓}[5]絆判伴			
m	[1]沫[2]瞞[3]滿[5]抹			
t	[2]撣{拂去灰塵}			
tʰ	[1]灘攤[5]炭			
n	[5]爛			
ts	[3]盞			
s	[1]閂栓山[3]傘[5]線散{雲～，～會；松}			
k	[1]肝竿杆{旗～}官棺[3]趕[5]汗			
kʰ	[3]考[5]寬{白}看{～見}			
h	[1]藩[5]岸			
∅	[1]豌{～豆}[5]換晚			
#iãu				
m	[1]貓[3]秒[5]描			
#uĩ				
m	[2]楣梅枚媒煤每			
t	[3]店			
n	[3]碾撚{以指撚碎}[5]荔			
ts	[2]前			
tsʰ	[1]千[3]涮{～瓶子，～衣服}刷			
s	[1]先肩			
k	[1]關[2]懸{高}[3]□{揀，挑選}[5]縣慣			
ŋ	[1]砑{碾壓研平}			
h	[2]橫{～直，蠻～}			
∅	[2]閑			
#am				
t	[1]耽擔{～任}[2]談澹{替，水濕}[5]淡{味薄}			
tʰ	[1]貪[2]彈{～琴}潭譚痰[3]探坦{～白}[5]嘆			
l	[2]南男藍[3]覽攬纜			
ts	[1]針瞻[3]斬[5]贊{建房前的贊詞}站{車～}蘸{～醬油}			
tsʰ	[1]餐攙[2]蠶[3]殘慘			
s	[1]杉{～木}疝{～氣}桑			
k	[1]甘{～蔗}柑泔{～水}[2]銜[3]蓋{動詞}感揞{手覆，～住不讓看}[5]諫艦鑒鑑監{～考，國子～}			
kʰ	[1]堪[3]砍勘			
ɡ	[2]岩{～石}			
h	[1]憨[2]韓含函[5]憾陷			
∅	[1]□{傻}[5]暗晏{晚}			
#im				
t	[2]沉□{在水下}[3]點			
l	[1]啉{飲，～米湯}[2]粘{～貼}林淋{～水}臨黏{很～}鄰[3]斂染{傳～}[5]念掐			
ts	[1]尖[3]枕{動名詞同}妗{舅母}嬸[5]浸暫沾{～水}占{～卦，～地方，～位置}			
tsʰ	[1]深侵簽籤			
s	[1]森參{人～}心參卦[3]沈瀋審嬸陝{～西}閃{～電}[5]葚滲{水滲透}甚			
dz	[3]忍[5]任{姓，責～}			
k	[1]金兼殲[2]鹹[3]錦檢減堿{做包子放～}僅[5]儉{勤～}箭禁{～止；～不住}劍			
kʰ	[1]欽謙[2]琴鉗[3]歉[5]欠			
ɡ	[2]嚴[5]儼閻驗{試～，～收}			
h	[1]羨[2]嫌{惹人～}熊[3]險			
∅	[1]□{圈，豬～}蔭音陰醃{用鹽浸食品}流閹{～牛雞豬}[2]鹽[3]掩隱[5]炎釅{～茶}厭焰			
#an				
p	[1]班斑頒扳[3]板版[5]辦瓣			
pʰ	[1]攀[5]盼			
b	[2]蠻[5]慢漫萬蔓			
t	[1]丹單[5]誕旦但彈{子～}			
tʰ	[2]壇{花～}[3]毯賺{～錢}			
l	[2]難{～易}人蘭攔欄{豬～，～杆}[5]難{逃～}			
ts	[1]氈{油毛～}			
tsʰ	[2]田蟬{知了}禪{～宗}			
s	[1]刪[3]產散{～裝}			
k	[1]奸艱間{中～，～斷}看{～守}囝{孩}橄{～欖}尷{～尬}[3]簡幹{～部}[5]杠{雙～}			
kʰ	[1]牽刊			
ɡ	[5]顏			
h	[1]番{～薯}[2]寒[3]罕[5]限旱漢焊			
∅	[1]鞍按庵[5]案			
#ən				
p	[5]飯			
t	[1]擔{～水}[3]膽[5]斷擔{一～}			
l	[2]籃[3]欖			
ts	[1]磚[5]轉{頭髮中心}			
tsʰ	[5]串			
s	[1]三衫{衣服}			
k	[1]監{～察}[3]卷{動詞，量詞，卷子}囝{兒}敢			
h	[2]恒			
#en				
p	[1]冰[2]朋			
b	[5]末			
t	[1]登燈[3]等[5]瞪{～眼}訂{～婚}定{～做}			
l	[2]廉鐮黏{～魚}能陵{丘～}淩菱{～角}[3]繞{訓，～線}[5]繞{訓，～彎}			
ts	[1]真榛臻曾{姓}增煎[2]曾{～經}[3]剪診疹{麻～}震晉[5]盡{～量}戰踐賤{下～}餞{蜜～}進郡憎贈政			
tsʰ	[1]親[2]臣[3]淺遣[5]穿趁			
s	[1]身申娠{妊～}僧[2]懸{～殊}神辰[3]鮮{～少}癬[5]膳腎慎聖盛{興～}善迅殉			
dz	[5]認			
k	[3]緊{快}[5]鍵健建			
ɡ	[2]言			
#ɛn				
p	[1]彬殯賓檳鞭編奔[2]貧[3]貶蝙{～蝠}[5]頻{～道}篦便{～宜}辨辯變辮鬢憑			
pʰ	[1]篇偏[3]品遍{～地}[5]騙遍{一～}片			
b	[2]民[3]免勉娩眠憫敏[5]緬面閩			
t	[1]珍顛[2]填藤[3]短展典腆{～肚子}[5]電殿{～屁股}奠佃墊鎮陣{大～}			
l	[2]憐蓮簾連聯[5]練煉鏈			
ts	[1]津[2]乾{～坤}秦[5]振			
tsʰ	[1]親{～家}遷			
s	[1]辛新薪仙鮮{新～}[5]信訊殉			
dz	[2]然仁[5]燃			
k	[1]跟{腳～，～蹤}根今堅巾斤筋均鈞[3]繭{～殼，手腳硬皮}謹緊[5]薦近			
kʰ	[1]圈{打團轉}[2]禽勤芹[3]肯懇墾{～殖場}			
ɡ	[2]銀[3]研			
h	[1]掀欣[2]賢弦玄痕暈[3]顯[5]憲獻現眩恨			
∅	[1]因姻煙恩殷[2]寅延沿{～路走}緣[3]演引{爆竹～}允[5]堰雁豔諺硯燕{姓}鉛{～筆}印			
#in				
p	[1]邊[2]平{很～}[3]扁匾			
b	[2]綿棉[3]皿[5]饅麵			
t	[1]甜[2]纏[5]鄧			
tʰ	[1]天添[5]□{縫，連}			
n	[1]染[2]年			
ts	[2]錢			
s	[1]先生畜{～牲，～牧}[2]前[5]扇			
k	[1]更{五～，深～半夜}[5]見			
ŋ	[5]硬			
∅	[2]圓丸{肉～}[5]院燕{～子}			
#uan				
t	[5]段			
kʰ	[3]款			
h	[1]歡			
#uən				
p	[2]盆[3]本[5]笨糞			
pʰ	[5]噴{～嚏}			
b	[2]文[5]悶			
t	[1]端{五官～正}敦墩蹲[2]傳椽團傳{～說}臀[3]盾[5]斷{決～}鍛緞頓鈍{刀不利}盾			
tʰ	[1]吞			
l	[2]倫[3]暖輪[5]亂戀韌{軟而結實，與脆相對}論{～語}嫩論{議～}潤閏			
ts	[1]專尊遵[2]全泉存唇船[3]轉{～身，～送，打～，輪子～得快}准準[5]纂撰傳{左～}俊扭{訓}			
tsʰ	[1]伸川村春[2]純醇[3]喘{～息}蠢[5]竄篡寸			
s	[1]宣孫[2]旬循巡[3]選損筍[5]旋{～轉}順舜			
k	[1]捐鰥觀冠{雞～}君軍[2]拳權群裙[3]管館棍袞{～邊}滾[5]券貫灌罐冠{～軍}棍			
kʰ	[1]寬{文}昆坤勳[3]款捆菌{細～}[5]困{睡覺}			
ɡ	[3]阮			
h	[1]帆翻昏婚分芬紛熏葷[2]凡繁煩還{～錢}環魂渾{濁}焚墳雲[3]反幻緩粉[5]販混{相～，～日子}憤忿奮份訓患宦範犯{～事}泛			
∅	[1]冠彎灣溫瘟[2]袁援{～助}元源完員勻紋[3]玩腕頑{～固}穩[5]怨原願			
#aŋ				
p	[1]邦幫[2]旁房瓶馮[5]榜放			
pʰ	[1]蜂[3]龐[5]胖{腫}胖縫{一條～}			
b	[1]莫{～要}[2]忙芒{～種}[3]蠓{蚊}[5]莽蟒{蛇}網掹{摘}夢			
t	[1]釘{名動同}冬[2]誰陳亭{～子}同銅[5]動{～起來}凍重{輕～}			
tʰ	[1]窗蛭{～子}[2]蟲[3]筒桶[5]趟			
l	[2]鱗郎{女婿}廊狼螂{蟑～}聾[3]朗籠			
ts	[1]髒棕{～樹}[2]層[5]粽			
tsʰ	[1]蒼[2]涼塍{田～}			
s	[1]雙鏽{訓}喪{～事}鬆{～手}[3]瘦[5]送			
k	[1]江工功[2]崗{站～}[3]港講[5]降{下～}			
kʰ	[1]空{～的}[3]控{撓癢}			
h	[2]杭航降{投～}行{銀～}[5]項巷			
∅	[2]紅			
#əŋ				
p	[1]烹			
b	[2]蒙{～起來}[5]蒙{～古}			
#eŋ				
p	[1]兵[2]彭棚平{～安}[3]秉[5]膨{～脹}併{合～}			
pʰ	[1]拼[2]坪評{～分}萍{薸}篷[5]聘屏{～牆}			
b	[2]萌鳴盟明{～天，～火}銘[3]猛[5]孟{～子}			
t	[1]澄丁[2]程[3]頂[5]定{一～}			
tʰ	[2]停庭蜓{蜻～}[3]逞艇挺			
l	[1]零{～分}拎{提}[2]凝{湯～成凍了}寧靈{有～}零{～錢}鈴龍領{～導}[3]冷[5]令寧{～可}另{～外}			
ts	[1]征蒸爭{～東西，～吃}箏{火～}睜精{～肉，～神}晶征種{名詞}[2]情{人～}晴[3]整{～齊，～人，～風}腫[5]證症靜{沒有聲響}淨{幹～}種{動詞}			
tsʰ	[1]稱清{水～，～楚}[2]橙{～子}[5]銃{白，槍}稱{相～}			
s	[1]升牲甥[2]成誠懲乘蠅[3]省{福建～，～領～嫁，～得；反～}性{～格}醒{～酒，清～}[5]勝{～任，～敗}承稱{相～}性{～格}			
k	[1]撐耕經宮[2]窮[3]景警[5]勁敬竟競頸勁徑			
kʰ	[1]輕{年～}傾[2]瓊[3]頃[5]慶			
h	[1]興{～旺}[2]衡行{品～}形型刑{用～，～事}[5]興{高～}杏幸			
∅	[1]應{～當}鷹鶯鸚{～哥}櫻英嬰{～兒}[2]榮營螢容[3]影{～子}[5]映用			
#ɛŋ				
ts	[1]貞偵[3]拯			
tsʰ	[5]秤{名詞}			
s	[5]剩			
kʰ	[1]輕{～重}			
∅	[5]孕			
#iŋ				
p	[5]病			
b	[5]命{～令}			
t	[1]張[2]場[5]丈仗杖帳脹鄭			
n	[2]量{～長短}娘[3]兩{一～}[5]糧讓			
ts	[1]蔣[3]井[5]醬癢			
tsʰ	[2]牆[3]搶廠[5]象像唱			
s	[1]箱[5]想姓尚{和～}			
k	[1]薑姜荊鯨			
kʰ	[1]腔{白}卿			
h	[3]響			
∅	[2]羊洋楊陽瘍迎[5]樣{一～}應{答～}			
#ɔŋ				
p	[5]謗棒			
pʰ	[3]捧			
b	[2]亡[5]忘望{遠遠地看來了沒有}			
t	[2]棠堂童唐[3]黨擋{給田灌水}當{～做}董懂[5]蕩{～爛人}撞動洞棟			
tʰ	[1]捅[3]捅痛統銃[5]瞳			
l	[1]齈{多涕鼻疾}農膿儂{我，你}濃[5]浪弄			
ts	[1]宗[2]叢[3]總[5]葬藏{西～}臟{內～}壯{胖}狀			
tsʰ	[1]聰蔥囪{煙～}[3]闖[5]創			
s	[1]松{～樹}嵩[3]爽[5]宋喪{～失}誦頌訟			
k	[1]攻公蚣{蜈～}[3]孔{～子}廣鞏[5]汞貢			
kʰ	[1]慷{～慨}[3]恐[5]礦控抗曠狂空{～缺}			
h	[1]封豐方芳肪荒慌轟烘哄{～鬧}風楓峰鋒奉[2]皇防弘洪鴻宏簧蝗{螞蚱}虹{天上～}[3]妨仿{模～，相～}況哄{騙}諷紡訪[5]鳳			
∅	[1]翁[2]王[3]忙{很～}往[5]汪旺甕			
#uaŋ				
∅	[3]碗			
#iaŋ				
p	[3]柄{鍋鏟～，把～}丙			
b	[5]命{一條～}			
tsʰ	[3]請			
k	[5]鏡境			
#iɔŋ				
t	[1]中{～間}[2]重{～複}[3]長{～高}漲中{射～}[5]仲			
tʰ	[3]寵			
l	[2]良梁{上～}粱茸{參～}[5]釀諒輛量{數～}			
ts	[1]將{～來}鐘盅終章樟蹤漿{～衫衣}蔣[2]從{跟～，～容}[3]獎將{大～}匠眾掌{名詞}縱{放～}[5]障瘴崇縱{～橫}匠仲			
tsʰ	[1]銃{白，槍}腔{文}沖衝充昌[5]暢倡			
s	[1]相{互～}廂湘傷商[2]詳祥常[3]償{賠～}賞餉[5]相{～貌}上{～山}尚{～方寶劍}上{～面}			
dz	[2]熔蓉			
k	[1]弓疆恭供{～不起}供{～養}[2]強[5]共			
h	[1]凶兇鄉香胸[2]享熊[5]向			
∅	[1]央庸雍擁[3]仰勇湧涌養永泳詠[5]融			
#aʔ				
p	[7]北綁			
pʰ	[8]曝			
