字	源	拼	IPA		覈校：到格拉夫
趵	客英字典	bau5	pau5		
豹	客英字典	bau5	pau5		
菢	客英字典	pau5	pʰau5		
報	客英字典	bau5	pau5		
鉋	客英字典	pau2	pʰau2		
骲	客英字典	pog8	pʰok8		
暴	客英字典	pau5	pʰau5		
暴	客英字典	pog7	pʰok7		
虣	客英字典	pau5	pʰau5		
鮑	客英字典	bau1	pau1		
鮑	客英字典	pau5	pʰau5		
鮑	客英字典	bau5	pau5		
儤	客英字典	bau5	pau5		
爆	客英字典	bau5	pau5		
爆	客英字典	pau5	pʰau5		
陂	客英字典	bi1	pi1		
杯	客英字典	bui1	pui1		
卑	客英字典	bi1	pi1		
盃	客英字典	bui1	pui1		
桮	客英字典	bui1	pui1		
椑	客英字典	bi1	pi1		
悲	客英字典	bui1	pui1		
碑	客英字典	bi1	pi1		
鵯	客英字典	pid7	pʰit7		
北	客英字典	bed7	pet7		
孛	客英字典	pud8	pʰut8		
邶	客英字典	pui5	pʰui5		
貝	客英字典	bui5	pui5		
貝	客英字典	bi5	pi5		
背	客英字典	boi5	poi5		
背	客英字典	poi5	pʰoi5		
倍	客英字典	pui5	pʰui5		
倍	客英字典	pi5	pʰi5		
倍	客英字典	poi5	pʰoi5		
狽	客英字典	bui5	pui5		
悖	客英字典	pud8	pʰut8		
悖	客英字典	poi5	pʰoi5		
被	客英字典	pi1	pʰi1		
被	客英字典	pi3	pʰi3		
珼	客英字典	bui5	pui5		
梖	客英字典	bui5	pui5		
梖	客英字典	bi5	pi5		
偝	客英字典	poi5	pʰoi5		
偹	客英字典	pi5	pʰi5		
琲	客英字典	pui5	pʰui5		
軰	客英字典	bui5	pui5		
備	客英字典	pi5	pʰi5		
焙	客英字典	poi5	pʰoi5		
蓓	客英字典	pui5	pʰui5		
骳	客英字典	pi5	pʰi5		
誖	客英字典	pud8	pʰut8		
褙	客英字典	boi5	poi5		
輩	客英字典	bui5	pui5		
憊	客英字典	pai5	pʰai5		
憊	客英字典	pi5	pʰi5		
糒	客英字典	pi5	pʰi5		
唄	客英字典	pai5	pʰai5		
奔	客英字典	bun1	pun1		
奔	客英字典	pun1	pʰun1		
栟	客英字典	bin1	pin1		
逩	客英字典	bun5	pun5		
賁	客英字典	bun1	pun1		
賁	客英字典	fun1	fun1		
賁	客英字典	bi5	pi5		
犇	客英字典	bun1	pun1		
錛	客英字典	bun1	pun1		
本	客英字典	bun3	pun3		
夲	客英字典	tau1	tʰau1		
畚	客英字典	bun5	pun5		
楍	客英字典	bun3	pun3		
坌	客英字典	fun3	fun3		
捹	客英字典	bun1	pun1		
捹	客英字典	pun3	pʰun3		
笨	客英字典	bun5	pun5		
伻	客英字典	pin2	pʰin2		
祊	客英字典	fong1	foŋ1		
挷	客英字典	bong3	poŋ3		
崩	客英字典	ben1	pen1		
痭	客英字典	ben1	pen1		
綳	客英字典	ben1	pen1		
綳	客英字典	bong5	poŋ5		
繃	客英字典	ben1	pen1		
繃	客英字典	bong5	poŋ5		
菶	客英字典	fung3	fuŋ3		
菶	客英字典	bung1	puŋ1		
琫	客英字典	fung3	fuŋ3		
琫	客英字典	bung3	puŋ3		
泵	客英字典	dun5	tun5		
迸	客英字典	bin5	pin5		
甏	客英字典	pang5	pʰaŋ5		
屄	客英字典	bi1	pi1		
偪	客英字典	bed7	pet7		
偪	客英字典	bid7	pit7		
逼	客英字典	bed7	pet7		
逼	客英字典	bid7	pit7		
鈚	客英字典	pi2	pʰi2		
楅	客英字典	bed7	pet7		
楅	客英字典	fug7	fuk7		
鎞	客英字典	bi1	pi1		
荸	客英字典	pud8	pʰut8		
鼻	客英字典	pi5	pʰi5		
匕	客英字典	bi3	pi3		
比	客英字典	bi3	pi3		
夶	客英字典	bi3	pi3		
芘	客英字典	pi2	pʰi2		
妣	客英字典	bi3	pi3		
彼	客英字典	bi3	pi3		
柀	客英字典	bi3	pi3		
秕	客英字典	bi3	pi3		
秕	客英字典	pi3	pʰi3		
俾	客英字典	bi1	pi1		
粃	客英字典	bi3	pi3		
娝	客英字典	pi3	pʰi3		
筆	客英字典	bid7	pit7		
鄙	客英字典	pi3	pʰi3		
貏	客英字典	bi3	pi3		
币	客英字典	in5	in5		
必	客英字典	bid7	pit7		
坒	客英字典	pi3	pʰi3		
佖	客英字典	bid7	pit7		
庇	客英字典	bi3	pi3		
邲	客英字典	bid7	pit7		
苾	客英字典	bid7	pit7		
畀	客英字典	bi3	pi3		
怭	客英字典	bid7	pit7		
珌	客英字典	bid7	pit7		
毖	客英字典	bi5	pi5		
陛	客英字典	pi3	pʰi3		
畢	客英字典	bid7	pit7		
狴	客英字典	pi5	pʰi5		
萆	客英字典	bi1	pi1		
梐	客英字典	pi3	pʰi3		
閉	客英字典	bi5	pi5		
庳	客英字典	bi3	pi3		
庳	客英字典	pi5	pʰi5		
敝	客英字典	bi5	pi5		
婢	客英字典	bi3	pi3		
婢	客英字典	pi5	pʰi5		
貱	客英字典	bi5	pi5		
詖	客英字典	bi5	pi5		
湢	客英字典	bid7	pit7		
愊	客英字典	bid7	pit7		
愎	客英字典	bug7	puk7		
愎	客英字典	pid7	pʰit7		
弻	客英字典	ped7	pʰet7		
弻	客英字典	pid7	pʰit7		
弻	客英字典	bid7	pit7		
弼	客英字典	ped7	pʰet7		
弼	客英字典	pid7	pʰit7		
弼	客英字典	bid7	pit7		
蓽	客英字典	bid7	pit7		
閟	客英字典	bi5	pi5		
蜌	客英字典	pi3	pʰi3		
嗶	客英字典	bid7	pit7		
飶	客英字典	bid7	pit7		
痹	客英字典	bi5	pi5		
痺	客英字典	bi1	pi1		
煏	客英字典	bed7	pet7		
煏	客英字典	kong5	kʰoŋ5		
滭	客英字典	bid7	pit7		
裨	客英字典	bi1	pi1		
裨	客英字典	pi1	pʰi1		
碧	客英字典	bid7	pit7		
碧	客英字典	ped7	pʰet7		
蔽	客英字典	bi5	pi5		
箅	客英字典	bi5	pi5		
弊	客英字典	bi5	pi5		
幣	客英字典	bi5	pi5		
幣	客英字典	ped7	pʰet7		
熚	客英字典	bid8	pit8		
駜	客英字典	bid7	pit7		
獘	客英字典	bi5	pi5		
潷	客英字典	bid7	pit7		
薜	客英字典	pid7	pʰit7		
觱	客英字典	bid7	pit7		
觱	客英字典	bed7	pet7		
篳	客英字典	bid7	pit7		
篦	客英字典	bin1	pin1		
篦	客英字典	bi3	pi3		
篦	客英字典	pi5	pʰi5		
鮅	客英字典	bid7	pit7		
壁	客英字典	biag7	piak7		
避	客英字典	pid7	pʰit7		
嬖	客英字典	pid7	pʰit7		
縪	客英字典	bid7	pit7		
鞞	客英字典	bin3	pin3		
蹕	客英字典	bid7	pit7		
髀	客英字典	bi3	pi3		
斃	客英字典	bi5	pi5		
臂	客英字典	bi3	pi3		
奰	客英字典	pi5	pʰi5		
饆	客英字典	bid7	pit7		
璧	客英字典	biag7	piak7		
襞	客英字典	pid7	pʰit7		
繴	客英字典	pid7	pʰit7		
韠	客英字典	bid7	pit7		
躃	客英字典	pid7	pʰit7		
躄	客英字典	pid7	pʰit7		
贔	客英字典	pi5	pʰi5		
贔	客英字典	bi1	pi1		
鷩	客英字典	bied7	piet7		
砭	客英字典	bien1	pien1		
萹	客英字典	bien1	pien1		
蝙	客英字典	bien1	pien1		
蝙	客英字典	pau2	pʰau2		
箯	客英字典	bien1	pien1		
編	客英字典	pien1	pʰien1		
鞕	客英字典	ngang5	ŋaŋ5		
鞭	客英字典	bien1	pien1		
鞭	客英字典	bin1	pin1		
邊	客英字典	bien1	pien1		
鯿	客英字典	bien1	pien1		
籩	客英字典	bien1	pien1		
釆	客英字典	pien5	pʰien5		
疺	客英字典	fad8	fat8		
窆	客英字典	bien3	pien3		
窆	客英字典	pien1	pʰien1		
窆	客英字典	bien2	pien2		
扁	客英字典	bien3	pien3		
匾	客英字典	bien3	pien3		
貶	客英字典	bien3	pien3		
惼	客英字典	bien3	pien3		
碥	客英字典	bien3	pien3		
稨	客英字典	bien1	pien1		
褊	客英字典	bien3	pien3		
糄	客英字典	bien1	pien1		
鴘	客英字典	pien3	pʰien3		
藊	客英字典	bien3	pien3		
卞	客英字典	pien3	pʰien3		
弁	客英字典	pan5	pʰan5		
弁	客英字典	pien5	pʰien5		
抃	客英字典	pien3	pʰien3		
汴	客英字典	pien3	pʰien3		
忭	客英字典	pien3	pʰien3		
昪	客英字典	pien3	pʰien3		
便	客英字典	pien5	pʰien5		
徧	客英字典	bien5	pien5		
遍	客英字典	bien5	pien5		
辡	客英字典	pien5	pʰien5		
艑	客英字典	pien1	pʰien1		
緶	客英字典	bien1	pien1		
辨	客英字典	pien5	pʰien5		
辮	客英字典	pien1	pʰien1		
辮	客英字典	bin1	pin1		
辮	客英字典	bien1	pien1		
辯	客英字典	pien5	pʰien5		
變	客英字典	bien5	pien5		
杓	客英字典	shog8	ʃok8		
髟	客英字典	piau1	pʰiau1		
彪	客英字典	biau1	piau1		
猋	客英字典	piau1	pʰiau1		
摽	客英字典	piau3	pʰiau3		
摽	客英字典	biau1	piau1		
幖	客英字典	biau1	piau1		
颮	客英字典	piau1	pʰiau1		
滮	客英字典	biau1	piau1		
標	客英字典	piau1	pʰiau1		
標	客英字典	biau1	piau1		
膘	客英字典	piau5	pʰiau5		
麃	客英字典	piau1	pʰiau1		
儦	客英字典	piau1	pʰiau1		
藨	客英字典	piau3	pʰiau3		
藨	客英字典	piau1	pʰiau1		
瀌	客英字典	piau1	pʰiau1		
鏢	客英字典	piau1	pʰiau1		
鏢	客英字典	biau1	piau1		
臕	客英字典	piau1	pʰiau1		
穮	客英字典	piau1	pʰiau1		
驃	客英字典	piau1	pʰiau1		
驃	客英字典	piau5	pʰiau5		
飈	客英字典	piau1	pʰiau1		
鑣	客英字典	piau1	pʰiau1		
表	客英字典	biau3	piau3		
婊	客英字典	biau3	piau3		
裱	客英字典	biau3	piau3		
俵	客英字典	biau3	piau3		
鰾	客英字典	piau5	pʰiau5		
憋	客英字典	ped7	pʰet7		
憋	客英字典	bied7	piet7		
鱉	客英字典	bied7	piet7		
癿	客英字典	ga1	ka1		
別	客英字典	pied8	pʰiet8		
別	客英字典	ped8	pʰet8		
咇	客英字典	bid7	pit7		
蟞	客英字典	bied7	piet7		
蹩	客英字典	pied8	pʰiet8		
癟	客英字典	pied8	pʰiet8		
邠	客英字典	bin1	pin1		
彬	客英字典	bin1	pin1		
斌	客英字典	bin1	pin1		
賓	客英字典	bin1	pin1		
賔	客英字典	bin1	pin1		
儐	客英字典	bin5	pin5		
豳	客英字典	bin1	pin1		
濵	客英字典	bin1	pin1		
檳	客英字典	bin1	pin1		
霦	客英字典	bin1	pin1		
瀕	客英字典	pin2	pʰin2		
繽	客英字典	bin1	pin1		
鑌	客英字典	bin1	pin1		
鬂	客英字典	bin5	pin5		
殯	客英字典	bin5	pin5		
臏	客英字典	bin5	pin5		
髕	客英字典	bin5	pin5		
鬢	客英字典	bin5	pin5		
氷	客英字典	ben1	pen1		
冰	客英字典	ben1	pen1		
兵	客英字典	bin1	pin1		
掤	客英字典	ben1	pen1		
梹	客英字典	bin1	pin1		
丙	客英字典	biang3	piaŋ3		
邴	客英字典	biang3	piaŋ3		
秉	客英字典	bin3	pin3		
怲	客英字典	biang5	piaŋ5		
柄	客英字典	biang5	piaŋ5		
昺	客英字典	biang3	piaŋ3		
炳	客英字典	biang3	piaŋ3		
蛃	客英字典	biang3	piaŋ3		
棅	客英字典	biang5	piaŋ5		
禀	客英字典	bin3	pin3		
稟	客英字典	lim3	lim3		
稟	客英字典	bin3	pin3		
餅	客英字典	biang3	piaŋ3		
餠	客英字典	biang3	piaŋ3		
疒	客英字典	cong2	tsʰoŋ2		
并	客英字典	bin5	pin5		
幷	客英字典	bin5	pin5		
並	客英字典	bin5	pin5		
倂	客英字典	bin5	pin5		
病	客英字典	piang5	pʰiaŋ5		
竝	客英字典	bin5	pin5		
摒	客英字典	bin5	pin5		
寎	客英字典	biang5	piaŋ5		
靐	客英字典	pin2	pʰin2		
癶	客英字典	pad7	pʰat7		
癶	客英字典	bad7	pat7		
波	客英字典	bo1	po1		
玻	客英字典	bo1	po1		
盋	客英字典	bad7	pat7		
哱	客英字典	pud8	pʰut8		
袚	客英字典	fud7	fut7		
袚	客英字典	pad8	pʰat8		
剥	客英字典	bog7	pok7		
菠	客英字典	bo1	po1		
鉢	客英字典	bad7	pat7		
碆	客英字典	bo1	po1		
碆	客英字典	po2	pʰo2		
播	客英字典	bo5	po5		
撥	客英字典	pad7	pʰat7		
嶓	客英字典	bo1	po1		
嶓	客英字典	bo5	po5		
餑	客英字典	pud8	pʰut8		
鱍	客英字典	pad7	pʰat7		
伯	客英字典	bag7	pak7		
帛	客英字典	ped8	pʰet8		
勃	客英字典	pud8	pʰut8		
挬	客英字典	pud8	pʰut8		
瓟	客英字典	pau2	pʰau2		
亳	客英字典	bog7	pok7		
浡	客英字典	pud8	pʰut8		
舶	客英字典	pog7	pʰok7		
脖	客英字典	pud8	pʰut8		
博	客英字典	bog7	pok7		
渤	客英字典	pud8	pʰut8		
搏	客英字典	bog7	pok7		
鈸	客英字典	pad8	pʰat8		
鉑	客英字典	pag8	pʰak8		
鉑	客英字典	pog8	pʰok8		
愽	客英字典	bog7	pok7		
駁	客英字典	bog7	pok7		
僰	客英字典	ped7	pʰet7		
馛	客英字典	pad8	pʰat8		
箔	客英字典	pog7	pʰok7		
駮	客英字典	bog7	pok7		
壆	客英字典	hog8	hok8		
壆	客英字典	bog7	pok7		
襏	客英字典	pad7	pʰat7		
鵓	客英字典	pud8	pʰut8		
簙	客英字典	bog7	pok7		
鎛	客英字典	bog7	pok7		
髆	客英字典	bog7	pok7		
襮	客英字典	pog7	pʰok7		
礴	客英字典	pog8	pʰok8		
鑮	客英字典	pog8	pʰok8		
跛	客英字典	bai1	pai1		
跛	客英字典	bai2	pai2		
簸	客英字典	bo5	po5		
孹	客英字典	bag7	pak7		
孹	客英字典	pid7	pʰit7		
孹	客英字典	mag7	mak7		
檗	客英字典	bag7	pak7		
檗	客英字典	pid7	pʰit7		
擘	客英字典	bag7	pak7		
擘	客英字典	pid7	pʰit7		
擘	客英字典	mag7	mak7		
譒	客英字典	bo5	po5		
蘗	客英字典	bag7	pak7		
蘗	客英字典	pid7	pʰit7		
卜	客英字典	bug7	puk7		
蔔	客英字典	ped8	pʰet8		
逋	客英字典	pu2	pʰu2		
晡	客英字典	bu1	pu1		
誧	客英字典	pu2	pʰu2		
誧	客英字典	pu3	pʰu3		
轐	客英字典	pug8	pʰuk8		
醭	客英字典	pug7	pʰuk7		
卟	客英字典	gi1	ki1		
捕	客英字典	pu5	pʰu5		
哺	客英字典	pu3	pʰu3		
補	客英字典	bu3	pu3		
不	客英字典	bud7	put7		
布	客英字典	bu5	pu5		
步	客英字典	pu5	pʰu5		
吥	客英字典	piau1	pʰiau1		
吥	客英字典	feu2	feu2		
佈	客英字典	bu5	pu5		
抪	客英字典	bu5	pu5		
怖	客英字典	bu5	pu5		
荹	客英字典	pu5	pʰu5		
部	客英字典	pu5	pʰu5		
埠	客英字典	bu1	pu1		
埠	客英字典	feu5	feu5		
瓿	客英字典	piau3	pʰiau3		
瓿	客英字典	pu5	pʰu5		
蔀	客英字典	pu3	pʰu3		
餔	客英字典	pu3	pʰu3		
簿	客英字典	pu1	pʰu1		
簿	客英字典	pu3	pʰu3		
簿	客英字典	pu5	pʰu5		
攃	客英字典	sad7	sat7		
攃	客英字典	cad7	tsʰat7		
擦	客英字典	cad7	tsʰat7		
礤	客英字典	cad7	tsʰat7		
偲	客英字典	sii1	sɿ1		
猜	客英字典	cai1	tsʰai1		
才	客英字典	coi2	tsʰoi2		
材	客英字典	coi2	tsʰoi2		
材	客英字典	cai2	tsʰai2		
財	客英字典	coi2	tsʰoi2		
裁	客英字典	cai2	tsʰai2		
纔	客英字典	cai2	tsʰai2		
采	客英字典	cai3	tsʰai3		
採	客英字典	cai3	tsʰai3		
啋	客英字典	cai1	tsʰai1		
啋	客英字典	hiau1	hiau1		
彩	客英字典	cai3	tsʰai3		
寀	客英字典	cai3	tsʰai3		
睬	客英字典	cai3	tsʰai3		
跴	客英字典	cai3	tsʰai3		
綵	客英字典	cai3	tsʰai3		
埰	客英字典	cai3	tsʰai3		
菜	客英字典	coi5	tsʰoi5		
棌	客英字典	cai3	tsʰai3		
蔡	客英字典	cai5	tsʰai5		
縩	客英字典	cai5	tsʰai5		
縩	客英字典	ze5	tse5		
飡	客英字典	con1	tsʰon1		
參	客英字典	cam1	tsʰam1		
參	客英字典	sem1	sem1		
叅	客英字典	cam1	tsʰam1		
飱	客英字典	con1	tsʰon1		
傪	客英字典	cam1	tsʰam1		
嵾	客英字典	cam1	tsʰam1		
餐	客英字典	con1	tsʰon1		
驂	客英字典	cam1	tsʰam1		
殘	客英字典	can2	tsʰan2		
慚	客英字典	cam1	tsʰam1		
慚	客英字典	cam2	tsʰam2		
慙	客英字典	cam1	tsʰam1		
蠶	客英字典	cam2	tsʰam2		
惨	客英字典	cam3	tsʰam3		
慘	客英字典	cam3	tsʰam3		
憯	客英字典	cam3	tsʰam3		
黲	客英字典	cam3	tsʰam3		
粲	客英字典	can3	tsʰan3		
璨	客英字典	can5	tsʰan5		
燦	客英字典	can3	tsʰan3		
倉	客英字典	cong1	tsʰoŋ1		
蒼	客英字典	cong1	tsʰoŋ1		
滄	客英字典	cong1	tsʰoŋ1		
螥	客英字典	cong1	tsʰoŋ1		
艙	客英字典	cong1	tsʰoŋ1		
鶬	客英字典	cong1	tsʰoŋ1		
藏	客英字典	cong2	tsʰoŋ2		
操	客英字典	cau1	tsʰau1		
糙	客英字典	cau5	tsʰau5		
曹	客英字典	cau2	tsʰau2		
嘈	客英字典	cau2	tsʰau2		
漕	客英字典	cau2	tsʰau2		
慒	客英字典	cau2	tsʰau2		
慒	客英字典	zau1	tsau1		
槽	客英字典	cau2	tsʰau2		
褿	客英字典	cau2	tsʰau2		
螬	客英字典	cau2	tsʰau2		
艚	客英字典	cau2	tsʰau2		
艸	客英字典	cau3	tsʰau3		
草	客英字典	cau3	tsʰau3		
騲	客英字典	cau3	tsʰau3		
册	客英字典	cag7	tsʰak7		
拺	客英字典	sid7	sit7		
拺	客英字典	ced7	tsʰet7		
厠	客英字典	ca5	tsʰa5		
厠	客英字典	cii5	tsʰɿ5		
厠	客英字典	sa3	sa3		
側	客英字典	zed7	tset7		
策	客英字典	ced7	tsʰet7		
策	客英字典	cag7	tsʰak7		
廁	客英字典	ca5	tsʰa5		
廁	客英字典	cii5	tsʰɿ5		
廁	客英字典	sa3	sa3		
