#备注：《湖南通道本地话》 彭建国							
#调值	[1]45 [2]13 [3]33 [4]11 [5]44 [6]22						
#符号说明：&西官借词							
#ɿ							
ħ	[1]薅蒿[2]毫豪壕[3]好{~坏}[5]耗[6]号						
ŋ	[2]熬[5]拗{性格倔强}[6]傲						
Ø	[4]□{一~：一些}						
#iau							
p	[3]表{老~}						
t	[2]调{~羹}[5]吊{文，~架}						
l	[4]了{文，~解}了{又，助词}[5]□{涂抹}						
tɕ	[1]交胶镐膏[2]搅{胡乱翻动}[3]饺撽缴{~用：日常开支}绞□{连同，和}[5]教较[6]赵{文，~子龙}						
tɕʰ	[5]□{介词，和}						
ȵ	[1]□{~~的：凌乱、乱糟嘈}[4]咬						
Ø	[2]摇[5]□{~~的：整洁}						
#ou							
m	[4]某亩卯						
t	[1]兜蔸都[2]头投[3]斗{北~星}陡[5]斗{~地主}[6]豆痘						
tʰ	[1]偷[5]透						
l	[1]炉{白，~头：厨房}[2]楼搂[4]篓[6]漏陋						
ts	[2]愁[3]走{跑}						
tsʰ	[1]搊{~尿：把尿}[5]凑						
s	[1]馊搜[5]瘦						
ȶ	[1]□{抓、挠}						
ȵ	[3]□{抖动：~脚}						
k	[1]勾钩沟阄[3]狗[5]构够购						
kʰ	[1]抠[3]口						
ŋ	[1]欧[2]牛[4]藕偶						
ħ	[1]齁{扯~：哮喘}[2]猴候喉□{大声叫喊}[6]后候厚						
Ø	[1]瓯{杯子}[3]呕[5]沤熰{热，《集韵》侯韵：炮也，乌侯切}						
#iu							
p	[4]瓢{~~瓜：葫芦}						
m	[6]□{烂：肉冇~}						
t	[1]□{黄~子：栀子花}丢[3]鸟[5]□{~~帽：有帽檐的帽子}						
l	[2]流{又}榴瘤刘[4]柳[5]溜						
tɕ	[1]鬏{发髻}[3]□{打~~：发抖}[5]□{拧}						
tɕʰ	[3]□{顛簸}[5]扣{~子：纽扣}						
ȵ	[5]扭{用手拧}						
