						到格拉夫覈校，2022年3月更新
膀	客法辭典	bong3	poŋ3			
蚌	客法辭典	pong1	pʰoŋ1			
蚌	客法辭典	pong3	pʰoŋ3			
棒	客法辭典	pong5	pʰoŋ5			
傍	客法辭典	pong2	pʰoŋ2			
傍	客法辭典	pong5	pʰoŋ5			
磅	客法辭典	pong2	pʰoŋ2			
縍	客法辭典	bong3	poŋ3			
謗	客法辭典	bong3	poŋ3			
勹	客法辭典	bau1	pau1			
包	客法辭典	bau1	pau1			
苞	客法辭典	bau1	pau1			
苞	客法辭典	pau1	pʰau1			
胞	客法辭典	bau1	pau1			
煲	客法辭典	bo1	po1			
煲	客法辭典	bau1	pau1			
褒	客法辭典	bau1	pau1			
襃	客法辭典	bau1	pau1			
雹	客法辭典	pog8	pʰok8			
薄	客法辭典	pog8	pʰok8			
宀	客法辭典	mien2	mien2			
宝	客法辭典	bau3	pau3			
保	客法辭典	bau3	pau3			
葆	客法辭典	bau3	pau3			
堡	客法辭典	bau3	pau3			
飽	客法辭典	bau3	pau3			
駂	客法辭典	bau3	pau3			
褓	客法辭典	bau3	pau3			
鴇	客法辭典	bau3	pau3			
緥	客法辭典	bau3	pau3			
寳	客法辭典	bau3	pau3			
寶	客法辭典	bau3	pau3			
抱	客法辭典	pau5	pʰau5			
趵	客法辭典	bau5	pau5			
豹	客法辭典	bau5	pau5			
菢	客法辭典	pau5	pʰau5			
報	客法辭典	bau5	pau5			
鉋	客法辭典	pau2	pʰau2			
暴	客法辭典	pau5	pʰau5			
虣	客法辭典	pau5	pʰau5			
鮑	客法辭典	pau5	pʰau5			
爆	客法辭典	bau5	pau5			
陂	客法辭典	bi1	pi1			
杯	客法辭典	bi1	pi1			
杯	客法辭典	bui1	pui1			
卑	客法辭典	bi1	pi1			
盃	客法辭典	bi1	pi1			
盃	客法辭典	bui1	pui1			
桮	客法辭典	bi1	pi1			
桮	客法辭典	bui1	pui1			
椑	客法辭典	bi1	pi1			
悲	客法辭典	bi1	pi1			
悲	客法辭典	bui1	pui1			
碑	客法辭典	bi1	pi1			
北	客法辭典	bed7	pet7			
孛	客法辭典	pud8	pʰut8			
貝	客法辭典	bi5	pi5			
貝	客法辭典	bui5	pui5			
背	客法辭典	poi3	pʰoi3			
背	客法辭典	poi5	pʰoi5			
背	客法辭典	bi5	pi5			
倍	客法辭典	pi5	pʰi5			
倍	客法辭典	pui5	pʰui5			
狽	客法辭典	bi5	pi5			
狽	客法辭典	bui5	pui5			
悖	客法辭典	pud7	pʰut7			
悖	客法辭典	pud8	pʰut8			
被	客法辭典	pi1	pʰi1			
被	客法辭典	pi5	pʰi5			
珼	客法辭典	bi5	pi5			
珼	客法辭典	bui5	pui5			
梖	客法辭典	bi5	pi5			
梖	客法辭典	bui5	pui5			
偝	客法辭典	poi5	pʰoi5			
偹	客法辭典	pi5	pʰi5			
琲	客法辭典	pi5	pʰi5			
琲	客法辭典	pui5	pʰui5			
備	客法辭典	pi5	pʰi5			
蓓	客法辭典	pi5	pʰi5			
蓓	客法辭典	pui5	pʰui5			
鞁	客法辭典	pi5	pʰi5			
誖	客法辭典	pud8	pʰut8			
褙	客法辭典	poi5	pʰoi5			
輩	客法辭典	bi5	pi5			
輩	客法辭典	bui5	pui5			
憊	客法辭典	pai5	pʰai5			
糒	客法辭典	pi5	pʰi5			
唄	客法辭典	pai5	pʰai5			
奔	客法辭典	bun1	pun1			
栟	客法辭典	bin1	pin1			
逩	客法辭典	bun5	pun5			
賁	客法辭典	bun1	pun1			
犇	客法辭典	bun1	pun1			
錛	客法辭典	bun1	pun1			
本	客法辭典	bun3	pun3			
夲	客法辭典	tau1	tʰau1			
畚	客法辭典	bun5	pun5			
笨	客法辭典	bun5	pun5			
伻	客法辭典	pin2	pʰin2			
挷	客法辭典	bang1	paŋ1			
挷	客法辭典	bong1	poŋ1			
崩	客法辭典	ben1	pen1			
絣	客法辭典	ben1	pen1			
傰	客法辭典	pen1	pʰen1			
傰	客法辭典	pung2	pʰuŋ2			
痭	客法辭典	ben1	pen1			
綳	客法辭典	ben1	pen1			
繃	客法辭典	ben1	pen1			
迸	客法辭典	bin5	pin5			
甏	客法辭典	pang5	pʰaŋ5			
屄	客法辭典	bai2	pai2			
屄	客法辭典	bi1	pi1			
偪	客法辭典	bid7	pit7			
偪	客法辭典	bed7	pet7			
逼	客法辭典	bid7	pit7			
逼	客法辭典	bed7	pet7			
鈚	客法辭典	bi5	pi5			
楅	客法辭典	bid7	pit7			
楅	客法辭典	fug7	fuk7			
鎞	客法辭典	bi5	pi5			
荸	客法辭典	pud8	pʰut8			
鼻	客法辭典	pi5	pʰi5			
匕	客法辭典	bi3	pi3			
比	客法辭典	bi3	pi3			
朼	客法辭典	bi3	pi3			
疕	客法辭典	bi3	pi3			
妣	客法辭典	bi3	pi3			
彼	客法辭典	bi3	pi3			
秕	客法辭典	bi3	pi3			
秕	客法辭典	pi1	pʰi1			
俾	客法辭典	bi1	pi1			
粃	客法辭典	bi3	pi3			
粃	客法辭典	pi1	pʰi1			
筆	客法辭典	bid7	pit7			
鄙	客法辭典	pi3	pʰi3			
鄙	客法辭典	pe3	pʰe3			
必	客法辭典	bid7	pit7			
坒	客法辭典	pi5	pʰi5			
佖	客法辭典	bid7	pit7			
庇	客法辭典	pi1	pʰi1			
苾	客法辭典	bid7	pit7			
畀	客法辭典	bi5	pi5			
怭	客法辭典	bid7	pit7			
毖	客法辭典	bi5	pi5			
疪	客法辭典	bi5	pi5			
畢	客法辭典	bid7	pit7			
萆	客法辭典	bi1	pi1			
萆	客法辭典	bi5	pi5			
梐	客法辭典	pi5	pʰi5			
閉	客法辭典	bi5	pi5			
閇	客法辭典	bi5	pi5			
庳	客法辭典	bi5	pi5			
敝	客法辭典	bi5	pi5			
婢	客法辭典	pi1	pʰi1			
婢	客法辭典	bi1	pi1			
貱	客法辭典	bi5	pi5			
詖	客法辭典	bi5	pi5			
湢	客法辭典	bid8	pit8			
湢	客法辭典	bid7	pit7			
愊	客法辭典	bid7	pit7			
愎	客法辭典	bug7	puk7			
弻	客法辭典	bid7	pit7			
弼	客法辭典	bid7	pit7			
蓽	客法辭典	bid7	pit7			
閟	客法辭典	bi5	pi5			
嗶	客法辭典	bid7	pit7			
飶	客法辭典	bid7	pit7			
痹	客法辭典	bi5	pi5			
煏	客法辭典	bid8	pit8			
煏	客法辭典	bed7	pet7			
滭	客法辭典	bid7	pit7			
裨	客法辭典	bi1	pi1			
裨	客法辭典	pi1	pʰi1			
碧	客法辭典	ped7	pʰet7			
蔽	客法辭典	bi5	pi5			
箅	客法辭典	bi5	pi5			
弊	客法辭典	bi5	pi5			
幣	客法辭典	bi5	pi5			
熚	客法辭典	bid7	pit7			
駜	客法辭典	bid7	pit7			
獘	客法辭典	bi5	pi5			
潷	客法辭典	bid7	pit7			
薜	客法辭典	pid7	pʰit7			
觱	客法辭典	bid7	pit7			
篳	客法辭典	bid7	pit7			
篦	客法辭典	bi5	pi5			
壁	客法辭典	biag7	piak7			
避	客法辭典	pid7	pʰit7			
嬖	客法辭典	pid7	pʰit7			
蹕	客法辭典	bid7	pit7			
髀	客法辭典	bi3	pi3			
斃	客法辭典	bi5	pi5			
濞	客法辭典	pi5	pʰi5			
濞	客法辭典	pui5	pʰui5			
臂	客法辭典	bi3	pi3			
奰	客法辭典	pi5	pʰi5			
饆	客法辭典	bid7	pit7			
璧	客法辭典	biag7	piak7			
鞸	客法辭典	bid7	pit7			
襞	客法辭典	pid7	pʰit7			
繴	客法辭典	pid7	pʰit7			
韠	客法辭典	bid7	pit7			
躃	客法辭典	pid7	pʰit7			
躄	客法辭典	pid7	pʰit7			
鷝	客法辭典	bid7	pit7			
贔	客法辭典	pi5	pʰi5			
鷩	客法辭典	bied7	piet7			
砭	客法辭典	bien1	pien1			
砭	客法辭典	bien5	pien5			
萹	客法辭典	bien1	pien1			
蝙	客法辭典	bien1	pien1			
箯	客法辭典	bien1	pien1			
編	客法辭典	pien1	pʰien1			
編	客法辭典	pin1	pʰin1			
鞕	客法辭典	ngang5	ŋaŋ5			
獱	客法辭典	bin1	pin1			
鞭	客法辭典	bien1	pien1			
鞭	客法辭典	bin1	pin1			
邊	客法辭典	bien1	pien1			
鯿	客法辭典	bien1	pien1			
釆	客法辭典	pien5	pʰien5			
疺	客法辭典	fad8	fat8			
窆	客法辭典	bien3	pien3			
窆	客法辭典	bien5	pien5			
扁	客法辭典	bien3	pien3			
匾	客法辭典	bien3	pien3			
貶	客法辭典	bien3	pien3			
惼	客法辭典	bien3	pien3			
碥	客法辭典	bien3	pien3			
褊	客法辭典	bien3	pien3			
藊	客法辭典	bien3	pien3			
卞	客法辭典	pien5	pʰien5			
弁	客法辭典	pien5	pʰien5			
抃	客法辭典	pien5	pʰien5			
忭	客法辭典	pien5	pʰien5			
昪	客法辭典	pien5	pʰien5			
便	客法辭典	pien2	pʰien2			
便	客法辭典	pien5	pʰien5			
変	客法辭典	bien5	pien5			
揙	客法辭典	bien3	pien3			
揙	客法辭典	bien1	pien1			
徧	客法辭典	bien5	pien5			
遍	客法辭典	bien5	pien5			
辡	客法辭典	pien5	pʰien5			
艑	客法辭典	bien3	pien3			
緶	客法辭典	pien1	pʰien1			
辨	客法辭典	pien5	pʰien5			
辧	客法辭典	pien5	pʰien5			
辮	客法辭典	bien1	pien1			
辯	客法辭典	pien5	pʰien5			
變	客法辭典	bien5	pien5			
杓	客法辭典	shog8	ʃok8			
彪	客法辭典	biau1	piau1			
淲	客法辭典	biau1	piau1			
猋	客法辭典	biau1	piau1			
摽	客法辭典	biau1	piau1			
幖	客法辭典	biau1	piau1			
颮	客法辭典	piau1	pʰiau1			
滮	客法辭典	biau1	piau1			
標	客法辭典	biau1	piau1			
膘	客法辭典	biau1	piau1			
麃	客法辭典	biau1	piau1			
熛	客法辭典	biau1	piau1			
儦	客法辭典	biau1	piau1			
藨	客法辭典	pau2	pʰau2			
臕	客法辭典	biau1	piau1			
穮	客法辭典	biau1	piau1			
驃	客法辭典	piau1	pʰiau1			
驃	客法辭典	piau5	pʰiau5			
飇	客法辭典	piau1	pʰiau1			
鑣	客法辭典	biau1	piau1			
驫	客法辭典	biau1	piau1			
表	客法辭典	biau3	piau3			
婊	客法辭典	biau1	piau1			
裱	客法辭典	biau3	piau3			
錶	客法辭典	biau1	piau1			
俵	客法辭典	biau3	piau3			
鰾	客法辭典	piau5	pʰiau5			
憋	客法辭典	bied7	piet7			
鱉	客法辭典	bied7	piet7			
鼈	客法辭典	bied7	piet7			
虌	客法辭典	bied7	piet7			
別	客法辭典	ped8	pʰet8			
別	客法辭典	pied8	pʰiet8			
咇	客法辭典	bid7	pit7			
徶	客法辭典	pied8	pʰiet8			
蹩	客法辭典	pied8	pʰiet8			
癟	客法辭典	pied8	pʰiet8			
彬	客法辭典	bin1	pin1			
斌	客法辭典	bin1	pin1			
賓	客法辭典	bin1	pin1			
賔	客法辭典	bin1	pin1			
儐	客法辭典	bin5	pin5			
濱	客法辭典	bin1	pin1			
濵	客法辭典	bin1	pin1			
檳	客法辭典	bin1	pin1			
瀕	客法辭典	bin1	pin1			
繽	客法辭典	bin1	pin1			
鬂	客法辭典	bin5	pin5			
擯	客法辭典	bin5	pin5			
殯	客法辭典	bin5	pin5			
臏	客法辭典	bin5	pin5			
鬢	客法辭典	bin5	pin5			
氷	客法辭典	ben1	pen1			
冰	客法辭典	ben1	pen1			
兵	客法辭典	bin1	pin1			
梹	客法辭典	bin1	pin1			
丙	客法辭典	biang3	piaŋ3			
邴	客法辭典	biang3	piaŋ3			
抦	客法辭典	biang1	piaŋ1			
抦	客法辭典	bin3	pin3			
秉	客法辭典	biang1	piaŋ1			
秉	客法辭典	bin3	pin3			
怲	客法辭典	biang3	piaŋ3			
柄	客法辭典	biang5	piaŋ5			
昞	客法辭典	biang3	piaŋ3			
昺	客法辭典	biang3	piaŋ3			
炳	客法辭典	biang3	piaŋ3			
窉	客法辭典	biang3	piaŋ3			
蛃	客法辭典	biang3	piaŋ3			
棅	客法辭典	biang5	piaŋ5			
禀	客法辭典	bin3	pin3			
稟	客法辭典	lim3	lim3			
餅	客法辭典	biang3	piaŋ3			
餠	客法辭典	biang3	piaŋ3			
幷	客法辭典	bin5	pin5			
併	客法辭典	bin5	pin5			
併	客法辭典	biang1	piaŋ1			
併	客法辭典	bin3	pin3			
併	客法辭典	pin1	pʰin1			
併	客法辭典	pin5	pʰin5			
並	客法辭典	bin5	pin5			
並	客法辭典	pin3	pʰin3			
庰	客法辭典	biang5	piaŋ5			
病	客法辭典	piang5	pʰiaŋ5			
竝	客法辭典	bin5	pin5			
偋	客法辭典	bin3	pin3			
摒	客法辭典	bin5	pin5			
寎	客法辭典	biang3	piaŋ3			
癶	客法辭典	pad7	pʰat7			
波	客法辭典	bo1	po1			
波	客法辭典	bo5	po5			
玻	客法辭典	bo1	po1			
哱	客法辭典	pud8	pʰut8			
袚	客法辭典	pad8	pʰat8			
剝	客法辭典	bog7	pok7			
菠	客法辭典	bo1	po1			
缽	客法辭典	bad7	pat7			
鉢	客法辭典	bad7	pat7			
碆	客法辭典	bo1	po1			
播	客法辭典	bo5	po5			
撥	客法辭典	bad8	pat8			
撥	客法辭典	bad7	pat7			
餑	客法辭典	pud8	pʰut8			
鱍	客法辭典	pad7	pʰat7			
伯	客法辭典	bag7	pak7			
帛	客法辭典	ped8	pʰet8			
帛	客法辭典	ped7	pʰet7			
帛	客法辭典	ted7	tʰet7			
帛	客法辭典	ded7	tet7			
帛	客法辭典	hed7	het7			
勃	客法辭典	pud8	pʰut8			
浡	客法辭典	pud8	pʰut8			
浡	客法辭典	bud7	put7			
脖	客法辭典	pud8	pʰut8			
博	客法辭典	bog7	pok7			
渤	客法辭典	pud8	pʰut8			
搏	客法辭典	bog7	pok7			
鈸	客法辭典	pad8	pʰat8			
鉑	客法辭典	pog8	pʰok8			
愽	客法辭典	bog7	pok7			
駁	客法辭典	bog7	pok7			
箔	客法辭典	pog7	pʰok7			
膊	客法辭典	bog7	pok7			
駮	客法辭典	bog7	pok7			
壆	客法辭典	hog7	hok7			
壆	客法辭典	bog7	pok7			
襏	客法辭典	pad7	pʰat7			
簙	客法辭典	bog7	pok7			
鎛	客法辭典	bog7	pok7			
髆	客法辭典	bog7	pok7			
襮	客法辭典	pog7	pʰok7			
礴	客法辭典	pog7	pʰok7			
跛	客法辭典	bai1	pai1			
簸	客法辭典	bai5	pai5			
簸	客法辭典	bo5	po5			
簸	客法辭典	boi5	poi5			
檗	客法辭典	bag7	pak7			
擘	客法辭典	mag8	mak8			
擘	客法辭典	mag7	mak7			
擘	客法辭典	bag7	pak7			
蘗	客法辭典	bag7	pak7			
卜	客法辭典	bug7	puk7			
蔔	客法辭典	ped8	pʰet8			
逋	客法辭典	pu2	pʰu2			
晡	客法辭典	bu1	pu1			
誧	客法辭典	pu3	pʰu3			
誧	客法辭典	pu1	pʰu1			
醭	客法辭典	pug7	pʰuk7			
卟	客法辭典	gi1	ki1			
捕	客法辭典	pu5	pʰu5			
哺	客法辭典	bu1	pu1			
哺	客法辭典	pu5	pʰu5			
補	客法辭典	bu3	pu3			
不	客法辭典	bud7	put7			
布	客法辭典	bu5	pu5			
步	客法辭典	pu5	pʰu5			
吥	客法辭典	piau1	pʰiau1			
佈	客法辭典	bu5	pu5			
抪	客法辭典	bu5	pu5			
怖	客法辭典	bu5	pu5			
部	客法辭典	pu5	pʰu5			
悑	客法辭典	bu1	pu1			
埠	客法辭典	feu5	feu5			
瓿	客法辭典	piau3	pʰiau3			
蔀	客法辭典	piau3	pʰiau3			
餔	客法辭典	pu2	pʰu2			
簿	客法辭典	pu1	pʰu1			
擦	客法辭典	cad7	tsʰat7			
偲	客法辭典	sii1	sɿ1			
猜	客法辭典	cai1	tsʰai1			
才	客法辭典	coi2	tsʰoi2			
材	客法辭典	coi2	tsʰoi2			
財	客法辭典	coi2	tsʰoi2			
裁	客法辭典	cai2	tsʰai2			
裁	客法辭典	coi2	tsʰoi2			
纔	客法辭典	cai2	tsʰai2			
采	客法辭典	cai3	tsʰai3			
采	客法辭典	coi2	tsʰoi2			
採	客法辭典	cai3	tsʰai3			
彩	客法辭典	cai3	tsʰai3			
睬	客法辭典	cai3	tsʰai3			
睬	客法辭典	coi3	tsʰoi3			
睬	客法辭典	cioi3	tsʰioi3			
跴	客法辭典	cai3	tsʰai3			
綵	客法辭典	cai3	tsʰai3			
踩	客法辭典	cai3	tsʰai3			
埰	客法辭典	cai3	tsʰai3			
菜	客法辭典	coi5	tsʰoi5			
棌	客法辭典	cai3	tsʰai3			
蔡	客法辭典	cai5	tsʰai5			
縩	客法辭典	cai5	tsʰai5			
縩	客法辭典	ze5	tse5			
參	客法辭典	sem1	sem1			
參	客法辭典	sem3	sem3			
參	客法辭典	sem5	sem5			
參	客法辭典	cam1	tsʰam1			
叅	客法辭典	cam1	tsʰam1			
飱	客法辭典	con1	tsʰon1			
傪	客法辭典	cam1	tsʰam1			
嵾	客法辭典	cam1	tsʰam1			
餐	客法辭典	con1	tsʰon1			
驂	客法辭典	cam1	tsʰam1			
殘	客法辭典	can2	tsʰan2			
慚	客法辭典	cam2	tsʰam2			
慙	客法辭典	cam2	tsʰam2			
蠶	客法辭典	cam2	tsʰam2			
慘	客法辭典	cam3	tsʰam3			
憯	客法辭典	cam3	tsʰam3			
黲	客法辭典	cam3	tsʰam3			
粲	客法辭典	can5	tsʰan5			
璨	客法辭典	can5	tsʰan5			
燦	客法辭典	can5	tsʰan5			
謲	客法辭典	cam1	tsʰam1			
倉	客法辭典	cong1	tsʰoŋ1			
蒼	客法辭典	cong1	tsʰoŋ1			
滄	客法辭典	cong1	tsʰoŋ1			
艙	客法辭典	cong1	tsʰoŋ1			
藏	客法辭典	cong2	tsʰoŋ2			
藏	客法辭典	cong5	tsʰoŋ5			
操	客法辭典	cau1	tsʰau1			
糙	客法辭典	cau5	tsʰau5			
曹	客法辭典	cau2	tsʰau2			
曹	客法辭典	co2	tsʰo2			
嘈	客法辭典	cau2	tsʰau2			
漕	客法辭典	zau5	tsau5			
漕	客法辭典	zo5	tso5			
漕	客法辭典	cau2	tsʰau2			
槽	客法辭典	cau2	tsʰau2			
槽	客法辭典	co2	tsʰo2			
螬	客法辭典	cau2	tsʰau2			
艚	客法辭典	cau2	tsʰau2			
艸	客法辭典	cau3	tsʰau3			
草	客法辭典	cau3	tsʰau3			
愺	客法辭典	cau3	tsʰau3			
冊	客法辭典	cag7	tsʰak7			
册	客法辭典	cag7	tsʰak7			
厠	客法辭典	cii5	tsʰɿ5	原文記tsɿ5，與真正的tsɿ作清濁對立，誤。		
側	客法辭典	zed7	tset7			
策	客法辭典	ced7	tsʰet7			
廁	客法辭典	cii5	tsʰɿ5	原文記tsɿ5，與真正的tsɿ作清濁對立，誤。		
廁	客法辭典	ca5	tsʰa5			
測	客法辭典	ced7	tsʰet7			
惻	客法辭典	ced7	tsʰet7			
筞	客法辭典	ced7	tsʰet7			
岑	客法辭典	cem2	tsʰem2			
涔	客法辭典	cem2	tsʰem2			
涔	客法辭典	cim2	tsʰim2			
噌	客法辭典	cen1	tsʰen1			
曾	客法辭典	zen1	tsen1			
曾	客法辭典	cen2	tsʰen2			
嶒	客法辭典	cen2	tsʰen2			
層	客法辭典	cen2	tsʰen2			
層	客法辭典	cen5	tsʰen5			
竲	客法辭典	zen1	tsen1			
蹭	客法辭典	cen5	tsʰen5			
叉	客法辭典	za5	tsa5			
叉	客法辭典	ca1	tsʰa1			
扱	客法辭典	cab7	tsʰap7			
扱	客法辭典	giag7	kiak7			
扠	客法辭典	ca1	tsʰa1			
杈	客法辭典	ca1	tsʰa1			
臿	客法辭典	cab7	tsʰap7			
挿	客法辭典	cab7	tsʰap7			
插	客法辭典	cab7	tsʰap7			
嗏	客法辭典	ca1	tsʰa1			
艖	客法辭典	ca1	tsʰa1			
鍤	客法辭典	cab7	tsʰap7			
秅	客法辭典	ca2	tsʰa2			
茶	客法辭典	ca2	tsʰa2			
查	客法辭典	ca2	tsʰa2			
搽	客法辭典	ca2	tsʰa2			
靫	客法辭典	ca1	tsʰa1			
槎	客法辭典	ca1	tsʰa1			
察	客法辭典	cad7	tsʰat7			
衩	客法辭典	cai5	tsʰai5			
汊	客法辭典	ca1	tsʰa1			
奼	客法辭典	za5	tsa5			
岔	客法辭典	ca1	tsʰa1			
侘	客法辭典	za5	tsa5			
差	客法辭典	ca1	tsʰa1			
差	客法辭典	cai1	tsʰai1			
姹	客法辭典	za5	tsa5			
詫	客法辭典	za5	tsa5			
拆	客法辭典	cag7	tsʰak7			
犲	客法辭典	sai2	sai2			
柴	客法辭典	cai2	tsʰai2			
豺	客法辭典	sai2	sai2			
祡	客法辭典	cai2	tsʰai2			
喍	客法辭典	cai2	tsʰai2			
