#ɿ		
ʨ	[2]撅{折断：他一生气就把笔~啦}决觉=掘绝诀爵攫蹶嚼=[5]倔	
ʨʰ	[2]缺瘸[5]却鹊雀=确=瘸阙榷	
ɕ	[1]薛薛靴{雪地~}□{用手或工具狠抽：~了他一巴掌/棍子}[5]穴	
s	[1]削=[2]雪学=	
Ø	[1]曰约=[3]哕[5]月越岳悦阅粤跃{新}乐{音~}	
#o		
p	[1]剥=钵玻{~璃}波菠{~菜}[2]驳泊勃帛博搏膊薄=拨{~款}□{老，一~树}伯=[3]跛簸{~~}[5]簸{~箕}薄{~荷}□{否定副词，不要：你~过来啦}	
pʰ	[1]坡颇[2]䥽{乐器的一种}婆泼[5]破迫={被~}魄{气~}	
m	[1]摸=[2]膜魔磨{~刀}摩馍模{~范}摹{~}[2]冇{没有、丢失：我哈车子~啦；去世：这村里~啦人啦}[3]磨{石~}抹□{亲属称谓，老派对母亲的称呼：那年还有我~哩}[5]墨={石墨}抹末=沫默没{沉~}莫寞磨{磨面}陌{~生}脉=	
f	[2]佛	
#uo		
t	[1]多[2]铎踱踱夺□{哭泣之后的抽噎：孩子气性大，这么一大会啦还~哩}[3]躲垛{柴~}舵{掌~}[5]跺剁惰	
tʰ	[1]拖托[2]脱驼{~背}驮{~粮食}[3]妥椭[5]唾	
n	[2]挪[5]糯诺	
l	[1]啰[2]罗箩锣摞螺骡啰[3]裸□{扯：衣裳~坏啦；买：上集上~截布去；撕开：把布~小点}[5]落={低~}乐-{老}骆洛	
ʦ	[2]嘬{吮吸}[3]作{工~}撮{一~米}左佐坐昨座{~儿}[5]作{~业}座{~位}做={新}	
ʦʰ	[1]搓[2]矬{矮；低处}[5]错措挫锉	
s	[1]缩{新}蓑{~衣}梭{~子}嗦{啰~}□{~子：肥肉熬油后剩下的渣子}[3]所{新}锁琐{~碎}索={绳~}	
tʂ	[2]浊桌镯拙啄灼酌琢镯捉	
tʂʰ	[2]戳{图章}	
ʂ	[2]说[3]所{老}[5]缩{老}	
ʐ	[5]若偌弱=	
k	[1]锅郭[3]国裹果馃{油条：~子}[5]过	
kʰ	[3]括{包~}[5]阔扩廓	
x	[2]活{生~}喝{老，~水}河{老}和{老，~睦[mei⁴⁴]；~面}盒{老，骨灰~}劐{~开}[3]火伙{合~}[5]货祸嚯镬霍藿或惑获豁{~然}	
