#调值	［1］312［2］35［3］452［5］55［7］13
#ɿ	
p	[1]邦帮傍{~晚}[3]绑榜膀{~子}[5]棒磅
pʰ	[1]膀{肿~~}[2]旁傍螃庞膀{~胱}[3]耪嗙{瞎~：胡说}[5]胖
m	[2]忙氓盲茫[3]莽蟒[5]懵{~失}
f	[1]方妨坊[2]房防妨[3]访仿纺[5]放
t	[1]当[3]党档挡[5]当荡宕
tʰ	[1]汤[2]唐糖塘棠[3]淌躺[5]烫趟
n	[1]齉{~鼻：感冒鼻塞，发音混重}[2]囊[3]攮{~子：尖刀}
l	[1]狼{黄~子}[2]狼郎榔[3]朗[5]浪
ts	[1]脏赃[5]葬藏
tsʰ	[1]仓沧苍[2]藏[5]蹭{~破皮：皮肤被划破}
s	[1]桑丧[3]嗓搡[5]丧
tʂ	[1]张彰章[3]长涨掌[5]帐账杖丈
tʂʰ	[1]昌伥猖娼[2]长常肠尝场[3]厂敞场氅[5]唱倡畅
ʂ	[1]伤商墒[3]赏晌[5]上尚绱{~鞋}
ʐ	[1]嚷[2]穰瓤[3]攘嚷[5]让
k	[1]冈缸刚纲岗[3]港[5]杠虹
kʰ	[1]康糠慷[2]扛[5]炕抗
x	[1]夯[2]行杭绗吭[5]巷
	[2]昂[5]盎
#iɑŋ	
n	[2]娘[5]酿
l	[2]良粮量凉梁[3]两俩[5]亮谅晾
tɕ	[1]江姜将礓僵[3]讲蒋耩[5]降强将糨
tɕʰ	[1]枪呛腔[2]强墙蔷祥详[3]抢强{勉~}[5]戗
ɕ	[1]乡香相厢[2]降{帮~，~工}[3]想响享[5]向项像象巷
	[1]央秧泱[2]羊洋扬杨阳[3]养仰[5]样恙怏漾
#uɑŋ	
tʂ	[1]庄装妆桩[3]奘[5]撞状壮幢
tʂʰ	[1]疮窗[2]床噇{~饭：吃饭（贬义）}[3]闯[5]创
ʂ	[1]双霜[3]爽
k	[1]光桄[3]广[5]逛
kʰ	[1]匡框筐[2]狂[5]旷邝矿
x	[1]荒慌[2]黄皇凰潢[3]谎幌恍[5]晃
	[1]汪[2]王亡[3]网往枉[5]望旺
#oŋ	
t	[1]东冬咚[3]董懂[5]动冻洞
tʰ	[1]通[2]同童铜桐[3]桶捅统筒[5]痛恸
n	[1]哝{咕咕~~}[2]农脓浓[5]弄
l	[1]隆{窟~}[2]龙隆聋[3]笼垅陇
ts	[1]宗棕综[3]总偬[5]纵粽棕
tsʰ	[1]匆葱聪[2]丛从淙琮
s	[1]松忪菘嵩[2]㞞{~：精液；~包：无用人}[3]怂耸悚[5]送宋颂诵
tʂ	[1]中忠钟谆[3]肿种踵准[5]重中仲种众
tʂʰ	[1]冲充春憧春[2]虫祟唇纯淳[3]宠蠢[5]冲铳充
ʂ	[3]吮[5]顺舜瞬
ʐ	[2]荣茸戎绒容[3]冗
k	[1]工攻功弓恭[3]巩汞拱滚磙[5]共供贡棍
kʰ	[1]空昆坤[3]孔恐倥捆[5]空困控
x	[1]哄烘轰昏婚荤[2]红洪宏弘鸿蕻{雪里~}浑混魂馄[3]哄[5]讧哄混诨圂溷
	[1]翁嗡温瘟[2]文蚊闻[3]吻刎稳[5]瓮
#ioŋ	
tɕ	[1]扃君军均钧[3]窘炯迥菌[5]俊郡峻骏
tɕʰ	[1]倾囷逡[2]穷穹琼邛群裙
ɕ	[1]兄凶汹胸匈勋熏薰[2]雄熊寻旬巡循询[5]汛讯迅训驯逊殉巽
	[1]拥痈壅晕氲缊[2]容溶融云耘芸匀筠昀[3]永咏勇涌允殒陨[5]用佣闰润韵恽晕运郓酝愠蕴孕熨
#ɐʔ	
p	[7]扒八跋
m	[7]抹
f	[7]发乏法罚阀
t	[7]达答耷沓
