	說明：-白讀，=文讀
l	[2]犁黎藜鐮-[3]禮詈[6]麗隸{奴～}例厲勵唳鱺荔
ts	[1]劑齋-擠{排～}[2]齊截{一～戲}[5]祭濟際制纃[6]節-
tsʰ	[1]妻棲淒萋千-差-{出～}[2]□{窮}[3]筅[5]砌粞{米磨的粉}
ɬ	[1]西犀先-[2]前-[3]洗-[5]細世勢[6]□{多}塞-逝誓
k	[1]雞街奎矽肩-間-羈-[2]倪霓懸{高}鮭𥉐[3]解-揀-詣[5]桂掛-計疥繼慣-[6]縣-藝䥛夾-潔-
kʰ	[1]溪嵇稽[3]啟[5]契蓋-毽-快-喫{啃、嗑}[6]篋{屜}擠
ŋ	[2]□{僵硬}[3]繭眼{龍～}趼[6]硬-
h	[1]兮[2]還-懸-{垂}攜[3]蜆-[5]廢[6]繫係系彗慧惠血-蟹莧-
∅	[1]挨-{推}[2]鞋-閑-耶[3]矮□{倚}[5]□{窺}裔[6]衛會{訓“解”}解{會}
#ø	
t	[3]短-䧘-{門～外}[5]供-戴-{姓}[6]苎-袋-斷-啄-埭{～頭：地名}黛{～青}
tʰ	[1]推{～刀}□{謎}[5]退-褪-蛻-[6]□{重煮}
n	[6]卵-嫩-
l	[2]螺-腡-[3]□{挖}[5]鑢[6]□{愚蠢}
ts	[1]災{天～}鑽-[2]全-鋤[3]阻詛[5]鑽{動詞}晬{周歲}[6]助
tsʰ	[1]初梭[2]□{蹲}[3]楚礎髓-[5]脆-[6]撮-
ɬ	[1]疏梳蔬酸-[3]所黍-□{累}[5]賽[6]坐-雪-旋-{頭～兒}疏{上～}
k	[3]改-[5]□{閹割}
kʰ	[3]咳
h	[1]□{搞}[2]□{歇火}[6]歇-
∅	[2]還-{～價}[3]嘔-
#o	
p	[2]毛-無婆-薄-巫-{～姐}[3]母-保-寶-[5]報-[6]磨-帽-
pʰ	[6]抱-粕-{渣}
m	[3]姆-
t	[1]刀-[2]躲-逃-[3]倒-{僕～}[5]倒-{～水}[6]卓-桌-
tʰ	[2]桃-萄-[3]討-[5]套-[6]擇{剔，挑}
l	[2]鑼-羅-騾牢落-[5]□{閂門}
ts	[1]資姿茲滋咨孜之[2]慈磁瓷[3]子仔紫棗梓[5]做恣[6]自字座-作-{仵～}
tsʰ	[1]搓-臊-差-{參～}[2]雌[3]此[5]剌次糙-
ɬ	[1]私思司斯師廝嘶唆[2]辭詞祠[3]史使駛死鎖-嫂-[5]四肆賜[6]士仕飼嗣事似祀伺索-{繩～}
k	[1]羔糕膏篙-哥-[2]熬-[3]稿{稈}[5]過-告-[6]郭-餓-
kʰ	[1]柯-科-□{估計}[3]洘{稠、乾}[5]□{小魚乾}
h	[3]好-[5]貨[6]號-賀-
∅	[1]倭-鍋-萵-[2]河-學-[5]坳過{傳染}惡-{不易}
#ɒ	
p	[1]波坡玻[2]袍-爬-琶-杷-耙-[3]寶保褒飽-馬-把-{～門}碼葆堡煲[5]報播[6]暴冒北-{塘～，地名}
pʰ	[1]脬□{分叉}[5]破帕{口袋}冇[6]泡-瀑
m	[1]貓-{～狸}□{抓一把}[2]毛髦摩磨魔[5]罵-[6]磨{～面}□{爛熟貌}
t	[1]多刀擔-焦-[2]濤陶逃駝馱佗茶-踏-淘[3]倒島禱膽-[5]擔-{挑～}榨-到[6]導道惰盜蹈稻舵詫賺{錯}搭-托-
tʰ	[1]滔叨[2]桃疊[3]討妥[5]䖳{水母}套[6]塔-
n	[2]挪籃-林-{樹～}[3]腦惱欖-[5]爁{火行}[6]儺乇{物件}
l	[1]撈[2]牢勞羅鑼拉-{～屎}[3]老裸[5]澇[6]勞{慰～}
ts	[1]遭糟渣-[2]曹槽閘-[3]早棗左[5]灶□{慫恿}[6]□{提褲，又出錢}
tsʰ	[1]叉-杈-釵-操-[2]柴-[3]草炒[5]造糙[6]插-
ɬ	[1]騷搜唆三-紗-衫-[2]煠{清水煮}[3]掃鎖瑣嫂藻[5]噪燥
k	[1]高羔哥皋歌鉸-膠-柑-干-{～支}[2]熬鰲俄蛾峨娥衙-牙-芽-鵝含{叼}[3]果稿假-敢-[5]告過價-教-嫁-架-漖{稀}[6]咬-䘥蓋餓臥
kʰ	[1]科柯蛾戈苛珂窠坩{潘～}[3]考可[5]靠課浩個犒烤拷銬[6]□{一種放魚蝦的竹器}
ŋ	[2]嗷{聲不清}[3]我
h	[1]呵{咳}[2]何河荷禾和豪毫壕蝦-[3]火好{～人}[5]好{愛～}耗孝-[6]賀禍號顥
∅	[1]窩[2]□{私也}霞-[3]拗襖[5]奧澳[6]鴨-押-下-啞-{～巴}廈-{～門}夏-{江夏}餡-傲
#i	
p	[1]碑卑悲陂[2]眉湄楣彌維唯微脾琵蓖枇辨篾-{竹皮}[3]比米彼美尾[5]庇痹痺啤箅毖秘沸[6]備味未寐沕{潛水}鼻{嗅}
pʰ	[1]披胚砒[2]皮疲[3]丕否痞匕鄙疕{痂}[5]屁鼻[6]被𠜱{削}
m	[1]咪□{小}[3]□{小小}
t	[1]知[2]池馳遲持[3]峙[5]置智致蒂-戴-{～帽}[6]治痔弟-膩-{細}稚
tʰ	[1]笞癡黐{粘絲}[2]啼-苔-[3]恥拸{剝離}[5]剃[6]鐵-雉
n	[1]柅{橡膠}[2]尼泥呢{～絨}[5]餌[5]𱳅躡
l	[1]□{象棋動仕}[2]來-梨厘狸離璃籬漓[3]裏理李鯉[5]利{～息}吏[6]利{利益}痢莉俐內-厲{～害}
ts	[1]支吱肢脂芝[2]兒[3]止只耳爾旨指址籽紫-姊-子-{果～}你[5]志誌痣至[6]二字-接-
tsʰ	[1]鰓-[2]□{濕}蠘{梭子蟹}[3]侈齒[5]幟剌-飼-翅[6]市□{快速受冷}
ɬ	[1]詩屍施撕絲司-[2]時匙辭-舌-[3]始矢屎死-[5]試薛-四-[6]是-氏視舐寺示侍蝕-
k	[1]枝肌饑飢機幾几基規-[2]奇棋其旗期逢葵-宜疑儀歧[3]己蟻{姓}議指-[5]記寄季痣-既冀紀[6]義忌毅妓技砌-
kʰ	[1]欺欹窺[2]騎畸蜞[3]起豈齒-[5]棄企氣汽器[6]柿-缺-{～口}
h	[1]飛非匪菲嬉禧曦熙犧希妃扉晞[2]肥𠹛{笑}[3]喜誹[5]費肺吠戲[6]耳-
∅	[1]衣依伊醫[2]移夷姨怡遺胰彝[3]以椅[5]意懿[6]易{容～}異億憶已
#u	
p	[2]無蕪炰{裹燒}巫誣芙-[3]武鵡舞[5]富-[6]務霧侮孵婦-{新～}
pʰ	[2]浮-垺[3]殕{黴}[6]□{噴}
m	[2]毛-[3]膜-
t	[1]嘟[3]拄-[6]□{溺}
tʰ	[5]托{捅，剔}
n	[2]奴[6]□{飄動貌}
l	[1]□{催逼}
ts	[2]□{呼雞聲}[6]嗍{吮}
ɬ	[2]□{勒緊}[6]欶{吸}
k	[1]龜-蚼{蛘}跔{趴}[2]牛-[3]久-韭-[5]句-灸-[6]舊-舅-臼-
kʰ	[1]丘-邱-[2]跍{蹲}[6]□{喘}
h	[1]夫膚敷灰-[2]芙俘扶符[3]府俯甫[5]付副赴富賦[6]腐父附傅駙阜負婦輔
∅	[1]杇[5]污[6]有-
#y	
t	[1]豬誅[2]除躇[3]女汝-[5]著[6]箸
tʰ	[1]□{陡}洙[2]鋤-儲[3]貯杵[6]□{滑坡}
n	[1]□{前拱}[5]□{蒙朧}
l	[1]□{滑行}[2]驢[3]旅呂鋁縷[6]慮濾鑢屢
ts	[1]珠諸書-[2]如茹瑜俞愉儒[3]主煮乳汝[5]注註鑄駐蛀[6]住聚裕喻柱炷
tsʰ	[1]蛆舒{展開}[2]廚櫥[3]取娶鼠-[5]趣處[6]□{穀物等漏出}
ɬ	[1]書舒須需輸儒[2]徐殊薯[3]暑署墅{又}黍[5]絮恕庶戍[6]序嶼豎樹敘緒墅
k	[1]車居裾[2]漁愚虞娛渠瞿禺隅[3]語舉矩[5]據鋸劇{～烈}句[6]拒巨炬具懼俱遇禦御
kʰ	[1]區驅拘駒軀[5]去
h	[1]虛噓籲墟[2]魚[3]許詡[5]□{不踏實}
∅	[1]淤[2]余於餘輿[3]宇禹羽雨栩[5]煦[6]予預豫譽與
#ai	
p	[2]排眉-埋牌[3]擺{搖～}□{一次}[5]拜[6]敗憊
pʰ	[1]□{不正}[2]排{又音}[3]痞-{壞}否{壞}[5]派湃
m	[1]□{小}[2]□{燈火小}滅{訓}[3]買[6]邁賣味{嘗}□{探視}
t	[1]呆[2]臺埋苔[3]滓-歹[5]戴貸帶[6]岱代待大袋逮事-{～體}黛怠殆
tʰ	[1]胎篩[2]治{殺}[3]□{不在乎}[5]太態泰
n	[3]乃奶[6]耐奈
l	[2]來萊梨-{王～}[5]賴瀨籟利-{刀～}
ts	[1]栽哉災齋知-[2]裁木材財豺臍-[3]宰滓載{半～}指{手～}[5]再載[6]在寨
tsʰ	[1]猜釵差{出～}[2]柴[3]采彩踩[5]菜蔡婿-{囝～}
ɬ	[1]腮西-師-{～父}獅[3]使-駛屎-[5]曬[6]士-仕-侍-祀-
k	[1]該皆階偕[2]㾏{壞}[3]改解[5]戒械丐鈣介界蓋芥[6]□{帶小孩}艾
kʰ	[1]開[3]凱楷[5]概慨愾溉
ŋ	[3]□{車壓}[6]礙
h	[2]孩骸還諧[3]海[6]亥駭害懈解{姓}
∅	[1]哀埃挨[2]唉[3]藹靄[5]愛
#au	
p	[1]包鮑{姓}[2]胞袍矛茅[3]飽卯[5]豹趵鮑{～魚}[6]貌
pʰ	[1]拋刨[2]咆[3]跑[5]炮[6]抱
m	[1]貓[3]□{約估}[6]□{口無牙}
t	[1]兜蔸株[2]投骰[3]鬥撓[5]罩晝-□{豆腐合音}[6]豆-脰{脖子}逗-
tʰ	[1]偷-[2]頭-[3]敨{解}[5]透-毒-{毒殺}
n	[1]□{皺}[2]猱[3]□{不服}[1]鬧[6]□{物之耳扣}鬧{吵～}
l	[1]嘮[2]劉-流-留-樓-[3]0□{粗縫}[5]落-[6]漏-老-
ts	[1]糟[2]找{～對象}巢-剿-[3]走-找{～錢}蚤[5]奏-灶-[6]棹
tsʰ	[1]抄鈔操[2]吵-[3]草-[5]湊-
ɬ	[1]捎梢□{奸}[2]稍[3]俏[5]哨-掃-[6]□{甩巴掌}
k	[1]交膠茭勾-鉤-溝-郊[2]猴-搞爻[3]咬狡絞九-狗-[5]較校{～對}教遘{到}夠-[6]厚漚熰{重熱}
kʰ	[1]摳鬮[2]□{碗蒸}[3]巧-口-[5]扣-銬[6]□{不正當性關係}
ŋ	[1]□{彎入}[2]□{口爭}[6]□{鬆動}藕-{～粉}
h	[1]薅酵[2]肴淆[3]吼{哭}[5]孝鱟[6]校效□{物煮不爛}
∅	[1]甌歐區{姓}[2]喉-□{吵架}[5]朽-[6]後-候-厚-{～峰，地名}
#ɔu	
p	[1]坡-夫-[2]模膜蒲{～團}[3]補畝某捕牡斧-[5]布佈怖傅{姓}播{～田}[6]步部慕埠-暮戊捕{舊讀}哺募埔
pʰ	[1]鋪麩-[2]菩莆蒲扶-浮{～曦，地名}[3]普譜埔圃浦[5]鋪{店～}[6]簿
m	[1]摸[5]墓
t	[1]都[2]圖途塗茶徒屠[3]肚賭睹堵[5]住-妒蠹注{一～}[6]度渡踱杜怒鍍墿{路}路
tʰ	[2]塗{姓}[3]土凸[5]兔吐[6]□{成全}
n	[1]□{珠音轉}[2]奴駑[6]努
l	[2]盧爐廬蘆顱□{拔}[3]魯鹵虜櫓擄[5]露[6]路滷賂鷺□{搖}
ts	[1]朱-珠-租[2]俞{姓}徂[3]祖主-組[5]注-著-鑄-[6]喻{姓}祚
tsʰ	[1]粗[5]醋厝
ɬ	[1]蘇酥甦輸-[2]□{私拿}[3]數{～落}[5]素塑訴數[6]□{墊}
k	[1]姑菰孤辜沽[2]吳吾糊-梧[3]古鼓午估牯五蠱股䀇[5]顧固鹿故錮估{～衣}[6]誤悟晤寤
kʰ	[1]枯箍呼{～雞}[3]苦古{～田：地名}[5]庫褲
ŋ	[6]五仵{～作}
h	[1]呼[2]胡糊壺狐瓠葫湖乎[3]虎琥滸[5]戽[6]戶護扈互雨-怙滬
∅	[1]烏鎢[2]壺{弧形}□{竹器}盂-[3]□{馬虎}[5]污-惡-[6]芋-□{挨日子}護-
#iu	
p	[1]彪[2]繆[6]謬繆{姓}
t	[1]丟[2]疇籌櫥-[3]紐-鈕-肘-柱-[5]晝[6]稻粙{稻}紂
tʰ	[1]抽[2]綢[3]醜丑[6]柱-
n	[1]妞[3]紐{～約}扭
l	[1]溜熘遛[2]留流琉硫榴瘤劉瀏[3]柳[5]□{抽搐}[6]餾
ts	[1]周州洲舟珠-{目～}[2]柔揉{擦}[3]酒守-[5]咒皺宙蛀-[6]就鷲
tsʰ	[1]秋揪鬚{鬍～}[3]酋[3]手-[5]樹-[6]□{一～屎}
ɬ	[1]修收羞[2]囚泅酬售[3]守首手帚[5]秀繡鏽獸宿{星～}[6]壽受授袖
k	[1]痀鳩{又音}糾鰍[2]求球仇牛[3]久九韭[5]究灸救[6]舊臼舅疚柩咎
kʰ	[1]丘邱鳩蚯[2]□{收縮}[3]□{拉}[5]□{韌}
h	[1]休悠[3]朽
∅	[1]幽憂優[2]由油尤郵遊猶[3]有友酉誘[5]幼[6]又右佑祐釉柚
#ia	
p	[2]平-{～仄}□{點火}[3]餅-丙-[5]拼-摒-[6]壁-
pʰ	[1]𩩍-[2]□{山崖}[6]僻-避-並-{比}
m	[1]□{人名用}[2]名-明-{清～}[6]命-
t	[1]爹{老～}[2]庭-埕-{南～：地名}[3]鼎[5]□{說}[6]定-擲
tʰ	[1]聽-廳-[2]程-{姓}[5]痛{疼痛}[5]拆-
n	[2]晾-涼-[3]嶺-領-
l	[6]□{敏捷}
ts	[1]遮正-[2]情-{人～}[3]姐者䭕{無味}[5]正-蔗柘[6]借跡-{鳳～，地名}
tsʰ	[1]車清{閩～}[2]成-{嫁女}[3]且鏟-請-[6]赤-□{刀剌}
ɬ	[1]聲-賒奢[2]城-成-邪斜食-佘[3]寫[4]舍瀉泄赦聖-[6]射謝榭社錫削
k	[1]驚-[2]行-[5]鏡-[6]下-{低}
kʰ	[1]輕-{虛弱}[5]□{擲}
ŋ	[2]迎-{抱物}[3]□{聳肩}[6]迓-
h	[1]兄[3]嚇[5]□{倒去}[6]□{傾斜}
∅	[1]纓-□{撒嬌}[2]爺□{無趣}[3]野冶[5]□{試}[6]夜易{～經}益-
#iau	
p	[1]標鏢[2]苗描貿謀瞄貓[3]表裱藐母[6]妙廟懋貿{舊讀}茂
pʰ	[1]飄漂[2]飄嫖薸{萍}[3]剖秒[5]票漂{～白}
t	[1]雕朝{～夕}刁嘲張-[2]條朝{～代}投潮調場-[3]斗{北～}蚪[5]吊掉釣鬥{～爭}[6]尿趙兆抖調{聲～}丈-{～人}召{號～}肇
tʰ	[1]超挑餿[2]頭迢[3]挑{～戰}[5]跳眺糶[6]杖-
n	[1]貓[2]娘-涼-糧-梁-量-箬-{葉}[3]□{心動}兩-[6]裊量-{～秤}
l	[1]膫[2]療遼僚燎撩繚樓婁聊寥[3]了{～事}[5]□{舔}[6]料撩漏潦陋廖
ts	[1]招昭焦礁蕉釗鄒椒章-漿-樟-蘸[2]饒樵剿[3]走爪擾沼鳥掌-蔣-槳-繞[5]照醬-奏[6]讓-借-驟
tsʰ	[1]鍬槍-鯧-猖-[2]牆-蓆-撨{扳正}[3]搶-廠-[5]撬臭-唱-笑-[6]象-螫-上-{～蛀}緔-
ɬ	[1]蕭消宵筲銷硝簫燒搜-傷-廂-箱-[2]詳-韶石-□{勻}[3]小賞-痟{瘋}[5]笑少嘯叟俏數-肖[6]邵紹上-尚-癢-惜-
k	[1]驕嬌交蛟勾鉤姜-溝[2]橋蕎喬堯僑茄-強-[3]偶繳狗苟餃藕[5]叫購構[6]轎角{～色}
kʰ	[1]敲腔-蹻[2]□{變形}[3]口巧[5]扣叩竅寇蔻簆[6]□{執拗}
ŋ	[1]□{撓癢癢}[2]□{仰瓦}
h	[1]囂香-鄉-邀[2]侯喉猴淆浮[3]否曉僥響-[5]向-[6]後后厚候
∅	[1]腰妖夭要{～求}枵-{餓}鴦-{鴛～}泱-{多水}[2]搖謠窯遙姚洋-蛘-陽-{地名用}楊-羊-藥-鑰-[3]舀養-[5]要[6]耀鷂曜樣-約-{猜}
#ui	
p	[2]肥-[5]拂-痱-[6]吠-
pʰ	[5]屁-呸{吐掉}
t	[1]堆追[2]堤-{海～}捶[5]兌對碓[6]隊墜埭-{～裏，地名}
tʰ	[1]推梯-[2]錘[3]腿[5]唾退[6]墜{耳～}贅-
l	[1]鐳{錢}[2]雷-擂-螺{～洲，地名}[3]累{積～}壘儡磊蕊[6]類累淚擂{～臺}
ts	[1]錐椎隹[3]水-[5]醉[6]悴萃
tsʰ	[1]崔催摧[5]碎翠脆粹喙{嘴}
ɬ	[1]雖荽緩蓑[2]誰隨垂隋[3]水[5]睡祿祟漱{～口}[6]遂燧瑞
k	[1]歸規饑-飢-機-[2]危巍[3]鬼軌癸幾-[5]貴季-{下～}瑰[6]櫃跪偽-魏膭{有孕}
kʰ	[1]虧窺開-[3]傀[5]愧潰氣-
h	[1]揮輝暉徽麾[2]瓷{訓，陶瓷}硋{～灶，地名}[3]毀誹[5]緯諱慰尉蔚
∅	[1]威衣-{胎～}[2]圍為{作～}違韋[3]偉委萎葦[5]畏[6]胃為位謂渭
#ua	
p	[1]般-搬-[2]盤-磨-{～墨}跋-[3]坂-[5]半-簸-[6]撥-抹-
pʰ	[1]潘-{姓}[3]□{披}[5]破-判-[6]潑-
m	[2]瞞-鰻-麻-[3]滿-{期～}[6]漫-
t	[1]單-[2]彈-{～琴}汰-{～米}[3]□{清晰}[5]帶-旦-{今～}[6]大-段-舵-
tʰ	[1]拖-攤-[5]炭-
n	[2]欄-[3]瀾{涎}[6]爛-
l	[2]籮辣籃-{～球}[5]□{久困}[6]賴-
ts	[1]抓[2]□{抓牌}[3]盞-[5]債-[6]□{次}
tsʰ	[3]□{齊貌}[5]蔡-[6]擦-銼-鑔-
ɬ	[1]沙-山-鯊-[3]耍傘-[5]散-汕-算-[6]□{棲止}煞-薩-{菩～}灑-
k	[1]瓜柯-{姓}乾-干-肝-官-菅-過-{老}[2]寒-[3]稈趕-寡-我-[5]卦掛蓋-芥-{～菜}觀-{東嶽～}庎-{～櫥}[6]汗-刮-割-摜{提}外-旱-{苦～}
kʰ	[1]誇寬-{慢}[2]垮[5]看-跨[6]闊-
h	[1]花華{龍～，地名}歡-{～喜}[2]華鏵橫-宏-{～路}嘩[3]□{聽若罔聞}[5]化華{姓}[6]喝-{喊}
∅	[1]哇挖窪鞍-安-{南～}[2]何-{姓}□{攔}[3]瓦碗-倚{倚靠}[5]晏-{晚}[6]話畫
#ue	
p	[1]杯飛-風-楓-緋-{～紅}[2]培賠陪梅莓煤玫媒襪-[3]尾-每本-{～錢}[5]貝輩褙背{蝦～}[6]倍背焙佩狽未-飯-髪-{頭～}
pʰ	[1]坯-胚-[2]皮-末-[3]□{翻動}[5]配沛杮{塊}[6]被-
m	[2]門-聞-{聽～}糜{飲～}[5]妹[6]物
t	[2]傳-椽-挼-[3]轉-[5]對-綴-[6]內傳-{～記}篆-
tʰ	[1]推-{又音}[3]揣{揀選}[5]退-褪-
n	[1]蔫[2]挼{又音}[3]軟-[5]揣{裝}
ts	[1]磚-[2]鉛-[5]最[6]罪銳睿
tsʰ	[1]吹-炊-崔-{姓}遂[2]箠[3]髓[5]□{找}𢶀{找}[6]出啜
ɬ	[1]衰[2]□{慢爬}[3]甩[5]歲稅帥率{～領}[6]說-
k	[1]乖關-[2]□{齊整}月-[3]卷拐粿管-{米～}[5]怪檜會{～計}繪卷-{考～}髻-桊-{～鼻}[6]外月-{～份}
kʰ	[1]魁盔詼恢[3]跪-[5]快勸-[6]缺-{稀有}乞-{給}
ŋ	[2]原-元-{狀～}[6]願-
h	[1]灰[2]回懷蛔槐淮園-{菜～}[3]悔賄誨火-夥-[5]歲-[6]匯會壞薈遠-
∅	[1]歪[2]丸-[3]阮-䘼-箢-[5]穢-[6]訛-
#yɒ	
t	[5]□{膩味}[6]蚮{替，海蠣}蠣{海蠣}佇{存在}
tʰ	[3]展-{平～}
n	[2]燃-{燒火}[3]□{揉搓}[5]□{挪動}[6]□{禾麥皮屑}
ts	[1]煎-[3]紙-[5]□{浸而分解}
tsʰ	[1]纖-[2]□{摘}[3]癬-[5]□{引路}[6]鱔-
ɬ	[1]□{掉下}[2]蛇-泉-[3]徙-{移}[5]線-腺-續-{接續}誓-{咒～}
k	[2]鵝-蜈-{～蚣}墘{～頂，地名}[3]囝-舉-[5]寄-[6]健-件-
kʰ	[1]奇-{～數}[2]騎-[5]企{豎}[6]徛{站立}
ŋ	[6]岸-
h	[1]靴禧-{莆～，地名}桸{勺}[3]許{那}[5]艾-[6]瓦-蟻-
∅	[2]營-贏-[3]□{吐}[5]換-□{撒}
#aŋ	
p	[1]班斑邦幫頒[2]房-縫-[3]板扳綁[5]放-[6]辦
pʰ	[1]攀蜂-芳-[2]帆-捧-龐篷-[3]紡-[5]縫-{一條～}[6]龐{～大}
m	[2]閩蠻虻龐[3]晚蠓-{蚊}[5]夢-[6]萬網-慢漫鰻
t	[1]丹單耽擔東-冬-[2]談痰彈銅-桐-筒-□{濕}[3]膽董-[5]旦擔{擔子}凍-□{眨}[6]重-動-洞-但誕氮淡
tʰ	[1]貪灘排通-癱[2]潭壇檀蟲-桐-{～油}[3]桶-毯坦[5]探歎炭碳[6]撣{抖落}
n	[2]南男楠難儂-{人}膿-囊-[3]赧[5]□{指甲掐}[6]難{災～}
l	[1]㝗{寬敞}[2]藍籃蘭欄攔婪聾-籠-瀾[3]覽攬欖懶纜[5]□{疏}[6]濫艦爛弄-
ts	[1]髒棕-鬃-綜-[2]慚盞殘蠶[3]斬嶄[5]贊粽-[6]站暫鏨棧
tsʰ	[1]參餐蔥-摻[2]讒殘{～暴}[3]慘[5]燦懺[6]□{發亂}
ɬ	[1]三山杉衫珊刪雙-鬆-{輕～}[2]叢-[3]產傘散-{藥～}[5]散送-宋-{姓}
k	[1]乾干肝甘艱奸間公-工-江監柑[2]含-銜-[3]感杆敢簡講港柬趕[5]幹{～勁}鑒鑑間{～接}降{～落}[6]共-
kʰ	[1]刊堪勘{校～}空-[2]扛[3]坎砍侃[5]勘{問}看嵌
ŋ	[1]啱{合得來}[2]岩顏癌[3]眼[5]□{下凹}[6]岸雁□{夾在中間}
h	[1]酣鼾夯烘-魟-[2]含函涵凡寒航-杭-閑韓降{投～}行{銀～}絎[3]罕喊[5]漢泛憾巷[6]撼頷汗陷範犯旱項限翰
∅	[1]安鞍肮庵翁-{丈夫}銨氨[2]涵-紅-洪-{姓}[3]飲-{米湯}[5]暗案按晏甕-[6]蓊-{茂密}
#aʔ	
p	[7]八北腹-幅-[8]拔跋墨-
pʰ	[7]伏-趴覆{錢背面}[8]雹-
m	[7]□{沾}[8]目-脈-{號～}
t	[7]搭答褡[8]達踏納妲逐{～個}毒-{食物微毒}
tʰ	[7]塔塌拓{～本}踢榻觸-[8]讀-
n	[7]□{凹}[8]搦-
l	[7]□{套入}[8]蠟臘辣粒六-獵□{針刺}
ts	[7]紮扎札閘[8]雜鍘
tsʰ	[7]察擦插[8]鑿-
ɬ	[7]殺煞卅颯霎薩[8]□{嗆}
k	[7]甲覺葛鴿蛤角□{車壓}各-{～人}[8]嶽岳樂{音～}合-{～股}
kʰ	[7]確渴殼挈{撿}[8]磕-{觸}咯{笑～～}
h	[7]法[8]合學褐
∅	[7]壓押握沃[8]乏合-{又音}盒
#ɛŋ	
p	[1]邊鞭[2]朋瓶便{～宜}[3]貶扁[5]變遍[6]便辨辯辮
pʰ	[1]編偏篇翩[2]硼[5]騙片遍{又音}
m	[2]眠盟螟綿棉[3]免勉娩猛[5]面[6]孟慢-{～～}麵{～條}
t	[1]丁釘叮燈登疔顛癲[2]廷庭亭停婷陳騰田[3]頂等鼎戥典[5]釘{～釘}磸{錨}訂鄧凳[6]電毆真定
tʰ	[1]天蟶[2]甜沉-[3]展挺艇[5]聽趁-{～錢}
n	[1]奶[2]年寧能檸[5]濘
l	[1]□{折磨}[2]連聯憐蓮靈玲鈴羚零齡[3]冷[5]□{轉動}[6]卵{男陰}
ts	[1]煎真爭箏貞幀氈曾增僧[2]層曾{～經}前然燃[5]戰薦箭[6]踐賤漸贈
tsʰ	[1]千遷纖呻-[2]塍{田}纏[3]淺闡[5]襯
ɬ	[1]生笙鉎甥牲先仙鮮[2]蟬禪[3]省㾪{瘦}[5]信-[6]善膳擅
k	[1]堅肩跟根更耕[2]虔[3]耿梗輕繭[5]更{～加}見
kʰ	[1]牽坑[3]肯啃[5]磬
ŋ	[2]研[5]硯[6]彥癮
h	[1]亨[2]賢行橫痕衡恒鋐[6]現行{品～}杏幸
∅	[1]煙胭鸚-鶯焉轟鴛-燕{～京}[2]延拫{緊}[3]演[5]燕宴豔{新讀}[6]衍羨
#ɛʔ	
p	[7]伯柏粕別{區～}別{認識}[8]別{離～}陌滅白密-麥{姓}默蔑脈墨{～西哥}
pʰ	[7]迫撇□{碟子}拍{～照}魄
t	[7]滴的得德謫哲徹[8]敵笛迪狄徹特轍餐值-{～錢}
tʰ	[7]踢鐵惕[8]□{滴下}
l	[7]勒劣[8]列烈裂曆歷冽瀝
ts	[7]浙折節責[8]熟截澤擇賊{木～}宅
tsʰ	[7]漆側測切廁拆策冊撤[8]賊
ɬ	[7]色瑟設虱蝨澀櫛-索{線～}塞[8]舌實-十-
k	[7]割揭吉潔結革格隔[8]額孽
kʰ	[7]克刻客[8]□{不充裕}
h	[7]黑蠍謁[8]獲穫赫或惑核劃{計～}
∅	[7]厄扼{按}
#œŋ	
