#a		
pʰ	[1]鬔[3]捧	
m	[1]蒙{～人}[2]蒙{內～}[3]懵[4]蠓	
f	[1]風楓瘋豐封峰蜂鋒[3]諷	
t	[1]東冬[2]同銅桐筒童瞳[3]董懂[4]動	
tʰ	[1]通熥囪[3]桶捅統	
n	[1]燶{燒焦、燒糊}[2]農濃	
l	[1]窿聾[2]籠{雞～}隆龍[4]籠{衣箱}	
k	[1]公蚣工功攻弓躬宮恭供[2]窮[3]拱{形容詞}鞏[4]拱{動詞}[5]玄	
ŋ	[1]□{弓著身體}[4]戇{腦子犯渾}	
h	[1]空烘胸凶兇[3]孔恐[5]控哄	
tʃ	[1]棕鬃宗綜中忠終蹤鐘錘盅舂縱[2]叢蟲崇從松重{～複}[3]種腫總{文}[4]重{好～}	
tʃʰ	[1]聰匆蔥充沖[3]籠	
ʃ	[1]鬆嵩[3]聳	
∅	[1]翁[2]紅洪鴻虹[3]□{推}	
#ioŋ		
ȵ	[1]□{～hoŋ44：頭髮很長很亂}[4]勇湧擁	
∅	[1]雍癰庸壅[2]絨熊雄融容蓉鎔茸	
#ɔp		
pʰ	[7]□{撲吱一聲（短促爆破）}	
t	[9]□{心～～：心撲通撲通地跳}	
n	[7]□{蛤～：蝌蚪}	
l	[9]□{火～～：火焰很高很猛}	
k	[8]合鴿	
∅	[8]□{～門：把門掩著}[10]合盒	
#ɔt		
p	[8]缽撥[10]鈸勃	
pʰ	[8]潑	
m	[8]抹[10]末沫襪沒	
t	[9]□{～nøt55：突出的樣子}	
l	[7]□{斷裂的聲音}	
k	[8]割葛	
h	[8]渴喝	
#ok		
p	[7]卜{動詞}[9]僕{文，～人}服伏栿訃{文}	
pʰ	[7]僕{～倒}	
m	[9]木目穆牧	
f	[7]複復福幅蝠腹覆	
t	[7]戳篤督[9]獨讀毒牘犢	
tʰ	[7]禿□{哭}	
n	[7]□{往下摁}	
l	[7]錄祿[9]鹿六陸綠	
k	[7]郭國穀谷菊□{鼓起}[9]局焗侷	
kʰ	[7]曲麴	
h	[7]哭	
∅	[9]玉{文}	
