拼音	IPA	調號	單字
craa	tʂʰɒ	7	赤[(白)]尺[(白)]
sraa	ʂɒ	1	奢賒佘畬[姜～：湘潭縣地名]
sraa	ʂɒ	2	蛇
sraa	ʂɒ	5	射石[(白)]剎[極短的時間：一～就走噠]
gaa	kɒ	1	家[(白)]痂
gaa	kɒ	5	架[(白)]嫁胛駕[(白)]
gaa	kɒ	7	夾挾擖个[這]
kaa	kʰɒ	7	掐刻
ngaa	ŋɒ	1	椏丫[口～～]
ngaa	ŋɒ	2	牙芽衙伢
ngaa	ŋɒ	3	啞
ngaa	ŋɒ	5	咬[(白)]
ngaa	ŋɒ	7	砑鴨押壓軋
xaa	xɒ	1	蝦哈[～氣]
xaa	xɒ	2	蝦
xaa	xɒ	3	哈[～寶：傻子]
xaa	xɒ	5	下[(白)]
xaa	xɒ	7	瞎[(白)]嚇
aa	ɒ	1	阿[～膠；～哥]
liaa	liɒ	1	嗲[(訓讀)形容撒嬌時的聲音和样子：～聲～氣]
liaa	liɒ	7	澀[(訓讀)]
zhiaa	tɕiɒ	1	家[(文)]加嘉傢佳
zhiaa	tɕiɒ	3	假[真～]賈
zhiaa	tɕiɒ	5	駕[(文)]價架[(文)]嫁[(文)]
chiaa	tɕʰiɒ	7	吃
gniaa	ȵiɒ	3	惹
shiaa	ɕiɒ	3	廈
shiaa	ɕiɒ	5	夏[姓]
shiaa	ɕiɒ	6	下[(文)]夏[～天]
iaa	iɒ	1	鴉丫
iaa	iɒ	2	爺[爸爸]涯[(文)]
iaa	iɒ	3	雅野
iaa	iɒ	5	亞
iaa	iɒ	6	夜
cuaa	tsʰuɒ	5	擇[(白)～菜]
suaa	suɒ	3	傻耍
guaa	kuɒ	1	瓜
guaa	kuɒ	3	寡剮
guaa	kuɒ	5	掛卦褂
guaa	kuɒ	7	括聒刮
kuaa	kʰuɒ	1	誇
kuaa	kʰuɒ	5	跨
uaa	uɒ	1	蛙窪挖[(文)]哇[打～：腸胃產生的不適感]
uaa	uɒ	2	娃
uaa	uɒ	3	瓦搲[用瓢、勺等舀東西]
uaa	uɒ	5	哇[老～子：烏鴉]
uaa	uɒ	6	話
uaa	uɒ	7	滑猾挖[(白)]襪
be	pɛ	3	癟秕
be	pɛ	7	別鱉屄[女陰]
pe	pʰɛ	7	撇
me	mɛ	7	篾滅
de	tɛ	1	逗[(文)]
de	tɛ	2	頭[(白)]
de	tɛ	3	斗[一～米]抖陡
de	tɛ	5	鬥[(白)牛～架]
de	tɛ	6	逗[(白)]
de	tɛ	7	得跌
te	tʰɛ	1	偷
te	tʰɛ	7	帖貼疊碟牒蝶諜鐵
le	lɛ	1	摟
le	lɛ	2	樓
le	lɛ	3	簍
le	lɛ	6	漏
le	lɛ	7	列烈裂獵
ze	tsɛ	1	鄒掫
ze	tsɛ	2	愁
ze	tsɛ	3	走
ze	tsɛ	5	皺縐
ze	tsɛ	7	接節絕卒
ce	tsʰɛ	1	搊[～尿：給小孩把尿]
ce	tsʰɛ	5	妾賊
ce	tsʰɛ	7	捷傑切截猝
se	sɛ	1	些叟[(白)]搜颼餿
se	sɛ	5	謝[(文)]瘦
se	sɛ	7	瀉卸薛洩屑雪
ge	kɛ	1	勾鉤溝
ge	kɛ	3	狗苟
ge	kɛ	5	鋸
ge	kɛ	7	結潔
ke	kʰɛ	1	摳
ke	kʰɛ	5	去[(白)]
nge	ŋɛ	2	藕[(白)]嘔毆
nge	ŋɛ	5	謳慪[恨：～噠你(恨你)]
xe	xɛ	2	吼侯喉猴
xe	xɛ	6	后後厚
xe	xɛ	7	歇[(白)]
e	ɛ	2	兒[讀書音，一般不用]爾而
e	ɛ	3	餌
e	ɛ	6	二[(文)]貳[(文)]
e	ɛ	7	葉噎
zhie	tɕiɛ	7	給揭
chie	tɕʰiɛ	5	去[(文)]
chie	tɕʰiɛ	7	且劫怯傑
gnie	ȵiɛ	7	聶鑷躡業孽捏
shie	ɕiɛ	7	協歇[(文)]蠍屑
zrue	tʂue	1	追[(文)]錐[(文)]
zrue	tʂue	2	垂[(文)]槌錘[(文)]
zrue	tʂue	5	瑞[(文)]墜[(文)]
crue	tʂʰue	1	吹[(文)]炊[(文)]
srue	ʂue	2	誰[(文)]
srue	ʂue	5	稅[(文)]睡[(文)]
gue	kue	1	圭閨規窺龜歸
gue	kue	2	奎癸逵葵
gue	kue	3	詭鬼軌
gue	kue	5	鱖桂貴
gue	kue	6	櫃
gue	kue	7	骨
kue	kʰue	1	虧
kue	kʰue	3	跪
kue	kʰue	5	愧
ue	ue	1	威
ue	ue	2	圍違危爲[作～]維惟唯微桅
ue	ue	3	萎委餵偉尾葦緯
ue	ue	5	衛僞魏畏慰謂猬
ue	ue	6	位未味
zhye	tɕyɛ	1	錐[(白)]追[(白)]
zhye	tɕyɛ	2	垂[(白)]
zhye	tɕyɛ	5	墜[(白)]
zhye	tɕyɛ	7	缺
chye	tɕʰyɛ	1	炊[(白)]
chye	tɕʰyɛ	3	撅
shye	ɕyɛ	2	誰[(白)]
shye	ɕyɛ	5	稅[(白)]睡[(白)]
shye	ɕyɛ	7	說
bo	po	1	波菠玻
bo	po	2	婆
bo	po	3	跛[(文)]簸[～一～]
bo	po	5	簸[～箕]
bo	po	6	埠[射～：湘潭縣地名]薄[～荷]
bo	po	7	缽撥博剝駁薄[(文)～布]
po	pʰo	1	坡剖[(文)]
po	pʰo	5	破薄[(白)～布]
po	pʰo	7	頗潑
mo	mo	1	摸
mo	mo	2	模摹磨[～刀]魔摩膜麼
mo	mo	3	畝[(文)]母拇
mo	mo	5	慕募暮幕寞墓磨[(文)～坊]
mo	mo	6	麼[(白)石～]
mo	mo	7	末沫抹莫木目穆牧
do	to	1	多
do	to	2	駝馱坨[量詞：一～泥巴]
do	to	3	朵躲
do	to	5	剁[(文)]舵[(文)]
do	to	6	舵[(白)]座[(白)～子：某些器物的下半截]
do	to	7	掇奪鐸踱
to	tʰo	1	拖他
to	tʰo	3	妥橢
to	tʰo	5	垛
to	tʰo	7	脫托託拓
lo	lo	1	囉[～嗦]
lo	lo	2	羅鑼籮蘿騾螺腡[摸～拐]
lo	lo	3	裸裹
lo	lo	5	摞捋
lo	lo	6	糯
lo	lo	7	諾落烙駱酪洛絡樂
zo	tso	3	左
zo	tso	5	佐
zo	tso	6	坐[(文)]座
zo	tso	7	作昨桌卓琢啄[(文)]涿捉
co	tsʰo	1	搓
co	tsʰo	5	銼坐[(白)]措柞鑿
co	tsʰo	7	錯撮戳濁
so	so	1	蓑梭嗦莎嗍[吸氣；吮吸]趖[滑：從坡上～下來]
so	so	3	鎖瑣所
so	so	7	塑索朔速
zro	tʂo	5	剁[(白)～辣椒]
zro	tʂo	7	着
cro	tʂʰo	7	綽啜[哄騙]
sro	ʂo	5	差[(訓讀)差；長得不好看]
go	ko	1	鍋歌哥戈
go	ko	3	果
go	ko	5	個過咯[雞～～(對兒童用語)]
go	ko	7	鴿割葛各閣擱胳郭角箇[指示代詞：～本書]
ko	kʰo	1	科窠[搖～：搖籃]棵叩
ko	kʰo	3	棵可顆搉[敲擊]
ko	kʰo	5	課擱[把箱子～起來]
ko	kʰo	7	磕渴擴闊廓確[(白)]殼
ngo	ŋo	2	鵝俄蛾
ngo	ŋo	3	我
ngo	ŋo	6	餓臥
ngo	ŋo	7	鄂鱷沃
xo	xo	2	河何[姓]荷[～花]和
xo	xo	3	火伙夥
xo	xo	5	禍[(文)]賀貨合盒[(白)]活學[(白)～話]
xo	xo	6	荷[薄～]禍[(白)]或惑和[跟噠～(自已沒有主見)]
xo	xo	7	盒[(文)]喝豁霍鶴藿劐鑊獲
o	o	1	屙蝸渦
o	o	2	禾何[～得了]
o	o	5	𤌍[燙：開水～噠]
o	o	7	惡握
lio	lio	7	略掠
zio	tsio	7	嚼
cio	tsʰio	7	爵雀鵲
sio	sio	7	削
zhio	tɕio	7	腳覺
chio	tɕʰio	7	確[(文)]
gnio	ȵio	7	弱虐瘧
shio	ɕio	7	學[(文)]
io	io	7	諾若欲約藥鑰躍岳嶽樂[音～]
bai	pai	1	𨃅[腿腳不靈活：～子]跛[(白)腿腳不靈活：～子]
bai	pai	2	排牌
bai	pai	3	擺
bai	pai	5	稗
pai	pʰai	5	派
pai	pʰai	6	敗
mai	mai	2	埋
mai	mai	3	買賣
mai	mai	5	邁
fai	ɸai	2	懷槐淮
fai	ɸai	5	壞[(文)]
fai	ɸai	6	壞[(白)]
dai	tai	1	呆[發～]
dai	tai	2	臺擡[(文)]
dai	tai	3	歹
dai	tai	5	貸帶待怠殆代[(文)]
dai	tai	6	大代[(白)]
tai	tʰai	1	胎苔
tai	tʰai	5	太態泰
lai	lai	2	來
lai	lai	3	乃奶
lai	lai	5	耐[(文)]賴[(文)]癩[(文)]奈
lai	lai	6	耐[(白)]賴[(白)]癩[(白)]
zai	tsai	1	災栽齋
zai	tsai	2	豺柴
zai	tsai	3	宰載[～年]
zai	tsai	5	再載[～重]債在[(文)]
zai	tsai	6	在[(白)]
cai	tsʰai	1	猜差[出～]
cai	tsʰai	2	才材財裁
cai	tsʰai	3	彩採睬
cai	tsʰai	5	菜蔡
sai	sai	1	腮鰓篩衰摔
sai	sai	3	灑
sai	sai	5	賽寨曬帥
gai	kai	1	該皆階街
gai	kai	3	解改
gai	kai	5	蓋丐介界疥芥屆戒械
kai	kʰai	1	開揩
kai	kʰai	3	凱楷
kai	kʰai	5	概溉慨
ngai	ŋai	1	哀挨娭
ngai	ŋai	2	埃涯崖[(白)]捱呆[～的：必定，必然]
ngai	ŋai	3	藹[(文)]矮
ngai	ŋai	5	愛隘
ngai	ŋai	6	礙艾藹[(白)]
xai	xai	2	孩諧還[～有]駭鞋
xai	xai	3	海蟹
xai	xai	5	懈害[(文)]
xai	xai	6	亥害[(白)]
guai	kai	1	乖
guai	kai	3	拐壞[(訓讀)(限於指人)]
guai	kai	5	怪
kuai	kʰai	3	傀塊
kuai	kʰai	5	快會[～計]劊
uai	ai	1	歪
uai	ai	5	外[(文)]
uai	ai	6	外[(白)]
bei	pei	1	杯悲卑碑揹[～不動]
bei	pei	2	培陪賠裴
bei	pei	5	閉[(白)]幣[(白)]斃[(白)]蔽[(白)]貝[(白)]輩背[(文)]焙[(文)]倍[(文)]
bei	pei	6	倍[(白)]背[(白)～時]焙[(白)]備
pei	pʰei	1	胚坯丕剖[(白)]
pei	pʰei	3	呸
pei	pʰei	5	沛配佩
mei	mei	1	痗[心情沮喪，臉色不好]
mei	mei	2	玫梅枚媒煤媚黴眉[(文)]
mei	mei	3	每美
mei	mei	5	妹[(文)]寐
mei	mei	6	妹[(白)]昧
fei	ɸei	1	麾灰非飛妃揮輝徽
fei	ɸei	2	回茴肥
fei	ɸei	3	毀賄悔匪䵋[顏色褪去：～色]
fei	ɸei	5	晦彗卉諱穢匯[(文)]彙[(文)]會[(文)]肺廢惠慧穗疿費翡
fei	ɸei	6	匯[(白)]彙[(白)]會[(白)]繪
dei	tei	1	堆
dei	tei	2	擡[(白)]
dei	tei	5	對碓隊兌
dei	tei	6	袋
tei	tʰei	1	推
tei	tʰei	3	腿
tei	tʰei	5	退
lei	lei	1	纍[表程度深：～肥的]
lei	lei	2	雷擂
lei	lei	3	壘呂儡纍[～積]
lei	lei	5	累[(文)]內[(文)]淚
lei	lei	6	累[(白)]內[(白)]
zei	tsei	3	嘴
zei	tsei	5	最綴醉罪[(文)]
zei	tsei	6	罪[(白)]
cei	tsʰei	1	催崔
cei	tsʰei	5	脆翠悴
sei	sei	1	雖
sei	sei	2	隨
sei	sei	5	歲碎粹遂隧穗[(白)]
bau	pɑu	1	褒包胞[(文)]
bau	pɑu	2	袍胞[(白)]刨[～地]浮[(白)]
bau	pɑu	3	保堡寶飽
bau	pɑu	5	報暴豹爆雹齙[突出：～牙齒]
bau	pɑu	6	抱菢鉋
pau	pʰɑu	1	拋
pau	pʰɑu	3	跑
pau	pʰɑu	5	泡炮
mau	mɑu	1	貓
mau	mɑu	2	毛茅謀矛
mau	mɑu	3	卯
mau	mɑu	5	貌冒茂貿帽[(文)]
mau	mɑu	6	冇[沒有]帽[(白)]
dau	tɑu	1	叨刀
dau	tɑu	2	桃逃萄陶淘濤
dau	tɑu	3	禱島倒[打～]
dau	tɑu	5	到倒[～水]道稻盜導
tau	tʰɑu	1	滔掏
tau	tʰɑu	3	討
tau	tʰɑu	5	套
lau	lɑu	2	勞撈牢嘮澇
lau	lɑu	3	腦惱老
lau	lɑu	5	鬧[(文)]
lau	lɑu	6	鬧[(白)]癆[毒：～藥]
zau	tsɑu	1	遭糟㷮[花生、瓜子等炒得很脆]
zau	tsɑu	2	曹槽巢䐬[肚子餓]
zau	tsɑu	3	早棗蚤澡爪
zau	tsɑu	5	灶造[(文)]皂罩
zau	tsɑu	6	造[(白)～孽：可憐]
cau	tsʰɑu	1	操抄鈔
cau	tsʰɑu	3	草吵炒
cau	tsʰɑu	5	糙躁燥
sau	sɑu	1	騷臊[～氣]
sau	sɑu	3	嫂稍
sau	sɑu	5	掃潲[～水]
zrau	tʂɑu	1	昭招朝[～夕]
zrau	tʂɑu	2	朝[～代]潮
zrau	tʂɑu	3	沼找
zrau	tʂɑu	5	照詔趙兆召
crau	tʂʰɑu	1	超
srau	ʂɑu	1	燒
srau	ʂɑu	2	韶苕
srau	ʂɑu	3	少[多～]
srau	ʂɑu	5	少[～年]紹邵
gau	kɑu	1	高膏篙羔糕
gau	kɑu	3	稿搞
gau	kɑu	5	告教[(白)]覺[(白)]窖
kau	kʰɑu	1	敲
kau	kʰɑu	3	考烤
kau	kʰɑu	5	靠銬
ngau	ŋɑu	1	爊[～菜]
ngau	ŋɑu	2	熬昂
ngau	ŋɑu	3	襖
ngau	ŋɑu	5	傲懊奧坳
xau	xɑu	1	萬薅
xau	xɑu	2	豪壕毫
xau	xɑu	3	好[～壞]
xau	xɑu	5	浩好[喜～]耗號[(文)]孝[(白)]
xau	xɑu	6	號[(白)]
biau	piɑu	1	膘標彪
biau	piɑu	3	表婊裱錶
piau	pʰiɑu	1	飄[～揚]
piau	pʰiɑu	2	瓢嫖
piau	pʰiɑu	3	漂[～白]
piau	pʰiɑu	5	票漂[～亮]瓢[～雨]
miau	miɑu	1	喵
miau	miɑu	2	苗描
miau	miɑu	3	藐渺秒畝[(白)]牡[(白)]
miau	miɑu	5	妙謬廟[(文)]
miau	miɑu	6	廟[(白)]
diau	tiɑu	1	刁貂雕
diau	tiɑu	2	條調[協～]笤[～帚]
diau	tiɑu	3	鳥[(白)]
diau	tiɑu	5	釣吊掉調[～動]
tiau	tʰiɑu	1	挑
tiau	tʰiɑu	3	斢[調換]
tiau	tʰiɑu	5	跳糶
liau	liɑu	1	跨[蹺：～起二郎腿]
liau	liɑu	2	燎療聊遼撩寮嘹
liau	liɑu	3	了
liau	liɑu	5	料[(文)材～]廖
liau	liɑu	6	料[(白)布～]
siau	siɑu	1	消宵霄硝銷
siau	siɑu	3	小
siau	siɑu	5	笑
zhiau	tɕiɑu	1	郊交膠教[(文)～書]焦蕉椒驕嬌澆繳
zhiau	tɕiɑu	2	樵瞧喬僑橋蕎
zhiau	tɕiɑu	3	絞狡鉸攪剿矯餃
zhiau	tɕiɑu	5	教[(文)～育]叫酵覺[(文)唾～]
zhiau	tɕiɑu	6	轎
chiau	tɕʰiɑu	1	悄鍬
chiau	tɕʰiɑu	5	俏鞘竅
gniau	ȵiɑu	3	鳥[(文)]查
gniau	ȵiɑu	6	尿
shiau	ɕiɑu	1	囂蕭簫
shiau	ɕiɑu	2	淆
shiau	ɕiɑu	3	曉
shiau	ɕiɑu	5	校孝[(文)]效
iau	iɑu	1	妖邀腰要幺吆
iau	iɑu	2	鐃餚饒橈搖謠窯姚堯
iau	iɑu	3	咬[(文)]舀
iau	iɑu	5	撓繞耀鷂
meu	məu	3	某畝[(文)]戊牡[(文)]
feu	ɸəu	2	浮[(文)]
feu	ɸəu	3	否
deu	təu	1	都兜
deu	təu	2	頭[(文)]投徒
deu	təu	3	堵賭肚[～子]
deu	təu	5	度渡鍍鬥[(文)]
deu	təu	6	肚[～臍眼]
deu	təu	7	獨讀牘犢篤督毒
teu	tʰəu	3	土吐㪗[再～一道水]
teu	tʰəu	5	兔透
teu	tʰəu	7	突禿
leu	ləu	2	奴盧爐蘆鸕廬
leu	ləu	3	努魯櫓虜滷縷屢
leu	ləu	5	怒路[(文)]露[(文)]
leu	ləu	6	路[(白)]露[(白)]鷺
leu	ləu	7	鹿祿六陸綠錄
zeu	tsəu	1	租
zeu	tsəu	3	祖組阻
zeu	tsəu	5	做作
zeu	tsəu	6	驟
zeu	tsəu	7	足
ceu	tsʰəu	1	粗初
ceu	tsʰəu	2	鋤[(文)]
ceu	tsʰəu	3	楚
ceu	tsʰəu	5	醋助奏湊
ceu	tsʰəu	7	族促
seu	səu	1	蘇酥梳疏蔬叟[(文)]
seu	səu	3	數[動詞]
seu	səu	5	素訴數[名詞]嗽
seu	səu	7	續肅宿縮粟[(文)]俗
zreu	tʂəu	1	周舟州洲
zreu	tʂəu	2	綢稠籌仇酬售[(白)]
zreu	tʂəu	3	肘帚
zreu	tʂəu	5	晝紂宙咒
zreu	tʂəu	7	箸攝[下～司：湘潭地名]竹築祝粥燭囑
creu	tʂʰəu	1	抽
creu	tʂʰəu	3	丑醜
creu	tʂʰəu	5	臭
creu	tʂʰəu	7	畜[(白)]逐軸觸
sreu	ʂəu	1	收
sreu	ʂəu	3	手首守
sreu	ʂəu	5	獸受壽[(文)]授售[(文)]
sreu	ʂəu	6	壽[(白)]
sreu	ʂəu	7	叔熟淑蜀屬贖
geu	kəu	2	格[丟～：丟臉]
geu	kəu	5	夠構購勾
keu	kʰəu	5	寇
keu	kʰəu	7	摳[小氣]
ngeu	ŋəu	1	歐甌
ngeu	ŋəu	3	偶藕[(文)]
xeu	xəu	6	候
dieu	tiəu	1	丟
lieu	liəu	1	溜[～滑的]
lieu	liəu	2	流劉留硫琉
lieu	liəu	3	榴柳
lieu	liəu	5	溜[量詞：栽一～樹；一～煙：形容動作迅速]綹[量詞：一～頭髮]
