来源：	秋谷裕幸 2017 《中原官话汾河片音韵史研究》；Hynuza, Skanda 整理录入
k	［2］蛤{～蟆：蛙的统称}咳{～嗽}胳{～臂}核{～桃}疙{～瘩：块状的东西，用布做的纽扣，死～瘩：死结；半～瘩：半个；独～瘩：独自}□{一种词头。如，～杈：树杈，指头～□la533变音：指缝，～眨：眨巴，眵～头：眼眵，～□tɕiou-5：蹲。本书里写作“圪”}
Ø	［1］医衣{毛～}依乙逸抑溢［2］移谊夷姨疑遗一［3］蚁椅{～子}已以［5］易{容～}意忆胰{～子：肥皂}尾{～巴}［6］艺{～人}仪倚义{社会主～}议伊异毅亿翼{～城：地名}逆{～风}益亦译易{～经}□{圪～：瓜蒂}［0b］疫{鼠～}役{服～}
#u	
p	［1］北{～面变音}［2］不□{～涕：鼻涕}□{～□□tɕi55ko1变音：蒲公英}□{拾～□xuei5：拾子儿}□{～□lyoŋ55鼓：货郎鼓，也指“孙子的孙子”}［3］补堡{～子}捕［5］脯{胸～子。不送气音}布佈怖哺{～饭：喂饭}□{赤～□lia35：光膀子}□{一～里走一～里说：边走边说}［6］部簿［0a］卜{萝～}□{□ma35～□luɤ1：蜻蜓}［0b］□{肚～脐：肚脐}
pʰ	［1］铺{～席子}□{尘土飞扬。阴平}［2］蒲菩葡［3］谱普浦［5］铺{店～}［6］部{～队}步
m	［1］木目［2］毛{～～雨变音，眼睫～：睫毛}谋没{～钱变音}［3］某亩牡母［6］暮慕墓募幕牧［0b］沫{咽唾～}
f	［1］夫肤敷麸福幅腹復{～习}［2］符扶芙浮佛缚{～刷子：绑刷子}服伏{入～}［3］府腑俯否［5］俘{～虏}甫辅付赋傅赴讣附负富副［6］父釜腐{豆～}妇{媳～}複{～杂}［0b］抚{安～：安慰}咐{嘱～}後{先～：妯娌}阜{曲～：地名}袱{包～}
t	［1］□{～子：屁股}督［2］独读□{阴茎}［3］赌堵［5］□{圪～子：拳头}［6］杜{～甫}度渡镀［0b］都{尧～：地名}妒{嫉～}
tʰ	［1］突凸秃{～子}［2］徒{～弟}屠途涂图独{～疙瘩：独自}毒［3］土吐{～唾}吐{呕吐}［6］杜{姓；～仲}肚{～子}
l	［1］律{法～}率{效～}禄陆录［0a］芦{葫～}［0b］□{□□kua35ku5～：一种鸟}
tsʰ	［2］卒{棋子之一}
s	［1］粟［2］術述
tʂ	［1］猪诸蛛{～～：蜘蛛}株朱硃珠竹筑祝烛嘱□{～舍：家里，～舍家：妻子。本字有可能是“住”，但声母和声调都不符合常例}［3］煮拄主［5］著{～名}蛀铸［6］驻注［0a］术{白～}
tʂʰ	［1］吹{～灯}出触［2］储{～蓄}厨殊垂{耳朵～～：耳朵垂儿}轴{车～}□{～～蚂变音：蚂蚁，读作[tʂʰu35tʂʰu51ma51]}［3］处{相～}杵{～子：打土坯的工具，火～：用来通炉子的铁条}［5］除{加减乘～}处{～暑}处{～长}［6］柱住□{□xuaŋ35～：锥子}畜{～牲}［0b］锤{秤～}帚{扫～}□{□li51～：在碾场用的石磙}
ʂ	［1］书舒输{～赢}叔［2］谁术{技～}熟赎属［3］鼠水［5］庶恕薯{红～：白薯}税{收～}［6］竖树睡［0b］处{近～：附近}暑{大～}黍{红䵚～：高粱}输{运～}
ʐ	［1］入{～伏}肉辱褥［2］如儒［3］女{～子：女儿}汝乳
k	［1］姑孤箍菇骨{～头}穀{脱壳前的小米儿}谷［2］轱{～辘：辘轳，钻～辘：钻孔，车～辘：轮子}葫{～芦}喉{～咙}骨{额颅～：额头}窟{～窿。“喉咙”和“窟窿”同音，都读作[ku35lɤŋ5]}□{～□luoŋ5：整个}□{一～□lu533变音尿：一次尿}［3］古估鼓［5］故固雇顾□{把娃□tsa35～上：把小孩儿骑在脖子上}［0a］□{□kua35～□lu1：一种鸟}［0b］□{□□tsaŋ11maŋ11～：啄木鸟}
kʰ	［1］枯哭酷［3］苦［5］库裤{～子}□{～子：镰刀等农具中铁件与木把柄连接处的铁箍}
ŋ	［3］我{～□tɕi1：我们}
x	［1］呼霍{～闪：闪电}［2］胡{～说；～～：二胡；姓}湖狐{～子：狐狸}壶鬍{～子}糊{～～：用面做成的糊状食物，～涂}□{～子白：洋白菜}□{～墼窑：用土坯建的窑洞}［6］户沪互护□{□ŋai51～：蚕茧}［0b］虎{老～}浒{水～}□{臊～：配种用的公山羊}□{□ɕyoŋ55～：猫头鹰}□{夜□piə1～：蝙蝠}
Ø	［1］乌污捂{～住}杌{～子：凳子}物勿屋沃{曲～：地名}［2］吴吾蜈{～蚣}痦{～子：一种皮肤病，主要生在手上，会蔓延，也指“螳螂”}无兀{那}［3］五伍{队～}午{地支之一}武戊［5］恶{可～}［6］误悟诬{～蔑}抚{～恤}舞{跳～}侮{～辱}务雾
#y	
l	［2］驴［3］吕旅铝屡垒{～墙：砌墙}［6］虑滤泪{眼泪}
tɕ	［1］车{棋子之一}［3］举嘴［5］句锯{动词}醉鞠{～躬}□{～□□liou1liou1：老鹰}［6］居拘巨拒距具剧{蒲～：本地的传统戏，也说“蒲州班子”[pʰu35tʂou1paŋ11tsɿ1]}剧{～烈}［0b］驹{马～：小马}矩{规～}
tɕʰ	［1］蛆{苍蝇的幼虫}趋区驱趣［2］渠□{一～纸：一百张纸}［3］取{～灯变音：火柴}娶［5］去［6］柜{直立的较高的柜子}
ɲ	［2］鱼渔［3］女{～人}雨{下～}
ɕ	［1］虚须{必～}需［2］徐许{姓}［3］许{～配}髓{骨～}［5］序叙绪{光～}岁{几～}续［6］絮{柳～}穗{麦～}［0a］荽{芫～}
Ø	［2］余餘愚于{姓}盂{痰～}榆逾愉俞宇围［3］语{汉～}与禹羽［5］□{给}［6］御誉{信～}预豫娱寓喻纬{经～：经线和纬线}［0b］裕{富～}
#yu	
l	［1］六绿
tɕ	［1］橘菊足
tɕʰ	［1］屈麯曲{～子；～沃：地名}［2］局[322]取{～灯变音：火柴}
ɕ	［1］戌宿{星～：星星，～舍}蓄旭［2］俗［0b］恤{抚～}畜{牧～}
Ø	［1］育玉狱欲慾浴峪{陶唐～：地名}［0b］域{地～}
#a	
p	［1］疤爸八{～个}剥［3］把{一～}［5］靶{打～}霸坝［6］罢㞎{大便}［0b］吧
pʰ	［2］爬趴拔□{～□sə5：蚰蜒}［5］怕［6］耙
m	［1］抹{～布子：抹桌布}□{挽袖子}［2］麻{草名；大～子：蓖麻}□{～□tsə5：垃圾}□{～□□pu5luɤ1：蜻蜓}［3］马码□{～□tʰau1：墓穴}［5］蚂{～蜂变音}［6］骂□{硬币有图的面}
f	［1］法發{～芽}［2］乏{累}伐{～树：砍树}筏罚阀
t	［1］搭褡{～子：褡裢}［2］答达［3］打{动词，～春：立春}［6］大{～暑}□{哪～：哪里}□{能合到一～里：合得来}
tʰ	［1］他{～们}塔塌{崩}［2］踏{《广韵》达合切}
n	［2］哪{～一个}
l	［1］纳拉腊蜡捺辣［2］拿哪{～一个}［0b］了{饑～：饿了，你吃了饭～吗。常读得接近lə1}
ts	［1］渣扎{用针刺}□{～面：用拳头揉面}［2］咱{～□tɕi5：咱们}□{把娃～□ku55上：把小孩儿骑在脖子上}［3］□{□tɕi332～：常常}［5］诈榨炸{～弹}闸轧{～棉花}［0a］眨{圪～：眨巴}［0b］杂{复～}
tsʰ	［1］楂{山～}叉差{～别}岔插擦察［2］茶查{动词}杂{～粮，～货店}［5］□{～～：口袋}［6］镲{钹}
s	［1］沙纱杀［2］茬{～子}煠{油炸}铡［3］洒撒［0a］萨{菩～}
tʂ	［1］遮
tʂʰ	［1］车{牛～}［3］扯{撕}
ʂ	［1］傻赊［2］蛇［5］捨{～不得}［6］社{～火：抬着游行的演戏的台子}
ʐ	［3］惹{兼指“感染”}
x	［1］瞎［2］匣{风～：风箱，～桌：抽屉}［5］吓［6］下{～头}下{～车；～蛋，～娃：动物产子}下{一～}夏{～至，～天}
#ia	
p	［5］迸{开裂}
l	［2］□{赤□pu55～：光膀子}［0b］了{冰～：凉了，□kuai11～：累了，打颤～：发抖了}
tɕ	［1］家加痂嘉傢枷佳夹{动词；～子}裌{～袄}甲{天干之一}角{牛～，桌子～}［3］假{真～}贾姐{姐姐，～夫}［5］假{放～}架驾嫁价借［6］□{麦捆}［0a］枷{连～}［0b］饺{煮～}□{老～：老头儿}□{“去啊”的合音}
tɕʰ	［1］恰掐［2］茄{～子}□{“去吧”或“去啊”的合音}［6］□{扫～：扫地。“地下”的合音}
ɲ	［1］鸭押［2］牙{牙齿；～～：橘子的瓣}芽衙□{看}［3］哑{～子：哑巴}［6］压{～住，～油：榨油}
ɕ	［1］虾［2］霞瑕暇斜狭峡辖［3］写□{火～了：火灭了}［5］卸
Ø	［1］丫{～头}亚［2］爷{祖父}涯［3］雅也野{～鸡：山鸡}［5］哑{～声：哑巴}［6］夜{～个：昨日}压{～岁钱变音}［0b］啊
#ua	
ts	［1］抓［2］□{拃}［3］爪{鸡～子，猫～子}
s	［1］刷［3］耍{玩儿，～水：游泳}
k	［1］瓜{黄～，甜～}刮{～风；～胡子}光{～吃面}□{碗～～：碗底下的那个圈儿}［2］□{～□□ku5lu1：一种鸟}［3］寡{～妇}剐［5］挂卦□{左～子：左撇子}
kʰ	［1］夸［3］垮［5］跨
x	［1］花［2］华{中～}划{～拳}滑猾［5］化［6］画{名词；动词}话{说～}划{笔～，计～}
Ø	［1］娲{～皇庙：地名}鸦{老～：乌鸦}洼{凹}瓦{～舍变音：修补屋顶}挖袜{～子}［2］娃{小孩儿；猪～：小猪，鸡～：小鸡}［3］瓦{名词}搲{用器皿取，如，～面}［6］□{抓～：抓阄}
#ya	
tɕʰ	［2］瘸{～子}□{蜷曲，对人来说}
#ai	
p	［2］白{明～}［3］摆［5］拜［6］败［0b］百{八～，九～}
pʰ	［2］排牌{～子}［6］派
m	［3］买［6］卖迈
f	［0a］髮{头～}
t	［1］□{抓，捉}［5］戴{姓；～帽子}袋{布～：袋子，口～}带{动词；皮～}［6］待怠贷代［0a］瘩{疙～：块状的东西，用布做的纽扣，死疙～：死结}［0b］□{水～窝：水坑儿，笑～窝：酒窝}
tʰ	［1］胎［2］台{戏～子}抬{藏放}［5］态太泰［6］大{～张：地名}［0b］袋{□xaŋ11水布～：围嘴儿}蹋{糟～：浪费}
l	［2］来{合不～}［3］奶{～～：伯母}［6］耐奈赖癞
ts	［1］灾栽斋□{～跟头：翻跟头}［3］宰{～相}［5］再载{～人}债［6］在寨
tsʰ	［1］猜㹗{～母子：不生小孩的女人}差{出～}［2］才{～能}材财裁才{副词}豺［3］彩采睬踩［5］菜蔡［6］在{不～；从}
s	［1］鳃筛{～子}［2］柴［5］些{这～}赛晒［6］□{～子：楔子}
k	［1］该［3］改［5］概溉盖{～子，锅～；～住，～房子}
kʰ	［1］开{～水，～会}［3］凯慨楷
ŋ	［1］哀埃{～及}矮{形容词}［2］捱{～□tɕyaŋ332：挨骂}癌［5］爱□{～子：养05子}［6］碍艾{草名}□{～□xu51：蚕茧}［0b］□{□xɤ11～：打哈欠}
x	［2］孩鞋还{副词}［3］海{也指“非常多”}［6］亥害{～人}解{～州：地名}
#iai	
tɕ	［1］皆阶街［3］解{～开，～放}［5］介界芥疥届戒{～烟；～指；猪八～}械解{押～}
ɲ	［1］捱{～热：羡慕}［2］崖
ɕ	［2］鞋［6］解{姓}陷{～下去}险{危～}
#uai	
ts	［5］拽{～住：抓住}
s	［1］衰摔［5］帅率{～领}
k	［1］乖□{疲劳}［2］□{～骨变音：踝，读作[kuai35ku533]}□{□tɕiə11～～：用一条腿跳}［3］拐［5］怪
kʰ	［5］会{～计}快{速度快；锋利}筷［6］块{～子炭：煤块}
x	［2］怀槐淮［6］坏［0a］□{凉～：冷}
Ø	［1］歪［3］崴{～折：拗断}［6］外{～国，～后日：大后天的次日}
#au	
p	［1］抱{读字}包{～起，～子}□{～梳：篦子；向嘴里扒饭}［3］褒保堡宝饱［5］报暴豹{～子}爆{～竹}
pʰ	［1］抛脬{一～尿：一次尿}剖［2］袍跑［5］泡{～茶}炮{棋子之一}［6］铇{《广韵》防教切。～花}［0b］胞{同～}
m	［2］毛{猪～}茅猫矛□{～镜变音：照镜子}［3］卯铆{～窍：榫头}［6］冒帽貌茂贸
t	［1］刀{～子}叨{鸡用爪子掘地}教{被，介词；让}［3］祷岛倒{绊～：跌倒}捣［5］到倒{～水}［6］道{～士}盗导
tʰ	［1］掏［2］桃{～仁，核～}逃陶淘{～米：洗小米}［3］滔涛讨䵚{红～黍：高粱}［5］套{动词}［6］道{～里：大门外，门～里：门的过道}［0a］萄{葡～}［0b］□{□ma332～：墓穴，指竖的部分。横的部分说“墓”。洪洞方言“墓穴”说“堂儿”tʰor24。可见，此字大概不是“道”}
l	［2］劳捞{～饭}牢［3］脑{□taŋ35～：脑袋}恼老［6］涝闹烙{～饼}□{用毒药毒害致死}
n	［0a］脑{□taŋ35～：脑袋}
ts	［1］遭糟［3］早爪{鸡～子，猫～子}找{～钱变音}□{～脚：缠足}［5］澡{洗～}躁灶罩笊□{焯}［6］造［0a］蚤{圪～：跳蚤}
tsʰ	［1］抄钞□{～花子：乞丐}［2］曹槽操{～心：小心}［3］草騲{～驴：母驴，～鸡：母鸡}炒吵［0b］巢{黄～}
s	［1］臊梢{树～子}捎稍［3］扫{～□tɕʰia51：扫地}嫂［5］扫{～帚}
z	［2］挠{～痒：瘙痒}
tʂ	［1］昭招沼召诏［3］绞{～水：从井里打水}［5］兆照□{帽子戴～：帽子戴正}
tʂʰ	［1］超［2］朝{唐～}潮［6］赵□{～船变音：划船，～龙灯：舞龙灯}
ʂ	［1］烧{～柴；东西热}［2］韶绍邵［3］少{数量小}［5］少{～年}烧{霞(《广韵》失照切)}［0a］尚{和～}
ʐ	［2］饶{宽恕}［3］扰［6］绕{～一圈变音}耀{～眼窝：光线刺眼}
k	［1］高膏{～药，牙～}羔糕［3］稿搞［5］告膏{(《广韵》古到切)～油：把油加在车轴或机械上；掭}［0b］镐{洋～}
kʰ	［3］考烤［5］靠铐{手～子}
ŋ	［1］□{～糟：肮脏}［2］熬［6］傲鏊{～子：平底锅}奥澳
x	［2］豪壕毫号{(《广韵》胡刀切)大声哭}耗□{车～：车辙}［3］好{形容词}［5］好{喜欢}［6］号{几～}
#iau	
p	［1］膘{～子肉：肥肉}标彪［3］表錶
pʰ	［1］飘漂{浮}［2］瓢{舀水用具}嫖［5］漂{～白}票漂{～亮}
m	［2］苗描棉{～花}［3］藐渺秒杳{这个字可能是“渺”，因为北方口语大都把“杳无音信”叫“渺无音信”}［6］庙妙
t	［1］刁貂雕［5］吊掉［6］调{～动}
l	［2］燎聊辽疗寥缭{～边：缲边}瞭［3］了{～解}［6］料撂{丢弃}廖［0a］镣{脚～}
tɕ	［1］交郊胶教{～书}焦骄娇碉{～堡}浇刁貂雕缴［3］狡搅{拌}［5］教{～育}窖{～子}觉{睡～}钓叫{～驴：配种用的公驴}［0a］椒{秦～：辣椒，胡～}［0b］较{比～}
tɕʰ	［1］敲挑{挑选；用肩扛}劁{阉母猪}［2］乔侨桥荞条调{拌；～整}笤{～帚}［3］巧窍{铆～：榫头。上声}［5］俏翘撬跳粜窍［0b］鹊{野～子：喜鹊}
ɲ	［3］咬［5］眼{～窝：眼睛}［6］尿
ɕ	［1］消宵霄硝销萧箫［3］小晓［5］酵孝笑［6］效校{～长}［0b］肖{生～}□{头～：头屑}
Ø	［1］妖邀腰要{～求}吆{～喝：叫}［2］肴摇谣窑{较大的窑洞}姚尧［3］舀{～汤，～饭}［5］要{动词}［6］耀鹞{～子：老雕}跃［0a］鼬{黄～：黄鼠狼}
#ei	
p	［1］杯背{～褡裤变音：小孩儿穿的连衣裤}碑悲北{～京}［2］揹{用背驮}［3］把{介词}［5］贝辈背{脊～}［6］倍［0a］臂{胳～}
pʰ	［1］坯{砖～，土～}［2］培陪赔裴［5］沛配佩［6］背{～书；～面变音：背阴的地方}焙
m	［2］埋梅枚媒煤莓霉［3］每美［6］妹昧寐
f	［1］非飞{鸟儿飞}妃［2］肥{动物肥，～沃}［5］废肺匪{土～：强盗}费翡
t	［2］□{～石：石头}
l	［1］勒{～紧}［2］来雷{响～：打雷；姓}［5］累{连～}［6］内累{疲劳。读字}类
ts	［2］贼［3］宰{～牛：杀牛}
tʂ	［5］这{～一：这么，如，～一多}
kʰ	［1］开{～门变音}
x	［1］黑{颜色}
#uei	
t	［1］堆东{～西：物件}［5］对［6］队兑
tʰ	［1］推［3］腿［5］㷟{～猪毛：去掉猪毛}退
ts	［1］追［5］最赘［6］罪
tsʰ	［1］催崔吹炊［2］槌捶{～背}垂［5］脆翠粹
s	［1］虽［2］随隋髓{脑～}遂隧［5］碎岁{压～钱变音}税{～收}［6］瑞
ʂ	［3］水{～浒}
ʐ	［6］锐蕊
k	［1］闺规龟轨归［3］癸鬼［5］桂{～花，肉～}贵［6］跪柜
kʰ	［1］盔{瓮～：一种瓮。韩城方言说“镬儿”χuɤr35}亏［2］魁逵葵［5］溃窥愧
x	［1］灰挥辉徽［2］恢回茴蛔［3］悔毁［6］贿汇桧会{开～}会{～骑车}绘惠慧讳［0a］□{拾□pu35～：拾子儿}
Ø	［1］煨危微威魏［2］为{行～}维惟唯违围{～裙变音}［3］委［5］喂□{～一：那么，如，～一多}□{一～：一个，这～：这个。本字汇里写作“个”}［6］外{～头}卫为{介词}位未{地支之一}味畏慰胃谓猬渭
#ə	
p	［0a］八{王～：乌龟}［0b］巴{尾～}膀{翅～}百{八～，九～}□{赤～子脚变音：赤脚}
m	［0a］蟆{蛤～：蛙的统称}［0b］麻{芝～}个{今～：今日}么{怎～，甚～}吗□{炒～：玉米花}
f	［0a］髮{头～}
t	［1］得{～罪}德
tʰ	［2］特［3］他{人称代词，单数}［0b］袋{□xaŋ11水布～：围嘴儿}蹋{糟～：浪费}
n	［0b］呢
l	［0b］呢
ts	［1］则窄责摘［2］指{～头变音}泽宅责［6］侧{～□lɤŋ1子睡：侧身而睡}［0a］□{□ma35～：垃圾}［0b］睫{眼～毛：睫毛}
tsʰ	［1］侧测䜺{䵚黍～子：玉米磨成的碎粒}拆策册□{～上：搀起}［2］择{～菜}
s	［1］涩虱{虱子，壁～：臭虫}蟀{～～虫变音：蟋蟀}塞{～住}色{颜～}［0a］□{□pʰa35～：蚰蜒}［0b］梳{□pau11～：篦子}牲{畜～}
tʂ	［1］褶蜇{蜂变音～人}浙［2］哲辙［5］这{～一贵：这么贵}［0b］者{记～}枕{落～}张{大～：地名}着{门变音锁～了：门锁着}正{反～，副词}
tʂʰ	［1］车{下～，货～}撤□{～一把：抓一把}［3］彻［0b］缠{盘～：路费}场{排～：大方}杖{擀～：擀面用的木棍儿}
ʂ	［1］设［2］折{崴～：折断，骨头～了}舌［6］社射麝舍{宿～，□tʂu11～：相当于普通话中“家”的词，读作[tʂu11ʂə1]}［0b］涉{干～}唇{口～：嘴唇}裳{衣～}上{□tsʰə11～：搀起}上{道变音～：路上}
ʐ	［1］热
x	［1］□{～□lo1变音：木偶戏}［0b］下{坐～}下{动量词}害{厉～}
#iə	
p	［1］百{一～}柏伯掰{～开}［2］别{特～}白{～术}［3］鳖{女阴}［5］别{莫}［0b］□{夜～□xu1：蝙蝠}
pʰ	［1］撇迫拍□{～子：晒棉花用的席子}［2］别{～人，～个的：别的，～针变音}白{颜色}
m	［1］灭麦脉［2］墨{～汁}［5］□{母亲；～～：乳房，～水变音：吃奶}［0b］蔑{诬～}
t	［1］跌{～鼓：出错}得{～罪；助动词}德滴{～水}［2］牒蝶{读字}谍
tʰ	［2］忒{太}特
l	［1］猎列烈裂捩{绞，拧，～紧}劣［6］厉{～害}［0a］量{圪～：挂念}［0b］了{门变音锁着～：门锁着}得{热～厉害}呢
tɕ	［1］接揭羯{～子：阉过的公羊}节结□{～□□kuai35kuai5：用一条腿跳}［2］捷牒谍杰截洁敌{～人}［5］底{～下：下头}□{牛～子：牛轭}［6］滴{～檐：屋檐水}［0a］家{人～}［0b］稼{庄～}爹{老变音～爷：外祖父}降{霜～}
tɕʰ	［1］怯帖贴切{～菜}铁□{～下：生锈}［2］劫叠{折叠}碟截{～住}［0b］嚏{打喷～}前{跟～：附近，旁边}
ɲ	［1］聂镊业孽捏{～扁食：包饺子}秧{红薯～子：白薯秧}□{发霉}［0b］娘{老～婆：接生婆}
ɕ	［1］些薛歇{休息}蝎{蝎子；～虎：壁虎}［2］邪斜谐胁协挟{抱}夕{除～}［6］谢{姓；～～你}［0a］蟹{螃～}［0b］西{东～：物件}葚{桑～：桑树的果子，桑～树：桑树，桑～叶：桑树的叶子}
k	［1］格{～～子：格子}革隔［2］□{～□laŋ55子：棍子。“□□”[kiə35laŋ55]是“杠”的分音词}［0a］个{旁～的：别的，别～的：别的。发音人认为此字与“格”同音。《老乞大》《原本》、《谚解》和《新释》“别的”也说“别个的”。参汪维辉015：40}［0b］□{双～□lou11眼变音：双眼皮}
kʰ	［1］刻克尅客
ŋ	［1］扼［6］额{～颅骨：额头}
x	［1］黑{～了：晚上}
Ø	［1］叶{姓；～子}揖{作～}噎{哽，～饭病：食道癌}［6］夜{黑～里：晚上，读作[xɤ35iə55li1]}页液［0b］哕{干～}
#yə	
t	［1］跌{掉落；～鼓：出错}
tɕ	［1］决诀［2］绝掘
tɕʰ	［1］缺［2］橛{～子：小木桩}
ɕ	［1］靴雪血［2］踅{头发旋儿}穴
k	［1］国{中～}掴{□pʰi11脸一～：打一巴掌}
x	［2］或惑获
Ø	［1］悦阅月越{～走～远；～南}粤
#ou	
t	［1］都{副词}教{被，介词；让}［3］斗{一～}抖陡□{麦～子：打麦后剩下的麦壳}［5］鬥逗［6］豆{～油：酱油}痘{牛～}
tʰ	［1］偷［2］头投［5］透{锅破}［6］透{性交}豆{～子：大豆，～芽}
l	［1］□{双□kiə1～眼变音：双眼皮}［2］奴{～隶}卢炉虏庐楼耧{播种用的农具}［3］鲁卤篓搂{拥抱，～柴：抱柴}［6］努怒路露漏陋［0a］辘{轱～：辘轳}［0b］颅{额～骨：额头}赂{贿～}了{忘～，擦～：擦掉，倒～：倒掉，抬～：藏放，合不～：合不来}
ts	［1］租邹皱{《广韵》甾尤切}绉诌{～谎：说谎}［3］祖组走［5］做宗祚切奏［6］阻助
tsʰ	［1］粗初□{～子：牛笼嘴}［2］愁［3］楚{清～}础［5］醋凑
s	［1］苏酥{食物松而易碎}梳{～子}疏蔬搜馊［2］锄{锄头；～地，～草}［3］数{动词}［5］素诉塑嗉数{～字，岁～}瘦漱{～口}［0a］嗽{咳～：咳嗽}
tʂ	［1］周舟州洲粥［3］肘{圪～骨：肘，手～：手铐}□{手执物体向上举}［5］昼咒宙［6］纣
tʂʰ	［1］抽蛐{～蟮：蚯蚓}［2］绸稠筹酬仇{～敌}售［3］丑{地支之一}醜［5］臭
ʂ	［1］收［3］手首守［5］兽［6］受授寿
ʐ	［2］柔揉
k	［1］勾钩沟购［3］狗{～熊，～娃：小狗}枸{～杞子}［5］够构［0a］□{头～：牲口，不包括“猪”在内}
kʰ	［1］抠［3］口［5］扣寇
ŋ	［1］欧［3］偶［5］沤{～粪：积肥；木料腐朽}
x	［2］侯喉{喉结}猴［3］吼{哭；吠}［5］后{皇～}候［6］後{～头}厚
#iou	
t	［1］丢
l	［2］流刘留榴硫琉瘤［3］柳［6］溜馏{再蒸热}□{～跟子：鞋拔子}［0b］□{□tɕy55～～：老鹰}
tɕ	［1］丢纠［2］揪球{阴茎}［3］酒九久韭灸［5］救究［0a］□{圪～：蹲}［0b］臼{脱～}
