来源：	史秀菊 张丽 2014《山西兴县方言同音字汇》；山佳木 整理录入
ts	［1］猪诸朱诛蛛珠硃株［3］阻拄煮主［5］柱驻蛀铸住注著助
tsʰ	［1］初蛆［3］暑{～假}楚础杵{～勒}处{相～}帚{笤～}［2］锄除厨嘲{～笑}□{形容一个人说话哕嗦：说上可～嘞，没完咧}［5］畜{～生}处{到～}□{～了点皮：磨了点皮}
s	［1］输梳舒书疏枢殊蔬［3］暑{大～、小～}鼠数{～钱}署薯蜀黍所［5］恕数{～学}树戍竖庶
z	［1］擩{～过去：伸过去}［3］乳［2］儒如□{圪～：手因冷而伸不直}
k	［1］孤菇姑蛄箍{金～棒；～住}［3］估古股鼓［5］鸪{水～～：斑鸠}固顾故雇
kʰ	［1］骷{秃～子；光头}枯［3］苦［5］库裤
h	［1］糊{～窗}呼俘孵麸敷［3］浒虎唬否{～定}府釜辅甫斧抚俯腑符{～合}腐蜉［2］乎葫壶胡湖狐糊{～涂}夫芙蝠扶肤浮凫{～水}傅［5］互护户附妇父付驸{～马}负赋赴富副糊{不清晰}□{悻～：猫头鹰}
ø	［1］乌巫蜈污诬坞［3］舞伍{队～}武侮鹉［2］无吴吾梧［5］雾误悟务戊
#y	
n	［3］女{～的}
l	［3］铝吕缕屡旅垒捋{～顺头发}［2］驴［5］虑滤类累{连～}泪
tɕ	［1］居拘驹车{～马炮}锥-{～子}椎追-{～肥}［3］举矩嘴-［5］俱具惧据距锯句钜拒炬巨聚剧醉-缀-{～扣子}
tɕʰ	［1］区趋驱吹［3］趣娶取［2］渠瞿锤槌垂捶{～打}［5］去{～皮}脆-粹-{纯～}翠-
ɕ	［1］虚墟荽-{芫～}兄-{～弟}［3］许髓-水-［2］须吁{哨～～：吹口哨}徐隋-绥-随-谁-［5］絮序睡-税-穗-岁-{万～；～数}遂-隧-
ø	［1］吁{吆喝牲口停下}［3］宇雨与禹羽语苇-{～子沟：地名}［2］围-{～住}鱼愚娱迂盂愉榆余于淤余茔-{坟地}［5］驭寓喻誉预豫玉遇愈育郁御喂-{～猪}魏-{～家塔：地名}
#ʌ	
p	［1］趴{～起来：站起来}疤［3］把{～握}靶巴［5］把{～子：手柄}罢霸爸坝吧
pʰ	［2］爬耙［5］怕帕乓
m	［3］马码妈{面称}［2］蟆{圪～：青蛙}麻妈{背称}［5］骂妈{单念}
t	［3］打爹{面称父亲}［2］嗒爹{背称父亲}［5］大{～学}爹{父亲，单念}
tʰ	［1］他她它
n	［2］拿［5］娜
l	［1］拉{用于非强迫性质的动作时：～上窗帘子}［3］冷-{～咧}喇［2］啦哪［5］拉{～过去：跨过去}旯
ts	［1］渣臜{腌～}［3］咋拃{量词}闸眨［5］炸{～弹}榨栅斫{～树：砍树}诈麥{张开：祆子下头～得可威嘞}
tsʰ	［3］衩镲杈［2］茶嚓搽查茬楂碴{手叫玻璃～了一下}［5］叉岔差{～不多}
s	［1］沙莎纱傻撒洒厦{～子：房子或窑洞前为遮雨而延伸出来的部分}［5］萨□{挑拣}
k	［3］尕
kʰ	［1］咖［3］卡{～车；～住；～片}
ŋ	［1］腌{～臜}［5］下{～蛋}吓夏-{～天}
#iʌ	
n	［3］哑-［2］牙-芽-伢-{孩～～：特指年龄小的孩子}［5］轧-压-{～住咧}
l	［3］两俩
tɕ	［1］加痂家嘉佳袈{～裟}［3］贾稼假{真～}［5］架嫁假{放～}价驾
tɕʰ	［1］揢抲{～上：抱上}［3］卡{关～；～子；发～}
ɕ	［1］虾霞［2］降{～住：降服}［5］下={～放}夏={立～}
ø	［1］丫{～鬟}［3］雅仰［2］押{关～}涯衙鸦［5］压={电～}亚
#uʌ	
ts	［1］抓［3］爪{～子}
tsʰ	［1］□{～起来：把单子揭开}［5］歘{跳得～～地}□{一～：一件(一般指较破的东西)}
s	［1］□{用手往下捋}耍
z	［2］挼{～人：讽刺人}
k	［1］瓜剐{～孩子：堕胎}［3］寡［5］褂挂卦
kʰ	［1］夸［3］垮胯侉［5］挎跨
x	［1］花华{中～}［2］铧晔划{～船}［5］划{计～}桦化话华{～山}画
ø	［1］娃蛙凹搲挖［3］瓦［5］洼
#ɤ	
p	［1］波菠玻帮邦浜［3］跛簸{～给下：簸一簸}绑榜膀梆［5］薄{～荷}簸{～箕}播棒蚌傍谤
pʰ	［1］颇坡胮{肿：腿～咧}［2］婆痨旁庞{～大}螃［5］破魄{魂～}胖{肥}
m	［1］没{～咧，单说时用}［3］蟒莽抹{～油油：往脸上或手上抹油}［2］蘑磨{～刀子}摩魔馍芒{光～}忙盲茫氓{流～}［5］磨{～石}默陌
t	［1］多裆当{～作}［3］档挡党［5］大-{～小}驮{～子}荡当{典～}
tʰ	［1］拖汤［3］躺［2］驼鸵驮{～起来}糖唐塘堂棠螳膛［5］趟烫
n	［2］挪嚢［5］齉
l	［3］朗□{～了一下：稍微碰了一下}［2］螺罗箩萝逻{巡～}骡锣兰{木～冈：地名}狼郎廊{走～}［5］摞浪
ts	［1］脏{入～}赃睁-{～开眼}［3］左佐［5］匠{～人}葬脏{心～}藏{西～}
tsʰ	［1］搓苍{～蝇}厂［2］藏{隐～}
s	［1］桑丧搡{扑～：摸}嗓□{～牙：臼齿}［5］绱{～鞋：把鞋帮、鞋底缝在一起}
tʂ	［1］遮张章樟蟑彰瘴［3］掌涨长{～大咧}者［5］丈杖仗帐胀账障蔗
tʂʰ	［1］车{～子}昌［3］敞场扯［2］常偿肠长{～短}［5］□{～开口：错开一点}畅唱倡
ʂ	［1］奢赊商墒{保～}伤生-{～熟}甥-{外～}舍捨猞裳［3］赏晌{后～}［2］蛇尝{～给下}［5］社射{～箭}麝尚上
ʐ	［3］惹壤攘嚷{吵}［2］瓤穰{～柴}［5］让
k	［1］歌哥纲缸刚冈{景阳～}钢［3］各{特别,含贬义：这个人可～嘞，见了亲戚也不打个招呼}葛{姓}港［2］岗［5］个{～人}杠
kʰ	［1］康慷糠［3］扛［5］亢炕抗
ŋ	［1］屙［3］我［2］鹅蛾讹娥峨{～眉山}俄［5］饿鳄
