	註釋：白讀-，文讀=		
∅	[1]挨-[2]鞋[3]矮呃-[5]瞖[6]解-{會}		
#ie			
p	[1]陂[5]臂帔{跑}轡[6]避=		
pʰ	[1]披=批帔		
m	[1]□{削}[5]乜{～乇，什麼}		
t	[2]池爹底{～儂，誰}[6]弟蠣{又音}		
tʰ	[2]啼-[3]扯-[5]剃		
n	[2]伲{兒，～囝}		
l	[2]離{～別}籬厘[5]裂=冽[6]例荔離{距～}		
ts	[1]支吱枝肢芝脂嗟[3]這紫[5]祭際制穄瘵		
tsʰ	[3]伬{工～}侈扯=[5]翅刺-砌[6]□{歪斜}		
s	[1]些施[2]匙[5]世勢施{布～}[6]誓逝豉舐		
k	[1]雞奎圭閨階-規羈畦[2]鮭[5]計繼季桂		
kʰ	[1]稽窺[3]啟[5]契=企		
ŋ	[2]宜儀[6]藝詣蟻=誼義議毅囈		
h	[2]奚兮[5]廢肺費=戲契{～約}[6]系吠=攜惠慧		
∅	[2]爺移[3]椅[5]縊[6]餲{饞}		
#ø			
m	[2]□{不負責任，馬虎}		
t	[2]□{死，貶}[6]苧		
n	[2]□{粥稠}		
l	[1]□{鳥～，一種船}[2]驢-[3]□{形容拖拉}[5]鑢		
ts	[1]□{慵懶的樣子}[2]嘈{又音}		
tsʰ	[1]初-□{絲瓜}[2]□{拭擦}		
s	[1]梳-疏-薯-[3]璽黍-嶼[5]疏{注解}		
k	[1]□{扔、放}[5]告{～伊來}		
k	[1]咳{～出來}[3]□{頭屑}		
h	[1]□{生氣時脹紅的臉色}[2]喉{～嚨}		
∅	[2]□{一哄而上}[5]哊{～出}		
#o			
p	[1]泊箔薄-褒[2]婆=袍玻-[3]保堡寶[5]播簸=報[6]抱暴爆=		
pʰ	[1]波頗=坡=玻=跛=陂=[2]婆={老～，妻}		
m	[1]膜饃[2]魔摩麼磨=無-毛[3]母-拇{大～指}[5]□{用棍或拳打}[6]帽冒磨{石～}		
t	[1]刀多[2]舵=馱掏陶駝陀=逃萄濤淘[3]島禱倒{打～}搗[5]到倒{～水}桌[6]惰道稻=盜導蹈墮=		
tʰ	[1]滔叨拖=陀-[2]桃[3]討[5]唾套託托		
n	[2]挪-糯=[3]腦=惱踏柚娜挪=[5]乇{物}[6]糯-懦		
l	[1]落-樂-[2]羅鑼囉嘮勞蘿籮癆牢[3]老=䇭{竹制筐籮}[5]絡{套進}[6]撈澇		
ts	[2]遭曹=槽=嘈=[3]左早=棗蚤澡[5]佐-做造藻{小球～}[6]坐=座皂矬{矮}		
tsʰ	[1]搓臊-操{～心}[2]曹{～操}[3]草=[5]錯=造操{曹～}挫糙佐=躁-[6]銼		
s	[1]娑梭唆騷鐲-昨-搔[2]槽-[3]髏瑣嫂掃=[5]躁燥臊=索-		
k	[1]歌哥高膏羔糕篙[3]稿蒿搞杲[5]個告誥=嚳閣		
kʰ	[1]軻柯苛炣[2]艐[3]可考烤烤{水乾}[5]銬靠魺物誥{～封}舸		
ŋ	[1]嶽-[2]蛾鵝俄螯{車～，蚌類}娥峨敖熬遨[3]我=[6]鏊餓傲		
h	[2]何豪毫號{呼～}荷蠔[3]好[5]好{爰好}耗[6]賀號浩鎬		
∅	[1]學-阿{～膠}[2]河[3]襖懊=荷{感～}[5]奧懊-惡-{乖}		
#uo			
p	[1]晡夫-縛[2]蒲菩{蜀～花}葡[3]補埔{後～街}斧-[5]布怖剝-[6]部簿步捕阜哺-埠		
pʰ	[1]鋪麩-曝-[2]扶-{～起病人}[3]普譜浦圃脯{杏～}[5]鋪		
m	[1]摸[2]模膜{又音}麻{又音}[3]□{～囝，妻兒}[5]墓[6]暮慕戊		
t	[2]廚屠[3]□{～杖，支撐扁擔的木棍}剁[5]掏{～脈，號脈}[6]墿{道}		
tʰ	[3]朵妥躲		
l	[1]錄綠-[3]裸裹虜		
ts	[1]朱硃珠[3]主-[5]註-鑄注-燭-		
tsʰ	[1]□{旋擰}[5]厝粟-		
s	[1]輸-[5]剟{切～}		
k	[1]鍋局-[3]果=粿=[5]過句郭廓		
kʰ	[1]戈科窠靴[2]瘸[3]棵顆傀-{～儡}[5]課曲-{～本}		
ŋ	[1]玉-獄-[2]訛[6]臥悟誤晤		
h	[2]和{～氣}禾[3]火夥=夥=[5]貨[6]禍和{附～}雨-		
∅	[1]倭=窩蝸渦鍋{鉢～}蝸[2]□{弓形}[5]沃-[6]芋斡		
#yo			
t	[1]著{～痧}[3]貯		
n	[1]箬-若-		
l	[1]掠捋		
ts	[1]嚼-[5]借		
tsʰ	[1]蓆[5]鵲-尺-		
s	[1]石-蜀-{數詞一}		
k	[2]橋[5]腳-		
kʰ	[5]去		
ŋ	[1]□{傲慢}		
∅	[1]藥鑰鷂-[2]儒-[3]□{花蔫}乳-[5]約{將就}[6]閱-銳曳		
#i			
p	[1]卑碑屄俾裨[2]脾枇琵[3]彼比妣[5]閉蔽箅秘泌庇蓖匕沸費-痹[6]篦弊斃陛被=婢備敝鼻-{聞}幣		
pʰ	[1]悲坯=[2]皮疲肥[3]丕疤郵痞譬斐匪[5]鼻-屁=		
m	[2]迷糜=彌遺眉楣帷維惟唯微[3]米美靡尾=娓[6]謎媚寐未-味-沕{～水，潛水}		
t	[1]知蜘低=[2]馳遲底{～儂，誰}樨[3]抵牴底-[5]智致置蒂[6]地稚=痔治雉滯豸		
tʰ	[1]剔{挑，～燈芯}[2]提持苔堤雉{～雞}		
n	[1]黏{樹～，樹膠}[2]呢尼泥=[3]你[5]膩=餌[6]二貳膩{細～}		
l	[2]梨來-狸[3]履李裏裹鯉娌[5]利{得～}[6]利{～害}痢吏莉厲		
ts	[1]姬-[2]炙{火～}粹{～炭}[3]只旨指=黹址毗祉枳止姊子-[5]至志痣蛭=[6]字自-		
tsʰ	[1]癡嗤鰓[2]鴟[3]豕恥齒=矢屎=[5]試-飼-[6]市		
s	[1]屍司-絲詩[2]時鰣餈[3]死-[5]試{又}四拭-肆[6]是示氏視恃寺侍峙		
k	[1]飢=饑=肌基期幾{～乎}機譏箕[2]奇岐祁歧其棋耆祈逵葵蜞祺琪沂旗麒夔[3]己-紀杞麂幾=[5]記既計{夥～}驥冀技妓忌		
kʰ	[1]欺欹{歪}[2]蜞{蛭，水～}[3]起豈齒-[6]器棄氣汽[6]柿		
ŋ	[2]宜儀疑[3]擬耳=[6]耳-		
h	[1]犧熙希稀嘻翡姬=飛=妃非[3]喜禧蟢{～子}[5]懿費={浪～}		
∅	[1]伊醫衣=依[2]兒夷姨而怡貽[3]已以倚=爾[5]意憶億臆矣[6]異味=肄易{容～}		
#u			
p	[2]匏菩{～蠅}炰[5]富-[6]孵-腐-婦-		
pʰ	[1]曝□{凸起}[2]浮-菩[3]殕甫-		
m	[1]摸{掩～～，捉迷藏}[2]某-畝-牡=母=拇=姥		
t	[1]都[2]徒途塗塗圖[3]堵賭肚{～囝，兜肚}[5]妬妒蠹[6]杜肚度鍍渡墿=		
tʰ	[2]塗-{泥土}[3]土[5]吐兔		
n	[2]奴[3]努怒{討厭}[6]怒{發～}		
l	[2]廬爐盧箱驢=蘆[3]魯櫓滷鹵[5]露鷺[6]路賂褸{襤～}		
ts	[1]租[2]雛徂[3]祖組阻[5]詛[6]助就-{～是}		
tsʰ	[1]粗初=[3]楚礎[5]醋措		
s	[1]蘇酥疏=蔬梳=[3]所數{動詞}[5]素訴塑數{名詞}		
k	[1]姑辜孤枯菇咕鴣沽[2]糊-[2]古估股鼓賈{商～}詁䀇牯[5]故=固顧雇[6]舊-故-		
kʰ	[1]箍呼{～雞}坵[2]跍[3]苦[5]庫褲[6]臼		
ŋ	[2]吳梧吾牛-[3]午伍五=[6]五-		
h	[1]夫=膚孵=俘敷灰-[2]呼胡湖狐壺乎瓠=符蝴扶={～起}芙[3]脯=虎滸府腑俯甫=斧=釜許{～邊}[5]戽付賦赴訃富=副駙輔傅[6]戶瀘互護腐=婦=負扶-父=		
∅	[1]烏汙=巫誣[2]無=[3]撫武舞侮鵡[5]惡{可～}塢汙-[6]霧務有-		
#y			
t	[1]豬蛛[2]除躇[3]褚[5]著[6]箸		
tʰ	[1]誅株儲蛛{蜘～}[2]鋤[3]貯杵佇苧=		
n	[1]呶{～喙}[3]女汝[5]□{假寐}		
l	[1]閭櫚[3]呂旅鋁閭{又}櫚{又}[5]屢褸=[6]慮濾褸=		
ts	[1]蛆疽諸書資姿咨茲滋輜楮{～箔}貲之[2]瓷慈鶿[3]煮主=子梓[5]廁注=蛀=漬恣註=[6]駐住自=柱=聚		
tsʰ	[1]舒芻疵趨髭雌[2]□{排除去}[3]鼠取此處{～分}[5]處{名詞}趣娶刺=覷次		
s	[1]胥須需輸=斯廝私師=獅=司={～法}思[2]徐殊薯=辭詞祠[3]暑署黍=死=使=史始駛=[5]絮使{出～}肄=恕賜思{意～}試=戌[6]序敘緒墅樹=士=仕事=庶飼=俟似祀=已伺嗣		
k	[1]車拘居痀[2]渠瞿[3]舉矩[5]巨拒距據鋸裾[6]具俱懼		
kʰ	[1]區樞驅駒[2]愚-[5]去=		
ŋ	[2]魚漁愚=娛隅[3]語[6]禦遇寓		
h	[1]噓虛墟[3]許詡[5]煦酗嫗		
∅	[1]淤迂盂於芋[2]如餘予餘儒=榆愉諛輿逾[3]與乳=雨=宇禹羽[6]與{參～}譽預豫喻裕襖愈		
#ai			
p	[3]擺跛-[5]拜[6]敗憊		
pʰ	[3]痞-[5]湃派		
m	[1]魅-[2]埋[5]邁[6]脄		
t	[1]歹呆[2]臺颱苔[3]滓-[5]帶戴[6]大=待怠殆貸代=事-迨袋=逮埭士-		
tʰ	[1]胎=抬篩-苔-颱-[2]治{宰殺}[5]太泰態汰		
n	[1]□{踏住}[3]乃[6]耐奈柰		
l	[2]來萊雷蘿{黃～，菠蘿}[6]賴癩		
ts	[1]災栽[2]財才=豺材裁=臍=[3]宰=載趾=紙滓=指-[5]再債載{～重}[6]在寨		
tsʰ	[1]猜釵[2]才材{棺～}豺{又音}[3]彩采睬踩[5]菜蔡		
s	[1]腮=獅-鰓=鯊-篩-廝[2]臍-[3]屎-使-駛-[5]婿-曬[6]祀-		
k	[1]該皆階=偕秸[3]改=解=[5]蓋丐介界芥屆戒疥尬		
kʰ	[1]開[3]凱愷楷獃{～頭～腦}[5]概溉慨		
ŋ	[2]崖涯獃壞[5]艾=[6]礙		
h	[1]唉[2]孩諧瓷{訓}頦[3]海[6]亥害駭械懈解{姓}		
∅	[1]哀埃[3]靄藹倚=[5]愛=隘		
#oi			
t	[1]堆[2]頹[3]短-[5]塊{訓}對碓[6]兌袋-代-		
tʰ	[1]推-梯-胎-[3]腿[5]退□{犬～，狗洞}蛻		
n	[3]餒[6]內		
l	[1]颣[2]螺腡雷=□{男陰}[3]儡-{傀～囝}[6]擂		
ts	[1]□{家畜死}[2]裁-[5]最[6]罪		
tsʰ	[1]吹-炊猜-催-崔擢[2]菙{小竹杆}[3]髓揣[6]碎		
s	[1]衰[5]帥率{統～}[6]坐-		
k	[1]□{雞鴨之嗉囊}[2]懷[3]改-		
kʰ	[1]盔魁恢-詼-悝		
∅	[5]愛-		
#uoi			
p	[1]杯飛-盃[2]培賠陪[5]背貝壩[6]焙倍佩狽背{違～}眸蓓珮悖㫲		
pʰ	[1]坯-胚[2]皮-裴[5]配沛杮{柴～，刨花}[6]被-		
m	[2]梅枚玫黴媒煤酶莓糜-[3]尾莓{～蒔，荸薺}每[5]妹[6]昧未-魅-		
tʰ	[6]膇		
n	[2]捼[3]蕊		
l	[2]騾[3]儡=壘磊[6]累彙淚類誄		
ts	[5]贅=□{多言}[6]悴萃啐粹		
tsʰ	[3]揣[5]脆		
s	[3]邃[5]稅說{遊～}歲蛻{又}賽[6]瑞遂隧燧		
k	[1]乖[3]粿-裹-果-[5]劊蹶獪檜髻鱖會{～計}繪怪		
kʰ	[1]虧開-[3]蒯跪-[5]快=筷=塊=		
ŋ	[2]巍嵬巋危[6]外=		
h	[1]灰[2]回迴徊茴蛔洄[3]火毀[5]晦悔喙歲-[6]匯聵潰		
∅	[1]衣-煨偎餵[3]賄鮪[5]穢薈{草盛}彗[6]衛		
#ui			
p	[2]肥[5]痱[6]吠		
pʰ	[5]屁-啡{～痰，吐痰}		
t	[1]追[2]捶[3]縋[6]墜隊墮-		
tʰ	[1]推[2]錘槌箠{重～}[5]贅		
n	[5]□{病}[6]□{～頭}		
l	[2]羸		
ts	[1]錐椎[3]水[5]醉檇		
tsʰ	[1]推{又}[5]碎翠喙		
s	[1]綏雖荽蕤[2]隋隨誰垂陲[5]睡繐穗祟綞		
k	[1]龜歸皈媯飢-[3]鬼軌晷宄詭幾-[5]貴瑰癸[6]櫃饋蕢{～草}跪匱潰		
kʰ	[3]傀[5]愧		
ŋ	[6]魏偽		
h	[1]輝暉揮徽麾[5]諱緯-[6]會壞=		
∅	[1]威葳崴{山高處}歪[2]為韋違幃闈桅[3]委萎諉逶卉煒偉葦痿韙[5]緯=畏尉慰蔚恚虺[6]位胃謂蝟渭		
#au			
p	[1]包=刨[2]胞匏=[3]飽=[5]豹[6]□{手擊人頭}		
pʰ	[1]拋柚{訓}[2]跑[5]炮鉋泡{動詞}[6]雹=泡{名詞}鮑		
m	[1]包-[2]矛茅[3]卯鉚[6]貌		
t	[1]兜[2]骰投-[3]鬥-[5]罩晝-[6]豆-痘-脰-		
tʰ	[1]偷-[2]頭-[3]敨[5]透□{套出人家的話}		
n	[1]□{顏面不舒展}[2]饒撓=[3]繞[6]鬧腦{頭～重，思維遲鈍}		
l	[1]撈[2]劉流-樓-□{動量詞}[3]了-[6]老-漏-絡-		
ts	[1]糟[2]巢剿[3]走-爪-找{～錢}[5]灶揍		
tsʰ	[1]操{體～}抄鈔[3]吵=草-[5]臭-		
s	[1]梢稍捎=[3]首-[5]掃-嗽-		
k	[1]交郊鉤-溝-勾-蛟[2]猴-[3]搞九-狡-垢-[5]教=校{～對}較遘{到}[6]厚-		
kʰ	[1]摳鬮[3]口-		
ŋ	[2]肴淆[3]咬=[6]藕		
h	[1]薅[2]嚎[3]吼哮=[5]孝=酵鱟[6]效校{學校}		
∅	[1]坳凹漚-[2]熬{又}[5]拗=[6]後-{～日}		
#eu			
pʰ	[2]浮-[3]否剖[6]埠=阜=		
m	[2]謀眸[3]畝=[6]茂貿		
t	[1]雕-{～刻}篼兜=[2]投=條調-[3]鬥=抖陡[5]吊鬥[6]逗豆痘		
tʰ	[1]偷=餿-[2]頭=[6]柱-		
n	[3]鳥=裊嬝[6]耨		
l	[2]樓=摟螻嘍寮-[3]簍[6]漏=陋料=廖		
ts	[1]鄒[3]走=沼鳥-詔[5]奏皺		
tsʰ	[2]愁[5]湊		
s	[1]澳搜蒐餿=[2]稠-[3]叟[5]瘦嗽=颼		
k	[1]鉤=溝=勾=膠=[3]狗苟枸[5]垢=夠=彀購媾構遘=		
kʰ	[3]口=[5]叩扣寇蔻		
ŋ	[3]偶		
h	[1]哮-[2]侯喉=猴=[6]后{皇后}後={～面}候厚=		
∅	[1]歐漚區={姓}甌枵-[3]嘔毆慪{～氣}		
#ieu			
p	[1]彪標鏢驃飆[3]表婊裱[6]鰾膘		
pʰ	[1]漂飄螵[2]薄瓢嫖剽[3]殍莩瞟[5]票漂{～白}		
m	[1]描苗貓=錨[3]杳杪渺窅秒邈淼[6]妙廟謬繆-{姓}		
t	[1]朝{～暮}鵰雕彫貂碉刁[2]朝{～廷}潮調=惆[3]肘□{小腹疼}[5]釣吊=[6]趙兆召掉肇		
tʰ	[1]刁=挑佻[2]苕□{客～，玩兒}[3]窕醜[5]跳眺糶挑{～選}[6]柱-{又}		
n	[1]澆[2]饒-嬈蟯[3]嫐[5]□{擰人}[6]尿		
l	[1]丟[2]寮=嘹遼燎聊寥撩=繚[3]瑙了=[5]籀{大篆}溜餾[6]料-撩-{作弄}		
ts	[1]招昭焦蕉椒[2]樵=[3]少-酒[5]照詔醮[6]就鷲僦		
tsʰ	[1]俏超[3]悄[5]笑		
s	[1]綃逍蛸宵霄消銷硝蕭簫瀟燒[2]韶髫詔{又}[3]小少=筱[5]鞘少{年～}肖誚嘯[6]邵紹		
k	[1]嬌驕[2]喬僑蕎[3]絞=狡=矯攪㽱皎[5]叫[6]轎		
kʰ	[1]敲撬[3]巧=[5]翹竅鼼[6]臼=咎		
ŋ	[2]堯		
h	[1]僥驍囂[3]曉朽		
∅	[1]夭妖要{～求}腰邀么吆[2]遙徭瑤搖謠姚窯傜晁陶{臬～}[3]擾舀[5]要幼[6]曜耀鷂又右祐佑柚宥囿鼬釉黝		
#iu			
m	[1]繆={綢～}		
t	[1]丟[2]綢櫥-[5]晝=[6]宙胄紂稻		
tʰ	[1]抽超-[2]儔籌躊疇		
n	[3]扭紐鈕忸		
l	[3]柳綹鉚{～金}		
ts	[1]周珠稠-舟洲州賙[5]咒蛀-		
tsʰ	[1]秋啾鰍揪鍬[3]手帚愀[5]嗅臭=樹-		
s	[1]收羞脩饈[2]售仇酬囚泅[3]守首=[5]繡獸秀[6]壽受授綬袖岫		
k	[1]勼{縮}[2]裘求逑球[3]久玖九=韭虯[5]究灸救[6]舅舊=		
kʰ	[1]丘坵鳩邱蚯[2]□{抽筋}[3]柩桕=		
ŋ	[2]牛=		
h	[1]休幽咻庥鵂{～鶹}		
∅	[1]憂優呦□{田器}[2]由油猶攸遊郵柔尤猷悠遊蝣糅鞣蚰{～蜒}[3]友有酉誘莠		
#aŋ			
p	[1]班斑頒=邦浜[2]平-評-{批～}棚-坪[3]板=版=阪=[5]柄-[6]病-		
pʰ	[1]乒頒{～平}[2]彭膨蟛{～蜞}評{～分}澎[5]泛{不實}[6]泵{又音}		
m	[1]鞔[2]蠻盲暝龐虻[3]猛-[6]幔慢漫蔓謾曼慢		
t	[1]耽擔-{～任}丹單靪{骹後～，腳後跟}[2]談彈{～琴}[3]膽疸蕈[5]擔{挑～}蛋-旦但誕[6]淡彈{子～}蛋=鄭賺{錯}啖		
tʰ	[1]貪灘攤撐[2]潭譚檀壇曇[3]毯坦[5]探炭歎		
n	[2]南難男[6]難{災～}		
l	[2]婪藍籃欄蘭襤瀾攔林-{樹～}[3]覽攬欖懶濫[6]漁爛瀾{濕}兩-		
ts	[1]簪髒[2]殘潺蠶慚蟾讒饞[3]斬盞井-嶄-[5]蘸贊[6]棧暫站鏨		
tsʰ	[1]參{～觀}攙滲-青-生-羼[2]醒-[3]慘嶄-[5]燦懺		
s	[1]三杉衫珊山刪疝生-舢牲-訕跚[2]晴-[3]傘省-產散{丸～}[5]散{分～}姓性[6]靜-		
k	[1]甘柑尷幹竿乾杆艱奸泔粳更{三～}坩[2]含-寒-銜-[3]感敢橄趕簡柬哽蓋[5]監{太～}鑑鍳幹間{離～}[6]汗-{出～}		
kʰ	[1]龕堪勘刊坑[3]砍侃艦坎杆{一～槍}檻[5]瞰看		
ŋ	[2]岩顏癌[3]眼=[6]岸雁		
h	[1]酣蚶[2]含=涵鹹銜=鼾寒=韓汗{可～}閑=頷[3]罕[5]漢[6]陷翰撼喊瀚汗=		
∅	[1]安鞍桉肮庵奄[2]桁{椽}[3]飲-掩-[5]按案暗晏諳窨-[6]餡旱焊		
#iaŋ			
p	[1]餅-[5]併-拼		
pʰ	[1]𩩍{背}拼-[2]坪{河坡}[3]竮{～骹}[6]並{比～}		
m	[2]名-[6]命-		
t	[2]呈-{～文}埕庭-[3]偵-鼎-[5]定-		
tʰ	[1]聽-廳[2]呈=程[3]□{推}[5]疼{訓}忝[6]錠綻		
n	[1]□{扭打}[2]燃-{燒火}[3]染-{夾雜}		
l	[1]涼-[2]晾-[3]領嶺		
ts	[1]精-正{～月}爭-[3]䭕[5]正-[6]凈-		
tsʰ	[1]清-青-{剌兒}[2]成-城-[3]癬-請-鏟[5]倩-[6]鱔-		
s	[1]聲-[2]城-成-泉-[5]線聖-[6]賤-{便宜}		
k	[1]驚-乾-{菜～}[2]行-[3]囝[5]鏡-鍳-{手～}		
kʰ	[1]罄{～頭，點頭}[6]□{～門，虛掩｝		
ŋ	[2]迎-		
h	[1]兄-[5]炫{真～}		
∅	[2]營-贏-		
#uaŋ			
p	[1]般搬[2]盤[5]半[6]叛拌□{襤～，不潔}		
pʰ	[1]潘=藩攀[3]絆=[5]判盼[6]扮胖伴絆-		
m	[2]瞞鰻[3]滿		
t	[1]端[3]短[5]斷{判～}[6]斷{～續}鍛		
tʰ	[2]團[3]湍		
n	[3]暖=		
l	[2]鸞鑾[3]卵=[6]亂		
ts	[1]鑽={～研}[3]賺[6]撰		
tsʰ	[1]餐銓詮悛拴=痊[3]喘舛[5]篡竄纂闖=		
k	[1]官觀{參～}冠鰥關=桄{桌～}[3]管=館[5]貫灌觀{寺～}慣=冠{～軍}[6]□{拎}		
kʰ	[1]寬[2]環[5]款		
ŋ	[2]頑[5]阮[6]玩		
h	[1]歡番翻[2]凡帆桓還=橫-煩礬繁煩[3]反[5]泛喚煥渙販飯=梵[6]患宦緩幻浣範犯		
∅	[1]彎灣[2]□{用筷子扒進口中}[3]皖碗挽晚宛婉豌腕浣[6]萬換蔓		
#ɛŋ			
p	[1]崩-邊-斑[2]另朋棚=便{～宜}硼[3]板-版-反-[6]瓣辦		
pʰ	[1]烹[2]硼-{～鍋}		
m	[2]萌盟[3]猛=[6]孟慢-		
t	[1]登燈瞪鐙[2]填騰謄澄橙藤滕[3]等=典-點-[5]店[6]殿-墊-凳鄧橙靛		
tʰ	[1]蟶-[2]沉-[5]挺{～胸}[6]墊		
n	[1]奀[2]能奶[5]踮[6]念=		
l	[2]蓮-菱-憐-[3]冷		
ts	[1]針爭=睜箏增曾憎僧榛臻[2]曾{～經}層[3]剪戩[5]薦{草～}掙{～錢}諍[6]贈		
tsʰ	[1]呻-[2]田-蠶-[3]筅{～年，過年時大掃除}[5]𲁢撐=襯倩={妹～，妹夫}甑稱{相～}		
s	[1]森參{人～}生=牲=笙甥先-[2]前-[3]省㾪{～肉}[5]滲		
k	[1]更{～改}庚羹耕粳[2]鹹懸{高}[3]減哽=耿揀繭柬[5]更-{～加}慣-[6]縣		
kʰ	[1]莖牽襟[3]肯=犬[5]蓋{覆蓋}		
ŋ	[3]眼-{龍～}[6]硬		
h	[1]亨[2]弘行={～為}衡恒橫-宏懸-{～掛}[3]很狠[5]菟橫{蠻～}[6]杏行{品～}幸悻		
∅	[1]鶯鸚櫻嬰轟薨罌安{放置}[2]閑-[6]限		
#ieŋ			
p	[1]鞭邊=[2]駢便{～利}[3]貶蝙匾扁[5]變[6]便={方～}		
pʰ	[1]編篇偏翩[5]騙片遍		
m	[2]綿棉眠=[3]免勉娩[5]緬[6]麵{～粉}面={～子}		
t	[1]顛甜癲[2]纏田=滇填=[3]點=典=展[5]玷[6]電佃鈿甸墊=殿=		
tʰ	[1]添天[2]恬[3]忝=舔[5]䋎{縫}		
n	[1]拈[2]黏年[3]染撚{用指～碎}[6]念=廿=		
l	[2]廉鐮簾連聯憐-林={又}蓮=[3]臉攆輦碾=輾=[5]輾[6]斂-殮練煉鏈		
ts	[1]尖沾戔[2]潛錢前=[3]踐濺=□{蜿蜒}掌-{～甲，指甲}[5]占箭戰薦=僭[6]濺賤=		
tsʰ	[1]簽纖箋千懺鮮-韆僉殲[2]尋[3]淺		
s	[1]仙鮮=先=羶暹[2]蟬禪鹽蟾簷蟾=單{～於}[3]陝閃鮮{～有}跣[5]搧扇霰[6]善膳羨鱔=擅單{姓}禪{～讓}		
k	[1]兼肩堅間-[2]乾虔墘瞼[3]檢繭=鹼襇{裙～}[5]劍見[6]儉		
kʰ	[1]謙愆[2]鉗=擒[3]遣[5]欠歉芡		
ŋ	[1]妍[2]嚴[3]研碾儼[5]硯癮[6]驗閻諺		
h	[1]掀[2]嫌賢玄弦懸=舷=[3]險顯[5]眩-蜆[6]現		
