汉字	声韵	声调	声母	韵母	字音	注释
幅	fu	323	f	u	幅fu323	
蝠	fu	323	f	u	蝠fu323	
腹	fu	323	f	u	腹fu323	
覆	fu	323	f	u	覆fu323	
河	ʋu	31	ʋ	u	河ʋu31	
和	ʋu	31	ʋ	u	和ʋu31	
禾	ʋu	31	ʋ	u	禾ʋu31	
胡	ʋu	31	ʋ	u	胡ʋu31	
湖	ʋu	31	ʋ	u	湖ʋu31	
狐	ʋu	31	ʋ	u	狐ʋu31	
壶	ʋu	31	ʋ	u	壶ʋu31	
乎	ʋu	31	ʋ	u	乎ʋu31	
葫	ʋu	31	ʋ	u	葫ʋu31	
扶	ʋu	31	ʋ	u	扶ʋu31	
芙	ʋu	31	ʋ	u	芙ʋu31	
符	ʋu	31	ʋ	u	符ʋu31	
无	ʋu	31	ʋ	u	无ʋu31	
巫	ʋu	31	ʋ	u	巫ʋu31	
诬	ʋu	31	ʋ	u	诬ʋu31	
浮	ʋu	31	ʋ	u	浮ʋu31	
武	ʋu	45	ʋ	u	武ʋu45	
舞	ʋu	45	ʋ	u	舞ʋu45	
侮	ʋu	45	ʋ	u	侮ʋu45	
鹉	ʋu	45	ʋ	u	鹉ʋu45	
祸	ʋu	24	ʋ	u	祸ʋu24	
沪	ʋu	24	ʋ	u	沪ʋu24	
户	ʋu	24	ʋ	u	户ʋu24	
妇	ʋu	24	ʋ	u	妇ʋu24	
阜	ʋu	24	ʋ	u	阜ʋu24	
负	ʋu	24	ʋ	u	负ʋu24	
和	ʋu	22	ʋ	u	和ʋu22	和面
互	ʋu	22	ʋ	u	互ʋu22	
护	ʋu	22	ʋ	u	护ʋu22	
腐	ʋu	22	ʋ	u	腐ʋu22	
务	ʋu	22	ʋ	u	务ʋu22	
雾	ʋu	22	ʋ	u	雾ʋu22	
握	ʋu	212	ʋ	u	握ʋu212	
服	ʋu	212	ʋ	u	服ʋu212	
伏	ʋu	212	ʋ	u	伏ʋu212	
复	ʋu	212	ʋ	u	复ʋu212	
多	tu	44	t	u	多tu44	
都	tu	44	t	u	都tu44	
堵	tu	45	t	u	堵tu45	
赌	tu	45	t	u	赌tu45	
肚	tu	45	t	u	肚tu45	
督	tu	323	t	u	督tu323	
土	tʰu	45	tʰ	u	土tʰu45	
吐	tʰu	45	tʰ	u	吐tʰu45	
吐	tʰu	42	tʰ	u	吐tʰu42	呕吐
兔	tʰu	42	tʰ	u	兔tʰu42	
秃	tʰu	323	tʰ	u	秃tʰu323	
驼	du	31	d	u	驼du31	
驮	du	31	d	u	驮du31	
徒	du	31	d	u	徒du31	
屠	du	31	d	u	屠du31	
途	du	31	d	u	途du31	
图	du	31	d	u	图du31	
塗	du	31	d	u	塗du31	
舵	du	24	d	u	舵du24	
惰	du	24	d	u	惰du24	
垛	du	24	d	u	垛du24	
杜	du	24	d	u	杜du24	
肚	du	24	d	u	肚du24	
大	du	22	d	u	大du22	
驮	du	22	d	u	驮du22	
度	du	22	d	u	度du22	
渡	du	22	d	u	渡du22	
镀	du	22	d	u	镀du22	
突	du	212	d	u	突du212	
铎	du	212	d	u	铎du212	
踱	du	212	d	u	踱du212	
读	du	212	d	u	读du212	
独	du	212	d	u	独du212	
牍	du	212	d	u	牍du212	
犊	du	212	d	u	犊du212	
毒	du	212	d	u	毒du212	
奴	nu	31	n	u	奴nu31	
努	nu	45	n	u	努nu45	
怒	nu	22	n	u	怒nu22	
啰	lu	44	l	u	啰lu44	
螺	lu	31	l	u	螺lu31	
骡	lu	31	l	u	骡lu31	
卢	lu	31	l	u	卢lu31	
炉	lu	31	l	u	炉lu31	
芦	lu	31	l	u	芦lu31	
鸬	lu	31	l	u	鸬lu31	
庐	lu	31	l	u	庐lu31	
驢	lu	31	l	u	驢lu31	
鲁	lu	45	l	u	鲁lu45	
橹	lu	45	l	u	橹lu45	
虏	lu	45	l	u	虏lu45	
卤	lu	45	l	u	卤lu45	
路	lu	22	l	u	路lu22	
赂	lu	22	l	u	赂lu22	
露	lu	22	l	u	露lu22	
鹭	lu	22	l	u	鹭lu22	
鹿	lu	212	l	u	鹿lu212	
禄	lu	212	l	u	禄lu212	
六	lu	212	l	u	六lu212	
陆	lu	212	l	u	陆lu212	
租	tsu	44	ts	u	租tsu44	
组	tsu	45	ts	u	组tsu45	
祖	tsu	45	ts	u	祖tsu45	
阻	tsu	45	ts	u	阻tsu45	
做	tsu	42	ts	u	做tsu42	
粗	tsʰu	44	tsʰ	u	粗tsʰu44	
初	tsʰu	44	tsʰ	u	初tsʰu44	
楚	tsʰu	45	tsʰ	u	楚tsʰu45	
礎	tsʰu	45	tsʰ	u	礎tsʰu45	
