#参考资料 《商南城关奤子话同音字汇》
#调值  [1]阴平44  [2]阳平53  [3]上24  [5]去31
#ɿ
ts [1]资姿滋兹梓辎吱滓孜撕 [3]紫姊子籽 [5]自字
kʰ [1]夸 [3]垮胯{大腿，大腿～子}剐{～洋芋} [5]挎跨
x [1]花 [2]华哗划{～船}铧豁{～拳}滑猾 [5]划{计～，～开}化{溶化}话画桦华{姓}Ø [1]娲蛙洼哇{～～直叫}袜挖 [3]瓦搲{动词，舀} [5]娃瓦{动词}凹{山～}
#ʯa
tʂ [1]抓髽{尾巴～帽子} [3]爪{～子}
tʂʰ [3]□{表示没必要，管的～咧}□{脱掉，～掉裤子}欻{～雨：淋雨}ʂʯa [1]刷□{打，～一耳巴子} [3]耍{玩～}
Ø [2]挼{～面} [3]□{大口子或大洞，裤子成个大～巴子了}□{象声词}□{吐，～了一地} [5]□{大声叫喊}
#ʅɛ
tʂ [1]遮者浙折{～断}折{存～}哲褶蔗辙 [3]□{逞能，这娃太～了} [5]这
tʂʰ [1]车 [3]扯 [5]撤彻
ʂ [1]赊佘奢 [2]蛇舌折{～了本钱} [3]舍{宿～} [5]赦摄社射设涉麝{～香}
ʐ [1]热 [3]惹
#iɛ
p [1]别{～扭}憋鳖 [2]别{～人}别{离～} [3]瘪{干～}□{扁，～斯巴} [5]蹦{挣扎着乱跳}□{炸}
pʰ [1]撇 [3]瞥□{折断，～柴}
m [1]咩灭蔑篾{竹的长薄片} [3]□{折断，～断}
t [1]爹跌 [2]蝶咥揲迭{重～}谍牒碟叠
tʰ [1]铁贴帖niɛ [5]那
l [1]列烈裂冽猎劣 [3]咧趔{～趄}
tɕ [1]节结接揭 [2]竭睫捷洁碣劫杰截 [3]姐 [5]借藉{～口}
tʰ [1]且{暂～}切妾窃怯箧趄{趔趄} [2]茄挈
ȵ [1]捏业聂镊嗫蹑孽苶{～拐：不露声色的干坏事}
ɕ [1]歇血雪蝎楔揳屑 [2]邪斜协勰挟携谐胁 [3]写些 [5]泻薛懈穴泄亵燮卸谢榭
k [2]□{骂人话，老～～子}
Ø [5]啮{老鼠～}iɛ [1]叶页噎耶椰揶谒{～见}曳{～倒}掖 [3]野冶也 [5]夜爷液腋□{散撒，～了一地}
#yɛ
tɕ [1]蕨{～根}撅掘噘{骂，～人}倔{犟，～脾气}抉决诀 [2]绝
tɕʰ [1]缺 [2]瘸ɕyɛ [1]靴雪
Ø [1]月曰越粤阅抈{使长形物体弯曲}悦 [2]儿而 [3]耳饵洱珥尔 [5]二贰
#o
p [1]波玻菠播～种搏拨钵帛{衣～}播{广～} [2]勃脖博薄 [3]跛簸{～麦子} [5]簸{～箕}
pʰ [1]坡颇泊剖{～开}泼 [3]□{拼命，~出命} [5]破婆
m [1]摸漠末么沫 [2]膜魔摩模{～具}蘑{～芋}磨{～刀}摹 [3]母{～舅：舅舅} [5]磨{石～}莫馍没{沉～}寞□{腰闪了，～腰}穆{～桂英}fo [2]佛{仿～}拂佛{～教}
t [1]多哆掇 [2]夺铎踱 [3]躲朵 [5]咄跺剁{砍，～柴}堕惰垛舵
tʰ [1]拖托讬脱拓□{烂，衣服～了} [2]砣驼{骆～}佗跎驼{～背}鸵驮□{饭粘在一起，饭～了} [3]妥椭
n [2]挪 [5]诺糯懦
l [1]啰{～嗦}乐骆洛落络烙 [2]罗萝箩锣逻骡螺脶 [3]裸瘰 [5]摞
ts [2]昨凿{～子}凿{确～} [3]左佐撮 [5]作做座坐唑
tsʰ [1]搓磋 [5]锉措错挫
s [1]嗦蓑{～衣}梭唆{～使}娑{婆～}索{麻～}缩 [3]所锁琐缲{衣服～边}
k [1]歌锅戈郭葛阁鸽割各 [2]哥 [3]果锞裹馃搁 [5]个过
kʰ [1]科蝌苛括扩颗棵窠柯轲壳磕嗑 [3]可 [5]课{又，租，～房子}阔廓课
ŋ [2]俄蛾娥鹅讹 [3]我 [5]恶谔愕颚鄂饿噩
x [1]豁哈{哈欠，扯～}喝 [2]和和{～面}合活何荷河饸郃阖曷禾盒 [3]火伙 [5]鹤惑藿贺{祝～}祸贺{姓}霍获劐{～开}喝{～彩}货郝
Ø [5]哦
#uo
Ø [1]倭踒莴蜗物勿窝阿{～胶}喔握□{沤，～肥} [5]卧沃
#ʯo
tʂ [1]着桌捉卓啄 [2]浊涿酌镯着{睡～了，～火了}
tʂʰ [1]绰 [3]戳 [5]辍□{逞能，能～啦}□{做事情不认真，～三}
ʂ [1]说 [2]芍勺 [5]硕烁朔
ʐ [1]若弱
#yo
l [1]略掠
tɕ [1]脚角觉{～察} [2]嚼爵 [5]角{毛～：小女孩头髮绑起来}
tɕʰ [1]却□{欺骗，～人}确雀鹊搉{～大蒜} [5]跷{踩高～}
ȵ [1]虐疟
ɕ [1]削{～苹果} [2]学
Ø [1]药约乐{～器}岳钥{～匙}
#ai
p [3]摆襬□{疟疾；打～子} [5]拜湃败稗{～子}
pʰ [2]牌排簰徘□{对小孩称新衣服为～，穿～～} [5]派
m [2]埋霾 [3]买 [5]卖迈
t [1]呆 [3]歹傣逮捉 [5]戴贷岱玳带待袋代大{～夫}
tʰ [1]胎态怠殆迨 [2]台抬苔 [3]奤 [5]太汰泰
n [3]乃奶{～～}奶{～粉} [5]奈耐鼐
l [1]□{脏，～稀} [2]来莱徕 [5]赖癞籁
ts [1]灾栽 [3]宰崽 [5]再哉在
tsʰ [1]猜 [2]才财裁材 [3]采睬彩 [5]菜蔡
s [1]腮鳃 [2]□{理睬，懒～你}□{一种反抗动作，膀子一～} [5]赛塞{～外}□{如同狗甩水的动作，～我一身水}
tʂ [1]斋 [5]债寨
tʂʰ [1]差{～使}钗□{珍贵药材，金～} [2]柴豺侪
ʂ [1]筛 [5]晒
k [1]该赅 [3]改秸 [5]盖概溉丐{乞～}钙
kʰ [1]开 [3]揩凯楷铠慨 [5]忾
ŋ [1]哀埃挨{靠近，到一起} [2]呆{～板}挨{～打}岩崖癌 [3]矮蔼霭 [5]爱碍艾隘
x [1]亥骇哎{语气词} [2]孩鞋还 [3]海嗨醢蟹 [5]害
Ø [5]哎{语气词}唉{叹词}
#iai
tɕ [1]阶皆 [3]解{～放军} [5]界芥疥戒械
ɕ [2]谐鞋
#uai
k [1]乖 [3]拐{～卖}柺{～杖}拐{聪明：矮子矮，肚子～} [5]怪
kʰ [5]块会{～计}郐蒯快筷
x [2]怀槐淮徊 [5]坏uai [1]歪威{人厉害，～火}□{批评、责备，你不要～我} [3]踒{脚扭伤} [5]外
Øʯai
tʂ [1]□{蹲，～到吃饭} [3]跩{有钱，架子大，人家～得很} [5]拽
tʂʰ [1]揣 [3]踹
ʂ [1]衰摔 [3]甩 [5]帅蟀率{表～}
#ɑu
p [1]包苞雹鲍胞{同～}胞{细～}□{象声词} [3]饱褒褓保堡葆褓宝鸨 [5]报豹曝菢暴{～动}爆□{恶心，打～口}抱暴{～雨}
pʰ [1]抛鳔□{松软，稀～的}□{货～：吹牛} [2]狍刨袍刨{～床}炮{～制}脬{大小便的量词，一～屎} [3]跑 [5]炮{～火}泡疱{脓～}
m [1]猫 [2]毛矛茅锚耄髦牦 [3]卯铆牡{～丹花} [5]□{胡乱，～说话}冒{～出来}冒{感～}帽懋貌茂贸
t [1]刀叨 [3]倒{东西～了}导岛捣□{吃，詈语}祷蹈 [5]到铸{～镯子}倒{倒水}道盗稻
tʰ [1]滔韬涛焘掏洮弢 [2]桃萄逃淘{～米}陶 [3]讨 [5]套
n [1]孬 [2]挠铙 [3]脑恼 [5]闹痨～老鼠
l [1]捞唠□{拖，～出去} [2]劳醪牢 [3]老佬姥 [5]酪痨涝□{逛，～门}
ts [1]遭糟藻 [3]早枣蚤澡 [5]灶躁燥造皂
tsʰ [1]操 [2]曹槽巢 [3]草騲{～猪：被阉过的猪} [5]躁{～得很}
s [1]骚捎{～话} [2]□{很快的看一下，～了他一眼} [3]扫{～地}嫂 [5]潲{～水：泔水}哨臊{～子面：汤菜调的面；害～}扫{～帚}□{手动，手～得很}
tʂ [1]朝{早晨}召招昭诏沼 [2]着{碰上了，～祸}□{幸运，~了} [3]找爪 [5]罩肇{～事}兆鉊{～豆芽}照笊{～篱子}赵
tʂʰ [1]超抄钞 [2]朝{朝代}潮嘲晁 [3]炒吵 [5]□{凑热闹，加哄～}□{翻，锅里菜～下子}耖{～地}
ʂ [1]烧梢稍 [2]苕韶 [3]少{多～} [5]少{又，～年}艄{～公}绍邵
ʐ [2]饶娆 [3]扰绕
k [1]高镐羔糕膏皋 [3]搞稿 [5]告诰
kʰ [1]□{日弄，～治人}尻{动词，性行为} [3]考烤拷{～打} [5]靠犒铐
ŋ [1]熬{～煎} [2]爊{一锅～}鏖{～战}鳌 [3]袄 [5]拗凹傲敖鏊奥懊澳坳柪
x [1]蒿薅 [2]嚎壕豪毫耗 [3]好 [5]浩皓号{～召}好{爱好} [5]噢{表应答，又表醒悟}
#iɑu
p [1]标彪□{欺骗，～人}膘骠镖剽{～悍}飙镳 [3]表婊裱俵
pʰ [1]飘漂 [2]嫖瓢殍 [3]瞟漂{～白} [5]漂{～亮}票{车～}□{斜雨，～雨}
m [1]瞟{斜视}□{学猫叫声} [2]苗瞄描矛{～子} [3]秒渺藐邈缈 [5]妙□{偷偷监视，一～到渠}庙缪{姓}
t [1]刁貂雕凋 [3]屌 [5]钓碉掉吊调{～查}掉{～头}
tʰ [1]挑调{小勺子} [2]调{～整}条 [3]斢{～换} [5]跳
l [2]疗燎撩缭嘹瞭聊辽 [3]了{～结}燎{火烧火～} [5]撂尥{～蹄子}廖料
tɕ [1]交郊胶跤骄娇焦浇教{教书}蕉礁椒缴 [3]绞交{打交道，打～}狡饺铰较搅侥剿 [5]校{校对}叫假{假装，～马}教{～师}觉{睡～}窖{地～}酵{～子}校{衡量，用称～一下}轿
tɕʰ [1]悄敲锹□{骟动物，～猪} [2]桥樵荞侨乔瞧憔 [3]巧 [5]壳{地～}俏窍翘峭撬鞘跷{踩高～}
ȵ [3]鸟袅嬲{男性生殖器} [5]尿肖消霄硝销嚣蛸萧箫啸淆{混～}
ɕ [3]小晓 [5]笑孝哮效{～劳}校{学～}效{～率}
Ø [1]腰要{～求}夭妖幺{～鸡}吆{～喝}邀 [2]摇尧谣窑姚窈爻 [3]舀杳 [5]要跃耀鹞
#ou
m [2]谋 [3]某
t [1]都兜督 [2]独犊读毒 [3]笃斗{几～米}抖陡赌睹堵肚 [5]痘斗{～争}斣{拼凑,～隼}妒杜度镀渡豆窦
tʰ [1]偷秃突 [2]头投徒屠涂途图 [3]吐土 [5]透抖{～开}兔唾{～沫}
n [2]奴 [3]努
l [1]搂{～钱}辘六鹿漉录禄碌 [2]楼喽{～罗}炉芦卢耬庐 [3]搂{～抱}瘘篓鲁橹虏 [5]路漏露璐鹭陋麓陆
ts [1]邹诌租 [2]足卒{象棋}族 [3]走祖阻组诅俎 [5]奏揍做{～事}助
tsʰ [1]搊{托住}初粗 [3]瞅础楚 [5]凑醋促簇猝
s [1]苏搜馊艘飕酥梳疏肃宿{～舍}蔬 [2]俗 [3]数{动词}擞叟 [5]数{名词，～字}瘦嗽素诉淑速嗉粟溯塑束
tʂ [1]州洲周舟竹烛 [2]轴妯逐 [3]帚肘掫{举起，把红旗～起来} [5]纣骤咒昼皱筑绉宙
tʂʰ [1]抽 [2]愁锄稠绸酬筹踌仇雏畴 [3]丑 [5]臭触畜{～生}
ʂ [1]收 [2]叔赎熟蜀属 [3]手首守狩 [5]寿售受授兽
ʐ [2]柔揉蹂 [3]辱 [5]肉褥□{做事情慢}
k [1]抅沟勾尻{～子} [3]狗媾苟枸垢{～痂} [5]购够构
kʰ [1]抠眍 [2]□{盖，把菜用碗~到}□{低，头～到} [3]口 [5]扣叩寇蔻
ŋ [1]欧瓯殴讴呕鸥 [3]藕偶 [5]怄{～气}沤{～肥}
x [1]齁{喘气}瘊 [2]猴侯喉 [3]吼 [5]后厚候
#iou
t [1]丢 [2]留{回来迟，把饭给我～到}
l [1]溜六 [2]留硫流琉榴刘浏瘤 [3]柳缕稆{～生}绺{小偷，～娃子} [5]溜{～冰}馏□{机灵，～耍}流{二～子}
tɕ [1]究揪纠赳阄柩灸鬏臼鸠咎 [3]酒九久韭玖 [5]救蹴{蹲着}□{衣服缩水}□{挤到一块儿，～成一团}□{小气鬼，～摸头}舅旧就
tɕʰ [1]丘邱蚯秋湫 [2]毬求仇姓球裘囚泅
ȵ [2]牛 [3]扭{～住}纽钮□{没有}谬 [5]扭{又，扭动身体}
ɕ [1]修休羞 [3]朽宿{住一～} [5]秀蓄{头发～长了}绣嗅□{沾在一起，头发~到一起了}锈袖
Ø [1]悠优忧幽 [2]游犹由油尤邮 [3]有友酉莠 [5]狱幼育{教～}又诱鼬右柚釉佑
#ei
p [1]杯悲碑笔掰擘百北柏泊{梁山～} [2]白 [3]背{动词，～东西} [5]辈贝备孛被{～子}被{～动}背{名词，脊～}褙{～鞋帮子}被{名词，棉～}背{～诵}倍焙伯
pʰ [1]坯披呸拍迫魄 [2]赔培陪裴 [3]□{整人的轻松说法，～治人} [5]沛胚{～胎}佩配辔霈旆
m [1]墨麦脉默陌 [2]枚玫媒煤楣霉莓梅酶 [3]美镁每 [5]妹昧寐魅
f [1]飞非菲绯霏啡蜚妃 [2]肥淝 [3]匪榧翡诽斐□{孩子好动，没高没低} [5]废肺费痱吠沸
t [1]堆得德 [3]对{碰，～车对确实如此，～是的} [5]对碓兑队
tʰ [1]推特 [3]腿 [5]退蜕褪
n [3]馁 [5]内
l [1]勒肋 [2]雷擂 [3]垒蕾耒诔磊累{积～}儡 [5]类泪累
ts [1]窄则责摘□{反问：～我□凶恶貌：～牙了舞} [2]贼泽择宅 [3]嘴 [5]最醉罪
tsʰ [1]摧崔催璀测厕册拆策□{皮肤炸～} [5]脆翠悴粹萃
s [1]虽色涩瑟虱塞穑啬 [2]隧随隋髓绥遂谁 [5]碎岁穗祟
k [1]革隔膈格 [3]给嗝{饱～}
kʰ [1]客刻{时～}刻{～字}克 [1]额扼厄轭{名词，牛～头}
x [1]吓{～人}黑赫
#uei
k [1]归规龟圭闺国虢侩{～子倯，詈语} [3]诡轨鬼 [5]贵桂癸刽鳜柜跪
kʰ [1]亏盔窥 [2]葵逵傀魁奎 [5]愧愦溃{崩～}
x [1]灰恢摩挥辉徽 [2]回或茴洄蛔 [3]毁悔讳晦 [5]贿溃{～脓}卉慧绘会烩汇桧
Ø [1]威煨微危韦 [2]为{作～}桅维唯惟惟违围 [3]伟纬尾委苇萎痿伪 [5]喂卫位未味为{介词}谓畏魏猥猬胃慰外{～爷}
#ʯei
tʂ [1]追锥 [5]缀赘坠
tʂʰ [1]吹炊 [2]垂锤捶陲槌
ʂ [3]水 [5]税睡
ʐ [5]锐蕊芮瑞
#an
p [1]班斑癍板{～手}扮颁搬般 [3]板□{不成器，～货}版□{跌倒，～了一跤} [5]瓣办半拌伴
pʰ [1]攀潘 [2]蟠磐盘搬{搬动，把桌子～走} [5]盼绊襻判叛
m [2]蛮瞒馒埋{～怨} [3]满 [5]曼慢谩幔蔓{～延}
f [1]翻帆藩番蕃{～茄} [2]凡矾繁烦 [3]反返 [5]婏{鸡～蛋}贩{～子}范犯樊饭泛
t [1]单端丹耽担{～任} [3]胆短□{～米} [5]诞担{～子}但旦石{一～谷子}淡蛋弹{炮～}锻断段缎椴
tʰ [1]滩摊瘫贪 [2]谈潭谭团痰坛檀昙弹{～棉花} [3]毯掸坦 [5]炭叹探
n [2]难{～题}楠男南 [3]暖卵 [5]难{灾～}
l [2]兰拦栏篮蓝岚婪鸾栾 [3]懒览揽漤榄缆{～绳} [5]烂滥乱
ts [1]钻{～研} [3]攒 [5]暂赞钻{～子}簪
tsʰ [1]餐参□{衣服～线了} [2]馋蚕残惭{～愧} [3]惨 [5]灿溅篡窜
s [1]三叁酸 [3]散{～装}伞 [5]散{分～}算蒜
tʂ [1]詹瞻粘占{～光}毡沾 [3]展搌{抹，～布}辗斩盏 [5]战站{～立}占{～领}颤{打～}占{～卜}蘸绽站{车～}
tʂʰ [1]掺搀 [2]潺蟾谗缠 [3]产剷铲 [5]□{沾，～了一身灰}颤{～抖}忏{～悔}
ʂ [1]山衫珊栅删膻煽{～火}搧{用手掌打人} [2]蝉 [3]闪陕 [5]扇骟{～猪}膳禅鳝善{～良}
ʐ [2]然燃粘{～糊}冉
k [1]尴甘泔柑肝竿干{～湿}搛{～菜} [3]赶感敢擀橄杆秆赶 [5]赣
kʰ [1]刊堪看{～守}龛{神～}勘 [3]坎砍槛 [5]瞰看{～见}
x [1]憨鼾涎{～水}酣{～睡} [2]含晗寒韩函邯闲{没事～着}咸{盐重}颔 [3]喊罕{～见} [5]捍撼憾悍焊翰汉旱汗
Ø [1]安鞍庵鹌氨 [5]按案暗岸
#iɛn
p [1]鞭边编 [3]扁{～担}贬匾蝙绾 [5]变卞汴遍便{大～}辫辩辨便{方～}
pʰ [1]偏篇翩 [2]便{～宜} [3]谝{胡球～} [5]骗片
m [2]绵棉眠 [3]免勉娩冕愐渑缅 [5]面麺
t [1]颠巅掂癫□{吵人，～人} [3]点典碘 [5]店佃奠电殿淀垫
tʰ [1]天添 [2]填田甜 [3]舔掭{～墨}
l [2]连莲涟裢怜廉镰帘联殓 [3]脸敛 [5]□{踩踏，满地～}炼练链楝
tɕ [1]尖奸兼艰坚间煎肩 [3]减碱检俭剑简涧剪茧拣笕{用竹块～水} [5]箭剑舰谏锏见鉴健建腱饯键荐间{～接}件谏贱践渐
tɕʰ [1]千迁谦签歼纤铅牵 [2]钱虔前乾钳泉 [3]浅潜遣 [5]欠嵌芡歉缱{想念}
ȵ [1]蔫淹腌拈拾起黏 [2]严研年言{～传}鲶 [3]眼辇撵碾 [5]酽{～茶}念砚
ɕ [1]先仙鲜掀喧宣轩锨 [2]嫌咸衔{军～}贤弦旋娴衔闲 [3]选癣险鲜{～明}显冼{姓} [5]线羡献腺楦宪馅陷现{～成}县限
Ø [1]淹烟胭焉 [2]言延筵檐颜沿阎盐严 [3]兖掩眼演 [5]晏验宴炎厌雁堰焰谚燕唁砚咽艳妍
#uan
k [1]关官倌棺观{参～}鳏 [3]管馆 [5]观{道～}灌惯贯罐冠{～军}
kʰ [1]宽 [3]款
x [1]獾欢 [2]环横{～直}桓还{归～} [3]缓 [5]幻宦患换焕唤
Ø [1]弯湾豌剜 [2]顽完玩丸 [3]晚挽碗腕绾 [5]万蔓{又，瓜～}
#yɛn
tɕ [1]绢涓捐娟 [3]捲卷券{副～} [5]眷圈{猪～}倦
tɕʰ [1]圈{圆～} [2]全拳权颧{～骨} [3]犬 [5]劝券
ɕ [2]悬眩玄旋 [5]楦{鞋～头}镟{～木头}
Ø [1]冤渊 [2]元园圆员原源袁猿辕缘援丸垣 [3]远 [5]院愿怨
#ʯan
tʂ [1]专砖膞 [3]转{～学} [5]转{～动}撰赚篆传{～记}
tʂʰ [1]川穿 [25]船传{～达}椽 [3]喘 [5]篡串
ʂ [1]栓闩 [5]涮疝
ʐ [3]阮软
#ən
p [1]奔锛{～子} [3]本 [5]奔{～命}笨
pʰ [1]喷{～水} [2]盆
m [1]□{笨}□{木料接近腐烂，这树己经～了}们焖{～菜} [2]门明{～儿} [5]闷
f [1]分芬纷汾 [2]坟焚 [3]粉 [5]愤粪奋忿份□{四处跳动或飞溅}
