#参考资料	《安徽庐江南部方言研究》
#调值	[1]⁵⁵ [2]⁵³ [3]²¹³ [5]⁴⁴ [7]⁵ [8]³
#ɿ	
tɕ	[1]今｛文｝金襟津巾斤筋茎京荆惊鲸精晶睛经[3]锦尽｛~管｝紧仅谨景警井颈[5]禁浸进晋劲近敬竟镜兢静靖净径竞记｛忘~｝见｛听~｝尽｛~力｝
tɕʰ	[1]侵钦亲卿清轻青蜻倾[2]寻｛~死｝琴禽擒秦勤芹情晴[3]寝请顷[5]庆罄磐
ɕ	[1]心辛新薪欣星腥馨[2]行｛~为｝形型刑邢[3]省｛反~｝醒[5]信兴杏行幸性姓
Ø	[1]音阴荫因姻应｛~当｝鹰莺鹦樱英婴缨殷[2]吟淫寅迎盈赢萤营莹银蝇[3]饮引尹影颖隐瘾蚓[5]印应映
#uən	
k	[1]弓躬宫恭公工功攻[3]滚磅汞拱巩[5]棍供共贡
kʰ	[1]昆坤空[3]捆恐孔[5]困空｛~闲｝控
x	[1]昏婚荤晕｛白｝轰烘[2]魂浑弘横｛文｝宏红鸿虹｛文｝洪馄[3]哄[5]混哄
Ø	[1]温瘟翁瓮[2]文纹蚊坟闻[3]稳吻[5]问
#ʯən	
tʂ	[1]中｛当~｝忠终钟盅衷胧均钧匀君军[3]冢种肿准窘迥[5]中｛射~｝仲众重｛~要｝种｛~菜｝俊菌郡骏竣
tʂʰ	[1]充冲｛~击｝春春椿[2]虫重｛~复｝唇醇群裙琼穷[3]宠蠢[5]镜冲
ʂ	[1]薰勋薰兄胸凶[2]寻｛文｝旬荀循巡纯熊雄[5]讯迅殉顺舜训
Ø	[1]雍庸臃晕｛文｝[2]云荣戎绒融茸容蓉熔溶[3]允永泳咏冗勇涌拥[5]闰润熨韵运孕用蕴酝佣
#ɛʔ	
p	[7]八[8]拔
m	[7]抹
f	[7]发伐筏法阀[8]罚
ts	[7]杂｛复~｝眨闸扎札铡砸[8]杂｛稻种~了｝炸｛~油条｝
tsʰ	[7]插擦察
s	[7]撒｛~网｝萨杀
t	[7]答搭沓达
tʰ	[7]踏榻榻塌獭塔
n	[7]纳腊蜡辣捺
k	[7]夹｛白｝挟｛白｝
kʰ	[7]掐
x	[7]瞎辖
ŋ	[7]鸭压｛白｝
#iɛʔ	
tɕ	[7]夹｛文｝挟｛文｝甲匣
tɕʰ	[7]恰洽
ɕ	[7]狭峡
Ø	[7]押压｛文｝
#uɛʔ	
ʂ	[7]刷
k	[7]刮
x	[7]猾[8]滑
Ø	[7]挖袜
#əʔ	
p	[7]不
pʰ	[7]卜扑仆瀑朴
m	[7]木目穆牧没
f	[7]佛福幅蝠复覆拂服伏｛埋~｝[8]服｛不~气｝伏｛~天｝
ts	[7]指蛰执汁质卒织职殖植掷只｛量词｝炙足[8]侄直值
tsʰ	[7]秩猝赤斥尺族促
s	[7]续宿涩湿拾虱实失室食｛伙~｝蚀识饰适释速肃粟俗缩[8]十食｛鸡~｝石
t	[7]得德读笃督独[8]毒
tʰ	[7]突忒特秃
n	[7]肋勒鹿禄六陆绿录
ʐ	[7]日
k	[7]疙
x	[7]黑
#iəʔ	
p	[7]笔毕必弼逼碧璧壁[8]鼻
pʰ	[7]僻辟
m	[7]密蜜觅
t	[7]的滴嫡敌[8]笛
tʰ	[7]踢剔
n	[7]立笠粒栗律率｛效~｝力逆历沥
tɕ	[7]藉集辑急级及疾吉即极积迹脊籍绩击激
tɕʰ	[7]缉泣七漆乞讫戚吃
ɕ	[7]习袭吸悉膝息熄媳惜昔席夕锡析隙[8]
Ø	[7]缢揖乙一逸抑翼益亦译液腋
#uəʔ	
k	[7]谷骨
kʰ	[7]哭窟酷
x	[7]忽惚[8]糊｛~涂｝
Ø	[7]物握屋沃
#ʯəʔ	
tʂ	[7]橘浊竹筑逐祝菊掬烛嘱触局[8]轴
tʂʰ	[7]出屈畜曲
ʂ	[7]恤术述叔淑畜｛~牧业｝蓄赎束属[8]熟
Ø	[7]入域疫役肉郁育辱褥狱欲浴
#ɪʔ	
p	[7]泊北百柏伯[8]白
pʰ	[7]拍迫魄
m	[7]墨默陌麦脉
ts	[7]折｛~断｝褶哲蜇辙浙则宅窄责[8]贼摘
tsʰ	[7]厕彻撤侧测拆泽择策册
s	[7]摄涉设瑟塞｛活~｝色啬屑[8]折｛~本｝舌
k	[7]鸽割葛角｛一~钱｝格革隔[8]
kʰ	[7]咳磕渴刻克客
x	[7]吓骇核
ŋ	[7]额扼
#iɪʔ	
p	[7]鳖别｛文｝憋
pʰ	[7]撇
m	[7]灭蔑末沫
t	[7]跌叠蝶谍[8]碟
tʰ	[7]帖贴铁
n	[7]聂镊蹑猎列烈裂孽捏劣
tɕ	[7]接捷劫杰揭节截结洁
tɕʰ	[7]切怯妾
ɕ	[7]胁协薛泄歇雪血穴携
Ø	[7]叶页业噎
#ʯɪʔ	
tʂ	[7]绝厥掘决诀倔
tʂʰ	[7]缺
Ø	[7]热悦阅月越曰粤
#oʔ	
p	[7]薄勃博剥驳钵
pʰ	[7]泼拍
m	[7]莫寞
ts	[7]撮作[8]凿昨
s	[7]索
t	[7]夺铎沰
tʰ	[7]脱托
n	[7]诺落骆洛络乐｛快~｝
tʂ	[7]捉拙着酌桌卓[8]镯
tʂʰ	[7]戳绰
ʂ	[7]说
ʐ	[7]弱若
k	[7]郭各阁搁角国[8]
kʰ	[7]括阔廓扩壳榷
x	[7]喝合｛~计｝豁鹤霍或惑赫获[8]盒活
ŋ	[7]鄂恶
#uoʔ	
Ø	[7]握｛~手｝
#ioʔ	
n	[7]略掠虐
tɕ	[7]爵脚觉
tɕʰ	[7]雀鹊却确
ɕ	[7]削学[8]学｛~手艺｝
Ø	[7]约药钥岳乐｛音~｝
