#符号说明：-白=文/书*俗?待考	
#调值	[1]⁵³⁴[2]³³[3]²¹³[4]⁴²²[6]⁵²[7]²⁴[0]⁰
#ɿ	
pʰ	[1]坡泡{~桐}□{香~：柚子}[2]袍跑{文读}[3]薄缚雹瀑[4]鲍爆炮泡{浸~}[6]薄{~荷}暴抛{扔}刨{木工用具}
m	[1]猫锚[2]魔毛矛[4]卯[6]冒帽[7]貌莫膜寞摸
t	[1]刀叨[3]倒{打~}导[4]到倒{~水}[7]朵{一~花}祷岛拓{淋}
tʰ	[2]驼2舵掏桃逃淘陶萄涛[3]讨[4]滔道稻套□{~tɕiei⁰花：杜鹃花}[6]盗[7]妥托铎踱
l	[2]劳捞牢唠口{ɔ2~：现在}[3]落烙骆酪洛络乐{快~}[4]脑恼老[6]赂闹诺[7]涝□{雹~：冰雹}
ts	[1]遭糟抓{搔}[3]早枣蚤澡爪找[4]灶罩笊[7]作桌卓琢啄
tsʰ	[1]操抄巢剿[3]草钞炒吵浊镯[4]措造躁糙[7]戳龊{龌~：脏} 
s	[1]骚臊皂2梢捎[2]曹槽[3]嫂凿勺[4]所皂1扫{~地}扫{~帚}燥昨[7]索朔缩束煞
k	[1]戈高膏篙羔糕交胶[3]稿犒铰搞[4]告教{~书；~育}校{~钟}较酵窖觉{困~：睡觉}□{~桶：粪桶}[7]搅各阁搁郭廓觉{~悟}角
kʰ	[1]烤敲[3]考[4]颗靠扩[7]确壳酷
x	 [2]禾豪壕毫耗[3]好{~坏}鹤学[4]好{喜~}孝[6]浩号{~码}效校{学~}[7]霍
Ø	[1]坳凹[2]俄熬龌{~龊：脏}□{~lɔ2：现在}[3]卧绞{拧}鄂镬岳[4]袄奥懊[6]傲[7]恶{善~}

#ɯ	
k	[1]勾钩沟阄今{~日}[3]狗苟[4]锯盖够构购
kʰ	[2]渠{他}[3]口[4]去1扣寇
x	[1]□{馋}[2]侯喉猴瘊候{时~}[4]後厚后{皇~}[6]候
	
#iu	
t	[1]兜丢[3]斗{~升}抖[4]鬥
tʰ	[1]偷[2]头投[3]㪗{展开}[4]透[6]豆逗脰
l	[2]楼流刘留榴硫琉馏[4]篓搂柳溜[6]吕旅漏陋
tɕ	[1]鬏邹周州洲鸠纠□{蹲}[3]走酒肘帚九久韭[4]醉奏昼皱绉舟咒灸咎救究柩
tɕʰ	[1]揪秋鳅抽丘□{~猪：母猪}[2]囚泅绸稠筹愁仇{报~}酬求球[3]丑{子~寅卯}醜馗[4]凑纣宙骤臭臼桕舅[6]旧
