#符号说明：-白=文/书*俗?待考	
#调值	[1]²² [2]⁵⁵ [3]³⁵ [5]²¹² [7]⁴² [0]⁰
#ɿ	
tɕ	[7]脚嚼爵觉{知~}
tɕʰ	[7]却雀鹊确{文}
ȵ	[7]略弱岳虐疟箬
ɕ	[7]削学
Ø	[7]乐{音~}约药钥跃

#uo	
k	[1]歌哥戈锅[3]果裹馃[5]个过[7]鸽割葛各阁搁胳郭廓角佮
kʰ	[1]科窠棵颗[3]可裸{~体}[5]课[7]磕渴扩确{白}壳摧阔
ŋ	[2]蛾鹅俄讹[3]我[5]卧[7]鄂恶{~人}
x	[2]河何荷和{~气；~面}禾[3]火夥[5]贺货祸[7]喝鹤霍藿郝合蛤盒豁活域{又}或{文}惑{文}
Ø	[1]阿{~胶}窝蜗莴屙[5]饿

#ei	
p	[1]杯碑卑俾婢悲[5]倍背{~后；~诵}辈焙被臂避蔽敝弊币毙贝
pʰ	[1]胚坯[2]培陪赔裴[5]配佩沛□{木匠在加工木头时砍下来的碎木块}
m	[2]眉霉楣梅枚媒煤[3]每美[5]妹昧媚寐
f	[1]灰麾非飞妃挥辉徽恢[2]回茴肥[3]毁匪榧翡[5]贿悔汇晦会绘秽痱费讳废肺吠惠慧
t	[1]堆[5]对队兑碓
tʰ	[1]推梯[3]腿[5]退蜕褪煺
n	[2]雷[3]蕊累{积~}儡垒屡缕[5]芮内类泪累{劳~}
ts	[3]嘴[5]最罪醉
tsʰ	[1]催崔[5]脆粹翠□{打~：打喷嚏}
s	[1]尿{撒~：小便}[2]随[5]碎岁

#uei	
ts	[1]追锥[5]赘坠
tsʰ	[1]吹炊[2]槌锤
s	[2]垂谁[5]睡瑞隧穗
z	[5]锐
k	[1]规圭闺龟归[3]傀刽诡轨鬼癸[5]鱖桂跪柜贵
kʰ	[1]盔魁亏[2]奎逵葵[5]溃窥愧
Ø	[1]煨威[2]桅为{作~，~什么}维惟唯微违围苇危[3]萎{气~}委喂尾伟纬[5]卫伪位未味魏畏慰胃谓猬

#yei	
ʃ	[3]水[5]税

#əu	
pʰ	[3]剖
m	[2]谋[3]某牡[5]茂贸
f	[3]否
t	[1]兜[3]斗{一~米}抖陡[5]斗{战~}豆逗鬥痘
tʰ	[1]偷投[2]头[3]□{打开，展开}[5]透
n	[2]楼搂[3]篓[5]漏陋
ts	[1]邹周洲州舟[3]走肘帚[5]奏纣昼宙皱绉骤咒
tsʰ	[1]抽[2]绸稠筹愁仇酬售瞅[3]丑[5]凑臭
s	[1]搜馊飕收[3]叟手首守[5]瘦受兽售{又}寿授
z	[2]柔
k	[1]勾沟钩阄[3]狗苟[5]够构购彀
kʰ	[1]抠[3]口[5]扣寇叩
ŋ	[1]欧呕殴[3]偶藕扭纽[5]怄
x	[2]侯喉猴瘊[3]吼[5]后{太~；~来}後厚候

#ɔu	
p	[1]褒包胞[3]保堡宝饱[5]抱报暴鲍豹刨{~子}爆雹
pʰ	[1]抛[2]袍跑刨{~地}□{凸}[5]泡炮
m	[2]毛矛锚嫲[3]茅卯[5]冒帽貌
t	[1]刀叨{唠~}[3]祷岛倒{打~}[5]道稻到倒{~水}盗
tʰ	[1]滔掏叨{~扰}涛[2]桃逃淘陶萄[3]讨[5]套导
n	[1]捞孬[2]挠劳牢唠痨[3]脑恼老佬[5]涝闹
ts	[1]遭糟召昭招沼朝{今~}[3]早枣蚤澡爪笊[5]灶皂赵兆照诏
tsʰ	[1]操抄超[2]曹槽巢朝{~代}潮[3]草钞炒吵[5]造躁糙
s	[1]骚臊梢捎烧稍□{歇~：歇气}筲[2]韶{~关}[3]扫{~地}嫂少{多~}[5]扫{~帚}绍少{~年}邵嗽
z	[3]扰绕{围~}
k	[1]高膏篙羔糕铰{白}[3]稿搞[5]告觉{睡~}窖珓
kʰ	[1]敲[3]考烤[5]靠犒
ŋ	[1]吆{白}幺{白，~二三}[2]熬鏊鳌[3]袄咬[5]傲懊奥坳幻
x	[1]蒿薅[2]豪壕毫号{呼~}[3]好{~坏}[5]浩好{喜~}耗号{~数}

#iɔu	
p	[1]膘标彪瞟[3]表
pʰ	[1]飘[2]瓢嫖[3]漂{~流}鳔[5]票漂{~亮}
m	[1]猫[2]描苗锚[3]藐渺秒杳[5]庙妙
t	[1]刁貂雕[3]屌[5]钓吊掉调{~动}
