汉字	拼音	IPA	注释		声调	调值	编号
蝦	ha2	ha24	文				
嚇	ha5	ha41					
霞	he2	he24	白				
霞	ha2	ha24	文				
遐	ha2	ha24					
瑕	ha2	ha24					
下	e4	e22	白，顶下				
下	ke4	ke22	白，低				
下	ha4	ha22	文				
下	e6	e41	白				
下	he6	he41	白，下决心				
下	khe6	kʰe41	白				
下	ha6	ha41	文				
夏	ha4	ha22	夏朝				
夏	he6	he41	白				
夏	ha6	ha41	文				
廈	e4	e22					
廈	ha4	ha22	旧				
廈	sa5	sa41	旧				
廈	ha6	ha41					
暇	ha6	ha41					
丫	a1	a33					
鴉	a1	a33					
啞	ah7	aʔ5	俗，哑铃				
啞	e3	e55	白				
啞	a3	a55	文				
亞	a1	a33	俗				
亞	a5	a41					
嗟	tsia1	tsia33					
姐	tsia3	tsia55					
借	tsioh7	tsioʔ5	白				
借	tsiak7	tsiak5	文，借入				
借	tsia5	tsia41	文，借出				
且	tshiann3	tsʰiã55					
藉	tsia6	tsia41					
些	sia1	sia33					
寫	sia3	sia55					
瀉	sia5	sia41					
卸	sia5	sia41					
邪	sia2	sia24					
邪	ia2	ia24					
斜	tshia2	tsʰia24					
謝	sia6	sia41					
爹	tia1	tia33					
遮	tsia1	tsia33					
者	tsia3	tsia55					
蔗	tsia5	tsia41					
車	tshia1	tsʰia33					
車	kir1	kɯ33					
扯	tshe3	tsʰe55	白				
扯	tshia3	tsʰia55	文				
蛇	tsua2	tsua24	白				
蛇	sia2	sia24	文				
射	sia6	sia41					
射	iak6	iak41	又				
射	siak6	siak41	又				
奢	tshia1	tsʰia33					
賒	sia1	sia33					
捨	sia3	sia55	旧				
捨	sia5	sia41					
赦	sia5	sia41					
舍	sia5	sia41					
社	sia4	sia22					
惹	lia3	lia55					
耶	ia2	ia24					
椰	ia2	ia24					
爺	ia2	ia24					
冶	ia3	ia55					
也	ia3	ia55					
野	ia3	ia55					
夜	ia6	ia41					
耍	sua3	sua55					
瓜	kue1	kue33	白				
瓜	kua1	kua33	文				
蝸	kua1	kua33					
寡	kua3	kua55					
寡	khua3	kʰua55	又				
垮	khua1	kʰua33					
跨	khua5	kʰua41	旧				
跨	khua1	kʰua33					
娃	ua1	ua33					
瓦	hia4	hia22	白				
瓦	hua4	hua22	白				
瓦	ua3	ua55	文				
瓦	gua6	ᵑɡua41	旧				
瓦	ua6	ua41					
花	hue1	hue33	白				
花	hua1	hua33	文				
化	hue5	hue41	白				
化	hua5	hua41	文				
華	hua2	hua24					
蛙	ua1	ua33					
洼	ua1	ua33					
補	poo3	pɔ55					
譜	phoo3	pʰɔ55					
布	poo5	pɔ41					
佈	poo5	pɔ41					
鋪	phoo1	pʰɔ33					
普	phoo3	pʰɔ55					
浦	phoo3	pʰɔ55					
鋪	phoo5	pʰɔ41					
怖	poo5	pɔ41					
菩	phoo2	pʰɔ24					
蒲	poo2	pɔ24					
脯	poo3	pɔ55	白				
脯	hu3	hu55	文				
部	poo4	pɔ22					
簿	phoo4	pʰɔ22					
步	poo6	pɔ41					
埠	poo1	pɔ33					
捕	poo6	pɔ41					
模	boo2	ᵐbɔ24					
暮	boo6	ᵐbɔ41					
墓	boo6	ᵐbɔ41					
募	boo6	ᵐbɔ41					
慕	boo6	ᵐbɔ41					
都	too1	tɔ33					
堵	too3	tɔ55					
賭	too3	tɔ55					
肚	too3	tɔ55	腹肚				
肚	too4	tɔ22	猪肚				
妒	too5	tɔ41					
蠹	too5	tɔ41					
土	thoo3	tʰɔ55					
吐	thoo3	tʰɔ55					
吐	thoo5	tʰɔ41					
兔	thoo5	tʰɔ41					
途	too2	tɔ24					
屠	too2	tɔ24					
圖	too2	tɔ24					
徒	too2	tɔ24					
杜	too4	tɔ22					
度	thoo6	tʰɔ41	俗，给予				
度	too6	tɔ41					
渡	too6	tɔ41					
鍍	too6	tɔ41					
奴	loo2	lɔ24					
努	loo4	lɔ22					
怒	loo6	lɔ41					
盧	loo2	lɔ24					
爐	loo2	lɔ24					
鹵	loo4	lɔ22	白				
鹵	loo3	lɔ55	文				
魯	loo3	lɔ55					
櫓	loo3	lɔ55					
虜	loo3	lɔ55					
露	loo6	lɔ41					
路	loo6	lɔ41					
賂	loo6	lɔ41					
租	tsoo1	tsɔ33					
祖	tsoo3	tsɔ55					
組	tsoo3	tsɔ55					
做	tsue5	tsue41	俗				
做	tso5	tso41	白				
做	tsoo5	tsɔ41	文				
粗	tshoo1	tsʰɔ33					
醋	tshoo5	tsʰɔ41					
錯	tsho5	tsʰo41	白				
錯	tshoo5	tsʰɔ41	文				
措	tsho5	tsʰo41	白				
措	tshoo5	tsʰɔ41	文				
厝	tshu5	tsʰu41					
厝	tshook7	tsʰɔk5	安置				
蘇	soo1	sɔ33					
酥	soo1	sɔ33					
素	soo5	sɔ41					
嗉	soo5	sɔ41					
塑	sook7	sɔk5					
訴	soo5	sɔ41					
辜	koo1	kɔ33					
孤	koo1	kɔ33					
箍	khoo1	kʰɔ33	白				
箍	koo1	kɔ33	文				
姑	koo1	kɔ33					
估	koo3	kɔ55					
古	koo3	kɔ55					
賈	koo3	kɔ55					
股	koo3	kɔ55					
鼓	koo3	kɔ55					
蠱	koo3	kɔ55					
故	koo5	kɔ41					
顧	koo5	kɔ41					
固	koo5	kɔ41					
雇	koo5	kɔ41					
枯	khoo1	kʰɔ33					
苦	khoo3	kʰɔ55					
庫	khoo5	kʰɔ41					
褲	khoo5	kʰɔ41					
梧	goo2	ᵑɡɔ24					
吾	goo2	ᵑɡɔ24					
吳	goo2	ᵑɡɔ24					
五	goo4	ᵑɡɔ22	白				
五	goo3	ᵑɡɔ55	文				
午	goo3	ᵑɡɔ55					
伍	goo3	ᵑɡɔ55					
悟	goo6	ᵑɡɔ41					
誤	goo6	ᵑɡɔ41					
呼	khoo1	kʰɔ33	白				
呼	hoo1	hɔ33	文				
虎	hoo3	hɔ55					
滸	hoo3	hɔ55					
戽	hoo5	hɔ41					
乎	hoo1	hɔ33					
壺	oo2	ɔ24	白				
壺	hoo2	hɔ24	文				
瓠	hoo6	hɔ41					
胡	oo2	ɔ24	白				
胡	hoo2	hɔ24	文				
狐	hoo2	hɔ24					
湖	oo2	ɔ24	白				
湖	hoo2	hɔ24	文				
戶	hoo4	hɔ22					
滬	hoo4	hɔ22					
互	hoo6	hɔ41					
護	oo5	ɔ41	俗				
護	hoo6	hɔ41					
烏	oo1	ɔ33					
污	u5	u41					
污	oo1	ɔ33	又				
塢	oo3	ɔ55					
惡	oo5	ɔ41					
女	lir3	lɯ55					
女	lu3	lu55	又				
廬	lir2	lɯ24	旧				
廬	loo2	lɔ24					
驢	lir2	lɯ24					
呂	lir4	lɯ22					
侶	lir4	lɯ22					
旅	lir3	lɯ55					
慮	lir6	lɯ41					
濾	lir6	lɯ41					
蛆	tshir1	tsʰɯ33					
疽	tshir1	tsʰɯ33					
疽	tsir1	tsɯ33	又				
胥	su1	su33					
絮	sir5	sɯ41					
徐	tshir2	tsʰɯ24	白，姓氏				
徐	sir2	sɯ24	文				
序	sir4	sɯ22					
緒	sir4	sɯ22					
叙	sir4	sɯ22					
豬	tir1	tɯ33					
著	tir5	tɯ41					
褚	thir3	tʰɯ55					
除	tir2	tɯ24					
除	thir2	tʰɯ24	又				
儲	tir2	tɯ24	旧				
儲	thir3	tʰɯ55					
苧	tue4	tue22	白				
苧	tir4	tɯ22	文				
箸	tir6	tɯ41					
阻	tsoo3	tsɔ55					
初	tshue1	tsʰue33	白				
初	tshoo1	tsʰɔ33	文				
楚	tshoo3	tsʰɔ55					
鋤	thir2	tʰɯ24	俗				
鋤	tir2	tɯ24	白				
鋤	tshoo1	tsʰɔ33	文				
疏	sue1	sue33	白				
疏	soo1	sɔ33	文				
蔬	sue1	sue33	白				
蔬	soo1	sɔ33	文				
梳	sue1	sue33	白				
梳	soo1	sɔ33	文				
所	soo3	sɔ55					
諸	tsir1	tsɯ33					
煮	tsir3	tsɯ55					
處	ter5	tə41	俗				
處	tshir3	tsʰɯ55					
處	tshir5	tsʰɯ41					
書	tsir1	tsɯ33	白				
書	sir1	sɯ33	文				
舒	tshir1	tsʰɯ33	白，铺开				
舒	sir1	sɯ33	文				
鼠	tshir3	tsʰɯ55	白				
鼠	sir3	sɯ55	文				
暑	sir3	sɯ55					
黍	sue3	sue55	白				
黍	sir3	sɯ55	文				
庶	sir5	sɯ41					
恕	sir5	sɯ41					
墅	su6	su41	旧				
墅	su3	su55					
薯	tsir2	tsɯ24					
署	su6	su41	旧				
署	su3	su55					
如	lir2	lɯ24					
如	lu2	lu24	又				
汝	lir3	lɯ55					
居	kir1	kɯ33					
車	kir1	kɯ33					
舉	kir3	kɯ55					
鋸	kir5	kɯ41					
據	kir5	kɯ41					
墟	hir1	hɯ33					
去	khir5	kʰɯ41					
渠	kir2	kɯ24					
巨	kir4	kɯ22					
距	kir4	kɯ22					
拒	kir4	kɯ22					
遽	kir6	kɯ41					
魚	hir2	hɯ24	白				
魚	gir2	ᵑɡɯ24	文				
漁	hir2	hɯ24	白				
漁	gir2	ᵑɡɯ24	文				
語	gir3	ᵑɡɯ55					
御	gir6	ᵑɡɯ41					
禦	gir6	ᵑɡɯ41					
虛	hir1	hɯ33					
噓	hir1	hɯ33					
許	khoo3	kʰɔ55	白				
許	hir3	hɯ55	文				
淤	ir1	ɯ33					
於	ir1	ɯ33					
余	ir2	ɯ24					
餘	ir2	ɯ24					
與	ir3	ɯ55					
譽	ir2	ɯ24	称誉				
譽	ir6	ɯ41	名誉				
預	ir6	ɯ41					
豫	ir6	ɯ41					
夫	poo1	pɔ33	白				
夫	hu1	hu33	文				
夫	hu2	hu24					
膚	hu1	hu33					
甫	hu3	hu55					
斧	poo3	pɔ55	白				
斧	hu3	hu55	文				
府	hu3	hu55					
腑	hu3	hu55					
俯	hu3	hu55					
賦	hu5	hu41					
傅	poo5	pɔ41	白				
傅	hu5	hu41	文				
付	hu5	hu41					
敷	hu1	hu33					
俘	hu1	hu33					
撫	hu3	hu55					
赴	hu5	hu41					
訃	hu6	hu41					
符	hu2	hu24					
扶	phoo2	pʰɔ24					
扶	hu2	hu24					
釜	hu3	hu55					
腐	hu6	hu41					
腐	hu3	hu55	又				
輔	hu6	hu41					
輔	hu3	hu55	又				
父	pe4	pe22					
父	hu4	hu22					
附	hu6	hu41	旧				
附	hu5	hu41					
毋	bu2	ᵐbu24					
毋	m6	m41	又				
巫	bu2	ᵐbu24					
誣	bu2	ᵐbu24					
無	bo2	ᵐbo24					
無	bu2	ᵐbu24					
舞	boo4	ᵐbɔ22					
舞	bu3	ᵐbu55					
侮	bu3	ᵐbu55					
武	bu3	ᵐbu55					
鵡	bu3	ᵐbu55					
霧	bu6	ᵐbu41					
務	bu6	ᵐbu41					
縷	lu3	lu55					
縷	lio3	lio55	又				
屢	lu3	lu55					
趨	tshu1	tsʰu33					
取	tshiu3	tsʰiu55	白				
取	tshu3	tsʰu55	文				
娶	tshua6	tsʰua41	俗				
娶	tshu5	tsʰu41					
娶	tshu3	tsʰu55	又				
趣	tshu5	tsʰu41					
聚	tsu4	tsu22					
需	su1	su33					
須	tshiu1	tsʰiu33	白				
須	su1	su33	文				
鎢	oo1	ɔ33					
續	sua5	sua41					
蛛	tu1	tu33					
株	tu1	tu33					
誅	tu1	tu33					
駐	tsu5	tsu41					
注	tu5	tu41	白				
注	tsu5	tsu41	文				
厨	too2	tɔ24	白				
厨	tu2	tu24	文				
柱	thiau4	tʰiau22	白				
柱	tsu4	tsu22	文				
住	tiu6	tiu41	白				
住	tsu6	tsu41	文				
芻	tshoo1	tsʰɔ33					
雛	tsoo1	tsɔ33					
數	soo5	sɔ41	白				
數	siau5	siau41	文				
數	sook7	sɔk5					
珠	tsiu1	tsiu33	白				
珠	tsu1	tsu33	文				
朱	tsu1	tsu33					
主	tsu3	tsu55					
注	tu5	tu41	白				
注	tsu5	tsu41	文				
鑄	tsu5	tsu41					
樞	tshu1	tsʰu33					
輸	su1	su33					
戍	su5	su41					
殊	su2	su24					
豎	su6	su41					
樹	tshiu6	tsʰiu41	白				
樹	su6	su41	文				
儒	lu2	lu24					
乳	lu3	lu55					
拘	ku1	ku33					
駒	ku1	ku33					
俱	ku1	ku33					
矩	kir3	kɯ55					
句	ku5	ku41					
區	khu1	kʰu33					
驅	khu1	kʰu33					
瞿	khu2	kʰu24					
具	ku6	ku41					
懼	khu6	kʰu41					
虞	gu2	ᵑɡu24					
愚	gu2	ᵑɡu24					
娛	gu2	ᵑɡu24					
遇	gu6	ᵑɡu41					
寓	gu6	ᵑɡu41					
吁	u1	u33					
籲	lu6	lu41					
迂	u1	u33					
于	u1	u33					
盂	oo2	ɔ24	白				
盂	u2	u24	文				
雨	hoo4	hɔ22	白				
雨	u3	u55	文				
禹	u3	u55					
宇	u3	u55					
羽	u3	u55					
芋	oo6	ɔ41	白				
芋	u6	u41	文				
逾	lu2	lu24					
榆	lu2	lu24					
愉	lu2	lu24					
愈	lu3	lu55					
喻	lu6	lu41					
裕	lu6	lu41					
獃	gai2	ᵑɡai24					
戴	ti5	ti41	白				
戴	ter5	tə41	白，姓氏				
戴	tai5	tai41	文				
胎	ther1	tʰə33	白				
胎	thai1	tʰai33	文				
台	thai1	tʰai33					
台	i2	i24					
態	thai5	tʰai41					
貸	tai5	tai41					
臺	tai2	tai24					
苔	thai2	tʰai24	白				
苔	thi2	tʰi24	文				
抬	tai2	tai24					
殆	tai4	tai22					
待	thai4	tʰai22					
怠	tai4	tai22					
代	ter6	tə41	白				
代	tai6	tai41	文				
袋	ter6	tə41	白				
袋	tai6	tai41	文				
乃	nai3	nai55					
耐	lai6	lai41	旧				
耐	nai6	nai41					
來	lai2	lai24					
災	tser1	tsə33	白				
災	tsai1	tsai33	文				
栽	tsai1	tsai33					
宰	tsai3	tsai55					
載	tsai5	tsai41					
再	tsai5	tsai41					
載	tsai5	tsai41					
猜	tshai1	tsʰai33					
采	tshai3	tsʰai55					
睬	tshai3	tsʰai55					
彩	tshai3	tsʰai55					
菜	tshai5	tsʰai41					
裁	tshai2	tsʰai24					
材	tsai2	tsai24					
材	tshai2	tsʰai24	又				
才	tsai2	tsai24					
纔	tshai2	tsʰai24					
財	tsai2	tsai24					
在	tsai4	tsai22					
在	tir4	tɯ22	俗				
腮	sai1	sai33					
賽	ser5	sə41	白				
賽	sai5	sai41	文				
該	kai1	kai33					
改	kue3	kue55	白				
改	kai3	kai55	文				
溉	khai5	kʰai41					
概	khai5	kʰai41					
開	khui1	kʰui33	白				
開	khai1	kʰai33	文				
凱	khai3	kʰai55					
愷	khai3	kʰai55					
慨	khai5	kʰai41					
呆	tai1	tai33					
礙	gai6	ᵑɡai41					
海	hai3	hai55					
孩	hai2	hai24					
亥	hai4	hai22					
哀	ai1	ai33					
埃	ia1	ia33	白				
埃	ai1	ai33	文				
唉	ai1	ai33					
愛	ai5	ai41					
貝	pue5	pue41	旧				
貝	pue6	pue41					
沛	phai5	pʰai41					
帶	tua5	tua41	白				
帶	tai5	tai41	文				
泰	thua5	tʰua41	白				
泰	thai5	tʰai41	文				
太	thai5	tʰai41					
大	tua6	tua41	白				
大	tai6	tai41	文				
奈	lai6	lai41	旧				
奈	nai6	nai41					
賴	lua6	lua41	白				
賴	lai6	lai41	文				
賴	nai6	nai41	文				
癩	lai6	lai41					
蔡	tshua5	tsʰua41	白				
蔡	tshai5	tsʰai41	文				
蓋	kua5	kua41	白				
蓋	kai5	kai41	文				
蓋	kah7	kaʔ5					
蓋	khap7	kʰap5					
丐	kai5	kai41					
艾	hiann6	hiã41	白				
艾	gai6	ᵑɡai41	文				
害	hai6	hai41					
藹	ai5	ai41					
靄	ai5	ai41					
拜	pai5	pai41					
排	pai2	pai24					
埋	bai2	ᵐbai24					
埋	tai2	tai24	训				
齋	tsai1	tsai33					
豺	se2	se24	白				
豺	tshai2	tsʰai24	文				
皆	kai1	kai33					
偕	kai1	kai33					
稭	kiat7	kiat5					
街	ke1	ke33	白				
街	kue1	kue33	白				
街	kai1	kai33	文				
階	kai1	kai33					
戒	kai5	kai41					
芥	kua5	kua41	白				
芥	kai5	kai41	文				
尬	kai5	kai41					
界	kue5	kue41	白				
界	kai5	kai41	文				
介	kai5	kai41					
疥	kue5	kue41	白				
疥	kai5	kai41	文				
届	kai5	kai41					
揩	khue1	kʰue33	白				
揩	khai1	kʰai33	文				
楷	khai3	kʰai55					
諧	hai2	hai24					
駭	hai4	hai22					
械	hai2	hai24					
械	hai4	hai22	旧				
械	hai6	hai41	旧				
挨	ue1	ue33	白				
挨	ai1	ai33	文				
挨	gai2	ᵑɡai24					
擺	pai3	pai55					
派	phai5	pʰai41					
牌	pai2	pai24					
罷	pa4	pa22					
稗	phue6	pʰue41	白				
稗	pai6	pai41	文				
買	bue3	ᵐbue55	白				
買	mai3	mai55	文				
賣	bue6	ᵐbue41	白				
賣	mai6	mai41	文				
奶	lue3	lue55	白				
奶	nai3	nai55	文				
奶	ni1	ni33					
奶	lin1	lin33					
債	tse5	tse41	白				
債	tsai5	tsai41	文				
釵	thue1	tʰue33	白				
釵	tshai1	tsʰai33	文				
差	tshe1	tsʰe33	白				
差	tshai1	tsʰai33	文				
差	tshai5	tsʰai41					
柴	tsha2	tsʰa24	俗				
柴	tshai2	tsʰai24					
篩	thai1	tʰai33	白				
篩	sai1	sai33	文				
曬	sai5	sai41					
佳	ka1	ka33					
解	e4	e22					
解	ue4	ue22	又				
解	kue3	kue55	白				
解	kai3	kai55	文				
解	kue5	kue41	白				
解	kai5	kai41	文				
涯	gai2	ᵑɡai24					
崖	gai2	ᵑɡai24					
鞋	ue2	ue24	白				
鞋	hai2	hai24	文				
蟹	hue4	hue22	白				
蟹	hai4	hai22	文				
懈	kai5	kai41					
矮	ue3	ue55	白				
矮	ai3	ai55	文				
隘	ai5	ai41					
敗	pai6	pai41					
邁	mai6	mai41					
寨	tse6	tse41	白				
寨	tsai6	tsai41	文				
蔽	pe5	pe41					
斃	pe6	pe41					
敝	pe6	pe41					
幣	pe6	pe41					
弊	pe6	pe41					
厲	le6	le41					
勵	le6	le41					
例	le6	le41					
祭	tse5	tse41					
際	tse5	tse41					
穄	tse5	tse41					
滯	ti6	ti41					
制	tse5	tse41					
製	tse5	tse41					
勢	se5	se41					
世	si5	si41	白				
世	se5	se41	文				
誓	tsua6	tsua41	白				
誓	se6	se41	文				
逝	se6	se41					
藝	gue6	ᵑɡue41	白				
藝	ge6	ᵑɡe41	文				
閉	pi5	pi41					
批	phue1	pʰue33	白				
批	phi1	pʰi33	文				
陛	pe4	pe22					
迷	be2	ᵐbe24					
米	bi3	ᵐbi55					
謎	be6	ᵐbe41	旧				
謎	be2	ᵐbe24					
堤	te1	te33					
低	te1	te33					
底	tue3	tue55	白				
底	ti3	ti55	文				
抵	te3	te55	旧				
抵	ti3	ti55					
帝	te5	te41					
梯	thui1	tʰui33	白				
梯	the1	tʰe33	文				
體	thue3	tʰue55	白				
體	the3	tʰe55	文				
替	thue5	tʰue41	白				
替	the5	tʰe41	文				
涕	the5	tʰe41					
剃	thue1	tʰue33	白				
剃	the5	tʰe41	文				
提	the2	tʰe24					
提	thueh8	tʰueʔ35	训				
題	tue2	tue24	白				
題	te2	te24	文				
蹄	tue2	tue24	白				
蹄	te2	te24	文				
啼	thi2	tʰi24	白				
啼	the2	tʰe24	文				
弟	ti2	ti24	俗				
弟	ti4	ti22	白				
弟	te4	te22	文				
第	tue6	tue41	白				
第	te6	te41	文				
遞	tue6	tue41	白				
遞	te6	te41	文				
泥	li2	li24	白				
泥	le2	le24	文				
泥	ni2	ni24	文				
泥	lit7	lit5	拘泥				
犁	lue2	lue24	白				
犁	le2	le24	文				
黎	le2	le24					
禮	le3	le55					
