#符号说明：-白=文/书*俗?待考		连读降调	[1b]⁵³
#调值		连读升调	[3b]²⁴
#ɿ	[1]⁵³[2]³³[3]²¹⁴[5]⁴⁴[7a]⁵⁵[7b]⁵[8]¹²[0]⁰	连读高调	[5b]⁴⁴
Ø	[2]行{银~}杭1{~州}黄1{~色}皇1王1{阎龙~}[3]枉		

#yɯ̞			
tɕ	[1]桩1[5]壮1		
tɕʰ	[5]撞2闯{~祸}		
ɕ	[1]双1{~生}舂1		

#iɪ			
p	[2]便{~宜}[3]扁匾[5]变		
pʰ	[5]篇骗便{方~}		
b	[3]辩辫		
m	[2]棉[3]免□{~死：“撚”义}[8b]蔑{~匠}		
t	[3]垫		
tʰ	[1]天[5]殿		
l	[2]莲恋[5]练楝		
ts	[3]剪		
tsʰ	[1]迁[3]浅1		
s	[1]先[3]癣		
tɕ	[1]皆阶1{~级}毽[2]全2{安~}泉{玉~寺：地名}[3]减健茧{蚕~；老~}[5]介械[5b]解{~放军}简{~单}		
tɕʰ	[3]浅2		
ȵ	[1]研[2]年[3]碾		
ɕ	[2]前全1{东西~了}[3]限鲜[5]显[5b]选{~代表}		
Ø	[2]贤[3]演[5]燕		

#ue			
ts	[1]追		
tsʰ	[5]脆翠		
s	[2]随[5]税虽隧		
k	[1]规[3]龟轨逵鬼[5]会{~计}桂诡贵[3b]葵{~花子}		
g	[3]跪		

#yɪ			
tɕ	[1]专砖捐[2]拳权传{动}[3]卷转[3b]传{水浒~}		
tɕʰ	[1]川穿2圈[5]串劝券		
ȵ	[2]原源[3]软月[5]愿[3b]援{支~}		
ɕ	[1]靴闩宣1楦[3]舌[7a]血		
Ø	[1]冤[2]船2圆缘丸[3]远[5]怨[3b]院园{花~}		

#ᴇ			
p	[1]□{动词，簸一簸}杯碑悲[2]培陪赔[5]贝辈背{名}		
pʰ	[1]坯{讨饭~；土~}[5]配倍佩背{~书}焙{~燥}		
m	[2]第枚{一~金戒指}媒煤[3]每[5]妹美		
t	[1]堆端[2]台{~州}臺{~湾}抬潭团{汤~}[3]代2队短[5]对兑{~水}		
tʰ	[1]胎梯1{楼~，老}推贪[3]腿[5]贷代1态袋退段缎褪		
d	[3]待怠断		
n	[2]南男[3]暖[5]内[3b]耐{~心}		
l	[2]来雷[5]赖乱		
ts	[1]灾簪钻{动}[2]才{天~}材财纔{刚~}[3]在[5]者宰再载{~货}钻{~头}		
tsʰ	[1]猜斋催[3]彩睬{理~}[5]菜蔡		
s	[1]腮鳃{鱼牙鳃：鱼鳃}酸[2]才{~子}裁蚕{~豆}[3]社罪碎[5]赛算		
k	[1]该甘尴干肝乾{李子~}[3]改敢杆赶[5]概盖[3b]竿{竹~}幹{~部}		
kʰ	[1]开亏[5]看{~牢；~见}		
g	[3]徛{“站”义}		
x	[2]寒[3]海早[5]害汉汗焊		
ŋ	[2]呆{~子}[5]岸		
Ø	[5]爱安		

#uᴇ			
k	[1]归[8b]溃{~疡}		
kʰ	[1]魁奎[5]块柜{~台}[3b]魁{五~经}		
x	[1]盔恢灰挥辉徽{~州}[3]毁[5]悔[3b]晦{~气}		
Ø	[2]桅回{一~事体}茴危为{作~}威围[3]魏[5]汇{~款}会{开~}会{弗~：不会}绘惠委为{~啥里：为什么}位伟{~大}慰胃谓[3b]卫{~生}		

#ɔ			
p	[1]包[3]保宝饱[2]袍[5]报暴豹[5b]胞{同~}		
pʰ	[1]波{~浪}抛[5]炮泡{起~}刨{名词}		
b	[3]抱鲍		
m	[1]猫[2]模{~范}毛茅锚矛[3]卯[5]冒帽貌		
t	[1]刀[2]桃逃淘陶萄涛[3]岛倒{打~}盗[5]到[3b]倒{~水}[5b]祷{~告}		
tʰ	[3]讨[5]套		
d	[3]道稻		
n	[5]闹[5b]脑{~筋}		
l	[2]萝劳捞牢[3]老		
ts	[1]抓{~痒}招[3]早枣赵[5]灶罩笊召照[0]蚤{虼~}		
tsʰ	[1]操抄超[3]草炒[5]糙{~米}钞{~票}		
s	[1]骚臊[2]槽[3]造扫{动词}绍{~兴}邵[5]躁燥[5b]皂{肥~}嫂{~~sɔ²¹sɔ⁴⁴}		
k	[1]高膏稿羔{羊~美酒：山珍海味}糕[5]告教{~书；~侬：教你}窖觉{睏~}[5b]稿{草~}		
kʰ	[3]考敲[5]靠		
x	[2]毫{~毛}[3]好{形容词}袄[5]耗{消~}号{名词}		
ŋ	[2]熬[5]傲{骄~}[8b]拗{一燥：拧下}		
Ø	[5]奥{~运会}懊{~悔}坳2{山~}		

#iɔ			
p	[1]标彪[2]瓢嫖[3]表{手~}[5b]表{~扬}		
pʰ	[1]飘[3]漂{~千净}[5]票漂{~亮}		
m	[2]苗描[3]秒[5]庙		
t	[1]刁[3]调{音~；~动}[5]钓吊[1b]调{~皮}[5b]鸟{~儿}		
tʰ	[1]挑[2]条调[5]跳掉		
l	[2]疗撩□{~头：梳头}[23]了{~结}[5]料		
s	[5]笑1		
tɕ	[1]交胶焦朝{今~}骄娇浇[2]朝{~代}潮桥养[3]侥着{~火}[5]教{~育局}较轿叫[7a]脚[1b]缴{上~}[3b]蕉{香~}[5]饺{~儿}		
tɕʰ	[1]□{“瘸”义}锹缲[3]巧[5]俏[8b]□{~起来：挽起来}		
ȵ	[2]饶{讨~}[5]绕{~线}		
