#符号说明：-白=文/书*俗?待考	
#调值	［1］35［2］314［3］42［5］11［6］13
#ɿ	
ʨʰ [1]砌切七漆戚柒{大~：字牌数字}[2]□{夹。~到：夹着}[3]且□{~子：钹}[5]及极集疾杰绝去=	
ȵ [1]捏孽聂逆业-日-{~子}□{死~：顽皮}[5]热-	
ɕ [1]些歇雪卸屑泻泄息-{利～}熄媳惜悉昔析吸-{呼~}业=[2]谐协{~和}[3]写=[5]谢={~~}习-{学~}□{~sɛ11：迅速、利索}	
k [1]戈格革隔阁□{着急}[2]蛤-{~蟆}[5]锯□{副词，很。~浓：很浓；~涩：粗糙}	
kʰ [1]克客=刻[5]去-{~年}	
ŋ [1]额{~外}	
Ǿ [1]噎液咽揖译入一乙易={贸~}□{凹下去，~谷，~下去}[2]椰爷=□{脏，阿~：作小孩语}[3]□{~~：羞羞脸，作小孩语}[5]叶页掖翼{~巴：翅膀}热=	
#uɛ	
k [1]国骨={~伤科}	
h [1]豁获忽-{~间闪：忽然}[5]活	
Ǿ [5]核={苹果~，梨~}	
#yɛ	
k [1]决蕨	
kʰ [1]缺{~子：缺口}出[5]抈{~脱：折断}	
Ǿ [1]越曰粤悦阅物□{用竹子编织。~篮子，~盘子}	
#ai	
p [1]班斑扳扮掰□{~子：跛子}[3]摆版板[5]拜{~年；~倒：摔倒}	
pʰ [1]拍潘攀□{背。}[2]排牌[3]派{名词。~势：派头}□{~起：：翘起}[5]派{动词。~谴}[6]败办	
m [1]蛮-{副词，很。~长：很长}馒{吃~~：吃饭，作小孩语}[2]埋蛮={霸~}[3]□{对儿女的昵称，作小孩语。~崽，~~}[5]买慢=卖=[6]卖-慢-馒{~头}□{体垢}	
f [1]翻帆幡{球笼~：出殡送葬时打的纸花，别于花圈}[2]繁烦凡樊[3]反返[5]贩泛范=[6]犯饭-范-	
t [1]呆待单丹耽担{动词}[3]歹胆掸疸{黄~性肝炎}[5]带胆旦蛋石{一～谷}担{名词}	
tʰ [1]猜差钗参掺餐[2]柴豺残惭痰[3]踩惨产铲坦=[5]太泰灿□{抵住，~到门；又名词，用以抵住的木条}[6]暂寨-{广寒~：地名}錾{~子：凿子}	
n [1]奶-{乳房，乳汁}[2]男南楠难{形容词}[3]乃奶{~粉}顉{点头}[5]哪-{~里}[6]耐奈难{名词}柰{~梨}	
l [1]篮-{～子}[2]蓝兰拦栏篮={～球}[3]览揽缆倈{儿子，又小称，专用于人名后面。飞~，兵~}[5]烂=赖=□{烫，~手}[6]癞懒烂-冷-赖-	
ʦ [1]斋簪□{啄，重击}[3]攒盏斩崭[5]债站赞湛灒{溅}	
s [1]筛三山删衫叁{大~：字牌数字}□{~酒：倒酒，~茶：倒茶}□{闲逛，贬义。不晓得~到哪里去哩}[3]散伞甩洒-{~水}[5]赛散晒=	
tʂ [3]□{修，治。~车子，~病}	
ʂ [1]声-[2]□{活}	
k [1]街皆间肩奸艰阶{~级：阶梯}□{掺杂}[3]解简拣减碱[5]界届戒介监鉴-	
kʰ [1]揩{轻轻擦拭}[3]槛{~子：窗户}[5]嵌{~瓷砖}	
ŋ [1]挨-埃[2]癌岩严颜獃{不灵活，不轻便}[3]眼[5]雁艾[6]硬{梆~：很硬}	
h [1]贪滩摊瘫[2]潭谭坛衔谈闲咸-还=鞋=弹{动词。~棉花}[3]态喊毯坦-[5]叹碳炭但限-弾{名词。子~}[6]大淡鞋-	
Ǿ [1]唉挨=哀=[3]矮娭{~毑：母亲}[5]晏-{晚}	
#iai	
p [3]饼-	
pʰ [2]平-坪-[6]病-	
m [2]名-明-{~日}[6]命-	
f [1]兄-	
t [1]钉-{名词。~子}丁-叮-疔-□{~到：挨着}[5]钉-{动词。~钉子}[6]□{扔}	
tʰ [1]听-{~得：听见}厅-{~屋：堂屋}	
l [2]灵-[3]领-[6]岭-	
ʨ [3]井-颈-[5]镜-□{前倾。莫~过下来哩}	
ʨʰ [1]清-轻-青-[2]晴-[3]请-[6]净-□{节省}	
ȵ [2]宁-{地名，～家坪}	
ɕ [1]星-腥-[3]省-□{过~：比较稀}醒-[5]姓-	
Ǿ [1]萦-{绕、挥}[2]赢-萤-{~火虫}[3]影-[5]□{~牛：放牛}	
#uai	
k [1]乖观棺官冠{鸡~}关=[3]拐管馆莞[5]怪贯惯冠{~军}罐灌	
kʰ [1]关-欢-{~喜}宽[3]款[5]块筷快会{~计}	
h [1]欢={喜~}[2]怀={~念}淮槐环桓[3]缓[5]坏患焕换痪幻宦	
Ǿ [1]歪挖-{~土}弯湾豌[2]还-{~账}怀-{~里}完玩顽横{扯～，不讲理}[3]崴晚挽皖腕婉[5]外={～面}[6]万	
#yai	
Ǿ [5]□{扔。莫~过哩，可惜哩。}	
#ɔi	
p [1]杯碑卑悲背{动词}[5]背{名词}辈备={刘~}贝	
pʰ [1]胚坯[2]培陪赔裴[5]沛佩[6]配倍背焙	
m [2]梅{~花}枚媒霉煤莓[3]每美[5]妹[6]梅{梅子}	
t [1]堆[5]对兑队戴	
tʰ [1]在崔催推={~土机}[2]才财材裁[3]采彩睬[5]菜蔡[6]罪	
n [6]内	
l [1]□{滚动，又名词，轮胎}[2]来莱雷擂[3]垒磊累{积~}篓{~子}[6]累类泪	
ʦ [1]灾栽□{摇摆，不稳}[3]载[5]再最	
s [1]腮鳃衰唆{怂恿}[3]□{大口吃。~一口，大咬一口}[5]碎	
k [1]该[3]改[5]盖概丐钙溉	
kʰ [1]开[3]凯楷铠慨{感~}	
ŋ [1]哀[2]危-[5]爱碍外-{~甥，~婆}	
h [1]胎推-{~屋场坪：打地基，建房子}[2]台抬[3]海腿[5]退褪代=蜕{～皮}[6]害代-亥{~时}	
Ǿ [3]□{应答声，一般老人使用，含正式义}	
#uɔi	
k [1]归规龟闺硅圭皈[3]鬼轨诡[5]贵桂瑰	
kʰ [1]亏窥盔[2]葵奎逵{李~}癸{壬~}馗{钟~}[3]跪=[5]柜愧溃	
h [1]灰辉恢徽挥[2]回蛔茴[3]毁悔[5]贿诲晦讳绘彗慧=惠=汇=会=[6]会-慧-惠-汇-	
Ǿ [1]巍煨威危=微=[2]违闱韦围=维=唯=为{作~}[3]伟委萎纬苇伪尾=[6]位卫畏胃魏为{介词}	
#ɛi	
p [1]奔崩[3]本[5]笨	
pʰ [1]呸=烹-喷-□{追赶}[2]盆彭鹏朋澎膨[3]呸={表示懊悔或受到惊吓时的语气词}	
m [1]闷焖蚊-[2]门谋[3]亩某[5]茂-贸寐{~觉觉：哄小孩睡觉}	
f [1]分芬纷[2]焚坟汾[3]粉讽[5]奋忿粪氛喷={~雾器}	
t [1]逗登灯筝-兜{动词。~袋里：放进兜里}墩{~子：根}[3]斗抖蚪蹬等陡{~阶：楼梯}□{桩子}[5]盾顿吨凳斗{~殴}□{~起面：不笑，很严肃}□{猪~：猪潲盆}[6]埕{罐子}	
tʰ [1]村搊{把，托}[2]愁存屯层曾{~经}[3]□{摁}[5]奏凑骤寸赠	
n [1]恁{~咯，发语词}[2]原元源能泥-□{捻，两指搓}[3]软阮[5]愿[6]嫩	
l [1]□{~子：小鱼小虾}□{啃}[2]楼娄轮伦沦□{做人很精，吝啬。牙~，死~}[3]冷={冰~}[5]□{~狗：唤狗}[6]漏陋论	
ʦ [1]邹增尊遵樽筝=曾{姓}争{~气；~一块钱：差一块钱}[3]走崽{小称。刀~，鱼~}[5]皱俊竣憎[6]□{小。~咯：小的}	
s [1]搜馊孙僧森参生牲甥飕{风~~哩：形容很冷}□{fɑŋ42~：丝瓜}[2]巡循旬寻-{~塘：地名}[3]损省榫笋=[5]瘦[6]□{~人：挠痒痒}	
tʂ [1]詹瞻沾={~光}粘={~米}[3]展碾-{~米机}[5]占战	
tʂʰ [2]缠	
ʂ [1]扇{动词。~风}[2]禅蝉[3]闪[5]善膳鳝擅扇{名词。风~}	
ŋ [1]恩[3]偶藕	
h [1]偷吞齁{哮喘，呻吟}[2]头投猴侯喉藤腾痕衡行-{行走}[3]肯-口-很狠[5]□{烧。~炭子：指烧小柴来获得木炭，与木炭有别}[6]豆钝痘候透后厚邓恨	
Ǿ [1]欧殴□{抱}[3]呕[5]怄沤{~湿气：久泡水中的难闻的气味}□{天气热}	
#iɛi	
p [1]边鞭辫编蝙[3]贬匾扁=□{蘸，~点糖}[5]变	
pʰ [1]偏篇骗翩[2]骈便{~宜}[5]片遍辩[6]便{婴儿的尿片}	
m [2]绵眠棉=[3]免勉冕缅娩[5]面{~子}麵=[6]麵-	
f [2]船悬{~皮：建造房屋时现浇用的垫板}	
t [1]掂颠癫滇[3]点典碘[5]殿店奠垫{名词。~子}	
tʰ [1]天添[2]甜田填[3]舔[6]电垫{动词。~到}	
l [2]镰连廉联怜莲鲢帘□{缝}□{~嗝：胰脏}[3]脸敛[5]恋练[6]链	
