tsʰᴀ	5b	察鍘煠[油～豆腐：油炸過的豆腐]
sᴀ	1	篩[～子]殺-[～豬]
sᴀ	2	豺柴
sᴀ	4	□[軋]
sᴀ	5a	薩[拉～]
sᴀ	5b	殺=[～蟲：打農藥]煞
sᴀ	6	寨
kᴀ	1	家-[李～灣：地名]痂階街挾[～菜]夾[～子]裌[～衣：棉衣]甲[手指～子：指甲]
kᴀ	3	解[～開]假-[～白：蒼白]
kᴀ	5a	解[～木頭：鋸木頭]丐介界[世～]芥尬疥屆戒[豬八～]械[機～廠]蟹□[～開：趕走；～倒去：跟着去]夾[鐵～]□[～錢：打牌輸了出錢]□[印～：印跡]□[上～：上午；下～：下午]
kʰᴀ	1	揩
kʰᴀ	3	凱楷
xᴀ	1	瞎
xᴀ	2	孩鞋
xᴀ	3	□[傻]
xᴀ	5a	狹
xᴀ	5b	哈[～得～裡笑：哈哈大笑]
ᴀ	1	挨鴨-[～婆：母鴨]艾-[～蒿]
ᴀ	2	磑[～爛：磨碎]涯崖[～鵝子：老鷹]還[～有]捱[～fe33①：磨嘰]岩[～口：地名]
ᴀ	5a	雁[～鵝：大雁]
piᴀ	1	壁
pʰiᴀ	1	劈
tiᴀ	1	爹[～～]
tiᴀ	5a	滴[～油]
tʰiᴀ	1	踢
diᴀ	2	提-
liᴀ	1	□[～板：拖鞋]□[xʊ45⑤A～：撒嬌]
liᴀ	3	□[～舌頭：吐舌頭]
liᴀ	5a	櫟[～樹，但其結的果實不能喫，很苦]□[喫，詈語]捏[～白：撒謊]
tsiᴀ	1	脊[背～骨]
tsiᴀ	3	姐
tsiᴀ	5a	借
tsʰiᴀ	1	刺[～毛衣：織毛衣]
siᴀ	1	錫
siᴀ	2	邪斜
siᴀ	3	寫釃[～茶：倒茶]
siᴀ	5a	瀉
siᴀ	6	謝-[姓]
kʋᴀ	1	乖刮□[用力摔]
kʋᴀ	3	拐
kʋᴀ	5a	怪
kʰʋᴀ	3	傀塊[一～錢]□[～斷：折斷]
kʰʋᴀ	5b	塊[一～布]會[～計]劊快筷
ʋᴀ	1	挖□[用手抓傷人]窪[～眼睛：眼睛下陷]
ʋᴀ	3	□[斷：折斷]
ʋᴀ	5a	猾滑哇[(存疑)老～子：烏鴉]
ʋᴀ	5b	襪[～子]
pø	1	標彪猋
pø	3	表[～格；～姐]錶[鐘～]
pʰø	1	飄
pʰø	2	嫖
pʰø	3	漂[～白]剖[～腹產]
pʰø	5b	票漂[～亮]
bø	5b	瓢[水～]
mø	2	苗描謀□[調皮]
mø	3	渺秒某[～～]畝牡
mø	5a	妙茂貿
mø	6	廟
fø	5b	瓢[～公：水瓢]
tø	1	兜逗蔸刁雕貂
tø	3	斗[一～]抖陡□[～腳：跺腳]
tø	5a	鬥[～架：兩頭牛相鬥]釣吊
tø	5b	鳥屌
tʰø	1	偷挑
tʰø	3	斢[換]
tʰø	5b	透跳糶[～米：買米]
dø	2	條調[～解]頭[～髮]投
dø	4	豆[～崽：豆子]
dø	6	掉豆[～腐]□[～ʋε33①：以後]
dø	5b	蓧[出～：過了嬰兒肥階段]調[～羹]
lø	1	料-[單說]□[很吵]漏撩[(存疑)動物用嘴拱東西]
lø	2	燎療樓
lø	3	兩[～個]了[～結]□[～來：一直以來]簍
lø	5a	料=[材～]廖[姓]
lø	5b	另-[～外]
tsø	1	焦蕉鄒□[蹲]
tsø	3	走[跑]
tsø	5a	醮[打～]奏
tsø	5b	皺[～紋]
tsʰø	1	邀[(存疑)～伴：邀人做伴]搊[端持動作，～尿：把尿]
tsʰø	5b	嚼雀
sø	1	消霄宵硝銷囂簫蕭搜餿屑楔削
sø	2	愁
sø	3	小
sø	5a	笑瘦
tʃø	1	交=[～通局]郊膠朝[～陽]昭招沼詔驕嬌澆勾鉤鬮[撿～：抓鬮]
tʃø	3	絞狡鉸攪□[～夥：合夥]狗
tʃø	5a	教[～育]校=[～對]照=[～相]叫構[結～：結冰]
tʃʰø	1	超
tʃʰø	3	巧悄口
tʃʰø	5b	俏扣
ʃø	1	燒
ʃø	2	朝[～代]潮[漲～]韶喬僑橋
ʃø	3	少曉
ʃø	4	□[～架：吵架]轎[～子]□[撬]擾[打～]淆餚
ʃø	5a	酵[～母粉]校[上～]少[～年]邵[～陽]紹
ʃø	5b	效校[～長]蕎[～麥子：蕎麥]趙召
ʃø	6	兆[～頭]轎[～子]□[撬]
iø	1	妖邀腰要[～求]幺[～二三：一二三]尿椰歐毆
iø	2	搖[～動]謠窯姚
iø	3	舀杳藕[～煤：蜂窩煤]偶[配～]
iø	5a	要[想～]耀躍鷂
iø	5b	搖[～籃]
pʊ	1	波菠玻剝-[～皮]駁[～嘴巴：吵架]
pʊ	5b	缽潑=[活～]勃博泊剝=[～削]駁[(存疑)～錢：借錢；～貨：進貨]
pʰʊ	1	頗坡
pʰʊ	5b	破=[～除]薄[厚～]鈸
bʊ	2	婆=[～娘：老婆]
bʊ	1	木-[～坨公：木頭]
mʊ	2	魔磨[～刀]摩摹膜□[癩～lʊ13②：苦瓜]
mʊ	5a	沫[泡～]
mʊ	5b	末[期～]沫=莫摸寞目穆牧木=[～材]
tʊ	1	多□[～力：使勁]
tʊ	3	躲垛[牆～子]
tʊ	5b	奪
tʰʊ	1	拖
tʰʊ	3	妥
tʰʊ	5b	托鐸
