来源：	邢红文 2019《古县（尧店）方言音系及其与周边方言声调的比较研究》；Hynuza, Skanda 整理录入
tɕ	［1］脚觉{～知}浆{～糊}［2］掘［5］犟
tɕʰ	［1］□{骗}确-{～实}呛-鹊-雀-却［2］强-{优越；好：比他～}墙-嚼［3］匠-犟=
ɕ	［1］削［2］学［3］□{馋}
Ø	［1］药约-跃钥乐-［2］扬{通过把谷物扬起借助风力把谷物颗粒中的灰尘、杂物清除出去}羊-［3］养-{生养}［5］样-{图样}
#ɤ
t	［1］得=德=
tʰ	［2］特=
ts	［2］择={选～}
tʂ	［3］这{～里}
tʂʰ	［1］车={马～}［3］扯={割；剪：～布}
ʂ	［1］赊=佘［2］蛇=［3］舍={～得}射={发～}
ʐ	［3］惹={动词}
k	［1］歌鸽割搁哥格革阁隔各［5］个=
kʰ	［1］科棵渴磕{～巴：结巴}壳克刻客糠-［3］可［5］课炕-
ŋ	［1］恶{坏：～人}额=［2］蛾鹅俄［3］饿［5］我
x	［1］喝{～水、～彩}黑-［2］河荷{～花}合和盒鹤［3］荷{拿}杏-贺褐
#ɯ
k	［1］圪疙咯{～吱}饹{～馇}胳{～窝儿}［5］咳{～嗽}
#ai
p	［2］白=［3］摆败=［5］拜
pʰ	［2］排牌［3］败-［5］派
m	［1］脉=［2］埋［3］买卖迈
v	［1］歪［3］崴□{折断}外=
t	［1］呆街-［2］逮［3］待怠殆大{～夫}解{～开}代袋［5］戴带贷芥{～疙瘩：芥菜}
tʰ	［1］胎台［2］抬□{藏}［5］态太泰
n	［3］奶耐奈
l	［2］来［5］赖
ts	［1］灾栽［2］宅［3］宰载{年～}寨在=［5］再债载{装～}
tsʰ	［1］猜差{当～}［2］才材财裁［3］彩在-采踩［5］菜蔡
s	［1］腮筛［2］柴［5］赛晒
tʂ	［2］择={摘：～菜}
k	［1］该［3］改［5］丐盖概溉
kʰ	［1］开=［2］凯楷［5］慨{慷～}
ŋ	［1］哀埃［2］挨［3］矮碍艾［5］爱
x	［2］鞋孩还={副词：～有}［3］海解{姓}害蟹
Ø	［1］唉{（叹词）}
#uai
ts	［2］跩{傲慢}［5］拽{拖}
tsʰ	［1］揣［3］踹
s	［1］蟀率{～领}［5］帅
k	［1］乖［3］拐［5］怪
kʰ	［5］筷块会{～计}
x	［2］怀槐淮踝［3］坏
#ei
p	［1］杯卑悲碑笔［3］备背={～诵}北倍=被={夏凉～}［5］辈贝臂背{脊～}
pʰ	［1］胚［2］培陪赔裴［3］背-{～诵}佩倍-［5］配背-{相反的：～面}
m	［2］梅媒煤枚眉=楣霉没=［3］每美妹昧媚寐
f	［1］非飞妃痱［2］肥［3］匪废翡［5］痱肺费
v	［1］煨威微［2］危为{作～}维围违［3］为{～什么}委卫魏唯苇伟外-伪位味胃谓纬未尾=［5］慰
t	［1］得
n	［3］内
l	［1］勒肋［2］雷［3］垒累类泪=
ts	［2］贼
tʂ	［3］这-{～个}
k	［5］给
kʰ	［1］开-剋{打}
x	［1］黑=
Ø	［2］咦{疑问惊讶语气}
#uei
t	［1］堆［3］队［5］对
tʰ	［1］推［3］腿颓［5］退蜕褪
ts	［1］追锥［3］坠嘴=罪=［5］最赘醉=
tsʰ	［1］催崔［2］槌垂锤捶［3］罪-［5］脆翠粹
s	［1］虽［2］随［3］髓穗=隧［5］税碎岁=
ʐ	［3］锐瑞
tʂʰ	［1］吹=
ʂ	［3］睡=
k	［1］闺圭规龟归［3］鬼诡轨跪柜［5］桂贵
kʰ	［1］盔亏奎［2］逵葵［5］愧
x	［1］灰挥辉徽恢［2］回茴蛔［3］悔毁汇慧会惠贿绘烩彗卉
#au
p	［1］包胞褒［3］保宝抱饱暴［5］报爆豹
pʰ	［1］抛［2］袍跑刨［5］炮泡
m	［1］瞄{看}［2］毛茅锚矛［3］茂贸貌帽冒
t	［1］刀叨［3］倒{颠～}岛盗导道=稻稻［5］到倒{～水}
tʰ	［1］掏滔［2］淘桃逃陶萄涛［3］讨道-［5］套
n	［2］挠［3］恼脑闹
l	［2］捞=唠劳牢痨［3］老涝姥
ts	［1］遭糟焯{把蔬菜在热水里略微煮一下}［3］皂造蚤枣早澡找{～钱：结余}［5］笊灶躁罩-
tsʰ	［1］操抄钞［2］曹槽巢［3］草炒吵［5］糙
s	［1］梢捎骚臊［3］扫{～地}嫂［5］扫{～帚}稍潲{雨斜着落下来}
tʂ	［1］昭招［3］沼召［5］罩=照诏赵=
tʂʰ	［1］㪕{动词，盛：～起来}超嘲［2］朝{～代}潮晁［3］赵-
ʂ	［1］烧［2］韶芍勺={～子}［3］少{多～}绍邵［5］少{～年}
ʐ	［2］饶［3］扰绕
k	［1］高膏糕羔［3］稿［5］告
kʰ	［3］考烤拷铐［5］犒靠
ŋ	［1］爊{炖：～白菜}坳{洼地：山～}肮［2］熬［3］袄懊{～恼}鏊{～子：做烙饼的工具}傲［5］奥懊{～悔}
