音标	调类	字汇							
kʰuei	3	跪（白读）							
kʰuei	5	溃							
xuei	1	灰徽							
xuei	2	回							
xuei	3	悔							
xuei	5	会绘汇							
uei	1	威煨							
uei	2	围危微为（作∽）							
uei	3	伟萎							
uei	5	胃为（因∽）伪位味卫畏喂							
zuei	5	锐							
paʊ	1	包胞孢							
paʊ	3	宝饱							
paʊ	5	报							
pʰaʊ	1	泡抛							
pʰaʊ	2	袍刨							
pʰaʊ	3	跑							
pʰaʊ	5	泡炮							
maʊ	1	猫							
maʊ	2	毛茅							
maʊ	3	牡							
maʊ	5	冒帽							
taʊ	1	刀							
taʊ	3	倒岛							
taʊ	5	倒到道导							
tʰaʊ	1	掏							
tʰaʊ	2	桃淘							
tʰaʊ	3	讨							
tʰaʊ	5	套							
naʊ	1	捞							
naʊ	2	捞牢							
naʊ	3	恼老脑							
naʊ	5	闹							
kaʊ	1	高膏糕							
kaʊ	3	搞							
kaʊ	5	告窖较觉（得一∽）							
kʰaʊ	1	敲							
kʰaʊ	3	考							
kʰaʊ	5	靠							
xaʊ	1	薅							
xaʊ	2	毫							
xaʊ	3	好							
xaʊ	5	号耗							
ŋaʊ	2	熬							
ŋaʊ	3	咬							
ŋaʊ	5	奥澳							
saʊ	1	烧稍							
saʊ	2	苕							
saʊ	3	少（很∽）扫							
saʊ	5	少（老∽）臊邵							
tsaʊ	1	朝招糟							
tsaʊ	2	着							
tsaʊ	3	找早爪							
tsaʊ	5	照							
tsʰaʊ	1	抄超							
tsʰaʊ	2	曹槽朝							
tsʰaʊ	3	吵草							
tsʰaʊ	5	造躁糙							
zaʊ	2	饶							
zaʊ	3	绕							
zaʊ	5	绕							
tiaʊ	1	刁叼							
tiaʊ	5	掉							
tʰiaʊ	1	挑							
tʰiaʊ	2	条迢 □（跑、逃之意）							
tʰiaʊ	3	斛（表示换之意）							
tʰiaʊ	5	跳							
niaʊ	2	聊辽							
niaʊ	3	了（∽解）鸟							
niaʊ	5	尿料							
piaʊ	1	标彪							
piaʊ	3	表							
pʰiaʊ	1	飘							
pʰiaʊ	2	瓢嫖							
pʰiaʊ	3	瞟							
pʰiaʊ	5	票							
miaʊ	1	喵							
miaʊ	2	苗描瞄							
miaʊ	3	秒							
miaʊ	5	妙							
tɕiaʊ	1	交浇胶教（∽书）							
tɕiaʊ	2	狡（白，形容聪明狡黠）							
tɕiaʊ	3	剿绞狡							
tɕiaʊ	5	觉叫较教（∽育）嚼							
tɕʰiaʊ	1	悄							
tɕʰiaʊ	2	桥乔荞							
tɕʰiaʊ	3	巧							
tɕʰiaʊ	5	撬							
ɕiaʊ	1	肖消萧							
ɕiaʊ	2	淆							
ɕiaʊ	3	小							
ɕiaʊ	5	校笑孝酵（发∽）							
iaʊ	1	幺妖邀腰要（∽求）							
iaʊ	2	姚摇							
iaʊ	3	舀							
