音标	调类	调值	汉字
	3	55	卡咳（～痰）刻（~戳）
	5	312	□（油霉味）咳（~上来）
xa	1	114	哈
puə	1	114	波菠玻拨播博簸（动）
	2	42	薄脖渤婆（婆婆丁：蒲公英）
	5	312	簸（～箕）
pə	2	42	别（副词）
phuə	1	114	颇坡泼
	2	42	婆
	5	312	破
muə	1	114	摸
	2	42	魔磨摩馍膜模（～型）蘑摹
	3	55	抹
	5	312	磨莫末沫寞陌（文）茉默（文）没（~收）
mə	2	42	么
fuə	2	42	佛
fə	2	42	□（整人）
tsə	1	114	遮蔗蜇折哲浙
	2	42	辙蜇
	3	55	者
	5	312	这
tshə	1	114	车测（文）策（文）册（文）彻（~天）
	3	55	扯
	5	312	侧彻撤澈
sə	1	114	赊
	2	42	蛇折⾆
	3	55	舍奢佘设
	5	312	瑟（文）⾊（～情）塞（文）射舍
tə	1	114	得（文）德（文）
thə	2	42	特（文）
	5	312	特（新）
lə	5	312	乐（文）
ʒə	1	114	热（~天）
	3	55	惹
	5	312	热（冷~）
kə	1	114	歌哥⼽割搁疙鸽胳格（文）阁隔（文）革虼骼圪锅（~巴）
	2	42	嗝硌
	3	55	葛舸各哥
	5	312	个
khə	1	114	可渴壳科克颗柯磕苛坷搁（~边：靠边）圪（~蚌）
	2	42	咳（~嗽）
	3	55	可珂
	5	312	课客（⽂）刻（⽂）
xə	1	114	喝呵豁（~上命）
	2	42	何河荷和（~气）盒核（～桃）藿（~香）
	5	312	贺鹤
ɣə	1	114	阿屙恶（白）
	2	42	鹅蛾俄讹扼
	5	312	饿恶（文）颚厄萼鄂鳄
pε	3	55	摆□（洗去衣服上的泡沫）
	5	312	拜败
phε	2	42	排牌
	5	312	派
mε	2	42	埋霾
	3	55	买
	5	312	卖
fε	2	42	□（语⽓词）
ʋε	1	114	歪喂（打电话发语词）
	2	42	蛙（~子）
	3	55	□（舀饭）
	5	312	外
tsε	1	114	灾栽斋再（~说了）
	3	55	崽宰
	5	312	在载再债寨錾（～个钉⼦）
tshε	1	114	猜钗差
	2	42	才财材裁柴豺
	3	55	踩彩采
	5	312	菜蔡
sε	1	114	腮筛色（神态）
	3	55	舍（丢弃）
	5	312	赛晒
tε	1	114	呆待
	3	55	⽍逮在（白）
	5	312	带岱贷代戴袋大（没~；恶~王）
thε	1	114	胎苔态
	2	42	台苔抬跆
	5	312	泰汰太
nε	3	55	奶乃
	5	312	耐奈
lε	2	42	来莱
	5	312	赖癞
kε	1	114	该
	3	55	改
	5	312	盖钙概丐
khε	1	114	开
	3	55	凯楷
xε	1	114	□（~拳：猜拳）
	2	42	□（表惋惜）还孩核（考~）
	3	55	海
	5	312	亥害
ɣε	1	114	埃哀
	2	42	癌唉
	5	312	艾爱碍
ʒε	3	55	□（扔）
pei	1	114	卑杯悲碑掰（⽩）笔（⽩）北百（⽩）柏（⽩）伯（白）
	2	42	⽩（⽩）蔔（萝~）
	5	312	贝备背辈被倍焙
phei	1	114	呸胚拍（⽩）披（⽩）
	2	42	陪赔培
	5	312	配佩沛
mei	1	114	没
	2	42	媒玫梅煤霉莓眉糜
	3	55	美每
	5	312	麦魅妹脉（⽩）谜（白）
ʋei	1	114	威薇煨
	2	42	为（～人：处理人情世故）唯围维惟帷潍违卫（门~）
	3	55	伟伪苇尾纬委萎危微
	5	312	卫为未渭位蔚胃魏谓猬慰喂味畏
tsei	1	114	栽（老）
	2	42	贼摘(⽩)窄(⽩)择(⽩)翟（老）
tshei	1	114	拆(⽩)册(⽩)
	2	42	□（破碎）
sei	1	114	塞（⽩）⾊（⽩）
	2	42	谁
tei	1	114	得（⽩）德（白）
	2	42	特（~为）
	5	312	对（白）兑（白）
thei	1	114	推（白）忒
	3	55	腿（白）
	5	312	退（白）蜕（白）
nei	5	312	内
lei	1	114	勒
	2	42	雷
	3	55	垒磊
	5	312	擂肋泪类累
kei	1	114	格（白）隔（白）搁（耽~）
	2	42	给嗝（鸡鸣）□（连词）
khei	1	114	客（白）□（扣）刻（白）咳（~呛）
xei	1	114	⿊
pɔ	1	114	胞煲苞包
	3	55	宝堡（文）饱保
	5	312	抱趵豹暴报□（~窝）
phɔ	1	114	抛剖脬膊（在“胳膊”中读轻声）
	2	42	刨袍蚌（圪~）
	3	55	跑
	5	312	泡炮
mɔ	1	114	冒（~芽）
	2	42	猫⽑⽭茅髦冒（~失）
	3	55	卯
	5	312	帽貌茂贸
fɔ	3	55	否（老）
tsɔ	1	114	遭糟招
	3	55	早藻枣蚤澡找沼
	5	312	皂灶造燥照兆召罩赵笊
tshɔ	1	114	操糙抄吵（～～：吵架）钞超
	2	42	曹槽巢朝（～前）潮嘲绰（在“宽绰”中读轻声）
	3	55	草吵（声⾳杂乱）炒
	5	312	肏
sɔ	1	114	骚捎烧稍
	2	42	芍韶
	3	55	扫嫂少
	5	312	臊哨绍少梢（四~：手脚）
tɔ	1	114	⼑掇（在“拾掇”中读轻声）叨（鸟啄食）
	3	55	导祷捣岛蹈朵（在“耳朵”中读轻声）
	5	312	到盗道稻倒悼
thɔ	1	114	涛掏滔
	2	42	桃陶萄（在“葡萄”中读轻声）逃淘
	3	55	讨
	5	312	套
nɔ	1	114	孬
	2	42	挠
	3	55	恼脑
	5	312	闹
lɔ	1	114	捞
	2	42	劳牢捞痨
	3	55	⽼姥
	5	312	涝
ʒɔ	2	42	饶
	3	55	扰
	5	312	绕
kɔ	1	114	⾼羔膏糕
	3	55	搞
	5	312	告膏
khɔ	3	55	考烤拷
	5	312	铐靠
xɔ	1	114	蒿薅
	2	42	蚝毫豪嚎
	3	55	好
	5	312	好浩号昊耗
ɣɔ	1	114	凹
	2	42	敖熬
	3	55	袄
	5	312	傲奥澳鏊
mou	2	42	谋（新）
	3	55	某（新）
fou	3	55	否（新）
tsou	1	114	邹掫洲州邹⾈周粥（文）
	3	55	⾛肘
	5	312	奏揍绉宙昼皱做（白）
tshou	1	114	抽
	2	42	仇稠畴筹酬愁
	3	55	丑
	5	312	凑臭
sou	1	114	搜收
	2	42	⼿守⾸
	5	312	受瘦授兽寿售
tou	1	114	兜都粥（在“糊粥”中读轻声）
	3	55	抖⽃陡蚪
	5	312	⽃⾖逗痘窦
thou	1	114	偷
	2	42	投
	5	312	透
lou	1	114	搂
	2	42	楼耧蒌
	3	55	搂
	5	312	陋漏露（~出）
ʒou	1	114	□（⽤⼒甩）
	2	42	柔揉
	5	312	肉
kou	1	114	勾沟钩
	2	42	沟（小沟）
	3	55	狗
	5	312	购构垢够
khou	1	114	抠
	2	42	□（脾气坏）
	3	55	⼝
	5	312	扣
xou	1	114	齁
	2	42	侯喉猴候
	5	312	后厚
ɣou	1	114	欧殴鸥
	3	55	偶藕
	5	312	沤怄
pã	1	114	扳班颁般斑搬
	3	55	板版
	5	312	办半伴扮拌绊瓣
phã	1	114	潘攀扳（白）
	2	42	盘
	5	312	判盼叛畔
mã	2	42	蛮瞒馒
	3	55	满螨
	5	312	曼慢迈
fã	1	114	帆番翻
	2	42	凡烦繁
	3	55	反返範（~围）
	5	312	犯饭泛范□（~蛋）
ʋã	1	114	剜湾豌弯
	2	42	丸完玩顽烷
	3	55	挽晚皖宛婉碗
	5	312	万腕
tsã	1	114	簪占（～卦）沾毡粘（～贴）
	3	55	咱攒斩盏展暂
	5	312	赞暂占（～有）战栈站绽湛蘸
tshã	1	114	餐参（～加）掺搀闩（动词）
	2	42	残蚕馋蝉缠
	3	55	惨产铲
	5	312	灿颤
sã	1	114	三姗衫⼭珊扇删
	3	55	散伞闪陕□（剩下）
	5	312	散鳝膳赡善扇算（~了）
tã	1	114	丹单郸担但
	3	55	胆掸
	5	312	旦诞担淡蛋弹耽
thã	1	114	摊贪滩瘫
	2	42	坛谈弹痰
	3	55	坦毯
	5	312	叹炭探碳
nã	2	42	男南难楠
	3	55	暖（老）
	5	312	难
lã	2	42	兰蓝拦栏篮揽
	3	55	览缆懒
	5	312	烂滥
ʒã	2	42	然燃
kã	1	114	甘肝柑竿干
	3	55	感敢擀
	5	312	干赣
khã	3	55	砍刊
	5	312	看
xã	1	114	憨
	2	42	韩含（文）寒
	3	55	喊
	5	312	汉汗憾旱焊
ɣã	1	114	安氨鞍
	3	55	俺
	5	312	按暗岸案
pẽ	1	114	奔
	3	55	本
	5	312	奔笨
phẽ	1	114	喷
	2	42	盆
mẽ	1	114	闷焖
	2	42	门
	5	312	闷
fẽ	1	114	分芬
	2	42	坟焚
	3	55	粉芬
	5	312	份奋粪愤
ʋẽ	1	114	温瘟
	2	42	⽂纹闻蚊雯
	3	55	吻稳
	5	312	问汶
tshẽ	1	114	伸（白）深（白）
	2	42	岑涔尘⾂沉陈
	3	55	碜
	5	312	衬称趁□（有钱：～钱）
nẽ	3	55	恁
tsẽ	1	114	贞（新）珍针侦（新）帧真甄
	3	55	诊疹枕
	5	312	阵圳振
sẽ	1	114	申伸（文）身参深（文）森
	2	42	什神
	3	55	审沈婶
	5	312	甚瘆葚肾渗慎
ʒẽ	2	42	⼈仁
	3	55	忍稔
	5	312	任认刃（新）韧纫
kẽ	2	42	垦啃恳
xẽ	2	42	痕含（白）
	3	55	很狠
	5	312	恨痕（~迹）
ɣẽ	1	114	恩
	5	312	摁
pɑŋ	1	114	帮邦浜梆□（遗传）
	2	42	傍（~边）
	3	55	绑膀榜
	5	312	棒谤磅
phɑŋ	1	114	乓
	2	42	庞旁
	3	55	耪
	5	312	胖
mɑŋ	2	42	忙茫芒
	3	55	蟒莽盲氓芒（麦~）
fɑŋ	1	114	⽅芳坊（一般读轻声）
	2	42	房妨防
	3	55	仿纺肪访防
	5	312	放
ʋɑŋ	1	114	汪
	2	42	亡王
	3	55	⽹枉往
	5	312	妄忘旺望
tsɑŋ	1	114	脏（不⼲净：～水）赃张章彰
	2	42	长（⽣～)涨(～⽔)□（~点盐）□（使用，助词）
	3	55	掌
	5	312	脏葬藏丈涨胀账障帐
tshɑŋ	1	114	仓沧苍舱昌娼
	2	42	藏长场（打～）尝肠偿（新）常
	3	55	⼚场（～⼦）敞
	5	312	畅倡唱
sɑŋ	1	114	丧
	3	55	嗓偿（老）晌赏桑
	5	312	丧上尚
tɑŋ	1	114	当铛螳
	3	55	挡党
	5	312	档荡当
thɑŋ	1	114	汤蹚
	2	42	堂膛唐棠塘糖
	3	55	淌
	5	312	烫趟
nɑŋ	1	114	囔(在嘟~中读轻声)
	2	42	囊
	3	55	攮
	5	312	齉（在鼻~中读轻声）
lɑŋ	2	42	狼郎廊螂
	3	55	朗
	5	312	浪
ʒɑŋ	2	42	瓤
	3	55	壤
	5	312	让
kɑŋ	1	114	缰（老）刚（文）纲肛钢缸
	2	42	□（程度词）
	3	55	□（~子：胼胝）岗港
	5	312	杠
khɑŋ	1	114	康慷糠
	2	42	扛
	5	312	亢抗炕
xɑŋ	1	114	夯（文）□（环境声音大）
	2	42	⾏杭航
ɑŋ	1	114	肮
	2	42	昂
pəŋ	1	114	崩绷迸□（程度词）
	3	55	绷
	5	312	泵镚蹦
phəŋ	2	42	彭膨棚鹏朋
	3	55	捧
	5	312	碰
məŋ	1	114	蒙懵
	3	55	猛蜢盟蒙
	5	312	孟梦
fəŋ	1	114	风疯峰封丰锋蜂枫
	2	42	冯逢
	3	55	讽峰锋
	5	312	凤奉缝
tsəŋ	1	114	增曾蒸正（～⽉）挣征睁争贞（老）侦（老）
	3	55	整
	5	312	郑证症挣
tshəŋ	1	114	称（～重）撑铛
	2	42	呈程诚承城乘盛惩澄成
	3	55	逞
	5	312	蹭秤
səŋ	1	114	僧升⽣声牲笙甥
	2	42	绳
	3	55	省
	5	312	圣胜盛剩
təŋ	1	114	灯登噔
	2	42	腾（在“翻腾”中读轻声）
	3	55	等
	5	312	邓瞪凳澄（~清）
thəŋ	2	42	疼腾藤滕誊
nəŋ	2	42	能
	5	312	弄
ləŋ	1	114	□（程度词）
	3	55	冷
	5	312	愣□（莽撞）棱
kəŋ	1	114	庚更羮
	3	55	耿梗
	5	312	更颈（白）
khəŋ	1	114	吭坑
	3	55	倾（白）
xəŋ	1	114	哼
	2	42	恒横（～梁）衡
	5	312	横（凶暴）□（丢弃）
ɣəŋ	5	312	□（丢弃）
pi	1	114	逼必（~须）
	2	42	⿐
	3	55	⽐
	5	312	必毕闭毙臂币蔽
phi	1	114	批霹劈
	2	42	⽪疲啤
	3	55	匹痞
	5	312	屁辟僻
mi	1	114	咪眯
	2	42	弥迷谜
	3	55	⽶靡
	5	312	泌秘密蜜
fi	1	114	⾮飞
	2	42	肥
	3	55	匪
	5	312	废肺痱费
ti	1	114	低堤滴
	2	42	迪敌笛
	3	55	抵底的（目~）
	5	312	地弟帝递第
thi	1	114	梯剔踢□（程度词：~软乎）惕
	2	42	提啼蹄题
	3	55	体
	5	312	替
li	1	114	哩
	2	42	狸梨璃犁篱（在“笊篱”中读作轻声）
	3	55	礼⾥李理鲤
	5	312	吏荔⼒⽴利⾪厉丽栗例莉历粒离
ȵi	1	114	妮（⼥孩）
	2	42	尼泥拟
	3	55	你
	5	312	逆溺腻昵
tɕi	1	114	⼏讥叽击饥圾机肌鸡奇姬基积缉畸济（～南）脊绩迹继吉即级技
	2	42	及疾急集辑极籍剂
	3	55	⼏⼰给（文）挤
	5	312	计记纪系忌际季既祭寄
tɕhi	1	114	七凄妻戚欺期缉（～边⼉）漆
	2	42	齐脐骑棋旗奇其歧骐琪鳍豉杞
	3	55	企起启
	5	312	去汽弃⽓器
ɕi	1	114	西希析蟋昔息惜悉稀犀溪熙熄吸膝夕□（程度词）隙
	2	42	习席袭媳畦
	3	55	洗玺喜□（笑）
	5	312	戏系细
i	1	114	⼀伊⾐依医以
	2	42	沂宜仪移怡姨疑胰疫医
	3	55	⼄以已尾倚蚁椅
	5	312	义亿艺忆益谊毅意
lia	3	55	俩
ȵia	5	312	娘（老）
tɕia	1	114	家加痂嘉夹佳甲⻆（⽜～）
	3	55	贾假
	5	312	架嫁价驾稼
tɕia	1	114	掐
	3	55	卡
	5	312	恰
ɕia	1	114	虾瞎
	2	42	峡侠辖霞
	5	312	吓下夏厦（～门）
ia	1	114	鸦丫压押鸭
	2	42	牙芽衙蚜
	3	55	雅哑
	5	312	亚轧（～棉花）讶
piə	1	114	憋鳖
	2	42	别蹩
	3	55	瘪
	5	312	别（～扭）
phiə	1	114	撇（～下）瞥
	3	55	撇（～嘴）
miə	5	312	灭
tiə	1	114	爹跌
	2	42	迭谍叠蝶
thiə	1	114	贴帖铁
liə	1	114	列劣烈裂（~裂）
	3	55	咧
	5	312	冽裂猎
ȵiə	1	114	捏摄（~影）
	3	55	聂镊
tɕiə	1	114	节结接揭洁结拮
	2	42	劫杰捷睫截结（~实)
	3	55	姐
	5	312	借
tɕhiə	1	114	切且（又）
	2	42	茄
	3	55	且
	5	312	切窃
ɕiə	1	114	些（数目多）楔歇蝎⾎（白）
	2	42	斜挟胁邪携
	3	55	写
	5	312	泻卸谢泄
iə	1	114	掖椰噎业（毕~）液叶（茶~）
	2	42	爷
	3	55	也野
	5	312	业腋叶页夜孽
miε	1	114	咩
tɕiε	1	114	皆秸街阶
	3	55	解
	5	312	介戒届界芥诫械（老）
ɕiε	2	42	鞋谐
	5	312	懈蟹□（邋遢）
iε	1	114	挨（白）
	2	42	崖（白）挨（白）捱（白）□（吃得过饱）
	5	312	矮（白）
piɔ	1	114	标
	3	55	表裱
phiɔ	1	114	漂飘
	2	42	嫖瓢
	3	55	漂
	5	312	票
miɔ	2	42	苗描瞄
	3	55	秒淼
	5	312	妙庙
tiɔ	1	114	雕叼貂凋碉刁
	5	312	吊钓调掉
thiɔ	1	114	挑
	2	42	条调笤
	3	55	挑
	5	312	跳
liɔ	1	114	撩
	2	42	疗潦聊寥辽撩
	3	55	了
	5	312	料撂廖
ȵiɔ	3	55	鸟
	5	312	尿
tɕiɔ	1	114	交浇跤郊骄胶教蕉焦娇椒饺（新）脚（开~）角（八~）
	3	55	侥绞铰矫搅缴较
	5	312	叫觉轿窖酵教
tɕhiɔ	1	114	悄敲
	2	42	乔荞桥瞧朝（白）□（程度词）
	3	55	巧
	5	312	跷俏窍翘撬
ɕiɔ	1	114	消宵潇肖销萧
	3	55	⼩晓
	5	312	校哮孝效笑
iɔ	1	114	妖要腰邀
	2	42	遥肴瑶姚窑谣摇
	3	55	咬舀
	5	312	要耀□（撬而不动）跃（老）
tyʊu	1	114	丢
lyʊu	1	114	溜
	2	42	浏刘硫琉留榴流瘤
	3	55	柳绺
	5	312	六遛馏溜
ȵyʊu	1	114	妞
	2	42	⽜
	3	55	忸纽钮□（瓜~）
tɕyʊu	1	114	纠鸠究揪
	3	55	九久灸⾲酒
	5	312	旧⾅舅救就
tɕhyʊu	1	114	蚯丘邱鳅秋
	2	42	球囚求
ɕyʊu	1	114	休修羞
	3	55	朽宿
	5	312	秀袖绣锈（文）
yʊu	1	114	优忧悠邮
	2	42	尤游由油蚰
	3	55	友有
	5	312	⼜右幼佑柚诱
piã	1	114	边编蝙鞭
	3	55	贬扁匾□（踩）
	5	312	变便遍辨辩辫
phiã	1	114	⽚偏篇
	3	55	□（炫耀）
	5	312	⽚骗
miã	2	42	眠绵棉
	3	55	勉腼娩缅免
	5	312	⾯
tiã	1	114	颠掂巅
	3	55	典踮碘点
	5	312	店惦垫电淀
thiã	1	114	天添
	2	42	⽥恬甜填
	3	55	腆舔
liã	2	42	连镰帘莲涟廉怜联
	3	55	敛脸
	5	312	练恋链
ȵiã	1	114	拈
	2	42	年粘黏鲇
	3	55	捻撵碾
	5	312	念
tɕiã	1	114	尖监奸煎坚间肩艰歼兼
	3	55	拣捡俭碱减剪睑茧简践（实~）
	5	312	见件间建贱剑渐健践毽鉴键溅箭
tɕhiã	1	114	千仟谦牵铅签迁
	2	42	钱钳乾前
	3	55	浅遣谴
	5	312	⽋倩嵌歉
ɕiã	1	114	纤仙先掀锨鲜
	2	42	闲贤嫌衔咸
	3	55	显险
	5	312	县陷献线县现羡宪馅限
iã	1	114	胭腌嫣淹烟阉蔫
	2	42	闫沿严⾔盐岩炎妍研颜延檐连（连词）
	3	55	演掩眼
	5	312	厌砚咽
piẽ	1	114	宾彬斌濒
	5	312	鬓
phiẽ	1	114	拼频
	2	42	贫频
	3	55	品
	5	312	聘
miẽ	2	42	民岷
	3	55	闽抿敏□（贴合）□（稍微尝点）
liẽ	1	114	拎
	2	42	邻临鳞磷琳林霖淋
	5	312	赁
tɕiẽ	1	114	⼱津⽄今⾦筋襟□（使顺直）
	2	42	涔（白）
	3	55	仅尽（～边上）紧锦谨
	5	312	尽烬近劲晋浸进禁
tɕhiẽ	1	114	钦侵亲
	2	42	芹秦琴禽勤擒
	3	55	寢
ɕiẽ	1	114	⼼新芯⾟欣锌薪鑫
	2	42	姓（动）邢（~沟）寻
	5	312	信
iẽ	1	114	因茵阴⾳姻殷
	2	42	吟银淫
	3	55	尹引饮蚓隐瘾
	5	312	印饮胤
liɑŋ	2	42	良凉（～⽔）梁量粮粱
	3	55	两
	5	312	亮凉
ȵiɑŋ	2	42	娘（新）
	5	312	酿
tɕiɑŋ	1	114	姜（姓）将江浆僵疆缰（新）刚（白）
	3	55	讲桨蒋耩
	5	312	匠降将酱犟糨虹（老）奖姜（~沟）
tɕhiɑŋ	1	114	呛（吃饭~着）枪腔
	2	42	强墙
	3	55	抢□（在表面上刮擦）
	5	312	呛（火大忒~）炝
ɕiɑŋ	1	114	乡相⾹厢湘箱襄镶
	2	42	详降祥翔
	3	55	享响饷想相（~互）
	5	312	向项巷相象像橡
iɑŋ	1	114	央鸯秧殃嚷
	2	42	扬洋⽺阳杨烊
	3	55	仰养氧痒
	5	312	样漾
piŋ	1	114	冰兵
	3	55	丙饼秉柄
	5	312	并病
phiŋ	1	114	乒
	2	42	平坪评萍屏瓶苹凭
miŋ	2	42	明鸣名铭冥
	5	312	命
tiŋ	1	114	丁仃盯钉
	3	55	顶
	5	312	订钉定
thiŋ	1	114	厅听
	2	42	廷亭庭停婷
	3	55	挺艇
liŋ	2	42	灵凌龄苓铃零玲
	3	55	岭领陵（~陵）
	5	312	令另（文）
ȵiŋ	2	42	宁柠凝
	3	55	拧
	5	312	宁拧（脾⽓倔）
tɕiŋ	1	114	经惊精茎睛荆京晶鲸耕（白）
	3	55	井阱景警境（环~）
	5	312	竞净镜竟静径境敬
tɕhiŋ	1	114	轻倾清蜻
	2	42	情擎
	3	55	顷请庆
	5	312	亲（～家）
ɕiŋ	1	114	兴星猩腥
	2	42	刑邢⾏形型
	3	55	醒擤
	5	312	兴杏幸性姓
iŋ	1	114	樱英鹦缨应（回～）莺婴嘤鹰
	2	42	迎盈荧蝇莹营萤
	3	55	颖影
	5	312	应（答～）映硬另（白）
pu	1	114	不
	2	42	饽（面~）醭
	3	55	补⼘捕
	5	312	布部步簿
phu	1	114	铺噗扑
	2	42	仆蒲葡菩
	3	55	谱朴普脯圃濮哺（老）
	5	312	铺瀑
mu	3	55	母亩牡拇姆某（老）
	5	312	⽊⽬沐慕穆幕牧暮募墓睦
fu	1	114	夫肤敷孵福复麸腹
	2	42	俘幅扶符服佛（仿～）拂蝠浮袱（在“包袱”中读轻声）
	3	55	府腐辅斧腑俯
	5	312	富⽗付赋副负妇附
tsu	1	114	租足（文）猪朱珠诛蛛侏茱⽵烛触（接~）组嘱
	2	42	卒族轴
	3	55	祖阻煮拄嘱主
	5	312	住祝助注柱驻
tshu	1	114	出初束（白）舒（~坦）缩（在“ku55缩”中读轻声）楮
	2	42	除厨锄橱殊（老）
	3	55	处（～治）杵储楚雏诌
	5	312	处（长～）畜搐帚（在“扫帚”中读轻声）
su	1	114	苏酥肃书叔殊（新）梳淑舒（~服）疏输蔬速
	2	42	赎塾熟术蜀
	3	55	暑属署⿏数薯
	5	312	诉塑束述树竖数墅漱锈（在“生锈”中读轻声）
tu	1	114	都嘟督突（在“ɣə21突”中读轻声）
	2	42	毒独犊涂（在“糊涂”中读轻声）
	3	55	堵睹读
	5	312	度肚渡镀
thu	1	114	突秃凸
	2	42	徒图涂屠途
	3	55	⼟吐
	5	312	兔唾（~沫）
nu	2	42	奴农（老）浓（老）脓（老）
	3	55	努
	5	312	怒
lu	1	114	撸入（老）
	2	42	卢芦泸炉
	3	55	鲁卤掳辱（老）虏乳（老）
	5	312	路录露（～⽔）陆⿅璐泸褥（老）
ʒu	2	42	如（新）茹（新）儒（新）蠕（新）
	3	55	汝（新）乳（新）辱（新）
	5	312	⼊（新）褥（新）
ku	1	114	姑菇估咕孤轱⻣辜牯跍⾕箍
	3	55	古股⿎□（长憋尿之感）
	5	312	固顾雇故
khu	1	114	枯哭窟
	3	55	苦
	5	312	库裤酷
xu	1	114	乎呼忽惚糊
	2	42	蝴囫弧壶核（桃～）葫湖狐胡糊（～弄）禾（在“柴禾”中读轻声）
	3	55	虎浒唬
	5	312	互户护沪
u	1	114	乌呜屋污侮
	2	42	⽆芜蜈吴梧
	3	55	午伍武捂鹉舞
	5	312	⺎悟物勿务戊误雾
tsua	1	114	抓
	3	55	爪
sua	1	114	刷唰
	3	55	耍
kua	1	114	⽠呱刮鸹
	3	55	剐寡
	5	312	卦挂褂
khua	1	114	夸
	3	55	垮
	5	312	挎胯跨
xua	1	114	花哗
	2	42	划华哗猾滑
	5	312	桦化划画话
tsuə	1	114	作捉桌装（白）卓
	2	42	琢昨啄着（~火）琢逐（老）
	3	55	左佐撮
	5	312	坐座作（新）
tshuə	1	114	搓撮戳焯
	2	42	□（触摸）
	5	312	措错辍绰（文）
suə	1	114	梭说
	2	42	勺缩
	3	55	锁所索唢
	5	312	朔硕
tuə	1	114	多哆
	2	42	夺
	3	55	躲朵
	5	312	垛舵跺驮剁惰堕
thuə	1	114	拖托脱
	2	42	驮陀驼坨
	3	55	妥
	5	312	拓
nuə	1	114	搦
	2	42	挪
	5	312	糯
luə	1	114	啰烙
	2	42	罗锣骡逻箩萝螺
	3	55	裸
	5	312	络摞骆落若（老）弱（老）洛乐（白）
ʒuə	5	312	若（新））弱（新）
kuə	1	114	锅郭聒蝈
	3	55	果裹括（白）国
	5	312	过
khuə	1	114	棵（白）
	3	55	扩
	5	312	括阔廓
xuə	1	114	豁（文）□（洒出）
	2	42	和（仁~：地名）活
	3	55	⽕伙
	5	312	货祸或（新）获（新）惑
ʋə	1	114	蜗窝（文）莴
	2	42	窝（抱~）
	5	312	卧沃握
tsuε	1	114	□（使劲扔）
	5	312	拽
tshuε	1	114	揣
	5	312	踹
suε	1	114	衰摔
	3	55	甩
	5	312	帅率蟀
kuε	1	114	乖
	3	55	拐
	5	312	怪
khuε	3	55	□（～痒痒）
	5	312	会块快筷侩
xuε	2	42	怀淮槐
	5	312	坏获（老）
tsuei	1	114	堆追椎锥
	3	55	嘴
	5	312	最罪醉坠
tshuei	1	114	崔催摧吹（文）炊
	2	42	垂捶槌锤
	5	312	脆翠
suei	1	114	尿虽
	2	42	隋随遂
	3	55	⽔
	5	312	岁碎穗隧税睡
tuei	1	114	堆(文)
	5	312	队对(文)
thuei	1	114	推（文）
	3	55	腿（文）
	5	312	退（文）蜕（文）
luei	3	55	蕊（老）
ʒuei	3	55	蕊（新）
	5	312	锐（新）
kuei	1	114	龟瑰规归闺轨
	3	55	诡鬼
	5	312	柜桂跪贵
khuei	1	114	亏盔
	2	42	葵魁
	5	312	馈溃愧
xuei	1	114	辉灰徽挥恢
	2	42	回茴悔（老）
	3	55	悔（新）毁
	5	312	会慧绘荟汇诲或（老）
tsuã	1	114	钻专砖
