jiᶽan tiᶽ	trad	detail	调类	
痢	痢		liᶽ6	
吏	吏		liᶽ6	
泪	淚		liᶽ6	
狙	狙		tsiᶽ1	
苴	苴		tsiᶽ1	
齑	齏	腌～：靑菜、雪菜剁碎後清炒的一種小菜	tsiᶽ1	
赍	齎		tsiᶽ1	
赍	賫	俗齎字	tsiᶽ1	
荠	薺	荸～	dziᶽ2	
龃	齟		dziᶽ2	
挤	擠		tsiᶽ1	
咀	咀		tsiᶽ1	
沮	沮		tsiᶽ1	
祭	祭		tsiᶽ5	
际	際		tsiᶽ5	
济	濟		tsiᶽ5	
剂	劑		tsiᶽ5	
霁	霽		tsiᶽ5	
霁	䨖	同霽	tsiᶽ5	
左	左	～手	tsiᶽ5	
蛆	蛆		tsʰiᶽ1	
趋	趨		tsʰiᶽ1	
妻	妻		tsʰiᶽ1	
凄	淒		tsʰiᶽ1	
栖	棲		tsʰiᶽ1	
栖	栖		tsʰiᶽ1	
取	取		tsʰiᶽ1	
娶	娶		tsʰiᶽ1	
趣	趣		tsʰiᶽ5	
狙	狙		tsʰiᶽ5	
觑	覷		tsʰiᶽ5	
觑	覰		tsʰiᶽ5	
觑	覻		tsʰiᶽ5	
觑	䁦		tsʰiᶽ5	
蜡	蜡	骨肉腐臭，蠅蟲所蜡也	tsʰiᶽ5	
砌	砌		tsʰiᶽ5	
脐	臍	肚～眼	dziᶽ2	
絮	絮		siᶽ1	
须	須	必～	siᶽ1	
须	鬚	鬍～	səɯ1	
需	需		siᶽ1	
西	西		siᶽ1	
犀	犀		siᶽ1	
婿	婿		siᶽ5	
胥	胥		siᶽ1	
髓	髓		sei1	
洗	洗		siᶽ1	
玺	璽		siᶽ1	
徙	徙		siᶽ1	
细	細		siᶽ5	
徐	徐		ziᶽ2	
齐	齊		ziᶽ2	
屿	嶼		ziᶽ6	
序	序		ziᶽ6	
叙	叙		ziᶽ6	
叙	敘		ziᶽ6	
叙	敍		ziᶽ6	
绪	緒		ziᶽ6	
聚	聚		dziᶽ6	
姬	姬		tɕiᶽ1	
乩	乩		tɕiᶽ1	
鸡	鷄		tɕiᶽ1	
鸡	雞		tɕiᶽ1	
鸡	鳮	雞俗字	tɕiᶽ1	
稽	稽		tɕiᶽ1	
玑	璣		tɕiᶽ1	
饥	飢	～餓	tɕiᶽ1	
饥	饑	～饉	tɕiᶽ1	
肌	肌		tɕiᶽ1	
几	几	茶～	tɕiᶽ1	
麂	麂	～皮	tɕiᶽ1	
基	基		tɕiᶽ1	
几	幾	～乎，老～	tɕiᶽ1	
机	機		tɕiᶽ1	
机	机	同几	tɕiᶽ1	
羁	羈		tɕiᶽ1	
羁	羇		tɕiᶽ1	
讥	譏		tɕiᶽ1	
矶	磯		tɕiᶽ1	
箕	箕		tɕiᶽ1	
奇	奇		tɕiᶽ1	
嵇	嵇		tɕiᶽ1	
笄	笄		tɕiᶽ1	
畸	畸		tɕiᶽ1	
计	計		tɕiᶽ5	
继	繼		tɕiᶽ5	
冀	冀		tɕiᶽ5	
记	記		tɕiᶽ5	
纪	紀		tɕiᶽ5	
寄	寄		tɕiᶽ5	
既	既		tɕiᶽ5	
既	旣		tɕiᶽ5	
暨	暨	～陽（江陰古稱）	tɕiᶽ5	
暨	曁	～陽（江陰古稱）	tɕiᶽ5	
彑	彑		tɕiᶽ5	
彐	彐		tɕiᶽ5	
罽	罽		tɕiᶽ5	
蓟	薊		tɕiᶽ5	
觊	覬		tɕiᶽ5	
季	季		tɕiᶽ5	
悸	悸		tɕiᶽ5	
溪	溪	小～	tɕʰiᶽ1	
溪	谿	玉～生（李商隱），慈～（浙江地名）	tɕʰiᶽ1	
嵠	嵠		tɕʰiᶽ1	
欺	欺		tɕʰiᶽ1	
岂	豈		tɕʰiᶽ1	
启	啓		tɕʰiᶽ1	
启	啟		tɕʰiᶽ1	
起	起		tɕʰiᶽ1	
杞	杞		tɕʰiᶽ1	
企	企		tɕʰiᶽ1	
憩	憩		tɕʰiᶽ5	
契	契		tɕʰiᶽ5	
器	器		tɕʰiᶽ5	
弃	棄		tɕʰiᶽ5	
弃	弃	古文棄字	tɕʰiᶽ5	
气	气	古文氣字	tɕʰiᶽ5	
气	氣		tɕʰiᶽ5	
炁	炁	同氣	tɕʰiᶽ5	
汽	汽		tɕʰiᶽ5	
祇	祇	神～	dʑiᶽ2	
畿	畿		dʑiᶽ2	
奇	奇		dʑiᶽ2	
骑	騎		dʑiᶽ2	
岐	岐		dʑiᶽ2	
歧	歧		dʑiᶽ2	
祁	祁		dʑiᶽ2	
鳍	鰭		dʑiᶽ2	
俟	俟	万～，複姓	dʑiᶽ2	
其	其		dʑiᶽ2	
碁	碁		dʑiᶽ2	
棋	棊		dʑiᶽ2	
綦	綦		dʑiᶽ2	
崎	崎		dʑiᶽ2	
淇	淇		dʑiᶽ2	
琪	琪		dʑiᶽ2	
祺	祺		dʑiᶽ2	
埼	埼		dʑiᶽ2	
琦	琦		dʑiᶽ2	
棋	棋		dʑiᶽ2	
期	期		dʑiᶽ2	
期	朞		dʑiᶽ2	
期	稘	朞本字。周年爲稘。	dʑiᶽ2	
旗	旗		dʑiᶽ2	
麒	麒		dʑiᶽ2	
祈	祈		dʑiᶽ2	
绮	綺		tɕʰiᶽ1	
骑	騎		dʑiᶽ6	
妓	妓		dʑiᶽ6	
伎	伎		dʑiᶽ6	
技	技		dʑiᶽ6	
忌	忌		dʑiᶽ6	
泥	泥		ȵiᶽ2	
霓	霓		ȵiᶽ2	
倪	倪		ȵiᶽ2	
宜	宜	便～	ȵiᶽ2	
宜	宜	適～	ɦiᶽ2	
尼	尼		ȵiᶽ2	
呢	呢	～子大衣	ȵiᶽ2	
疑	疑		ȵiᶽ2	
拟	擬		ȵiᶽ2	
沂	沂	臨～	ȵiᶽ2	
旎	旎		ȵiᶽ1	
你	你	（文）第二人稱	ȵiᶽ1	
你	妳	（文）用於女性的第二人稱	ȵiᶽ1	
你	祢	（文）用於神的第二人稱	ȵiᶽ1	
你	伱	（文）同你	ȵiᶽ1	
你	儞	（文）同你	ȵiᶽ1	
艺	藝		ȵiᶽ6	
谊	誼		ȵiᶽ6	
睨	睨		ȵiᶽ6	
腻	膩		ȵiᶽ6	
二	二		ȵiᶽ6	
贰	貳		ȵiᶽ6	
羲	羲		ɕiᶽ1	
曦	曦		ɕiᶽ1	
牺	犧		ɕiᶽ1	
熙	熙		ɕiᶽ1	
熙	煕		ɕiᶽ1	
熙	熈	俗熙字	ɕiᶽ1	
希	希		ɕiᶽ1	
醯	醯		ɕiᶽ1	
稀	稀		ɕiᶽ1	
嬉	嬉		ɕiᶽ1	
喜	喜		ɕiᶽ1	
