jiᶽan tiᶽ	trad	detail	调类	
晖	暉		huei1	
徽	徽		huei1	
悔	悔		huei1	
虫	虫	虺本字	huei1	
虺	虺	一種蛇	huei1	
毁	毁		huei1	
毁	毀		huei1	
毁	燬		huei1	
毁	譭		huei1	
毁	䛼		huei1	
贿	賄		huei5	
晦	晦		huei5	
卉	卉		huei5	
卉	芔	卉本字	huei5	
烩	燴		huei5	
桅	桅		ɦuei2	
徘	徘	～徊	bei2	
徊	徊	徘～	ɦuei2	
回	回		ɦuei2	
回	囘	一～	ɦuei2	
回	囬	一～	ɦuei2	
回	迴	～轉	ɦuei2	
回	逥	～轉	ɦuei2	
回	廻	～轉	ɦuei2	
回	廽	～轉	ɦuei2	
蛔	蛔		ɦuei2	
蛔	蚘		ɦuei2	
蛔	蜖		ɦuei2	
蛔	蛕		ɦuei2	
茴	茴		ɦuei2	
危	危		ɦuei2	
喂	喂	電話應答聲	ɦuei2	
为	爲	行～	ɦuei2	
违	違		ɦuei2	
围	圍		ɦuei2	
涠	潿	～洲島（廣西地名）	ɦuei2	
巍	巍		ɦuei2	
嵬	嵬		ɦuei2	
汇	匯	～合	ɦuei6	
汇	滙	～合	ɦuei6	
汇	彙	詞～	ɦuei6	
会	會	～議，開～	ɦuei6	
会	會	會做事	uei5	
绘	繪		ɦuei6	
卫	衛		ɦuei6	
卫	衞		ɦuei6	
卫	䘙		ɦuei6	
彗	彗		ɦuei6	
惠	惠		ɦuei6	
慧	慧		ɦuei6	
伪	僞		ɦuei6	
为	爲	～人民服務	ɦuei6	
位	位		ɦuei6	
魏	魏		ɦuei6	
讳	諱		ɦuei6	
讳	諱		huei5	
伟	偉		ɦuei6	
苇	葦		ɦuei6	
玮	瑋		ɦuei6	
炜	煒		ɦuei6	
荟	薈		uei5	
纬	緯		ɦuei6	
胃	胃		ɦuei6	
谓	謂		ɦuei6	
猬	猬		ɦuei6	
煨	煨		uei1	
偎	偎		uei1	
隈	隈		uei1	
萎	萎		uei1	
葵	葵	向日～	uei1	
威	威		uei1	
葳	葳		uei1	
畏	畏		uei5	
委	委		ɦuei1	
猥	猥		ɦuei1	
崴	崴		ɦuei1	
𫇭	蔿		ɦuei1	
𫇭	蒍		ɦuei1	
洧	洧		ɦuei1	
鲔	鮪		ɦuei1	
慰	慰		ɦuei6	
尉	尉		ɦuei6	
蔚	蔚		ɦuei6	
搬	搬		pø1	
半	半		pø5	
潘	潘		pʰø1	
拌	拌	～得：捨得（俗作拚）	pʰø1	
拚	拚	（俗）～得：捨得（正字爲拌）	pʰø1	
判	判		pʰø5	
泮	泮		pʰø5	
蟠	蟠	～龍山（江陰山名）	bø2	
繙	繙	同槃	bø2	
槃	槃		bø2	
磐	磐		bø2	
蹒	蹣		bø2	
盘	盤		bø2	
胖	胖	心寬體～	bø2	
伴	伴		bø6	
拌	拌		bø6	
叛	叛		bø6	
畔	畔		bø6	
瞒	瞞		mø2	
馒	饅		mø2	
鳗	鰻	～鱺	mø2	
鲡	鱺	鰻～	liᶽ2	
满	滿		mø1	
漫	漫		mø6	
幔	幔		mø6	
端	端		tø1	
短	短		tø1	
断	斷	決～	tø5	
锻	鍛		tø5	
湍	湍		tʰø1	
貒	貒		tʰø1	
贪	貪		tʰø1	
探	探		tʰø5	
彖	彖		tʰø5	
抟	摶		dø2	
漙	漙		dø2	
鏄	鏄		dø2	
覃	覃		dø2	
潭	潭		dø2	
谭	譚		dø2	
坛	罈	酒～	dø2	
坛	罎	酒～	dø2	
坛	壜	酒～	dø2	
坛	墰	酒～	dø2	
坛	墵	酒～	dø2	
埮	埮	酒～	dø2	
团	團		dø2	
段	段		dø6	
缎	緞		dø6	
断	斷	砍～	dø6	
囡	囡	女兒	nø1	
男	男		nø2	
南	南		nø2	
喃	喃		nø2	
楠	楠		nø2	
蝻	蝻		nø1	
腩	腩		nø1	
暖	暖		nø1	
岚	嵐		lø2	
婪	婪		lø2	
龻	龻		lø2	
鸾	鸞		lø2	
銮	鑾		lø2	
挛	攣		lø2	
孪	孿		lø2	
峦	巒		lø2	
娈	孌		lø2	
栾	欒		lø2	
滦	灤		lø2	
癵	癵		lø2	
脔	臠		lø2	
曫	曫		lø2	
羉	羉		lø2	
滦	灓		lø2	
圝	圝		lø2	
圞	圞		lø2	
卵	卵		lø1	
乱	亂		lø6	
詹	詹		tʂyø1	
瞻	瞻		tʂyø1	
占	占	～卜	tʂyø1	
沾	沾	～～自喜	tʂyø1	
沾	霑	～恩，雨露均～	tʂyø1	
毡	毡		tʂyø1	
毡	氊		tʂyø1	
毡	氈		tʂyø1	
钻	鑽	～研	tsø1	
颛	顓		tʂyø1	
专	專		tʂyø1	
砖	磚		tʂyø1	
撰	撰		dzø6	
馔	饌		dzø6	
展	展		tʂyø1	
辗	輾		tʂyø1	
纂	纂		tsø1	
转	轉	～眼	tʂyø1	
占	佔	（口）～便宜	tsiɪ5	
占	佔	～領	tʂyø5	
占	占		tʂyø5	
战	戰		tʂyø5	
颤	顫		tʂyø5	
钻	鑽	電～	tsø5	
转	轉	～圓圈	tʂyø5	
啭	囀		tʂyø5	
参	參		tsʰø1	
参	參	～差	tsʰəŋ1	
餐	湌	與餐同	tsʰø1	
餐	飡	俗湌字	tsʰø1	
喰	喰	《龍龕》音餐	tsʰø1	
餐	餐	～廳，～巾紙	tsʰø1	
汆	汆	燙一下食物	tsʰø1	
窜	竄		tsʰø1	
篡	篡		tsʰø5	
篡	簒		tsʰø5	
巛	巛	川本字	tʂʰyø1	
川	川		tʂʰyø1	
穿	穿		tʂʰyø1	
撺	攛		tsʰø1	
蹿	躥		tsʰø1	
惨	慘		tsʰø1	
喘	喘		tʂʰyø1	
舛	舛		tʂʰyø1	
串	串		tʂʰyø5	
缠	纏		dʐyø2	
缠	緾	纏省作緾	dʐyø2	
缠	纒	纏省作纒	dʐyø2	
廛	廛		dʐyø2	
㢆	㢆	同廛	dʐyø2	
㙻	㙻	俗廛字	dʐyø2	
鄽	鄽		dʐyø2	
䣑	䣑		dʐyø2	
厘	厘	《篇海》直連切，音纏。市鄽也。	dʐyø2	
传	傳	水滸～	dʐyø2	
椽	椽		dʐyø2	
篆	篆		dʐyø6	
蒃	蒃		dʐyø6	
传	傳		dʐyø6	
膻	膻		ʂyø1	
膻	羶		ʂyø1	
扇	扇	～風	ʂyø1	
扇	搧	～風	ʂyø1	
煽	煽		ʂyø1	
酸	酸	味道～	sø1	
酸	痠	～痛	sø1	
涮	涮		ʂyø1	
陕	陝		ʂyø1	
闪	閃		ʂyø1	
扇	扇	電風～	ʂyø5	
算	算		sø5	
祘	祘	同算	sø5	
算	筭		sø5	
算	笇	義同算	sø5	
蒜	蒜		sø5	
蚕	蠶		zø2	
蟾	蟾		ʐyø2	
蝉	蟬		ʐyø2	
禅	禪	～宗	ʐyø2	
单	單	～于	ʐyø2	
婵	嬋		ʐyø2	
然	然	弗～	dzø2	
然	然	當～	ʐyø2	
燃	燃		ʐyø2	
船	船		ʐyø2	
染	染		ʐyø2	
冉	冉		ʐyø6	
冉	冄		ʐyø6	
苒	苒		ʐyø6	
善	善		ʐyø6	
蟮	蟮	蛐～：蚯蚓	ʐyø6	
缮	繕		ʐyø6	
鳝	鱔		ʐyø6	
单	單	姓	ʐyø6	
膳	膳		ʐyø6	
禅	禪	～讓	ʐyø6	
甘	甘		kø1	
柑	柑		kø1	
泔	泔		kø1	
苷	苷		kø1	
干	干	～涉	kø1	
干	乾	～燥	kø1	
漧	漧	～燥	kø1	
肝	肝		kø1	
感	感		kø1	
敢	敢		kø1	
橄	橄	～欖	kᴇ1	
杆	杆	欄～	kø1	
杆	杆	一～秤	kø1	
杆	桿	一～秤	kø1	
竿	竿		kø1	
秆	秆		kø1	
秆	稈		kø1	
擀	擀		kø1	
赶	趕		kø1	
干	幹	骨～，～部	kø5	
干	榦	樹～	kø5	
赣	贛		kø5	
赣	灨		kø5	
赣	贑		kø5	
淦	淦		kø5	
绀	紺		kø5	
旰	旰		kø5	
看	看	～守	kʰø1	
堪	堪		kʰø1	
龛	龕		kʰø1	
嵁	嵁		kʰø1	
勘	勘		kʰø1	
磡	磡		kʰø1	
戡	戡		kʰø1	
墈	墈		kʰø1	
刊	刊		kʰø1	
刊	栞		kʰø1	
砍	砍		kʰø1	
侃	侃		kʰø1	
偘	偘	同侃	kʰø1	
莰	莰		kʰø1	
坎	坎		kʰø1	
崁	崁		kʰø1	
歁	歁		kʰø1	
衎	衎		kʰø5	
瞰	瞰		kʰø5	
矙	矙		kʰø5	
阚	鬫	闞本字	kʰø5	
阚	闞		kʰø5	
看	看	小～	kʰø5	
岸	岸		ŋø6	
憨	憨		hø1	
酣	酣		hø1	
鼾	鼾		hø1	
罕	罕		hø1	
汉	漢		hø5	
厂	厂	山石之厓巖，人可居	hø1	
邗	邗		ɦø2	
含	含		ɦø2	
邯	邯		ɦø2	
涵	涵		ɦø2	
函	函		ɦø2	
寒	寒		ɦø2	
韩	韓		ɦø2	
撼	撼		ɦø6	
憾	憾		ɦø6	
捍	捍		ɦø6	
扞	扞		ɦø6	
旱	旱		ɦø6	
汗	汗		ɦø6	
焊	焊		ɦø6	
翰	翰		ɦø6	
瀚	瀚		ɦø6	
庵	庵		ø1	
鹌	鵪		ø1	
安	安		ø1	
鞍	鞍		ø1	
揞	揞		ø1	
暗	暗		ø5	
暗	闇		ø5	
按	按		ø5	
案	案		ø5	
蠲	蠲		tʂyø1	
捐	捐		tʂyø1	
娟	娟		tʂyø1	
鹃	鵑		tʂyø1	
卷	卷	～起來	tʂyø1	
卷	捲	～起來	tʂyø1	
眷	眷		tʂyø5	
绢	絹		tʂyø5	
卷	卷	試～	tʂyø5	
圈	圈	圓～	tʂʰyø1	
犬	犬		tʂʰyø1	
劝	勸		tʂʰyø5	
券	券		tʂʰyø5	
蜷	蜷		dʐyø2	
拳	拳		dʐyø2	
权	權		dʐyø2	
颧	顴		dʐyø2	
圈	圈	豬～	dʐyø6	
倦	倦		dʐyø6	
软	軟		ŋø1	
楦	楦	鞋～	ʂyø5	
园	园	《莊子·齊物論》五者园而幾向方矣	ɦø2	
圆	圓		ɦyø2	
员	員		ɦyø2	
鸢	鳶		ɦyø2	
缘	緣		ɦyø2	
芫	芫		ɦyø2	
元	元	～寶	ȵyø2	
元	元	～旦	ɦyø2	
鼋	黿	～頭渚（無錫地名）	ɦyø2	
原	原	～諒	ȵyø2	
原	原	～子彈	ɦyø2	
源	源		ȵyø2	
袁	袁		ɦyø2	
辕	轅		ɦyø2	
园	園	公～	ɦyø2	
援	援		ɦyø2	
猿	猿		ɦyø2	
玄	玄		ɦyø2	
玹	玹		ɦyø2	
悬	懸		ɦyø2	
眩	眩		ɦyø2	
渊	淵		ɦyø2	
渊	渕	俗淵字	ɦyø2	
炫	炫		ɦyø6	
泫	泫		ɦyø6	
玹	玹		ɦyø6	
铉	鉉		ɦyø6	
媛	媛		ɦyø6	
院	院		ɦyø6	
朊	朊		ȵyø6	
阮	阮		ȵyø6	
愿	愿	《書·臯陶謨》～而恭	ȵyø6	
愿	願	～意	ȵyø6	
县	縣		ɦyø6	
冤	冤		yø1	
鸳	鴛		yø1	
远	遠		ɦyø1	
怨	怨		ɦyø6	
官	官		kø1	
棺	棺		kø1	
观	觀	參～，山～（江陰地名）	kø1	
冠	冠	～軍，衣～	kø1	
管	管		kø1	
馆	館		kø1	
馆	舘		kø1	
贯	貫		kø5	
盥	盥		kø5	
灌	灌		kø5	
罐	罐		kø5	
观	觀	寺～	kø5	
宽	寬		kʰø1	
髋	髖		kʰø1	
款	款		kʰø1	
欢	歡		hø1	
欢	懽		hø1	
獾	獾		hø1	
獾	貛		hø1	
獾	䝔		hø1	
焕	煥		hø5	
唤	喚		hø5	
痪	瘓		hø5	
完	完		ɦø2	
玩	玩		ɦø2	
玩	翫		ɦø2	
纨	紈		ɦø2	
丸	丸		ɦø2	
桓	桓		ɦø2	
换	換		ɦø6	
皖	皖		ɦø1	
豌	豌		ø1	
腕	腕		ø5	
缓	緩		ɦø1	
碗	碗		ɦø1	
惋	惋		ɦø1	
宛	宛		ɦø1	
菀	菀		ɦø1	
婉	婉		ɦø1	
浣	浣		ɦø6	
浣	澣		ɦø6	
巴	巴		pu1	
芭	芭		pu1	
疤	疤		pu1	
笆	笆		pu1	
把	把	量詞	pu1	
霸	霸		pu5	
坝	垻		pu5	
坝	壩		pu5	
怕	怕		pʰu5	
趴	趴		bu2	
趴	趴	（新）	pʰɑ1	
扒	扒		bu2	
爬	爬		bu2	
琶	琶		bu2	
耙	耙		bu2	
嬷	嬤		mø2	
蟆	蟆		mø2	
蟆	蟇		mø2	
痲	痲	痲風病，與“痳”不同	mø2	
麻	蔴		mø2	
麻	麻		mø2	
蘑	蘑	～菇	mø2	
马	馬		mø1	
码	碼		mø1	
玛	瑪		mø1	
吗	嗎		mø6	
㐷	傌		mø6	
骂	駡		mø6	
骂	罵		mø6	
那	那		nɑ1	
拿	拿	俗拏字	nø2	
拿	拏		nø2	
拿	挐	同拏	nø2	
拿	㧱	俗拏字	nø2	
查	査	姓	tsø1	
查	查	姓	tsø1	
楂	楂		tsø1	
渣	渣		tsø1	
诈	詐		tsø5	
醡	醡		tsø5	
榨	榨	～油	tsø5	
炸	炸	爆～	tsø5	
柞	柞		tsø5	
钗	釵		tsʰø1	
叉	扠		tsʰø1	
叉	叉		tsʰø1	
杈	杈		tsʰø1	
砗	硨		tsʰø1	
车	車		tsʰø1	
岔	岔		tsʰø5	
奼	奼		tsʰø5	
姹	姹		tsʰø5	
茶	茶		dzø2	
搽	搽		dzø2	
茬	茬		dzø2	
查	査		dzø2	
查	查		dzø2	
乍	乍		dzø6	
蜡	蜡	夏曰淸祀，殷曰嘉平，周曰蜡，秦曰臘	dzø6	
鲨	鯊		sø1	
痧	痧		sø1	
莎	莎		sø1	
沙	沙		sø1	
砂	砂	硃～	sø1	
纱	紗		sø1	
裟	裟		sø1	
所	所	廁～	sø1	
产	產	～母娘：產婦	sø1	
产	産	～母娘：產婦	sø1	
瓜	瓜		ku1	
寡	寡		ku1	
剐	剮		ku1	
嫁	嫁		kɑ5	
价	价	价，善也	kɑ5	
价	價	～錢	kɑ5	
挂	挂		ku5	
挂	掛		ku5	
卦	卦		ku5	
夸	誇		kʰu1	
夸	夸		kʰu1	
垮	垮		kʰu1	
可	可		kʰəɯ1	
跨	跨		kʰu5	
胯	胯		kʰu5	
牙	牙		ŋɑ2	
芽	芽		ŋɑ2	
衙	衙		ŋɑ2	
瓦	瓦	磚～	ŋø1	
虾	蝦		hu1	
哗	嘩		hu1	
哗	譁		hu1	
花	花	～瓣，～費，姓	hu1	
花	蘤	～瓣	hu1	
花	芲	～瓣	hu1	
化	化		hu5	
罅	罅	～～：縫隙	hu5	
华	華		ɦu2	
华	崋		ɦu2	
铧	鏵		ɦu2	
划	划	～船	ɦu2	
华	華		ɦu6	
华	崋		ɦu6	
桦	樺		ɦu6	
嬅	嬅		ɦu6	
画	畵		ɦu6	
画	畫		ɦu6	
话	話		ɦu6	
踝	踝		ɦu2	
厦	廈		ɦu6	
下	下		ɦu6	
下	下	（文）零～	ɦiɑ6	
下	丅	古文下字	ɦu6	
夏	夏		ɦu6	
嗄	嗄		ɦu6	
娲	媧		u1	
鸦	鴉		u1	
丫	丫	～頭：女孩子	u1	
桠	椏	～杈：枝椏	u1	
窊	窊		u1	
漥	漥		u1	
溛	溛		u1	
搲	搲		u1	
蛙	蛙		u1	
蛙	鼃	同䵷	u1	
蛙	䵷	古文蛙字	u1	
洼	洼		u1	
洼	窪		u1	
哑	啞		ø1	
靴	靴		ɕiu1	
谟	謨		mø2	
馍	饃		mø2	
摹	摹		mø2	
魔	魔		mø2	
磨	磨	～刀	mø2	
摩	摩		mø2	
模	模		mø2	
谟	謨		mø2	
亩	畮		m1	
亩	畝		m1	
母	母		mø1	
拇	拇		mø1	
姥	姥		mø1	
磨	磨	石～	mø6	
暮	暮		mø6	
慕	慕		mø6	
墓	墓		mø6	
募	募		mø6	
幕	幕		mø6	
多	多		təɯ1	
闍	闍		təɯ1	
都	都		təɯ1	
埵	埵		təɯ1	
朵	朵	本作朶	təɯ1	
朵	朶	同朵	təɯ1	
朵	䒳	䒳字原从朶作	təɯ1	
躲	躲	同躱	təɯ1	
躲	躱		təɯ1	
挅	挅		təɯ1	
挆	挆	與挅同	təɯ1	
跺	跺		təɯ1	
跺	跥		təɯ1	
堵	堵		təɯ1	
赌	賭		təɯ1	
肚	肚	豬～，魚～	təɯ1	
桗	桗		təɯ5	
剁	剁		təɯ5	
剁	刴		təɯ5	
妒	妒		təɯ5	
妒	妬		təɯ5	
蠹	蠹		təɯ5	
螙	螙	古文蠹字	təɯ5	
蠧	蠧	同蠹	təɯ5	
拖	拖		tʰəɯ1	
妥	妥		tʰəɯ1	
椭	橢		tʰəɯ1	
唾	唾		tʰəɯ1	
土	土		tʰəɯ1	
吐	吐		tʰəɯ1	
兔	兔		tʰəɯ5	
兔	兎	俗兔字	tʰəɯ5	
堍	堍		tʰəɯ5	
菟	菟	菟絲	tʰəɯ5	
菟	莵	俗菟字	tʰəɯ5	
菟	菟	楚人謂虎爲於菟	dəɯ2	
菟	莵		dəɯ2	
荼	荼		dəɯ2	
酴	酴		dəɯ2	
鼍	鼉		dəɯ2	
驼	駞		dəɯ2	
驼	駝		dəɯ2	
鸵	鴕		dəɯ2	
驮	馱		dəɯ2	
驮	駄		dəɯ2	
陀	陀		dəɯ2	
佗	佗		dəɯ2	
沱	沱	滂～	dəɯ2	
徒	徒		dəɯ2	
屠	屠		dəɯ2	
途	途		dəɯ2	
涂	涂		dəɯ2	
涂	塗	～～畫畫	dəɯ2	
图	圖		dəɯ2	
舵	舵		dəɯ6	
大	大	～姐，～小	dəɯ6	
堕	墮		dəɯ6	
惰	惰		dəɯ6	
肚	肚	～臍眼，～皮	dəɯ6	
杜	杜		dəɯ6	
度	度		dəɯ6	
渡	渡		dəɯ6	
镀	鍍		dəɯ6	
奴	奴		nəɯ2	
捼	捼	動詞，揉身體的某個部位	nəɯ2	
挪	挪		nəɯ2	
努	努		nəɯ1	
娜	娜		nəɯ6	
糯	糯		nəɯ6	
懦	懦		nəɯ6	
怒	怒		nəɯ6	
啰	囉		ləɯ1	
噜	嚕	～囌	ləɯ1	
罗	羅		ləɯ2	
锣	鑼		ləɯ2	
箩	籮		ləɯ2	
萝	蘿	菠～，～蔔	ləɯ2	
骡	騾		ləɯ2	
螺	螺		ləɯ2	
脶	腡		ləɯ2	
卢	盧		ləɯ2	
炉	爐		ləɯ2	
芦	蘆		ləɯ2	
鸬	鸕		ləɯ2	
裸	裸		ləɯ1	
鲁	魯		ləɯ1	
橹	櫓		ləɯ1	
虏	虜		ləɯ1	
掳	擄		ləɯ1	
卤	鹵		ləɯ1	
卤	滷		ləɯ1	
篓	簍		lei1	
路	路		ləɯ6	
璐	璐		ləɯ6	
潞	潞	～城（常州地名）	ləɯ6	
露	露		ləɯ6	
鹭	鷺		ləɯ6	
租	租		tsəɯ1	
左	左		tsəɯ1	
佐	佐		tsəɯ1	
祖	祖		tsəɯ1	
组	組		tsəɯ1	
阻	阻		tsəɯ1	
俎	俎		tsəɯ1	
俎	爼	俎字之譌	tsəɯ1	
做	做		tsəɯ5	
搓	搓		tsʰəɯ1	
粗	粗		tsʰəɯ1	
初	初		tsʰəɯ1	
楚	楚		tsʰəɯ1	
础	礎		tsʰəɯ1	
锉	銼		tsʰəɯ5	
醋	酢		tsʰəɯ5	
醋	醋		tsʰəɯ5	
措	措		tsʰəɯ5	
错	錯	～過機會	tsʰəɯ5	
错	錯	弗～	tsʰø5	
助	助		dzəɯ6	
蓑	蓑		səɯ1	
梭	梭		səɯ1	
唆	唆		səɯ1	
苏	蘇	～州	səɯ1	
苏	甦	～醒	səɯ1	
苏	囌	嚕～	səɯ1	
稣	穌		səɯ1	
酥	酥		səɯ1	
梳	梳		sɿ1	
疏	疏		səɯ1	
疏	疎	同疏	səɯ1	
蔬	蔬		səɯ1	
锁	鎖		səɯ1	
唢	嗩		səɯ1	
琐	瑣		səɯ1	
数	數	～銅鈿（動詞）	səɯ1	
素	素		səɯ5	
愫	愫		səɯ5	
溯	溯		səɯ5	
泝	泝		səɯ5	
㴑	㴑		səɯ5	
溯	遡		səɯ5	
愬	愬		səɯ5	
诉	訴		səɯ5	
塑	塑		səɯ5	
塑	塑	～料	soʔ7	
数	數	～目（名詞）	səɯ5	
锄	鋤		zɿ2	
雏	雛		zəɯ2	
坐	坐		zəɯ6	
座	座		zəɯ6	
哥	哥		kəɯ1	
歌	歌		kəɯ1	
歌	謌		kəɯ1	
锅	鍋		kəɯ1	
戈	戈		kəɯ1	
个	個	～別	kəɯ1	
个	箇	～別	kəɯ1	
个	个	～別	kəɯ1	
果	果		kəɯ1	
果	菓		kəɯ1	
裹	裹		kəɯ1	
过	過		kəɯ5	
柯	柯		kʰəɯ1	
苛	苛		kʰəɯ1	
坷	坷		kʰəɯ1	
岢	岢		kʰəɯ1	
珂	珂		kʰəɯ1	
轲	軻		kʰəɯ1	
科	科		kʰəɯ1	
疴	疴		kʰəɯ1	
窠	窠	被頭～：被窩	kʰəɯ1	
棵	棵		kʰəɯ1	
蝌	蝌		kʰəɯ1	
颗	顆		kʰəɯ1	
课	課		kʰəɯ5	
娥	娥		ŋəɯ2	
蛾	蛾		ŋəɯ2	
讹	訛		ŋəɯ2	
讹	譌	訛本字	ŋəɯ2	
囮	囮		ŋəɯ2	
峨	峨		ŋəɯ2	
峨	峩	同峨	ŋəɯ2	
莪	莪		ŋəɯ2	
哦	哦		ŋəɯ2	
哦	誐		ŋəɯ2	
吪	吪		ŋəɯ2	
鹅	鵝		ŋəɯ2	
鹅	鵞		ŋəɯ2	
鹅	䳗		ŋəɯ2	
鹅	䳘		ŋəɯ2	
俄	俄		ŋəɯ2	
我	我		ŋəɯ1	
我	我	又	ŋəɯ6	
鼯	鼯		ŋəɯ6	
吾	吾		ŋəɯ6	
饿	餓		ŋəɯ6	
卧	臥		ŋəɯ6	
喝	喝	（又音）～個一口：喝一口湯、茶、粥等流質食物	həɯ1	
呵	呵		həɯ1	
诃	訶		həɯ1	
嗬	嗬		həɯ1	
火	火		həɯ1	
伙	伙		həɯ1	
伙	夥		həɯ1	
货	貨		həɯ5	
荷	荷	薄～	həɯ5	
河	河		ɦəɯ2	
何	何		ɦəɯ2	
菏	菏	～澤（山東地名）	ɦəɯ2	
荷	荷	～花	ɦəɯ2	
和	和	～氣，～服	ɦəɯ2	
和	龢		ɦəɯ2	
和	咊		ɦəɯ2	
禾	禾		ɦəɯ2	
贺	賀		ɦəɯ6	
祸	禍		ɦəɯ6	
和	和	～泥	ɦəɯ6	
婀	婀		əɯ1	
倭	倭		əɯ1	
涡	渦		əɯ1	
莴	萵	～苣	u1	
蜗	蝸		kəɯ1	
屙	屙	～,～肚：腹瀉。～屎：大便	əɯ1	
顾	頋	靜	ŋəɯ1	
痾	痾		əɯ1	
窝	窩		əɯ1	
挝	撾	老～	əɯ1	
缪	繆		məɯ2	
谬	謬		məɯ6	
溜	溜		ləɯ1	
溜	澑		ləɯ1	
流	流		ləɯ2	
刘	劉		ləɯ2	
浏	瀏		ləɯ2	
鎏	鎏		ləɯ2	
镠	鏐		ləɯ2	
旒	旒		ləɯ2	
㐬	㐬		ləɯ2	
旈	旈		ləɯ2	
留	留		ləɯ2	
留	畱		ləɯ2	
榴	榴		ləɯ2	
榴	橊		ləɯ2	
硫	硫		ləɯ2	
琉	琉		ləɯ2	
柳	柳		ləɯ1	
柳	桺		ləɯ1	
绺	綹	又	ləɯ1	
馏	餾		ləɯ2	
馏	𩞷		ləɯ2	
啾	啾		tsəɯ1	
酒	酒		tsəɯ1	
萩	萩		tsʰəɯ1	
秋	秋		tsʰəɯ1	
秋	秌		tsʰəɯ1	
秋	龝		tsʰəɯ1	
秋	鞦	～韆	tsʰəɯ1	
鳅	鰍		tsʰəɯ1	
鳅	鰌		tsʰəɯ1	
鹫	鷲		zəɯ6	
就	就		zəɯ6	
修	修		səɯ1	
修	脩		səɯ1	
羞	羞		səɯ1	
馐	饈		səɯ1	
滫	滫		səɯ1	
秀	秀		səɯ5	
宿	宿	星～	səɯ5	
宿	㝛	星～	səɯ5	
绣	繡		səɯ5	
绣	綉		səɯ5	
锈	銹		səɯ5	
锈	鏽		səɯ5	
囚	囚		zəɯ2	
泅	泅		zəɯ2	
酋	酋		zəɯ2	
遒	遒		zəɯ2	
袖	褎		zəɯ6	
袖	褏		zəɯ6	
袖	袖		zəɯ6	
揪	揪		tɕiəɯ1	
鬏	鬏		tɕiəɯ1	
鸠	鳩		tɕiəɯ1	
阄	鬮		tɕiəɯ1	
纠	糾		tɕiəɯ1	
赳	赳		tɕiəɯ1	
究	究		tɕiəɯ5	
玖	玖		tɕiəɯ1	
九	九		tɕiəɯ1	
久	久		tɕiəɯ1	
韭	韭		tɕiəɯ1	
韭	韮		tɕiəɯ1	
灸	灸		tɕiəɯ1	
疚	疚		tɕiəɯ5	
救	救		tɕiəɯ5	
恘	恘	品行惡劣	tɕʰiəɯ1	
邱	邱		tɕʰiəɯ1	
丘	丘		tɕʰiəɯ1	
丘	坵		tɕʰiəɯ1	
蚯	蚯		tɕʰiəɯ1	
糗	糗		tɕʰiəɯ1	
求	求		dʑiəɯ2	
球	球		dʑiəɯ2	
虬	虯		dʑiəɯ2	
虬	虬	同虯	dʑiəɯ2	
犰	犰		dʑiəɯ2	
仇	仇		dʑiəɯ2	
仇	讐		dʑiəɯ2	
仇	讎		dʑiəɯ2	
臼	臼		dʑiəɯ6	
舅	舅		dʑiəɯ6	
旧	舊		dʑiəɯ6	
咎	咎		dʑiəɯ6	
倃	倃		dʑiəɯ6	
柩	柩		dʑiəɯ6	
牛	牛		ȵiəɯ2	
妞	妞		ȵiəɯ1	
纽	紐		ȵiəɯ1	
扭	扭		ȵiəɯ1	
钮	鈕		ȵiəɯ1	
忸	忸		ȵiəɯ1	
飍	飍		ɕiəɯ1	
休	休		ɕiəɯ1	
貅	貅	貔～	ɕiəɯ1	
朽	朽		ɕiəɯ1	
嗅	嗅		ɕiəɯ5	
溴	溴		ɕiəɯ5	
尤	尤		ɦiəɯ2	
鱿	魷		ɦiəɯ2	
邮	郵		ɦiəɯ2	
由	由		ɦiəɯ2	
油	油		ɦiəɯ2	
游	游	～泳	ɦiəɯ2	
游	遊	旅～	ɦiəɯ2	
犹	猶		ɦiəɯ2	
又	又	（文）	ɦiəɯ6	
又	又	（口）	ɦiᶽ6	
右	右		ɦiəɯ6	
佑	佑		ɦiəɯ6	
佑	祐		ɦiəɯ6	
酉	酉		ɦiəɯ6	
柚	柚		ɦiəɯ6	
釉	釉		ɦiəɯ6	
优	優		iəɯ1	
忧	憂		iəɯ1	
攸	攸		iəɯ1	
悠	悠		iəɯ1	
幽	幽		iəɯ1	
有	有		iəɯ1	
友	友		iəɯ1	
莠	莠		ɦiəɯ6	
诱	誘		ɦiəɯ6	
鼬	鼬		ɦiəɯ6	
囿	囿		ɦiəɯ6	
侑	侑		ɦiəɯ6	
宥	宥		ɦiəɯ6	
幼	幼		iəɯ5	
儿	兒	（文）～童，幼～	əl2	
儿	兒	（白）貓～，～子	ȵiᶽ2	
儿	兒	（白）兒綴；～子	ŋ2	
而	而		əl2	
鸸	鴯		əl2	
鲕	鮞		əl2	
尔	尔	同爾	əl1	
尔	爾		əl1	
尔	𡭗	同爾	əl1	
尔	尓	同爾	əl1	
尔	尒	同爾	əl1	
洱	洱		əl1	
迩	迩	同邇，俗省	əl1	
迩	邇		əl1	
咡	咡		əl1	
珥	珥		əl1	
佴	佴		əl1	
铒	鉺		əl1	
耳	耳	～朵，木～	ȵiᶽ1	
饵	餌		əl1	
