聲母	韻母	陰平24	陽平21	陰上55	陽上35	陰去33	陽去22
ɓ	wɔn		21盤				22伴拌
pʰ	wɔn	24潘				33判叛	
m	wɔn		21瞞門	55滿			22悶
f	wɔn	24歡寬	21桓	55款			22緩喚煥
ɗ	wɔn	24鑽[動詞]	21團			33鑽[木工用具]鍛	22段斷(~絕)緞椴
tʰ	wɔn	24吞				33斷[斷了,形容詞]	
n	wɔn			55□[大拇指和食指向反方向用力，將粘在一塊的東西弄開]		33暖	
l	wɔn	24端	21鸞	55短卵			22亂
ɬ	wɔn	24酸				33算	
ʦ	wɔn	24專磚		55轉(~眼、~圓圈)	35*傳(自~)*篆		22撰
ȵ	wɔn					33軟	
s	wɔn	24門(~門)拴	21船			33吮(~手指)[用口含住手指吮吸]	
k	wɔn	24官棺觀(參~)冠(衣~)		55館管		33罐貫灌觀(奇~)冠(~軍)	
kʰ	wɔn			55墾懇			
ŋ	wɔn		21銀齦				
h	wɔn		21痕	55很			22恨[喜歡]
ȵ	yɔn		21元原源		35阮		22願
j	yɔn	24冤淵	21緣圓完員沿鉛袁轅園援玄懸眩	55遠宛	35*院丸	33怨	22縣
ɓ	ɔŋ						22謗
pʰ	ɔŋ		21滂旁螃傍龐		35蚌		
m	ɔŋ		21忙芒茫虻		35莽蟒		
w	ɔŋ	24幫邦	21黃簧王皇蝗	55綁枉榜	35往		22旺
ɗ	ɔŋ	24贓	21棠(~下)[地名]糖塘				22蕩宕髒藏(西~)
tʰ	ɔŋ	24湯倉蒼	21堂螳唐棠(海~花)藏(隱~)	55倘躺		33燙趟	
n	ɔŋ		21囊瓤				22浪
l	ɔŋ	24當(~時)	21郎狼廊螂娘	55黨擋	35朗	33當(~作)	22晾浪
ɬ	ɔŋ	24桑喪(~事)		55嗓搡		33喪(~失)	
ʦ	ɔŋ	24莊裝				33壯	22狀撞
ʦʰ	ɔŋ	24瘡窗	21床	55闖廠		33創	
s	ɔŋ	24霜雙孀		55爽			
k	ɔŋ	24岡崗剛綱缸				33鋼降(下~)	
kʰ	ɔŋ		21狂逛			33抗炕	
ŋ	ɔŋ		21昂				22戇
h	ɔŋ	24康糠匡筐眶	21行(~列)航杭降(投~)	55慷			22項巷
ʔ	ɔŋ	24肮骯					
m	wɔŋ		21亡芒忘		35妄網輞		22望
f	wɔŋ	24荒慌謊方肪芳	21房防妨	55晃紡仿彷訪			
k	wɔŋ	24光江扛紅		55廣講港			
kʰ	wɔŋ					33曠礦	
m	ɔt					3抹	
w	ɔt						2活
k	ɔt					3割葛	
h	ɔt					3喝渴	2瞎轄核(~心)
ɓ	wɔt						2勃撥脖鈸餑
pʰ	wɔt			5潑(~水)		3撥(~扇)[扇扇子]潑(活~)	
m	wɔt					3抹	22物勿末沫沒
f	wɔt					3闊	
ɗ	wɔt			5嘬(柿~)[柿子]		3嘬	2奪
tʰ	wɔt					3脫	2𨳍[男性生殖器]
l	wɔt						2捋劣
ʦ	wɔt			5拙			
s	wɔt			5說			
k	wɔt					3割葛	
kʰ	wɔt			5括		3豁	
h	wɔt					3渴	
ȵ	yɔt						2月
j	yɔt			5乙			2越曰粤穴閱悅
ɓ	ɔk						2薄泊
pʰ	ɔk					3撲醭樸	
m	ɔk			5剝(~削)		3剝(~開)	2莫膜幕寞
f	ɔk					3霍縛	
w	ɔk			5博㩧[用棍子打]㩧(~佬)[鄉巴佬]	35鑊	3搏駁	2獲
ɗ	ɔk			5作(工~)		3作(~爲)	2鑿鐸踱昨
tʰ	ɔk					3托拓	
n	ɔk						2諾
l	ɔk			5烙駱酪洛落(角~頭)[角落]			2絡樂(快~)落(下~)
ɬ	ɔk			5朔		3索	
ʦ	ɔk					3捉	
ʦʰ	ɔk					3戳□[大力甩,使消除皺折](~下件衫)	
s	ɔk			5箾[用細棍子敲打人]		3嗍[大力吸氣，聞]	
k	ɔk			5覺(知~)		3郭角(牛~)覺(~得)	
kʰ	ɔk			5搉確(的~良)		3確(的而且~)	
ŋ	ɔk						2鄂嶽岳樂(音~)𩓥(~頭)[擡頭]
h	ɔk					3殼	2學鶴
ʔ	ɔk			5惡[兇惡](~佬)		3惡[難](~做)	
k	wɔk			5国			
ɓ	ʊŋ						22𩗴(一~tʰui21)[一陣怪味兒]
pʰ	ʊŋ		21篷			33碰	
m	ʊŋ		21蒙蠓	55懵			22夢
f	ʊŋ	24風封峰鋒楓豐蜂瘋	21馮逢蓬縫(~补、~隙)	55諷俸			22鳳奉
w	ʊŋ			55捧			
ɗ	ʊŋ	24宗綜鬃堫縱(~橫)	21銅同[相當於“跟、和”，可作連詞和介詞]	55總	35*粽	33縱(放~)	22動棟幢洞誦頌訟
tʰ	ʊŋ	24通聰匆蔥囪熥	21同(~學)桐童瞳從松(~樹)	55統桶捅筒		33痛	
n	ʊŋ	24燶[東西煮焦了]	21農膿濃鼻	55□(~埋)[常指人結伴幹事]			22□(鼻~~)[因傷風感冒鼻子不通暢而說話帶鼻音的樣子]
l	ʊŋ	24東冬	21龍聾籠隆	55董懂	35龍隴壟瓏	33凍	22弄
ɬ	ʊŋ	24松(輕~)嵩		55聳慫	35*餸	33送宋	
ʦ	ʊŋ	24鍾盅中(~間)忠舂終		55種(~類)腫		33種(~菜)中(~獎)衆	22仲重(輕~)
ʦʰ	ʊŋ	24充沖衝	21重(~複)蟲	55寵塚		33重(~量)	
ȵ	ʊŋ		21戎絨茸(參茸)冗(撥冗，冗長)				
s	ʊŋ		21崇				
k	ʊŋ	24工公(~園)功攻蚣弓躬宮恭供(提~)		55鞏拱(~手)		33貢供(進~)	22共供(~仔)[照看孩子]
kʰ	ʊŋ	24控[枝,量詞](一~花)	21窮	55孔			
h	ʊŋ	24空轟胸凶兇	21紅洪鴻雄虹熊	55哄(~騙)恐		33哄(起~)控烘汞嗅(用鼻子聞)	22烘[天氣熱、氣溫高，使人覺得熱]
ʔ	ʊŋ	24壅		55㧬[推]		33甕□[不是很好聞的一種氣味]	
j	ʊŋ	24翁雍	21容戎融蓉庸絨	55擁甬湧	35勇	33壅(~埋)[衣物等收縮]	22用
ɓ	ʊk				35𦢊[平面所凸起的一個小包]		2僕瀑
pʰ	ʊk					3仆(仆倒)[跌倒]	
m	ʊk					3□[老人家沒牙吃東西，而用牙肉部分慢慢嚼食物地樣子]	22木目穆牧
f	ʊk			5福幅蝠複腹複(~習)覆(反~)			2伏服複復(~原)
w	ʊk			5卜(占~)			
ɗ	ʊk			5足		3足(八~)[蜈蚣]㧻(~親)[特指不小心弄傷手腳關節處]	2讀毒族逐(~家~戶)俗續獨牘犢
tʰ	ʊk			5促束(~衫)[把上衣下擺束在褲腰裏面]秃速			
n	ʊk					3搙[用尖細的東西戳]	2搙[踩]
l	ʊk			5碌轆篤督		3漉[滾](~去~來)涿[量詞](一~屎)	2六陸綠錄鹿戮
ɬ	ʊk			5粟肅宿		3餿熄(~火)	
ʦ	ʊk			5築祝燭囑(~咐)竹		3粥囑[囑咐]	2軸逐(追~)濁
ʦʰ	ʊk			5束速畜觸鐲蓄			
ȵ	ʊk						2肉辱玉褥獄
s	ʊk			5叔縮			2熟淑贖屬蜀
k	ʊk			5穀菊掬		3穀	2局焗
kʰ	ʊk			5曲(歌~)麴(酒~)		3曲[不直]	
h	ʊk			5哭			2酷
ʔ	ʊk			5屋[房子]		3屋(~企)[家]	
j	ʊk			5沃郁		3喐[動，活動]	2育欲慾浴
ɓ	øy		21浮(~上來)				22菢[孵](~雞仔)
pʰ	øy				35抔[量詞](一~屎)[常指嬰兒拉在尿布上的一尿布屎]		
m	øy		21謀	55□[用手指關節處敲打別人的腦袋]	35畝某牡		22戊茂貿謬
f	øy		21浮(輕~)	55否剖			22埠(外~)阜
w	øy	24踎[蹲]					
ɗ	øy		21頭投	55走		33皺奏縐	22逗豆
tʰ	øy	24偷		55娶		33透湊	
n	øy						22膩(食~)[吃腻了]
l	øy	24褸兜縷	21樓	55騮(馬~)[猴子]抖陡摟簍糾(~纏)		33鬥	22漏陋
ɬ	øy			55叟搜颼餿		33嗽漱	
ʦ	øy	24□(~水)[把水捧起]					22紂宙驟□(~~氣氣)[傻裏傻氣]
ʦʰ	øy	24抽[擡起]				33湊(~仔)[照料年齡較小的孩子]	
ȵ	øy		21柔揉				
s	øy		21愁			33瘦叟守(太~)銹(生~)	
k	øy			55狗苟		33夠	22睺[帶恨意地看]嚿(一~)[一塊,量詞]
kʰ	øy	24溝摳				33構購扣叩寇磕	
ŋ	øy	24勾鈎(~住)	21牛	55鈎[名詞,鈎子]	35藕偶(配~)(~然)		22□[呆、笨、傻]
h	øy	24候(~渠唔在)[趁他不在]	21喉猴侯	55口吼	35厚		22後候
ʔ	øy	24區歐鷗甌		55嘔毆		33熰[文火慢慢熬]漚慪(~氣)	
tʰ	øn		21全泉				
l	øn	24攣[彎曲](~躬曲背)	21聯	55戀			
ʦʰ	øn	24川穿	21傳(~達)	55喘湍揣		33串竄	
ɬ	øn	24宣	21旋镞	55選			22倩羨
k	øn	24捐娟絹		55卷		33眷	22倦
kʰ	øn		21權拳顴				
h	øn	24圈喧		55犬		33勸券	
ɗ	øt						2絕
ʦʰ	øt			5出(~去~來)[進進出出地走來走去]			
ɬ	øt			5雪		3雪	
k	øt					3□[打某人]	2竭[食物很稠]
kʰ	øt			5鳜(~魚)厥憠決括缺		3缺	
h	øt					3血	
ɓ	i		21皮疲脾		35*篦		22鼻被(~動)避備
pʰ	i	24披丕	21琵枇	55彼敝鄙	35被[名詞]婢	33屁譬	
m	i		21彌獼靡微眉楣媚麋縻黴	55尾俾	35美	33瀰[東西裝滿了]	22味沕(~水)[潛下水]未寐
w	i	24威碑卑悲喂	21違爲(作~)維惟遺唯圍	55緯臂比俾萎委韋偉髀		33畏泌秘庇痹慰尉蔽蓖穢祕	22胃惠衛爲(~什麽)位謂蝟
ɗ	i			55姊			22地
tʰ	i		21糍[用粉蒸的瓣法做出來的糕點的統稱]		35臍(肚~)[白]		
n	i				35你[你們]	33你	22膩(肥~)
l	i	24知(~道)	21離(~別、~開)籬狸璃厘梨	55李裏(~~外外)	35裏(公~)理(~由)梨履	33理[理會、理睬]鯉	22利厲脷痢吏
ɬ	i			55死		33四肆	
ʦ	i	24知(~覺)之芝蜘支枝肢咨脂輜		55止紙只(~有)旨指滓趾址		33至置知(~識)智致志誌痣	22治痔雉稚
ʦʰ	i	24癡黐	21持遲池馳匙(~羹)	55始侈矢恥齒嗤扯		33翅嗜	
ȵ	i	24議	21兒而宜儀沂(~河)疑誼	55耳	35爾	33議(~論)	22二貳餌義
s	i	24屍施詩	21時匙(鎖~)鰣	55屎	35市	33試嗜肄	22親是氏豉示侍恃
k	i	24機饑(~荒)饑(~餓)肌基(~礎)譏幾(~乎)奇(~數)		55己紀幾(~個)		33記寄既	22忌妓技
kʰ	i	24崎	21奇(~怪)歧祁鰭其期旗祈棋岐			33企(~業)徛冀	
h	i	24欺犧嬉嘻熙希稀		55起喜豈		33氣汽戲器棄	
j	i	24衣伊依擬醫以	21姨誼移夷而疑飴	55椅倚耳	35矣已以	33意	22易(容~)異肄異
ɗ	iu	24奏[叫某人]		55酒			22就袖
tʰ	iu	24秋鞦					
n	iu			55紐扭朽			
l	iu		21劉留流硫琉溜餾		35柳*瘤		
ɬ	iu	24修差				33秀繡銹(鐵~)	
ʦ	iu	24周鄒舟州洲				33咒晝	22肘帚
ʦʰ	iu	24抽(~水)	21籌囚泅凋稠籌酬仇〔姓〕	55醜	35籌(執~)[抽籤]	33臭獸	
s	iu	24收	21仇(報~)	55手數[動詞]首守		33數[名詞]	22受壽授售
k	iu			55九久韭		33救咎疚灸究	22舊柩
kʰ	iu	24舅(~父)	21求球			33舅(~公)	
h	iu	24丘				33嗅[用鼻嗅]	
j	iu	24優憂休幽	21由油(花生~)尤遊猶悠郵		35友酉*柚*鼬*釉	33有莠誘幼	22又右祐
ɗ	im					33浸[泡]	22浸[淹着了]
tʰ	im	24侵	21尋	55寢			
l	im		21林淋臨		35凜檩		
ɬ	im	24心					
ʦ	im	24針斟[倒,動詞]		55枕[名]		33枕[動詞]	
ʦʰ	im		21沈				
ȵ	im		21壬任[姓]吟				22任(責~)紝
s	im	24深森	21岑	55審沈嬸		33滲	22甚
k	im	24金今		55錦		33禁(~不住、~止)	22揿
kʰ	im	24妗襟	21琴禽擒				
h	im	24欽					
j	im	24陰蔭音	21淫	55飲		33□[用濕布輕輕擦拭衣物上的汙漬]	22賃
pʰ	in		21貧頻				
m	in	24閩	21民	55抿炆(~餸)[一種做菜的程式]		33□[快到邊上、盡頭]	
w	in	24賓彬斌檳		55品稟	35*辮	33殯鬢	
ɗ	in					33進晉	22盡侭
tʰ	in	24親(~人)				33親(~家)	
ɬ	in	24新辛薪				33信(~任)訊	
ʦ	in	24珍真		55展(發~)		33鎭震	22陣
ʦʰ	in		21陳塵	55診疹		33親[般配]趁	
ȵ	in		21仁	55忍(~讓)		33□(~住)	22人刃靭
s	in	24身申伸(~怨)	21神辰晨娠臣				22慎腎
k	in	24斤跟根巾筋		55僅			22近
kʰ	in		21勤芹			33近	
j	in	24因姻茵恩洇	21仁寅	55隱忍引	35*瘾	33印	22孕
ɗ	ip						2集習襲
tʰ	ip			5緝輯			
n	ip			5粒(顆~無收)		3粒(一~)	
l	ip						2立
ɬ	ip			5膝		3□[刺進肌肉裏的小刺兒]	
ʦ	ip			5汁[乳房或指哺乳期婦女的乳汁]執		3汁(果~)	
ȵ	ip						2入
s	ip			5濕			2十拾什
k	ip			5急			
kʰ	ip			5級給吸			
h	ip			5泣			
j	ip			5揖			2入
ɓ	it						2弼
pʰ	it			5匹			
m	it						2密蜜
w	it			5筆畢必		3筆	
ɗ	it			5啲(一~)[一些]			
tʰ	it			5七漆			
l	it				35𣔻(樽~)[瓶子塞兒]		
ɬ	it					3□[塞住]	
ʦ	it			5質		3挃(~去~來)[塞來塞去]	2侄姪
ȵ	it						2日
s	it			5失室瑟			2實
k	it			5桔吉		3趌[用針或其他尖細的東西刺]	2趌(~腳)
j	it			5一		3一	2日
ɓ	u		21哹(~口水)				22部步捕埠簿
pʰ	u	24鋪(~路)	21葡蒲菩脯	55譜普		33鋪(店~)	
m	u	24母[專指伯母]	21無模募(~仿)巫誣	55舞	35母(~親)武侮鵡		22務霧墓暮慕募
f	u	24夫膚呼乎敷俘孵麸	21扶瓠符芙	55撫苦虎滸府腑俯甫斧釜	35傅褲婦	33副富	22父付賦赴訃腐輔附負
w	u	24烏汙塢	21胡湖狐壺	55補	35芋	33惡(厭惡)布佈浦怖	22戶滬互
ɗ	u	24租		55祖組		33做(~嘢)[工作、做事]	22做(~作業)妒杜度(速~)渡鍍杜
tʰ	u	24粗	21徒屠途塗圖	55土	35*兔	33醋吐(~痰、嘔~)措	
n	u		21奴	55努			22怒
l	u	24都	21盧驢蘆鸕廬爐	55賭堵肚	35魯櫓虜滷		22路賂露鷺
ɬ	u	24鬚蘇酥				33素訴塑	
k	u	24姑孤		55估古牯股		33故固雇顧	
kʰ	u	24枯		55箍[動詞]			
f	ui	24麾揮輝徽非飛妃	21肥	55毁匪翡諱		33痹費	22慧
ɗ	ui			55嘴		33最醉	22罪序隊
tʰ	ui	24推催摧崔	21頹隨𪡷[氣味]	55腿	35*翠	33退蛻褪脆粹	
l	ui	24堆	21騾雷壨			33對兌	22累類淚儡(傀~)
ɬ	ui	24雖髓綏粹(純~)				33歲碎	22瑞遂隧穗
ʦ	ui	24追錐					22墜綴贅
ʦʰ	ui	24吹炊	21捶錘槌				
ȵ	ui				35乳		22芮[姓]蘂
s	ui	24衰	21誰垂	55水		33稅	22睡
k	ui	24歸龜圭閨		55鬼詭軌		33貴桂季	22櫃跪
kʰ	ui	24規盔魁奎突窺	21葵癸攜畦(茶~)逵	55傀(~儡)		33愧	
j	ui	24錐[蜜蜂的叮咬]			35蕊錐(飯~)[皮膚上結的一些小肉疙瘩]		22銳
ɓ	un				35*盆		22笨
pʰ	un					33噴	
m	un		21文紋蚊聞		35吻刎		22吻刎
f	un	24分紛氛芬葷熏昏婚	21墳焚賁獐	55粉	35*憤	33訓	22忿份
w	un	24溫奔瘟	21雲魂餛勻	55揾本穩	35允尹	33圂[關禁]	22運渾混韻
ɗ	un	24尊遵蹲	21臀		35樽		22沌鈍頓遁(無所~形)
tʰ	un	24吞村	21存秦屯豚臀遁(逃~)旬循巡		35饨盾	33寸褪[往后移位]	
n	un						22嫩
l	un	24敦墩	21倫輪(~流)鄰鱗崙淪	55噸囤[堆放]		33扽[因道路崎嶇不平而顛簸]	22論(~語、議~)吝
ɬ	un	24孫荀.		55損筍榫		33迅殉濬(~河)	
ʦ	un	24津		55准			
ʦʰ	un	24春椿		55蠢			
ȵ	un						22潤閏
s	un		21純脣蒓醇			33舜	22順
k	un	24軍君均鈞		55滾(~水)[開水]		33棍	22窘郡
kʰ	un	24坤昆	21裙群	55捆滚(~開)	35*菌	33困	
f	ut			5忽佛(仿~)窟朏(屎~)[屁股]		3拂(~垃圾)[掃裝垃圾]	2佛
w	ut			5屈(委~)不鬱		3屈(~曲)[把東西弄彎]	2核[果子的核兒]
ɗ	ut			5卒嘬猝			2突
n	ut					3□[常指用橡皮來擦字](~去~來)	
l	ut						2律率栗
ɬ	ut			5率(~領)摔戍恤蟀			
ʦ	ut			5捽[携別人癢癢，以使別人發笑]			
ʦʰ	ut			5出(一~戲)		3出(~去)	
s	ut			5□(~滑梯).			2術述秫
k	ut			5骨(~子)橘		3骨(~節)	2掘倔
ɗ	y						22聚
tʰ	y	24趨		55取娶		33趣	
n	y			55女			
l	y			55𦧲(~骨)[吃東西時吐骨頭]	35呂縷*屢		
ɬ	y	24須師獅茲司思資姿咨斯廝撕雌需絲(~線)	21慈次瓷餈	55子紫此	35柿	33似刺疵賜廁次肆(放~)	22字牸伺祠巳寺嗣飼士仕事
ʦ	y	24猪諸誅蛛株朱硃珠		55煮主拄		33注駐註蛀鑄	22住
ʦʰ	y		21除厨		35處柱		
ȵ	y		21如		35汝		
s	y	24書輸(~贏、~送)樞	21薯殊	55暑	35薯(~仔)[一種身上長著些小刺須的薯類植物]	33恕戍	22樹豎
k	y	24居		55舉矩	35佢[代詞,他們]	33句佢[他、她或它]	22具俱懼
kʰ	y	24區(~域)拘駒驅	21渠瞿		35距		
h	y	24虚籲		55許	35墟	33去(~向)	22去[動詞]
j	y	24於迂	21愚虞娛盂榆逾愉餘愈魚儒擩(擩進去)	55淤			22預遇寓喻裕
m			21唔				
ŋ			21吳吾梧	55五伍	35午伍		22誤悟晤
