聲母	韻母	陰平24	陽平21	陰上55	陽上35	陰去33	陽去22
m	ak					3掰[撕的意思]	2麥脈
f	ak						2拂[用細棍子打]
w	ak			5柏伯栢百		3百伯(~父)	2畫或惑域劃(計~)
ʦ	ak					3窄責	2宅澤擇摘擲
ʦʰ	ak			5測策冊		3拆	
s	ak						2□(~開)[切開]側[量詞,半塊]
k	ak			5格(合~)革		3格(~外)隔	
kʰ	ak			5□(~餅)[把米餅從餅模裏敲出來]			
ŋ	ak			5𧦠[欺騙]			2額
h	ak			5客		3嚇客	
ʔ	ak			5扼軛			
j	ak					3吔	
k	wak					3摑[用手打別人的臉]	
kʰ	wak				35廓(一~)[一回,一趟]		
w	ɐi			55跛(~腳)		33喂[引起對方注意的語氣詞]	
ɗ	ɐi					33諦(詐詐~~)[假裝某個樣子，很矯情]	
ʦ	ɐi					33𠶜(唔~)[不願意,不幹某事]	
h	ɐi	24閪[女性生殖器]					
ʔ	ɐi					33唉[表答應]	
ɓ	ɐu						22幣弊斃陛
m	ɐu			55米			
ɗ	ɐu	24擠		55仔劑		33臍[文]祭際穄濟	
tʰ	ɐu	24妻棲	21齊			33切(一~)砌	
ɬ	ɐu	24西犀		55洗	35婿壻	33細	
kʰ	ɐu	24溪稽		55啓		33契(~約)	
ŋ	ɐu		21倪桅危				22藝刈縊翳(目~)毅僞魏
h	ɐu		21奚兮				22系係
ɓ	ɐm			55泵			
m	ɐm			55𩛎(~~)[泛指給嬰兒喂食的食品]			
ɗ	ɐm		21噚(~晚)[昨晚]				22𧿒(~腳)[跥腳]
tʰ	ɐm				35氹(水~)[小水窪]	33𧨾[哄或沒惡意的騙]	
n	ɐm		21腍[常指固體食物很軟]	55諗[想]	35腩		22淰[被水浸泡透了,很濕]
l	ɐm			55冧(~錢)[常指投資錢財幹事]		33冧[建築物倒塌]	22冧
ɬ	ɐm			55糝[細而密地撒](~粉)			
ʦ	ɐm	24斟[商量、斟酌]					
ʦʰ	ɐm					33譖(~氣)[囉嗦]	
s	ɐm	24參(人~)					
k	ɐm			55扻[摑，用手掌打某人，常指打別人的臉部]			
kʰ	ɐm			55𢫏[覆蓋]			
ŋ	ɐm	24吟[絮絮叨叨地說來說去](~去~來)	21撢[掏]				
h	ɐm			55扻(~親)[碰傷]		33嵌	
ʔ	ɐm			55揞[用手掌蓋住]			
ɓ	ɐn						22便辨辯汴
pʰ	ɐn	24偏編篇蝙				33片編遍	
m	ɐn	24敏免勉緬澠	21眠綿棉	55抆(~臀)[大便後用紙巾擦屁股]	35娩□[指示代詞，哪]		22面
f	ɐn	24返(~來)[回來]					
w	ɐn	24邊鞭	21還(~錢)	55扁匾		33變	
ɗ	ɐn	24煎	21田塡	55剪		33箭墊餞薦	22電濺賤殿奠踐餞佃箋
tʰ	ɐn	24天遷千	21錢前	55淺			
n	ɐn		21年	55撚[抓捏]碾			
l	ɐn	24顛	21連憐蓮	55碘典腆攣[玩](~玩具)		33摙[搬運](~磚)	22練煉棟鏈
ɬ	ɐn	24仙先鮮(新~)		55癬鮮(~爲人知)		33線	
ʦ	ɐn					33顫	
s	ɐn					33謆[將内心的不平向他人傾訴]	
k	ɐn	24肩堅間(一~)		55繭揀		33見	22健件建腱犍鍵
kʰ	ɐn		21虔	55㨜[打開,揭開]			
ŋ	ɐn			55眼			
h	ɐn	24掀軒牽		55狠遣顯		33獻憲	
k	wɐn					33慣	
ɓ	ɐŋ						22並埲(一~牆)[一面牆]
pʰ	ɐŋ		21朋平萍坪評瓶屏恁			33聘姘拼併	
