	注释：白-，文=
t	[1]刀叨[3]倒捣[5]到倒{～水}
tʰ	[1]滔縚{花边}[2]桃=逃涛焘陶淘掏萄晁[3]讨[5]套导[6]稻蹈道盗掉-[7]桃-{～子}
l	[1]捞[2]牢劳涝唠痨膫寮{茅棚}[3]老佬姥脑恼[6]闹廖料-{调～}
ts	[1]糟=遭[3]早澡[5]灶皂藻噪躁[7]枣
tsʰ	[1]操[2]曹槽巢=嘈[3]草[5]造糙操{曹～}燥
s	[1]臊骚肖萧[3]扫嫂[5]燥
tʃ	[1]朝{～夕}招昭沼召钊[3]爪=找[5]照罩诏笊[7]爪-{鸡～}
tʃʰ	[1]抄烧-[3]炒吵钞焦{干}[5]笑-
ʃ	[1]烧=捎艄[2]勺=韶芍[3]少{多～}晓稍[5]少{～年}捞{找}哨{岗～}[6]邵绍[7]哨{～子}
k	[1]高羔糕篙交胶膏教{～书}[3]搅搞镐绞[5]告窑酵{发～}校{～对}教{～育}[7]稿缟
kʰ	[1]尻骹□{汤煮}[3]考拷[5]靠烤铐
ŋ	[2]熬邀[6]傲[7]咬=
x	[2]毫豪嚎𤢭[3]好{～坏}[5]好{喜～}孝耗[6]号校效[7]咬-
∅	[1]坳凹=熬{～菜}[3]袄拗[5]奥澳沃=拗{梗阻}
#iau	
p	[1]标彪膘镖飙[3]表錶婊裱
pʰ	[1]飘漂{～流}[2]飘嫖=[3]漂{～白}[5]票[7]薸{～萍}
m	[1]喵[2]描瞄苗[3]杳渺秒杪藐牡[6]庙妙谬
t	[1]刁雕凋貂[3]鸟-{～人：用粗话骂人}[5]吊钓调{～动}掉=悼
tʰ	[1]挑超[2]朝{～代}潮条调{～和}嘲迢[3]挑{～拣}粜[5]跳[6]赵兆肇
l	[1]撩[2]辽疗烧僚嘹潦聊寥[3]了[6]料=
ts	[1]焦礁蕉椒[3]捉=剿
tsʰ	[1]锹[5]俏[7]樵
s	[1]消霄宵销硝箫梢逍嚣[3]小筱[5]笑=
k	[1]浇骄娇[3]缴狡绞矫[5]叫[7]饺
kʰ	[1]敲[2]桥侨乔荞[3]巧撬[5]翘窍[6]轿[7]藠{薤}
ŋ	[2]尧饶姚[3]鸟=绕[6]尿[7]娆{～～：扭扭摆摆}
∅	[1]腰幺夭邀[2]遥摇窑谣瑶[3]召扰淆[5]要鹞[6]耀
#aŋ	
p	[1]邦□{～罾：大的方形渔网}[3]嘭{象声词}[5]□{从人群中钻去}
pʰ	[1]烹拼-[2]彭庞澎膨棚-[5]冇{空}[6]□{～骹：脚化脓}[7]甏{大缸}
m	[1]□{眯眼探视}[3]猛-[7]芒-{～谷}蜢
f	[5]□{～燥：搞干}[6]范犯[7]横-
t	[1]担{名词}耽[3]胆点-[5]店-[7]点-
tʰ	[1]贪[2]甜-[3]担-{动词}[5]探[6]垫-
l	[1]□{刀痕}[2]南男蓝篮=岚楠喃{～噹}[5]榄□{～舌}[6]唸-
ts	[1]脏[3]咱
tsʰ	[1]参餐[3]惨[7]蚕
s	[1]三叁[7]□{松～：不粘}
tʃ	[1]正-{～月}整{～窟：打小洞}[3]斩崭[5]正{～面}
tʃʰ	[1]掺[3]争-[5]忏撑{～船}[6]撑{～：吃饱}
ʃ	[1]杉衫生-牲-兄-{兄弟}[2]成-城-[5]□{～水：洒水}[6]□{嫁奁}[7]篮-
k	[1]监{～牢}更-{三～}油尴柑=[3]减埂[5]监{～督}鉴[7]橄
kʰ	[1]刊坑勘堪[5]嵌
ŋ	[2]岩衙昂癌[7]□{溪～：水中石洞}
x	[1]夯蚶鼾[2]行-{～路}含衔函涵桁[3]喊{呐～}罕憾笕{水～}[5]喊{介词}[6]馅[7]悻{不安}
∅	[1]腌囡{～仔}[5]□{闲置}
#iaŋ	
p	[5]柄-摒併[7]饼-
pʰ	[1]拼{肉～：大片肉}[2]平-坪-[6]病-拼-{～倒}
m	[1]□{油～}[2]明{清～}暝{夜}[6]命-[7]名-
t	[3]鼎-{铁锅}
tʰ	[1]听-[2]呈程[6]郑
l	[2]灵-晾{～干}[3]岭-领-
ts	[1]精-[3]井-[5]净-{～燥：把水搞干}
tsʰ	[1]清-{～明}青-[2]晴-[3]䭕{味淡}请-醒-[6]净-{～～的：单一的}
s	[5]姓-性-[7]□{～鸡：引鸡吃食}
k	[1]惊-[5]镜-
