"id","hanzi","note","ipa","audio","ntd","dl","databse","py"
58,"役",,"joʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yog7.wav",7,"阴入","zg","yog7"
59,"狱",,"joʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yog7.wav",7,"阴入","zg","yog7"
60,"疫",,"joʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yog7.wav",7,"阴入","zg","yog7"
61,"育",,"joʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yog7.wav",7,"阴入","zg","yog7"
62,"郁",,"joʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yog7.wav",7,"阴入","zg","yog7"
63,"弱",,"joʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yog8.wav",8,"阳入","zg","yog8"
64,"欲","(欲望)","joʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yog8.wav",8,"阳入","zg","yog8"
65,"欲",,"joʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yog8.wav",8,"阳入","zg","yog8"
66,"浴",,"joʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yog8.wav",8,"阳入","zg","yog8"
67,"肉",,"joʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yog8.wav",8,"阳入","zg","yog8"
68,"若",,"joʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yog8.wav",8,"阳入","zg","yog8"
69,"褥",,"joʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yog8.wav",8,"阳入","zg","yog8"
70,"辱",,"joʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yog8.wav",8,"阳入","zg","yog8"
71,"庸",,"jaŋ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yong1.wav",1,"阴平","zg","yong1"
72,"拥",,"jaŋ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yong1.wav",1,"阴平","zg","yong1"
73,"壅","(施肥)","jaŋ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yong5.wav",5,"阴去","zg","yong5"
