繁体	简体	声母	韵母	聲調	拼音无调	拼音	IPA	备注		
臂	臂	b	ai	6	bai	bai6	pɐi³²			
璧	璧	b	eq	7	beq	beq7	peʔ⁵⁵			
蝙	蝙	p	ing	1h	ping	ping1h	pʰiŋ⁵⁵			
編	编	p	ing	1h	ping	ping1h	pʰiŋ⁵⁵			
鞕	鞕	g	aeng	5	gaeng	gaeng5	kæŋ²⁴			
鞭	鞭	b	ing	1h	bing	bing1h	piŋ⁵⁵			
邊	边	b	ing	1h	bing	bing1h	piŋ⁵⁵			
扁	扁	b	ing	3	bing	bing3	piŋ¹¹			
匾	匾	b	ing	3	bing	bing3	piŋ¹¹			
貶	贬	b	ing	3	bing	bing3	piŋ¹¹			
汴	汴	b	ing	1h	bing	bing1h	piŋ⁵⁵			
便	便	b	ing	6	bing	bing6	piŋ³²	方~。		
便	便	p	ing	2	ping	ping2	pʰiŋ²¹	~宜。		
遍	遍	p	ing	5	ping	ping5	pʰiŋ²⁴			
辨	辨	b	aeng	6	baeng	baeng6	pæŋ³²			
辮	辫	b	ing	1h	bing	bing1h	piŋ⁵⁵			
辯	辩	b	ing	6	bing	bing6	piŋ³²			
變	变	b	ing	5	bing	bing5	piŋ²⁴			
彪	彪	b	iu	1h	biu	biu1h	piu⁵⁵			
標	标	b	iu	1	biu	biu1	piu³⁵			
標	标	b	iu	1h	biu	biu1h	piu⁵⁵			
狍	狍	p	aau	2	paau	paau2	pʰau²¹			
膘	膘	b	iu	1h	biu	biu1h	piu⁵⁵			
表	表	b	iu	3	biu	biu3	piu¹¹			
鰾	鳔	p	iu	1	piu	piu1	pʰiu³⁵			
鼈	鳖	b	ieq	8	bieq	bieq8	pieʔ²¹¹			
別	别	b	ieq	8	bieq	bieq8	pieʔ²¹¹			
彬	彬	b	ang	1h	bang	bang1h	pɐŋ⁵⁵			
賓	宾	b	ang	1h	bang	bang1h	pɐŋ⁵⁵			
檳	槟	b	ang	1h	bang	bang1h	pɐŋ⁵⁵			
殯	殡	b	ang	6	bang	bang6	pɐŋ³²			
鬢	鬓	b	ang	6	bang	bang6	pɐŋ³²			
冰	冰	b	eng	1h	beng	beng1h	peŋ⁵⁵			
兵	兵	b	eng	1	beng	beng1	peŋ³⁵			
