#声调	1阴平24 2阳平21 3阴上阳去31 5阴去52 7阴入32 8阳入5
#注释	*训=文-白
#资料来源	《永定县志》，语保永定，《福建省永定凰城客家话研究》
#a	
0	[7]凹*{凹瘪}[8]叶页
#iɛ̃	
p	[1]鞭边贬扁匾斑-{~姕：麻脸}[3]扁板-{砧~}[5]变遍
pʰ	[1]编辫篇偏[2]便{一宜}[3]便{方便}辩辨片䘆{红~：蚯蚓}[5]骗
m	[2]棉绵[3]面{～条}免勉娩[5]面{门～}
f	[5]献*{揍}
v	[1]冤渊[2]圆园员缘铅袁辕援元{一元}丸{肉～}完橼{香~瓜}[3]远县[5]怨
t	[1]颠癫[3]典={～范}
tʰ	[1]天[2]田填[3]电殿奠佃垫{～钱}
l	[1]掀*[2]连怜莲鲢鲢{~鲤：穿山甲}[3]练楝炼恋[5]吐*{吐出}
ɲ	[2]年然燃言原元源[3]撚{用双手掐}愿
tɕ	[1]煎笺肩坚捐间奸[3]剪茧卷{～起}笕[5]箭建犍键荐见卷{一～}眷
tɕʰ	[1]千迁牵圈吮-[2]前全钱乾虔泉拳=权颧[3]浅贱{指小孩好动}践癣件遣健犬[5]劝券
ɕ	[1]先仙鲜掀宣喧[2]贤弦旋玄悬蝉[3]显现选[5]献羡线
0	[1]焉烟[2]延芫[3]演衍[5]燕谚堰晏砚宴
#iɛʔ	
p	[8]憋
pʰ	[7]撇撇{表动作完成}[8]别
m	[8]篾灭
f	[7]血[8]穴
v	[7]挖[8]越阅悦
t	[7]跌
tʰ	[7]铁[8]凸{凸出：目～～，肚～～}叠
l	[8]列烈裂劣
ɲ	[7]聂蹑摄镊镊{卷～裤脚}眨*{~lɛ̃5：打闪电}
tɕ	[7]决结揭节截-洁诀激{～烈}杰羯{阉割}蕨
tɕʰ	[7]切缺砌[8]绝极狭{拥挤}
ɕ	[7]雪薛泻{屙～肚}歇泄
0	
#i	
p	[1]飞-碑痱椑{柿子}[3]比鄙[5]泌秘庇痹
pʰ	[1]被披婢蝠{~婆子：蝙蝠}蜱{干~：臭虫}[2]皮疲脾琵枇[3]鼻备蓖疕{白~：头皮}币[5]屁
m	[1]尾眯[2]迷弥靡[3]米美
f	[1]飞=辉晖非匪徽[3]水[5]肺
v	[1]微委威[2]围为维惟唯违[3]位未[5]卫伟畏魏胃谓慰
t	[1]知[2]这*[5]帝
tʰ	[2]提[3]地{坟墓}弟=[5]递
l	[1]里{公～}鲤吕[2]离璃梨[3]理痢利丽李吏俐{伶~：干净}[5]荔哩{子缀}
tɕ	[1]饥肌几{茶～}[2]佢{他}[3]举几{～个}已纪[5]记寄忌髻{鸡~：鸡冠}锯句
tɕʰ	[1]绮企欺徛{站立，陡峭}区[2]骑徐奇岐祁其棋期旗荠葵{~扇}[3]起技岂[5]去气汽器弃
ɕ	[1]嬉熙希稀虚输{运~}墟{集市}[3]许喜[5]戏
0	[1]衣医依[2]姨儿仪移夷饴沂儒寅胰{~子：肥皂}如余[3]椅易肄预矣已以异雨裕[5]意亿芋
#iʔ	
m	[8]沕{淹}
f	[7]丢*{丢、投}
t	[7]的{目的}[8]滴*{一～子，一点点}
ɕ	[7]识
ɲ	[7]日[8]入
0	
#ua	
k	[1]瓜[3]寡剐[5]挂
kʰ	[1]夸跨[3]垮胯桍*{树的枝叶}
#uaʔ	
k	[7]括
kʰ	[7]□{～燥}[8]□{～硬}
#uɔ̃	
pʰ	[1]翻*{呕吐}[3]饭-
t	[1]端[3]短[5]断{决～}
tʰ	[1]断-{折～}[2]团[3]段锻碫{台阶}断=
l	[1]暖[2]鸾栾[3]乱卵{蛋的通用说法}[5]僆{鸡～子，尚未孵子的小母鸡}
ts	[1]专砖[3]盏*{一～花，一朵花}[5]鑚{～子}篆转{～螺丝}
tsʰ	[1]穿栓闩川[2]传{宣～}椽[3]撰喘传{～记}旋{发旋}[5]串篡纂
s	[1]酸[2]船[5]算蒜
k	[1]杆肝竿干{干湿}菅{芒草}[3]秆{稻秆}赶[5]干
kʰ	[5]看
x	[1]旱-{天～}[2]寒{天气冷}韩[3]汗銲[1]旱=汉鼾罕
0	[1]安{安纽扣}鞍氨[5]按案桉
#uɔʔ	
tʰ	[7]脱[8]夺
l	[7]捋*{刮干净}[8]捋
ts	[7]嘬*{拔火罐}[8]啜*{吮吸}
tsʰ	[7]撮{一～米}
s	[7]刷说[8]嗍{吮吸}
k	[7]割葛
kʰ	[7]渴
x	[7]渴{口干}[8]惑
0	[7]遏{推开}
#uɛ̃	
k	[1]官关棺观冠{衣～}鳏[3]管馆[5]灌惯贯罐冠{～军}
kʰ	[1]宽[3]款提*
#uɛʔ	
k	[7]括刮聒刮*{大肚~：蝌蚪}
kʰ	[7]阔{宽}[8]扣*{用弯曲着的五指敲人脑袋}
#u	
p	[1]蹲*埔夫{～娘子}晡{晚上}[2]□{挤出气体的象声词}[3]补脯{菜～}斧[5]布怖
pʰ	[1]铺普[2]葡扶-菩瓠{～子，瓠瓜}[3]普谱浦伏{孵}孵{本字为伏}脯部簿步殕{生～，发霉}
m	[3]母=拇[1]暮慕墓=募=
