来源：	张倩 2020《佳县（佳芦镇）方言音系研究》；Skanda，Hynuza 整理录入
Ø	［1］□{丢，扔}［2］而［3］尔耳［5］二
#a	
p	［1］巴芭疤［2］拔=［3］把［5］霸欛壩坝爸罢
pʰ	［1］琶杷［2］爬耙［5］怕帕
m	［1］妈［2］麻痳蟆［3］马码［5］骂
t	［1］爹［2］搭{这～，兀～：这儿，那儿}［5］大{～黄}
tʰ	［1］他
n	［2］拿［3］哪［5］捺
l	［1］拉{～面，～架}［5］拉{～话}
ʦ	［1］渣［2］杂炸铡=［3］闸拃［5］喳{叽叽～～}诈榨炸{～弹}乍昨栅奓{胳膊～起}
ʦʰ	［1］叉杈差［2］茶搽查{山～}茬［5］岔{三～路}错-
s	［1］沙纱［3］洒撒［5］唼{虫子吃}沙{筛选}厦{大～}
k	［5］尬
kʰ	［3］卡{～住}
x	［5］下{底～}
Ø	［1］阿{～哥}
#ia	
p	［5］啪
n	［2］牙芽［3］哑［5］砑轧压
l	［3］辆
ʨ	［1］加痂嘉家{～具}佳［3］假{真～}贾{姓}［5］假{放～}架驾嫁稼价
ʨʰ	［1］□{双手拿起}［3］洽［5］揢
ɕ	［2］虾霞瑕遐暇狭峡辖［5］夏{春～}厦{～门}下{～降}
Ø	［1］丫［2］衙鸦桠涯崖=［3］雅［5］亚
#ua	
tʂ	［1］抓［3］爪
tʂʰ	［3］□{扒，掀开}［5］□{快}
ʂ	［1］□{撸，捋}［3］耍［5］□{形容整齐}
ʐ	［2］□{调侃}□{～得我迟到了：害得我迟到了}
k	［1］瓜［3］寡剐{～肉}［5］挂卦
kʰ	［1］夸［5］跨
x	［1］花华［2］铧划{～船}［5］化桦画话划{～线}
Ø	［1］窪蛙挖=搲{拿，抓}［2］娃［3］瓦{名词}［5］瓦{动词}洼
#ɑ	
t	［1］多当{～时}［3］党［5］大驮{～子}荡当{～作}挡{拦住}宕
tʰ	［1］拖驼汤［2］驮{～起来}堂棠螳唐糖塘［3］倘躺淌［5］烫趟□{（东西）掉了}
n	［2］挪囊［3］儾{窝囊懦弱}［5］糯诺骆𨑊{多}
l	［1］啰{～嗦}［2］罗锣箩骡螺郎廊狼螂［3］裸{～体}朗［5］摞{～起来}浪
ʦ	［1］赃脏{不干净}［3］左佐［5］葬藏{西～}脏{肝～}匠□{生气，发火}□{猛踢，猛踹}
ʦʰ	［1］搓仓苍［2］藏{躲～}［5］□{蹭}
s	［1］桑丧{婚～}［3］嗓搡［5］丧{～失}
tʂ	［1］张章樟［3］长{生～}涨掌［5］丈仗杖帐账胀障瘴
tʂʰ	［2］长{～短}肠常［3］场昌菖敞［5］畅唱倡
ʂ	［1］商伤□{形容人性格刚烈，做事霸道不让人}墒{饱～}［2］尝裳［3］偿赏晌［5］上{～山}尚
ʐ	［2］瓤［3］穰壤攘嚷酿-［5］让
k	［1］歌戈冈岗刚纲钢缸［3］哥港=［5］个杠□{跑}□{～烟，～气：冒烟，冒气}
kʰ	［1］康糠慷［3］可扛［5］抗炕{指把食物放到热炕头或者其他发热的地方使食物变热}
ŋ	［1］肮［2］蛾鹅俄讹昂［3］我［5］饿
x	［2］河何荷{～花}行{～列}航杭夯［5］荷{薄～}贺巷
Ø	［1］阿{～胶}
#iɑ	
n	［2］娘［3］仰-{躺}［5］酿=
l	［2］良凉量{～长短}粮食梁粱［5］亮谅量{数～}晾
ʨ	［1］将{～来}浆疆僵缰姜江豇港-虹-［3］蒋奖桨讲［5］酱将{大～}降{下～}犟糨{～糊}
ʨʰ	［1］枪腔［2］墙强{～弱}［3］抢羌强{勉～}［5］呛
ɕ	［1］湘香厢镶乡襄相{～互}箱［2］详降{投～}祥［3］享想饷响［5］象像向相{宰～}项橡
Ø	［1］央秧殃［2］羊洋烊杨阳扬疡［3］仰={～泳}养痒［5］样漾□{甩}
#ʅᴇ	
tʂ	［1］遮毡［3］者展
tʂʰ	［1］车［2］缠［3］扯
ʂ	［1］奢赊膻-扇{动词}［2］蛇窚{住}［3］舍{～得}陕-闪-［5］社射麝赦舍{宿～}騇扇{～子}
ʐ	［2］燃□{黏}［3］惹染冉［5］□{晚辈更亲近某个长辈}
#iᴇ	
p	［1］鞭编边［2］别{～的衣服上}白-［3］贬匾瘪［5］辨辩变汴便{方～}辫遍
pʰ	［1］篇偏［2］便{～宜}［3］扁撇蝙［5］骗片
m	［2］绵棉眠［3］免勉娩缅渑［5］面
t	［1］掂颠［2］叠=碟=蝶［3］点典［5］店电殿奠佃垫□{硌}
tʰ	［1］添天填［2］甜田［3］舔腆
n	［1］蔫［2］黏拈年言-{～传}颜-［3］碾辇撚撵［5］鲇念捻{灯～子}
l	［1］□{卜～：多指小孩乱动}［2］廉镰帘连怜莲□{垂下来}［3］敛脸［5］练炼楝恋
ʨ	［1］皆尖兼煎肩坚［3］姐检俭剪茧［5］借藉{～故}渐剑谏践件箭溅贱践笺荐见戟
ʨʰ	［1］歼签潜谦迁千牵鹐{鸡啄人}［2］茄钳钱乾前［3］浅遣［5］笡欠歉芡
ɕ	［1］锨仙先［2］邪斜嫌贤［3］写险鲜{新～，～少}癣显［5］泻卸谢线羡现屑县
k	［1］泔干{～净}肝-竿［3］敢-擀-
kʰ	［3］砍［5］看-{～见}
ŋ	［5］揞岸-
x	［1］憨-［2］韩-寒-［3］喊［5］旱-汉-{老～：女性配偶或者年龄较大的男性}
Ø	［1］耶庵淹腌焉烟燕{～京}［2］爷岩炎盐阎檐严=颜=涎延研缘沿言=［3］也野掩演［5］验厌艳焰晏筵谚砚燕{燕子}咽宴兖液腋
#yᴇ	
l	［1］圙{圐～：圈}［2］联
ʨ	［1］捐［3］卷{～起来}啳{骂}［5］圈{猪～}眷卷{～子}绢倦倔=券
ʨʰ	［1］圈{圆～}［2］全泉拳权颧瘸［3］犬□{关起来}［5］劝□{～窑：修窑}
ɕ	［1］靴宣喧楦［2］腮弦旋玄悬横{形容人蛮横不讲理}［3］选旋{～吃～做}［5］眩□{把不想要的部分挑拣剩下}
Ø	［1］冤渊［2］圆员元原源袁辕援［3］远［5］院愿怨
#io	
p	［3］膘-婊裱{用来敬神或祭祀死者的黄纸}［5］嫑
pʰ	［1］飘-漂-［2］瓢-［3］瞟［5］票-
m	［2］苗-瞄-{～了一眼}［5］庙-
t	［1］□{～空空：抽空}［5］钓-吊-藋{灰～}掉-调-{～走}
tʰ	［1］挑-［2］条-调-{～货：调料}［5］跳-
n	［5］尿-
l	［3］燎-{火～眉毛}了-{事～了}［5］料-□{丢，扔}
#uo	
p	［1］波菠玻帮［2］颇薄=［3］跛簸{～一～}榜绑钵=［5］簸{～萁}半-谤傍棒蚌坢{坡}拌-绊-
pʰ	［1］坡肨［2］婆盘-滂旁螃［3］□{～命：把命搭上}［5］破胖
m	［1］摸［2］魔磨{～刀}摩馒忙芒茫膜盲［3］满-莽蟒抹［5］磨{石～，也可指磨蹭}漫-
f	［1］方芳［2］肪妨房防［3］仿纺仿访［5］放
t	［1］端-［3］短-躲朵［5］断-锻-段-缎-惰剁
tʰ	［3］妥椭［5］唾
n	［3］暖-［5］懦
l	［2］□{动词，弄}［5］乱-
ʦ	［1］钻-{动词}［5］坐座钻-{木工用具}
ʦʰ	［1］窜［5］错=
s	［1］梭{织布～}酸-［3］嗦{啰～}锁琐所=索［5］算-蒜-
tʂ	［1］专-砖-庄装桩［3］转-{～让}［5］转-{～圆圈}撞赵-{～家沟}照-{～相}串=
tʂʰ	［1］穿-疮窗［2］船-床潮-［3］喘-闯□{因摩擦而破损}［5］串-创
ʂ	［1］霜孀双烧-［3］所-爽少-［5］朔硕烁
ʐ	［3］软-［5］绕{～线}
k	［1］锅官-光棺-［3］果裹馃管-馆-广-［5］过灌-罐-逛
kʰ	［1］科窠棵颗宽-筐□{专指打人}［2］狂［3］款-［5］课旷匡眶况矿
x	［1］荒慌谎［2］和{～气}禾和{～面（动宾结构）}黄簧皇蝗［3］火夥晃{～眼}伙［5］祸和{～面（偏正结构）}换-镬货
Ø	［1］踒窝蜗豌-剜汪□{使弯曲}［2］完-丸-亡王［3］碗网枉往［5］卧腕-忘妄望旺
#yo	
ʨ	［1］焦-椒-浇-［5］噍叫-
ʨʰ	［1］缲悄-蹻{迈过障碍物}［2］桥-荞［3］雀{～～：泛指鸟}
ɕ	［1］消-{～闲}［2］学{～鸟叫}［3］小-晓-［5］笑-
Ø	［1］腰-□{～/神～：形容人说话做事过分夸张}［2］摇窑{～洞}［3］舀［5］要{想～}靿
#ai	
p	［2］白［3］摆［5］拜败=
pʰ	［2］排牌［5］派败-
m	［2］埋［3］买［5］迈卖
t	［1］呆［3］逮歹［5］待怠殆戴贷代袋带大{～夫}
tʰ	［1］胎苔［2］台抬［5］态太泰
n	［2］崖-捱{～打}［3］奶{～园子：给菜园上粪}乃［5］耐奈
l	［2］来［5］赖癞
ʦ	［1］灾栽贼［3］宰载［5］在再债寨□{菜园子里的水流出来了，赶紧～住}
ʦʰ	［1］猜差{出～}钗搋{～面}［2］才材财裁豺柴［3］彩采棌踩［5］菜蔡
s	［1］鳃筛［3］□{形容人爱美或很得意}［5］赛晒
z	［2］□{牙～：指人面露难色或快要哭出来的样子}
k	［1］该［3］改［5］概溉盖丐
kʰ	［1］开揩［3］凯慨楷
ŋ	［1］哀埃挨［3］蔼矮［5］碍艾爱隘
x	［2］孩鞋［3］海［5］亥害骇解{姓}□{加水和开}
#iai	
ʨ	［1］阶街［3］解{～开}［5］介界芥疥届戒械
ʨʰ	［1］□{擦洗}
ɕ	［2］谐［5］懈蟹
#uai	
tʂ	［5］拽
tʂʰ	［1］揣{～怀里}［3］揣{摸}
ʂ	［1］衰［3］甩［5］帅率{～领}蟀
ʐ	［5］□{～～：形容人咀嚼食物的样子}
k	［1］乖［3］拐［5］怪
kʰ	［5］块会{～计}快筷
x	［2］怀槐淮［5］坏
Ø	［1］歪［3］崴［5］外
#ei	
p	［1］杯碑卑悲［3］背{～东西}［5］贝倍辈背{～诵}焙
pʰ	［1］胚［2］培陪赔裴［5］配佩沛
m	［2］梅枚玫媒煤霉［3］每美［5］妹昧寐
f	［1］非飞妃匪［2］肥=［3］翡［5］废肺吠痱费
n	［2］那{～个}
tʂ	［2］这{～个}
ʐ	［5］□{表示惊讶的语气词}
k	［3］给
#uei	
t	［1］堆［5］对队兑
tʰ	［1］推［3］腿［5］退蜕褪
n	［5］内
l	［2］雷擂{～哩一圪都：打了一拳头}蕾［3］屡累{～积}垒儡磊［5］累{连～}类泪=擂{～台}
ʦ	［3］嘴=［5］罪最醉=
ʦʰ	［1］催崔［5］翠粹脆趣{～味}
s	［1］虽绥［2］随=［3］髓=［5］碎遂隧穗=岁=
tʂ	［1］追锥［5］缀赘坠{耳～～：耳环}
tʂʰ	［1］吹炊［2］垂槌锤捶
ʂ	［2］谁=［3］水=［5］睡=税
ʐ	［3］蕊［5］芮锐瑞
k	［1］规龟闺归［3］诡轨鬼［5］刽跪柜圭桂贵瑰{玫～}
kʰ	［1］盔魁傀亏窥逵葵奎［3］癸［5］愧
x	［1］恢灰□{傻}［2］回茴［3］悔麾毁挥辉徽讳［5］贿汇晦溃{～脓}会{开～，～不～}绘惠慧
Ø	［1］危威［2］为{作～}维惟唯微违围［3］伪萎委尾=伟苇纬煨［5］喂为{～什么}位卫未味魏畏慰胃谓
#au	
p	［1］包胞［3］褒保堡={～垒}宝饱［5］抱报暴鲍豹爆铇曝
pʰ	［1］剖泡{圪～：泡，也可骂人脑子不好}［2］袍抛刨雹脬{一～尿}［3］跑［5］泡{～在水里}炮□{（物体）滚走，掉落}
m	［2］毛茅矛猫{腰背不直或使腰背不直}［3］卯［5］冒帽貌茂贸猫
t	［1］刀叨［3］祷岛倒{打～}［5］道稻到倒{～水}盗导
tʰ	［1］掏□{用拳头捶}［2］滔桃逃淘陶萄涛［3］讨［5］套
n	［2］挠脑{头}［3］脑{～子}恼{扛}［5］闹
l	［1］唠［2］劳捞牢［3］老［5］涝
ʦ	［1］遭糟［3］早枣蚤澡［5］皂躁罩笊
ʦʰ	［1］操{～作}抄剿焯［2］曹槽巢［3］草騲钞炒吵［5］造糙
s	［1］臊梢捎稍骚［2］□{～里一眼：快速地看}［3］扫{～地}嫂［5］扫{～帚}
tʂ	［1］朝{今～}昭招沼［5］赵=兆召照=诏
tʂʰ	［1］超［2］朝{～代}潮=
ʂ	［1］烧=绍［2］韶［3］少={多～}邵［5］少={～年}
ʐ	［2］饶［3］扰绕{围～}
k	［1］高膏篙羔糕［3］稿搞［5］告
kʰ	［3］考烤［5］靠犒
ŋ	［1］熬{终于从媳妇子～成婆了}［2］熬{～稀饭}［3］袄［5］傲鏊懊奥
x	［2］豪壕毫耗［3］好{～坏}［5］浩好{喜～}号
#iau	
p	［1］标彪［3］膘=表
pʰ	［1］飘=漂={～流}［2］瓢=［5］票=漂{～亮}
m	［2］苗=描［3］藐渺秒［5］庙=妙
t	［1］刁貂雕［5］钓=吊=调={～动}掉=
tʰ	［1］挑=［2］条=调={～和}［5］跳=粜
n	［3］咬鸟［5］尿=
l	［1］撩［2］燎療聊辽寥廖［3］了={～结}瞭=料=
ʨ	［1］交郊胶教{～书}焦=蕉椒=骄娇浇=［3］绞狡铰搅矫缴侥饺［5］教{～育}较酵窖觉{睡～}轿叫=
ʨʰ	［1］敲锹悄=［2］樵乔侨憔桥=［3］巧［5］俏鞘窍翘撬
ɕ	［1］消=宵霄硝销嚣萧箫削=［2］淆［3］小=［5］校{～对，学～}孝效笑=
Ø	［1］妖邀腰=要{～求}吆［2］摇=谣窑=姚尧［3］舀=杳［5］要={想～}耀鹞跃
#ou	
t	［1］都{～是}兜［3］斗抖陡㪗［5］斗{～争}豆逗痘
tʰ	［1］偷［2］头投［5］透
n	［2］奴□{形容女孩长得俊俏耐看}［3］努［5］怒
l	［2］卢炉芦庐楼搂{～柴}［3］鲁橹虏卤搂{～～抱抱}篓［5］路赂露鹭漏陋
ʦ	［1］租-邹掫{～饭：端饭}［3］祖-组走［5］奏皱骤
ʦʰ	［1］粗抽［2］愁□{偷看}［3］瞅［5］醋措凑
s	［1］苏酥搜馊［3］擞［5］素诉塑叟嗽瘦漱飕
tʂ	［1］周舟州洲粥［2］轴［3］肘𢫧{举}［5］纣昼宙咒
tʂʰ	［2］绸稠筹仇酬［3］丑［5］臭
ʂ	［1］收［3］手首守［5］受兽寿授售
ʐ	［2］柔揉［5］肉
k	［1］勾钩沟尻䐁{～：屁股沟}［3］狗苟［5］够□{卜～：受凉打嗝儿}
kʰ	［1］抠［3］口［5］叩扣寇
ŋ	［1］欧［3］藕偶呕殴㷒{饭～了：饭煳了}［5］构购沤怄
x	［2］侯喉猴瘊候［3］吼［5］后厚
#iou	
t	［1］丢［2］□{提，拿}
n	［2］牛［3］纽扭［5］谬
l	［1］□{讨好}□{təʔ2～：提，拿}□{圪～：弯，不直}［2］流刘留榴硫琉［3］柳［5］溜六
ʨ	［1］揪鬏鸠阄纠究蹴{圪～}［3］酒九久韭灸［5］就臼舅咎救旧柩
ʨʰ	［1］秋丘□{单肩挎或扛}□{歪}［2］求球㞗{男阴}
ɕ	［1］修羞休幽［2］囚削{～铅笔}［3］朽［5］秀绣宿{星～}锈袖嗅
Ø	［1］幽忧悠优［2］由尤油邮犹［3］有友酉莠［5］诱又右佑柚釉幼
#æ̃	
p	［1］班般颁搬斑扳［3］板版［5］扮拌=半=伴绊=瓣办
pʰ	［1］攀襻{～带带}潘［2］盘=［5］盼叛判
m	［2］蛮瞒［3］满=［5］慢漫=曼
f	［1］翻番［2］凡帆藩烦矾繁樊［3］反返［5］范犯泛贩饭
t	［1］耽担{～任}丹单［3］胆掸［5］淡担{挑～}诞旦但弹{子～}蛋石{量词}□{支起来}
tʰ	［1］贪坍滩摊［2］潭谭谈痰檀坛弹{～棉花}［3］毯坦瘫［5］探炭叹舑{吐舌头；吐出}
n	［2］南男难{困～}楠［5］难{患～}喃{～～}
l	［2］蓝篮兰拦栏［3］漤览揽榄缆懒爁{圪～：稍微翻炒一下}□{圪～：长棍状，形容人瘦高的样子}［5］滥烂□{卜～：拌，绊}
ʦ	［1］簪［3］斩盏攒眨［5］暂錾站赚蘸赞𪷽绽栈□{～眼：挑选}
ʦʰ	［1］参搀［2］蚕惭谗馋残□{厉害}［3］惨餐铲产刬{只：小明～吃了米饭}［5］灿□{使团成一团的东西散开}□{量词，次，遍}
s	［1］三杉衫珊山删［3］散{～架}伞［5］散{分～}
z	［5］□{小孩哭闹}
tʂ	［1］沾粘瞻［5］占战颤
tʂʰ	［2］蝉禅{～宗}
ʂ	［1］膻=［2］□{～～：蛾子}［3］陕=闪=［5］疝善膳单{姓}禅{～让}
k	［1］尴甘柑憨酣肝=杆［3］感敢=橄喊擀=秆［5］干{～部}
kʰ	［1］堪勘看{～守}［3］坎刊［5］看={～见}
ŋ	［1］安鞍［2］严-{盖～}［5］暗岸=按案
x	［2］函咸-韩=罕还{～有}［5］撼憾旱=汉={～朝}汗焊翰
#iæ̃	
ʨ	［1］监{～督}艰间{空～}奸［3］减碱简柬拣［5］鉴监{国子～}舰涧锏
ʨʰ	［1］铅［2］虔［5］嵌
ɕ	［2］含咸=衔闲［5］陷馅限
Ø	［5］雁
#uæ̃	
t	［1］端=［3］短=［5］断=锻=段=缎=
tʰ	［2］团
n	［3］暖=
l	［2］孪［3］卵［5］乱=
ʦ	［1］钻={动词}［5］纂钻={～石}
s	［1］酸=［5］算=蒜=
tʂ	［1］专=砖=［3］转{～眼}［5］撰篆转={～圆圈}传{～记}
tʂʰ	［1］川穿=［2］传{～达}椽船=［3］喘=
ʂ	［1］闩拴［3］□{吃东西不用牙齿咬，而用牙龈咀嚼，多指老人与婴幼儿进食的动作}［5］涮
ʐ	［3］软=阮
k	［1］官=棺=材观{参～}鳏{关}［3］管=馆=［5］冠贯灌=罐=观{道～}惯掼{摔，扔}
kʰ	［1］宽=［3］款=
x	［1］欢［2］桓还{～原}环［3］缓［5］焕换=唤幻患宦
Ø	［1］豌=弯湾［2］完=丸=玩顽［3］皖晚挽宛［5］腕=万蔓
#əŋ	
p	［1］奔崩绷［3］本［5］笨奔{～头}坋{眼～}镚{～～：钢镚}嘣{圪～～}泵
pʰ	［1］喷{～水}烹［2］盆朋彭膨棚篷蓬［3］捧［5］喷{～香}碰
m	［1］蒙{～对了}焖［2］门萌蒙{～蔽}［3］猛懵蠓［5］闷孟梦
f	［1］分{～开}芬纷风枫疯丰封峰蜂锋［2］焚坟冯逢缝{～衣裳}［3］粉讽［5］愤忿粪奋份凤奉缝{～～}
t	［1］登灯蹬［3］等戥{～子：小型秤}［5］扽凳镫邓澄{～水}瞪
tʰ	［1］吞熥［2］腾誊藤疼
n	［2］能
l	［2］塄{圪～：土坡或山石陡立的侧面，比崖矮；高家～：地名}棱［3］冷［5］楞愣
ʦ	［1］曾{姓}增憎争□{欠}筝［5］赠锃缯{用绳子捆}
ʦʰ	［1］参{～差}撑□{不承认自己有误而强行解释}睖{瞪}［2］曾{～经}层［3］□{催促}□{用工具铲、刮}碜［5］蹭牚□{～～：形容人行动快或催促别人快点}衬
s	［1］森参{人～}僧生牲笙甥糝{圪～}［2］寻［3］省{节～}［5］渗
z	［1］吟［2］仍
tʂ	［1］针斟珍臻真诊疹征蒸=筝贞侦正={～月}征［3］枕振拯整=［5］镇阵震枕{动词}证症郑掷正政
tʂʰ	［1］称={称呼}［2］沉陈尘辰晨臣澄{～清}惩橙承丞呈程成城诚盛{～满了}［3］逞［5］趁乘秤=
ʂ	［1］深身申伸升声=［2］神绳=［3］沈审婶［5］甚肾慎胜剩=圣盛{～开}
ʐ	［2］壬任{姓}人仁［3］忍［5］任{责～}纫刃认靱
k	［1］更{～换}庚羹耕跟根［3］哽埂梗耿［5］更{～加}
k‘	［1］坑［3］肯垦恳
ŋ	［1］恩
x	［1］哼亨［2］痕横{～线}恒衡［3］恨{～的人：让人心里发恨}很［5］恨
#iəŋ	
p	［1］彬宾槟冰兵［3］禀丙秉柄饼［5］殡鬓病=并
pʰ	［2］贫频凭=平=坪=评瓶=屏萍［3］品□{形容人吞吞吐吐、拖拖拉拉}［5］聘姘拼
m	［2］民鸣明名=铭［3］闽悯敏抿皿［5］命=
t	［1］丁钉={～子}靪疔［3］顶=鼎［5］锭钉={～住}订{～婚}定
tʰ	［1］听=厅［2］亭停婷［3］廷庭蜓艇挺
n	［2］凝宁{安～}佞拧［5］硬宁{～可}
l	［2］林淋临邻鳞磷吝陵凌菱灵零铃伶拎［3］檩翎［5］赁另
ʨ	［1］今金禁{～不住}襟津巾斤筋茎京荆惊鲸精=晶睛=经径衿{系}［3］锦尽{～前}仅谨境景警井=颈［5］禁{～止}妗尽{用～}进晋近劲敬竟镜=竞静=靖净=□{～不上：打不过}
ʨʰ	［1］侵钦亲卿清=轻=青=蜻［2］琴禽擒秦勤芹擎情晴［3］寝请倾顷［5］浸庆亲{～家}□{油汤、腥汤凝结}
ɕ	［1］心辛新薪欣兴{～旺}星腥馨［2］行{～为}形型刑荥［3］省{反～}醒［5］葚{桑～}信讯迅兴{高～}杏幸性姓衅
Ø	［1］音阴淫荫因姻洇殷鹰莺鹦樱英婴缨魇{睡～住了}［2］银寅蝇=迎盈赢=营茔匀{～～儿}［3］饮{～酒}引隐尹影颖蚓{蚯～}［5］饮{～马}印应孕映
#uəŋ	
t	［1］敦墩蹲东冬［3］董懂□{～水：玩水}盹□{～乱子}［5］饨沌盾顿钝遁动冻栋洞
tʰ	［1］通［2］臀囤同铜桐童瞳［3］桶捅统筒［5］痛
n	［2］农脓浓［5］嫩弄
l	［1］囵{囫～}［2］论{～语}仑聋隆龙笼{～嘴}［3］笼{～子}拢陇垄［5］论{议～}
ʦ	［1］尊遵棕鬃宗踪［3］总［5］粽综{织布机上的～}纵
ʦʰ	［1］村皴聪匆葱［2］存丛从重{～来}［3］忖［5］寸
s	［1］孙松嵩［2］𪨊［3］损笋怂{～恿}［5］逊诵讼颂送宋
tʂ	［1］中{～国}忠终钟盅［3］准种{～子}冢肿［5］中{～奖}仲众重{轻～}种{～地}
tʂʰ	［1］椿春冲{～奶粉}［2］唇纯醇虫崇重{～复}［3］蠢宠冲{向前～}充［5］冲{味道～}
ʂ	［5］顺舜
ʐ	［2］茸冗戎绒［5］润闰
k	［1］公蚣工功攻弓躬宫恭供{～不起}［3］滚拱汞［5］棍贡供{上～}共
kʰ	［1］昆坤空{～虚}［3］啃捆孔恐［5］困控空{～缺}
x	［1］昏婚轰烘浑{水～}［2］魂馄浑{～身}弘横{～直}宏红洪鸿虹=［3］哄{～人}［5］混横{～山}哄{起～}
Ø	［1］温瘟［2］文纹蚊闻［3］稳吻刎［5］翁瓮问
#yəŋ	
l	［2］伦沦轮［3］□{量词，条状：一～肉}
ʨ	［1］均钧君军［3］窘菌迥［5］俊郡
ʨʰ	［2］群裙琼穷［3］□{人感觉闷热，也可指食物做好后不及时食用，食物的余温导致其黏连或软烂}
ɕ	［1］熏勋薰兄胸凶醺{醉～～}［2］荀旬循巡熊雄［3］□{～住强制要求}［5］殉训燻{～枣}讯
Ø	［1］雍［2］匀云萤荣融容蓉镕溶榕［3］允永泳咏拥甬勇涌蛹［5］熨韵运晕用
#aʔ	
p	［7］八剥驳
pʰ	［7］□{胖}［8］拔-
m	［8］抹
f	［7］法发［8］乏伐筏罚
t	［7］答搭达荙{莙～}
tʰ	［7］拓沓塔榻塌涾獭托特溻［8］踏
n	［7］纳呐{唢～}［8］纳{～鞋底子}
