#参考资料	《安徽安庆方言同音字汇》
#符号说明	“□”表示写不出来的字
#调值	[1]阴平31[2]阳平35[3]上声213[5]去声51[7]入声55
#ɿ	
tʂ	[1]追锥椎蜇{蜂子～人}[5]坠缀赘
tʂʰ	[1]吹炊[2]垂锤捶槌
ʂ	[1]谁[3]水[5]睡税
k	[1]归龟规闺硅[3]鬼轨诡[5]贵跪桂柜鳜
kʰ	[1]亏盔窥[2]葵魁[3]傀[5]愧溃
x	[1]灰挥恢辉徽[2]回茴蛔[3]毁悔[5]会绘汇惠慧贿讳卉彗烩
Ø	[1]威煨偎[2]为围危违唯维惟微桅[3]尾伪伟委韦纬苇[5]为位未喂胃谓昧卫魏畏慰
#ʯe	
tʂ	[7]决倔诀
tʂʰ	[2]瘸
ʂ	[1]靴
Ø	[1]哕{～人：欲呕吐的感觉}[7]月曰阅越
#ɔ	
p	[1]包胞苞[3]饱保褒煲宝[5]抱报暴爆豹鲍
pʰ	[1]泡{松}抛脬{量词：一～尿}醪{吹牛,不沉稳}[2]刨袍狍[3]跑[5]炮泡
m	[1]猫[2]毛牦矛茅锚髦[3]□{遗漏}卯[5]冒帽貌茂贸
t	[1]刀叨鱽[3]倒{打～}岛捣导蹈祷[5]倒{～水}道盗稻
tʰ	[1]掏涛滔[2]掏{把汤舀到饭碗里}逃桃陶淘洮{～米}萄[3]讨[5]套
n	[1]孬唠捞[2]挠蛲劳牢痨[3]脑恼老佬[5]闹涝痨{毒害：～老鼠}
ts	[1]遭糟[3]早藻枣[5]燥躁噪造灶皂
tsʰ	[1]操[2]曹槽嘈{胃里难受：糯米粑吃多着～人}[3]草驊{～狗}[5]糙{造～蛋：调皮.捣乱}
s	[1]搔骚臊[3]扫嫂[5]忮{快}
tʂ	[1]朝{～气}招昭召钊[3]找沼[5]兆赵照诏罩
tʂʰ	[1]抄超钞焯[2]朝{～廷}潮嘲巢[3]吵炒[5]□{翻动：在菜碗里～}
ʂ	[1]烧捎梢稍筲{～箕}[2]韶□{不太稳重,爱出风头}[3]少{多～}[5]少{～年}哨绍邵{姓}
ʐ	[2]饶[3]扰绕[5]绕
k	[1]高篙膏羔糕跤{白}跤茭{～白}交{遍：洗两～}[3]搞稿搅{打～：打扰}[5]叫{～花子：乞丐}较{～秤}告觉{白}珓{占卜用具}
kʰ	[1]敲[3]考烤[5]靠拷犒
ŋ	[1]□{吆喊：七点～我起来}[2]熬[3]咬祆[5]傲奧懊澳拗
x	[1]蒿薅[2]嚎壕毫豪[3]好[5]好{爱～}耗号
#iɔ	
p	[1]标彪猋{快跑；水急速喷出}膘熛飚[3]表婊裱[5]摽鳔嫑{不要}
pʰ	[1]飘漂[2]瓢嫖[3]漂{～白}瞟[5]漂{～亮}票
m	[1]喵[2]描苗瞄[3]秒杪{树～：树梢}[5]庙妙缪{姓}
t	[1]叼刁雕碉貂凋[3]屌[5]吊调钓
tʰ	[1]挑{～水；～子：勺子}[2]调{～整}条笤[3]挑{～拨}[5]跳
n	[1]嬲{风流；爱俏：小妹～得很}[2]燎疗聊辽撩镣獠{戏弄}[3]了{～结}绕{把毛线～起来}鸟[5]尿料撂{量词}
tɕ	[1]交胶郊狡教{～书}焦蕉礁娇骄浇椒[3]较缴绞饺剿[5]教{～师}叫校{～对}酵□{～油：用猪油炼油}
tɕʰ	[1]锹悄撬[2]桥瞧乔侨荞挢{因干燥而弯曲}[3]巧[5]翘鞘窍缲{～边}
ɕ	[1]消销宵萧霄硝枵薄[2]淆[3]小晓[5]笑效校孝
Ø	[1]妖腰邀要{～求}[2]摇窑谣姚舀[5]要耀鹞
#əu	
t	[1]都蔸{树～：树根}兜[3]斗{升～}抖陡蚪堵赌睹肚[5]斗豆痘逗斣{拼凑}度渡镀杜妒[7]读毒独督
tʰ	[1]偷[2]图涂途徒屠头投[3]土吐敨{展开：～开包裹；清洗：～衣服}[5]透兔[7]突秃□{脱榫：抽屉～着；脱落：毛线～掉着}□{食物快熟时再烧煮片刻：稀饭还～下子}
n	[1]搂{用力抠：～黄鳝}[2]楼炉卢芦庐鲈奴[3]鲁卤篓搂{～抱}努[5]路露鹭漏陋[7]录鹿陆绿禄六怒
ts	[1]租诌[3]走组阻祖诅[5]奏揍皱[7]卒族足
tsʰ	[1]粗初[2]锄[3]楚础□{等待：～机会再走}醋凑[7]促{仓～}□{脱臼；手膀子～着}
s	[1]搜艘嗖馊溲苏酥梳蔬疏[3]数[5]数瘦素嗽诉漱[7]俗塑宿肃速续
tʂ	[1]周洲州舟朔[3]帚肘扭{拧：～干；～紧}[5]宙昼咒纣
tʂʰ	[1]抽[2]稠绸愁仇酬筹[3]丑[5]臭
ʂ	[1]收[3]手首守[5]授兽售寿
ʐ	[2]柔揉[7]肉辱{侮～}
#iəu	
t	[1]丢
n	[1]妞扭{拧伤筋骨：～着}腰溜[2]牛流硫留榴馏瘤镏刘[3]纽扭螨动柳
tɕ	[1]究揪鬏纠[3]九酒久玖韭[5]就旧救舅柩痢萎
tɕʰ	[1]秋丘蚯鳅瞅斜视蝤熏{～蚊子}[2]求球囚泅仇{姓}[5]就{挨近,靠近：～着火盆边}
ɕ	[1]修休羞[3]朽[5]锈绣袖秀嗅{～觉}
k	[1]勾沟钩鸠{八～儿：八哥}垢{～肌：皮肤上的污垢}[3]狗[5]够购构
kʰ	[1]抠眍[2]趔{蜷曲,足不伸}[3]口[5]扣寇叩
ŋ	[1]欧殴瓯[3]藕呕[5]沤怄
x	[1]瘊齁[2]喉猴侯[3]吼[5]后厚候
Ø	[1]优忧幽悠[2]由油邮游[3]有友酉{～时}[5]又右佑幼釉[7]狱育{教～}
#ãn	
p	[1]班斑扳颁[3]板版[5]办扮瓣
pʰ	[1]攀[5]盼绊襻
m	[2]蛮[5]慢蔓鳗
f	[1]翻番帆幡[2]繁烦矾[3]反返[5]饭犯泛贩
t	[1]单丹耽担{～心}[3]胆掸[5]但旦担淡蛋弹{子～}氮
tʰ	[1]贪滩摊瘫[2]坛谈潭痰谭檀弹[3]毯坦[5]叹探碳炭
n	[2]难{～易}男南兰栏篮蓝[3]懒揽缆漤{用水稍微冲洗一下：～碗}[5]难{灾～}烂
ts	[3]攒[5]暂赞
tsʰ	[1]参餐[2]蚕残惭[3]惨[5]灿
s	[1]三叁[3]伞散{～漫}[5]散{～会}
k	[1]干肝竿矸甘柑疳搛{～菜}尴间{中～}[3]赶感敢橄竿秆擀[5]干{～部}赣
kʰ	[1]刊堪龛看[2]衔{（白）糖果～在嘴里}[3]砍坎槛侃[5]看{～书}
ŋ	[1]淹安鞍氨胺桉庵鹌豌{～豆}[2]严{～实}[3]眼{～珠儿：眼睛；小洞}[5]按岸案暗晏晚
x	[1]酣憨鼾[2]含寒涵函韩邯咸[3]喊[5]汗汉旱焊憾苋{～菜}
#ɑ̃n	
p	[1]邦帮梆[3]榜膀[5]棒磅镑傍蚌
pʰ	[1]乓[2]旁庞螃[5]盼绊襻
m	[2]忙芒盲茫氓□{～槌：棒槌}[3]莽蟒
f	[1]方芳坊[2]房防妨[3]访仿纺舫[5]放
t	[1]当裆[3]挡档党□{～水：用开水把蔬菜等焯-一下。}[5]当{上～}荡凼{水坑}
tʰ	[1]汤[2]唐糖塘搪堂棠[3]躺淌[5]烫趟
n	[1]囔馕饢[2]狼郎廊螂[3]攮{～子：短而尖的小刀}朗[5]浪
ts	[1]脏赃[5]葬藏
tsʰ	[1]仓舱苍[2]藏涎
s	[1]丧{～事}[3]搡[5]丧{～命}
tʂ	[1]张章樟蟑[3]长{～大}涨掌[5]丈仗帐杖胀
tʂʰ	[1]昌猖娼[2]长{～短}常尝偿肠常嫦[3]厂敞场[5]畅唱
ʂ	[1]伤裳[3]赏[5]上
ʐ	[1]瓤[3]嚷壤[5]让
k	[1]冈刚钢纲肛缸[3]岗港讲{白}[5]杠
kʰ	[1]糠康[2]扛[5]抗炕亢墈{黄土～：安庆地名（文献资料多写成“黄土坑"）}
ŋ	[2]昂
x	[2]行{银～}航杭绗{～棉花}[5]巷
#ɛ̃n	
tʂ	[1]沾占{～卜}粘{～贴}□{剁}[3]展盏斩[5]占{～有}站战栈蘸湛
tʂʰ	[1]掺搀[2]缠馋[3]产铲
ʂ	[1]山衫删珊煽膻[3]闪陕[5]善扇膳鳝蟮
ʐ	[1]燃然[3]染
#iɑ̃n	
n	[2]娘量{～尺寸}良凉{乘～}粮梁粱[3]仰{头～着}两[5]酿亮晾{文}谅量{重～}
tɕ	[1]江将{～军}姜僵疆缰浆[3]奖蒋柠膙{食物没烧烂：肉烧～着}[5]降{～落伞}酱像{白}犟{～脾气}響{～啸}将{中～}
tɕʰ	[1]枪腔呛羌戗{～水}[2]墙蔷樯强{占～}详祥降{投～}[3]抢{强～词夺理}[5]戗{够～}呛{烟～人}炝
ɕ	[1]乡香箱相{～信}厢湘镶[3]想响享饷[5]向相{～片}项像{文}橡
Ø	[1]央秧殃鸯鞅[2]羊洋佯扬杨阳疡旸{化～：冰雪溶化}[3]养痒氧[5]样漾{～人：腻人}
#uɑ̃n	
tʂ	[1]装妆
tʂʰ	[2]床椽
ʂ	[1]霜双[3]爽[5]涮
k	[1]光咣胱[5]逛
kʰ	[1]筐框哐[2]狂[5]矿况眶
x	[1]慌荒[2]黄簧凰皇惶蝗磺潢隍[3]晃谎恍[5]晃{～动；散步}衁{鸭～子：鸭血}
Ø	[1]汪枉[2]王亡[3]网往[5]望忘旺妄
#uãn	
k	[5]惯观{道～}
kʰ	[5]掼
Ø	[1]弯湾[2]玩完顽[3]晚[5]万
#uɛ̃n	
tʂ	[1]专砖捐鹃娟[3]转{～身}卷{～起}[5]转{～圈}赚撰篆传{～记}卷{～子}券
tʂʰ	[1]川穿圈[2]船椽权拳颧[3]喘犬[5]串劝
ʂ	[1]栓拴闩
ʐ	[3]软
#õn	
p	[1]般搬[5]半拌伴
pʰ	[1]潘[2]盘[5]判叛
m	[2]瞒[3]满[5]漫{水～出来}
t	[1]端[2]断{～奶}短[5]段断锻缎煅缎
tʰ	[2]团搏{把东西拢成堆桩或球状}坛{白}
n	[2]拦{～住}孪鸾{～凤}[5]暖卵[5]乱
ts	[1]钻簪{～子}[3]□{鹅、鸭等用嘴咬人：鹅～人}[5]钻动词攥
tsʰ	[1]□{跌跌撞撞的样子：跑着直～的}氽{～汤}□{～磕睡}[2]菆{人死入殓后棺材不人土而置于地上三五年再下葬}[5]蹿窜
s	[1]酸[5]算蒜
k	[1]官棺倌冠{鸡～子}观{～众}[3]管馆[5]冠{～军}灌罐
kʰ	[1]宽[3]匭{倒扣；把碗～着款}
x	[1]欢獾{～子}[3]缓[5]幻唤患宦涣焕换痪
#uõn	
Ø	[1]丸完烷{甲～}[3]碗挽婉惋绾皖[5]腕
#iɛ̃n	
p	[1]鞭边编鳊{～鱼}[3]扁匾贬[5]变便遍辩辨辫
pʰ	[1]偏翩篇[2]便{～宜}[5]片骗
m	[2]棉眠[3]免勉腼缅[5]面
t	[1]掂颠癫癜{白～风}滇[3]点碘典[5]电店殿垫惦淀佃奠
tʰ	[1]天添[2]田填甜[3]舔恬{～不知耻}腆
n	[1]拈黏[2]年鲇严{～格}连联莲怜帘鲢廉镰敛[3]撵碾脸[5]念练炼链恋砚{～台}
tɕ	[1]尖艰监肩坚煎奸兼犍{～猪}[3]拣剪茧趼{老～}俭捡检减简[5]间{～谍}见件建健毽键腱荐贱践箭鉴剑
tɕʰ	[1]千牵迁纤扦{竹～}铅谦褰[2]前钱钳乾潜虔泉全{白}持{拔取：～鸡毛}[3]浅遣[5]欠歉
ɕ	[1]先仙鲜掀锨籼宣[2]衔{文}闲嫌贤舷旋{～转}[3]选显险藓癣[5]线县现{～世：出洋相；没本事}献陷馅限羡现{～饭：剩饭}旋{转圈：头～昏着宪眩晕：喝点酒头就直～的}
Ø	[1]烟胭腌咽淹{文}[2]盐沿言炎研颜檐阎闫[3]演掩[5]厌宴堰验艳雁燕谚焰
#ʯɛ̃n	
tʂ	[5]桊{牛鼻～}
ʂ	[2]弦玄悬
Ø	[1]冤鸳渊[2]元员圆园原援猿源缘袁[3]远[5]怨院愿
#ən	
p	[1]奔[3]本畚[5]笨
pʰ	[1]喷{～气}烹澎{溅：～着一身水}[2]盆彭膨
m	们[1]蒙闷[2]门明{（白）～朝：明天}[5]焖闷{胸～}
f	[1]分芬纷吩[2]坟[3]粉[5]奋愤忿粪分{本～}氛
t	[1]登蹲吨墩敦礅蹬镫[3]等戥盹[5]邓登瞪囤{粮～}炖盾遁顿燉{～蛋：蒸鸡蛋}
tʰ	[1]吞[2]屯囤{存储}豚藤誊腾[3]□{气味难闻：～人}[5]褪{把袖子～下来}
n	[2]能轮伦仑纶[3]冷[5]嫩愣论
ts	[1]争睁筝尊遵增罾曾{姓}[3]怎[5]挣{～钱}
tsʰ	[1]村皴撑[2]存层曾{～经}[5]寸衬蹭
s	[1]孙森生甥牲笙参{人～}僧[3]笋损榫省[5]渗
tʂ	[1]真针珍贞侦祯砧斟正{～月}征蒸[3]疹枕整拯[5]阵镇震振赈圳朕正{～确}证症郑政
tʂʰ	[1]称抻[2]尘臣辰晨沉陈成盛城诚程呈乘橙澄[3]惩逞[5]称{～职}趁秤
ʂ	[1]身伸深申绅呻珅声升[2]神什绳[3]审婶沈[5]甚慎肾剩胜圣
ʐ	[1]扔[2]人壬任{姓}仍仁[3]忍4任{～务}刃纫韧认
k	[1]今{白}跟根更{三～}耕羹[3]耿埂梗哽颈{脖～子}粳{～米}[5]更
kʰ	[1]坑{泥～}吭[3]肯啃恳垦[5]掯{低垂：头～着不说话}
ŋ	[1]恩[5]摁硬
x	[1]哼亨[2]恒衡[3]很狠[5]恨
#in	
p	[1]宾彬滨缤兵冰斌[3]丙饼柄炳[5]殡鬓并病
pʰ	[1]拼姘乒[2]贫频平凭瓶屏萍苹坪评[3]品[5]聘
m	[2]民名明鸣冥{～钱}瞑{死不～目}[3]敏闽抿悯[5]命
t	[1]丁叮盯钉{名词}疔柽{床前横木}[3]顶鼎[5]订钉{动词}定
tʰ	[1]听厅[2]亭停庭廷婷蜓[3]挺艇
n	[1]拎[2]林临淋邻鳞琳磷麟零铃玲灵龄凌陵菱棱绫凝您宁柠咛泞狞
tɕ	[1]今{文}斤金津筋巾襟禁京惊鲸精腈{～肉：瘦肉}睛晶经痉茎泾[3]仅紧{松～}谨锦井颈{～子}景警[5]尽进近劲禁{～区}净竟静镜竞境敬径
tɕʰ	[1]亲{～人；～家}侵轻清青倾蜻氢[2]琴勤秦芹禽擒寻情晴腈[3]寝请顷[5]庆
ɕ	[1]心芯新薪锌辛欣鑫星腥猩惺兴{～奋}[2]行{～动}形型刑巡{～逻}[3]醒省{反～}擤[5]性姓杏兴{高～}信迅{～速}焮
