IPA	调类	调值	例字
ɕi	5a	45	细戏十实食蚀石=
ɣi	6	33	系[联~]
i	1	55	医衣依伊
i	2b	24	移夷姨怡揖一易[(姓)]□[(副词,常用于否定句中，相当于“一点都”不好看)]
i	3	21	椅以矣己乙
i	5a	45	肄意逸忆亿日抑翼腋=益亦译液□[(熄灭)]
i	6	33	易[容~]異
pu	3	21	補卜[~卦]
pu	5a	45	布怖
bʰu	1	55	铺[~床]
bʰu	2a	13	蒲菩脯葡扑仆卜[萝~]不
bʰu	3	21	普谱浦谱[(液体沸腾溢出)]
bʰu	5b	35	铺[店~]破
bʰu	6	33	部簿步
ly	1	55	□[(滚动)]□[(形容词前缀):~壮的]
ly	2b	24	驴
ly	3	21	吕旅缕屡履
ly	5a	45	律率
ly	6	33	虑滤累[连~]类泪
ȶy	1	55	猪诸居车[~马炮]诛蛛株朱殊珠拘驹鞠
ȶy	2b	24	橘菊局
ȶy	3	21	煮举拄主矩
ȶy	5a	45	著据锯驻注蛀铸句剧□[(掏)]
ȡʰy	1	55	枢区[地~]驱吹炊
ȡʰy	2a	13	除储置渠厨橱垂锤出屈
ȡʰy	3	21	处[~理]杵
ȡʰy	5b	35	处[~长]去=
ȡʰy	6	33	苧巨拒距柱住俱具惧柜-
ȵy	3	21	女语
ʨy	2b	24	卒□[(塞)]
ʨy	3	21	嘴
ʨy	5a	45	最醉缀
ʥʰy	1	55	蛆趋
ʥʰy	2a	13	徐随□[~死:找死]
ʥʰy	3	21	取娶
ʥʰy	5b	35	趣脆翠粹隧□[(擦或揩)]
ʥʰy	6	33	序叙绪聚
ɕy	1	55	书舒墟虚嘘须需输殊虽
ɕy	3	21	暑鼠=薯=黍署许髓水蜀
ɕy	5a	45	絮庶恕岁税睡术述恤
ɣy	6	33	竖树
y	1	55	淤迂
y	2b	24	如鱼渔余儒愚圍-虞娱于盂榆逾愉□[(把布·纸等向内卷或折)]
y	3	21	与乳雨宇禹羽辱
y	5a	45	御誉喂-入域疫郁育玉浴欲淤[~桶:尿桶]
y	6	33	预豫遇寓芋喻裕
pa	2b	24	伯八拔
pa	3	21	摆
pa	5a	45	拜
ba	2a	13	排牌
ba	5b	35	派□[(用冷水使热的东西变凉)]□[~la: 脏]
ba	6	33	败
ta	2b	24	答搭达
ta	3	21	打
ta	5a	45	戴带
dʰa	2a	13	□[~场:误事]趿□[~药:抹药]塔
dʰa	5b	35	态太泰踏
dʰa	6	33	大
la	1	55	拉
la	2b	24	腊蜡捺
la	3	21	哪
la	5a	45	那-纳辣
la	6	33	耐奈赖癞
tsa	1	55	斋
tsa	2b	24	扎眨闸砸札杂
tsa	5a	45	债
ʣʰa	1	55	差[出~]猜
ʣʰa	2a	13	豺柴插擦察□[~菜子:坛子菜]
ʣʰa	5b	35	煠铡
ʣʰa	6	33	寨
sa	1	55	筛
sa	2b	24	杀煞
sa	3	21	洒
sa	5a	45	萨
ka	1	55	皆阶佳街家-[亲~]□[~~:爷爷]
ka	2b	24	夹挟涩-痴
ka	3	21	解□[~白:苍白]
ka	5a	45	介界芥尬届戒械锯-[~木灰]胛[翼~:翅膀]
gʰa	1	55	揩
gʰa	2a	13	洽掐
gʰa	3	21	卡楷
gʰa	6	33	蟹□[杀~脐股:搔胳肢窝]
gʰa	1	55	哈
xa	2b	24	瞎
xa	3	21	傻
xa	5a	45	狭峡
ɣa	2a	13	鞋还[~有]
ɣa	6	33	什[~么]□[(装进口袋)]
a	1	55	阿[~姨]
pia	3	21	瘪
bʰia	2a	13	别[离~]撇
bʰia	5b	35	别[~个]
lia	2b	24	猎劣列烈裂
lia	5a	45	戾[发~:使性子]□[(歪斜)]
ȶia	1	55	爹
ȶia	2b	24	甲摺褶劫叠哲折浙揭竭结洁
ȶia	3	21	者
ȡʰia	2a	13	跌帖贴彻撤铁杰=
ȡʰia	5b	35	碟蝶谍
ȵia	2b	24	聂孽业
ʨia	2b	24	接节疖
ʨia	5a	45	姐=[~~]
ʥʰia	2a	13	切
ʥʰia	3	21	且
ʥʰia	5b	35	妾捷截洽
ɕia	2b	24	摄涉胁协辖泄设歇屑楔
ɕia	5a	45	舌折[~本]舍=
ia	2b	24	押压热乙
ia	5a	45	叶页
tsua	2b	24	□[(磕、碰)]啄-
ʣʰua	3	21	踩
ʣʰua	6	33	□[~雨:淋雨]
sua	2b	24	刷□[(丢失)]
sua	3	21	甩
kua	1	55	乖呱
kua	2b	24	刮□[(形容词前缀),~瘦的]
kua	3	21	拐
kua	5a	45	怪
gʰua	3	21	垮块[一~钱]□[~脱:折断]
gʰua	5b	35	块[(量词):一~布]会[~计]刽快筷
xua	2b	24	法鬓发
xua	5a	45	乏伐筏罚阀
ɣua	2a	13	怀槐淮
ɣua	6	33	坏
ua	1	55	蛙洼歪
ua	2b	24	挖袜
ua	5a	45	滑猾
ȶya	2b	24	厥蔽掘决诀
ȡʰya	2a	13	缺
ʨya	2b	24	绝
ɕya	2b	24	薛雪说血穴
ya	2b	24	悦阅
uæ	2b	24	越曰粤
uæ	5a	45	月
pe	1	55	杯措碑卑悲
pe	2b	24	钵拨北百柏伯白=
pe	5a	45	贝辈背[~心]
bʰe	1	55	胚坯呸
bʰe	2a	13	泼迫培陪赔裴
bʰe	3	21	剖□[~淡:味道不浓]
bʰe	5b	35	魄沛配佩□[(碰撞)]
bʰe	6	33	倍背[~诵]焙
te	1	55	兜逗
te	2b	24	得德
te	3	21	斗抖陡
te	5a	45	鬥□[~拢来]□[~把：故意为难]
dʰe	1	55	苔[舌~]偷
dʰe	2a	13	台苔[~鲜]头投特□[(提请他人注意)]
dʰe	5b	35	透
dʰe	6	33	豆痘
ne	1	55	拿=
le	2b	24	楼来娄
le	3	21	搂篓
le	5a	45	肋勒
le	6	33	漏陋
tse	1	55	灾栽摘=邹给□[挠:~痒]
tse	2b	24	则贼=责
tse	3	21	宰载患走
tse	5a	45	再载奏皱
ʣʰe	1	55	搊[(把物品向上抬)]
ʣʰe	2a	13	才材财裁愁侧测泽择=宅策册切
ʣʰe	3	21	彩采睬
ʣʰe	5b	35	菜蔡凑贼-
ʣʰe	6	33	在
se	1	55	搜爬馊塞
se	2b	24	瑟色音虱-
se	5a	45	赛嗽瘦
ke	1	55	勾钩沟
ke	2b	24	格革隔
ke	3	21	狗苟
ke	5a	45	垢够构购勾锯-[~子]钙□[(如油脂冻住,凝结)]
gʰe	1	55	抠
gʰe	2a	13	客=咳=刻克
gʰe	3	21	口
gʰe	5b	35	扣寇揢[(夹到腋下)]
ŋe	1	55	欧鸥
ŋe	2b	24	呆-
ŋe	3	21	藕偶呕
ŋe	5a	45	沤呕
xe	2b	24	黑
xe	3	21	吼
xe	5a	45	核
ɣe	2a	13	孩喉猴杰-
ɣe	6	33	厚后候□[(唠叨)]
e	1	55	哎[(表示应答)]
e	2b	24	儿尔而
e	3	21	耳饵
e	6	33	二贰
lue	2b	24	雷擂镭
lue	3	21	垒
lue	5a	45	捋
lue	6	33	内累
tsue	1	55	□[(衰颓):变~哩]
tsue	2b	24	撮[一~]
ʣʰue	1	55	催崔
ʣʰue	2a	13	撮[~箕:簸箕]
ʣʰue	6	33	罪
sue	1	55	腮鳃衰
sue	5a	45	碎帅率蟀
ȶue	1	55	堆
ȶue	2b	24	夺□[(跳)]
ȶue	5a	45	对队兑
ȡʰue	1	55	胎推
ȡʰue	2a	13	颓脱抬
ȡʰue	3	21	腿
ȡʰue	5b	35	退蜕褪
ȡʰue	6	33	贷待怠殆代袋队[~伙:伙伴]
kue	1	55	该
kue	2b	24	佮[(结交)]鸽割葛括国
kue	3	21	改
kue	5a	45	盖丐
gʰue	1	55	开
gʰue	2a	13	阔
gʰue	3	21	凯
gʰue	5b	35	慨概
xue	1	55	恢灰
xue	2b	24	喝合或惑获
xue	3	21	海否□[(呕吐)]□[~色:褪色]
xue	5a	45	盒活
ɣue	2a	13	回=茴
ɣue	6	33	亥害晦汇会[开~]绘
ue	1	55	哀埃煨
ue	2b	24	回-□[(被捂着,不透气)]
ue	3	21	蔼□[~嘴巴:歪嘴]
ue	5a	45	艾爱□[(喊)]
ue	6	33	碍外
kui	1	55	圭闺规龟归
kui	2b	24	骨=
kui	3	21	诡轨癸鬼
kui	5a	45	鲡桂贵
gʰui	1	55	盔亏窥
gʰui	2a	13	魁奎逵葵
gʰui	3	21	跪
gʰui	5b	35	溃愧
gʰui	6	33	柜=
xui	1	55	麾非飞妃挥辉徽
xui	3	21	悔毁匪翡
xui	5a	45	贿废肺瘁费卉
ɣui	2a	13	谁肥
ɣui	6	33	彗惠慧讳
ui	1	55	威巍
ui	2b	24	微危为维惟唯围=违
ui	3	21	伪萎委尾伟苇纬
ui	5a	45	卫锐畏慰胃谓猬喂=□[浸:~湿哩]
ui	6	33	位未味魏
pɤ	1	55	褒包胞苞
pɤ	3	21	保堡宝饱
pɤ	5a	45	报豹爆
bʰɤ	1	55	抛脟[尿~,膀胱]□[~啦:很多]
bʰɤ	2a	13	袍刨雹浮-
bʰɤ	3	21	跑
bʰɤ	5b	35	炮泡[~沫]□[(十)]
bʰɤ	6	33	抱暴范鲍泡[~子]
mɤ	1	55	猫
mɤ	2b	24	毛茅锚矛
mɤ	3	21	卯
mɤ	5a	45	冒貌茂贸
mɤ	6	33	帽冇
tɤ	1	55	刀叨
tɤ	3	21	祷岛倒[打~]捣
tɤ	5a	45	到倒[~水]道[(量词:遍)]
dʰɤ	1	55	滔掏涛
dʰɤ	2a	13	桃逃淘陶萄綯[(拴住)]
dʰɤ	3	21	讨
dʰɤ	5b	35	套导
dʰɤ	6	33	道[~理]稻盗
lɤ	1	55	捞[~轻:很轻]唠□[~皮:锅巴]蹘[(跷腿或抄手)]
lɤ	2b	24	劳牢痨[~病]
lɤ	3	21	脑恼老姥
lɤ	5a	45	涝□[~痞子:流氓]
lɤ	6	33	闹痨[~药:毒药]
tsɤ	1	55	遭糟
tsɤ	3	21	早蚤澡藻爪找枣
tsɤ	5a	45	灶罩
ʣʰɤ	1	55	操糙抄钞
ʣʰɤ	2a	13	曹槽䐬[(肚子饿)]
ʣʰɤ	3	21	炒吵草
ʣʰɤ	5b	35	躁燥
ʣʰɤ	6	33	皂造□[(错)]□[(拿水冲洗)]
sɤ	1	55	骚躁稍
sɤ	3	21	嫂
sɤ	5a	45	扫稍□[~箕:淘米洗菜用的一种竹器引指箕形指纹]
kɤ	1	55	高膏篙羔糕茭[~笋:茭白]
kɤ	3	21	稿搞
kɤ	5a	45	告窖觉[睏~]教-[~书]
gʰɤ	1	55	敲
gʰɤ	3	21	考烤拷
gʰɤ	5b	35	靠稿
ŋɤ	1	55	凹□[(婴儿小声地哭泣)]
ŋɤ	2b	24	熬□[(摇)]
ŋɤ	3	21	袄□[(因接触刺激性的东西而使人疼痛或使物手腐蚀; ~盐:用盐浸渍)]
ŋɤ	5a	45	傲奥懊坳扷[(量)]
xɤ	1	55	篙薅□[(撕)]
xɤ	3	21	好[~坏]
xɤ	5a	45	好[~吃懒做]耗孝-[戴~]
ɣɤ	2a	13	豪壕毫嚎
ɣɤ	6	33	浩号
piɤ	1	55	膘标彪飘
piɤ	3	21	表裱妹
bʰiɤ	1	55	飘漂[~流]
bʰiɤ	2a	13	瓢嫖
bʰiɤ	3	21	漂[~白]膘
bʰiɤ	5b	35	票漂[~亮]
miɤ	2b	24	苗描
miɤ	3	21	藐渺秒
miɤ	5a	45	妙
miɤ	6	33	庙
liɤ	2b	24	燎疗聊辽撩僚燎
liɤ	3	21	了□[(混到一起)]
liɤ	6	33	镣廖料
ȶiɤ	1	55	交郊胶朝昭招骄娇刁貂雕浇
ȶiɤ	3	21	绞狡搅剿矫鸟-缴侥□[(踹)]
ȶiɤ	5a	45	教=[~师]校[~对]较酵窖照钓吊掉调[~动]叫
ȡʰiɤ	1	55	挑[~夫]超
ȡʰiɤ	2a	13	瞧朝潮乔侨桥荞嘲条调[~解]
ȡʰiɤ	3	21	巧挑[~战]
ȡʰiɤ	5b	35	俏翘跳粜窍
ȡʰiɤ	6	33	赵兆肇召轿
ȵiɤ	3	21	鸟=
ȵiɤ	6	33	尿
ʨiɤ	1	55	焦蕉椒
ʨiɤ	5a	45	□[~粑：用米粉或面粉做成的糕点]
ɕiɤ	1	55	消宵霄硝销逍烧萧箫
ɕiɤ	3	21	小少[多~]晓
ɕiɤ	5a	45	孝=[~顺]笑少[~年]绍邵
ɣiɤ	2a	13	淆韶
ɣiɤ	6	33	效校[~长]
iɤ	1	55	嚣妖邀腰要[~求]幺吆
iɤ	2b	24	肴摇谣窑姚遥尧饶
iɤ	3	21	咬=扰绕舀杳
iɤ	5a	45	要[重~]
iɤ	6	33	耀
po	1	55	巴芭疤爸
po	3	21	把□[~~:屎; 粪便]
po	5a	45	霸[恶~]欛坝□[~~:肉;儿语]
bʰo	2a	13	爬琶把耙拍
bʰo	5b	35	怕白-
bʰo	6	33	罢稗□[(两腿分开)]
dʰo	1	55	他它她
lo	2b	24	□[(爬)]
tso	1	55	抓渣
tso	2b	24	摘-
tso	3	21	扎[(捆,束)]
tso	5a	45	诈榨炸
ʣʰo	1	55	叉权差[~不多]
ʣʰo	2a	13	茶搽茬查碴拆
ʣʰo	5b	35	岔择-[~菜]
so	1	55	莎沙纱杉
so	3	21	耍
so	5a	45	厦晒
ko	1	55	家-[分~]痴瓜
ko	3	21	寡剐□[(往碗外拔拉)]
ko	5a	45	卦架-嫁-挂
gʰo	1	55	夸
gʰo	2a	13	客-
gʰo	5b	35	胯
xo	1	55	虾花
xo	2a	13	吓
xo	5a	45	化髪[头~]
ɣo	2a	13	华划[~船]
ɣo	6	33	画划[计~]下[~去]□[(都,全部)]
o	1	55	□[(用瓢、勺或直接用手掏)]䁊[(眼睛等下陷)]
o	6	33	话
pio	2b	24	壁=
bʰio	2a	13	劈-
lio	1	55	□[(撒娇)]
lio	3	21	□[(上衣不扣扣子)]□[(舌头伸出来)]
lio	5a	45	□[~苦的:很苦]
ȶio	1	55	加嘉家=佳稼遮
ȶio	2b	24	隻-炙-滴-
ȶio	3	21	假贾□[(握住)]
ȡʰio	5a	45	架=嫁=稼价蔗鷓驾
ȡʰio	1	55	车
ȡʰio	2a	13	赤-尺-吃-茄
ȡʰio	3	21	扯
tɕio	2b	24	脊-
tɕio	3	21	姐-
tɕio	5a	45	借
ʥʰio	2a	13	邪斜
ʥʰio	5b	35	席-[~子]
ʥʰio	6	33	謝-[(姓)]褯[~子布]
ɕio	1	55	些奢赊靴虾=
ɕio	2b	24	腋-□[~火：點火]
ɕio	3	21	写拾
ɕio	5a	45	泻卸谢=射赦石-舍-
ɣio	2a	13	霞蛇佘
ɣio	6	33	夏厦麝社下=
io	1	55	鸦丫椏椰
io	2b	24	爷
io	3	21	雅也野
io	5a	45	亚□[(扔)]
pɯ	1	55	波菠玻
pɯ	2b	24	勃博剥驳
pɯ	3	21	跋□[~啰货：质量不高的东西]
pɯ	5a	45	簸播啵[打~:亲嘴]
bʰɯ	1	55	颇坡
bʰɯ	2a	13	婆
bʰɯ	6	33	薄[厚~]
bʰɯ	6	33	薄[~荷]
mɯ	2b	24	魔磨[~刀]摩模膜
mɯ	3	21	母拇
mɯ	5a	45	摸漠木目牧睦
mɯ	6	33	磨[~子]幕寞募墓慕
tɯ	1	55	多
tɯ	3	21	朵躲
tɯ	5a	45	剁
dʰɯ	1	55	拖
dʰɯ	2a	13	驼驮托
dʰɯ	3	21	妥椭
dʰɯ	5b	35	□[~病:得病]□[(用重物压)]
dʰɯ	6	33	堕垛惰舵媠[~唧：父亲的姐姐]
lɯ	1	55	啰□[(讨好)]
lɯ	2b	24	骡螺脶挪罗锣箩萝□[(把东西放到高处)]
lɯ	3	21	裸
lɯ	5a	45	诺落烙骆酪洛络乐[快~]
lɯ	6	33	糯那-
tsɯ	2b	24	作卓桌琢啄=捉镯
tsɯ	3	21	左[~右]佐
tsɯ	5a	45	左[~撇子]
ʣʰɯ	1	55	搓
ʣʰɯ	2a	13	戳
ʣʰɯ	5b	35	锉措错凿昨浊
ʣʰɯ	6	33	坐座
sɯ	1	55	蓑梭唆
sɯ	2b	24	速塑索
sɯ	3	21	锁琐所
kɯ	1	55	歌哥戈
kɯ	2b	24	各阁搁郭角-
kɯ	3	21	果裹这-[(近指代词)]
kɯ	5a	45	个
gʰɯ	1	55	科棵鳅颗
gʰɯ	2a	13	磕磕扩确壳廓
gʰɯ	3	21	可
gʰɯ	5b	35	课
ŋɯ	2b	24	吾梧蛾=鹅俄
ŋɯ	3	21	我=
ŋɯ	6	33	沃卧饿
xɯ	2b	24	霍藿
xɯ	3	21	火伙
xɯ	5a	45	货缚[~柴:捆柴]鹤
ɣɯ	2a	13	荷河何和[~气]禾=
ɣɯ	6	33	贺祸和[~面]
ɯ	1	55	莴蜗阿[~胶]
ɯ	2b	24	恶
ɯ	5a	45	握□[(烫)]
miɯ	5a	45	谬
liɯ	1	55	溜
liɯ	2b	24	流刘留榴硫琉馏略掠
liɯ	3	21	柳
ȶiɯ	1	55	周舟州洲丢粥
ȶiɯ	2b	24	爵着[~装]酌脚角=竹筑轴祝菊鞠烛嘱
ȶiɯ	3	21	九久韭灸
ȶiɯ	5a	45	救究咒
ȡʰiɯ	1	55	抽丘蛆
ȡʰiɯ	2a	13	绸稠筹仇酬求球仇却畜触束曲囚泅
ȡʰiɯ	3	21	丑
ȡʰiɯ	5b	35	臭
ȡʰiɯ	6	33	宙舅旧
ȵiɯ	2b	24	若弱虐疟牛
ȵiɯ	3	21	纽
ȵiɯ	5a	45	肉扭
tɕiɯ	1	55	揪坞阉纠
tɕiɯ	3	21	酒
tɕiɯ	5a	45	□[~起来:扭起来]
ʥʰiɯ	1	55	秋鳅
ʥʰiɯ	5b	35	雀鹊嚼
ʥʰiɯ	6	33	就袖-
ɕiɯ	1	55	修羞收休
ɕiɯ	2b	24	削学叔淑塾旭粟
ɕiɯ	3	21	手首守朽
ɕiɯ	5a	45	秀绣锈勺芍属赎属熟嗅=袖=鼠-[老~子]
ɣiɯ	6	33	兽受寿授售
iɯ	1	55	优忧悠幽
iɯ	2b	24	柔揉尤邮由油游犹约钥跃欲乐[音~]岳狱
iɯ	3	21	有友酉莠
iɯ	5a	45	枯诱袖釉幼药
iɯ	5b	35	又右
tau	1	55	都
tau	2b	24	督毒
tau	3	21	堵赌肚[~子]
tau	5a	45	妒□[~起嘴巴:撅嘴]
dʰau	2a	13	徒屠途涂图秃突
dʰau	3	21	土
dʰau	5b	35	吐兔独读
dʰau	6	33	杜肚[~量]度渡镀
lau	1	55	□[(锈或生锈)]攎[(两手合抱东西)]
lau	2b	24	奴卢炉芦鸿庐
lau	3	21	努鲁噜虏卤
lau	5a	45	鹿禄六陆绿录
lau	5b	35	怒路赂露鹭
tsau	5b	35	租
tsau	2b	24	足
tsau	3	21	祖组阻
ʣʰau	1	55	粗初
ʣʰau	2a	13	锄碎促
ʣʰau	3	21	楚础
ʣʰau	5b	35	醋族
ʣʰau	6	33	助
sau	1	55	苏酥梳疏蔬
sau	2b	24	肃宿缩俗续
sau	3	21	数[(动词)]
sau	5a	45	素诉数[(名词)]
kau	1	55	姑孤箍辜估[~计]锅
kau	2b	24	骨-谷
kau	3	21	古粘股鼓估[(猜)]
kau	5a	45	故固雇顾
gʰau	1	55	枯窟窠
gʰau	2a	13	哭
gʰau	3	21	苦
gʰau	5b	35	库裤酷
xau	1	55	呼夫肤敷俘孵麸
xau	2b	24	忽佛福幅蝠腹辐覆复
xau	3	21	虎浒府腑俯甫斧抚釜腐辅
xau	5a	45	戽付赋傅咐赴讣富副服伏负[~数]
ɣau	2a	13	胡湖狐壶乎葫蝴糊符扶芙浮=
ɣau	6	33	户沪互护瓤父附妇负[~责]
au	1	55	乌污坞巫诬
au	2b	24	吴娱无屋禾-
au	3	21	五伍午武舞侮鹉
au	5a	45	物
au	6	33	误悟务雾
pã	1	55	班斑颁扳
pã	3	21	板版
pã	5a	45	扮霸[~蛮]□[~跤子:摔跤]
bʰã	1	55	攀
bʰã	5b	35	盼襻
bʰã	6	33	瓣办
mã	2b	24	埋蛮
mã	3	21	买晚-[~崽：最小的儿子]
mã	5a	45	卖嫚[~~:姑姑]
mã	6	33	迈漫慢馒
tã	1	55	耽担[~任]丹单觇[(抬起或举起)]
tã	3	21	胆掸疸
tã	5a	45	担[~子]旦
dʰã	1	55	贪滩摊瘫
dʰã	2a	13	潭谭谈痰檀坛弹
dʰã	3	21	毯坦
dʰã	5b	35	探炭叹
dʰã	6	33	淡诞但弹蛋
nã	2b	24	男南蓝篮难[~得]兰拦栏
nã	3	21	览揽榄缆懒奶=[牛~]□[(给别人东西时的提示语，意义相当于“给”)]
nã	5a	45	滥难[灾~]奶-[~婆:乳房或奶水]
nã	6	33	烂
tsã	1	55	簪
tsã	3	21	斩盏攒
tsã	5a	45	站[罚~]赞潜䋎[(缝补钉扣子等)]
ʣʰã	1	55	参[~加]搀餐
ʣʰã	2a	13	蚕惭谗馋残涎蝉禅
ʣʰã	3	21	惨铲产
ʣʰã	5b	35	灿
ʣʰã	6	33	暂站[车~]
sã	1	55	三衫山
sã	3	21	伞□[(搂抱)]
sã	5a	45	疝散□[(施舍)]
kã	1	55	艰间[中~]奸尴干[~净]
kã	3	21	减碱简柬
kã	5a	45	监鉴间[~开]谏涧
gʰã	1	55	勘[(容器未盛满)]
gʰã	5b	35	嵌
ŋã	1	55	挨
ŋã	2b	24	涯崖握癌岩鸭颜
ŋã	3	21	眼矮
ŋã	5a	45	轧晏咬-
ŋã	6	33	雁□[~别个:依赖或者指盼别人]
xã	1	55	憨
xã	3	21	喊
xã	5a	45	□[(用小火加热)]
ɣã	2a	13	含函咸衔闲
ɣã	6	33	憾陷限觅
tsuã	1	55	蹲-
ʣʰuã	6	33	赚
suã	1	55	珊删闩拴栓
kuã	1	55	关观[参~]
kuã	5a	45	惯
xuã	1	55	翻番
xuã	3	21	反返
xuã	5a	45	贩
ɣuã	2a	13	凡还[~原]环烦繁矾
ɣuã	6	33	范犯幻饭
uã	1	55	豌剜弯湾
uã	2b	24	玩顽
uã	3	21	皖惋晚=挽宛婉腕
uã	6	33	万
pæ̃	1	55	般搬
pæ̃	5a	45	半绊
bʰæ̃	1	55	潘
bʰæ̃	3	21	□[(靠)]
bʰæ̃	2a	13	盘彭
bʰæ̃	5b	35	判叛□[~哒:宁愿]
bʰæ̃	6	33	伴拌
mæ̃	1	55	痗[~相:脸色不好无精打采的样子]
mæ̃	2b	24	梅枚玫媒煤蓦霉谋瞒默
mæ̃	3	21	每满
mæ̃	5a	45	昧没脉麦末沫
mæ̃	6	33	妹
tæ̃	1	55	登灯
tæ̃	3	21	等
tæ̃	5a	45	凳
dʰæ̃	1	55	吞
dʰæ̃	2a	13	腾誊藤疼[~爱]
dʰæ̃	3	21	□[~子:台阶]
dʰæ̃	6	33	邓
næ̃	1	55	奶-[~~]
næ̃	2b	24	能棱
tsæ̃	1	55	曾[(姓)]增憎争=筝
ʣʰæ̃	2a	13	曾[~经]层
ʣʰæ̃	5b	35	衬蹭赠
sæ̃	1	55	森参[人~]僧生=牲笙甥
sæ̃	3	21	省=[~长：节~]
kæ̃	1	55	跟根更[打~]庚羹
kæ̃	3	21	埂耿
kæ̃	5a	45	更[~加]
gʰæ̃	3	21	恳垦啃肯
ŋæ̃	1	55	恩
ŋæ̃	6	33	硬=
xæ̃	1	55	亨哼
xæ̃	3	21	很
ɣæ̃	2a	13	痕恒衡
ɣæ̃	6	33	恨杏-
nuæ̃	2b	24	莺銮
nuæ̃	3	21	暖卵
nuæ̃	6	33	乱
tsuæ̃	3	21	纂欑[(戳或捅)]
tsuæ̃	5a	45	钻[~石]
ʣʰuæ̃	1	55	氽
ʣʰuæ̃	5b	35	窜篡□[(很忙)]
suæ̃	1	55	酸
suæ̃	5a	45	漱算蒜
truæ̃	1	55	端
truæ̃	3	21	短
truæ̃	5a	45	锻
dʰuæ̃	2a	13	团
dʰuæ̃	6	33	断段缎
kuæ̃	1	55	甘柑浴肝官棺冠[鸡~]观[~音]
kuæ̃	3	21	感敢橄杆秆赶管馆竿
kuæ̃	5a	45	贯灌罐观[寺~]冠[~军]干[~部]
gʰuæ̃	1	55	堪完勘刊宽
gʰuæ̃	3	21	款
gʰuæ̃	5b	35	看=墈[(高的堤岸)]
xuæ̃	1	55	酣熟欢
xuæ̃	3	21	罕缓
xuæ̃	5a	45	汉唤焕
ɣuæ̃	2a	13	寒韩□[~心:心]
ɣuæ̃	6	33	旱汗焊翰患宦换
uæ̃	1	55	庵鹤安鞍
uæ̃	3	21	碗
uæ̃	5a	45	暗按案
uæ̃	6	33	岸
pĩ	1	55	编鞭边
pĩ	3	21	贬蝙扁匾
pĩ	5a	45	变
bʰĩ	1	55	篇偏
bʰĩ	2a	13	便[~宜]
bʰĩ	5b	35	骗遍片
bʰĩ	6	33	辨辩汁便[方~]辫
mĩ	1	55	□[(剥、掰)]
mĩ	2b	24	迷谜糜弥眉嵋绵棉眠
mĩ	3	21	米美免勉娩缅
mĩ	5a	45	秘媚灭蔑密蜜
mĩ	6	33	面
nĩ	2b	24	廉镰帘怜莲连联鲢
nĩ	3	21	敛辇
nĩ	5a	45	□[~地:在地上打滚]
nĩ	6	33	殓练炼恋
tsĩ	1	55	尖歼煎
tsĩ	3	21	剪
tsĩ	5a	45	箭溅荐煎[~油]
ʣʰĩ	1	55	签纤迁千铅=
ʣʰĩ	2a	13	钱前潜[~水]
ʣʰĩ	5b	35	践潜[~力]
sĩ	1	55	仙先
sĩ	5a	45	线羡
