tɕʰy	1	44	蛆趋区驱岖躯			
tɕʰy	3	51	取娶亏-(~得,即幸亏)			
tɕʰy	5	334	脆翠-(~色)趣去=砌-(~砖山)			
ʥy	2	113	渠瞿			
ʥy	6	213	巨拒炬距具俱惧炬渠(又音,~道)			
ȵy	3	51	女语			
ȵy	5	334	鱼渔			
ȵy	6	213	芋(~艿)蚁(又音.蚂~)			
ɕy	1	44	靴1虛墟嘘需吁(气喘~~)虽绥尿(~屎)须须=(鬚)飞(又音)西(又音,~瓜)			
ɕy	3	51	许1栩			
ɕy	5	334	絮婿岁煦毁(~牙齿：换乳牙)			
ʑy	2	113	徐随-			
ʑy	4	231	聚1(积聚:~点钱买房子)□(把过长的竹木锯掉或把绳索扯断一截)			
ʑy	6	213	聚2(~宝盆:~淘.即结伴)序绪叙遂(顺~)隧(~道)穗-(~头)荠(~菜)鲚(~鱼,即凤尾鱼)			
y	1	44	淤			
y	2	113	於余愚虞娱于迂盂圩榆俞愉渝逾予宜-(便~)围-(~巾.~腰)			
y	3	51	雨宇禹羽语(又音)			
y	5	334	喂-(餵/饫:~饭.~奶粉)			
y	6	213	与吁(呼~)御誉预豫遇寓喻裕屿驭玉=(一块~)猬-(刺~)□(条播种子:~麦)纬-(~纱.纱~子)			
pa	1	44	爸			
pa	3	51	摆-(~渡)把=			
pa	5	334	拜			
ba	2	113	排牌簰(筏,海蜇~)□(拉,拽:~虾网,~架)			
ba	6	213	败-(~家精)稗(~草)罢1(齁不~,即咳不止)			
ma	1	44	妈冇(动词,没有)			
ma	3	51	买-			
ma	5	334	埋			
ma	6	213	卖-			
va	2	113	□(~锄.即锄头)			
ta	3	51	打			
ta	5	334	带			
tʰa	1	44	他它拖-(~双拖鞋,~鼻头)□(遗尿:~尿)			
tʰa	3	51	拖-(伸展开来:~手~脚.破读)			
tʰa	5	334	太-(曾祖父母:~~:丈夫的祖父母:~公,~婆)			
da	2	113	□(挪动,转移:延宕)□(暂借:~点钱)			
da	4	231	得(闹逛,慢吞吞走:~啊~)			
da	6	213	大=(~方)汏(洗)埭(量词,座:一~房子;次;跑仔三~:行:一瞬四~)			
na	3	51	奶-(吃~)哪=那			
na	5	334	拿(动词,用手杯住:介词,把)			
na	0	0	呐(疑问诱气词,相当于“呢”,又音[·nə])			
la	1	44	拉1啦(语气词)			
la	3	51	哪-(~个,谁)攋(~人)□(用筢子搂柴草)			
la	5	334	拉2(抑制不住地流出来:腹泻:肚里~)拉(~圾)			
la	6	213	赖-(~账，抵~)癞(~子)			
tsa	1	44	斋(做~事)遮(~瞒)喳(象声词:~~叫)			
tsa	3	51	□(~脸,指胆量、能耐:你果有~?)			
tsa	5	334	债□(~边~沿,指大小长短正好够到)			
tsa	0	0	喳(语气助词)			
tsʰa	1	44	车差=(出~)扯1(~篷)蛼(~蜊,即文蛤)茬(~口.找~)			
tsʰa	3	51	批2(撕开:~布:分开,均摊:东西不多.大家~~）			
tsʰa	5	334	蔡			
dza	6	213	□(拉肚子:肚里~)			
sa	1	44	赊筛(名词,~子; 动词.斟:~酒:敲打: ~锣)			
sa	3	51	洒(~水)舍1(~不得;~施,即施~)耍(新,玩~)			
sa	5	334	赦舍-(田间小茅屋:田头~:简易草屋;环洞~)□(看~姆;亲友探望产妇,一般在产后一周左右)			
za	2	113	柴蛇佘(姓)			
za	4	231	惹(引逗:你嫑~他)□(哆嗦)			
za	6	213	射-麝(~香)□(溜走,窜:他~拉作)□(~子.柴火垛)			
ka	1	44	秸(花~)街家-(人~.自~)枷(连~)加-阶-(~沿)嘉-(~定)			
ka	3	51	解-(~开来:~说:~手:~灾)			
ka	5	334	芥(~菜)尬(尴~)疥戒-(~烟)解2(~款;~板)架-(~子)届-界-(~子)□(~二胡.即拉二胡)□(~里:这上面,这里面)			
ka	0	0	嘎(各啊的合音,疑问语气词)			
kʰa	1	44	揩卡(~车: kʰa44 tsʰa44-33)咖(~啡)			
ga	2	113	茄-(番~)轧(挤人:他硬要~进来)			
ga	4	231	澥(几股绞在一起的绳索捻度小:绳子忒~:粥、羹、汤等由变稀:粥~拉作:花钱大手大脚:他手~)			
ga	6	213	骱(关节：节~，脱~，即脱臼)			
ga	1	44	挨1(顺着次序:~好仔排队:逐一:一个~一个)			
ŋa	3	51	矮			
ŋa	5	334	挨捱2(拖延,时间;~日脚,~辰光)𧻲(~食)			
ŋa	6	213	□(~子,文蛤的俗名,又叫蛼蜊;蛎~.一种贝类)			
xa	1	44	颬=(~气)哈1□(割取:~点肉下来)			
xa	3	51	蟹			
xa	5	334	哈2-肢肢,胳肢			
ɣa	2	113	鞋□(应答的疑问词:~,你说嗲?)			
a	1	44	啊			
a	0	0	下(地~,底~.灶~)			
tia	1	44	爹(~~,父亲)			
tia	3	51	嗲(发~)			
tia	5	334	□(什么，起称代作用的疑问词:你说~?)			
tɕia	1	44	家=加=嘉=傢=皆=阶=佳=苴(大~:地名)			
tɕia	3	51	假=(放~)解=(~决)□(驱牛的吆喝声)			
tɕia	5	334	稼价1驾1嫁=介-界2=借届架=姐			
tɕʰia	3	51	且-(~得：暂且)			
tɕʰia	5	334	笡(倾斜)			
ʥia	2	113	茄=(~子)□(能幹：兇橫)			
ʥia	6	213	借藉(~口)□(撇尿：~尿)			
ɕia	1	44	些(又音)			
ɕia	3	51	寫			
ɕia	5	334	卸瀉㕐(從高處坍塌下，上頭~下來作)			
ʑia	2	113	邪霞瑕遐斜			
ʑia	6	213	謝下=夏=			
ia	1	44	鴉=(烏~)𦚢(手不靈活：~手)□(溜，避開，閃身)			
ia	3	51	野也-雅=亞(~洲)			
ia	5	334	爺(~~:祖父)涯=耶牙=芽=衙			
ia	6	213	夜			
kua	1	44	乖(聽話，懂事，指小孩；圓滑，指成人；不傻，不癡不~)			
kua	5	334	怪-(責~，埋怨)			
kʰua	5	334	快			
gua	2	113	□(走路时腿歪的~子)			
gua	4	231	□(叉开：~脚拉手，站立不正的样子)			
ua	1	44	洼哇娃			
ua	2	113	槐-(刺~)□(~裆：腿裆)			
ua	6	213	坏-(跟“好”相对)			
tɕʰya	3	51	□(唆狗咬人，引申为唆使)			
ʥya	4	231	□(同tɕʰya51)			
ya	1	44	曰(又音)			
pɛ	1	44	杯蓖(~麻)碑(墓~)卑悲背1(动词：~书包)辈(~分，长~，小~)伯1(~~：叔叔)			
pɛ	3	51	摆=(~动,摇头~尾)			
pɛ	5	334	背2(~脊)褙(~衬子)贝狈			
pʰɛ	1	44	胚坯醅(生~，熟~)			
pʰɛ	3	51	□(投弄:仔细~~,拣练干净:拨拉:~算盘珠)			
pʰɛ	5	334	配派沛			
bɛ	2	113	培陪赔			
bɛ	4	231	焙(用微火烘炒:~~乾)			
bɛ	6	213	倍佩败=(失~)背3(耳朵~:~时:~后)㾦（红痧白~）			
mɛ	3	51	每美买=(做~卖)			
mɛ	5	334	梅枚媒煤莓玫霉			
mɛ	6	213	妹迈昧(~良丧心)卖=(做买~）			
fɛ	1	44	歪(又音)			
vɛ	6	213	坏1=(指又伶俐又狡猾)			
tɛ	1	44	堆呆(装痴学~)𡏩(~~坐）			
tɛ	3	51	𠡒(用力拉拨）逮1(~住他)			
tɛ	5	334	对戴碓(~臼)襶(褦~.指不聪明,又指臃肿)			
tʰɛ	1	44	胎(投~)推苔1(舌~)			
tʰɛ	3	51	服奤(~子.骂女孩语，一般表亲昵)			
tʰɛ	5	334	态汰(淘~)太=(~平)泰退褪(~色)			
dɛ	2	113	台抬苔2(青~皮)			
dɛ	4	231	待1			
dɛ	6	213	待2(~人好)怠殆代贷袋兑黛逮2(~捕)绐（松驰)			
nɛ	3	51	乃奶=(~~)			
nɛ	6	213	耐奈内鼐			
lɛ	3	51	儡褦礧(碾压:石~.即碌碡)癗(风~,荨麻疹)			
lɛ	5	334	来雷(旧,~阵雨)			
lɛ	6	213	累1(~命,~神，~家私)□(在,介词:住~哪里:副词,一落雨:动词:~屋里，用“来”替代)赖=(依~)			
lɛ	0	0	唻(句末语气词)□(相当于动词后头作补语的助词“得”,用“来”替代）			
tsɛ	1	44	灾栽哉			
tsɛ	3	51	宰(~相)载1(一年半~)者			
tsɛ	5	334	再载2(~重)寨(大~)			
tsʰɛ	1	44	猜崔催摧			
tsʰɛ	3	51	彩采睬踩□(播种后用锄头再蒙上一层土:~趟子）			
tsʰɛ	5	334	菜			
sɛ	1	44	腮鳃(鱼~)衰奢(~侈)			
sɛ	3	51	舍1=(宿~)			
sɛ	5	334	赛碎帅1(元~,ym̩334-33 se334-44)塞1(边~)			
zɛ	2	113	才材财裁豺(~狼 )侪□(都)			
zɛ	6	213	在(动词,生存，活着;他还~各)罪(~过)载3(~船,跑~,~脚)射=			
kɛ	1	44	该垓赅(拥有:~多少家私)减(从上面拨去一点:饭嫌多,~拉点)			
kɛ	3	51	改			
kɛ	5	334	盖概溉丐钙□(~~.这样)			
kʰɛ	1	44	开槛(户~：门）			
kʰɛ	3	51	楷(~模)凯恺慨			
kʰɛ	5	334	𬮿(斜靠,斜躺)忾(同仇敌~)			
gɛ	2	113	□(碰，惹.格个人~不得)			
gɛ	4	231	□(嗳气.打饱嗝儿)			
gɛ	6	213	𬮿(又音,斜靠,斜躺)戤(依仗~势)			
ŋɛ	1	44	挨捱3(遭受，~他一顿打)哀			
ŋɛ	2	113	涯-(岸:~里.上~)			
ŋɛ	5	334	爱			
ŋɛ	6	213	碍(~手-脚)艾外-(~头.里~）			
xɛ	1	44	咍(~歪,洋洋得意:摆~,摆出得意姿态)㨟(~子)			
xɛ	3	51	海			
xɛ	5	334	𬮿(又音2.斜靠,斜躺)			
ɣɛ	2	113	孩喊(~他来)			
ɣɛ	4	231	□(表懊恼伤感的叹词)			
ɣɛ	6	213	害亥骇			
ɛ	1	44	埃			
ɛ	3	51	嗳(叹词,不礼貌的招呼语:~,到哪里去）			
ɛ	5	334	隘蔼还(又音，副词，~有)			
tɕiɛ	1	44	皆=阶=			
tɕiɛ	3	51	解-(~决)			
tɕiɛ	5	334	届=介=界=(世~)戒=(受~)			
tɕʰiɛ	3	51	且=(而~)			
ɕiɛ	1	44	些			
ɕiɛ	3	51	舍-2(宿~)			
ʑiɛ	2	113	谐			
ʑiɛ	6	213	社懈(松~)□(卖~.装穷酸出洋相)			
iɛ	3	51	也=(~许)			
iɛ	6	213	械			
iɛ	0	0	吔(语气词)			
kuɛ	1	44	家-(娘~,奶奶~.你~,我~.她~)			
kuɛ	3	51	拐(~子)			
kuɛ	5	334	怪=(古~)□(~~.那样）			
kʰuɛ	5	334	块蒯			
xuɛ	1	44	歪(~七~八)			
xuɛ	3	51	□(俗语.大吃,带有戏谑性)			
ɣuɛ	2	113	怀淮槐=			
ɣuɛ	6	213	坏=(指又怜俐又狡猾)			
uɛ	1	44	歪(又音:东倒西~)			
uɛ	2	113	还1(副词:~有勒）			
uɛ	3	51	□(晃动）			
uɛ	6	213	外=(~国)			
ɕyɛ	3	51	□(俗语,吃,带有戏谑性）			
ɕyɛ	5	334	帅2(摆~,摆阔气,摆威风、义近显摆）			
pʰei	3	51	呸(表示否定或责怪的叹词)			
mei	3	51	某亩牡			
mei	5	334	谋缪(绸~)□(觅)			
mei	6	213	茂贸谬(~论)			
fei	1	44	灰(又音)恢(又音)诙(又音)挥(又音)辉(又音)徽(又音)			
fei	3	51	否(~定)			
fei	5	334	吠晦(又音)			
