#符号说明：-白=文/书*俗?待考		连读高降调	[1b]⁵³
#调值	[1]⁵³ [2]⁵⁵ [3]²¹ [5]²² [6]³²⁴ [0]⁰	连读高平调	[2b]⁵⁵
#ɿ		连读低降调	[3b]²¹
Ø	[5]妖要{~求}要{想要；重~}舀幺药跃容[5b]□{~maⁿ³¹：斗笠}		

#ɔʌ̯			
t	[1]岛[5]当{~兵；~铺}挡[5b]□{柴~：尖头扁担}		
tʰ	[1]汤[2]逃堂{祠~，食~，学~}唐2糖塘[5]烫		
l	[2]榔[2b]□{~ko⁰：连枷}[3]纳㫰1{晾}[6]脑2㫰2{晾}		
ts	[1]装[5]葬		
tsʰ	[1]参{~加}餐2仓苍舱疮[3]残产{生~}		
s	[1]丧桑2霜[2]床[3]爽		
k	[1]间{车~}[5]驾[5b]茄{蕃~}		

#iɔʌ̯			
tɕ	[1]骄娇浇刚{~~}章张樟薑姜□{~尿：把尿}[3]校{学~}长{班~}涨掌[5]帐账胀		
tɕʰ	[1]昌腔[2]超朝2{一代}潮桥侨暂脏1{心~}臟1{心~}长{~短}肠场常强□{~吓：害怕}[3]厂[5]丈唱降{投~}[6]赵轿1		
ȵ	[2]娘[3]绕[6]让		
ɕ	[1]烧2橡商伤香乡[2]尝[3]效响[5]绍肖镶上{~山}尚享向[6]上{~面}[0]裳{衣~}		
Ø	[1]邀腰瓤秧鸯[2]摇窑姚羊洋烊杨阳1扬疡[5]养[6]样		

#ɛ			
p	[1]班扳般搬[2b]□{下~底：下巴}[3]板版榜膀绑蚌{~壳：蚌}[5]扮笨塝{田~：田埂}		
pʰ	[6]办判		
m	[2]蛮1虻明1[5]晚{~娘}[5b]□{母~：母亲，背称}[6]慢		
f	[1]翻[2]凡烦矾[3]反{正~}[5]犯贩[6]饭		
ʋ	[1]豌弯湾[2]完还{动词}横{~直}[3]碗往{~年}[6]换晚{~米}万		
