#i		
k	[1]高膏篙{進船竿}羔糕膏{膏車，膏油}[3]稿[5]告	
ŋ	[6]傲	
h	[1]蒿{蓬蒿}[2]豪壕毫號{呼號}[3]好{好壞}[5]好{喜好}耗[6]浩號{號數}	
∅	[5]懊{懊惱，懊悔}奧	
#ʌu		
m	[2]謀[4]畝[6]茂貿[5]謬某	
f	[2]浮[3]否	
t	[1]兜鄒[2]頭投[3]鬥{升鬥}走酒糾{糾纏}[5]鬥{鬥爭}奏[6]豆逗	
tʰ	[1]偷秋{秋天}鞧{牛秋}[3]敨{展開，敨氣}[5]透湊	
n	[4]紐扭	
ɬ	[1]修[2]囚泅{游水}[3]搜[5]嗽{咳嗽}秀繡鏽{鐵銹}[6]就袖	
l	[2]樓流劉留榴{石榴}硫{硫黃}琉{琉璃}餾[4]柳[6]漏陋	
tʃ	[1]周舟州洲鳩{白}[2]綢稠籌愁讎酬求球仇{姓}[3]九久[4]舅[5]韭作紂{桀紂}咒灸{針灸}臼咎救{白}究{白}[6]舊柩宙	
tʃʰ	[3]醜丑[5]臭{香臭}	
ʃ	[1]餿{飯餿了}收[3]手首守[5]瘦獸[6]受壽授售	
k	[1]鳩{文}[3]狗苟[5]夠救{文}究{文}	
kʰ	[1]溝摳[5]構購叩{叩頭}扣{扣住}寇	
ŋ	[1]勾鉤[2]牛[4]藕偶{配偶，偶然}	
h	[2]侯喉猴[3]口[4]厚[6]後后候	
∅	[1]歐甌毆[3]嘔{嘔吐}[5]漚{久浸水中}慪{慪氣}	
#iʌu		
ȵ	[2]柔[5]皺{皮皺}	
∅	[1]丘休憂優幽[2]尤郵由油遊猶悠{悠悠}柚釉[4]有友酉[5]幼[6]又右佑誘	
#iu		
p	[1]膘{肥膘}標表{鐘錶}彪[3]表{老表}	
pʰ	[1]漂飄[5]票{車票}	
m	[2]苗描[4]杳{杳無音信}藐渺秒妙[6]廟	
t	[1]焦蕉{芭蕉，香蕉}椒刁貂雕丟[2]條[5]醮{打醮，再醮}釣吊[6]調{調和，音調，調動}掉	
tʰ	[1]鍬悄{靜悄悄}挑[5]繰{繰邊}俏跳糶	
n	[4]鳥[6]尿	
ɬ	[1]消宵霄硝銷蕭簫[2]樵[3]小[5]笑[6]噍{牛倒噍}	
l	[1]溜[2]燎療聊遼撩{撩起來}寥[4]了{了結}瞭[6]料廖{姓}	
tʃ	[1]朝{今朝}昭招[2]朝{朝代}潮[3]剿[4]兆[5]照[6]詔趙召詔韶{韶關}	
tʃʰ	[1]超	
ȵ	[2]堯[3]擾繞{文，圍繞}[5]要	
ʃ	[1]燒[3]少{多少}[5]少{少年}	
k	[1]驕嬌[2]喬僑橋養[3]矯{矯詐}繳{上繳}[5]叫[6]轎	
kʰ	[5]竅	
h	[1]楞囂僥{僥倖}[3]曉	
∅	[1]妖邀腰要{要求}么{么二三}吆{吆喝}[2]搖遙窯姚鷂{鷂鷹}[4]舀{舀水}[6]耀	
#am		
t	[1]耽簪擔{擔任}[2]潭譚談痰[3]膽[4]淡[5]擔{挑擔}	
tʰ	[1]貪參[3]慘[5]探{試探，偵探}	
n	[2]南男	
ɬ	[1]三[2]攙蠶慚[6]暫	
l	[2]藍籃[4]覽攬欖{橄欖}[6]濫纜艦	
tʃ	[3]斬[6]站{立，車站}	
tʃʰ	[5]杉	
ʃ	[1]衫	
k	[1]監{監察，監視，監牢}[3]減[5]尷{尷尬}鑒鑑監{國子監}	
ŋ	[2]岩	
h	[2]鹹銜函[5]喊[6]陷餡	
#iɛm		
k	[2]鉗	
#əm		
k	[1]甘柑泔{泔水}[3]感敢橄{橄欖}	
