		1陰平24 2陽平213 3上聲55 5陰去52  6陽去31 7陰入32 8陽入24
pa3	拜	
pʰa3	㧩	用手轻轻拨开
pʰa6	派	
pʰa5	配	白
ba2	排	
ba2	徘	
ba2	牌	
ba6	败	
ba6	稗	
ma1	咩	
ma2	埋	
ma2	霾	
ma3	买	
ma6	卖	
ma6	迈	
ta1	呆	又
ta1	堆	又
ta3	歹	又
ta3	𠡒	使劲地拽：~芦穄
ta5	戴	
ta5	带	
ta5	碓	石臼
tʰa1	推	
tʰa1	胎	
tʰa5	太	
tʰa5	钛	
tʰa5	泰	
da2	台	
da2	抬	
da2	苔	
da6	代	
da6	袋	
da6	埭	
da6	待	
da6	怠	
da6	汰	~衣服
da6	歹	
na2	□	母亲
na2	奶	乳房：乳汁：~~：妻子
na2	乃	
na2	廼	
na6	奶	~~：祖母
na6	奈	
na6	耐	
la1	在	白，又
la2	来	
la2	莱	
la2	累	~命:缠蛮
la6	睐	
la6	赖	
la6	癞	
la6	籁	
la6	在	白
ʦa1	灾	
ʦa1	哉	
ʦa1	栽	
ʦa1	斋	
ʦa3	宰	
ʦa3	崽	
ʦa5	再	
ʦa5	债	
ʦa5	载	
ʦʰa1	猜	
ʦʰa1	差	出~
ʦʰa1	催	白
ʦʰa3	采	
ʦʰa3	彩	
ʦʰa3	睬	
ʦʰa3	踩	
ʦʰa5	菜	
ʦʰa5	蔡	
sa1	筛	
sa1	鳃	
sa1	腮	
sa1	衰	又
sa3	洒	
sa5	晒	
sa5	赛	
za6	寨	
za6	才	
za6	财	
za6	裁	
za6	在	文
ka1	该	
ka1	赅	
ka1	□	~平
ka1	街	
ka3	改	
ka3	解	
ka5	丐	
ka5	钙	
ka5	盖	
ka5	慨	
ka5	溉	
ka5	戒	
ka5	界	
ka5	解	锯
ka5	解	~款
kʰa1	开	
kʰa1	揩	
kʰa3	凯	
kʰa3	楷	
kʰa3	慨	
kʰa5	恺	~背椅
ga2	□	碰
ga6	□	撑撑~~;懒惰
ŋa1	哀	
ŋa1	挨	白，靠近
ŋa1	埃	
ŋa2	呆	
ŋa2	捱	
ŋa2	癌	
ŋa2	皑	
ŋa3	矮	
ŋa5	爱	
ŋa6	艾	
ŋa6	碍	
ŋa6	外	白
ŋa6	蔼	
ŋa6	暧	
xa1	桸	用瓢、碗等取东西：~米
xa3	海	
xa3	蟹	
xa3	咳	
xa5	□	~不住：吃不消
ɣa2	鞋	
ɣa2	还	
ɣa2	孩	
ɣa2	咳	喊
ɣa6	害	
ɣa6	亥	
ɣa6	唉	
ɣa6	解	姓
a3	也	白
kua1	乖	
kua1	怪	
kʰua3	傀	
kʰua5	快	
kʰua5	筷	
kʰua5	脍	
kʰua5	会	~计
gua6	□	手臂夹着东西
xua1	歪	
xua3	□	大吃
ɣua2	怀	
ɣua2	槐	
ɣua2	淮	
ɣua2	还	又读
ɣua6	坏	文读
ua3		左右摇摆
ua6	外	文读
ua6	坏	白读
ʨya3	□	很得意，神气
ʨya5	拽	
ʨʰya3	□	唆使
ɕya1	靴	
ɕya1	摔	
ɕya3	甩	
ɕya5	帅	
ɕya5	率	
pɑ1	吧	
pɑ5	爸	文读
pʰɑ5	叭	
bɑ2	□	拔出：抽出
ba6	爸	白读
mɑ3	妈	
mɑ3	吗	
mɑ3	嘛	
mɑ6	妈	~~;伯母
fɑ1	乏	
tɑ3	打	
tɑ5	大	文读
dɑ2	□	移开一点：错后一点：~几天去探亲
dɑ6	大	白读
dɑ6	汏	~衣服
nɑ2	拿	
nɑ3	哪	文读
lɑ1	拉	~拢
lɑ2	拉	~尿：尿床
lɑ3	哪	白读
lɑ6	赖	~学
ʦɑ1	遮	
ʦʰɑ1	车	
ʦʰɑ1	□	拌和：~面
ʦʰɑ3	扯	
ʣɑ6	□	~蛤：本地特有海产
sɑ1	赊	
sɑ3	傻	
sɑ3	舍	
sɑ3	捨	
sɑ5	煞	迷信说法，指人的灵魂：~走了
sɑ5	社	东~：本县地名
zɑ2	蛇	
zɑ2	佘	
zɑ6	射	
zɑ6	麝	
gɑ2	懈	不利索：慢
gɑ6	澥	与紧相反。手里~：用钱不精打细算
gɑ6	□	挤：~进去
xɑ1	哈	~气
ɑ2	啊	疑问词
ɑ6	啊	应答
tiɑ1	爹	~~：祖父：老~：泛指老头
tiɑ3	嗲	娇惯,撒娇
ʨiɑ1	加	
ʨiɑ1	家	文读
ʨiɑ1	稼	
ʨiɑ1	佳	
ʨiɑ1	嘉	
ʨiɑ3	贾	
ʨiɑ3	假	又读
ʨiɑ3	姐	
ʨiɑ5	借	
ʨiɑ5	架	
ʨiɑ5	驾	
ʨiɑ5	价	
ʨiɑ5	嫁	文读
ʨʰiɑ1	斜	又读
ʨʰiɑ5	笡	倾倒、歪：墙~了
ʥiɑ2	茄	
ʥiɑ2	□	犟、粗暴
ʥiɑ6	□	指人某一部分伤痛，不灵活：腰~了
ʥiɑ6	□	~尿：小便
ɕiɑ1	些	
ɕiɑ3	写	
ɕiɑ3	泻	
ɕiɑ3	卸	
ɕiɑ3	惬	
ʑiɑ2	霞	
ʑiɑ2	邪	
ʑiɑ2	斜	
ʑiɑ6	下	文读
ʑiɑ6	夏	文读
ʑiɑ6	谢	
ʑiɑ6	榭	
iɑ1	□	躲
iɑ1	𦚢	手受伤不能动：手~了
iɑ2	牙	
iɑ2	芽	
iɑ2	涯	
iɑ2	爷	~~：父亲
iɑ3	野	
iɑ3	讶	
iɑ3	惹	
iɑ6	夜	
iɑ6	亚	
iɑ6	椰	
iɑ6	耶	
iɑ6	呀	
kuɑ1	呱	
ɣuɑ2	哗	文读
uɑ1	哇	
uɑ2	娃	
uɑ5	□	~里~大：矫揉造作
pʌ1	包	
pʌ1	苞	
pʌ1	胞	
pʌ1	鲍	
pʌ3	宝	
pʌ3	保	
pʌ3	褒	
pʌ3	饱	
pʌ3	煲	
pʌ5	暴	文读
pʌ5	报	
pʌ5	豹	
pʌ5	趵	
pʌ5	瀑	
pʌ5	爆	
pʰʌ1	抛	
pʰʌ1	泡	
pʰʌ3	□	~儿：指爱吹嘘，做事不踏实的人
pʰʌ5	炮	
pʰʌ5	泡	~饭
bʌ2	袍	
bʌ2	跑	
bʌ6	抱	
bʌ6	鲍	文读
bʌ6	雹	
bʌ6	刨	
bʌ6	暴	白读
bʌ6	爆	~灰
mʌ2	毛	
mʌ2	矛	
mʌ2	茅	
mʌ2	猫	
mʌ2	锚	
mʌ3	卯	
mʌ3	铆	
mʌ6	冒	
mʌ6	帽	
mʌ6	貌	
tʌ1	刀	
tʌ3	岛	
tʌ3	捣	
tʌ3	倒	~下来
tʌ5	到	
tʌ5	倒	~退
tʰʌ1	他	白读
tʰʌ1	滔	
tʰʌ1	叨	
tʰʌ3	讨	
tʰʌ5	套	
dʌ2	匋	
dʌ2	他	白读，又音
dʌ2	淘	
dʌ2	陶	
dʌ2	掏	
dʌ2	萄	
dʌ2	逃	
dʌ2	桃	
dʌ2	涛	
dʌ2	焘	
dʌ6	道	
dʌ6	导	
dʌ6	稻	
dʌ6	蹈	
dʌ6	盗	
dʌ6	悼	
nʌ1	孬	
nʌ2	挠	
nʌ3	恼	
nʌ3	脑	
nʌ3	闹	
lʌ1	捞	~好处
lʌ2	劳	
lʌ2	捞	
lʌ2	唠	
lʌ2	痨	
lʌ2	牢	
lʌ3	老	
lʌ3	佬	
lʌ6	涝	
lʌ6	唠	~三~四
ʦʌ1	糟	
ʦʌ1	遭	
ʦʌ1	招	
ʦʌ1	朝	~三暮四
ʦʌ3	早	
ʦʌ3	枣	
ʦʌ3	澡	
ʦʌ3	找	
ʦʌ3	蚤	
ʦʌ5	灶	
ʦʌ5	罩	
ʦʌ5	躁	
ʦʌ5	燥	
ʦʰʌ1	抄	
ʦʰʌ1	操	
ʦʰʌ1	超	
ʦʰʌ3	炒	
ʦʰʌ3	吵	
ʦʰʌ3	草	
ʦʰʌ5	糙	
ʦʰʌ5	钞	
ʣʌ2	朝	
ʣʌ2	潮	
ʣʌ2	嘲	
ʣʌ6	赵	
sʌ1	烧	
sʌ1	梢	
sʌ1	搔	
sʌ1	骚	
sʌ3	少	
sʌ3	扫	
sʌ3	嫂	
sʌ5	少	~年
sʌ5	䴛	盐:咸
zʌ2	曹	
zʌ2	槽	
zʌ2	嘈	
zʌ2	䐬	肚饿：~人
zʌ2	劁	~麦
zʌ6	召	
zʌ6	邵	
zʌ6	□	脚踏地
kʌ1	高	
kʌ1	蒿	
kʌ1	镐	
kʌ1	胶	白读
kʌ1	膏	
kʌ1	羔	
kʌ1	糕	
kʌ1	皋	
kʌ1	槁	
kʌ1	睾	
kʌ3	搞	
kʌ3	稿	
kʌ3	搅	
kʌ5	告	
kʌ5	诰	
kʌ5	酵	
kʌ5	教	~书
kʰʌ1	敲	
kʰʌ3	拷	~打
kʰʌ3	考	
kʰʌ3	烤	
kʰʌ5	靠	
kʰʌ5	铐	
gʌ6	□	糊涂，分不清楚
ŋʌ1	懊	~燥
ŋʌ2	熬	
ŋʌ2	鳌	
ŋʌ2	遨	
ŋʌ2	翱	
ŋʌ3	咬	
ŋʌ3	袄	
ŋʌ5	傲	
ŋʌ6	□	称赞
xʌ1	蒿	
xʌ1	薅	
xʌ3	好	
xʌ5	好	~色
xʌ5	孝	白读
ɣʌ2	豪	
ɣʌ2	嚎	
ɣʌ2	壕	
ɣʌ2	毫	
ɣʌ6	号	
ɣʌ6	浩	
ɣʌ6	皓	
ɣʌ6	耗	
ɣʌ6	昊	
ʌ5	噢	
piʌ1	瞟	
piʌ1	膘	
piʌ1	镖	
piʌ1	标	
piʌ1	彪	
piʌ1	镳	
piʌ1	飙	
piʌ3	表	
piʌ3	裱	
piʌ3	婊	
piʌ5	嫑	
pʰiʌ1	飘	
pʰiʌ3	鳔	
pʰiʌ5	票	
pʰiʌ5	漂	
biʌ2	嫖	
biʌ2	瓢	
miʌ2	苗	
miʌ2	描	
miʌ3	瞄	
miʌ3	秒	
miʌ3	渺	
miʌ3	藐	
miʌ6	庙	
miʌ6	妙	
miʌ6	缪	
miʌ6	谬	
tiʌ1	刁	
tiʌ1	雕	
tiʌ1	凋	
tiʌ3	屌	
tiʌ5	吊	
tiʌ5	钓	
tʰiʌ1	挑	
tʰiʌ1	佻	
tʰiʌ3	□	给好处
tʰiʌ5	跳	
tʰiʌ5	粜	
tʰiʌ5	眺	
diʌ2	调	
diʌ2	条	
diʌ2	迢	
diʌ2	笤	
diʌ2	龆	
diʌ6	调	又读，~查
diʌ6	掉	
diʌ6	铫	
liʌ2	辽	
liʌ2	疗	
liʌ2	燎	
liʌ2	撩	
liʌ2	僚	
liʌ3	了	
liʌ6	料	
liʌ6	撂	
liʌ6	廖	
liʌ6	寥	
liʌ6	瞭	
ʨiʌ1	交	
ʨiʌ1	胶	文读
ʨiʌ1	浇	
ʨiʌ1	焦	
ʨiʌ1	蕉	
ʨiʌ1	礁	
ʨiʌ1	椒	
ʨiʌ3	缴	
ʨiʌ3	剿	白读
ʨiʌ5	教	文读
ʨiʌ5	叫	
ʨʰiʌ1	锹	
ʨʰiʌ1	悄	
ʨʰiʌ3	巧	
ʨʰiʌ5	翘	
ʨʰiʌ5	俏	
ʥiʌ2	乔	
ʥiʌ2	桥	
ʥiʌ2	侨	
ʥiʌ2	瞧	
ʥiʌ6	轿	
ʥiʌ6	樵	
ʥiʌ6	翹	~轧：有矛盾
ȵiʌ3	鸟	
ȵiʌ3	尿	~素
ȵiʌ6	尿	小便（动词）
ɕiʌ1	肖	
ɕiʌ1	销	
ɕiʌ1	消	
ɕiʌ1	硝	
ɕiʌ1	宵	
ɕiʌ1	霄	
ɕiʌ1	萧	
ɕiʌ1	□	~书
ɕiʌ1	小	
ɕiʌ1	筱	
ɕiʌ1	晓	
ɕiʌ5	笑	
ɕiʌ5	啸	
ɕiʌ5	孝	文读
ɕiʌ5	哮	
ɕiʌ5	酵	文读
ʑiʌ2	肴	白读
ʑiʌ6	校	
iʌ1	邀	
iʌ1	夭	
iʌ1	妖	
iʌ1	腰	
iʌ2	姚	
iʌ2	尧	
iʌ2	肴	文读
iʌ2	摇	
iʌ2	遥	
iʌ2	瑶	
iʌ2	窑	
iʌ2	谣	
iʌ2	饶	
iʌ3	舀	
iʌ3	窵	二~：本县地名
iʌ5	要	
iʌ6	跃	
iʌ6	耀	
iʌ6	鹞	
pe1	卑	
pe1	悲	
pe1	杯	
pe1	碑	
pe1	揹	
pe5	贝	
pe5	狈	
pe5	背	脊~
pe5	揹	~衬
pʰe1	胚	
pʰe1	坯	
pʰe3	剖	
pʰe3	丕	
pʰe3	呸	
pʰe5	配	文读
pʰe5	沛	
pʰe5	佩	
pʰe5	派	白读
pʰe5	呸	
pʰe5	邳	
be2	赔	
be2	培	
be2	陪	
be2	蓓	
be6	倍	
be6	痱	
be6	背	耳~
me2	梅	
me2	某	
me2	煤	
me2	媒	
me2	玫	
me2	枚	
me2	楣	
me2	媚	
me3	美	
me3	每	
me3	某	又读
me3	牡	
me6	妹	
me6	昧	
me6	寐	
me6	魅	
me6	茂	
fe1	飞	
fe1	非	
fe1	菲	
fe1	妃	
fe3	匪	
fe3	诽	
fe3	翡	
fe3	否	
fe3	吠	
fe5	废	
fe5	费	
fe5	肺	
ve2	肥	
ve2	浮	又读
ve6	费	姓
te1	堆	
te1	兜	
te3	斗	升~
te3	陡	
te5	对	
te5	碓	
te5	斗	~争
tʰe1	推	又读
tʰe1	偷	
tʰe3	腿	
tʰe5	退	
tʰe5	褪	
de2	投	
de2	头	
de6	队	
de6	兑	
de6	豆	
de6	窦	
ne3	馁	
ne6	内	
ne6	芮	白读
le2	雷	
le2	蕾	
le2	镭	
le2	擂	
le2	累	~命:缠蛮
le3	累	
le3	磊	
le3	垒	
le3	㧕	玩：搅拌
le6	类	
le6	漏	
ʦe1	周	
ʦe1	舟	
ʦe1	洲	
ʦe1	帚	
ʦe3	走	
ʦe5	昼	
ʦe5	宙	
ʦe5	胄	
ʦe5	皱	文读
ʦe5	咒	
ʦe5	肘	
ʦʰe1	抽	
ʦʰe3	丑	
ʦʰe5	臭	
ʦʰe5	凑	
ʦʰe5	纣	
ʣe2	绸	
ʣe2	稠	
ʣe2	仇	
ʣe2	酬	
ʣe2	筹	
ʣe2	畴	
ʣe2	踌	
ʣe2	□	吸吮
ʣe6	䈙	叠
se1	搜	
se1	馊	
se1	飕	
se1	收	
se3	手	
se3	守	
se3	首	
se3	擞	
se5	叟	
se5	瘦	
se5	兽	文读
ze2	愁	
ze6	售	
ze6	受	
ze6	授	
ze6	绶	
ze6	寿	
ze6	兽	白读
ke1	勾	
ke1	沟	
ke1	钩	
ke1	篝	
ke3	苟	
ke3	狗	
ke3	枸	
ke5	构	
ke5	给	文读
kʰe1	抠	
kʰe1	眍	
kʰe3	口	
kʰe5	扣	
kʰe5	筘	
kʰe5	叩	
kʰe5	寇	
kʰe5	蔻	
ŋe1	区	姓
