	参考资料	《枞阳方言研究》，整理于东乡日常。									
	#调值	[1]³² [2]⁵⁵ [3]⁵² [5]³¹ [7]入声韵分aʔ ㄹ oʔ ㅂ ɪʔ ㄷ əʔ ㄱ ，根据韵不同调值不同，关于nl不分，整理得大部分n+细音，洪音+l.									
	ɕ 샬	[7]辖狭峡侠									
#ua 와											
	Ø 와	[1]蛙哇[2]娃[3]瓦搲{用勺子形状的挖}[5]洼*{伸手够}									
	t 뜌아	[1]抓[3]爪									
	ɕ 슈아	[3]耍									
	k 꽈	[1]瓜[3]寡[5]挂卦褂									
	kʰ 과	[1]夸[3]垮[5]跨{文}胯{文}									
	x 화	[1]花[2]华{中~}划{~船}[5]化华{姓氏}画话划{计~}									
#uaʔ 왈											
	Ø 왈										
	x 활										
#iɪ 예											
	Ø 예	[1]耶椰[2]爷[3]也冶野[5]夜									
	t 뗴	[1]爹									
	tɕ 졔	[1]嗟[3]姐[5]借									
	tɕʰ 쳬	[2]茄[3]且[5]妾									
	ɕ 셰	[1]些[2]邪斜(文）偕[3]写[5]谢卸泻泄血穴雪解{姓氏}懈									
	m 몌	[3]*{弯曲折断}									
#iɪʔ 옏											
	Ø 옏	[7]叶噎谒									
	p 뼫	[7]别鳖憋									
	pʰ 볟	[7]撇									
	m 몓	[7]灭篾蔑									
	t 뗻	[7]跌(文)迭叠牒谍蝶（文）									
	tʰ 뎯	[7]铁贴帖蝶（白）									
	n 녣	[7]捏孽列烈裂劣业(白)热(白)									
	tɕ 졛	[7]劫接捷杰节截洁揭竭绝{白}									
	tɕʰ 쳳	[7]切									
	ɕ 셷	[7]胁薛亵歇									
#uɪʔ 웯											
	Ø	物（白）									
#yɪ 유에											
	Ø 유에	[3]抈{弯曲折断,吞下}									
	tʰ 듀에	[2]瘸									
	ɕ 슈에	[1]靴									
#yɪʔ 유엗											
	Ø 유엗	[7]热(文)悦阅月越曰粤									
	tɕ 쥬엗	[7]倔绝{文}厥掘决诀									
	tɕʰ 츄에	[7]缺(文)									
	kʰ	[7]缺(白)									
#iɛ 얘											
	Ø 얘	[2]癌崖*{肯定，约定俗成}									
	tɕ 쟤	[1]阶{文}皆[3]械解{文}[5]界戒{文}阶{文}介{文}届									
	tɕʰ 섀	[5]懈									
#uɛ 왜											
	Ø 왜	[1]歪[3]崴[5]外									
	t 뜌애	[5]拽									
	tʰ 듀애	[1]揣[5]踹									
	ɕ 슈애	[1]衰摔[3]甩[5]帅率蟀									
	k 꽤	[1]乖[3]拐[5]怪[7]									
	kʰ 괘	[5]快块筷会{~计}									
	x 홰	[1]*{摇晃}[2]怀槐淮[5]坏									
#iɔ 여											
	Ø 여	[1]幺妖邀腰要{~求}夭[2]尧摇谣姚肴[3]杳舀咬{文}[5]要耀									
	p 뼈	[1]膘标彪瀌[3]表									
	pʰ 벼	[1]飘漂{~浮}[2]瓢嫖[3]瞟[5]漂{~亮}票									
	m 며	[1]瞄[2]苗描[3]藐渺秒[5]庙妙谬棉｛异读，棉花｝									
	t 뗘	[1]刁貂雕[3]屌[5]吊钓掉调									
	tʰ 뎌	[1]挑[2]条调{~调}[5]跳									
	n 녀, 려	[1]*{吸引，招}[2]聊辽撩燎寥*{风骚}[3]了[5]尿廖{姓氏}料									
	tɕ 져	[1]浇焦椒骄娇交郊胶教{动词}[3]缴剿矫绞狡铰搅饺[5]叫教{~育}轿校{~对}较									
	tɕʰ 쳐	[1]锹悄[2]樵瞧乔桥[3]巧[5]俏鞘									
	ɕ 셔	[1]萧嚣消宵霄硝销肖淆[3]小晓[5]啸笑孝效校									
#ioʔ 욥											
	Ø 욥	[7]岳约乐{~乐}药钥跃									
	n 뇹, 룝	[7]掠略疟虐弱(白)若(白)									
	tɕ 죱	[7]爵脚									
	tɕʰ 춉	[7]雀鹊确{文}									
	ɕ 셥	[7]学削屑									
#uo											
	Ø 워	[1]屙窝倭									
#uoʔ 웝											
	Ø 웝	[7]沃									
#yoʔ 유업											
	t 뜌업	[7]桌卓啄{文}琢镯拙									
	tʰ 듀업	[7]戳绰									
	ɕ 슈업	[7]说*{吮吸}学									
#iəʔ 익											
	Ø 익	[7]乙一逸抑弋翼亦译液压									
	p 삑	[7]毕逼碧笔必壁璧辟滗鼻									
	pʰ 빅	[7]*{女生殖器}僻									
	m 믹	[7]蜜密觅秘									
	t 띡	[7]的{出租车}滴嫡笛敌狄得(白)									
	tʰ 딕	[7]踢剔									
	n 닉	[7]逆立粒栗力历律率									
	tɕ 직	[7]疾缉急级及集辑汲吉即鲫棘极积迹脊籍击激绩									
	tɕʰ 칙	[7]七漆乞迄讫戚吃									
	ɕ 식	[7]膝 (文) 息媳熄隙昔惜席夕锡析习雪（白，雪白）									
#uəʔ 욱											
	Ø 욱	[7]勿屋挖物（文）袜									
	k 꾹	[7]骨谷刮									
	kʰ 국	[7]哭窟酷									
	x 훅	[7]忽猾滑核{桃核}									
	ɕ 슈알	[7]刷									
	k 꽐	[7]刮									
#yəʔ 육											
	Ø 육	[7]欲浴狱育役域辱肉（白1)									
	t 뜍	[7]竹筑逐祝粥烛嘱橘局菊浊									
	tʰ 둑	[7]曲出畜屈触									
	ɕ 슉	[7]属述淑熟赎束旭蓄续(文）									
	n	[7]肉{白2}玉(白)									
#ei 의											
	p 쁴	[1]杯悲背{动词}卑碑[5]辈背{后~}倍被备									
	pʰ 븨	[1]胚[2]培陪赔[5]佩配譬辔									
	m 믜	[1]薇{蔷薇花}[2]梅眉煤媒霉迷{白，迷信}谜（白，谜子，谜语）[3]每美米（白，送粥米）[5]昧妹									
	f 픠	[1]非飞妃菲[2]肥[3]匪[5]费肺吠痱沸废									
	t 띄	[1]堆（文）[5]对(文）队兑(文)									
	tʰ 듸	[1]推（文）[3]腿（文）[5]退{文}褪(文）									
	l 릐	[2]雷（文）[3]馁儡垒[5]内泪累{文}									
	n 늬	[5]内									
	ts 쯰	[5]最罪{文}醉{文}									
	tsʰ 씌	[1]崔催[5]翠粹悴脆									
	s 싀	[1]绥虽(文）[2]隋随（文）[5]穗碎（文）岁（文）									
#uei 위											
	Ø 위	[1]威巍煨微薇（文）*{蹲着}[2]违围帷维唯为{~难}危桅韦[3]纬伪尾伟委[5]喂未味畏慰胃谓魏位卫为									
	k 뀌	[1]圭闺龟规归[3]诡轨鬼[5]瑰鳜桂(文）跪柜贵									
	kʰ 귀	[1]盔魁亏窥[2]奎逵夔葵[5]溃愧									
	x 휘	[1]灰诙恢麾挥辉徽[2]回[3]悔毁[5]贿汇晦会绘惠慧秽讳卉彗									
#yei 유의											
	Ø 유의	[3]蕊[5]锐瑞									
	t 뜌의	[1]追锥[5]缀赘坠									
	tʰ 듀의	[1]吹炊[2]垂槌锤									
	ɕ 슈의	[2]谁[3]水[5]税睡									
#əu 오우											
